"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"
"64"	"42"	"376"	""	"180"	""	""	"126"	""	"7"	""	""	"3"	""	"17"	""	""	"21"	""	""	"730"	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"43"	"170"	""	"154"	""	""	"21"	""	"7"	""	""	"5"	""	"11"	""	""	"18"	""	""	"386"	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"43A"	"206"	""	"105"	""	""	"11"	""	"5"	""	""	"5"	""	"2"	""	""	"6"	""	""	"340"	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"44"	"125"	""	"236"	""	""	"17"	""	"2"	""	""	"3"	""	"12"	""	""	"26"	""	""	"421"	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"45"	"343"	""	"266"	""	""	"30"	""	"3"	""	""	"4"	""	"8"	""	""	"21"	""	""	"675"	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"46"	"359"	""	"181"	""	""	"40"	""	"6"	""	""	"10"	""	"14"	""	""	"22"	""	""	"632"	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"47"	"258"	""	"82"	""	""	"35"	""	"12"	""	""	"3"	""	"7"	""	""	"50"	""	""	"447"	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"48"	"347"	""	"191"	""	""	"43"	""	"17"	""	""	"5"	""	"5"	""	""	"11"	""	""	"619"	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"49"	"145"	""	"24"	""	""	"31"	""	"2"	""	""	"2"	""	"1"	""	""	"2"	""	""	"207"	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"50"	"152"	""	"58"	""	""	"56"	""	"5"	""	""	"3"	""	"5"	""	""	"31"	""	""	"310"	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"51"	"167"	""	"177"	""	""	"28"	""	"6"	""	""	"5"	""	"11"	""	""	"15"	""	""	"409"	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"TOTAL"	"3339"	""	"2150"	""	""	"564"	""	"92"	""	""	"74"	""	"140"	""	""	"281"	""	""	"6640"	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"ELECTOTION TO THE 40 JALALPUR LEGSTATIVE ASSEMBLY CONSTITUENCY-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"Serial No.of Polling Station"	"Janardan Singh Sigriwal"	""	"Balagul Mobin"	""	""	"Manoj Kumar Tiwary"	""	"Vandana Singh"	""	""	"Rahul Kumar"	""	"Zaffarulla Khan"	""	""	"Shree Bhagwan Rai"	""	""	"Tatal of Valid Votes"	""	"No.of Rejected Votes"	""	""	"Tatal"	""	""	"No.of Tendered Votes"	""	""	""	""
"80"	"52"	"61"	""	"72"	""	""	"257"	""	"25"	""	""	"11"	""	"10"	""	""	"34"	""	""	"470"	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"53"	"235"	""	"69"	""	""	"22"	""	"11"	""	""	"3"	""	"3"	""	""	"23"	""	""	"366"	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"54"	"259"	""	"135"	""	""	"22"	""	"5"	""	""	"7"	""	"8"	""	""	"21"	""	""	"457"	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"55"	"33"	""	"187"	""	""	"105"	""	"9"	""	""	"4"	""	"13"	""	""	"21"	""	""	"372"	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"56"	"273"	""	"68"	""	""	"21"	""	"16"	""	""	"8"	""	"7"	""	""	"19"	""	""	"412"	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"57"	"179"	""	"48"	""	""	"10"	""	"4"	""	""	"1"	""	"7"	""	""	"30"	""	""	"279"	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"58"	"349"	""	"130"	""	""	"49"	""	"49"	""	""	"6"	""	"9"	""	""	"34"	""	""	"626"	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"59"	"175"	""	"248"	""	""	"68"	""	"13"	""	""	"2"	""	"16"	""	""	"36"	""	""	"558"	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"60"	"274"	""	"130"	""	""	"26"	""	"4"	""	""	"7"	""	"10"	""	""	"26"	""	""	"477"	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"61"	"303"	""	"72"	""	""	"3"	""	"5"	""	""	"5"	""	"3"	""	""	"15"	""	""	"406"	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"61A"	"108"	""	"196"	""	""	"6"	""	"0"	""	""	"2"	""	"2"	""	""	"1"	""	""	"315"	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"62"	"220"	""	"111"	""	""	"15"	""	"15"	""	""	"6"	""	"12"	""	""	"19"	""	""	"398"	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"63"	"239"	""	"295"	""	""	"19"	""	"9"	""	""	"6"	""	"12"	""	""	"21"	""	""	"601"	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"64"	"222"	""	"136"	""	""	"12"	""	"2"	""	""	"7"	""	"7"	""	""	"12"	""	""	"398"	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"TOTAL"	"2930"	""	"1897"	""	""	"635"	""	"167"	""	""	"75"	""	"119"	""	""	"312"	""	""	"6135"	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"ELECTOTION TO THE 40 JALALPUR LEGSTATIVE ASSEMBLY CONSTITUENCY-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"Serial No.of Polling Station"	"Janardan Singh Sigriwal"	""	"Balagul Mobin"	""	""	"Manoj Kumar Tiwary"	""	"Vandana Singh"	""	""	"Rahul Kumar"	""	"Zaffarulla Khan"	""	""	"Shree Bhagwan Rai"	""	""	"Tatal of Valid Votes"	""	"No.of Rejected Votes"	""	""	"Tatal"	""	""	"No.of Tendered Votes"	""	""	""	""
"99"	"65"	"164"	""	"122"	""	""	"13"	""	"4"	""	""	"3"	""	"7"	""	""	"7"	""	""	"320"	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"66"	"301"	""	"170"	""	""	"14"	""	"7"	""	""	"6"	""	"12"	""	""	"19"	""	""	"529"	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"67"	"167"	""	"194"	""	""	"15"	""	"8"	""	""	"5"	""	"7"	""	""	"13"	""	""	"409"	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"68"	"294"	""	"218"	""	""	"43"	""	"5"	""	""	"4"	""	"8"	""	""	"16"	""	""	"588"	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"69"	"255"	""	"130"	""	""	"5"	""	"6"	""	""	"4"	""	"7"	""	""	"21"	""	""	"428"	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"69A"	"118"	""	"208"	""	""	"7"	""	"1"	""	""	"4"	""	"1"	""	""	"13"	""	""	"352"	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"70"	"202"	""	"147"	""	""	"5"	""	"2"	""	""	"4"	""	"5"	""	""	"27"	""	""	"392"	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"71"	"117"	""	"315"	""	""	"18"	""	"6"	""	""	"6"	""	"7"	""	""	"13"	""	""	"482"	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"72"	"158"	""	"166"	""	""	"11"	""	"4"	""	""	"4"	""	"6"	""	""	"16"	""	""	"365"	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"72A"	"87"	""	"228"	""	""	"6"	""	"2"	""	""	"3"	""	"6"	""	""	"3"	""	""	"335"	""	""	""	""	""	""	""	""	""	""	""	""
"109"	"73"	"183"	""	"152"	""	""	"9"	""	"9"	""	""	"7"	""	"14"	""	""	"32"	""	""	"406"	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"74"	"290"	""	"85"	""	""	"1"	""	"4"	""	""	"3"	""	"7"	""	""	"22"	""	""	"412"	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"75"	"104"	""	"374"	""	""	"14"	""	"10"	""	""	"4"	""	"22"	""	""	"15"	""	""	"543"	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"76"	"185"	""	"196"	""	""	"33"	""	"13"	""	""	"9"	""	"2"	""	""	"23"	""	""	"461"	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"TOTAL"	"2625"	""	"2705"	""	""	"194"	""	"81"	""	""	"66"	""	"111"	""	""	"240"	""	""	"6022"	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"ELECTOTION TO THE 40 JALALPUR LEGSTATIVE ASSEMBLY CONSTITUENCY-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"Serial No.of Polling Station"	"Janardan Singh Sigriwal"	""	"Balagul Mobin"	""	""	"Manoj Kumar Tiwary"	""	"Vandana Singh"	""	""	"Rahul Kumar"	""	"Zaffarulla Khan"	""	""	"Shree Bhagwan Rai"	""	""	"Tatal of Valid Votes"	""	"No.of Rejected Votes"	""	""	"Tatal"	""	""	"No.of Tendered Votes"	""	""	""	""
"118"	"77"	"144"	""	"218"	""	""	"31"	""	"2"	""	""	"2"	""	"9"	""	""	"5"	""	""	"411"	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"78"	"119"	""	"178"	""	""	"4"	""	"2"	""	""	"0"	""	"1"	""	""	"6"	""	""	"310"	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"79"	"248"	""	"225"	""	""	"13"	""	"2"	""	""	"4"	""	"10"	""	""	"18"	""	""	"520"	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"80"	"86"	""	"107"	""	""	"12"	""	"6"	""	""	"1"	""	"7"	""	""	"14"	""	""	"233"	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"81"	"124"	""	"185"	""	""	"11"	""	"2"	""	""	"1"	""	"8"	""	""	"5"	""	""	"336"	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"82"	"267"	""	"323"	""	""	"35"	""	"4"	""	""	"6"	""	"11"	""	""	"18"	""	""	"664"	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"83"	"78"	""	"406"	""	""	"72"	""	"9"	""	""	"5"	""	"8"	""	""	"16"	""	""	"594"	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"84"	"160"	""	"334"	""	""	"13"	""	"3"	""	""	"4"	""	"7"	""	""	"14"	""	""	"535"	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"85"	"305"	""	"81"	""	""	"3"	""	"21"	""	""	"3"	""	"6"	""	""	"13"	""	""	"432"	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"86"	"188"	""	"73"	""	""	"16"	""	"2"	""	""	"1"	""	"3"	""	""	"11"	""	""	"294"	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"86A"	"226"	""	"92"	""	""	"11"	""	"1"	""	""	"2"	""	"4"	""	""	"9"	""	""	"345"	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"87"	"215"	""	"222"	""	""	"11"	""	"14"	""	""	"3"	""	"8"	""	""	"15"	""	""	"488"	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"88"	"342"	""	"82"	""	""	"3"	""	"5"	""	""	"1"	""	"3"	""	""	"3"	""	""	"439"	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"89"	"148"	""	"171"	""	""	"3"	""	"4"	""	""	"1"	""	"3"	""	""	"8"	""	""	"338"	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"TOTAL"	"2650"	""	"2697"	""	""	"238"	""	"77"	""	""	"34"	""	"88"	""	""	"155"	""	""	"5939"	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"ELECTOTION TO THE 40 JALALPUR LEGSTATIVE ASSEMBLY CONSTITUENCY-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"Serial No.of Polling Station"	"Janardan Singh Sigriwal"	""	"Balagul Mobin"	""	""	"Manoj Kumar Tiwary"	""	"Vandana Singh"	""	""	"Rahul Kumar"	""	"Zaffarulla Khan"	""	""	"Shree Bhagwan Rai"	""	""	"Tatal of Valid Votes"	""	"No.of Rejected Votes"	""	""	"Tatal"	""	""	"No.of Tendered Votes"	""	""	""	""
"137"	"90"	"256"	""	"150"	""	""	"15"	""	"31"	""	""	"6"	""	"14"	""	""	"28"	""	""	"500"	""	""	""	""	""	""	""	""	""	""	""	""
"138"	"91"	"412"	""	"30"	""	""	"35"	""	"23"	""	""	"4"	""	"6"	""	""	"15"	""	""	"525"	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"92"	"64"	""	"446"	""	""	"32"	""	"6"	""	""	"3"	""	"3"	""	""	"6"	""	""	"560"	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"93"	"131"	""	"266"	""	""	"11"	""	"1"	""	""	"4"	""	"10"	""	""	"14"	""	""	"437"	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"94"	"76"	""	"206"	""	""	"7"	""	"0"	""	""	"3"	""	"8"	""	""	"9"	""	""	"309"	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"95"	"364"	""	"106"	""	""	"6"	""	"15"	""	""	"1"	""	"6"	""	""	"10"	""	""	"508"	""	""	""	""	""	""	""	""	""	""	""	""
"143"	"96"	"59"	""	"275"	""	""	"7"	""	"2"	""	""	"3"	""	"4"	""	""	"8"	""	""	"358"	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"96A"	"182"	""	"99"	""	""	"23"	""	"5"	""	""	"2"	""	"2"	""	""	"19"	""	""	"332"	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"97"	"191"	""	"180"	""	""	"4"	""	"1"	""	""	"1"	""	"6"	""	""	"18"	""	""	"401"	""	""	""	""	""	""	""	""	""	""	""	""
