"Polling.Station.No."	"I"	"II"	"III"	"IV"	"V"	"Total.Votes.Polled"
"121"	""	"ABDUS SUBHAN
Rastriya Janata Dal"	"QUAISARUZZAMAN
Lok Jan Shakti Party"	"SANTOSH KUMAR
Bharatiya Janata Party"	"ALIMUDDIN ANSARI
Samajwadi Party"	"SYED RUKNUDIN
Independent"	""
"122"	"1"	"2"	"3"	"4"	"5"	"6"	"7"
"123"	"82"	"77"	"16"	"54"	"17"	"352"	"516"
"124"	"83"	"242"	"19"	"10"	"8"	"229"	"508"
"125"	"84"	"45"	"4"	"57"	"9"	"355"	"470"
"126"	"84A"	"57"	"9"	"37"	"7"	"266"	"376"
"127"	"85"	"64"	"10"	"95"	"12"	"281"	"462"
"128"	"85A"	"221"	"9"	"6"	"5"	"151"	"392"
"129"	"86"	"170"	"16"	"112"	"12"	"380"	"690"
"130"	"87"	"258"	"11"	"2"	"10"	"247"	"528"
"131"	"88"	"138"	"4"	"14"	"9"	"376"	"541"
"132"	"89"	"148"	"6"	"33"	"5"	"197"	"389"
"133"	"89A"	"78"	"5"	"5"	"5"	"273"	"366"
"134"	"90"	"16"	"2"	"4"	"7"	"471"	"500"
"135"	"90A"	"22"	"4"	"2"	"1"	"371"	"400"
"136"	"91"	"62"	"3"	"4"	"2"	"361"	"432"
"137"	"91A"	"130"	"3"	"44"	"1"	"202"	"380"
"138"	"92"	"64"	"9"	"10"	"10"	"599"	"692"
"139"	"93"	"155"	"81"	"90"	"12"	"172"	"510"
"140"	"94"	"90"	"38"	"228"	"17"	"195"	"568"
"141"	"95"	"78"	"19"	"8"	"7"	"418"	"530"
"142"	"96"	"146"	"23"	"9"	"3"	"184"	"365"
"143"	"97"	"153"	"20"	"34"	"16"	"393"	"616"
"144"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"Total Votes Polled"
"145"	""	"ABDUS SUBHAN
Rastriya Janata Dal"	"QUAISARUZZAMAN
Lok Jan Shakti Party"	"SANTOSH KUMAR
Bharatiya Janata Party"	"ALIMUDDIN ANSARI
Samajwadi Party"	"SYED RUKNUDIN
Independent"	""
"146"	"1"	"2"	"3"	"4"	"5"	"6"	"7"
"147"	"98"	"17"	"3"	"3"	"11"	"420"	"454"
"148"	"98A"	"24"	"6"	"7"	"7"	"406"	"450"
"149"	"99"	"49"	"4"	"7"	"5"	"581"	"646"
"150"	"100"	"59"	"15"	"25"	"9"	"364"	"472"
"151"	"100A"	"28"	"5"	"9"	"9"	"242"	"293"
"152"	"101"	"52"	"6"	"11"	"6"	"431"	"506"
"153"	"102"	"203"	"4"	"8"	"8"	"330"	"553"
"154"	"103"	"99"	"27"	"177"	"10"	"172"	"485"
"155"	"103A"	"144"	"12"	"104"	"9"	"140"	"409"
"156"	"104"	"165"	"12"	"26"	"1"	"173"	"377"
"157"	"104A"	"104"	"6"	"6"	"2"	"229"	"347"
"158"	"105"	"264"	"12"	"15"	"7"	"413"	"711"
"159"	"106"	"243"	"20"	"217"	"16"	"148"	"644"
"160"	"107"	"251"	"16"	"9"	"9"	"254"	"539"
"161"	"108"	"156"	"20"	"132"	"10"	"251"	"569"
"162"	"109"	"167"	"44"	"12"	"7"	"90"	"320"
"163"	"110"	"69"	"5"	"35"	"6"	"216"	"331"
"164"	"110A"	"106"	"6"	"9"	"10"	"262"	"393"
"165"	"111"	"389"	"19"	"36"	"23"	"287"	"754"
"166"	"112"	"275"	"27"	"7"	"10"	"163"	"482"
"167"	"113"	"152"	"6"	"0"	"3"	"211"	"372"
"168"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"Total Votes Polled"
"169"	""	"ABDUS SUBHAN
Rastriya Janata Dal"	"QUAISARUZZAMAN
Lok Jan Shakti Party"	"SANTOSH KUMAR
Bharatiya Janata Party"	"ALIMUDDIN ANSARI
Samajwadi Party"	"SYED RUKNUDIN
Independent"	""
"170"	"1"	"2"	"3"	"4"	"5"	"6"	"7"
"171"	"114"	"274"	"9"	"81"	"13"	"67"	"444"
"172"	"114A"	"200"	"12"	"99"	"6"	"67"	"384"
"173"	"115"	"208"	"15"	"72"	"10"	"110"	"415"
"174"	"115A"	"275"	"12"	"8"	"7"	"86"	"388"
"175"	"116"	"105"	"14"	"67"	"18"	"231"	"435"
"176"	"116A"	"181"	"3"	"83"	"9"	"132"	"408"
"177"	"117"	"200"	"19"	"14"	"7"	"180"	"420"
"178"	"118"	"219"	"4"	"5"	"3"	"202"	"433"
"179"	"118A"	"179"	"9"	"4"	"8"	"173"	"373"
"180"	"119"	"184"	"15"	"15"	"4"	"416"	"634"
"181"	"120"	"222"	"20"	"106"	"16"	"174"	"538"
"182"	"121"	"159"	"3"	"19"	"7"	"117"	"305"
"183"	"122"	"239"	"18"	"5"	"13"	"199"	"474"
"184"	"122A"	"197"	"6"	"4"	"7"	"92"	"306"
"185"	"123"	"333"	"17"	"53"	"13"	"345"	"761"
"186"	"124"	"112"	"7"	"96"	"22"	"259"	"496"
"187"	"124A"	"210"	"7"	"11"	"10"	"149"	"387"
"188"	"125"	"207"	"15"	"31"	"7"	"196"	"456"
"189"	"126"	"418"	"8"	"5"	"7"	"85"	"523"
"190"	"127"	"121"	"7"	"19"	"7"	"163"	"317"
"191"	"127A"	"89"	"6"	"4"	"6"	"130"	"235"
"192"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"Total Votes Polled"
"193"	""	"ABDUS SUBHAN
Rastriya Janata Dal"	"QUAISARUZZAMAN
Lok Jan Shakti Party"	"SANTOSH KUMAR
Bharatiya Janata Party"	"ALIMUDDIN ANSARI
Samajwadi Party"	"SYED RUKNUDIN
Independent"	""
"194"	"1"	"2"	"3"	"4"	"5"	"6"	"7"
"195"	"128"	"182"	"24"	"63"	"16"	"300"	"585"
"196"	"129"	"246"	"6"	"18"	"4"	"45"	"319"
"197"	"129A"	"151"	"16"	"82"	"6"	"225"	"480"
"198"	"130"	"434"	"15"	"43"	"11"	"124"	"627"
"199"	"131"	"367"	"21"	"67"	"25"	"188"	"668"
"200"	"132"	"292"	"22"	"38"	"163"	"106"	"621"
"201"	"133"	"296"	"13"	"55"	"11"	"115"	"490"
"202"	"133A"	"278"	"14"	"101"	"35"	"94"	"522"
"203"	"134"	"241"	"133"	"61"	"14"	"187"	"636"
"204"	"135"	"199"	"4"	"28"	"3"	"8"	"242"
"205"	"136"	"519"	"13"	"20"	"3"	"51"	"606"
"206"	"137"	"682"	"22"	"26"	"9"	"23"	"762"
"207"	"138"	"412"	"31"	"135"	"8"	"19"	"605"
"208"	"139"	"461"	"18"	"73"	"10"	"19"	"581"
"209"	"140"	"162"	"7"	"11"	"5"	"175"	"360"
"210"	"141"	"272"	"17"	"63"	"36"	"255"	"643"
"211"	"142"	"135"	"20"	"99"	"14"	"240"	"508"
"212"	"143"	"405"	"24"	"74"	"17"	"188"	"708"
"213"	"144"	"218"	"10"	"3"	"5"	"183"	"419"
"214"	"145"	"46"	"8"	"26"	"77"	"201"	"358"
"215"	"145A"	"110"	"4"	"3"	"4"	"140"	"261"
"216"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"Total Votes Polled"
"217"	""	"ABDUS SUBHAN
Rastriya Janata Dal"	"QUAISARUZZAMAN
Lok Jan Shakti Party"	"SANTOSH KUMAR
Bharatiya Janata Party"	"ALIMUDDIN ANSARI
Samajwadi Party"	"SYED RUKNUDIN
Independent"	""
"218"	"1"	"2"	"3"	"4"	"5"	"6"	"7"
"219"	"146"	"173"	"19"	"32"	"18"	"330"	"572"
"220"	"147"	"172"	"9"	"18"	"12"	"125"	"336"
"221"	"147A"	"69"	"6"	"10"	"9"	"169"	"263"
"222"	"TOTAL GENERAL
VOTES"	"26042"	"10441"	"23623"	"3988"	"30153"	"94247"
"223"	""	"ABDUS SUBHAN
Rastriya Janata Dal"	"QUAISARUZZAMAN
Lok Jan Shakti Party"	"SANTOSH KUMAR
Bharatiya Janata Party"	"ALIMUDDIN ANSARI
Samajwadi Party"	"SYED RUKNUDIN
Independent"	""
"224"	"R.O.'S SIGNATURE                                                                                              OBSERVER'S SIGNATURE"	""	""	""	""	""	""
