"iz.i..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"pÿ la[;k&1                                                                                          º fu;e 56 º7Ω nsf[k;sΩ"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"vafre ifj.kke &i=                                                           Hkkx&1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"209& fnukjk fuokZpu {ks= esa fcgkj fo/kku lHkk ds fy;s fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"209& fnukjk fo/kku lHkk fuokZpu {ks= [k.M esa fuokZpdksa dh dqy la[;k   206190"	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ernku dsanz dh la[;k"	"fuEufyf[kr i{k esa fn;s x;s   fof/kekU; erkssa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"69"	"dqy i`\"Bksa dh la0 17"	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"i`\"B la0   3"	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"ernku dsanz dh la[;k"	"fuEufyf[kr i{k esa fn;s x;s   fof/kekU; erkssa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"73"	""	"v'kksd dqekj xqIrk"	"dkes'oj flag"	"jke/kuh flaag"	"lhrk lqanjh nsoh"	"f'koewjr frokjh"	"flikgh jk;"	"f'koth flag"	"';keyky ikloku"	"lqjs'k ilkn"	""	""	""	""
"74"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"75"	"37"	"44"	"3"	"193"	"239"	"6"	"2"	"1"	"0"	"0"	""	""	"488"	""
"76"	"38"	"45"	"55"	"236"	"176"	"3"	"2"	"2"	"2"	"1"	""	""	"522"	""
"77"	"39"	"15"	"5"	"271"	"37"	"1"	"0"	"0"	"0"	"0"	""	""	"329"	""
"78"	"40"	"15"	"13"	"259"	"149"	"9"	"2"	"5"	"3"	"8"	""	""	"463"	""
"79"	"41"	"19"	"112"	"144"	"88"	"6"	"2"	"5"	"4"	"8"	""	""	"388"	""
"80"	"42"	"6"	"16"	"65"	"123"	"5"	"0"	"0"	"1"	"0"	""	""	"216"	""
"81"	"43"	"6"	"11"	"101"	"297"	"5"	"0"	"1"	"2"	"3"	""	""	"426"	""
"82"	"44"	"25"	"39"	"399"	"227"	"9"	"3"	"2"	"1"	"6"	""	""	"711"	""
"83"	"45"	"74"	"73"	"238"	"170"	"7"	"4"	"7"	"4"	"4"	""	""	"581"	""
"84"	"46"	"2"	"47"	"137"	"313"	"4"	"0"	"2"	"1"	"1"	""	""	"507"	""
"85"	"47"	"37"	"88"	"113"	"54"	"0"	"0"	"0"	"3"	"5"	""	""	"300"	""
"86"	"48"	"15"	"33"	"264"	"170"	"4"	"1"	"1"	"2"	"1"	""	""	"491"	""
"87"	"48 d"	"49"	"4"	"108"	"201"	"2"	"2"	"2"	"0"	"2"	""	""	"370"	""
"88"	"49"	"3"	"129"	"71"	"132"	"3"	"1"	"0"	"2"	"2"	""	""	"343"	""
"89"	";ksx&"	"355"	"628"	"2599"	"2376"	"64"	"19"	"28"	"25"	"41"	"0"	"0"	"6135"	""
"90"	"fiNys i`\"B dk ;ksx"	"2238"	"2453"	"7975"	"7830"	"303"	"119"	"147"	"104"	"239"	"0"	"0"	"21408"	""
"91"	"dqy ;ksx"	"2593"	"3081"	"10574"	"10206"	"367"	"138"	"175"	"129"	"280"	"0"	"0"	"27543"	""
"92"	"dqy i`\"Bksa dh la[;k & 17"	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"i`\"B la0 4"	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"ernku dsanz dh la[;k"	"fuEufyf[kr i{k esa fn;s x;s   fof/kekU; erkssa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"96"	""	"v'kksd dqekj xqIrk"	"dkes'oj flag"	"jke/kuh flaag"	"lhrk lqanjh nsoh"	"f'koewjr frokjh"	"flikgh jk;"	"f'koth flag"	"';keyky ikloku"	"lqjs'k ilkn"	""	""	""	""
"97"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"98"	"50"	"32"	"118"	"272"	"212"	"11"	"4"	"7"	"4"	"18"	""	""	"678"	""
"99"	"51"	"50"	"17"	"288"	"10"	"2"	"0"	"4"	"0"	"1"	""	""	"372"	""
"100"	"51 d"	"156"	"56"	"48"	"108"	"1"	"2"	"3"	"4"	"2"	""	""	"380"	""
"101"	"52"	"171"	"45"	"219"	"115"	"4"	"0"	"4"	"4"	"5"	""	""	"567"	""
"102"	"53"	"10"	"80"	"207"	"77"	"12"	"0"	"0"	"0"	"0"	""	""	"386"	""
"103"	"54"	"9"	"114"	"197"	"194"	"1"	"0"	"1"	"2"	"0"	""	""	"518"	""
"104"	"55"	"9"	"14"	"337"	"60"	"4"	"3"	"4"	"2"	"7"	""	""	"440"	""
"105"	"55 d"	"35"	"6"	"297"	"102"	"4"	"4"	"3"	"0"	"10"	""	""	"461"	""
"106"	"56"	"197"	"17"	"272"	"117"	"1"	"0"	"4"	"2"	"4"	""	""	"614"	""
"107"	"57"	"210"	"82"	"159"	"16"	"7"	"1"	"4"	"5"	"11"	""	""	"495"	""
"108"	"58"	"31"	"5"	"90"	"82"	"7"	"2"	"2"	"0"	"2"	""	""	"221"	""
"109"	"59"	"20"	"105"	"311"	"16"	"2"	"1"	"1"	"2"	"2"	""	""	"460"	""
"110"	"59 d"	"42"	"254"	"15"	"73"	"1"	"3"	"3"	"2"	"7"	""	""	"400"	""
"111"	"60"	"180"	"5"	"329"	"21"	"4"	"0"	"0"	"2"	"4"	""	""	"545"	""
"112"	";ksx"	"1152"	"918"	"3041"	"1203"	"61"	"20"	"40"	"29"	"73"	"0"	"0"	"6537"	""
"113"	"fiNys i`\"B dk ;ksx"	"2593"	"3081"	"10574"	"10206"	"367"	"138"	"175"	"129"	"280"	"0"	"0"	"27543"	""
"114"	"dqy ;ksx"	"3745"	"3999"	"13615"	"11409"	"428"	"158"	"215"	"158"	"353"	"0"	"0"	"34080"	""
"115"	"dqy i`\"Bksa dh la[;k & 17"	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"i`\"B la0 5"	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"ernku dsanz dh la[;k"	"fuEufyf[kr i{k esa fn;s x;s   fof/kekU; erkssa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"119"	""	"v'kksd dqekj xqIrk"	"dkes'oj flag"	"jke/kuh flaag"	"lhrk lqanjh nsoh"	"f'koewjr frokjh"	"flikgh jk;"	"f'koth flag"	"';keyky ikloku"	"lqjs'k ilkn"	""	""	""	""
"120"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"121"	"60 d"	"12"	"47"	"122"	"142"	"17"	"7"	"10"	"8"	"16"	""	""	"381"	""
"122"	"61"	"75"	"87"	"182"	"193"	"29"	"2"	"0"	"2"	"3"	""	""	"573"	""
"123"	"62"	"8"	"5"	"537"	"286"	"4"	"0"	"5"	"1"	"1"	""	""	"847"	""
"124"	"63"	"30"	"6"	"384"	"185"	"6"	"4"	"8"	"4"	"6"	""	""	"633"	""
"125"	"64"	"8"	"62"	"337"	"29"	"3"	"0"	"1"	"0"	"1"	""	""	"441"	""
"126"	"65"	"2"	"6"	"498"	"117"	"2"	"0"	"1"	"0"	"1"	""	""	"627"	""
"127"	"66"	"41"	"8"	"344"	"141"	"2"	"1"	"6"	"0"	"3"	""	""	"546"	""
"128"	"66 d"	"3"	"35"	"133"	"238"	"7"	"4"	"3"	"2"	"4"	""	""	"429"	""
"129"	"67"	"109"	"83"	"494"	"72"	"8"	"0"	"8"	"4"	"12"	""	""	"790"	""
"130"	"68"	"20"	"43"	"629"	"122"	"5"	"1"	"3"	"2"	"0"	""	""	"825"	""
"131"	"69"	"92"	"188"	"273"	"38"	"7"	"3"	"4"	"6"	"8"	""	""	"619"	""
"132"	"70"	"348"	"75"	"48"	"79"	"8"	"3"	"2"	"3"	"6"	""	""	"572"	""
"133"	"71"	"24"	"1"	"252"	"118"	"6"	"0"	"0"	"1"	"0"	""	""	"402"	""
"134"	"71 d"	"12"	"6"	"521"	"9"	"0"	"1"	"1"	"0"	"1"	""	""	"551"	""
"135"	";ksx"	"784"	"652"	"4754"	"1769"	"104"	"26"	"52"	"33"	"62"	"0"	"0"	"8236"	""
"136"	"fiNys i`\"B dk ;ksx"	"3745"	"3999"	"13615"	"11409"	"428"	"158"	"215"	"158"	"353"	"0"	"0"	"34080"	""
"137"	"dqy ;ksx"	"4529"	"4651"	"18369"	"13178"	"532"	"184"	"267"	"191"	"415"	"0"	"0"	"42316"	""
"138"	"dqy i`\"Bksa dh la[;k & 17"	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"i`\"B la0 6"	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"ernku dsanz dh la[;k"	"fuEufyf[kr i{k esa fn;s x;s   fof/kekU; erkssa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"142"	""	"v'kksd dqekj xqIrk"	"dkes'oj flag"	"jke/kuh flaag"	"lhrk lqanjh nsoh"	"f'koewjr frokjh"	"flikgh jk;"	"f'koth flag"	"';keyky ikloku"	"lqjs'k ilkn"	""	""	""	""
"143"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"144"	"72"	"254"	"99"	"113"	"53"	"8"	"2"	"2"	"8"	"13"	""	""	"552"	""
"145"	"73"	"88"	"31"	"248"	"96"	"5"	"1"	"3"	"2"	"9"	""	""	"483"	""
"146"	"74"	"7"	"2"	"583"	"4"	"1"	"0"	"1"	"0"	"0"	""	""	"598"	""
"147"	"75"	"82"	"3"	"163"	"59"	"3"	"0"	"0"	"0"	"1"	""	""	"311"	""
"148"	"76"	"12"	"4"	"411"	"201"	"6"	"1"	"0"	"0"	"0"	""	""	"635"	""
"149"	"77"	"21"	"1"	"577"	"6"	"2"	"1"	"2"	"0"	"0"	""	""	"610"	""
"150"	"78"	"25"	"4"	"236"	"43"	"1"	"1"	"0"	"0"	"1"	""	""	"311"	""
"151"	"79"	"22"	"48"	"181"	"200"	"17"	"9"	"4"	"6"	"6"	""	""	"493"	""
"152"	"80"	"132"	"75"	"270"	"125"	"5"	"0"	"3"	"0"	"6"	""	""	"616"	""
"153"	"81"	"169"	"10"	"189"	"107"	"15"	"2"	"2"	"3"	"4"	""	""	"501"	""
"154"	"82"	"29"	"14"	"357"	"159"	"1"	"0"	"1"	"0"	"1"	""	""	"562"	""
"155"	"83"	"71"	"9"	"114"	"183"	"41"	"4"	"1"	"0"	"2"	""	""	"425"	""
"156"	"84"	"73"	"12"	"43"	"170"	"5"	"1"	"2"	"2"	"3"	""	""	"311"	""
"157"	"85"	"14"	"33"	"163"	"113"	"7"	"0"	"0"	"0"	"3"	""	""	"333"	""
"158"	";ksx"	"999"	"345"	"3648"	"1519"	"117"	"22"	"21"	"21"	"49"	"0"	"0"	"6741"	""
"159"	"fiNys i`\"B dk ;ksx"	"4529"	"4651"	"18369"	"13178"	"532"	"184"	"267"	"191"	"415"	"0"	"0"	"42316"	""
"160"	"dqy ;ksx"	"5528"	"4996"	"22017"	"14697"	"649"	"206"	"288"	"212"	"464"	"0"	"0"	"49057"	""
"161"	"dqy i`\"Bksa dh la[;k & 17"	""	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"i`\"B la0 7"	""	""	""	""	""	""	""	""	""	""	""	""	""
"163"	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	""	""	""	""	""	""
"164"	"ernku dsanz dh la[;k"	"fuEufyf[kr i{k esa fn;s x;s   fof/kekU; erkssa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"165"	""	"v'kksd dqekj xqIrk"	"dkes'oj flag"	"jke/kuh flaag"	"lhrk lqanjh nsoh"	"f'koewjr frokjh"	"flikgh jk;"	"f'koth flag"	"';keyky ikloku"	"lqjs'k ilkn"	""	""	""	""
"166"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"167"	"86"	"170"	"73"	"89"	"10"	"6"	"4"	"1"	"3"	"4"	""	""	"360"	""
"168"	"87"	"88"	"109"	"122"	"171"	"11"	"5"	"2"	"0"	"12"	""	""	"520"	""
"169"	"88"	"188"	"16"	"125"	"299"	"12"	"3"	"7"	"4"	"12"	""	""	"666"	""
"170"	"89"	"10"	"3"	"246"	"103"	"4"	"3"	"4"	"2"	"2"	""	""	"377"	""
"171"	"90"	"176"	"11"	"300"	"134"	"22"	"0"	"2"	"3"	"3"	""	""	"651"	""
"172"	"91"	"191"	"15"	"66"	"98"	"1"	"0"	"1"	"1"	"1"	""	""	"374"	""
"173"	"92"	"51"	"1"	"184"	"160"	"0"	"1"	"0"	"1"	"0"	""	""	"398"	""
"174"	"93"	"6"	"23"	"68"	"348"	"13"	"12"	"4"	"6"	"6"	""	""	"486"	""
"175"	"94"	"29"	"23"	"98"	"284"	"15"	"1"	"2"	"1"	"2"	""	""	"455"	""
"176"	"95"	"91"	"14"	"215"	"287"	"23"	"1"	"0"	"1"	"1"	""	""	"633"	""
"177"	"96"	"35"	"42"	"155"	"113"	"4"	"4"	"1"	"0"	"4"	""	""	"358"	""
"178"	"97"	"64"	"37"	"354"	"177"	"5"	"0"	"1"	"0"	"2"	""	""	"640"	""
"179"	"98"	"40"	"181"	"57"	"317"	"8"	"1"	"4"	"1"	"2"	""	""	"611"	""
"180"	"99"	"127"	"20"	"93"	"387"	"6"	"1"	"3"	"1"	"4"	""	""	"642"	""
"181"	";ksx"	"1266"	"568"	"2172"	"2888"	"130"	"36"	"32"	"24"	"55"	"0"	"0"	"7171"	""
"182"	"fiNys i`\"B dk ;ksx"	"5528"	"4996"	"22017"	"14697"	"649"	"206"	"288"	"212"	"464"	"0"	"0"	"49057"	""
"183"	"dqy ;ksx"	"6794"	"5564"	"24189"	"17585"	"779"	"242"	"320"	"236"	"519"	"0"	"0"	"56228"	""
"184"	"dqy i`\"Bksa dh la[;k & 17"	""	""	""	""	""	""	""	""	""	""	""	""	""
"185"	"i`\"B la0 8"	""	""	""	""	""	""	""	""	""	""	""	""	""
"186"	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	""	""	""	""	""	""
"187"	"ernku dsanz dh la[;k"	"fuEufyf[kr i{k esa fn;s x;s   fof/kekU; erkssa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"188"	""	"v'kksd dqekj xqIrk"	"dkes'oj flag"	"jke/kuh flaag"	"lhrk lqanjh nsoh"	"f'koewjr frokjh"	"flikgh jk;"	"f'koth flag"	"';keyky ikloku"	"lqjs'k ilkn"	""	""	""	""
"189"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"190"	"100"	"76"	"31"	"192"	"393"	"18"	"4"	"3"	"3"	"7"	""	""	"727"	""
"191"	"101"	"36"	"56"	"55"	"289"	"12"	"0"	"1"	"1"	"7"	""	""	"457"	""
"192"	"102"	"42"	"104"	"130"	"117"	"9"	"2"	"1"	"1"	"2"	""	""	"408"	""
"193"	"103"	"47"	"11"	"270"	"417"	"25"	"5"	"2"	"11"	"14"	""	""	"802"	""
"194"	"104"	"91"	"5"	"294"	"361"	"21"	"3"	"1"	"0"	"2"	""	""	"778"	""
"195"	"105"	"125"	"2"	"193"	"213"	"22"	"0"	"1"	"3"	"2"	""	""	"561"	""
"196"	"106"	"48"	"2"	"211"	"223"	"3"	"1"	"1"	"0"	"1"	""	""	"490"	""
"197"	"107"	"43"	"9"	"322"	"134"	"21"	"2"	"4"	"5"	"13"	""	""	"553"	""
"198"	"108"	"22"	"30"	"112"	"121"	"5"	"1"	"1"	"1"	"1"	""	""	"294"	""
"199"	"109"	"26"	"10"	"133"	"359"	"6"	"1"	"6"	"1"	"4"	""	""	"546"	""
"200"	"109 d"	"39"	"14"	"84"	"177"	"7"	"4"	"2"	"2"	"4"	""	""	"333"	""
"201"	"110"	"26"	"33"	"223"	"340"	"12"	"4"	"5"	"3"	"6"	""	""	"652"	""
"202"	"111"	"8"	"52"	"40"	"328"	"3"	"0"	"0"	"0"	"0"	""	""	"431"	""
"203"	"112"	"2"	"26"	"32"	"227"	"1"	"2"	"0"	"0"	"1"	""	""	"291"	""
"204"	";ksx"	"631"	"385"	"2291"	"3699"	"165"	"29"	"28"	"31"	"64"	"0"	"0"	"7323"	""
"205"	"fiNys i`\"B dk ;ksx"	"6794"	"5564"	"24189"	"17585"	"779"	"242"	"320"	"236"	"519"	"0"	"0"	"56228"	""
"206"	"dqy ;ksx"	"7425"	"5949"	"26480"	"21284"	"944"	"271"	"348"	"267"	"583"	"0"	"0"	"63551"	""
"207"	"dqy i`\"Bksa dh la[;k & 17"	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"i`\"B la0 9"	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"ernku dsanz dh la[;k"	"fuEufyf[kr i{k esa fn;s x;s   fof/kekU; erkssa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"211"	""	"v'kksd dqekj xqIrk"	"dkes'oj flag"	"jke/kuh flaag"	"lhrk lqanjh nsoh"	"f'koewjr frokjh"	"flikgh jk;"	"f'koth flag"	"';keyky ikloku"	"lqjs'k ilkn"	""	""	""	""
