"izi..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"
"43"	"24"	"259"	"139"	"15"	"18"	"431"
"44"	"25"	"425"	"138"	"32"	"29"	"624"
"45"	"26"	"486"	"120"	"40"	"14"	"660"
"46"	";ksx&"	"3941"	"1271"	"1300"	"234"	"6746"
"47"	"LFkku&"	""	""	""	""	""
"48"	""	""	""	""	""	""
"49"	"fnukad&"	"lax.kd dk gLrk{kj      i;Zos{kd dk gLrk{kj"	""	""	""	""
"50"	"izi=&20"	""	""	""	""	""
"51"	"x.kuk dk ifj.kke"	""	""	""	""	""
"52"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""
"53"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""
"54"	""	""	""	""	""	"3rd round"
"55"	"ernku dsUnz
la[;k"	"Hkwnso pkS/kjh"	"eUns'oj
dqekj eaVw"	"equhyky
ikloku"	"jkts'k
dqekj"	"erks dk ;ksx"
"56"	""	"1"	"2"	"3"	"4"	"5"
"57"	"27"	"168"	"64"	"74"	"12"	"318"
"58"	"28"	"430"	"207"	"52"	"36"	"725"
"59"	"29"	"418"	"139"	"83"	"21"	"661"
"60"	"30"	"297"	"88"	"103"	"31"	"519"
"61"	"31"	"274"	"126"	"37"	"14"	"451"
"62"	"32"	"233"	"50"	"94"	"21"	"398"
"63"	"33"	"82"	"176"	"77"	"22"	"357"
"64"	"34"	"314"	"12"	"14"	"5"	"345"
"65"	"35"	"274"	"90"	"79"	"8"	"451"
"66"	"36"	"145"	"58"	"38"	"19"	"260"
"67"	"37"	"488"	"71"	"26"	"6"	"591"
"68"	"38"	"169"	"101"	"58"	"17"	"345"
"69"	"39"	"176"	"93"	"38"	"5"	"312"
"70"	"40"	"311"	"95"	"43"	"23"	"472"
"71"	";ksx&"	"3779"	"1370"	"816"	"240"	"6205"
"72"	"LFkku&"	""	""	""	""	""
"73"	""	""	""	""	""	""
"74"	"fnukad&"	"lax.kd dk gLrk{kj      i;Zos{kd dk gLrk{kj"	""	""	""	""
"75"	"izi=&20"	""	""	""	""	""
"76"	"x.kuk dk ifj.kke"	""	""	""	""	""
"77"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""
"78"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""
"79"	""	""	""	""	""	"4th round"
"80"	"ernku dsUnz
la[;k"	"Hkwnso pkS/kjh"	"eUns'oj
dqekj eaVw"	"equhyky
ikloku"	"jkts'k
dqekj"	"erks dk ;ksx"
"81"	""	"1"	"2"	"3"	"4"	"5"
"82"	"41"	"333"	"115"	"103"	"19"	"570"
"83"	"42"	"427"	"99"	"199"	"23"	"748"
"84"	"43"	"133"	"71"	"59"	"9"	"272"
"85"	"44"	"140"	"58"	"74"	"17"	"289"
"86"	"45"	"245"	"138"	"53"	"22"	"458"
"87"	"46"	"261"	"119"	"36"	"32"	"448"
"88"	"47"	"182"	"117"	"68"	"19"	"386"
"89"	"48"	"75"	"129"	"39"	"22"	"265"
"90"	"49"	"265"	"311"	"104"	"14"	"694"
"91"	"50"	"229"	"254"	"84"	"25"	"592"
"92"	"51"	"25"	"152"	"112"	"19"	"308"
"93"	"52"	"300"	"42"	"17"	"7"	"366"
"94"	"53"	"84"	"305"	"75"	"9"	"473"
"95"	"54"	"219"	"78"	"83"	"12"	"392"
"96"	";ksx&"	"2918"	"1988"	"1106"	"249"	"6261"
"97"	"LFkku&"	""	""	""	""	""
"98"	""	""	""	""	""	""
"99"	"fnukad&"	"lax.kd dk gLrk{kj      i;Zos{kd dk gLrk{kj"	""	""	""	""
"100"	"izi=&20"	""	""	""	""	""
"101"	"x.kuk dk ifj.kke"	""	""	""	""	""
"102"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""
"103"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""
"104"	""	""	""	""	""	"5th round"
"105"	"ernku dsUnz
la[;k"	"Hkwnso pkS/kjh"	"eUns'oj
dqekj eaVw"	"equhyky
ikloku"	"jkts'k
dqekj"	"erks dk ;ksx"
"106"	""	"1"	"2"	"3"	"4"	"5"
"107"	"55"	"177"	"100"	"56"	"10"	"343"
"108"	"56"	"419"	"146"	"35"	"25"	"625"
"109"	"57"	"208"	"230"	"34"	"10"	"482"
"110"	"58"	"140"	"49"	"69"	"11"	"269"
"111"	"59"	"201"	"53"	"241"	"18"	"513"
"112"	"60"	"166"	"285"	"25"	"15"	"491"
"113"	"60A"	"67"	"100"	"50"	"10"	"227"
"114"	"61"	"474"	"56"	"23"	"10"	"563"
"115"	"62"	"176"	"76"	"25"	"5"	"282"
"116"	"63"	"375"	"202"	"191"	"23"	"791"
"117"	"64"	"240"	"64"	"69"	"18"	"391"
"118"	"64A"	"139"	"25"	"42"	"16"	"222"
"119"	"65"	"223"	"15"	"35"	"2"	"275"
"120"	"66"	"138"	"50"	"111"	"22"	"321"
"121"	";ksx&"	"3143"	"1451"	"1006"	"195"	"5795"
"122"	"LFkku&"	""	""	""	""	""
"123"	""	""	""	""	""	""
"124"	"fnukad&"	"lax.kd dk gLrk{kj      i;Zos{kd dk gLrk{kj"	""	""	""	""
"125"	"izi=&20"	""	""	""	""	""
"126"	"x.kuk dk ifj.kke"	""	""	""	""	""
"127"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""
"128"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""
"129"	""	""	""	""	""	"6th round"
"130"	"ernku dsUnz
la[;k"	"Hkwnso pkS/kjh"	"eUns'oj
dqekj eaVw"	"equhyky
ikloku"	"jkts'k
dqekj"	"erks dk ;ksx"
"131"	""	"1"	"2"	"3"	"4"	"5"
"132"	"67"	"344"	"73"	"155"	"8"	"580"
"133"	"68"	"83"	"213"	"96"	"11"	"403"
"134"	"69"	"363"	"10"	"86"	"10"	"469"
"135"	"70"	"242"	"104"	"177"	"49"	"572"
"136"	"71"	"310"	"174"	"41"	"10"	"535"
"137"	"72"	"311"	"95"	"193"	"33"	"632"
"138"	"73"	"273"	"171"	"40"	"24"	"508"
"139"	"74"	"205"	"19"	"107"	"18"	"349"
"140"	"75"	"444"	"22"	"52"	"5"	"523"
"141"	"76"	"427"	"7"	"16"	"9"	"459"
"142"	"77"	"235"	"174"	"45"	"25"	"479"
"143"	"78"	"224"	"28"	"10"	"6"	"268"
"144"	"78A"	"253"	"121"	"97"	"17"	"488"
"145"	"79"	"162"	"42"	"38"	"5"	"247"
"146"	";ksx"	"3876"	"1253"	"1153"	"230"	"6512"
"147"	"LFkku&"	""	""	""	""	""
"148"	""	""	""	""	""	""
"149"	"fnukad&"	"lax.kd dk gLrk{kj      i;Zos{kd dk gLrk{kj"	""	""	""	""
"150"	"izi=&20"	""	""	""	""	""
"151"	"x.kuk dk ifj.kke"	""	""	""	""	""
"152"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""
"153"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""
"154"	""	""	""	""	""	"7th round"
"155"	"ernku dsUnz
la[;k"	"Hkwnso pkS/kjh"	"eUns'oj
dqekj eaVw"	"equhyky
ikloku"	"jkts'k
dqekj"	"erks dk ;ksx"
"156"	""	"1"	"2"	"3"	"4"	"5"
"157"	"80"	"439"	"75"	"59"	"31"	"604"
"158"	"81"	"94"	"35"	"384"	"5"	"518"
"159"	"82"	"180"	"92"	"17"	"4"	"293"
"160"	"82A"	"187"	"127"	"120"	"23"	"457"
"161"	"83"	"266"	"106"	"76"	"15"	"463"
"162"	"83A"	"185"	"37"	"91"	"7"	"320"
"163"	"84"	"134"	"126"	"16"	"11"	"287"
"164"	"84A"	"364"	"60"	"27"	"12"	"463"
"165"	"85"	"245"	"52"	"109"	"17"	"423"
"166"	"86"	"692"	"17"	"88"	"3"	"800"
"167"	"87"	"241"	"168"	"31"	"21"	"461"
"168"	"88"	"297"	"32"	"22"	"4"	"355"
"169"	"89"	"163"	"17"	"235"	"16"	"431"
"170"	"90"	"342"	"29"	"73"	"8"	"452"
"171"	";ksx&"	"3829"	"973"	"1348"	"177"	"6327"
"172"	"LFkku&"	""	""	""	""	""
"173"	""	""	""	""	""	""
"174"	"fnukad&"	"lax.kd dk gLrk{kj      i;Zos{kd dk gLrk{kj"	""	""	""	""
"175"	"izi=&20"	""	""	""	""	""
"176"	"x.kuk dk ifj.kke"	""	""	""	""	""
"177"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""
"178"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""
"179"	""	""	""	""	""	"8th round"
"180"	"ernku dsUnz
la[;k"	"Hkwnso pkS/kjh"	"eUns'oj
dqekj eaVw"	"equhyky
ikloku"	"jkts'k
dqekj"	"erks dk ;ksx"
"181"	""	"1"	"2"	"3"	"4"	"5"
"182"	"91"	"225"	"7"	"136"	"14"	"382"
"183"	"92"	"217"	"116"	"135"	"14"	"482"
"184"	"93"	"265"	"146"	"136"	"35"	"582"
"185"	"94"	"482"	"32"	"153"	"10"	"677"
"186"	"95"	"272"	"49"	"48"	"15"	"384"
"187"	"96"	"216"	"50"	"82"	"17"	"365"
"188"	"97"	"398"	"19"	"44"	"7"	"468"
"189"	"98"	"111"	"146"	"75"	"16"	"348"
"190"	"99"	"251"	"147"	"126"	"25"	"549"
"191"	"100"	"519"	"33"	"79"	"17"	"648"
"192"	"101"	"325"	"46"	"198"	"40"	"609"
"193"	"102"	"273"	"71"	"250"	"16"	"610"
"194"	"103"	"146"	"10"	"89"	"5"	"250"
"195"	"104"	"373"	"47"	"111"	"8"	"539"
"196"	";ksx&"	"4073"	"919"	"1662"	"239"	"6893"
"197"	"LFkku&"	""	""	""	""	""
"198"	""	""	""	""	""	""
"199"	"fnukad&"	"lax.kd dk gLrk{kj      i;Zos{kd dk gLrk{kj"	""	""	""	""
"200"	"izi=&20"	""	""	""	""	""
"201"	"x.kuk dk ifj.kke"	""	""	""	""	""
"202"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""
"203"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""
"204"	""	""	""	""	""	"9th round"
"205"	"ernku dsUnz
la[;k"	"Hkwnso pkS/kjh"	"eUns'oj
dqekj eaVw"	"equhyky
ikloku"	"jkts'k
dqekj"	"erks dk ;ksx"
"206"	""	"1"	"2"	"3"	"4"	"5"
"207"	"105"	"202"	"10"	"149"	"23"	"384"
"208"	"106"	"189"	"57"	"170"	"15"	"431"
"209"	"107"	"89"	"355"	"59"	"16"	"519"
"210"	"108"	"182"	"269"	"161"	"34"	"646"
"211"	"109"	"45"	"245"	"288"	"33"	"611"
"212"	"110"	"243"	"100"	"211"	"13"	"567"
"213"	"111"	"46"	"183"	"81"	"12"	"322"
"214"	"112"	"102"	"237"	"126"	"29"	"494"
"215"	"113"	"83"	"245"	"32"	"16"	"376"
"216"	"114"	"223"	"31"	"214"	"20"	"488"
"217"	"115"	"353"	"0"	"4"	"0"	"357"
"218"	"116"	"127"	"90"	"146"	"20"	"383"
"219"	"117"	"23"	"162"	"54"	"15"	"254"
"220"	"118"	"71"	"91"	"250"	"8"	"420"
"221"	";ksx&"	"1978"	"2075"	"1945"	"254"	"6252"
"222"	"LFkku&"	""	""	""	""	""
"223"	""	""	""	""	""	""
"224"	"fnukad&"	"lax.kd dk gLrk{kj      i;Zos{kd dk gLrk{kj"	""	""	""	""
"225"	"izi=&20"	""	""	""	""	""
"226"	"x.kuk dk ifj.kke"	""	""	""	""	""
"227"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""
"228"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""
"229"	""	""	""	""	"10th round"	""
"230"	"ernku dsUnz
la[;k"	"Hkwnso pkS/kjh"	"eUns'oj
dqekj eaVw"	"equhyky
ikloku"	"jkts'k
dqekj"	"erks dk ;ksx"
"231"	""	"1"	"2"	"3"	"4"	"5"
"232"	"119"	"141"	"74"	"205"	"14"	"434"
"233"	"120"	"299"	"101"	"114"	"9"	"523"
"234"	"121"	"263"	"51"	"155"	"26"	"495"
"235"	"122"	"205"	"90"	"164"	"33"	"492"
"236"	"123"	"168"	"46"	"91"	"8"	"313"
"237"	"124"	"229"	"92"	"175"	"15"	"511"
"238"	"125"	"148"	"50"	"141"	"20"	"359"
"239"	"126"	"87"	"77"	"183"	"16"	"363"
"240"	"127"	"127"	"166"	"253"	"37"	"583"
"241"	"128"	"188"	"158"	"251"	"10"	"607"
"242"	"129"	"306"	"100"	"60"	"11"	"477"
"243"	"130"	"267"	"170"	"49"	"16"	"502"
"244"	"131"	"198"	"145"	"54"	"23"	"420"
"245"	"132"	"116"	"143"	"264"	"17"	"540"
"246"	";ksx&"	"2742"	"1463"	"2159"	"255"	"6619"
"247"	"LFkku&"	""	""	""	""	""
"248"	""	""	""	""	""	""
"249"	"fnukad&"	"lax.kd dk gLrk{kj      i;Zos{kd dk gLrk{kj"	""	""	""	""
"250"	"izi=&20"	""	""	""	""	""
"251"	"x.kuk dk ifj.kke"	""	""	""	""	""
"252"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""
"253"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""
"254"	""	""	""	""	"12th round"	""
"255"	"ernku dsUnz
la[;k"	"Hkwnso pkS/kjh"	"eUns'oj
dqekj eaVw"	"equhyky
ikloku"	"jkts'k
dqekj"	"erks dk ;ksx"
"256"	""	"1"	"2"	"3"	"4"	"5"
"257"	"133"	"215"	"75"	"39"	"5"	"334"
"258"	"133A"	"128"	"169"	"78"	"2"	"377"
"259"	"134"	"212"	"130"	"32"	"10"	"384"
"260"	"135"	"222"	"36"	"86"	"18"	"362"
"261"	"136"	"221"	"51"	"183"	"21"	"476"
"262"	"137A"	"200"	"6"	"220"	"29"	"455"
"263"	"137"	"276"	"16"	"93"	"8"	"393"
"264"	"138"	"224"	"102"	"57"	"12"	"395"
"265"	"139"	"187"	"70"	"73"	"1"	"331"
"266"	"140"	"493"	"32"	"84"	"3"	"612"
"267"	"141"	"224"	"54"	"292"	"18"	"588"
"268"	"142"	"354"	"52"	"154"	"41"	"601"
"269"	"143"	"297"	"118"	"161"	"23"	"599"
"270"	"144"	"116"	"72"	"178"	"16"	"382"
"271"	";ksx"	"3369"	"983"	"1730"	"207"	"6289"
"272"	"LFkku&"	""	""	""	""	""
"273"	""	""	""	""	""	""
"274"	"fnukad&"	"lax.kd dk gLrk{kj      i;Zos{kd dk gLrk{kj"	""	""	""	""
"275"	"izi=&20"	""	""	""	""	""
"276"	"x.kuk dk ifj.kke"	""	""	""	""	""
"277"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""
"278"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""
"279"	""	""	""	""	"12th round"	""
"280"	"ernku dsUnz
la[;k"	"Hkwnso pkS/kjh"	"eUns'oj
dqekj eaVw"	"equhyky
ikloku"	"jkts'k
dqekj"	"erks dk ;ksx"
"281"	""	"1"	"2"	"3"	"4"	"5"
"282"	"145"	"86"	"77"	"115"	"8"	"286"
"283"	"146"	"234"	"45"	"159"	"16"	"454"
"284"	"147"	"200"	"19"	"191"	"22"	"432"
"285"	"148"	"165"	"15"	"297"	"14"	"491"
"286"	"149"	"132"	"30"	"173"	"6"	"341"
"287"	"150"	"79"	"9"	"299"	"11"	"398"
"288"	"151"	"74"	"10"	"186"	"11"	"281"
"289"	"151A"	"123"	"18"	"46"	"10"	"197"
"290"	"152"	"157"	"42"	"280"	"17"	"496"
"291"	"153"	"144"	"61"	"337"	"44"	"586"
"292"	"154"	"349"	"50"	"137"	"10"	"546"
"293"	"155"	"161"	"90"	"350"	"10"	"611"
"294"	"156"	"279"	"65"	"148"	"26"	"518"
"295"	"157"	"204"	"32"	"217"	"13"	"466"
"296"	";ksx&"	"2387"	"563"	"2935"	"218"	"6103"
"297"	"LFkku&"	""	""	""	""	""
"298"	""	""	""	""	""	""
"299"	"fnukad&"	"lax.kd dk gLrk{kj      i;Zos{kd dk gLrk{kj"	""	""	""	""
"300"	"izi=&20"	""	""	""	""	""
"301"	"x.kuk dk ifj.kke"	""	""	""	""	""
"302"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""
"303"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""
"304"	""	""	""	""	"13th round"	""
"305"	"ernku dsUnz
la[;k"	"Hkwnso pkS/kjh"	"eUns'oj
dqekj eaVw"	"equhyky
ikloku"	"jkts'k
dqekj"	"erks dk ;ksx"
"306"	""	"1"	"2"	"3"	"4"	"5"
"307"	"158"	"120"	"16"	"292"	"12"	"440"
"308"	"159"	"269"	"19"	"167"	"25"	"480"
"309"	"160"	"260"	"30"	"378"	"34"	"702"
"310"	"161"	"344"	"48"	"121"	"24"	"537"
"311"	"162"	"134"	"148"	"223"	"22"	"527"
"312"	"163"	"32"	"26"	"227"	"8"	"293"
"313"	"164"	"100"	"125"	"213"	"27"	"465"
"314"	"165"	"172"	"159"	"208"	"36"	"575"
"315"	"166"	"62"	"124"	"108"	"10"	"304"
"316"	"167"	"170"	"65"	"127"	"9"	"371"
"317"	"168"	"139"	"207"	"263"	"33"	"642"
"318"	"169"	"9"	"19"	"435"	"10"	"473"
"319"	"169A"	"30"	"20"	"350"	"2"	"402"
"320"	"170"	"143"	"143"	"265"	"22"	"573"
"321"	";ksx&"	"1984"	"1149"	"3377"	"274"	"6784"
"322"	"LFkku&"	""	""	""	""	""
"323"	""	""	""	""	""	""
"324"	"fnukad&"	"lax.kd dk gLrk{kj      i;Zos{kd dk gLrk{kj"	""	""	""	""
"325"	"izi=&20"	""	""	""	""	""
"326"	"x.kuk dk ifj.kke"	""	""	""	""	""
"327"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""
"328"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""
"329"	""	""	""	""	"14th round"	""
"330"	"ernku dsUnz
la[;k"	"Hkwnso pkS/kjh"	"eUns'oj
dqekj eaVw"	"equhyky
ikloku"	"jkts'k
dqekj"	"erks dk ;ksx"
"331"	""	"1"	"2"	"3"	"4"	"5"
"332"	"171"	"142"	"348"	"52"	"18"	"560"
"333"	"172"	"267"	"27"	"116"	"18"	"428"
"334"	"173"	"276"	"28"	"169"	"14"	"487"
"335"	"174"	"366"	"25"	"285"	"29"	"705"
"336"	"175"	"209"	"8"	"422"	"12"	"651"
"337"	"176"	"249"	"13"	"421"	"20"	"703"
"338"	"177"	"145"	"42"	"243"	"18"	"448"
"339"	"178"	"336"	"26"	"100"	"21"	"483"
"340"	"179"	"43"	"82"	"506"	"9"	"640"
"341"	"180"	"64"	"27"	"459"	"5"	"555"
"342"	"181"	"22"	"198"	"155"	"0"	"375"
"343"	"182"	"53"	"158"	"124"	"9"	"344"
"344"	"183"	"196"	"17"	"249"	"15"	"477"
"345"	"184"	"286"	"147"	"129"	"23"	"585"
"346"	";ksx&"	"2654"	"1146"	"3430"	"211"	"7441"
"347"	"LFkku&"	""	""	""	""	""
"348"	""	""	""	""	""	""
"349"	"fnukad&"	"lax.kd dk gLrk{kj      i;Zos{kd dk gLrk{kj"	""	""	""	""
"350"	"izi=&20"	""	""	""	""	""
"351"	"x.kuk dk ifj.kke"	""	""	""	""	""
"352"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""
"353"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""
"354"	""	""	""	""	"15th round"	""
"355"	"ernku dsUnz
la[;k"	"Hkwnso pkS/kjh"	"eUns'oj
dqekj eaVw"	"equhyky
ikloku"	"jkts'k
dqekj"	"erks dk ;ksx"
"356"	""	"1"	"2"	"3"	"4"	"5"
"357"	"185"	"78"	"124"	"113"	"5"	"320"
"358"	"186"	"98"	"216"	"52"	"19"	"385"
"359"	"187"	"51"	"215"	"79"	"18"	"363"
"360"	"188"	"207"	"15"	"253"	"21"	"496"
"361"	"188A"	"22"	"49"	"224"	"10"	"305"
"362"	"189"	"64"	"21"	"266"	"28"	"379"
"363"	"190"	"88"	"13"	"17"	"2"	"120"
"364"	"191"	"138"	"13"	"139"	"13"	"303"
"365"	"192"	"147"	"217"	"58"	"26"	"448"
"366"	"193"	"177"	"66"	"71"	"21"	"335"
"367"	"193A"	"108"	"37"	"159"	"21"	"325"
"368"	"194"	"164"	"41"	"117"	"24"	"346"
"369"	"195"	"69"	"110"	"125"	"12"	"316"
"370"	"196"	"30"	"186"	"98"	"25"	"339"
"371"	";ksx&"	"1441"	"1323"	"1771"	"245"	"4780"
"372"	"LFkku&"	""	""	""	""	""
"373"	""	""	""	""	""	""
"374"	"fnukad&"	"lax.kd dk gLrk{kj      i;Zos{kd dk gLrk{kj"	""	""	""	""
"375"	"izi=&20"	""	""	""	""	""
"376"	"x.kuk dk ifj.kke"	""	""	""	""	""
"377"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""
"378"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""
"379"	""	""	""	""	"16th round"	""
"380"	"ernku dsUnz
la[;k"	"Hkwnso pkS/kjh"	"eUns'oj
dqekj eaVw"	"equhyky
ikloku"	"jkts'k
dqekj"	"erks dk ;ksx"
"381"	""	"1"	"2"	"3"	"4"	"5"
"382"	"197"	"46"	"234"	"42"	"9"	"331"
"383"	"198"	"289"	"31"	"98"	"9"	"427"
"384"	"199"	"185"	"181"	"130"	"14"	"510"
"385"	"200"	"142"	"105"	"320"	"17"	"584"
"386"	"201"	"175"	"201"	"197"	"36"	"609"
"387"	"202"	"140"	"12"	"207"	"10"	"369"
"388"	"203"	"68"	"255"	"63"	"9"	"395"
"389"	"204"	"294"	"39"	"157"	"20"	"510"
"390"	"205"	"150"	"121"	"187"	"21"	"479"
"391"	"206"	"162"	"17"	"168"	"30"	"377"
"392"	"207"	"158"	"12"	"131"	"14"	"315"
"393"	"208"	"243"	"13"	"147"	"69"	"472"
"394"	"209"	"57"	"109"	"68"	"49"	"283"
"395"	"210"	"115"	"19"	"77"	"120"	"331"
"396"	";ksx&"	"2224"	"1349"	"1992"	"427"	"5992"
"397"	"LFkku&"	""	""	""	""	""
"398"	""	""	""	""	""	""
"399"	"fnukad&"	"lax.kd dk gLrk{kj      i;Zos{kd dk gLrk{kj"	""	""	""	""
"400"	"izi=&20"	""	""	""	""	""
"401"	"x.kuk dk ifj.kke"	""	""	""	""	""
"402"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""
"403"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""
"404"	""	""	""	""	"17th round"	""
"405"	"ernku dsUnz
la[;k"	"Hkwnso pkS/kjh"	"eUns'oj
dqekj eaVw"	"equhyky
ikloku"	"jkts'k
dqekj"	"erks dk ;ksx"
"406"	""	"1"	"2"	"3"	"4"	"5"
"407"	"211"	"154"	"13"	"76"	"63"	"306"
"408"	"212"	"82"	"23"	"123"	"78"	"306"
"409"	""	"236"	"36"	"199"	"141"	"612"
"410"	"LFkku&"	""	""	""	""	""
"411"	""	""	""	""	""	""
"412"	"fnukad&"	"lax.kd dk gLrk{kj      i;Zos{kd dk gLrk{kj"	""	""	""	""
