"X.See.Rule.56c.2.c."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"47"	"35A"	"39"	"79"	"2"	"48"	"7"	"1"	"4"	"4"	"1"	"4"	"8"	"0"	"197"	"197"	"0"
"48"	"36"	"58"	"124"	"10"	"71"	"12"	"4"	"3"	"4"	"1"	"3"	"16"	"0"	"306"	"306"	"0"
"49"	"36A"	"27"	"93"	"2"	"27"	"0"	"1"	"0"	"4"	"0"	"1"	"13"	"0"	"168"	"168"	"0"
"50"	"37"	"17"	"181"	"9"	"38"	"7"	"1"	"4"	"2"	"2"	"11"	"20"	"0"	"292"	"292"	"0"
"51"	"38"	"10"	"105"	"5"	"127"	"5"	"1"	"0"	"3"	"2"	"5"	"6"	"0"	"269"	"269"	"0"
"52"	"39"	"1"	"54"	"2"	"150"	"6"	"1"	"0"	"2"	"6"	"3"	"9"	"0"	"234"	"234"	"0"
"53"	"40"	"12"	"89"	"5"	"149"	"1"	"3"	"1"	"3"	"1"	"1"	"6"	"0"	"271"	"271"	"0"
"54"	"41"	"15"	"69"	"4"	"175"	"6"	"1"	"2"	"5"	"1"	"2"	"7"	"0"	"287"	"287"	"0"
"55"	"42"	"72"	"209"	"16"	"87"	"15"	"5"	"3"	"12"	"11"	"11"	"16"	"0"	"457"	"457"	"0"
"56"	"43"	"22"	"152"	"16"	"63"	"5"	"4"	"7"	"7"	"4"	"8"	"8"	"0"	"296"	"296"	"0"
"57"	"44"	"25"	"103"	"6"	"242"	"8"	"3"	"2"	"4"	"4"	"6"	"19"	"0"	"422"	"422"	"0"
"58"	"45"	"35"	"82"	"7"	"198"	"3"	"2"	"0"	"6"	"0"	"1"	"6"	"0"	"340"	"340"	"0"
"59"	"46"	"101"	"155"	"12"	"147"	"5"	"1"	"0"	"5"	"0"	"2"	"8"	"0"	"436"	"436"	"0"
"60"	"47"	"16"	"32"	"6"	"119"	"10"	"7"	"6"	"11"	"3"	"4"	"26"	"0"	"240"	"240"	"0"
"61"	"47A"	"1"	"63"	"2"	"163"	"7"	"0"	"2"	"3"	"1"	"3"	"2"	"0"	"247"	"247"	"0"
"62"	"48"	"21"	"171"	"10"	"341"	"13"	"2"	"2"	"4"	"3"	"4"	"12"	"0"	"583"	"583"	"0"
"63"	"49"	"12"	"184"	"2"	"102"	"1"	"1"	"0"	"2"	"0"	"4"	"4"	"0"	"312"	"312"	"0"
"64"	"49A"	"5"	"183"	"5"	"113"	"5"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"314"	"314"	"0"
"65"	"50"	"14"	"70"	"4"	"112"	"3"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"205"	"205"	"0"
"66"	"51"	"30"	"189"	"19"	"186"	"9"	"9"	"4"	"8"	"7"	"10"	"22"	"0"	"493"	"493"	"0"
"67"	"52"	"7"	"209"	"8"	"58"	"6"	"3"	"4"	"2"	"1"	"4"	"16"	"0"	"318"	"318"	"0"
"68"	"53"	"18"	"164"	"1"	"39"	"3"	"0"	"0"	"0"	"1"	"2"	"4"	"0"	"232"	"232"	"0"
"69"	"54"	"14"	"296"	"14"	"70"	"4"	"2"	"0"	"1"	"0"	"8"	"5"	"0"	"414"	"414"	"0"
"70"	"55"	"31"	"220"	"9"	"89"	"9"	"0"	"0"	"1"	"3"	"7"	"8"	"0"	"377"	"377"	"0"
"71"	"56"	"34"	"188"	"11"	"184"	"16"	"2"	"3"	"3"	"3"	"0"	"8"	"0"	"452"	"452"	"0"
"72"	"57"	"19"	"161"	"7"	"222"	"8"	"3"	"2"	"4"	"6"	"6"	"6"	"0"	"444"	"444"	"0"
"73"	"58"	"5"	"118"	"11"	"172"	"5"	"0"	"2"	"2"	"1"	"1"	"2"	"0"	"319"	"319"	"0"
"74"	"59"	"33"	"169"	"15"	"204"	"13"	"2"	"2"	"7"	"5"	"1"	"13"	"0"	"464"	"464"	"0"
"75"	"60"	"21"	"53"	"3"	"54"	"4"	"2"	"3"	"1"	"1"	"0"	"10"	"0"	"152"	"152"	"0"
"76"	"61"	"24"	"237"	"11"	"124"	"10"	"5"	"1"	"6"	"3"	"9"	"16"	"0"	"446"	"446"	"0"
"77"	"62"	"40"	"348"	"17"	"187"	"8"	"2"	"5"	"4"	"6"	"12"	"18"	""	"647"	"647"	"0"
"78"	"63"	"17"	"66"	"6"	"169"	"4"	"1"	"1"	"1"	"0"	"2"	"5"	""	"272"	"272"	"0"
"79"	"64"	"16"	"204"	"14"	"95"	"9"	"2"	"1"	"3"	"2"	"4"	"10"	""	"360"	"360"	"0"
"80"	"65"	"31"	"260"	"11"	"143"	"5"	"5"	"1"	"7"	"4"	"10"	"11"	""	"488"	"488"	"0"
"81"	"66"	"19"	"163"	"5"	"62"	"10"	"2"	"2"	"4"	"6"	"11"	"16"	""	"300"	"300"	"0"
"82"	"67"	"11"	"212"	"9"	"88"	"3"	"1"	"1"	"2"	"0"	"2"	"10"	""	"339"	"339"	"0"
"83"	"68"	"5"	"95"	"3"	"36"	"7"	"3"	"1"	"0"	"1"	"3"	"15"	""	"169"	"169"	"0"
"84"	"69"	"8"	"365"	"8"	"40"	"2"	"1"	"3"	"1"	"2"	"4"	"6"	"0"	"440"	"440"	"0"
"85"	"70"	"6"	"203"	"3"	"35"	"4"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"253"	"253"	"0"
"86"	"71"	"6"	"217"	"2"	"14"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"245"	"245"	"0"
"87"	"72"	"11"	"312"	"6"	"27"	"2"	"1"	"0"	"1"	"1"	"4"	"11"	"0"	"376"	"376"	"0"
"88"	"73"	"15"	"374"	"6"	"21"	"10"	"1"	"4"	"3"	"0"	"1"	"15"	"0"	"450"	"450"	"0"
"89"	"74"	"10"	"405"	"12"	"18"	"3"	"2"	"2"	"3"	"2"	"10"	"9"	"0"	"476"	"476"	"0"
"90"	"75"	"12"	"236"	"9"	"21"	"2"	"4"	"1"	"3"	"2"	"3"	"9"	"0"	"302"	"302"	"0"
"91"	"76"	"11"	"416"	"9"	"24"	"3"	"0"	"0"	"0"	"0"	"0"	"3"	""	"466"	"466"	"0"
"92"	"77"	"14"	"148"	"7"	"161"	"5"	"3"	"3"	"3"	"2"	"3"	"11"	""	"360"	"360"	"0"
"93"	"78"	"21"	"185"	"6"	"93"	"6"	"1"	"1"	"5"	"7"	"8"	"28"	""	"361"	"361"	"0"
"94"	"79"	"13"	"301"	"5"	"23"	"3"	"0"	"2"	"2"	"0"	"6"	"2"	""	"357"	"357"	"0"
"95"	"80"	"16"	"224"	"14"	"57"	"6"	"1"	"1"	"0"	"4"	"9"	"10"	""	"342"	"342"	"0"
"96"	"80A"	"6"	"153"	"1"	"45"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	""	"208"	"208"	"0"
"97"	"81"	"70"	"356"	"10"	"19"	"2"	"0"	"0"	"1"	"0"	"1"	"6"	""	"465"	"465"	"0"
"98"	"82"	"29"	"136"	"15"	"29"	"6"	"4"	"1"	"1"	"2"	"3"	"7"	"0"	"233"	"233"	"0"
"99"	"83"	"20"	"76"	"8"	"90"	"4"	"0"	"1"	"2"	"3"	"11"	"23"	"0"	"238"	"238"	"0"
"100"	"84"	"7"	"133"	"9"	"67"	"13"	"3"	"3"	"8"	"1"	"8"	"21"	"0"	"273"	"273"	"0"
"101"	"84A"	"24"	"67"	"8"	"28"	"6"	"1"	"1"	"3"	"4"	"2"	"16"	"0"	"160"	"160"	"0"
"102"	"85"	"35"	"195"	"21"	"154"	"18"	"8"	"2"	"12"	"8"	"10"	"35"	"0"	"498"	"498"	"0"
"103"	"86"	"138"	"102"	"20"	"19"	"9"	"2"	"2"	"4"	"3"	"4"	"7"	"0"	"310"	"310"	"0"
"104"	"87"	"57"	"68"	"1"	"26"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"155"	"155"	"0"
"105"	"88"	"39"	"170"	"9"	"87"	"9"	"2"	"0"	"2"	"1"	"1"	"4"	""	"324"	"324"	"0"
"106"	"88A"	"55"	"73"	"14"	"77"	"9"	"3"	"1"	"5"	"1"	"1"	"10"	""	"249"	"249"	"0"
"107"	"89"	"4"	"115"	"7"	"204"	"5"	"1"	"0"	"1"	"0"	"2"	"3"	""	"342"	"342"	"0"
"108"	"89A"	"5"	"30"	"2"	"110"	"0"	"1"	"0"	"2"	"0"	"0"	"3"	""	"153"	"153"	"0"
"109"	"90"	"3"	"43"	"4"	"120"	"4"	"1"	"2"	"9"	"0"	"6"	"18"	""	"210"	"210"	"0"
"110"	"90A"	"2"	"28"	"5"	"142"	"5"	"1"	"4"	"3"	"1"	"5"	"10"	""	"206"	"206"	"0"
"111"	"91"	"38"	"326"	"16"	"38"	"5"	"2"	"1"	"3"	"4"	"4"	"7"	""	"444"	"444"	"0"
"112"	"92"	"31"	"424"	"16"	"23"	"4"	"1"	"2"	"1"	"2"	"15"	"6"	"0"	"525"	"525"	"0"
"113"	"93"	"21"	"31"	"6"	"177"	"5"	"0"	"2"	"3"	"0"	"1"	"1"	"0"	"247"	"247"	"0"
"114"	"94"	"302"	"42"	"3"	"161"	"8"	"1"	"2"	"1"	"0"	"0"	"4"	"0"	"524"	"524"	"0"
"115"	"95"	"223"	"89"	"3"	"95"	"5"	"1"	"0"	"3"	"1"	"2"	"5"	"0"	"427"	"427"	"0"
"116"	"96"	"343"	"23"	"3"	"120"	"6"	"0"	"0"	"2"	"0"	"0"	"11"	"0"	"508"	"508"	"0"
"117"	"97"	"86"	"101"	"10"	"128"	"12"	"1"	"6"	"5"	"9"	"5"	"21"	"0"	"384"	"384"	"0"
"118"	"98"	"5"	"103"	"3"	"220"	"4"	"1"	"2"	"3"	"3"	"1"	"8"	"0"	"353"	"353"	"0"
"119"	"98A"	"9"	"173"	"12"	"123"	"1"	"1"	"1"	"2"	"0"	"2"	"4"	""	"328"	"328"	"0"
"120"	"99"	"26"	"241"	"9"	"132"	"6"	"2"	"1"	"4"	"4"	"9"	"16"	""	"450"	"450"	"0"
"121"	"100"	"8"	"97"	"8"	"172"	"8"	"9"	"3"	"5"	"2"	"5"	"5"	""	"322"	"322"	"0"
"122"	"100A"	"15"	"164"	"4"	"174"	"7"	"1"	"1"	"0"	"1"	"1"	"2"	""	"370"	"370"	"0"
"123"	"101"	"20"	"154"	"1"	"146"	"11"	"0"	"0"	"3"	"0"	"2"	"5"	""	"342"	"342"	"0"
"124"	"102"	"19"	"210"	"17"	"276"	"10"	"4"	"3"	"11"	"3"	"6"	"17"	""	"576"	"576"	"0"
"125"	"103"	"11"	"112"	"5"	"171"	"2"	"5"	"4"	"4"	"3"	"3"	"2"	""	"322"	"322"	"0"
"126"	"104"	"33"	"175"	"6"	"319"	"17"	"2"	"2"	"5"	"2"	"4"	"9"	"0"	"574"	"574"	"0"
"127"	"105"	"32"	"78"	"3"	"43"	"7"	"0"	"1"	"2"	"1"	"0"	"6"	"0"	"173"	"173"	"0"
"128"	"106"	"26"	"248"	"17"	"210"	"19"	"5"	"9"	"6"	"6"	"3"	"16"	"0"	"565"	"565"	"0"
"129"	"107"	"42"	"261"	"16"	"146"	"10"	"1"	"2"	"4"	"4"	"9"	"11"	"0"	"506"	"506"	"0"
"130"	"108"	"18"	"125"	"9"	"329"	"8"	"1"	"2"	"5"	"2"	"6"	"9"	"0"	"514"	"514"	"0"
"131"	"109"	"20"	"223"	"8"	"17"	"4"	"1"	"0"	"2"	"0"	"1"	"7"	"0"	"283"	"283"	"0"
"132"	"109A"	"19"	"244"	"2"	"46"	"3"	"1"	"3"	"1"	"5"	"3"	"16"	"0"	"343"	"343"	"0"
"133"	"110"	"11"	"181"	"10"	"257"	"10"	"3"	"2"	"1"	"1"	"3"	"15"	""	"494"	"494"	"0"
"134"	"111"	"10"	"124"	"3"	"242"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	""	"383"	"383"	"0"
"135"	"112"	"19"	"173"	"14"	"290"	"11"	"2"	"3"	"6"	"3"	"4"	"9"	""	"534"	"534"	"0"
"136"	"113"	"31"	"203"	"4"	"122"	"10"	"1"	"1"	"2"	"5"	"5"	"7"	""	"391"	"391"	"0"
"137"	"113A"	"11"	"203"	"9"	"83"	"7"	"1"	"1"	"2"	"0"	"1"	"3"	""	"321"	"321"	"0"
"138"	"114"	"19"	"151"	"1"	"310"	"8"	"2"	"0"	"2"	"0"	"2"	"4"	""	"499"	"499"	"0"
"139"	"115"	"16"	"118"	"12"	"195"	"8"	"4"	"1"	"3"	"2"	"0"	"12"	""	"371"	"371"	"0"
"140"	"115A"	"8"	"75"	"5"	"159"	"6"	"3"	"1"	"1"	"0"	"3"	"3"	"0"	"264"	"264"	"0"
"141"	"116"	"39"	"266"	"6"	"132"	"5"	"3"	"5"	"3"	"1"	"5"	"7"	"0"	"472"	"472"	"0"
"142"	"116A"	"34"	"156"	"5"	"121"	"3"	"1"	"0"	"1"	"0"	"0"	"6"	"0"	"327"	"327"	"0"
"143"	"117"	"15"	"57"	"27"	"430"	"10"	"3"	"3"	"6"	"6"	"8"	"12"	"0"	"577"	"577"	"0"
"144"	"118"	"20"	"121"	"9"	"146"	"5"	"4"	"0"	"1"	"1"	"3"	"5"	"0"	"315"	"315"	"0"
"145"	"119"	"11"	"211"	"14"	"171"	"6"	"1"	"2"	"7"	"5"	"8"	"7"	"0"	"443"	"443"	"0"
"146"	"120"	"15"	"107"	"63"	"294"	"5"	"3"	"4"	"2"	"2"	"2"	"5"	"0"	"502"	"502"	"0"
"147"	"121"	"170"	"43"	"8"	"202"	"4"	"2"	"12"	"4"	"2"	"5"	"15"	""	"467"	"467"	"0"
"148"	"122"	"150"	"51"	"32"	"187"	"7"	"1"	"8"	"2"	"1"	"3"	"10"	""	"452"	"452"	"0"
"149"	"123"	"71"	"99"	"11"	"276"	"3"	"0"	"5"	"0"	"1"	"2"	"8"	""	"476"	"476"	"0"
"150"	"124"	"9"	"85"	"4"	"229"	"8"	"2"	"3"	"1"	"2"	"3"	"10"	""	"356"	"356"	"0"
"151"	"124A"	"9"	"56"	"8"	"152"	"6"	"2"	"2"	"1"	"1"	"1"	"4"	""	"242"	"242"	"0"
"152"	"125"	"31"	"76"	"5"	"193"	"12"	"5"	"4"	"9"	"4"	"9"	"50"	""	"398"	"398"	"0"
"153"	"125A"	"12"	"138"	"7"	"114"	"7"	"2"	"0"	"4"	"0"	"1"	"7"	""	"292"	"292"	"0"
"154"	"126"	"16"	"174"	"10"	"123"	"8"	"3"	"2"	"2"	"6"	"7"	"0"	"0"	"351"	"351"	"0"
"155"	"127"	"81"	"109"	"14"	"129"	"14"	"1"	"3"	"2"	"1"	"5"	"4"	"0"	"363"	"363"	"0"
"156"	"128"	"15"	"95"	"8"	"237"	"3"	"2"	"2"	"4"	"2"	"5"	"6"	"0"	"379"	"379"	"0"
"157"	"129"	"47"	"79"	"10"	"296"	"14"	"6"	"2"	"14"	"5"	"8"	"23"	"0"	"504"	"504"	"0"
"158"	"130"	"107"	"44"	"12"	"192"	"8"	"3"	"3"	"1"	"5"	"1"	"6"	"0"	"382"	"382"	"0"
"159"	"130A"	"21"	"38"	"3"	"105"	"8"	"2"	"1"	"3"	"4"	"3"	"9"	"0"	"197"	"197"	"0"
"160"	"131"	"89"	"60"	"13"	"194"	"8"	"5"	"3"	"3"	"3"	"2"	"20"	"0"	"400"	"400"	"0"
"161"	"131A"	"26"	"36"	"12"	"135"	"4"	"2"	"2"	"0"	"3"	"4"	"8"	""	"232"	"232"	"0"
"162"	"132"	"24"	"101"	"17"	"495"	"10"	"1"	"1"	"6"	"3"	"9"	"20"	""	"687"	"687"	"0"
"163"	"133"	"7"	"81"	"4"	"395"	"1"	"3"	"5"	"2"	"0"	"4"	"6"	""	"508"	"508"	"0"
"164"	"134"	"3"	"90"	"7"	"246"	"6"	"1"	"1"	"1"	"1"	"2"	"0"	""	"358"	"358"	"0"
"165"	"135"	"20"	"97"	"6"	"270"	"5"	"1"	"0"	"3"	"2"	"2"	"2"	""	"408"	"408"	"0"
"166"	"136"	"13"	"51"	"48"	"349"	"2"	"1"	"2"	"5"	"1"	"1"	"13"	""	"486"	"486"	"0"
"167"	"137"	"26"	"27"	"4"	"290"	"6"	"1"	"1"	"6"	"4"	"7"	"9"	""	"381"	"381"	"0"
"168"	"137A"	"12"	"24"	"6"	"333"	"7"	"3"	"3"	"4"	"2"	"2"	"7"	"0"	"403"	"403"	"0"
"169"	"138"	"5"	"31"	"20"	"213"	"1"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"273"	"273"	"0"
"170"	"139"	"17"	"109"	"9"	"516"	"5"	"1"	"3"	"3"	"2"	"4"	"7"	"0"	"676"	"676"	"0"
"171"	"140"	"7"	"72"	"11"	"434"	"6"	"0"	"0"	"6"	"2"	"2"	"2"	"0"	"542"	"542"	"0"
"172"	"140A"	"5"	"71"	"9"	"267"	"6"	"4"	"1"	"2"	"0"	"4"	"3"	"0"	"372"	"372"	"0"
"173"	"141"	"4"	"95"	"5"	"305"	"4"	"0"	"2"	"1"	"0"	"3"	"10"	"0"	"429"	"429"	"0"
"174"	"142"	"7"	"295"	"13"	"149"	"5"	"1"	"2"	"1"	"2"	"1"	"1"	"0"	"477"	"477"	"0"
"175"	"143"	"22"	"160"	"9"	"211"	"19"	"4"	"0"	"5"	"5"	"1"	"8"	""	"444"	"444"	"0"
"176"	"143A"	"5"	"135"	"8"	"101"	"8"	"0"	"4"	"3"	"2"	"4"	"19"	""	"289"	"289"	"0"
"177"	"144"	"2"	"73"	"5"	"203"	"6"	"0"	"0"	"0"	"3"	"3"	"10"	""	"305"	"305"	"0"
"178"	"145"	"120"	"155"	"10"	"213"	"12"	"2"	"3"	"2"	"1"	"3"	"13"	""	"534"	"534"	"0"
"179"	"146"	"10"	"148"	"11"	"150"	"5"	"1"	"3"	"1"	"2"	"5"	"14"	""	"350"	"350"	"0"
"180"	"147"	"65"	"240"	"32"	"156"	"10"	"5"	"3"	"4"	"3"	"4"	"14"	""	"536"	"536"	"0"
"181"	"148"	"41"	"238"	"13"	"116"	"5"	"4"	"5"	"5"	"4"	"8"	"12"	""	"451"	"451"	"0"
"182"	"149"	"16"	"209"	"18"	"40"	"16"	"5"	"2"	"4"	"5"	"12"	"23"	"0"	"350"	"350"	"0"
"183"	"150"	"37"	"188"	"5"	"182"	"9"	"3"	"2"	"3"	"4"	"7"	"19"	"0"	"459"	"459"	"0"
"184"	"151"	"44"	"237"	"14"	"120"	"13"	"2"	"4"	"4"	"5"	"11"	"15"	"0"	"469"	"469"	"0"
"185"	"152"	"21"	"122"	"2"	"87"	"7"	"1"	"0"	"2"	"0"	"2"	"1"	"0"	"245"	"245"	"0"
"186"	"153"	"274"	"115"	"6"	"9"	"5"	"2"	"1"	"0"	"4"	"0"	"11"	"0"	"427"	"427"	"0"
"187"	"154"	"6"	"130"	"3"	"232"	"5"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"379"	"379"	"0"
"188"	"154A"	"12"	"219"	"5"	"76"	"5"	"1"	"1"	"1"	"0"	"5"	"7"	"0"	"332"	"332"	"0"
"189"	"155"	"10"	"159"	"14"	"87"	"4"	"1"	"1"	"4"	"2"	"4"	"13"	""	"299"	"299"	"0"
"190"	"156"	"38"	"122"	"5"	"42"	"6"	"1"	"1"	"0"	"3"	"6"	"9"	""	"233"	"233"	"0"
"191"	"157"	"26"	"268"	"13"	"61"	"9"	"4"	"2"	"3"	"4"	"3"	"2"	""	"395"	"395"	"0"
"192"	"158"	"24"	"226"	"6"	"10"	"1"	"0"	"0"	"1"	"1"	"1"	"3"	""	"273"	"273"	"0"
"193"	"159"	"19"	"281"	"7"	"13"	"3"	"0"	"1"	"0"	"0"	"3"	"1"	""	"328"	"328"	"0"
"194"	"159A"	"22"	"213"	"5"	"8"	"1"	"0"	"3"	"4"	"4"	"4"	"13"	""	"277"	"277"	"0"
"195"	"160"	"12"	"149"	"15"	"140"	"9"	"2"	"4"	"9"	"5"	"8"	"26"	""	"379"	"379"	"0"
"196"	"161"	"26"	"193"	"5"	"59"	"3"	"3"	"2"	"3"	"3"	"8"	"13"	"0"	"318"	"318"	"0"
"197"	"162"	"5"	"184"	"8"	"144"	"8"	"2"	"2"	"6"	"2"	"3"	"17"	"0"	"381"	"381"	"0"
"198"	"162A"	"7"	"62"	"2"	"110"	"5"	"3"	"4"	"2"	"4"	"9"	"12"	"0"	"220"	"220"	"0"
"199"	"163"	"13"	"107"	"4"	"131"	"8"	"1"	"0"	"2"	"0"	"1"	"1"	"0"	"268"	"268"	"0"
"200"	"163A"	"23"	"184"	"8"	"13"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"233"	"233"	"0"
"201"	"164"	"13"	"178"	"12"	"30"	"7"	"3"	"0"	"1"	"0"	"7"	"14"	"0"	"265"	"265"	"0"
"202"	"164A"	"14"	"100"	"4"	"36"	"2"	"0"	"3"	"2"	"1"	"4"	"6"	"0"	"172"	"172"	"0"
