"ASSEMBLY.ELECTION...2005"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"32"	"23"	"50"	"69"	"8"	"25"	"78"	"19"	"249"	""	"249"	""
"33"	"24"	"19"	"3"	"0"	"113"	"12"	"3"	"150"	""	"150"	""
"34"	"25"	"4"	"23"	"4"	"207"	"96"	"11"	"345"	""	"345"	""
"35"	"26"	"107"	"65"	"8"	"66"	"18"	"22"	"286"	""	"286"	""
"36"	"27"	"1"	"7"	"1"	"64"	"21"	"3"	"97"	""	"97"	""
"37"	"28"	"3"	"102"	"2"	"170"	"171"	"13"	"461"	""	"461"	""
"38"	"29"	"38"	"33"	"64"	"152"	"103"	"23"	"413"	""	"413"	""
"39"	"30"	"1"	"2"	"2"	"116"	"169"	"6"	"296"	""	"296"	""
"40"	"31"	"5"	"5"	"4"	"205"	"73"	"11"	"303"	""	"303"	""
"41"	"32"	"31"	"98"	"83"	"293"	"22"	"13"	"540"	""	"540"	""
"42"	"33"	"2"	"14"	"0"	"158"	"22"	"2"	"198"	""	"198"	""
"43"	"33A"	"9"	"5"	"1"	"91"	"69"	"11"	"186"	""	"186"	""
"44"	"34"	"8"	"5"	"0"	"4"	"123"	"6"	"146"	""	"146"	""
"45"	"35"	"10"	"24"	"3"	"103"	"30"	"2"	"172"	""	"172"	""
"46"	"36"	"1"	"103"	"2"	"89"	"3"	"2"	"200"	""	"200"	""
"47"	"36 A"	"20"	"47"	"7"	"33"	"29"	"6"	"142"	""	"142"	""
"48"	"37"	"2"	"22"	"4"	"20"	"334"	"9"	"391"	""	"391"	""
"49"	"38"	"27"	"54"	"17"	"162"	"29"	"7"	"296"	""	"296"	""
"50"	"39"	"18"	"112"	"51"	"146"	"259"	"23"	"609"	""	"609"	""
"51"	"40"	"42"	"28"	"43"	"69"	"73"	"16"	"271"	""	"271"	""
"52"	"41"	"2"	"5"	"0"	"10"	"299"	"9"	"325"	""	"325"	""
"53"	"42"	"9"	"1"	"2"	"6"	"316"	"22"	"356"	""	"356"	""
"54"	"43"	"6"	"3"	"4"	"19"	"274"	"28"	"334"	""	"334"	""
"55"	"44"	"6"	"49"	"1"	"92"	"157"	"6"	"311"	""	"311"	""
"56"	"45"	"49"	"87"	"34"	"36"	"118"	"16"	"340"	""	"340"	""
"57"	"46"	"110"	"48"	"11"	"129"	"67"	"26"	"391"	""	"391"	""
"58"	"47"	"36"	"4"	"9"	"180"	"35"	"7"	"271"	""	"271"	""
"59"	"48"	"19"	"11"	"54"	"90"	"45"	"12"	"231"	""	"231"	""
"60"	"49"	"3"	"14"	"3"	"66"	"64"	"5"	"155"	""	"155"	""
"61"	"50"	"36"	"27"	"2"	"95"	"52"	"2"	"214"	""	"214"	""
"62"	"51"	"114"	"34"	"9"	"64"	"73"	"9"	"303"	""	"303"	""
"63"	"51 A"	"10"	"101"	"6"	"36"	"103"	"16"	"272"	""	"272"	""
"64"	"52"	"108"	"31"	"4"	"87"	"101"	"12"	"343"	""	"343"	""
"65"	"53"	"176"	"65"	"4"	"42"	"35"	"26"	"348"	""	"348"	""
"66"	"54"	"141"	"24"	"7"	"112"	"68"	"11"	"363"	""	"363"	""
"67"	"55"	"172"	"7"	"0"	"155"	"38"	"3"	"375"	""	"375"	""
"68"	"56"	"67"	"56"	"6"	"50"	"82"	"9"	"270"	""	"270"	""
"69"	"57"	"140"	"112"	"13"	"52"	"213"	"18"	"548"	""	"548"	""
"70"	"58"	"83"	"94"	"9"	"104"	"129"	"15"	"434"	""	"434"	""
"71"	"59"	"9"	"58"	"22"	"192"	"36"	"12"	"329"	""	"329"	""
"72"	"60"	"185"	"42"	"14"	"70"	"161"	"21"	"493"	""	"493"	""
"73"	"61"	"37"	"19"	"6"	"42"	"178"	"3"	"285"	""	"285"	""
"74"	"62"	"22"	"44"	"6"	"178"	"102"	"23"	"375"	""	"375"	""
"75"	"63"	"4"	"113"	"2"	"31"	"32"	"9"	"191"	""	"191"	""
"76"	"64"	"6"	"94"	"10"	"126"	"8"	"4"	"248"	""	"248"	""
"77"	"65"	"73"	"45"	"4"	"67"	"101"	"10"	"300"	""	"300"	""
"78"	"66"	"35"	"58"	"10"	"137"	"85"	"14"	"339"	""	"339"	""
"79"	"67"	"30"	"55"	"7"	"49"	"75"	"9"	"225"	""	"225"	""
"80"	"67 A"	"3"	"39"	"13"	"60"	"61"	"2"	"178"	""	"178"	""
"81"	"68"	"56"	"39"	"6"	"200"	"50"	"9"	"360"	""	"360"	""
"82"	"69"	"85"	"123"	"11"	"56"	"115"	"9"	"399"	""	"399"	""
"83"	"70"	"72"	"27"	"11"	"74"	"16"	"13"	"213"	""	"213"	""
"84"	"71"	"11"	"12"	"26"	"53"	"175"	"13"	"290"	""	"290"	""
"85"	"72"	"12"	"301"	"19"	"16"	"56"	"20"	"424"	""	"424"	""
"86"	"73"	"9"	"51"	"73"	"143"	"19"	"4"	"299"	""	"299"	""
"87"	"74"	"37"	"54"	"5"	"134"	"23"	"10"	"263"	""	"263"	""
"88"	"75"	"6"	"59"	"4"	"17"	"66"	"12"	"164"	""	"164"	""
"89"	"76"	"31"	"43"	"6"	"26"	"102"	"7"	"215"	""	"215"	""
"90"	"77"	"5"	"3"	"54"	"6"	"190"	"4"	"262"	""	"262"	""
"91"	"78"	"59"	"45"	"50"	"49"	"10"	"7"	"220"	""	"220"	""
"92"	"79"	"6"	"43"	"13"	"24"	"241"	"18"	"345"	""	"345"	""
"93"	"80"	"17"	"20"	"17"	"120"	"32"	"6"	"212"	""	"212"	""
"94"	"81"	"66"	"17"	"7"	"57"	"64"	"7"	"218"	""	"218"	""
"95"	"82"	"7"	"12"	"1"	"0"	"42"	"4"	"66"	""	"66"	""
"96"	"83"	"36"	"91"	"12"	"35"	"198"	"9"	"381"	""	"381"	""
"97"	"84"	"8"	"3"	"1"	"18"	"425"	"18"	"473"	""	"473"	""
"98"	"85"	"139"	"33"	"2"	"13"	"63"	"9"	"259"	""	"259"	""
"99"	"86"	"4"	"0"	"1"	"4"	"344"	"8"	"361"	""	"361"	""
"100"	"87"	"25"	"68"	"10"	"103"	"175"	"20"	"401"	""	"401"	""
"101"	"88"	"8"	"51"	"4"	"12"	"221"	"14"	"310"	""	"310"	""
"102"	"89"	"1"	"1"	"0"	"3"	"254"	"1"	"260"	""	"260"	""
"103"	"90"	"11"	"30"	"16"	"163"	"36"	"10"	"266"	""	"266"	""
"104"	"90 A"	"43"	"35"	"30"	"92"	"55"	"16"	"271"	""	"271"	""
"105"	"91"	"14"	"22"	"10"	"180"	"43"	"8"	"277"	""	"277"	""
"106"	"91 A"	"6"	"41"	"4"	"103"	"34"	"5"	"193"	""	"193"	""
"107"	"92"	"4"	"10"	"3"	"262"	"66"	"5"	"350"	""	"350"	""
"108"	"93"	"119"	"61"	"7"	"44"	"23"	"10"	"264"	""	"264"	""
"109"	"94"	"1"	"1"	"0"	"11"	"281"	"4"	"298"	""	"298"	""
"110"	"94 A"	"5"	"8"	"1"	"29"	"188"	"9"	"240"	""	"240"	""
"111"	"95"	"3"	"31"	"1"	"111"	"178"	"21"	"345"	""	"345"	""
"112"	"95 A"	"8"	"37"	"10"	"70"	"51"	"7"	"183"	""	"183"	""
"113"	"96"	"9"	"29"	"2"	"286"	"25"	"3"	"354"	""	"354"	""
"114"	"97"	"25"	"76"	"21"	"165"	"105"	"28"	"420"	""	"420"	""
"115"	"98"	"3"	"3"	"9"	"10"	"476"	"11"	"512"	""	"512"	""
"116"	"99"	"10"	"20"	"8"	"245"	"84"	"7"	"374"	""	"374"	""
"117"	"100"	"7"	"10"	"5"	"208"	"45"	"16"	"291"	""	"291"	""
"118"	"100A"	"12"	"17"	"5"	"118"	"46"	"6"	"204"	""	"204"	""
"119"	"101"	"9"	"55"	"5"	"92"	"91"	"3"	"255"	""	"255"	""
"120"	"102"	"6"	"21"	"3"	"45"	"88"	"0"	"163"	""	"163"	""
"121"	"103"	"9"	"58"	"3"	"62"	"108"	"2"	"242"	""	"242"	""
"122"	"104"	"13"	"39"	"5"	"139"	"120"	"5"	"321"	""	"321"	""
"123"	"105"	"1"	"19"	"1"	"142"	"17"	"0"	"180"	""	"180"	""
"124"	"106"	"6"	"45"	"3"	"161"	"84"	"7"	"306"	""	"306"	""
"125"	"107"	"8"	"60"	"3"	"147"	"98"	"6"	"322"	""	"322"	""
"126"	"108"	"4"	"14"	"2"	"186"	"61"	"7"	"274"	""	"274"	""
"127"	"109"	"14"	"18"	"1"	"283"	"101"	"4"	"421"	""	"421"	""
"128"	"110"	"35"	"66"	"17"	"97"	"217"	"15"	"447"	""	"447"	""
"129"	"111"	"1"	"20"	"2"	"185"	"82"	"3"	"293"	""	"293"	""
"130"	"112"	"10"	"27"	"1"	"168"	"78"	"13"	"297"	""	"297"	""
"131"	"113"	"13"	"86"	"7"	"192"	"102"	"12"	"412"	""	"412"	""
"132"	"114"	"5"	"10"	"1"	"224"	"58"	"3"	"301"	""	"301"	""
"133"	"115"	"27"	"89"	"3"	"151"	"156"	"20"	"446"	""	"446"	""
"134"	"116"	"61"	"31"	"10"	"228"	"78"	"16"	"424"	""	"424"	""
"135"	"117"	"19"	"9"	"6"	"145"	"46"	"8"	"233"	""	"233"	""
"136"	"118"	"24"	"102"	"6"	"140"	"130"	"20"	"422"	""	"422"	""
"137"	"119"	"3"	"16"	"5"	"121"	"71"	"8"	"224"	""	"224"	""
"138"	"119 A"	"1"	"24"	"0"	"91"	"9"	"0"	"125"	""	"125"	""
"139"	"120"	"9"	"4"	"1"	"91"	"22"	"7"	"134"	""	"134"	""
"140"	"121"	"7"	"37"	"0"	"159"	"39"	"2"	"244"	""	"244"	""
"141"	"122"	"5"	"140"	"6"	"23"	"108"	"17"	"299"	""	"299"	""
"142"	"123"	"3"	"90"	"2"	"128"	"29"	"4"	"256"	""	"256"	""
"143"	"124"	"1"	"77"	"1"	"95"	"18"	"1"	"193"	""	"193"	""
"144"	"124 A"	"6"	"33"	"0"	"159"	"18"	"7"	"223"	""	"223"	""
"145"	"125"	"0"	"1"	"1"	"17"	"159"	"5"	"183"	""	"183"	""
"146"	"126"	"7"	"15"	"1"	"194"	"66"	"2"	"285"	""	"285"	""
"147"	"127"	"10"	"22"	"1"	"260"	"36"	"6"	"335"	""	"335"	""
"148"	"127 A"	"3"	"5"	"1"	"170"	"41"	"4"	"224"	""	"224"	""
"149"	"128"	"20"	"83"	"67"	"69"	"95"	"13"	"347"	""	"347"	""
"150"	"129"	"6"	"15"	"6"	"253"	"55"	"10"	"345"	""	"345"	""
"151"	"130"	"10"	"50"	"8"	"55"	"165"	"13"	"301"	""	"301"	""
"152"	"131"	"6"	"12"	"4"	"226"	"68"	"2"	"318"	""	"318"	""
"153"	"132"	"13"	"30"	"2"	"153"	"142"	"6"	"346"	""	"346"	""
"154"	"133"	"1"	"1"	"1"	"41"	"112"	"4"	"160"	""	"160"	""
"155"	"134"	"5"	"40"	"0"	"148"	"9"	"2"	"204"	""	"204"	""
"156"	"134 A"	"4"	"21"	"0"	"101"	"6"	"3"	"135"	""	"135"	""
"157"	"135"	"1"	"25"	"1"	"185"	"7"	"2"	"221"	""	"221"	""
"158"	"136"	"0"	"0"	"2"	"2"	"152"	"1"	"157"	""	"157"	""
"159"	"137"	"7"	"64"	"10"	"57"	"231"	"13"	"382"	""	"382"	""
"160"	"138"	"1"	"24"	"1"	"171"	"141"	"8"	"346"	""	"346"	""
"161"	"139"	"14"	"93"	"9"	"283"	"122"	"18"	"539"	""	"539"	""
"162"	"140"	"16"	"47"	"3"	"75"	"404"	"30"	"575"	""	"575"	""
"163"	"141"	"186"	"31"	"4"	"38"	"12"	"7"	"278"	""	"278"	""
"164"	"142"	"130"	"17"	"7"	"31"	"92"	"10"	"287"	""	"287"	""
"165"	"143"	"37"	"36"	"11"	"104"	"271"	"24"	"483"	""	"483"	""
"166"	"144"	"69"	"3"	"2"	"3"	"134"	"6"	"217"	""	"217"	""
"167"	"145"	"95"	"97"	"14"	"53"	"21"	"4"	"284"	""	"284"	""
"168"	"146"	"119"	"13"	"2"	"2"	"107"	"7"	"250"	""	"250"	""
"169"	"147"	"164"	"37"	"12"	"122"	"18"	"18"	"371"	""	"371"	""
"170"	"148"	"65"	"31"	"21"	"23"	"116"	"16"	"272"	""	"272"	""
"171"	"148 A"	"23"	"72"	"10"	"10"	"106"	"9"	"230"	""	"230"	""
"172"	"149"	"100"	"5"	"7"	"11"	"364"	"3"	"490"	""	"490"	""
"173"	"150"	"0"	"5"	"0"	"4"	"492"	"0"	"501"	""	"501"	""
"174"	"151"	"68"	"38"	"34"	"20"	"151"	"19"	"330"	""	"330"	""
"175"	"151 A"	"13"	"9"	"5"	"3"	"199"	"7"	"236"	""	"236"	""
"176"	"152"	"10"	"28"	"1"	"92"	"9"	"6"	"146"	""	"146"	""
"177"	"153"	"14"	"4"	"1"	"3"	"139"	"10"	"171"	""	"171"	""
"178"	"154"	"41"	"77"	"13"	"96"	"171"	"10"	"408"	""	"408"	""
"179"	"155"	"49"	"5"	"3"	"96"	"65"	"5"	"223"	""	"223"	""
"180"	"156"	"68"	"17"	"4"	"40"	"173"	"6"	"308"	""	"308"	""
"181"	"157"	"74"	"92"	"5"	"102"	"19"	"8"	"300"	""	"300"	""
"182"	"158"	"26"	"30"	"12"	"39"	"164"	"13"	"284"	""	"284"	""
"183"	"158 A"	"29"	"44"	"6"	"83"	"44"	"13"	"219"	""	"219"	""
"184"	"159"	"77"	"172"	"17"	"99"	"59"	"4"	"428"	""	"428"	""
"185"	"160"	"52"	"8"	"6"	"72"	"239"	"10"	"387"	""	"387"	""
"186"	"161"	"91"	"55"	"5"	"74"	"108"	"6"	"339"	""	"339"	""
"187"	"161 A"	"103"	"42"	"4"	"70"	"18"	"4"	"241"	""	"241"	""
"188"	"162"	"12"	"77"	"11"	"129"	"29"	"8"	"266"	""	"266"	""
"189"	"162 A"	"3"	"14"	"3"	"133"	"15"	"6"	"174"	""	"174"	""
"190"	"163"	"8"	"31"	"4"	"107"	"17"	"1"	"168"	""	"168"	""
"191"	"164"	"4"	"2"	"5"	"6"	"184"	"9"	"210"	""	"210"	""
"192"	"165"	"18"	"34"	"4"	"7"	"318"	"20"	"401"	""	"401"	""
"193"	"166"	"89"	"22"	"11"	"78"	"146"	"13"	"359"	""	"359"	""
"194"	"167"	"19"	"22"	"4"	"239"	"38"	"13"	"335"	""	"335"	""
"195"	"167 A"	"1"	"8"	"0"	"165"	"29"	"0"	"203"	""	"203"	""
"196"	"168"	"33"	"55"	"11"	"285"	"52"	"27"	"463"	""	"463"	""
"197"	"169"	"46"	"112"	"13"	"248"	"44"	"11"	"474"	""	"474"	""
"198"	"169A"	"31"	"8"	"31"	"180"	"15"	"9"	"274"	""	"274"	""
"199"	"170"	"10"	"6"	"8"	"376"	"52"	"17"	"469"	""	"469"	""
"200"	"171"	"3"	"1"	"0"	"4"	"311"	"10"	"329"	""	"329"	""
"201"	"172"	"15"	"2"	"0"	"5"	"307"	"14"	"343"	""	"343"	""
"202"	"173"	"37"	"5"	"4"	"83"	"115"	"9"	"253"	""	"253"	""
"203"	"174"	"19"	"4"	"3"	"3"	"269"	"2"	"300"	""	"300"	""
"204"	"175"	"30"	"15"	"13"	"18"	"380"	"30"	"486"	""	"486"	""
"205"	"176"	"1"	"3"	"0"	"25"	"338"	"7"	"374"	""	"374"	""
"206"	"176 A"	"0"	"4"	"0"	"8"	"161"	"2"	"175"	""	"175"	""
"207"	"177"	"20"	"26"	"2"	"93"	"138"	"1"	"280"	""	"280"	""
"208"	"178"	"51"	"200"	"8"	"34"	"83"	"11"	"387"	""	"387"	""
"209"	"179"	"69"	"8"	"2"	"76"	"21"	"10"	"186"	""	"186"	""
"210"	"180"	"147"	"68"	"12"	"157"	"26"	"8"	"418"	""	"418"	""
"211"	"181"	"278"	"34"	"12"	"77"	"118"	"26"	"545"	""	"545"	""
"212"	"182"	"215"	"54"	"8"	"116"	"30"	"20"	"443"	""	"443"	""
"213"	"183"	"52"	"8"	"29"	"32"	"249"	"18"	"388"	""	"388"	""
"214"	"184"	"11"	"25"	"99"	"95"	"187"	"13"	"430"	""	"430"	""
"215"	"185"	"23"	"21"	"61"	"150"	"85"	"16"	"356"	""	"356"	""
"216"	"186"	"5"	"68"	"11"	"149"	"18"	"6"	"257"	""	"257"	""
"217"	"187"	"23"	"6"	"5"	"227"	"89"	"6"	"356"	""	"356"	""
"218"	"188"	"55"	"107"	"24"	"204"	"64"	"19"	"473"	""	"473"	""
"219"	"189"	"43"	"44"	"8"	"42"	"88"	"6"	"231"	""	"231"	""
"220"	"190"	"0"	"8"	"0"	"2"	"187"	"6"	"203"	""	"203"	""
"221"	"191"	"66"	"49"	"9"	"24"	"146"	"12"	"306"	""	"306"	""
"222"	"192"	"41"	"150"	"50"	"80"	"207"	"35"	"563"	""	"563"	""
"223"	"193"	"101"	"15"	"5"	"113"	"34"	"9"	"277"	""	"277"	""
"224"	"194"	"47"	"2"	"0"	"9"	"458"	"3"	"519"	""	"519"	""
"225"	"195"	"14"	"70"	"22"	"118"	"68"	"11"	"303"	""	"303"	""
"226"	"196"	"8"	"53"	"92"	"243"	"18"	"4"	"418"	""	"418"	""
"227"	"197"	"22"	"161"	"18"	"23"	"157"	"11"	"392"	""	"392"	""
"228"	"198"	"19"	"107"	"11"	"73"	"139"	"34"	"383"	""	"383"	""
"229"	"199"	"7"	"65"	"4"	"7"	"263"	"9"	"355"	""	"355"	""
"230"	"200"	"64"	"91"	"11"	"94"	"96"	"5"	"361"	""	"361"	""
"231"	"200 A"	"7"	"52"	"14"	"64"	"136"	"4"	"277"	""	"277"	""
"232"	"201"	"21"	"27"	"107"	"197"	"27"	"22"	"401"	""	"401"	""
"233"	"202"	"14"	"56"	"10"	"51"	"154"	"29"	"314"	""	"314"	""
"234"	"203"	"30"	"58"	"9"	"152"	"43"	"19"	"311"	""	"311"	""
"235"	"204"	"0"	"0"	"1"	"43"	"190"	"4"	"238"	""	"238"	""
"236"	"205"	"52"	"13"	"10"	"60"	"33"	"6"	"174"	""	"174"	""
"237"	"206"	"136"	"13"	"7"	"97"	"39"	"14"	"306"	""	"306"	""
"238"	"207"	"27"	"20"	"5"	"101"	"66"	"10"	"229"	""	"229"	""
"239"	"208"	"34"	"80"	"4"	"88"	"17"	"7"	"230"	""	"230"	""
"240"	"209"	"167"	"31"	"2"	"9"	"426"	"15"	"650"	""	"650"	""
"241"	"210"	"33"	"35"	"114"	"108"	"31"	"11"	"332"	""	"332"	""
"242"	"211"	"7"	"41"	"8"	"96"	"34"	"6"	"192"	""	"192"	""
"243"	"211 A"	"34"	"34"	"14"	"58"	"12"	"7"	"159"	""	"159"	""
"244"	"212"	"5"	"114"	"34"	"161"	"45"	"6"	"365"	""	"365"	""
"245"	"213"	"23"	"170"	"20"	"13"	"277"	"19"	"522"	""	"522"	""
"246"	"214"	"34"	"28"	"7"	"26"	"180"	"27"	"302"	""	"302"	""
"247"	"214 A"	"12"	"8"	"3"	"9"	"243"	"24"	"299"	""	"299"	""
"248"	"215"	"5"	"195"	"4"	"205"	"4"	"11"	"424"	""	"424"	""
"249"	"216"	"6"	"1"	"1"	"3"	"240"	"5"	"256"	""	"256"	""
"250"	"217"	"13"	"43"	"3"	"25"	"123"	"13"	"220"	""	"220"	""
"251"	"218"	"27"	"108"	"29"	"25"	"93"	"30"	"312"	""	"312"	""
"252"	"219"	"3"	"27"	"14"	"60"	"228"	"6"	"338"	""	"338"	""
"253"	"220"	"9"	"3"	"1"	"4"	"109"	"11"	"137"	""	"137"	""
"254"	"220 A"	"28"	"28"	"7"	"46"	"218"	"15"	"342"	""	"342"	""
"255"	"221"	"9"	"70"	"5"	"82"	"154"	"7"	"327"	""	"327"	""
"256"	"222"	"15"	"22"	"30"	"23"	"239"	"19"	"348"	""	"348"	""
"257"	"223"	"9"	"122"	"3"	"31"	"241"	"21"	"427"	""	"427"	""
"258"	"224"	"23"	"83"	"14"	"20"	"213"	"34"	"387"	""	"387"	""
"259"	"225"	"17"	"119"	"11"	"82"	"256"	"35"	"520"	""	"520"	""
"260"	"226"	"3"	"72"	"2"	"67"	"0"	"3"	"147"	""	"147"	""
"261"	"227"	"0"	"80"	"0"	"131"	"3"	"0"	"214"	""	"214"	""
"262"	"228"	"70"	"60"	"3"	"143"	"8"	"12"	"296"	""	"296"	""
"263"	"229"	"8"	"31"	"0"	"76"	"9"	"19"	"143"	""	"143"	""
"264"	"230"	"160"	"78"	"22"	"114"	"84"	"17"	"475"	""	"475"	""
"265"	"TOTAL"	"9677"	"11230"	"2778"	"24214"	"28693"	"2756"	"79348"	""	"79348"	""
"266"	"Postal Ballot Paper"	"0"	"0"	"0"	"1"	"3"	"0"	"4"	"3"	"4"	""
"267"	"Grand Total"	"9677"	"11230"	"2778"	"24215"	"28696"	"2756"	"79352"	"3"	"79352"	""
