"Round.Total"	"X12"	"X11A"	"X."	"X11"	"X10"	"X..1"	"X9"	"X8"	"X7"	"X..2"	"X6"	"X5"	"X..3"	"X4"	"X3"	"X..4"	"X2"	"X1A"	"X..5"	"X1"	"ROUND..I"	"ernku.dsUnz.dh.la..k"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"14"	0	NA	NA	""	NA	NA	""	NA	NA	NA	""	NA	NA	""	NA	NA	""	NA	NA	""	NA	""	"izzfzzfr{kssfssfir  eri=kssaassaa dh  laa-aa-"	""	""	""	""	""	""	""	""	""	""
"15"	5567	582	341	""	381	487	""	402	268	491	""	390	579	""	349	292	""	441	248	""	316	""	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir  erkssss dh  laa[aa[;k"	""	""	""	""	""	""	""	""	""	""
"16"	NA	NA	NA	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	NA	NA	""	NA	NA	NA	""	NA	NA	""	NA	NA	""	NA	NA	""	NA	""	""	""	""	""	""	""	""	""	""	""	""
"17"	NA	NA	NA	"MkŒ  vCnqqyqqy  xQqqjqqj"	NA	NA	""	NA	NA	NA	"ekssŒssŒ  ehj  gkfle"	NA	NA	"laataatho  dqqeqqekj  >k"	NA	NA	"fcgkjh  lknk"	NA	NA	"'kaadaadj  izzlzzlkn  Vssdssdjhoky"	NA	"f'ko  dqqeqqekj  flaagaag"	""	"jÙku  ikloku"	"jktssUssUnzzzz jke"	""	""	"fojssaanssaanzzzz ;kno"	"gfjukjk;.k  flaagaag"	"dqqyqqy  fof/kekU;  er"	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir  eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir  erkssss dh  laa[aa[;k"
"18"	NA	NA	NA	""	NA	NA	""	NA	NA	NA	""	NA	NA	""	NA	NA	""	NA	NA	""	NA	""	""	""	""	""	""	""	""	""	""	""	""
"19"	NA	NA	NA	"2130"	NA	NA	""	91	NA	NA	"316"	NA	NA	"2193"	NA	NA	"89"	NA	NA	"421"	NA	"34"	""	"53"	"63"	""	""	"36"	"141"	"5567"	"0"	"0"	"5567"
"20"	13	NA	NA	"14"	NA	NA	""	4	NA	NA	"12"	NA	NA	"55"	NA	NA	"3"	NA	NA	"6"	NA	""	""	"3"	"4"	""	""	"5"	"9"	"115"	""	""	"115"
"21"	14	NA	NA	"12"	NA	NA	""	4	NA	NA	"98"	NA	NA	"24"	NA	NA	"3"	NA	NA	"63"	NA	"2"	""	"4"	"8"	""	""	"3"	"8"	"229"	""	""	"229"
"22"	15	NA	NA	"95"	NA	NA	""	8	NA	NA	"12"	NA	NA	"95"	NA	NA	"2"	NA	NA	"34"	NA	"1"	""	"4"	"7"	""	""	"2"	"4"	"264"	""	""	"264"
"23"	16	NA	NA	"57"	NA	NA	""	9	NA	NA	"22"	NA	NA	"142"	NA	NA	"15"	NA	NA	"186"	NA	"12"	""	"8"	"11"	""	""	"13"	"23"	"498"	""	""	"498"
"24"	17	NA	NA	"154"	NA	NA	""	14	NA	NA	"14"	NA	NA	"120"	NA	NA	"8"	NA	NA	"84"	NA	"7"	""	"10"	"2"	""	""	"6"	"12"	"431"	""	""	"431"
"25"	18	NA	NA	"39"	NA	NA	""	5	NA	NA	"2"	NA	NA	"159"	NA	NA	"3"	NA	NA	"5"	NA	"2"	""	"4"	"1"	""	""	"2"	"9"	"231"	""	""	"231"
"26"	19	NA	NA	"8"	NA	NA	""	0	NA	NA	"1"	NA	NA	"307"	NA	NA	"5"	NA	NA	"17"	NA	"1"	""	"3"	"2"	""	""	"1"	"2"	"347"	""	""	"347"
"27"	20	NA	NA	"144"	NA	NA	""	4	NA	NA	"14"	NA	NA	"361"	NA	NA	"11"	NA	NA	"13"	NA	"4"	""	"6"	"5"	""	""	"6"	"5"	"573"	""	""	"573"
"28"	21	NA	NA	"57"	NA	NA	""	2	NA	NA	"8"	NA	NA	"304"	NA	NA	"7"	NA	NA	"15"	NA	"5"	""	"5"	"5"	""	""	"4"	"24"	"436"	""	""	"436"
"29"	22	NA	NA	"302"	NA	NA	""	19	NA	NA	"19"	NA	NA	"50"	NA	NA	"2"	NA	NA	"19"	NA	"6"	""	"3"	"6"	""	""	"8"	"14"	"448"	""	""	"448"
"30"	23	NA	NA	"470"	NA	NA	""	14	NA	NA	"37"	NA	NA	"63"	NA	NA	"3"	NA	NA	"12"	NA	"4"	""	"3"	"6"	""	""	"10"	"11"	"633"	""	""	"633"
"31"	24	NA	NA	"211"	NA	NA	""	11	NA	NA	"13"	NA	NA	"35"	NA	NA	"13"	NA	NA	"7"	NA	"6"	""	"2"	"0"	""	""	"6"	"7"	"311"	""	""	"311"
"32"	25	NA	NA	"463"	NA	NA	""	13	NA	NA	"12"	NA	NA	"31"	NA	NA	"4"	NA	NA	"14"	NA	"2"	""	"2"	"4"	""	""	"3"	"14"	"562"	""	""	"562"
"33"	26	NA	NA	"151"	NA	NA	""	4	NA	NA	"7"	NA	NA	"227"	NA	NA	"4"	NA	NA	"4"	NA	"2"	""	"4"	"9"	""	""	"2"	"7"	"421"	""	""	"421"
"34"	NA	NA	NA	"2177"	NA	NA	""	111	NA	NA	"271"	NA	NA	"1973"	NA	NA	"83"	NA	NA	"479"	NA	"54"	""	"61"	"70"	""	""	"71"	"149"	"5499"	"0"	"0"	"5499"
"35"	NA	NA	NA	"4307"	NA	NA	""	202	NA	NA	"587"	NA	NA	"4166"	NA	NA	"172"	NA	NA	"900"	NA	"88"	""	"114"	"133"	""	""	"107"	"290"	"11066"	"0"	"0"	"11066"
"36"	NA	NA	NA	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	NA	NA	""	NA	NA	NA	""	NA	NA	""	NA	NA	""	NA	NA	""	NA	""	""	""	""	""	""	""	""	""	""	""	""
"37"	NA	NA	NA	"MkŒ  vCnqqyqqy  xQqqjqqj"	NA	NA	""	NA	NA	NA	"ekssŒssŒ  ehj  gkfle"	NA	NA	"laataatho  dqqeqqekj  >k"	NA	NA	"fcgkjh  lknk"	NA	NA	"'kaadaadj  izzlzzlkn  Vssdssdjhoky"	NA	"f'ko  dqqeqqekj  flaagaag"	""	"jÙku  ikloku"	"jktssUssUnzzzz jke"	""	""	"fojssaanssaanzzzz ;kno"	"gfjukjk;.k  flaagaag"	"dqqyqqy  fof/kekU;  er"	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir  eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir  erkssss dh  laa[aa[;k"
"38"	NA	NA	NA	""	NA	NA	""	NA	NA	NA	""	NA	NA	""	NA	NA	""	NA	NA	""	NA	""	""	""	""	""	""	""	""	""	""	""	""
"39"	NA	NA	NA	"4307"	NA	NA	""	202	NA	NA	"587"	NA	NA	"4166"	NA	NA	"172"	NA	NA	"900"	NA	"88"	""	"114"	"133"	""	""	"107"	"290"	"11066"	"0"	"0"	"11066"
"40"	NA	NA	NA	"199"	NA	NA	""	6	NA	NA	"7"	NA	NA	"138"	NA	NA	"2"	NA	NA	"7"	NA	"2"	""	"3"	"1"	""	""	"2"	"4"	"371"	""	""	"371"
"41"	27	NA	NA	"115"	NA	NA	""	6	NA	NA	"7"	NA	NA	"165"	NA	NA	"6"	NA	NA	"38"	NA	"4"	""	"10"	"8"	""	""	"3"	"8"	"370"	""	""	"370"
"42"	NA	NA	NA	"150"	NA	NA	""	13	NA	NA	"8"	NA	NA	"82"	NA	NA	"8"	NA	NA	"55"	NA	"7"	""	"2"	"6"	""	""	"10"	"19"	"360"	""	""	"360"
"43"	28	NA	NA	"116"	NA	NA	""	11	NA	NA	"11"	NA	NA	"303"	NA	NA	"16"	NA	NA	"91"	NA	"2"	""	"8"	"4"	""	""	"4"	"15"	"581"	""	""	"581"
"44"	29	NA	NA	"34"	NA	NA	""	3	NA	NA	"9"	NA	NA	"168"	NA	NA	"13"	NA	NA	"43"	NA	"1"	""	"0"	"2"	""	""	"3"	"5"	"281"	""	""	"281"
"45"	NA	NA	NA	"92"	NA	NA	""	4	NA	NA	"7"	NA	NA	"144"	NA	NA	"3"	NA	NA	"72"	NA	"3"	""	"7"	"4"	""	""	"4"	"9"	"349"	""	""	"349"
"46"	30	NA	NA	"50"	NA	NA	""	6	NA	NA	"5"	NA	NA	"163"	NA	NA	"3"	NA	NA	"26"	NA	"0"	""	"7"	"0"	""	""	"2"	"5"	"267"	""	""	"267"
"47"	NA	NA	NA	"45"	NA	NA	""	6	NA	NA	"4"	NA	NA	"203"	NA	NA	"5"	NA	NA	"50"	NA	"5"	""	"4"	"1"	""	""	"4"	"16"	"343"	""	""	"343"
"48"	31	NA	NA	"392"	NA	NA	""	17	NA	NA	"41"	NA	NA	"23"	NA	NA	"27"	NA	NA	"28"	NA	"6"	""	"8"	"5"	""	""	"2"	"7"	"556"	""	""	"556"
"49"	32	NA	NA	"271"	NA	NA	""	21	NA	NA	"12"	NA	NA	"41"	NA	NA	"4"	NA	NA	"32"	NA	"2"	""	"0"	"3"	""	""	"5"	"13"	"404"	""	""	"404"
"50"	33	NA	NA	"294"	NA	NA	""	13	NA	NA	"12"	NA	NA	"18"	NA	NA	"1"	NA	NA	"16"	NA	"3"	""	"0"	"4"	""	""	"0"	"2"	"363"	""	""	"363"
"51"	NA	NA	NA	"297"	NA	NA	""	17	NA	NA	"13"	NA	NA	"18"	NA	NA	"0"	NA	NA	"4"	NA	"3"	""	"0"	"2"	""	""	"5"	"6"	"365"	""	""	"365"
"52"	34	NA	NA	"411"	NA	NA	""	17	NA	NA	"11"	NA	NA	"50"	NA	NA	"5"	NA	NA	"6"	NA	"1"	""	"1"	"2"	""	""	"4"	"2"	"510"	""	""	"510"
"53"	35	NA	NA	"184"	NA	NA	""	4	NA	NA	"6"	NA	NA	"70"	NA	NA	"4"	NA	NA	"11"	NA	"7"	""	"1"	"4"	""	""	"2"	"2"	"295"	""	""	"295"
"54"	NA	NA	NA	"2650"	NA	NA	""	144	NA	NA	"153"	NA	NA	"1586"	NA	NA	"97"	NA	NA	"479"	NA	"46"	""	"51"	"46"	""	""	"50"	"113"	"5415"	"0"	"0"	"5415"
"55"	NA	NA	NA	"6957"	NA	NA	""	346	NA	NA	"740"	NA	NA	"5752"	NA	NA	"269"	NA	NA	"1379"	NA	"134"	""	"165"	"179"	""	""	"157"	"403"	"16481"	"0"	"0"	"16481"
"56"	NA	NA	NA	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	NA	NA	""	NA	NA	NA	""	NA	NA	""	NA	NA	""	NA	NA	""	NA	""	""	""	""	""	""	""	""	""	""	""	""
"57"	NA	NA	NA	"MkŒ  vCnqqyqqy  xQqqjqqj"	NA	NA	""	NA	NA	NA	"ekssŒssŒ  ehj  gkfle"	NA	NA	"laataatho  dqqeqqekj  >k"	NA	NA	"fcgkjh  lknk"	NA	NA	"'kaadaadj  izzlzzlkn  Vssdssdjhoky"	NA	"f'ko  dqqeqqekj  flaagaag"	""	"jÙku  ikloku"	"jktssUssUnzzzz jke"	""	""	"fojssaanssaanzzzz ;kno"	"gfjukjk;.k  flaagaag"	"dqqyqqy  fof/kekU;  er"	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir  eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir  erkssss dh  laa[aa[;k"
"58"	NA	NA	NA	""	NA	NA	""	NA	NA	NA	""	NA	NA	""	NA	NA	""	NA	NA	""	NA	""	""	""	""	""	""	""	""	""	""	""	""
"59"	NA	NA	NA	"6957"	NA	NA	""	346	NA	NA	"740"	NA	NA	"5752"	NA	NA	"269"	NA	NA	"1379"	NA	"134"	""	"165"	"179"	""	""	"157"	"403"	"16481"	"0"	"0"	"16481"
"60"	36	NA	NA	"453"	NA	NA	""	11	NA	NA	"9"	NA	NA	"0"	NA	NA	"7"	NA	NA	"7"	NA	"0"	""	"5"	"0"	""	""	"4"	"11"	"507"	""	""	"507"
"61"	37	NA	NA	"273"	NA	NA	""	8	NA	NA	"3"	NA	NA	"21"	NA	NA	"3"	NA	NA	"3"	NA	"1"	""	"4"	"2"	""	""	"6"	"24"	"348"	""	""	"348"
"62"	38	NA	NA	"101"	NA	NA	""	26	NA	NA	"38"	NA	NA	"191"	NA	NA	"11"	NA	NA	"204"	NA	"14"	""	"8"	"13"	""	""	"10"	"60"	"676"	""	""	"676"
"63"	39	NA	NA	"43"	NA	NA	""	2	NA	NA	"10"	NA	NA	"357"	NA	NA	"14"	NA	NA	"52"	NA	"3"	""	"6"	"3"	""	""	"1"	"6"	"497"	""	""	"497"
"64"	40	NA	NA	"27"	NA	NA	""	3	NA	NA	"25"	NA	NA	"270"	NA	NA	"8"	NA	NA	"28"	NA	"1"	""	"5"	"8"	""	""	"2"	"13"	"390"	""	""	"390"
"65"	41	NA	NA	"35"	NA	NA	""	4	NA	NA	"57"	NA	NA	"116"	NA	NA	"10"	NA	NA	"127"	NA	"7"	""	"9"	"10"	""	""	"4"	"17"	"396"	""	""	"396"
"66"	42	NA	NA	"164"	NA	NA	""	8	NA	NA	"45"	NA	NA	"35"	NA	NA	"2"	NA	NA	"38"	NA	"3"	""	"6"	"6"	""	""	"7"	"11"	"325"	""	""	"325"
"67"	43	NA	NA	"165"	NA	NA	""	10	NA	NA	"111"	NA	NA	"137"	NA	NA	"16"	NA	NA	"28"	NA	"6"	""	"8"	"20"	""	""	"5"	"13"	"519"	""	""	"519"
"68"	44	NA	NA	"39"	NA	NA	""	2	NA	NA	"6"	NA	NA	"332"	NA	NA	"3"	NA	NA	"22"	NA	"2"	""	"3"	"4"	""	""	"1"	"9"	"423"	""	""	"423"
"69"	45	NA	NA	"160"	NA	NA	""	13	NA	NA	"28"	NA	NA	"59"	NA	NA	"7"	NA	NA	"28"	NA	"0"	""	"1"	"5"	""	""	"2"	"5"	"308"	""	""	"308"
"70"	46	NA	NA	"215"	NA	NA	""	10	NA	NA	"9"	NA	NA	"131"	NA	NA	"7"	NA	NA	"79"	NA	"8"	""	"4"	"6"	""	""	"8"	"24"	"501"	""	""	"501"
"71"	47	NA	NA	"113"	NA	NA	""	7	NA	NA	"19"	NA	NA	"112"	NA	NA	"5"	NA	NA	"40"	NA	"6"	""	"2"	"3"	""	""	"2"	"8"	"317"	""	""	"317"
"72"	NA	NA	NA	"101"	NA	NA	""	8	NA	NA	"19"	NA	NA	"130"	NA	NA	"3"	NA	NA	"31"	NA	"4"	""	"3"	"2"	""	""	"0"	"0"	"301"	""	""	"301"
"73"	48	NA	NA	"301"	NA	NA	""	15	NA	NA	"18"	NA	NA	"159"	NA	NA	"9"	NA	NA	"44"	NA	"7"	""	"14"	"5"	""	""	"6"	"25"	"603"	""	""	"603"
"74"	NA	NA	NA	"2190"	NA	NA	""	127	NA	NA	"397"	NA	NA	"2050"	NA	NA	"105"	NA	NA	"731"	NA	"62"	""	"78"	"87"	""	""	"58"	"226"	"6111"	"0"	"0"	"6111"
"75"	NA	NA	NA	"9147"	NA	NA	""	473	NA	NA	"1137"	NA	NA	"7802"	NA	NA	"374"	NA	NA	"2110"	NA	"196"	""	"243"	"266"	""	""	"215"	"629"	"22592"	"0"	"0"	"22592"
"76"	NA	NA	NA	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	NA	NA	""	NA	NA	NA	""	NA	NA	""	NA	NA	""	NA	NA	""	NA	""	""	""	""	""	""	""	""	""	""	""	""
"77"	NA	NA	NA	"MkŒ  vCnqqyqqy  xQqqjqqj"	NA	NA	""	NA	NA	NA	"ekssŒssŒ  ehj  gkfle"	NA	NA	"laataatho  dqqeqqekj  >k"	NA	NA	"fcgkjh  lknk"	NA	NA	"'kaadaadj  izzlzzlkn  Vssdssdjhoky"	NA	"f'ko  dqqeqqekj  flaagaag"	""	"jÙku  ikloku"	"jktssUssUnzzzz jke"	""	""	"fojssaanssaanzzzz ;kno"	"gfjukjk;.k  flaagaag"	"dqqyqqy  fof/kekU;  er"	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir  eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir  erkssss dh  laa[aa[;k"
"78"	NA	NA	NA	""	NA	NA	""	NA	NA	NA	""	NA	NA	""	NA	NA	""	NA	NA	""	NA	""	""	""	""	""	""	""	""	""	""	""	""
"79"	NA	NA	NA	"9147"	NA	NA	""	473	NA	NA	"1137"	NA	NA	"7802"	NA	NA	"374"	NA	NA	"2110"	NA	"196"	""	"243"	"266"	""	""	"215"	"629"	"22592"	"0"	"0"	"22592"
"80"	49	NA	NA	"24"	NA	NA	""	2	NA	NA	"5"	NA	NA	"126"	NA	NA	"0"	NA	NA	"4"	NA	"0"	""	"0"	"0"	""	""	"0"	"0"	"161"	""	""	"161"
"81"	50	NA	NA	"200"	NA	NA	""	4	NA	NA	"2"	NA	NA	"212"	NA	NA	"8"	NA	NA	"25"	NA	"2"	""	"8"	"1"	""	""	"3"	"3"	"468"	""	""	"468"
"82"	51	NA	NA	"306"	NA	NA	""	17	NA	NA	"9"	NA	NA	"96"	NA	NA	"6"	NA	NA	"21"	NA	"2"	""	"6"	"6"	""	""	"4"	"23"	"496"	""	""	"496"
"83"	52	NA	NA	"105"	NA	NA	""	14	NA	NA	"10"	NA	NA	"355"	NA	NA	"20"	NA	NA	"19"	NA	"1"	""	"4"	"6"	""	""	"2"	"12"	"548"	""	""	"548"
"84"	53	NA	NA	"47"	NA	NA	""	0	NA	NA	"5"	NA	NA	"215"	NA	NA	"7"	NA	NA	"12"	NA	"0"	""	"4"	"1"	""	""	"3"	"7"	"301"	""	""	"301"
"85"	54	NA	NA	"83"	NA	NA	""	12	NA	NA	"17"	NA	NA	"146"	NA	NA	"63"	NA	NA	"16"	NA	"11"	""	"5"	"7"	""	""	"5"	"14"	"379"	""	""	"379"
"86"	NA	NA	NA	"122"	NA	NA	""	6	NA	NA	"5"	NA	NA	"141"	NA	NA	"8"	NA	NA	"5"	NA	"2"	""	"0"	"2"	""	""	"2"	"3"	"296"	""	""	"296"
"87"	55	NA	NA	"61"	NA	NA	""	4	NA	NA	"9"	NA	NA	"165"	NA	NA	"8"	NA	NA	"85"	NA	"3"	""	"8"	"3"	""	""	"1"	"10"	"357"	""	""	"357"
"88"	56	NA	NA	"26"	NA	NA	""	13	NA	NA	"149"	NA	NA	"28"	NA	NA	"6"	NA	NA	"0"	NA	"1"	""	"2"	"2"	""	""	"3"	"6"	"236"	""	""	"236"
"89"	57	NA	NA	"59"	NA	NA	""	3	NA	NA	"18"	NA	NA	"280"	NA	NA	"5"	NA	NA	"10"	NA	"1"	""	"3"	"4"	""	""	"0"	"8"	"391"	""	""	"391"
"90"	58	NA	NA	"455"	NA	NA	""	9	NA	NA	"4"	NA	NA	"8"	NA	NA	"1"	NA	NA	"0"	NA	"0"	""	"0"	"1"	""	""	"0"	"6"	"484"	""	""	"484"
"91"	59	NA	NA	"291"	NA	NA	""	14	NA	NA	"110"	NA	NA	"64"	NA	NA	"4"	NA	NA	"10"	NA	"1"	""	"6"	"19"	""	""	"3"	"20"	"542"	""	""	"542"
"92"	60	NA	NA	"345"	NA	NA	""	22	NA	NA	"78"	NA	NA	"34"	NA	NA	"7"	NA	NA	"43"	NA	"3"	""	"1"	"5"	""	""	"3"	"8"	"549"	""	""	"549"
"93"	61	NA	NA	"180"	NA	NA	""	7	NA	NA	"6"	NA	NA	"3"	NA	NA	"8"	NA	NA	"148"	NA	"4"	""	"3"	"4"	""	""	"7"	"19"	"389"	""	""	"389"
"94"	NA	NA	NA	"2304"	NA	NA	""	127	NA	NA	"427"	NA	NA	"1873"	NA	NA	"151"	NA	NA	"398"	NA	"31"	""	"50"	"61"	""	""	"36"	"139"	"5597"	"0"	"0"	"5597"
"95"	NA	NA	NA	"11451"	NA	NA	""	600	NA	NA	"1564"	NA	NA	"9675"	NA	NA	"525"	NA	NA	"2508"	NA	"227"	""	"293"	"327"	""	""	"251"	"768"	"28189"	"0"	"0"	"28189"
"96"	NA	NA	NA	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	NA	NA	""	NA	NA	NA	""	NA	NA	""	NA	NA	""	NA	NA	""	NA	""	""	""	""	""	""	""	""	""	""	""	""
"97"	NA	NA	NA	"MkŒ  vCnqqyqqy  xQqqjqqj"	NA	NA	""	NA	NA	NA	"ekssŒssŒ  ehj  gkfle"	NA	NA	"laataatho  dqqeqqekj  >k"	NA	NA	"fcgkjh  lknk"	NA	NA	"'kaadaadj  izzlzzlkn  Vssdssdjhoky"	NA	"f'ko  dqqeqqekj  flaagaag"	""	"jÙku  ikloku"	"jktssUssUnzzzz jke"	""	""	"fojssaanssaanzzzz ;kno"	"gfjukjk;.k  flaagaag"	"dqqyqqy  fof/kekU;  er"	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir  eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir  erkssss dh  laa[aa[;k"
"98"	NA	NA	NA	""	NA	NA	""	NA	NA	NA	""	NA	NA	""	NA	NA	""	NA	NA	""	NA	""	""	""	""	""	""	""	""	""	""	""	""
"99"	NA	NA	NA	"11451"	NA	NA	""	600	NA	NA	"1564"	NA	NA	"9675"	NA	NA	"525"	NA	NA	"2508"	NA	"227"	""	"293"	"327"	""	""	"251"	"768"	"28189"	"0"	"0"	"28189"
"100"	62	NA	NA	"252"	NA	NA	""	10	NA	NA	"7"	NA	NA	"5"	NA	NA	"1"	NA	NA	"77"	NA	"0"	""	"4"	"2"	""	""	"2"	"8"	"368"	""	""	"368"
"101"	63	NA	NA	"329"	NA	NA	""	8	NA	NA	"9"	NA	NA	"54"	NA	NA	"4"	NA	NA	"22"	NA	"7"	""	"6"	"5"	""	""	"3"	"11"	"458"	""	""	"458"
"102"	64	NA	NA	"306"	NA	NA	""	11	NA	NA	"53"	NA	NA	"14"	NA	NA	"5"	NA	NA	"39"	NA	"2"	""	"4"	"6"	""	""	"5"	"17"	"462"	""	""	"462"
"103"	65	NA	NA	"421"	NA	NA	""	17	NA	NA	"29"	NA	NA	"72"	NA	NA	"3"	NA	NA	"47"	NA	"3"	""	"4"	"2"	""	""	"4"	"10"	"612"	""	""	"612"
"104"	66	NA	NA	"564"	NA	NA	""	15	NA	NA	"4"	NA	NA	"20"	NA	NA	"2"	NA	NA	"1"	NA	"0"	""	"0"	"0"	""	""	"3"	"6"	"615"	""	""	"615"
"105"	67	NA	NA	"180"	NA	NA	""	8	NA	NA	"14"	NA	NA	"38"	NA	NA	"1"	NA	NA	"4"	NA	"0"	""	"0"	"0"	""	""	"3"	"5"	"253"	""	""	"253"
"106"	68	NA	NA	"270"	NA	NA	""	11	NA	NA	"64"	NA	NA	"81"	NA	NA	"11"	NA	NA	"21"	NA	"5"	""	"5"	"13"	""	""	"6"	"14"	"501"	""	""	"501"
"107"	69	NA	NA	"468"	NA	NA	""	15	NA	NA	"12"	NA	NA	"45"	NA	NA	"7"	NA	NA	"49"	NA	"2"	""	"5"	"4"	""	""	"6"	"11"	"624"	""	""	"624"
"108"	70	NA	NA	"320"	NA	NA	""	3	NA	NA	"2"	NA	NA	"99"	NA	NA	"5"	NA	NA	"6"	NA	"3"	""	"0"	"4"	""	""	"0"	"8"	"450"	""	""	"450"
"109"	71	NA	NA	"289"	NA	NA	""	4	NA	NA	"1"	NA	NA	"25"	NA	NA	"0"	NA	NA	"8"	NA	"1"	""	"3"	"0"	""	""	"1"	"2"	"334"	""	""	"334"
"110"	72	NA	NA	"419"	NA	NA	""	11	NA	NA	"11"	NA	NA	"57"	NA	NA	"2"	NA	NA	"7"	NA	"1"	""	"0"	"2"	""	""	"2"	"10"	"522"	""	""	"522"
"111"	73	NA	NA	"515"	NA	NA	""	4	NA	NA	"3"	NA	NA	"34"	NA	NA	"1"	NA	NA	"64"	NA	"4"	""	"4"	"1"	""	""	"6"	"7"	"643"	""	""	"643"
"112"	74	NA	NA	"294"	NA	NA	""	9	NA	NA	"6"	NA	NA	"29"	NA	NA	"1"	NA	NA	"10"	NA	"0"	""	"2"	"0"	""	""	"1"	"2"	"354"	""	""	"354"
"113"	75	NA	NA	"364"	NA	NA	""	15	NA	NA	"3"	NA	NA	"100"	NA	NA	"3"	NA	NA	"10"	NA	"1"	""	"4"	"3"	""	""	"5"	"15"	"523"	""	""	"523"
