"Name.of.the.Assembly....72.Pupri"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"46"	"35"	"21"	"252"	"104"	"149"	"13"	"19"	"11"	"9"	"7"	"13"	"17"	"615"	"-"	"615"	"-"
"47"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"48"	""	"Krishna Dev Rai"	"Ram Dulari Devi"	"Ram Pramod Sahni"	"Shahid Ali Khan"	"Shambhu Prasad"	"Sonelal Sah"	"Ashlam"	"Ehsanul Rahman"	"Dharmnath Paswan"	"Pappu Kumar Mishra"	"Mahtab Husain Azad"	""	""	""	""
"49"	"36"	"5"	"78"	"9"	"314"	"4"	"3"	"8"	"4"	"6"	"2"	"4"	"437"	"-"	"437"	"-"
"50"	"37"	"0"	"40"	"16"	"421"	"2"	"0"	"5"	"1"	"2"	"0"	"1"	"488"	"-"	"488"	"-"
"51"	"38"	"10"	"44"	"32"	"426"	"11"	"8"	"17"	"10"	"14"	"12"	"22"	"606"	"-"	"606"	"-"
"52"	"39"	"10"	"133"	"87"	"14"	"2"	"5"	"5"	"13"	"9"	"13"	"25"	"316"	"-"	"316"	"-"
"53"	"40"	"7"	"264"	"38"	"20"	"5"	"5"	"4"	"3"	"1"	"4"	"19"	"370"	"-"	"370"	"-"
"54"	"41"	"16"	"126"	"44"	"181"	"4"	"11"	"16"	"7"	"9"	"3"	"10"	"427"	"-"	"427"	"-"
"55"	"42"	"7"	"92"	"71"	"81"	"7"	"7"	"10"	"5"	"8"	"2"	"15"	"305"	"-"	"305"	"-"
"56"	"42A"	"7"	"12"	"53"	"87"	"2"	"4"	"3"	"7"	"12"	"9"	"13"	"209"	"-"	"209"	"-"
"57"	"43"	"11"	"150"	"19"	"95"	"8"	"4"	"5"	"0"	"2"	"3"	"3"	"300"	"-"	"300"	"-"
"58"	"44"	"21"	"311"	"43"	"56"	"6"	"7"	"5"	"4"	"6"	"7"	"24"	"490"	"-"	"490"	"-"
"59"	"45"	"18"	"317"	"28"	"84"	"4"	"2"	"6"	"3"	"5"	"4"	"6"	"477"	"-"	"477"	"-"
"60"	"46"	"11"	"146"	"62"	"103"	"3"	"7"	"8"	"7"	"1"	"5"	"16"	"369"	"-"	"369"	"-"
"61"	"47"	"28"	"359"	"71"	"35"	"4"	"9"	"1"	"1"	"4"	"8"	"10"	"530"	"-"	"530"	"-"
"62"	"48"	"25"	"477"	"31"	"46"	"5"	"4"	"5"	"3"	"5"	"4"	"24"	"629"	"-"	"629"	"-"
"63"	"49"	"28"	"528"	"40"	"16"	"4"	"1"	"4"	"3"	"3"	"4"	"5"	"636"	"-"	"636"	"-"
"64"	"50"	"6"	"71"	"7"	"256"	"4"	"0"	"2"	"1"	"2"	"0"	"2"	"351"	"-"	"351"	"-"
"65"	"50A"	"3"	"28"	"3"	"321"	"1"	"0"	"3"	"3"	"1"	"1"	"0"	"364"	"-"	"364"	"-"
"66"	"51"	"14"	"129"	"41"	"131"	"2"	"7"	"10"	"2"	"1"	"2"	"4"	"343"	"-"	"343"	"-"
"67"	"52"	"11"	"55"	"62"	"151"	"7"	"11"	"1"	"9"	"2"	"3"	"2"	"314"	"-"	"314"	"-"
"68"	"53"	"6"	"101"	"21"	"274"	"3"	"7"	"10"	"9"	"3"	"2"	"9"	"445"	"-"	"445"	"-"
"69"	"54"	"11"	"93"	"23"	"189"	"4"	"5"	"9"	"3"	"5"	"4"	"20"	"366"	"-"	"366"	"-"
"70"	"54A"	"11"	"76"	"78"	"108"	"2"	"10"	"11"	"7"	"5"	"2"	"19"	"329"	"-"	"329"	"-"
"71"	"55"	"7"	"87"	"7"	"411"	"11"	"7"	"6"	"4"	"4"	"8"	"15"	"567"	"-"	"567"	"-"
"72"	"56"	"5"	"131"	"14"	"196"	"10"	"1"	"9"	"8"	"7"	"2"	"15"	"398"	"-"	"398"	"-"
"73"	"57"	"6"	"113"	"7"	"208"	"1"	"2"	"8"	"1"	"5"	"2"	"7"	"360"	"-"	"360"	"-"
"74"	"58"	"10"	"58"	"68"	"89"	"3"	"14"	"13"	"7"	"9"	"10"	"10"	"291"	"-"	"291"	"-"
"75"	"59"	"1"	"60"	"6"	"180"	"5"	"4"	"11"	"4"	"0"	"3"	"7"	"281"	"-"	"281"	"-"
"76"	"59A"	"2"	"29"	"17"	"164"	"1"	"2"	"9"	"2"	"3"	"4"	"4"	"237"	"-"	"237"	"-"
"77"	"60"	"6"	"44"	"26"	"278"	"5"	"9"	"9"	"5"	"7"	"2"	"5"	"396"	"-"	"396"	"-"
"78"	"61"	"7"	"101"	"24"	"217"	"11"	"10"	"18"	"7"	"7"	"6"	"23"	"431"	"-"	"431"	"-"
"79"	"62"	"0"	"25"	"2"	"129"	"1"	"0"	"1"	"0"	"3"	"0"	"0"	"161"	"-"	"161"	"-"
"80"	"63"	"5"	"31"	"6"	"125"	"4"	"2"	"3"	"2"	"3"	"1"	"7"	"189"	"-"	"189"	"-"
"81"	"64"	"11"	"152"	"61"	"173"	"2"	"12"	"13"	"9"	"9"	"6"	"22"	"470"	"-"	"470"	"-"
"82"	"65"	"2"	"81"	"5"	"196"	"1"	"1"	"8"	"4"	"1"	"2"	"2"	"303"	"-"	"303"	"-"
"83"	"66"	"10"	"74"	"67"	"108"	"7"	"7"	"9"	"6"	"10"	"3"	"10"	"311"	"-"	"311"	"-"
"84"	"67"	"1"	"65"	"9"	"133"	"6"	"8"	"14"	"10"	"3"	"2"	"11"	"262"	"-"	"262"	"-"
"85"	"68"	"6"	"108"	"14"	"83"	"2"	"1"	"4"	"1"	"1"	"1"	"3"	"224"	"-"	"224"	"-"
"86"	"69"	"24"	"117"	"251"	"130"	"5"	"13"	"9"	"10"	"17"	"12"	"6"	"594"	"-"	"594"	"-"
"87"	"70"	"2"	"52"	"90"	"18"	"5"	"11"	"3"	"5"	"5"	"2"	"14"	"207"	"-"	"207"	"-"
"88"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"89"	""	"Krishna Dev Rai"	"Ram Dulari Devi"	"Ram Pramod Sahni"	"Shahid Ali Khan"	"Shambhu Prasad"	"Sonelal Sah"	"Ashlam"	"Ehsanul Rahman"	"Dharmnath Paswan"	"Pappu Kumar Mishra"	"Mahtab Husain Azad"	""	""	""	""
"90"	"71"	"8"	"26"	"166"	"118"	"2"	"6"	"10"	"7"	"8"	"1"	"13"	"365"	"-"	"365"	"-"
"91"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"92"	""	"Krishna Dev Rai"	"Ram Dulari Devi"	"Ram Pramod Sahni"	"Shahid Ali Khan"	"Shambhu Prasad"	"Sonelal Sah"	"Ashlam"	"Ehsanul Rahman"	"Dharmnath Paswan"	"Pappu Kumar Mishra"	"Mahtab Husain Azad"	""	""	""	""
"93"	"72"	"11"	"83"	"99"	"193"	"4"	"9"	"10"	"6"	"4"	"6"	"11"	"436"	"-"	"436"	"-"
"94"	"72A"	"8"	"88"	"104"	"171"	"4"	"13"	"8"	"6"	"6"	"6"	"9"	"423"	"-"	"423"	"-"
"95"	"73"	"9"	"51"	"116"	"142"	"2"	"9"	"12"	"6"	"6"	"3"	"6"	"362"	"-"	"362"	"-"
"96"	"74"	"13"	"78"	"186"	"267"	"11"	"14"	"16"	"22"	"12"	"9"	"14"	"642"	"-"	"642"	"-"
"97"	"75"	"8"	"64"	"28"	"333"	"6"	"4"	"15"	"3"	"2"	"0"	"3"	"466"	"-"	"466"	"-"
"98"	"76"	"5"	"62"	"9"	"207"	"6"	"1"	"8"	"1"	"0"	"1"	"5"	"305"	"-"	"305"	"-"
"99"	"77"	"4"	"80"	"76"	"84"	"1"	"2"	"2"	"4"	"1"	"0"	"1"	"255"	"-"	"255"	"-"
"100"	"78"	"15"	"238"	"34"	"242"	"4"	"3"	"10"	"2"	"5"	"5"	"5"	"563"	"-"	"563"	"-"
"101"	"79"	"7"	"177"	"8"	"299"	"0"	"2"	"9"	"1"	"3"	"2"	"2"	"510"	"-"	"510"	"-"
"102"	"80"	"2"	"31"	"1"	"172"	"3"	"1"	"6"	"4"	"1"	"3"	"4"	"228"	"-"	"228"	"-"
"103"	"80A"	"5"	"26"	"9"	"231"	"3"	"3"	"8"	"2"	"0"	"1"	"1"	"289"	"-"	"289"	"-"
"104"	"81"	"18"	"104"	"10"	"201"	"2"	"1"	"3"	"2"	"3"	"0"	"4"	"348"	"-"	"348"	"-"
"105"	"82"	"20"	"114"	"143"	"203"	"6"	"9"	"22"	"9"	"15"	"7"	"8"	"556"	"-"	"556"	"-"
"106"	"83"	"16"	"170"	"136"	"118"	"9"	"15"	"11"	"9"	"9"	"8"	"10"	"511"	"-"	"511"	"-"
"107"	"84"	"5"	"65"	"127"	"131"	"11"	"12"	"12"	"8"	"13"	"1"	"10"	"395"	"-"	"395"	"-"
"108"	"85"	"7"	"102"	"54"	"326"	"4"	"5"	"13"	"5"	"3"	"1"	"7"	"527"	"-"	"527"	"-"
"109"	"86"	"10"	"131"	"23"	"227"	"6"	"3"	"2"	"7"	"4"	"1"	"7"	"421"	"-"	"421"	"-"
"110"	"87"	"20"	"297"	"20"	"56"	"6"	"4"	"4"	"1"	"0"	"6"	"3"	"417"	"-"	"417"	"-"
"111"	"88"	"18"	"235"	"36"	"96"	"9"	"2"	"5"	"2"	"2"	"6"	"11"	"422"	"-"	"422"	"-"
"112"	"89"	"17"	"333"	"162"	"97"	"5"	"15"	"5"	"11"	"20"	"19"	"24"	"708"	"-"	"708"	"-"
"113"	"90"	"12"	"116"	"30"	"255"	"7"	"5"	"9"	"8"	"3"	"3"	"6"	"454"	"-"	"454"	"-"
"114"	"91"	"22"	"373"	"18"	"176"	"7"	"3"	"10"	"2"	"4"	"3"	"6"	"624"	"-"	"624"	"-"
"115"	"92"	"14"	"171"	"76"	"190"	"2"	"6"	"4"	"1"	"1"	"3"	"4"	"472"	"-"	"472"	"-"
"116"	"93"	"5"	"140"	"35"	"142"	"2"	"3"	"2"	"3"	"4"	"1"	"0"	"337"	"-"	"337"	"-"
"117"	"94"	"2"	"422"	"68"	"17"	"3"	"5"	"1"	"2"	"3"	"2"	"7"	"532"	"-"	"532"	"-"
"118"	"95"	"8"	"172"	"115"	"42"	"4"	"9"	"3"	"8"	"6"	"9"	"12"	"388"	"-"	"388"	"-"
"119"	"96"	"21"	"406"	"73"	"105"	"11"	"14"	"16"	"11"	"1"	"2"	"14"	"674"	"-"	"674"	"-"
"120"	"97"	"20"	"165"	"245"	"100"	"9"	"15"	"9"	"16"	"14"	"10"	"9"	"612"	"-"	"612"	"-"
"121"	"98"	"3"	"174"	"63"	"158"	"2"	"2"	"3"	"5"	"1"	"0"	"3"	"414"	"-"	"414"	"-"
"122"	"99"	"3"	"96"	"14"	"290"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"406"	"-"	"406"	"-"
"123"	"100"	"0"	"108"	"50"	"57"	"0"	"3"	"0"	"0"	"0"	"0"	"1"	"219"	"-"	"219"	"-"
"124"	"101"	"15"	"113"	"43"	"94"	"5"	"7"	"12"	"4"	"4"	"4"	"18"	"319"	"-"	"319"	"-"
"125"	"102"	"12"	"71"	"88"	"96"	"6"	"17"	"10"	"4"	"10"	"5"	"7"	"326"	"-"	"326"	"-"
"126"	"103"	"12"	"211"	"36"	"340"	"11"	"3"	"10"	"4"	"4"	"3"	"7"	"641"	"-"	"641"	"-"
"127"	"104"	"21"	"196"	"25"	"49"	"4"	"3"	"6"	"4"	"5"	"4"	"27"	"344"	"-"	"344"	"-"
"128"	"104A"	"18"	"80"	"26"	"133"	"5"	"8"	"10"	"7"	"0"	"4"	"14"	"305"	"-"	"305"	"-"
"129"	"105"	"3"	"75"	"21"	"69"	"3"	"3"	"5"	"1"	"2"	"1"	"3"	"186"	"-"	"186"	"-"
"130"	"106"	"3"	"109"	"99"	"49"	"3"	"8"	"3"	"6"	"5"	"3"	"4"	"292"	"-"	"292"	"-"
"131"	"107"	"14"	"195"	"120"	"44"	"4"	"9"	"2"	"6"	"2"	"2"	"8"	"406"	"-"	"406"	"-"
"132"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"133"	""	"Krishna Dev Rai"	"Ram Dulari Devi"	"Ram Pramod Sahni"	"Shahid Ali Khan"	"Shambhu Prasad"	"Sonelal Sah"	"Ashlam"	"Ehsanul Rahman"	"Dharmnath Paswan"	"Pappu Kumar Mishra"	"Mahtab Husain Azad"	""	""	""	""
"134"	"108"	"14"	"78"	"38"	"82"	"5"	"8"	"16"	"4"	"2"	"3"	"18"	"268"	"-"	"268"	"-"
"135"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"136"	""	"Krishna Dev Rai"	"Ram Dulari Devi"	"Ram Pramod Sahni"	"Shahid Ali Khan"	"Shambhu Prasad"	"Sonelal Sah"	"Ashlam"	"Ehsanul Rahman"	"Dharmnath Paswan"	"Pappu Kumar Mishra"	"Mahtab Husain Azad"	""	""	""	""
"137"	"109"	"3"	"94"	"22"	"112"	"0"	"6"	"2"	"4"	"1"	"3"	"1"	"248"	"-"	"248"	"-"
"138"	"110"	"0"	"40"	"18"	"158"	"4"	"2"	"6"	"3"	"5"	"1"	"11"	"248"	"-"	"248"	"-"
"139"	"111"	"0"	"27"	"12"	"210"	"4"	"3"	"5"	"1"	"0"	"0"	"1"	"263"	"-"	"263"	"-"
"140"	"112"	"6"	"73"	"51"	"184"	"2"	"4"	"9"	"4"	"4"	"1"	"13"	"351"	"-"	"351"	"-"
"141"	"112A"	"5"	"152"	"23"	"100"	"3"	"2"	"3"	"0"	"6"	"4"	"13"	"311"	"-"	"311"	"-"
"142"	"113"	"10"	"48"	"134"	"77"	"4"	"7"	"5"	"11"	"8"	"5"	"12"	"321"	"-"	"321"	"-"
"143"	"114"	"3"	"187"	"43"	"307"	"5"	"5"	"8"	"1"	"6"	"0"	"5"	"570"	"-"	"570"	"-"
"144"	"115"	"2"	"58"	"8"	"176"	"0"	"0"	"6"	"2"	"0"	"1"	"7"	"260"	"-"	"260"	"-"
"145"	"116"	"1"	"108"	"9"	"247"	"1"	"1"	"3"	"1"	"1"	"1"	"1"	"374"	"-"	"374"	"-"
"146"	"117"	"2"	"39"	"92"	"293"	"5"	"9"	"8"	"6"	"4"	"4"	"15"	"477"	"-"	"477"	"-"
"147"	"118"	"4"	"153"	"16"	"248"	"3"	"0"	"10"	"1"	"1"	"2"	"4"	"442"	"-"	"442"	"-"
"148"	"118A"	"4"	"67"	"17"	"198"	"0"	"1"	"2"	"1"	"1"	"2"	"1"	"294"	"-"	"294"	"-"
"149"	"119"	"0"	"69"	"23"	"199"	"0"	"1"	"1"	"2"	"4"	"0"	"2"	"301"	"-"	"301"	"-"
"150"	"120"	"2"	"90"	"35"	"241"	"3"	"2"	"8"	"5"	"4"	"1"	"3"	"394"	"-"	"394"	"-"
"151"	"120A"	"3"	"29"	"37"	"254"	"1"	"4"	"8"	"1"	"2"	"2"	"2"	"343"	"-"	"343"	"-"
"152"	"121"	"5"	"574"	"19"	"4"	"0"	"0"	"1"	"1"	"1"	"3"	"1"	"609"	"-"	"609"	"-"
"153"	"122"	"5"	"59"	"54"	"283"	"13"	"11"	"14"	"8"	"8"	"6"	"22"	"483"	"-"	"483"	"-"
"154"	"123"	"11"	"59"	"21"	"320"	"7"	"9"	"15"	"5"	"6"	"9"	"7"	"469"	"-"	"469"	"-"
"155"	"124"	"10"	"103"	"28"	"175"	"3"	"7"	"11"	"6"	"1"	"1"	"2"	"347"	"-"	"347"	"-"
"156"	"125"	"20"	"140"	"55"	"28"	"4"	"12"	"2"	"2"	"1"	"5"	"8"	"277"	"-"	"277"	"-"
"157"	"126"	"15"	"170"	"36"	"175"	"7"	"4"	"9"	"9"	"8"	"3"	"11"	"447"	"-"	"447"	"-"
"158"	"127"	"6"	"45"	"10"	"245"	"3"	"1"	"9"	"4"	"0"	"0"	"3"	"326"	"-"	"326"	"-"
"159"	"128"	"15"	"68"	"95"	"268"	"8"	"10"	"14"	"7"	"4"	"3"	"6"	"498"	"-"	"498"	"-"
"160"	"129"	"30"	"63"	"99"	"202"	"5"	"7"	"9"	"7"	"7"	"4"	"12"	"445"	"-"	"445"	"-"
"161"	"130"	"2"	"96"	"12"	"436"	"4"	"1"	"6"	"5"	"4"	"2"	"2"	"570"	"-"	"570"	"-"
"162"	"131"	"2"	"13"	"70"	"184"	"4"	"4"	"3"	"3"	"4"	"2"	"1"	"290"	"-"	"290"	"-"
"163"	"132"	"28"	"107"	"163"	"172"	"8"	"13"	"12"	"18"	"8"	"13"	"16"	"558"	"-"	"558"	"-"
"164"	"133"	"18"	"137"	"128"	"178"	"7"	"14"	"7"	"8"	"3"	"9"	"15"	"524"	"-"	"524"	"-"
"165"	"134"	"3"	"54"	"10"	"39"	"4"	"4"	"4"	"7"	"0"	"1"	"4"	"130"	"-"	"130"	"-"
"166"	"135"	"21"	"245"	"37"	"304"	"6"	"7"	"15"	"6"	"10"	"7"	"19"	"677"	"-"	"677"	"-"
"167"	"136"	"8"	"63"	"59"	"125"	"6"	"16"	"11"	"13"	"15"	"16"	"18"	"350"	"-"	"350"	"-"
"168"	"136A"	"3"	"60"	"36"	"123"	"3"	"4"	"3"	"2"	"4"	"1"	"3"	"242"	"-"	"242"	"-"
"169"	"137"	"10"	"98"	"17"	"241"	"12"	"6"	"17"	"10"	"2"	"4"	"10"	"427"	"-"	"427"	"-"
"170"	"138"	"5"	"214"	"25"	"209"	"7"	"2"	"11"	"4"	"3"	"12"	"13"	"505"	"-"	"505"	"-"
"171"	"139"	"5"	"102"	"22"	"181"	"5"	"10"	"15"	"16"	"4"	"6"	"15"	"381"	"-"	"381"	"-"
"172"	"139A"	"12"	"63"	"11"	"176"	"6"	"1"	"6"	"3"	"4"	"1"	"2"	"285"	"-"	"285"	"-"
"173"	"140"	"4"	"136"	"10"	"273"	"3"	"1"	"7"	"2"	"2"	"3"	"3"	"444"	"-"	"444"	"-"
"174"	"141"	"19"	"82"	"10"	"134"	"2"	"1"	"15"	"4"	"4"	"3"	"13"	"287"	"-"	"287"	"-"
"175"	"142"	"3"	"118"	"50"	"112"	"3"	"2"	"8"	"5"	"3"	"0"	"4"	"308"	"-"	"308"	"-"
"176"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"177"	""	"Krishna Dev Rai"	"Ram Dulari Devi"	"Ram Pramod Sahni"	"Shahid Ali Khan"	"Shambhu Prasad"	"Sonelal Sah"	"Ashlam"	"Ehsanul Rahman"	"Dharmnath Paswan"	"Pappu Kumar Mishra"	"Mahtab Husain Azad"	""	""	""	""
"178"	"142A"	"9"	"151"	"19"	"38"	"0"	"5"	"3"	"3"	"1"	"3"	"3"	"235"	"-"	"235"	"-"
"179"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"180"	""	"Krishna Dev Rai"	"Ram Dulari Devi"	"Ram Pramod Sahni"	"Shahid Ali Khan"	"Shambhu Prasad"	"Sonelal Sah"	"Ashlam"	"Ehsanul Rahman"	"Dharmnath Paswan"	"Pappu Kumar Mishra"	"Mahtab Husain Azad"	""	""	""	""
"181"	"143"	"9"	"250"	"27"	"124"	"5"	"3"	"3"	"7"	"4"	"4"	"7"	"443"	"-"	"443"	"-"
"182"	"144"	"20"	"151"	"14"	"115"	"6"	"4"	"8"	"8"	"3"	"8"	"27"	"364"	"-"	"364"	"-"
"183"	"144A"	"12"	"130"	"18"	"64"	"1"	"1"	"2"	"0"	"2"	"0"	"0"	"230"	"-"	"230"	"-"
"184"	"145"	"14"	"168"	"74"	"135"	"7"	"13"	"20"	"8"	"5"	"8"	"20"	"472"	"-"	"472"	"-"
"185"	"146"	"7"	"224"	"15"	"75"	"2"	"2"	"3"	"2"	"2"	"4"	"3"	"339"	"-"	"339"	"-"
"186"	"147"	"5"	"128"	"48"	"220"	"4"	"4"	"16"	"6"	"9"	"5"	"13"	"458"	"-"	"458"	"-"
"187"	"148"	"9"	"181"	"32"	"126"	"4"	"5"	"7"	"3"	"0"	"8"	"11"	"386"	"-"	"386"	"-"
