"ANNEXURE..XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"62"	"40"	"37"	"4"	"299"	"102"	"6"	"9"	"8"	"5"	"470"	"0"	"470"	"0"
"63"	"41"	"62"	"10"	"300"	"185"	"12"	"11"	"23"	"14"	"617"	"0"	"617"	"0"
"64"	"42"	"71"	"6"	"153"	"97"	"1"	"8"	"16"	"11"	"363"	"0"	"363"	"0"
"65"	"42A"	"62"	"5"	"127"	"109"	"4"	"6"	"11"	"6"	"330"	"0"	"330"	"0"
"66"	"43"	"105"	"5"	"228"	"246"	"6"	"4"	"20"	"11"	"625"	"0"	"625"	"0"
"67"	"44"	"30"	"3"	"156"	"135"	"6"	"7"	"19"	"16"	"372"	"0"	"372"	"0"
"68"	"44A"	"29"	"2"	"126"	"111"	"4"	"6"	"12"	"8"	"298"	"0"	"298"	"0"
"69"	"45"	"139"	"9"	"181"	"66"	"7"	"14"	"10"	"14"	"440"	"0"	"440"	"0"
"70"	"45A"	"22"	"1"	"77"	"79"	"2"	"8"	"5"	"1"	"195"	"0"	"195"	"0"
"71"	"46"	"77"	"6"	"248"	"197"	"15"	"5"	"14"	"8"	"570"	"0"	"570"	"0"
"72"	"47"	"42"	"5"	"242"	"167"	"9"	"10"	"10"	"11"	"496"	"0"	"496"	"0"
"73"	"48"	"85"	"5"	"195"	"54"	"8"	"8"	"5"	"5"	"365"	"0"	"365"	"0"
"74"	"48A"	"89"	"4"	"140"	"58"	"3"	"8"	"5"	"16"	"323"	"0"	"323"	"0"
"75"	"49"	"52"	"4"	"157"	"96"	"4"	"4"	"22"	"6"	"345"	"0"	"345"	"0"
"76"	"49A"	"35"	"3"	"148"	"104"	"7"	"3"	"44"	"3"	"347"	"0"	"347"	"0"
"77"	"50"	"91"	"4"	"198"	"168"	"8"	"11"	"14"	"8"	"502"	"0"	"502"	"0"
"78"	"51"	"47"	"4"	"94"	"232"	"12"	"5"	"5"	"11"	"410"	"0"	"410"	"0"
"79"	"51A"	"24"	"15"	"108"	"32"	"1"	"3"	"5"	"5"	"193"	"0"	"193"	"0"
"80"	"52"	"77"	"6"	"298"	"86"	"6"	"3"	"9"	"9"	"494"	"0"	"494"	"0"
"81"	"52A"	"53"	"5"	"168"	"17"	"1"	"4"	"3"	"2"	"253"	"0"	"253"	"0"
"82"	"53"	"52"	"6"	"233"	"234"	"15"	"12"	"14"	"16"	"582"	"0"	"582"	"0"
"83"	"54"	"32"	"3"	"116"	"169"	"6"	"12"	"33"	"15"	"386"	"0"	"386"	"0"
"84"	"54A"	"21"	"1"	"74"	"105"	"8"	"4"	"28"	"6"	"247"	"0"	"247"	"0"
"85"	"55"	"50"	"8"	"181"	"178"	"13"	"14"	"46"	"27"	"517"	"0"	"517"	"0"
"86"	"55A"	"18"	"3"	"61"	"95"	"3"	"5"	"11"	"14"	"210"	"0"	"210"	"0"
"87"	"56"	"47"	"4"	"167"	"232"	"9"	"6"	"10"	"10"	"485"	"0"	"485"	"0"
"88"	"57"	"88"	"12"	"125"	"8"	"4"	"130"	"21"	"8"	"396"	"0"	"396"	"0"
"89"	"57A"	"116"	"7"	"112"	"59"	"5"	"7"	"7"	"6"	"319"	"0"	"319"	"0"
"90"	"58"	"94"	"22"	"78"	"64"	"2"	"1"	"1"	"2"	"264"	"0"	"264"	"0"
"91"	"59"	"253"	"13"	"166"	"50"	"6"	"17"	"18"	"7"	"530"	"0"	"530"	"0"
"92"	"60"	"110"	"6"	"159"	"192"	"10"	"16"	"8"	"5"	"506"	"0"	"506"	"0"
"93"	"61"	"184"	"11"	"146"	"60"	"3"	"22"	"2"	"4"	"432"	"0"	"432"	"0"
"94"	"62"	"216"	"11"	"74"	"179"	"5"	"5"	"6"	"6"	"502"	"0"	"502"	"0"
"95"	"63"	"107"	"10"	"62"	"235"	"6"	"12"	"2"	"6"	"440"	"0"	"440"	"0"
"96"	"64"	"95"	"9"	"41"	"153"	"18"	"6"	"15"	"14"	"351"	"0"	"351"	"0"
"97"	"64A"	"138"	"9"	"71"	"61"	"7"	"14"	"24"	"10"	"334"	"0"	"334"	"0"
"98"	"65"	"151"	"16"	"77"	"121"	"6"	"9"	"50"	"8"	"438"	"0"	"438"	"0"
"99"	"66"	"74"	"4"	"148"	"7"	"8"	"12"	"9"	"8"	"270"	"0"	"270"	"0"
"100"	"66A"	"124"	"7"	"194"	"43"	"11"	"3"	"14"	"6"	"402"	"0"	"402"	"0"
"101"	"67"	"43"	"8"	"245"	"50"	"2"	"4"	"2"	"3"	"357"	"0"	"357"	"0"
"102"	"68"	"301"	"10"	"126"	"52"	"11"	"7"	"27"	"17"	"551"	"0"	"551"	"0"
"103"	"69"	"223"	"3"	"159"	"57"	"3"	"0"	"3"	"2"	"450"	"0"	"450"	"0"
"104"	"70"	"285"	"9"	"71"	"57"	"0"	"3"	"13"	"15"	"453"	"0"	"453"	"0"
"105"	"71"	"109"	"3"	"197"	"243"	"9"	"4"	"8"	"12"	"585"	"0"	"585"	"0"
"106"	"72"	"138"	"11"	"147"	"176"	"16"	"15"	"51"	"22"	"576"	"0"	"576"	"0"
"107"	"73"	"112"	"2"	"185"	"143"	"12"	"9"	"27"	"8"	"498"	"0"	"498"	"0"
"108"	"73A"	"87"	"4"	"148"	"40"	"4"	"3"	"24"	"3"	"313"	"0"	"313"	"0"
"109"	"74"	"120"	"11"	"160"	"141"	"11"	"8"	"37"	"10"	"498"	"0"	"498"	"0"
"110"	"74A"	"106"	"4"	"44"	"127"	"6"	"3"	"19"	"8"	"317"	"0"	"317"	"0"
"111"	"75"	"96"	"4"	"109"	"321"	"27"	"24"	"15"	"29"	"625"	"0"	"625"	"0"
"112"	"76"	"45"	"7"	"117"	"169"	"4"	"20"	"2"	"9"	"373"	"0"	"373"	"0"
"113"	"76A"	"47"	"3"	"114"	"127"	"3"	"15"	"9"	"10"	"328"	"0"	"328"	"0"
"114"	"77"	"40"	"7"	"127"	"155"	"3"	"6"	"7"	"2"	"347"	"0"	"347"	"0"
"115"	"77A"	"27"	"5"	"107"	"129"	"3"	"11"	"4"	"4"	"290"	"0"	"290"	"0"
"116"	"78"	"57"	"18"	"87"	"175"	"6"	"6"	"5"	"11"	"365"	"0"	"365"	"0"
"117"	"79"	"51"	"4"	"78"	"137"	"11"	"14"	"4"	"9"	"308"	"0"	"308"	"0"
"118"	"79A"	"48"	"4"	"73"	"267"	"3"	"12"	"8"	"5"	"420"	"0"	"420"	"0"
"119"	"80"	"48"	"3"	"74"	"328"	"20"	"18"	"4"	"14"	"509"	"0"	"509"	"0"
"120"	"81"	"69"	"3"	"116"	"104"	"5"	"14"	"22"	"19"	"352"	"0"	"352"	"0"
"121"	"81A"	"28"	"3"	"78"	"88"	"1"	"17"	"8"	"6"	"229"	"0"	"229"	"0"
"122"	"82"	"80"	"6"	"63"	"288"	"7"	"13"	"5"	"9"	"471"	"0"	"471"	"0"
"123"	"83"	"89"	"12"	"49"	"252"	"14"	"9"	"18"	"14"	"457"	"0"	"457"	"0"
"124"	"84"	"56"	"13"	"74"	"388"	"26"	"5"	"11"	"11"	"584"	"0"	"584"	"0"
"125"	"85"	"17"	"5"	"34"	"197"	"5"	"41"	"11"	"5"	"315"	"0"	"315"	"0"
"126"	"85A"	"31"	"7"	"42"	"201"	"12"	"20"	"9"	"11"	"333"	"0"	"333"	"0"
"127"	"86"	"41"	"4"	"71"	"177"	"11"	"39"	"4"	"11"	"358"	"0"	"358"	"0"
"128"	"86A"	"23"	"7"	"26"	"231"	"4"	"9"	"3"	"12"	"315"	"0"	"315"	"0"
"129"	"87"	"133"	"10"	"78"	"200"	"9"	"8"	"2"	"6"	"446"	"0"	"446"	"0"
"130"	"88"	"128"	"10"	"161"	"149"	"8"	"23"	"5"	"15"	"499"	"0"	"499"	"0"
"131"	"89"	"148"	"11"	"98"	"350"	"14"	"12"	"3"	"7"	"643"	"0"	"643"	"0"
"132"	"90"	"94"	"2"	"144"	"175"	"7"	"21"	"6"	"6"	"455"	"0"	"455"	"0"
"133"	"90A"	"57"	"4"	"62"	"39"	"1"	"4"	"0"	"1"	"168"	"0"	"168"	"0"
"134"	"91"	"110"	"4"	"188"	"163"	"6"	"15"	"6"	"11"	"503"	"0"	"503"	"0"
"135"	"92"	"74"	"27"	"342"	"158"	"4"	"6"	"47"	"4"	"662"	"0"	"662"	"0"
"136"	"93"	"85"	"12"	"139"	"296"	"14"	"30"	"18"	"15"	"609"	"0"	"609"	"0"
"137"	"94"	"54"	"5"	"132"	"339"	"10"	"14"	"5"	"6"	"565"	"0"	"565"	"0"
"138"	"95"	"33"	"9"	"169"	"130"	"2"	"6"	"29"	"4"	"382"	"0"	"382"	"0"
"139"	"96"	"16"	"2"	"22"	"139"	"2"	"3"	"10"	"7"	"201"	"0"	"201"	"0"
"140"	"96A"	"22"	"3"	"157"	"272"	"12"	"9"	"11"	"15"	"501"	"0"	"501"	"0"
"141"	"97"	"27"	"6"	"150"	"200"	"10"	"3"	"17"	"6"	"419"	"0"	"419"	"0"
"142"	"98"	"25"	"3"	"125"	"164"	"6"	"5"	"3"	"3"	"334"	"0"	"334"	"0"
"143"	"98A"	"23"	"2"	"124"	"211"	"8"	"8"	"12"	"13"	"401"	"0"	"401"	"0"
"144"	"99"	"53"	"20"	"117"	"103"	"8"	"6"	"19"	"10"	"336"	"0"	"336"	"0"
"145"	"99A"	"26"	"3"	"98"	"65"	"0"	"4"	"7"	"4"	"207"	"0"	"207"	"0"
"146"	"100"	"79"	"12"	"96"	"196"	"6"	"20"	"63"	"10"	"482"	"0"	"482"	"0"
"147"	"101"	"128"	"2"	"81"	"76"	"3"	"18"	"7"	"10"	"325"	"0"	"325"	"0"
"148"	"101A"	"50"	"3"	"72"	"63"	"0"	"4"	"6"	"5"	"203"	"0"	"203"	"0"
"149"	"102"	"156"	"12"	"165"	"134"	"7"	"26"	"16"	"14"	"530"	"0"	"530"	"0"
"150"	"103"	"169"	"11"	"135"	"51"	"5"	"34"	"7"	"10"	"422"	"0"	"422"	"0"
"151"	"104"	"158"	"8"	"107"	"136"	"5"	"9"	"3"	"4"	"430"	"0"	"430"	"0"
"152"	"105"	"52"	"14"	"178"	"279"	"18"	"17"	"144"	"28"	"730"	"0"	"730"	"0"
"153"	"106"	"48"	"14"	"84"	"166"	"3"	"6"	"147"	"16"	"484"	"0"	"484"	"0"
"154"	"107"	"40"	"20"	"57"	"108"	"2"	"12"	"72"	"4"	"315"	"0"	"315"	"0"
"155"	"108"	"51"	"7"	"163"	"37"	"5"	"13"	"71"	"14"	"361"	"0"	"361"	"0"
"156"	"109"	"76"	"10"	"99"	"207"	"6"	"4"	"7"	"18"	"427"	"0"	"427"	"0"
"157"	"109A"	"41"	"2"	"97"	"52"	"2"	"2"	"6"	"0"	"202"	"0"	"202"	"0"
"158"	"110"	"88"	"2"	"47"	"283"	"15"	"21"	"12"	"12"	"480"	"0"	"480"	"0"
"159"	"110A"	"86"	"8"	"116"	"43"	"10"	"7"	"3"	"5"	"278"	"0"	"278"	"0"
"160"	"111"	"101"	"16"	"128"	"94"	"5"	"38"	"31"	"8"	"421"	"0"	"421"	"0"
"161"	"111A"	"81"	"5"	"154"	"14"	"3"	"9"	"4"	"3"	"273"	"0"	"273"	"0"
"162"	"112"	"41"	"7"	"361"	"160"	"12"	"12"	"39"	"11"	"643"	"0"	"643"	"0"
"163"	"113"	"37"	"111"	"46"	"236"	"10"	"5"	"3"	"11"	"459"	"0"	"459"	"0"
"164"	"113A"	"4"	"43"	"31"	"98"	"13"	"7"	"7"	"6"	"209"	"0"	"209"	"0"
"165"	"114"	"20"	"7"	"102"	"237"	"14"	"16"	"52"	"18"	"466"	"0"	"466"	"0"
"166"	"114A"	"19"	"7"	"35"	"166"	"10"	"2"	"20"	"8"	"267"	"0"	"267"	"0"
"167"	"115"	"9"	"10"	"75"	"518"	"20"	"8"	"43"	"5"	"688"	"0"	"688"	"0"
"168"	"116"	"34"	"7"	"91"	"83"	"2"	"17"	"121"	"17"	"372"	"0"	"372"	"0"
"169"	"116A"	"45"	"10"	"13"	"96"	"8"	"0"	"14"	"14"	"200"	"0"	"200"	"0"
"170"	"117"	"33"	"4"	"190"	"51"	"3"	"7"	"61"	"9"	"358"	"0"	"358"	"0"
"171"	"117A"	"50"	"10"	"62"	"114"	"3"	"9"	"36"	"4"	"288"	"0"	"288"	"0"
"172"	"118"	"60"	"7"	"225"	"169"	"9"	"6"	"13"	"6"	"495"	"0"	"495"	"0"
"173"	"119"	"31"	"17"	"124"	"113"	"7"	"4"	"47"	"4"	"347"	"0"	"347"	"0"
"174"	"120"	"34"	"17"	"43"	"184"	"6"	"12"	"88"	"17"	"401"	"0"	"401"	"0"
"175"	"121"	"46"	"24"	"197"	"56"	"11"	"28"	"120"	"13"	"495"	"0"	"495"	"0"
"176"	"122"	"26"	"1"	"39"	"109"	"2"	"1"	"36"	"7"	"221"	"0"	"221"	"0"
"177"	"122A"	"19"	"4"	"37"	"102"	"1"	"5"	"23"	"4"	"195"	"0"	"195"	"0"
"178"	"123"	"72"	"4"	"68"	"197"	"8"	"8"	"43"	"14"	"414"	"0"	"414"	"0"
"179"	"123A"	"60"	"7"	"29"	"94"	"30"	"3"	"9"	"5"	"237"	"0"	"237"	"0"
"180"	"124"	"49"	"10"	"26"	"116"	"6"	"4"	"10"	"2"	"223"	"0"	"223"	"0"
"181"	"124A"	"37"	"11"	"45"	"56"	"1"	"2"	"6"	"5"	"163"	"0"	"163"	"0"
"182"	"125"	"80"	"11"	"132"	"91"	"74"	"3"	"10"	"0"	"401"	"0"	"401"	"0"
"183"	"125A"	"55"	"2"	"34"	"36"	"6"	"2"	"4"	"1"	"140"	"0"	"140"	"0"
"184"	"126"	"161"	"7"	"129"	"63"	"6"	"5"	"10"	"10"	"391"	"0"	"391"	"0"
"185"	"126A"	"73"	"6"	"50"	"95"	"4"	"5"	"46"	"5"	"284"	"0"	"284"	"0"
"186"	"127"	"24"	"7"	"195"	"167"	"3"	"12"	"72"	"12"	"492"	"0"	"492"	"0"
"187"	"127A"	"24"	"4"	"121"	"88"	"4"	"4"	"91"	"3"	"339"	"0"	"339"	"0"
"188"	"128"	"27"	"7"	"186"	"49"	"3"	"14"	"179"	"21"	"486"	"0"	"486"	"0"
"189"	"128A"	"21"	"1"	"157"	"48"	"4"	"5"	"110"	"8"	"354"	"0"	"354"	"0"
"190"	"129"	"33"	"4"	"216"	"174"	"6"	"6"	"82"	"13"	"534"	"0"	"534"	"0"
"191"	"129A"	"38"	"3"	"235"	"53"	"6"	"3"	"17"	"5"	"360"	"0"	"360"	"0"
"192"	"130"	"67"	"4"	"152"	"123"	"4"	"2"	"47"	"9"	"408"	"0"	"408"	"0"
"193"	"130A"	"28"	"6"	"71"	"119"	"4"	"9"	"86"	"10"	"333"	"0"	"333"	"0"
"194"	"131"	"41"	"5"	"185"	"197"	"6"	"4"	"29"	"5"	"472"	"0"	"472"	"0"
"195"	"131A"	"34"	"4"	"213"	"109"	"4"	"6"	"22"	"7"	"399"	"0"	"399"	"0"
"196"	"132"	"95"	"12"	"255"	"205"	"8"	"5"	"37"	"10"	"627"	"0"	"627"	"0"
"197"	"133"	"60"	"12"	"196"	"246"	"17"	"3"	"17"	"11"	"562"	"0"	"562"	"0"
"198"	"134"	"27"	"11"	"288"	"81"	"4"	"10"	"66"	"6"	"493"	"0"	"493"	"0"
"199"	"134A"	"28"	"3"	"168"	"40"	"2"	"6"	"13"	"4"	"264"	"0"	"264"	"0"
"200"	"135"	"43"	"7"	"271"	"102"	"5"	"6"	"24"	"13"	"471"	"0"	"471"	"0"
"201"	"135A"	"37"	"10"	"249"	"62"	"2"	"8"	"16"	"2"	"386"	"0"	"386"	"0"
"202"	"136"	"10"	"3"	"121"	"90"	"5"	"6"	"14"	"9"	"258"	"0"	"258"	"0"
"203"	"136A"	"28"	"3"	"78"	"255"	"3"	"3"	"25"	"10"	"405"	"0"	"405"	"0"
"204"	"137"	"41"	"7"	"252"	"113"	"8"	"6"	"38"	"18"	"483"	"0"	"483"	"0"
"205"	"137A"	"23"	"3"	"144"	"53"	"5"	"4"	"56"	"4"	"292"	"0"	"292"	"0"
"206"	"138"	"38"	"10"	"174"	"179"	"5"	"6"	"55"	"6"	"473"	"0"	"473"	"0"
"207"	"139"	"54"	"14"	"447"	"72"	"7"	"13"	"69"	"17"	"693"	"0"	"693"	"0"
"208"	"140"	"63"	"49"	"290"	"98"	"9"	"6"	"55"	"6"	"576"	"0"	"576"	"0"
"209"	"141"	"57"	"9"	"196"	"23"	"2"	"10"	"64"	"13"	"374"	"0"	"374"	"0"
"210"	"142"	"40"	"10"	"188"	"23"	"11"	"12"	"102"	"24"	"410"	"0"	"410"	"0"
"211"	"143"	"41"	"9"	"261"	"67"	"5"	"7"	"87"	"14"	"491"	"0"	"491"	"0"
"212"	"144"	"35"	"11"	"168"	"75"	"10"	"5"	"7"	"10"	"321"	"0"	"321"	"0"
"213"	"144A"	"24"	"2"	"110"	"30"	"5"	"7"	"13"	"6"	"197"	"0"	"197"	"0"
"214"	"145"	"39"	"6"	"313"	"133"	"13"	"5"	"5"	"6"	"520"	"0"	"520"	"0"
"215"	"146"	"33"	"5"	"137"	"121"	"7"	"21"	"115"	"22"	"461"	"0"	"461"	"0"
"216"	"147"	"131"	"27"	"174"	"69"	"6"	"13"	"9"	"11"	"440"	"0"	"440"	"0"
"217"	"148"	"142"	"14"	"141"	"73"	"5"	"8"	"11"	"13"	"407"	"0"	"407"	"0"
"218"	"149"	"133"	"7"	"121"	"87"	"36"	"5"	"16"	"21"	"426"	"0"	"426"	"0"
"219"	"150"	"133"	"20"	"166"	"94"	"23"	"18"	"20"	"25"	"499"	"0"	"499"	"0"
"220"	"151"	"349"	"19"	"132"	"68"	"11"	"7"	"22"	"21"	"629"	"0"	"629"	"0"
"221"	"152"	"145"	"31"	"158"	"28"	"13"	"33"	"272"	"30"	"710"	"0"	"710"	"0"
"222"	"153"	"86"	"50"	"144"	"17"	"19"	"22"	"83"	"16"	"437"	"0"	"437"	"0"
"223"	"154"	"91"	"26"	"134"	"22"	"6"	"15"	"46"	"12"	"352"	"0"	"352"	"0"
"224"	"155"	"62"	"8"	"68"	"143"	"29"	"20"	"25"	"16"	"371"	"0"	"371"	"0"
"225"	"155A"	"53"	"11"	"94"	"193"	"14"	"16"	"25"	"12"	"418"	"0"	"418"	"0"
"226"	"156"	"21"	"8"	"148"	"23"	"2"	"16"	"8"	"8"	"234"	"0"	"234"	"0"
"227"	"157"	"49"	"5"	"196"	"36"	"4"	"5"	"13"	"7"	"315"	"0"	"315"	"0"
"228"	"157A"	"52"	"16"	"158"	"27"	"22"	"9"	"28"	"13"	"325"	"0"	"325"	"0"
"229"	"158"	"118"	"23"	"265"	"69"	"6"	"11"	"68"	"10"	"570"	"0"	"570"	"0"
"230"	"159"	"81"	"8"	"177"	"23"	"16"	"8"	"8"	"6"	"327"	"0"	"327"	"0"
"231"	"159A"	"65"	"2"	"145"	"20"	"22"	"4"	"21"	"13"	"292"	"0"	"292"	"0"
"232"	"160"	"106"	"12"	"247"	"54"	"4"	"9"	"11"	"4"	"447"	"0"	"447"	"0"
"233"	"161"	"82"	"6"	"106"	"40"	"5"	"30"	"12"	"7"	"288"	"0"	"288"	"0"
"234"	"162"	"60"	"7"	"218"	"65"	"4"	"10"	"12"	"7"	"383"	"0"	"383"	"0"
"235"	"163"	"70"	"4"	"312"	"105"	"4"	"14"	"17"	"21"	"547"	"0"	"547"	"0"
"236"	"164"	"51"	"9"	"158"	"81"	"10"	"4"	"30"	"3"	"346"	"0"	"346"	"0"
"237"	"165"	"80"	"8"	"97"	"132"	"13"	"10"	"48"	"9"	"397"	"0"	"397"	"0"
"238"	"166"	"17"	"3"	"31"	"44"	"281"	"13"	"21"	"12"	"422"	"0"	"422"	"0"
"239"	"167"	"128"	"8"	"81"	"68"	"12"	"8"	"41"	"6"	"352"	"0"	"352"	"0"
"240"	"168"	"30"	"4"	"143"	"66"	"6"	"7"	"6"	"4"	"266"	"0"	"266"	"0"
"241"	"169"	"135"	"10"	"97"	"81"	"24"	"19"	"69"	"14"	"449"	"0"	"449"	"0"
"242"	"170"	"151"	"15"	"109"	"67"	"18"	"22"	"81"	"10"	"473"	"0"	"473"	"0"
"243"	"171"	"81"	"15"	"256"	"69"	"12"	"49"	"46"	"31"	"559"	"0"	"559"	"0"
"244"	"172"	"38"	"85"	"64"	"46"	"3"	"13"	"21"	"11"	"281"	"0"	"281"	"0"
