"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"
"1"	"SEE RULE 56C (2) ©"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE 39 MARHOWRAH LEGSLATIVE ASSEMBLY CONSTITUENCY 2005 PART-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RSULT SHEET 39- MARHOWRAH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"SR.NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	""	"TOTAL"	""	""	""	""	""	""	""	""	""
"5"	""	"CHULHAN
PD SINGH"	""	""	"JITENDRA
KUMAR RAI"	""	"NILAM DEVI"	""	"SHEOPUJA
N PD. RAI"	""	""	"AWADESH
KUMAR"	""	""	"SHEO NATH SHARMA"	""	"AJJET
KUMAR"	""	"TEJ NARAYAN
SINGH"	""	"RAJENDRA
MANJHI"	""	"RAJESH
KUMAR"	""	""	"LALBABU
RAI"	""	""	"LALBABU
RAY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"TOTAL"	"2760"	""	""	"13129"	""	"9581"	""	"11831"	""	""	"1369"	""	""	"836"	""	"1108"	""	"913"	""	"1251"	""	"1674"	""	""	"35628"	""	""	"4473"	""	""	"84553"	""	""	""	""	""	""	""	""	""	""	""
"23"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"SEE RULE 56C (2) ©"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"ELECTION TO THE 39 MARHOWRAH LEGSLATIVE ASSEMBLY CONSTITUENCY 2005 PART-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"FINAL RSULT SHEET 39- MARHOWRAH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"SR.NO. OF POLLING STATION"	""	""	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	"TOTAL"
"28"	""	""	""	"CHULHAN PD
SINGH"	""	""	"JITENDRA
KUMAR RAI"	""	""	"NILAM
DEVI"	""	""	"SHEOPUJAN PD.
RAI"	""	""	""	""	"AWADESH
KUMAR"	""	"SHEO NATH
SHARMA"	""	""	""	"AJJET
KUMAR"	""	""	"TEJ NARAYAN
SINGH"	""	""	""	"RAJENDRA
MANJHI"	""	""	""	"RAJESH
KUMAR"	""	""	"LALBABU
RAI"	""	"LALBABU
RAY"	""	""	""
"29"	"1"	""	""	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	""	""	"6"	""	"7"	""	""	""	"8"	""	""	"9"	""	""	""	"10"	""	""	""	"11"	""	""	"12"	""	"13"	""	"14"	"15"
"30"	"1"	""	""	"22"	""	""	"50"	""	""	"252"	""	""	"22"	""	""	""	""	"3"	""	"2"	""	""	""	"1"	""	""	"3"	""	""	""	"3"	""	""	""	"3"	""	""	"48"	""	"14"	""	"423"	""
"31"	"2"	""	""	"17"	""	""	"44"	""	""	"297"	""	""	"32"	""	""	""	""	"8"	""	"0"	""	""	""	"5"	""	""	"4"	""	""	""	"3"	""	""	""	"5"	""	""	"8"	""	"15"	""	"438"	""
"32"	"3"	""	""	"6"	""	""	"66"	""	""	"118"	""	""	"127"	""	""	""	""	"3"	""	"1"	""	""	""	"0"	""	""	"1"	""	""	""	"2"	""	""	""	"5"	""	""	"65"	""	"6"	""	"400"	""
"33"	"4"	""	""	"7"	""	""	"117"	""	""	"109"	""	""	"142"	""	""	""	""	"7"	""	"6"	""	""	""	"8"	""	""	"8"	""	""	""	"13"	""	""	""	"6"	""	""	"147"	""	"20"	""	"590"	""
"34"	"5"	""	""	"5"	""	""	"35"	""	""	"45"	""	""	"28"	""	""	""	""	"5"	""	"5"	""	""	""	"4"	""	""	"8"	""	""	""	"6"	""	""	""	"11"	""	""	"106"	""	"35"	""	"293"	""
"35"	"6"	""	""	"26"	""	""	"77"	""	""	"34"	""	""	"184"	""	""	""	""	"18"	""	"10"	""	""	""	"11"	""	""	"12"	""	""	""	"10"	""	""	""	"18"	""	""	"101"	""	"16"	""	"517"	""
"36"	"7"	""	""	"5"	""	""	"35"	""	""	"211"	""	""	"93"	""	""	""	""	"11"	""	"2"	""	""	""	"3"	""	""	"1"	""	""	""	"3"	""	""	""	"4"	""	""	"81"	""	"18"	""	"467"	""
"37"	"8"	""	""	"30"	""	""	"17"	""	""	"257"	""	""	"63"	""	""	""	""	"10"	""	"0"	""	""	""	"2"	""	""	"6"	""	""	""	"7"	""	""	""	"12"	""	""	"53"	""	"22"	""	"479"	""
"38"	"9"	""	""	"18"	""	""	"51"	""	""	"367"	""	""	"50"	""	""	""	""	"12"	""	"1"	""	""	""	"2"	""	""	"4"	""	""	""	"2"	""	""	""	"6"	""	""	"34"	""	"10"	""	"557"	""
"39"	"10"	""	""	"10"	""	""	"7"	""	""	"96"	""	""	"91"	""	""	""	""	"5"	""	"5"	""	""	""	"1"	""	""	"2"	""	""	""	"3"	""	""	""	"2"	""	""	"43"	""	"5"	""	"270"	""
"40"	"11"	""	""	"31"	""	""	"40"	""	""	"142"	""	""	"48"	""	""	""	""	"10"	""	"3"	""	""	""	"2"	""	""	"7"	""	""	""	"5"	""	""	""	"10"	""	""	"117"	""	"24"	""	"439"	""
"41"	"12"	""	""	"9"	""	""	"12"	""	""	"55"	""	""	"14"	""	""	""	""	"6"	""	"9"	""	""	""	"7"	""	""	"4"	""	""	""	"7"	""	""	""	"16"	""	""	"213"	""	"52"	""	"404"	""
"42"	"13"	""	""	"16"	""	""	"58"	""	""	"94"	""	""	"38"	""	""	""	""	"6"	""	"10"	""	""	""	"4"	""	""	"3"	""	""	""	"9"	""	""	""	"20"	""	""	"148"	""	"44"	""	"450"	""
"43"	"14"	""	""	"15"	""	""	"128"	""	""	"103"	""	""	"5"	""	""	""	""	"2"	""	"6"	""	""	""	"1"	""	""	"7"	""	""	""	"6"	""	""	""	"13"	""	""	"306"	""	"28"	""	"620"	""
"44"	"GRAND TOTAL"	""	""	"217"	""	""	"737"	""	""	"2180"	""	""	"937"	""	""	""	""	"106"	""	"60"	""	""	""	"51"	""	""	"70"	""	""	""	"79"	""	""	""	"131"	""	""	"1470"	""	"309"	""	"6347"	""
"45"	"SR.NO. OF POLLING STATION"	""	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	""	""	"TOTAL"	""	""	""	""
"46"	""	""	"CHULHAN
PD SINGH"	""	""	"JITENDRA
KUMAR RAI"	""	"NILAM DEVI"	""	""	"SHEOPUJA
N PD. RAI"	""	""	"AWADESH
KUMAR"	""	"SHEO NATH
SHARMA"	""	""	"AJJET
KUMAR"	""	""	"TEJ NARAYAN
SINGH"	""	""	"RAJENDRA
MANJHI"	""	""	"RAJESH
KUMAR"	""	"LALBABU
RAI"	""	""	"LALBABU
RAY"	""	""	""	""	""	""	""	""	""	""
"47"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	"5"	""	""	"6"	""	"7"	""	""	"8"	""	""	"9"	""	""	"10"	""	""	"11"	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""
"48"	"15"	""	"14"	""	""	"37"	""	"163"	""	""	"23"	""	""	"3"	""	"6"	""	""	"8"	""	""	"1"	""	""	"1"	""	""	"12"	""	"250"	""	""	"28"	""	""	"546"	""	""	""	""	""	""	""
"49"	"16"	""	"18"	""	""	"33"	""	"9"	""	""	"5"	""	""	"3"	""	"3"	""	""	"9"	""	""	"1"	""	""	"0"	""	""	"4"	""	"307"	""	""	"24"	""	""	"416"	""	""	""	""	""	""	""
"50"	"17"	""	"4"	""	""	"9"	""	"50"	""	""	"11"	""	""	"1"	""	"0"	""	""	"2"	""	""	"7"	""	""	"5"	""	""	"10"	""	"188"	""	""	"20"	""	""	"307"	""	""	""	""	""	""	""
"51"	"18"	""	"79"	""	""	"50"	""	"174"	""	""	"22"	""	""	"3"	""	"5"	""	""	"4"	""	""	"1"	""	""	"5"	""	""	"1"	""	"124"	""	""	"13"	""	""	"481"	""	""	""	""	""	""	""
"52"	"19"	""	"27"	""	""	"18"	""	"60"	""	""	"32"	""	""	"13"	""	"9"	""	""	"4"	""	""	"6"	""	""	"8"	""	""	"14"	""	"188"	""	""	"22"	""	""	"401"	""	""	""	""	""	""	""
"53"	"20"	""	"13"	""	""	"34"	""	"139"	""	""	"24"	""	""	"8"	""	"4"	""	""	"4"	""	""	"5"	""	""	"5"	""	""	"5"	""	"100"	""	""	"5"	""	""	"346"	""	""	""	""	""	""	""
"54"	"21"	""	"26"	""	""	"92"	""	"128"	""	""	"81"	""	""	"7"	""	"1"	""	""	"6"	""	""	"5"	""	""	"4"	""	""	"5"	""	"228"	""	""	"26"	""	""	"609"	""	""	""	""	""	""	""
"55"	"22"	""	"8"	""	""	"23"	""	"10"	""	""	"96"	""	""	"8"	""	"7"	""	""	"7"	""	""	"6"	""	""	"9"	""	""	"15"	""	"189"	""	""	"43"	""	""	"421"	""	""	""	""	""	""	""
"56"	"23"	""	"8"	""	""	"44"	""	"9"	""	""	"135"	""	""	"15"	""	"4"	""	""	"4"	""	""	"4"	""	""	"3"	""	""	"12"	""	"99"	""	""	"23"	""	""	"360"	""	""	""	""	""	""	""
"57"	"24"	""	"14"	""	""	"25"	""	"49"	""	""	"104"	""	""	"9"	""	"9"	""	""	"2"	""	""	"3"	""	""	"6"	""	""	"5"	""	"91"	""	""	"7"	""	""	"324"	""	""	""	""	""	""	""
"58"	"24A"	""	"10"	""	""	"43"	""	"44"	""	""	"44"	""	""	"8"	""	"4"	""	""	"1"	""	""	"3"	""	""	"8"	""	""	"3"	""	"197"	""	""	"18"	""	""	"383"	""	""	""	""	""	""	""
"59"	"25"	""	"15"	""	""	"126"	""	"50"	""	""	"26"	""	""	"2"	""	"5"	""	""	"1"	""	""	"6"	""	""	"5"	""	""	"12"	""	"236"	""	""	"19"	""	""	"503"	""	""	""	""	""	""	""
"60"	"26"	""	"15"	""	""	"152"	""	"47"	""	""	"61"	""	""	"3"	""	"10"	""	""	"1"	""	""	"5"	""	""	"10"	""	""	"14"	""	"164"	""	""	"25"	""	""	"507"	""	""	""	""	""	""	""
"61"	"27"	""	"12"	""	""	"51"	""	"130"	""	""	"71"	""	""	"11"	""	"3"	""	""	"9"	""	""	"9"	""	""	"8"	""	""	"16"	""	"188"	""	""	"33"	""	""	"541"	""	""	""	""	""	""	""
"62"	"GRAND TOTAL"	""	"263"	""	""	"737"	""	"1062"	""	""	"735"	""	""	"94"	""	"70"	""	""	"62"	""	""	"62"	""	""	"77"	""	""	"128"	""	"2549"	""	""	"306"	""	""	"6145"	""	""	""	""	""	""	""
"63"	"SR.NO. OF POLLING
STATION"	""	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	""	""	"TOTAL"	""	""	""	""
"64"	""	""	"CHULHAN
PD SINGH"	""	""	"JITENDRA
KUMAR RAI"	""	"NILAM DEVI"	""	""	"SHEOPUJA
N PD. RAI"	""	""	"AWADESH
KUMAR"	""	"SHEO NATH
SHARMA"	""	""	"AJJET
KUMAR"	""	""	"TEJ
NARAYAN SINGH"	""	""	"RAJENDRA
MANJHI"	""	""	"RAJESH
KUMAR"	""	"LALBABU
RAI"	""	""	"LALBABU
RAY"	""	""	""	""	""	""	""	""	""	""
"65"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	"5"	""	""	"6"	""	"7"	""	""	"8"	""	""	"9"	""	""	"10"	""	""	"11"	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""
"66"	"28"	""	"27"	""	""	"76"	""	"26"	""	""	"14"	""	""	"2"	""	"1"	""	""	"5"	""	""	"2"	""	""	"4"	""	""	"9"	""	"161"	""	""	"10"	""	""	"337"	""	""	""	""	""	""	""
"67"	"28A"	""	"8"	""	""	"42"	""	"121"	""	""	"27"	""	""	"3"	""	"1"	""	""	"4"	""	""	"2"	""	""	"1"	""	""	"6"	""	"141"	""	""	"14"	""	""	"370"	""	""	""	""	""	""	""
"68"	"29"	""	"5"	""	""	"62"	""	"13"	""	""	"76"	""	""	"9"	""	"2"	""	""	"10"	""	""	"7"	""	""	"18"	""	""	"22"	""	"295"	""	""	"68"	""	""	"587"	""	""	""	""	""	""	""
"69"	"30"	""	"3"	""	""	"43"	""	"1"	""	""	"13"	""	""	"2"	""	"2"	""	""	"4"	""	""	"0"	""	""	"1"	""	""	"4"	""	"144"	""	""	"9"	""	""	"226"	""	""	""	""	""	""	""
"70"	"31"	""	"5"	""	""	"104"	""	"7"	""	""	"13"	""	""	"2"	""	"1"	""	""	"0"	""	""	"5"	""	""	"3"	""	""	"8"	""	"62"	""	""	"12"	""	""	"222"	""	""	""	""	""	""	""
"71"	"32"	""	"18"	""	""	"50"	""	"76"	""	""	"121"	""	""	"10"	""	"9"	""	""	"9"	""	""	"2"	""	""	"6"	""	""	"7"	""	"109"	""	""	"13"	""	""	"430"	""	""	""	""	""	""	""
"72"	"33"	""	"15"	""	""	"54"	""	"39"	""	""	"74"	""	""	"10"	""	"4"	""	""	"7"	""	""	"2"	""	""	"3"	""	""	"5"	""	"248"	""	""	"17"	""	""	"478"	""	""	""	""	""	""	""
"73"	"34"	""	"7"	""	""	"37"	""	"134"	""	""	"186"	""	""	"7"	""	"5"	""	""	"14"	""	""	"4"	""	""	"5"	""	""	"8"	""	"153"	""	""	"11"	""	""	"571"	""	""	""	""	""	""	""
"74"	"35"	""	"9"	""	""	"14"	""	"209"	""	""	"34"	""	""	"3"	""	"3"	""	""	"2"	""	""	"0"	""	""	"2"	""	""	"4"	""	"25"	""	""	"17"	""	""	"322"	""	""	""	""	""	""	""
"75"	"36"	""	"21"	""	""	"35"	""	"103"	""	""	"181"	""	""	"17"	""	"5"	""	""	"12"	""	""	"8"	""	""	"4"	""	""	"6"	""	"49"	""	""	"6"	""	""	"447"	""	""	""	""	""	""	""
"76"	"37"	""	"11"	""	""	"82"	""	"21"	""	""	"38"	""	""	"2"	""	"2"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"7"	""	"220"	""	""	"19"	""	""	"420"	""	""	""	""	""	""	""
"77"	"38"	""	"13"	""	""	"104"	""	"58"	""	""	"62"	""	""	"6"	""	"7"	""	""	"4"	""	""	"3"	""	""	"4"	""	""	"5"	""	"263"	""	""	"33"	""	""	"562"	""	""	""	""	""	""	""
"78"	"39"	""	"6"	""	""	"79"	""	"93"	""	""	"21"	""	""	"3"	""	"4"	""	""	"3"	""	""	"7"	""	""	"5"	""	""	"7"	""	"137"	""	""	"24"	""	""	"389"	""	""	""	""	""	""	""
"79"	"40"	""	"35"	""	""	"27"	""	"49"	""	""	"40"	""	""	"30"	""	"3"	""	""	"25"	""	""	"9"	""	""	"5"	""	""	"10"	""	"78"	""	""	"39"	""	""	"350"	""	""	""	""	""	""	""
"80"	"GRAND TOTAL"	""	"183"	""	""	"809"	""	"950"	""	""	"900"	""	""	"106"	""	"49"	""	""	"104"	""	""	"57"	""	""	"68"	""	""	"108"	""	"2085"	""	""	"292"	""	""	"5711"	""	""	""	""	""	""	""
"81"	"SR.NO. OF POLLING
STATION"	""	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	""	""	"TOTAL"	""	""	""	""
"82"	""	""	"CHULHAN
PD SINGH"	""	""	"JITENDRA
KUMAR RAI"	""	"NILAM DEVI"	""	""	"SHEOPUJA
N PD. RAI"	""	""	"AWADESH
KUMAR"	""	"SHEO NATH
SHARMA"	""	""	"AJJET
KUMAR"	""	""	"TEJ NARAYAN
SINGH"	""	""	"RAJENDRA
MANJHI"	""	""	"RAJESH
KUMAR"	""	"LALBABU
RAI"	""	""	"LALBABU
RAY"	""	""	""	""	""	""	""	""	""	""
"83"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	"5"	""	""	"6"	""	"7"	""	""	"8"	""	""	"9"	""	""	"10"	""	""	"11"	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""
"84"	"41"	""	"2"	""	""	"56"	""	"0"	""	""	"58"	""	""	"8"	""	"1"	""	""	"0"	""	""	"4"	""	""	"4"	""	""	"4"	""	"28"	""	""	"4"	""	""	"169"	""	""	""	""	""	""	""
"85"	"42"	""	"8"	""	""	"69"	""	"26"	""	""	"12"	""	""	"6"	""	"1"	""	""	"7"	""	""	"1"	""	""	"14"	""	""	"8"	""	"113"	""	""	"21"	""	""	"286"	""	""	""	""	""	""	""
"86"	"42A"	""	"13"	""	""	"45"	""	"18"	""	""	"15"	""	""	"11"	""	"9"	""	""	"12"	""	""	"5"	""	""	"8"	""	""	"8"	""	"147"	""	""	"25"	""	""	"316"	""	""	""	""	""	""	""
"87"	"43"	""	"12"	""	""	"72"	""	"34"	""	""	"44"	""	""	"1"	""	"4"	""	""	"2"	""	""	"1"	""	""	"6"	""	""	"11"	""	"323"	""	""	"36"	""	""	"546"	""	""	""	""	""	""	""
"88"	"44"	""	"10"	""	""	"84"	""	"74"	""	""	"9"	""	""	"4"	""	"4"	""	""	"5"	""	""	"3"	""	""	"3"	""	""	"12"	""	"252"	""	""	"26"	""	""	"486"	""	""	""	""	""	""	""
"89"	"45"	""	"1"	""	""	"42"	""	"101"	""	""	"15"	""	""	"2"	""	"4"	""	""	"2"	""	""	"1"	""	""	"3"	""	""	"1"	""	"167"	""	""	"3"	""	""	"342"	""	""	""	""	""	""	""
"90"	"46"	""	"17"	""	""	"262"	""	"55"	""	""	"49"	""	""	"2"	""	"5"	""	""	"3"	""	""	"10"	""	""	"7"	""	""	"3"	""	"129"	""	""	"16"	""	""	"558"	""	""	""	""	""	""	""
"91"	"47"	""	"16"	""	""	"90"	""	"208"	""	""	"49"	""	""	"4"	""	"7"	""	""	"5"	""	""	"8"	""	""	"6"	""	""	"8"	""	"49"	""	""	"20"	""	""	"470"	""	""	""	""	""	""	""
"92"	"48"	""	"8"	""	""	"59"	""	"78"	""	""	"6"	""	""	"2"	""	"6"	""	""	"8"	""	""	"6"	""	""	"9"	""	""	"12"	""	"136"	""	""	"35"	""	""	"365"	""	""	""	""	""	""	""
"93"	"49"	""	"2"	""	""	"133"	""	"16"	""	""	"0"	""	""	"0"	""	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	"15"	""	""	"0"	""	""	"167"	""	""	""	""	""	""	""
"94"	"50"	""	"12"	""	""	"117"	""	"35"	""	""	"75"	""	""	"6"	""	"1"	""	""	"2"	""	""	"5"	""	""	"6"	""	""	"9"	""	"169"	""	""	"23"	""	""	"460"	""	""	""	""	""	""	""
"95"	"51"	""	"5"	""	""	"80"	""	"145"	""	""	"7"	""	""	"4"	""	"1"	""	""	"3"	""	""	"6"	""	""	"3"	""	""	"8"	""	"231"	""	""	"19"	""	""	"512"	""	""	""	""	""	""	""
"96"	"52"	""	"7"	""	""	"151"	""	"67"	""	""	"8"	""	""	"2"	""	"1"	""	""	"3"	""	""	"1"	""	""	"4"	""	""	"6"	""	"104"	""	""	"26"	""	""	"380"	""	""	""	""	""	""	""
"97"	"53"	""	"11"	""	""	"86"	""	"104"	""	""	"66"	""	""	"9"	""	"5"	""	""	"2"	""	""	"5"	""	""	"9"	""	""	"15"	""	"106"	""	""	"24"	""	""	"442"	""	""	""	""	""	""	""
"98"	"GRAND TOTAL"	""	"124"	""	""	"1346"	""	"961"	""	""	"413"	""	""	"61"	""	"50"	""	""	"54"	""	""	"56"	""	""	"82"	""	""	"105"	""	"1969"	""	""	"278"	""	""	"5499"	""	""	""	""	""	""	""
"99"	"SR.NO. OF POLLING
STATION"	""	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	""	""	"TOTAL"	""	""	""	""
