"Election.to.the..Bihar.Legislative..Assembly..From.100.ROSERA.Assembly..Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"46"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"47"	"Serial No.of Polling Station*"	"Ashok Kuamr"	"Upendar Das"	"Kailash Das"	"Gajendra Prasad Singh"	"Dinesh Panjiyar"	"Ram Narayan Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"48"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"49"	"B.F."	"5073"	"155"	"1185"	"4816"	"350"	"422"	"12001"	"0"	"12001"	"0"
"50"	"28"	"402"	"11"	"7"	"118"	"7"	"10"	"555"	""	"555"	""
"51"	"29"	"338"	"12"	"19"	"426"	"23"	"20"	"838"	""	"838"	""
"52"	"30"	"246"	"14"	"13"	"270"	"27"	"24"	"594"	""	"594"	""
"53"	"31"	"103"	"6"	"9"	"316"	"21"	"7"	"462"	""	"462"	""
"54"	"32"	"197"	"3"	"9"	"68"	"2"	"6"	"285"	""	"285"	""
"55"	"33"	"302"	"7"	"12"	"196"	"20"	"17"	"554"	""	"554"	""
"56"	"34"	"260"	"6"	"67"	"186"	"10"	"21"	"550"	""	"550"	""
"57"	"35"	"262"	"15"	"27"	"253"	"27"	"29"	"613"	""	"613"	""
"58"	"36"	"82"	"11"	"37"	"313"	"15"	"23"	"481"	""	"481"	""
"59"	"37"	"65"	"5"	"73"	"222"	"10"	"20"	"395"	""	"395"	""
"60"	"38"	"306"	"10"	"25"	"219"	"15"	"17"	"592"	""	"592"	""
"61"	"39"	"64"	"7"	"17"	"138"	"7"	"10"	"243"	""	"243"	""
"62"	"40"	"193"	"4"	"69"	"110"	"21"	"18"	"415"	""	"415"	""
"63"	"41"	"34"	"9"	"123"	"201"	"12"	"22"	"401"	""	"401"	""
"64"	"Page Total"	"7927"	"275"	"1692"	"7852"	"567"	"666"	"18979"	"0"	"18979"	"0"
"65"	"Election to the  Bihar Legislative  Assembly  From 100 ROSERA Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""
"66"	"PART I"	""	""	""	""	""	""	""	""	""	""
"67"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"68"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"69"	"Serial No.of Polling Station*"	"Ashok Kuamr"	"Upendar Das"	"Kailash Das"	"Gajendra Prasad Singh"	"Dinesh Panjiyar"	"Ram Narayan Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"70"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"71"	"B.F."	"7927"	"275"	"1692"	"7852"	"567"	"666"	"18979"	"0"	"18979"	"0"
"72"	"42"	"74"	"4"	"88"	"170"	"14"	"14"	"364"	""	"364"	""
"73"	"42A"	"71"	"8"	"90"	"118"	"7"	"18"	"312"	""	"312"	""
"74"	"43"	"336"	"3"	"18"	"239"	"11"	"16"	"623"	""	"623"	""
"75"	"44"	"280"	"14"	"46"	"115"	"12"	"18"	"485"	""	"485"	""
"76"	"45"	"273"	"11"	"80"	"107"	"9"	"14"	"494"	""	"494"	""
"77"	"46"	"290"	"6"	"9"	"85"	"9"	"19"	"418"	""	"418"	""
"78"	"46A"	"223"	"9"	"8"	"149"	"8"	"31"	"428"	""	"428"	""
"79"	"47"	"135"	"4"	"18"	"223"	"11"	"11"	"402"	""	"402"	""
"80"	"48"	"480"	"12"	"14"	"158"	"12"	"18"	"694"	""	"694"	""
"81"	"49"	"221"	"8"	"13"	"200"	"13"	"12"	"467"	""	"467"	""
"82"	"50"	"254"	"10"	"11"	"130"	"9"	"18"	"432"	""	"432"	""
"83"	"51"	"266"	"8"	"10"	"205"	"9"	"18"	"516"	""	"516"	""
"84"	"52"	"175"	"7"	"28"	"128"	"10"	"18"	"366"	""	"366"	""
"85"	"53"	"106"	"4"	"31"	"183"	"16"	"7"	"347"	""	"347"	""
"86"	"Page Total"	"11111"	"383"	"2156"	"10062"	"717"	"898"	"25327"	"0"	"25327"	"0"
"87"	"Election to the  Bihar Legislative  Assembly  From 100 ROSERA Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""
"88"	"PART I"	""	""	""	""	""	""	""	""	""	""
"89"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"90"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"91"	"Serial No.of Polling Station*"	"Ashok Kuamr"	"Upendar Das"	"Kailash Das"	"Gajendra Prasad Singh"	"Dinesh Panjiyar"	"Ram Narayan Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"92"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"93"	"B.F."	"11111"	"383"	"2156"	"10062"	"717"	"898"	"25327"	"0"	"25327"	"0"
"94"	"54"	"195"	"8"	"70"	"197"	"18"	"29"	"517"	""	"517"	""
"95"	"55"	"80"	"7"	"26"	"172"	"18"	"15"	"318"	""	"318"	""
"96"	"56"	"302"	"4"	"10"	"105"	"14"	"6"	"441"	""	"441"	""
"97"	"56A"	"206"	"8"	"12"	"167"	"17"	"9"	"419"	""	"419"	""
"98"	"57"	"295"	"10"	"15"	"95"	"10"	"16"	"441"	""	"441"	""
"99"	"58"	"107"	"15"	"122"	"144"	"14"	"21"	"423"	""	"423"	""
"100"	"59"	"125"	"6"	"22"	"143"	"13"	"13"	"322"	""	"322"	""
"101"	"60"	"238"	"18"	"157"	"180"	"13"	"41"	"647"	""	"647"	""
"102"	"61"	"211"	"8"	"16"	"226"	"19"	"16"	"496"	""	"496"	""
"103"	"62"	"91"	"6"	"17"	"197"	"14"	"18"	"343"	""	"343"	""
"104"	"63"	"195"	"2"	"10"	"45"	"7"	"3"	"262"	""	"262"	""
"105"	"64"	"149"	"0"	"17"	"48"	"4"	"4"	"222"	""	"222"	""
"106"	"65"	"220"	"6"	"8"	"46"	"4"	"15"	"299"	""	"299"	""
"107"	"65A"	"200"	"2"	"18"	"38"	"6"	"10"	"274"	""	"274"	""
"108"	"Page Total"	"13725"	"483"	"2676"	"11865"	"888"	"1114"	"30751"	"0"	"30751"	"0"
"109"	"Election to the  Bihar Legislative  Assembly  From 100 ROSERA Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""
"110"	"PART I"	""	""	""	""	""	""	""	""	""	""
"111"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"112"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"113"	"Serial No.of Polling Station*"	"Ashok Kuamr"	"Upendar Das"	"Kailash Das"	"Gajendra Prasad Singh"	"Dinesh Panjiyar"	"Ram Narayan Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"114"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"115"	"B.F."	"13725"	"483"	"2676"	"11865"	"888"	"1114"	"30751"	"0"	"30751"	"0"
"116"	"66"	"104"	"11"	"217"	"186"	"25"	"53"	"596"	""	"596"	""
"117"	"67"	"97"	"5"	"71"	"180"	"14"	"29"	"396"	""	"396"	""
"118"	"68"	"269"	"18"	"19"	"240"	"26"	"20"	"592"	""	"592"	""
"119"	"69"	"86"	"4"	"11"	"91"	"10"	"16"	"218"	""	"218"	""
"120"	"70"	"139"	"6"	"8"	"72"	"15"	"14"	"254"	""	"254"	""
"121"	"71"	"309"	"15"	"13"	"132"	"15"	"14"	"498"	""	"498"	""
"122"	"72"	"126"	"4"	"28"	"166"	"22"	"22"	"368"	""	"368"	""
"123"	"72A"	"181"	"8"	"59"	"105"	"12"	"12"	"377"	""	"377"	""
"124"	"73"	"70"	"5"	"68"	"133"	"6"	"10"	"292"	""	"292"	""
"125"	"74"	"175"	"10"	"61"	"112"	"11"	"25"	"394"	""	"394"	""
"126"	"75"	"169"	"13"	"52"	"194"	"20"	"20"	"468"	""	"468"	""
"127"	"76"	"221"	"4"	"72"	"118"	"20"	"14"	"449"	""	"449"	""
"128"	"77"	"81"	"19"	"194"	"138"	"17"	"30"	"479"	""	"479"	""
"129"	"78"	"94"	"15"	"72"	"110"	"13"	"17"	"321"	""	"321"	""
"130"	"Page Total"	"15846"	"620"	"3621"	"13842"	"1114"	"1410"	"36453"	"0"	"36453"	"0"
"131"	"Election to the  Bihar Legislative  Assembly  From 100 ROSERA Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""
"132"	"PART I"	""	""	""	""	""	""	""	""	""	""
"133"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"134"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"135"	"Serial No.of Polling Station*"	"Ashok Kuamr"	"Upendar Das"	"Kailash Das"	"Gajendra Prasad Singh"	"Dinesh Panjiyar"	"Ram Narayan Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"136"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"137"	"B.F."	"15846"	"620"	"3621"	"13842"	"1114"	"1410"	"36453"	"0"	"36453"	"0"
"138"	"78A"	"14"	"8"	"144"	"77"	"7"	"20"	"270"	""	"270"	""
"139"	"79"	"174"	"8"	"48"	"64"	"11"	"23"	"328"	""	"328"	""
"140"	"80"	"55"	"4"	"28"	"210"	"5"	"7"	"309"	""	"309"	""
"141"	"80A"	"56"	"1"	"21"	"244"	"12"	"20"	"354"	""	"354"	""
"142"	"81"	"119"	"6"	"44"	"280"	"22"	"24"	"495"	""	"495"	""
"143"	"82"	"266"	"8"	"15"	"174"	"13"	"3"	"479"	""	"479"	""
"144"	"83"	"87"	"2"	"11"	"193"	"23"	"9"	"325"	""	"325"	""
"145"	"84"	"243"	"8"	"37"	"160"	"11"	"23"	"482"	""	"482"	""
"146"	"85"	"10"	"7"	"40"	"204"	"14"	"13"	"288"	""	"288"	""
"147"	"85A"	"26"	"12"	"127"	"188"	"21"	"26"	"400"	""	"400"	""
"148"	"86"	"194"	"8"	"20"	"242"	"11"	"27"	"502"	""	"502"	""
"149"	"87"	"102"	"2"	"28"	"117"	"7"	"15"	"271"	""	"271"	""
"150"	"87A"	"190"	"6"	"10"	"95"	"7"	"6"	"314"	""	"314"	""
"151"	"88"	"103"	"8"	"25"	"231"	"18"	"21"	"406"	""	"406"	""
"152"	"Page Total"	"17485"	"708"	"4219"	"16321"	"1296"	"1647"	"41676"	"0"	"41676"	"0"
"153"	"Election to the  Bihar Legislative  Assembly  From 100 ROSERA Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""
"154"	"PART I"	""	""	""	""	""	""	""	""	""	""
"155"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"156"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"157"	"Serial No.of Polling Station*"	"Ashok Kuamr"	"Upendar Das"	"Kailash Das"	"Gajendra Prasad Singh"	"Dinesh Panjiyar"	"Ram Narayan Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"158"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"159"	"B.F."	"17485"	"708"	"4219"	"16321"	"1296"	"1647"	"41676"	"0"	"41676"	"0"
"160"	"88A"	"144"	"2"	"14"	"151"	"6"	"8"	"325"	""	"325"	""
"161"	"89"	"190"	"2"	"33"	"31"	"5"	"9"	"270"	""	"270"	""
"162"	"90"	"60"	"11"	"82"	"202"	"30"	"47"	"432"	""	"432"	""
"163"	"91"	"105"	"6"	"74"	"233"	"11"	"11"	"440"	""	"440"	""
"164"	"92"	"51"	"6"	"129"	"100"	"19"	"21"	"326"	""	"326"	""
"165"	"93"	"265"	"15"	"24"	"193"	"8"	"10"	"515"	""	"515"	""
"166"	"94"	"227"	"14"	"13"	"189"	"18"	"14"	"475"	""	"475"	""
"167"	"95"	"171"	"2"	"10"	"69"	"3"	"14"	"269"	""	"269"	""
"168"	"95A"	"35"	"9"	"93"	"276"	"17"	"13"	"443"	""	"443"	""
"169"	"96"	"119"	"4"	"13"	"123"	"12"	"6"	"277"	""	"277"	""
"170"	"97"	"48"	"0"	"11"	"222"	"13"	"10"	"304"	""	"304"	""
"171"	"98"	"11"	"6"	"43"	"130"	"15"	"8"	"213"	""	"213"	""
"172"	"99"	"82"	"2"	"31"	"51"	"3"	"14"	"183"	""	"183"	""
"173"	"100"	"134"	"3"	"35"	"186"	"15"	"16"	"389"	""	"389"	""
"174"	"Page Total"	"19127"	"790"	"4824"	"18477"	"1471"	"1848"	"46537"	"0"	"46537"	"0"
"175"	"Election to the  Bihar Legislative  Assembly  From 100 ROSERA Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""
"176"	"PART I"	""	""	""	""	""	""	""	""	""	""
"177"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"178"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"179"	"Serial No.of Polling Station*"	"Ashok Kuamr"	"Upendar Das"	"Kailash Das"	"Gajendra Prasad Singh"	"Dinesh Panjiyar"	"Ram Narayan Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"180"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"181"	"B.F."	"19127"	"790"	"4824"	"18477"	"1471"	"1848"	"46537"	"0"	"46537"	"0"
"182"	"101"	"209"	"3"	"44"	"53"	"8"	"11"	"328"	""	"328"	""
"183"	"102"	"163"	"12"	"87"	"305"	"23"	"26"	"616"	""	"616"	""
"184"	"103"	"27"	"15"	"142"	"156"	"16"	"20"	"376"	""	"376"	""
"185"	"104"	"37"	"2"	"51"	"56"	"5"	"10"	"161"	""	"161"	""
"186"	"105"	"235"	"8"	"27"	"96"	"15"	"14"	"395"	""	"395"	""
"187"	"106"	"60"	"8"	"26"	"260"	"18"	"20"	"392"	""	"392"	""
"188"	"107"	"179"	"6"	"87"	"218"	"19"	"17"	"526"	""	"526"	""
"189"	"108"	"12"	"4"	"30"	"62"	"4"	"5"	"117"	""	"117"	""
"190"	"109"	"134"	"0"	"34"	"110"	"11"	"9"	"298"	""	"298"	""
"191"	"110"	"34"	"4"	"18"	"273"	"16"	"7"	"352"	""	"352"	""
"192"	"111"	"88"	"4"	"30"	"291"	"11"	"10"	"434"	""	"434"	""
"193"	"112"	"9"	"3"	"61"	"157"	"6"	"12"	"248"	""	"248"	""
"194"	"113"	"26"	"10"	"225"	"253"	"13"	"30"	"557"	""	"557"	""
"195"	"114"	"226"	"13"	"75"	"296"	"30"	"29"	"669"	""	"669"	""
"196"	"Page Total"	"20566"	"882"	"5761"	"21063"	"1666"	"2068"	"52006"	"0"	"52006"	"0"
"197"	"Election to the  Bihar Legislative  Assembly  From 100 ROSERA Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""
"198"	"PART I"	""	""	""	""	""	""	""	""	""	""
"199"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"200"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"201"	"Serial No.of Polling Station*"	"Ashok Kuamr"	"Upendar Das"	"Kailash Das"	"Gajendra Prasad Singh"	"Dinesh Panjiyar"	"Ram Narayan Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"202"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"203"	"B.F."	"20566"	"882"	"5761"	"21063"	"1666"	"2068"	"52006"	"0"	"52006"	"0"
"204"	"115"	"154"	"7"	"64"	"118"	"12"	"18"	"373"	""	"373"	""
"205"	"116"	"108"	"7"	"33"	"193"	"21"	"14"	"376"	""	"376"	""
"206"	"116A"	"173"	"0"	"34"	"123"	"6"	"7"	"343"	""	"343"	""
"207"	"117"	"96"	"3"	"16"	"24"	"3"	"5"	"147"	""	"147"	""
"208"	"118"	"41"	"11"	"53"	"402"	"14"	"16"	"537"	""	"537"	""
"209"	"119"	"159"	"3"	"22"	"205"	"24"	"22"	"435"	""	"435"	""
"210"	"120"	"139"	"20"	"47"	"182"	"18"	"18"	"424"	""	"424"	""
"211"	"121"	"156"	"5"	"36"	"97"	"2"	"4"	"300"	""	"300"	""
"212"	"121A"	"114"	"6"	"125"	"105"	"6"	"22"	"378"	""	"378"	""
"213"	"122"	"82"	"30"	"55"	"227"	"15"	"20"	"429"	""	"429"	""
"214"	"123"	"102"	"1"	"4"	"58"	"8"	"6"	"179"	""	"179"	""
"215"	"124"	"0"	"0"	"2"	"174"	"3"	"1"	"180"	""	"180"	""
"216"	"125"	"44"	"7"	"26"	"256"	"10"	"11"	"354"	""	"354"	""
"217"	"126"	"38"	"8"	"174"	"150"	"14"	"16"	"400"	""	"400"	""
"218"	"Page Total"	"21972"	"990"	"6452"	"23377"	"1822"	"2248"	"56861"	"0"	"56861"	"0"
"219"	"Election to the  Bihar Legislative  Assembly  From 100 ROSERA Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""
"220"	"PART I"	""	""	""	""	""	""	""	""	""	""
"221"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"222"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"223"	"Serial No.of Polling Station*"	"Ashok Kuamr"	"Upendar Das"	"Kailash Das"	"Gajendra Prasad Singh"	"Dinesh Panjiyar"	"Ram Narayan Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"224"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"225"	"B.F."	"21972"	"990"	"6452"	"23377"	"1822"	"2248"	"56861"	"0"	"56861"	"0"
"226"	"127"	"104"	"2"	"87"	"77"	"3"	"17"	"290"	""	"290"	""
"227"	"128"	"179"	"11"	"97"	"203"	"22"	"16"	"528"	""	"528"	""
"228"	"129"	"150"	"16"	"283"	"184"	"23"	"45"	"701"	""	"701"	""
"229"	"130"	"164"	"13"	"251"	"247"	"23"	"42"	"740"	""	"740"	""
"230"	"131"	"284"	"5"	"56"	"254"	"19"	"33"	"651"	""	"651"	""
"231"	"132"	"187"	"3"	"35"	"147"	"6"	"5"	"383"	""	"383"	""
"232"	"132A"	"47"	"7"	"34"	"268"	"8"	"9"	"373"	""	"373"	""
"233"	"133"	"33"	"2"	"53"	"200"	"9"	"24"	"321"	""	"321"	""
"234"	"134"	"77"	"11"	"91"	"213"	"15"	"22"	"429"	""	"429"	""
"235"	"135"	"77"	"6"	"42"	"221"	"8"	"20"	"374"	""	"374"	""
"236"	"136"	"224"	"6"	"155"	"138"	"15"	"24"	"562"	""	"562"	""
"237"	"137"	"28"	"7"	"52"	"168"	"9"	"4"	"268"	""	"268"	""
"238"	"138"	"93"	"5"	"32"	"130"	"18"	"14"	"292"	""	"292"	""
"239"	"139"	"109"	"7"	"119"	"113"	"15"	"18"	"381"	""	"381"	""
"240"	"Page Total"	"23728"	"1091"	"7839"	"25940"	"2015"	"2541"	"63154"	"0"	"63154"	"0"
"241"	"Election to the  Bihar Legislative  Assembly  From 100 ROSERA Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""
"242"	"PART I"	""	""	""	""	""	""	""	""	""	""
"243"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"244"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"245"	"Serial No.of Polling Station*"	"Ashok Kuamr"	"Upendar Das"	"Kailash Das"	"Gajendra Prasad Singh"	"Dinesh Panjiyar"	"Ram Narayan Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"246"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"247"	"B.F."	"23728"	"1091"	"7839"	"25940"	"2015"	"2541"	"63154"	"0"	"63154"	"0"
"248"	"140"	"166"	"4"	"19"	"161"	"12"	"11"	"373"	""	"373"	""
"249"	"141"	"77"	"7"	"77"	"162"	"8"	"16"	"347"	""	"347"	""
"250"	"142"	"189"	"7"	"59"	"280"	"28"	"14"	"577"	""	"577"	""
"251"	"143"	"141"	"5"	"52"	"84"	"7"	"15"	"304"	""	"304"	""
"252"	"143A"	"201"	"4"	"34"	"119"	"12"	"25"	"395"	""	"395"	""
"253"	"144"	"74"	"10"	"28"	"156"	"9"	"9"	"286"	""	"286"	""
"254"	"144A"	"106"	"5"	"50"	"120"	"19"	"23"	"323"	""	"323"	""
"255"	"145"	"368"	"0"	"34"	"19"	"9"	"15"	"445"	""	"445"	""
"256"	"146"	"37"	"9"	"193"	"136"	"15"	"31"	"421"	""	"421"	""
"257"	"147"	"284"	"13"	"74"	"138"	"18"	"34"	"561"	""	"561"	""
"258"	"148"	"172"	"4"	"106"	"205"	"6"	"25"	"518"	""	"518"	""
"259"	"149"	"159"	"7"	"128"	"144"	"18"	"40"	"496"	""	"496"	""
"260"	"150"	"77"	"9"	"316"	"161"	"15"	"42"	"620"	""	"620"	""
"261"	"151"	"119"	"18"	"187"	"235"	"19"	"25"	"603"	""	"603"	""
"262"	"Page Total"	"25898"	"1193"	"9196"	"28060"	"2210"	"2866"	"69423"	"0"	"69423"	"0"
"263"	"Election to the  Bihar Legislative  Assembly  From 100 ROSERA Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""
"264"	"PART I"	""	""	""	""	""	""	""	""	""	""
"265"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"266"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"267"	"Serial No.of Polling Station*"	"Ashok Kuamr"	"Upendar Das"	"Kailash Das"	"Gajendra Prasad Singh"	"Dinesh Panjiyar"	"Ram Narayan Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"268"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"269"	"B.F."	"25898"	"1193"	"9196"	"28060"	"2210"	"2866"	"69423"	"0"	"69423"	"0"
"270"	"152"	"142"	"7"	"163"	"211"	"19"	"21"	"563"	""	"563"	""
"271"	"153"	"156"	"6"	"99"	"186"	"12"	"16"	"475"	""	"475"	""
"272"	"154"	"152"	"3"	"76"	"221"	"13"	"18"	"483"	""	"483"	""
"273"	"155"	"64"	"6"	"81"	"229"	"12"	"7"	"399"	""	"399"	""
"274"	"156"	"33"	"4"	"95"	"92"	"4"	"14"	"242"	""	"242"	""
"275"	"157"	"147"	"18"	"157"	"230"	"28"	"54"	"634"	""	"634"	""
"276"	"158"	"81"	"12"	"71"	"449"	"16"	"18"	"647"	""	"647"	""
"277"	"159"	"53"	"3"	"30"	"315"	"20"	"16"	"437"	""	"437"	""
"278"	"160"	"82"	"20"	"121"	"149"	"6"	"19"	"397"	""	"397"	""
"279"	"161"	"212"	"16"	"135"	"202"	"30"	"44"	"639"	""	"639"	""
"280"	"162"	"271"	"12"	"53"	"228"	"20"	"43"	"627"	""	"627"	""
"281"	"163"	"136"	"11"	"51"	"274"	"20"	"19"	"511"	""	"511"	""
"282"	"164"	"27"	"2"	"145"	"148"	"7"	"13"	"342"	""	"342"	""
"283"	"165"	"153"	"1"	"17"	"140"	"13"	"10"	"334"	""	"334"	""
