"ELECTION.TO.THE.BIHAR.LEGISLATIVE.ASSEMBLY.FROM.108.CHERIA.BARIARPUR.A.C"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Total No. of Electors in Assembly Constituency ------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Name of the Assembly  - 108 CHERIA BARIARPUR"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No.of"
"18"	"12"	"220"	"95"	"8"	"72"	"4"	"3"	"11"	"16"	"429"	"0"	"429"	"0"
"19"	"13"	"133"	"75"	"9"	"81"	"7"	"6"	"7"	"7"	"325"	"0"	"325"	"0"
"20"	"13A"	"148"	"179"	"18"	"48"	"8"	"6"	"13"	"10"	"430"	"0"	"430"	"0"
"21"	"14"	"118"	"60"	"12"	"180"	"6"	"11"	"14"	"23"	"424"	"0"	"424"	"0"
"22"	"14A"	"106"	"99"	"8"	"43"	"3"	"4"	"8"	"8"	"279"	"0"	"279"	"0"
"23"	"15"	"142"	"161"	"7"	"2"	"0"	"2"	"4"	"5"	"323"	"0"	"323"	"0"
"24"	"16"	"220"	"111"	"15"	"73"	"3"	"0"	"10"	"12"	"444"	"0"	"444"	"0"
"25"	"17"	"154"	"103"	"18"	"189"	"12"	"5"	"15"	"29"	"525"	"0"	"525"	"0"
"26"	"18"	"118"	"103"	"6"	"72"	"2"	"0"	"5"	"2"	"308"	"0"	"308"	"0"
"27"	"18A"	"101"	"183"	"12"	"10"	"6"	"2"	"4"	"11"	"329"	"0"	"329"	"0"
"28"	"19"	"93"	"232"	"8"	"167"	"8"	"0"	"4"	"11"	"523"	"0"	"523"	"0"
"29"	"20"	"206"	"142"	"12"	"131"	"55"	"7"	"16"	"22"	"591"	"0"	"591"	"0"
"30"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 108 CHERIA BARIARPUR A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"Total No. of Electors in Assembly Constituency ------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"Name of the Assembly  - 108 CHERIA BARIARPUR"	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No.of"
"34"	""	"Anil Choudhary"	"Kumari Savitri"	"Gulab Paswan"	"Rajvanshi Mahto"	"Ram Balak Sahani"	"Janki Devi"	"Hafiz Gulam Sarwar"	"Vijay Kumar"	""	""	""	"Tendered votes"
"35"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"36"	"21"	"56"	"159"	"7"	"333"	"16"	"17"	"10"	"40"	"638"	"0"	"638"	"0"
"37"	"22"	"209"	"166"	"9"	"94"	"4"	"9"	"12"	"14"	"517"	"0"	"517"	"0"
"38"	"23"	"166"	"122"	"8"	"54"	"3"	"1"	"8"	"9"	"371"	"0"	"371"	"0"
"39"	"24"	"224"	"27"	"9"	"44"	"2"	"1"	"15"	"22"	"344"	"0"	"344"	"0"
"40"	"24A"	"93"	"23"	"7"	"253"	"8"	"7"	"13"	"16"	"420"	"0"	"420"	"0"
"41"	"25"	"183"	"131"	"24"	"111"	"7"	"8"	"10"	"6"	"480"	"0"	"480"	"0"
"42"	"26"	"245"	"79"	"11"	"70"	"9"	"5"	"17"	"16"	"452"	"0"	"452"	"0"
"43"	"27"	"192"	"144"	"26"	"114"	"13"	"8"	"15"	"17"	"529"	"0"	"529"	"0"
"44"	"28"	"195"	"309"	"15"	"64"	"3"	"6"	"7"	"13"	"612"	"0"	"612"	"0"
"45"	"29"	"200"	"145"	"7"	"61"	"2"	"2"	"5"	"1"	"423"	"0"	"423"	"0"
"46"	"30"	"119"	"158"	"14"	"9"	"2"	"5"	"19"	"14"	"340"	"0"	"340"	"0"
"47"	"30A"	"130"	"135"	"7"	"22"	"4"	"9"	"20"	"10"	"337"	"0"	"337"	"0"
"48"	"31"	"145"	"91"	"16"	"192"	"16"	"8"	"17"	"19"	"504"	"0"	"504"	"0"
"49"	"32"	"140"	"171"	"21"	"66"	"13"	"4"	"15"	"14"	"444"	"0"	"444"	"0"
"50"	"33"	"172"	"147"	"6"	"76"	"2"	"7"	"4"	"5"	"419"	"0"	"419"	"0"
"51"	"34"	"143"	"312"	"19"	"96"	"1"	"4"	"15"	"7"	"597"	"0"	"597"	"0"
"52"	"35"	"120"	"155"	"12"	"101"	"9"	"5"	"11"	"22"	"435"	"0"	"435"	"0"
"53"	"36"	"44"	"73"	"3"	"291"	"14"	"1"	"7"	"11"	"444"	"0"	"444"	"0"
"54"	"37"	"145"	"263"	"16"	"92"	"4"	"5"	"8"	"12"	"545"	"0"	"545"	"0"
"55"	"38"	"79"	"305"	"8"	"122"	"4"	"3"	"5"	"9"	"535"	"0"	"535"	"0"
"56"	"39"	"102"	"285"	"7"	"87"	"5"	"3"	"7"	"5"	"501"	"0"	"501"	"0"
"57"	"40"	"98"	"431"	"36"	"97"	"6"	"14"	"17"	"26"	"725"	"0"	"725"	"0"
"58"	"41"	"77"	"94"	"10"	"270"	"11"	"3"	"9"	"20"	"494"	"0"	"494"	"0"
"59"	"42"	"156"	"181"	"16"	"246"	"12"	"3"	"21"	"16"	"651"	"0"	"651"	"0"
"60"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 108 CHERIA BARIARPUR A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"Total No. of Electors in Assembly Constituency ------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"Name of the Assembly  - 108 CHERIA BARIARPUR"	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No.of"
"64"	""	"Anil Choudhary"	"Kumari Savitri"	"Gulab Paswan"	"Rajvanshi Mahto"	"Ram Balak Sahani"	"Janki Devi"	"Hafiz Gulam Sarwar"	"Vijay Kumar"	""	""	""	"Tendered votes"
"65"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"66"	"43"	"204"	"135"	"3"	"10"	"3"	"4"	"10"	"10"	"379"	"0"	"379"	"0"
"67"	"43A"	"81"	"165"	"16"	"62"	"2"	"3"	"2"	"8"	"339"	"0"	"339"	"0"
"68"	"44"	"166"	"287"	"34"	"68"	"10"	"14"	"13"	"17"	"609"	"0"	"609"	"0"
"69"	"45"	"224"	"200"	"12"	"142"	"7"	"5"	"13"	"26"	"629"	"0"	"629"	"0"
"70"	"46"	"191"	"213"	"29"	"65"	"2"	"10"	"3"	"9"	"522"	"0"	"522"	"0"
"71"	"47"	"98"	"276"	"12"	"45"	"2"	"7"	"8"	"2"	"450"	"0"	"450"	"0"
"72"	"48"	"250"	"205"	"20"	"22"	"5"	"6"	"19"	"9"	"536"	"0"	"536"	"0"
"73"	"49"	"96"	"59"	"5"	"108"	"7"	"3"	"9"	"7"	"294"	"0"	"294"	"0"
"74"	"49A"	"298"	"58"	"8"	"60"	"2"	"5"	"11"	"11"	"453"	"0"	"453"	"0"
"75"	"50"	"219"	"186"	"19"	"32"	"7"	"6"	"18"	"20"	"507"	"0"	"507"	"0"
"76"	"51"	"164"	"98"	"8"	"54"	"6"	"9"	"21"	"15"	"375"	"0"	"375"	"0"
"77"	"52"	"70"	"57"	"8"	"232"	"9"	"6"	"12"	"11"	"405"	"0"	"405"	"0"
"78"	"53"	"88"	"48"	"6"	"301"	"10"	"3"	"9"	"17"	"482"	"0"	"482"	"0"
"79"	"54"	"219"	"118"	"6"	"138"	"7"	"3"	"8"	"22"	"521"	"0"	"521"	"0"
"80"	"55"	"125"	"131"	"13"	"212"	"12"	"11"	"9"	"24"	"537"	"0"	"537"	"0"
"81"	"56"	"92"	"208"	"15"	"127"	"8"	"6"	"11"	"28"	"495"	"0"	"495"	"0"
"82"	"57"	"29"	"285"	"11"	"119"	"4"	"3"	"3"	"4"	"458"	"0"	"458"	"0"
"83"	"58"	"61"	"196"	"11"	"126"	"7"	"4"	"6"	"21"	"432"	"0"	"432"	"0"
"84"	"59"	"191"	"183"	"15"	"110"	"6"	"5"	"10"	"14"	"534"	"0"	"534"	"0"
"85"	"60"	"175"	"164"	"18"	"295"	"12"	"1"	"13"	"22"	"700"	"0"	"700"	"0"
"86"	"61"	"105"	"268"	"16"	"217"	"10"	"5"	"15"	"20"	"656"	"0"	"656"	"0"
"87"	"62"	"70"	"285"	"17"	"105"	"8"	"7"	"13"	"9"	"514"	"0"	"514"	"0"
"88"	"63"	"74"	"241"	"18"	"238"	"11"	"9"	"9"	"22"	"622"	"0"	"622"	"0"
"89"	"64"	"99"	"334"	"23"	"53"	"7"	"10"	"11"	"22"	"559"	"0"	"559"	"0"
"90"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 108 CHERIA BARIARPUR A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"Total No. of Electors in Assembly Constituency ------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"Name of the Assembly  - 108 CHERIA BARIARPUR"	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No.of"
"94"	""	"Anil Choudhary"	"Kumari Savitri"	"Gulab Paswan"	"Rajvanshi Mahto"	"Ram Balak Sahani"	"Janki Devi"	"Hafiz Gulam Sarwar"	"Vijay Kumar"	""	""	""	"Tendered votes"
"95"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"96"	"65"	"122"	"138"	"7"	"85"	"10"	"2"	"17"	"11"	"392"	"0"	"392"	"0"
"97"	"66"	"237"	"92"	"6"	"98"	"2"	"2"	"5"	"6"	"448"	"0"	"448"	"0"
"98"	"67"	"172"	"190"	"9"	"121"	"5"	"1"	"6"	"5"	"509"	"0"	"509"	"0"
"99"	"68"	"50"	"8"	"94"	"2"	"2"	"5"	"13"	"312"	"312"	"0"	"312"	"0"
"100"	"68A"	"101"	"179"	"17"	"79"	"0"	"0"	"4"	"7"	"387"	"0"	"387"	"0"
"101"	"69"	"166"	"71"	"7"	"133"	"1"	"2"	"4"	"11"	"395"	"0"	"395"	"0"
"102"	"69A"	"31"	"157"	"8"	"141"	"5"	"4"	"4"	"15"	"365"	"0"	"365"	"0"
"103"	"70"	"91"	"190"	"12"	"247"	"13"	"5"	"12"	"21"	"591"	"0"	"591"	"0"
"104"	"71"	"180"	"125"	"15"	"120"	"7"	"5"	"8"	"18"	"478"	"0"	"478"	"0"
"105"	"72"	"72"	"142"	"14"	"45"	"1"	"10"	"3"	"8"	"295"	"0"	"295"	"0"
"106"	"73"	"96"	"297"	"18"	"136"	"7"	"2"	"6"	"8"	"570"	"0"	"570"	"0"
"107"	"73A"	"41"	"122"	"7"	"75"	"3"	"1"	"3"	"6"	"258"	"0"	"258"	"0"
"108"	"74"	"77"	"278"	"13"	"7"	"1"	"9"	"2"	"2"	"389"	"0"	"389"	"0"
"109"	"75"	"130"	"230"	"14"	"75"	"6"	"7"	"11"	"7"	"480"	"0"	"480"	"0"
"110"	"75A"	"31"	"112"	"8"	"23"	"4"	"5"	"2"	"0"	"185"	"0"	"185"	"0"
"111"	"76"	"327"	"45"	"2"	"61"	"0"	"3"	"0"	"3"	"441"	"0"	"441"	"0"
"112"	"77"	"82"	"36"	"13"	"90"	"5"	"1"	"9"	"18"	"254"	"0"	"254"	"0"
"113"	"78"	"139"	"103"	"10"	"2"	"5"	"149"	"7"	"17"	"432"	"0"	"432"	"0"
"114"	"79"	"55"	"184"	"21"	"66"	"12"	"214"	"33"	"42"	"627"	"0"	"627"	"0"
"115"	"80"	"156"	"226"	"20"	"45"	"3"	"7"	"14"	"8"	"479"	"0"	"479"	"0"
"116"	"81"	"242"	"306"	"18"	"48"	"13"	"20"	"26"	"14"	"687"	"0"	"687"	"0"
"117"	"82"	"249"	"240"	"11"	"17"	"9"	"9"	"19"	"32"	"586"	"0"	"586"	"0"
"118"	"83"	"305"	"298"	"32"	"62"	"8"	"7"	"15"	"13"	"740"	"0"	"740"	"0"
"119"	"84"	"251"	"348"	"20"	"77"	"7"	"12"	"5"	"2"	"722"	"0"	"722"	"0"
"120"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 108 CHERIA BARIARPUR A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"Total No. of Electors in Assembly Constituency ------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"Name of the Assembly  - 108 CHERIA BARIARPUR"	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No.of"
"124"	""	"Anil Choudhary"	"Kumari Savitri"	"Gulab Paswan"	"Rajvanshi Mahto"	"Ram Balak Sahani"	"Janki Devi"	"Hafiz Gulam Sarwar"	"Vijay Kumar"	""	""	""	"Tendered votes"
"125"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"126"	"85"	"429"	"259"	"39"	"42"	"5"	"13"	"22"	"21"	"830"	"0"	"830"	"0"
"127"	"86"	"87"	"230"	"14"	"43"	"3"	"12"	"9"	"17"	"415"	"0"	"415"	"0"
"128"	"86A"	"134"	"191"	"5"	"17"	"2"	"3"	"2"	"5"	"359"	"0"	"359"	"0"
"129"	"87"	"150"	"180"	"11"	"20"	"7"	"13"	"9"	"9"	"399"	"0"	"399"	"0"
"130"	"88"	"325"	"73"	"5"	"10"	"15"	"4"	"16"	"6"	"454"	"0"	"454"	"0"
"131"	"88A"	"140"	"184"	"5"	"9"	"1"	"5"	"9"	"11"	"364"	"0"	"364"	"0"
"132"	"89"	"120"	"266"	"23"	"16"	"6"	"7"	"15"	"11"	"464"	"0"	"464"	"0"
"133"	"89A"	"129"	"185"	"16"	"21"	"45"	"5"	"20"	"16"	"437"	"0"	"437"	"0"
"134"	"90"	"132"	"49"	"4"	"155"	"3"	"5"	"7"	"19"	"374"	"0"	"374"	"0"
"135"	"90A"	"144"	"31"	"7"	"131"	"5"	"3"	"6"	"7"	"334"	"0"	"334"	"0"
"136"	"91"	"89"	"382"	"20"	"167"	"13"	"12"	"4"	"12"	"699"	"0"	"699"	"0"
"137"	"92"	"81"	"139"	"11"	"122"	"8"	"5"	"7"	"12"	"385"	"0"	"385"	"0"
"138"	"92A"	"70"	"237"	"9"	"107"	"6"	"3"	"4"	"9"	"445"	"0"	"445"	"0"
"139"	"93"	"45"	"297"	"15"	"60"	"8"	"6"	"9"	"16"	"456"	"0"	"456"	"0"
"140"	"93A"	"109"	"230"	"9"	"52"	"3"	"3"	"4"	"8"	"418"	"0"	"418"	"0"
"141"	"94"	"255"	"75"	"11"	"155"	"11"	"4"	"16"	"17"	"544"	"0"	"544"	"0"
"142"	"95"	"148"	"34"	"7"	"204"	"8"	"3"	"6"	"11"	"421"	"0"	"421"	"0"
"143"	"95A"	"162"	"12"	"1"	"126"	"4"	"2"	"5"	"5"	"317"	"0"	"317"	"0"
"144"	"96"	"368"	"58"	"13"	"115"	"7"	"3"	"9"	"9"	"582"	"0"	"582"	"0"
"145"	"97"	"240"	"129"	"14"	"175"	"17"	"18"	"9"	"16"	"618"	"0"	"618"	"0"
"146"	"98"	"63"	"268"	"15"	"152"	"6"	"2"	"5"	"9"	"520"	"0"	"520"	"0"
"147"	"98A"	"49"	"115"	"7"	"179"	"1"	"0"	"2"	"2"	"355"	"0"	"355"	"0"
"148"	"99"	"172"	"164"	"19"	"243"	"18"	"6"	"5"	"20"	"647"	"0"	"647"	"0"
"149"	"100"	"274"	"96"	"6"	"157"	"12"	"13"	"19"	"21"	"598"	"0"	"598"	"0"
"150"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 108 CHERIA BARIARPUR A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"Total No. of Electors in Assembly Constituency ------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"Name of the Assembly  - 108 CHERIA BARIARPUR"	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No.of"
"154"	""	"Anil Choudhary"	"Kumari Savitri"	"Gulab Paswan"	"Rajvanshi Mahto"	"Ram Balak Sahani"	"Janki Devi"	"Hafiz Gulam Sarwar"	"Vijay Kumar"	""	""	""	"Tendered votes"
"155"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"156"	"101"	"71"	"374"	"16"	"11"	"3"	"31"	"10"	"12"	"528"	"0"	"528"	"0"
"157"	"102"	"220"	"138"	"10"	"42"	"6"	"6"	"19"	"20"	"461"	"0"	"461"	"0"
"158"	"103"	"230"	"91"	"12"	"20"	"6"	"5"	"10"	"15"	"389"	"0"	"389"	"0"
"159"	"104"	"218"	"163"	"16"	"11"	"3"	"3"	"15"	"11"	"440"	"0"	"440"	"0"
"160"	"104A"	"69"	"175"	"11"	"40"	"4"	"4"	"9"	"12"	"324"	"0"	"324"	"0"
"161"	"105"	"221"	"216"	"13"	"28"	"3"	"8"	"8"	"10"	"507"	"0"	"507"	"0"
"162"	"106"	"368"	"131"	"18"	"30"	"13"	"15"	"20"	"23"	"618"	"0"	"618"	"0"
"163"	"107"	"231"	"45"	"3"	"40"	"3"	"1"	"14"	"4"	"341"	"0"	"341"	"0"
"164"	"108"	"197"	"88"	"17"	"128"	"6"	"12"	"12"	"6"	"466"	"0"	"466"	"0"
"165"	"109"	"134"	"358"	"38"	"14"	"4"	"7"	"10"	"7"	"572"	"0"	"572"	"0"
"166"	"110"	"35"	"153"	"14"	"204"	"15"	"1"	"6"	"6"	"434"	"0"	"434"	"0"
"167"	"110A"	"138"	"84"	"11"	"144"	"21"	"3"	"5"	"14"	"420"	"0"	"420"	"0"
"168"	"111"	"186"	"205"	"14"	"89"	"3"	"2"	"11"	"11"	"521"	"0"	"521"	"0"
"169"	"111A"	"73"	"225"	"7"	"57"	"7"	"4"	"12"	"6"	"391"	"0"	"391"	"0"
"170"	"112"	"102"	"97"	"3"	"144"	"10"	"2"	"5"	"9"	"372"	"0"	"372"	"0"
"171"	"112A"	"81"	"104"	"12"	"168"	"0"	"1"	"7"	"18"	"391"	"0"	"391"	"0"
"172"	"113"	"102"	"148"	"6"	"127"	"9"	"4"	"5"	"12"	"413"	"0"	"413"	"0"
"173"	"113A"	"129"	"126"	"10"	"35"	"8"	"3"	"10"	"7"	"328"	"0"	"328"	"0"
"174"	"114"	"161"	"79"	"10"	"75"	"4"	"6"	"8"	"8"	"351"	"0"	"351"	"0"
"175"	"114A"	"187"	"105"	"7"	"49"	"2"	"0"	"5"	"6"	"361"	"0"	"361"	"0"
"176"	"115"	"186"	"263"	"15"	"39"	"5"	"2"	"16"	"14"	"540"	"0"	"540"	"0"
"177"	"116"	"182"	"179"	"11"	"15"	"6"	"5"	"12"	"17"	"427"	"0"	"427"	"0"
"178"	"116A"	"192"	"82"	"11"	"66"	"1"	"3"	"5"	"8"	"368"	"0"	"368"	"0"
"179"	"117"	"80"	"85"	"8"	"229"	"6"	"5"	"6"	"23"	"442"	"0"	"442"	"0"
"180"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 108 CHERIA BARIARPUR A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"Total No. of Electors in Assembly Constituency ------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"Name of the Assembly  - 108 CHERIA BARIARPUR"	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No.of"
"184"	""	"Anil Choudhary"	"Kumari Savitri"	"Gulab Paswan"	"Rajvanshi Mahto"	"Ram Balak Sahani"	"Janki Devi"	"Hafiz Gulam Sarwar"	"Vijay Kumar"	""	""	""	"Tendered votes"
"185"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"186"	"117A"	"103"	"78"	"10"	"55"	"5"	"6"	"3"	"8"	"268"	"0"	"268"	"0"
"187"	"118"	"142"	"196"	"15"	"144"	"9"	"6"	"10"	"20"	"542"	"0"	"542"	"0"
"188"	"119"	"312"	"17"	"2"	"98"	"2"	"1"	"3"	"12"	"447"	"0"	"447"	"0"
"189"	"120"	"321"	"63"	"13"	"132"	"3"	"1"	"14"	"7"	"554"	"0"	"554"	"0"
"190"	"121"	"260"	"87"	"7"	"147"	"6"	"5"	"12"	"13"	"537"	"0"	"537"	"0"
"191"	"122"	"171"	"63"	"6"	"44"	"1"	"1"	"5"	"5"	"296"	"0"	"296"	"0"
"192"	"123"	"250"	"111"	"10"	"159"	"5"	"5"	"11"	"16"	"567"	"0"	"567"	"0"
"193"	"124"	"136"	"106"	"2"	"126"	"4"	"3"	"10"	"17"	"404"	"0"	"404"	"0"
"194"	"124A"	"91"	"91"	"8"	"26"	"1"	"3"	"7"	"14"	"241"	"0"	"241"	"0"
"195"	"125"	"95"	"221"	"12"	"105"	"10"	"4"	"10"	"21"	"478"	"0"	"478"	"0"
"196"	"126"	"102"	"100"	"8"	"101"	"7"	"1"	"11"	"10"	"340"	"0"	"340"	"0"
"197"	"126A"	"68"	"119"	"5"	"57"	"2"	"2"	"4"	"3"	"260"	"0"	"260"	"0"
"198"	"127"	"226"	"67"	"7"	"209"	"10"	"5"	"9"	"5"	"538"	"0"	"538"	"0"
"199"	"128"	"200"	"31"	"6"	"31"	"3"	"1"	"4"	"7"	"283"	"0"	"283"	"0"
"200"	"129"	"141"	"7"	"1"	"97"	"0"	"0"	"4"	"3"	"253"	"0"	"253"	"0"
"201"	"130"	"317"	"85"	"8"	"4"	"4"	"6"	"5"	"6"	"435"	"0"	"435"	"0"
"202"	"130A"	"191"	"30"	"8"	"25"	"5"	"0"	"7"	"9"	"275"	"0"	"275"	"0"
"203"	"131"	"340"	"47"	"8"	"19"	"4"	"1"	"10"	"6"	"435"	"0"	"435"	"0"
"204"	"131A"	"304"	"41"	"9"	"10"	"2"	"1"	"10"	"12"	"389"	"0"	"389"	"0"
"205"	"132"	"260"	"61"	"8"	"17"	"6"	"2"	"5"	"3"	"362"	"0"	"362"	"0"
"206"	"132A"	"324"	"49"	"8"	"38"	"2"	"3"	"14"	"19"	"457"	"0"	"457"	"0"
"207"	"133"	"20"	"233"	"21"	"12"	"3"	"2"	"8"	"10"	"309"	"0"	"309"	"0"
"208"	"134"	"260"	"87"	"14"	"212"	"5"	"2"	"5"	"10"	"595"	"0"	"595"	"0"
"209"	"135"	"177"	"153"	"17"	"10"	"6"	"4"	"12"	"11"	"390"	"0"	"390"	"0"
"210"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 108 CHERIA BARIARPUR A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"211"	"Total No. of Electors in Assembly Constituency ------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""
"212"	"Name of the Assembly  - 108 CHERIA BARIARPUR"	""	""	""	""	""	""	""	""	""	""	""	""
"213"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No.of"
"214"	""	"Anil Choudhary"	"Kumari Savitri"	"Gulab Paswan"	"Rajvanshi Mahto"	"Ram Balak Sahani"	"Janki Devi"	"Hafiz Gulam Sarwar"	"Vijay Kumar"	""	""	""	"Tendered votes"
"215"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"216"	"135A"	"225"	"92"	"3"	"16"	"3"	"3"	"12"	"11"	"365"	"0"	"365"	"0"
"217"	"136"	"209"	"32"	"10"	"160"	"11"	"2"	"6"	"12"	"442"	"0"	"442"	"0"
"218"	"137"	"312"	"109"	"14"	"131"	"10"	"5"	"20"	"33"	"634"	"0"	"634"	"0"
"219"	"138"	"147"	"52"	"5"	"60"	"2"	"0"	"13"	"12"	"291"	"0"	"291"	"0"
"220"	"138A"	"34"	"141"	"19"	"90"	"5"	"1"	"7"	"15"	"312"	"0"	"312"	"0"
"221"	"139"	"88"	"77"	"8"	"119"	"4"	"1"	"1"	"4"	"302"	"0"	"302"	"0"
"222"	"139A"	"73"	"130"	"4"	"119"	"5"	"2"	"6"	"2"	"341"	"0"	"341"	"0"
"223"	"140"	"77"	"114"	"13"	"84"	"7"	"3"	"8"	"10"	"316"	"0"	"316"	"0"
"224"	"140A"	"60"	"111"	"3"	"145"	"5"	"2"	"4"	"12"	"342"	"0"	"342"	"0"
"225"	"141"	"46"	"138"	"14"	"88"	"5"	"4"	"7"	"30"	"332"	"0"	"332"	"0"
"226"	"141A"	"53"	"228"	"9"	"68"	"6"	"3"	"5"	"3"	"375"	"0"	"375"	"0"
