"fuEufyf.kr.vH.fFkZ.ksa.ds.i.k.esa.fn..x..fof.kekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"61"	"44"	"236"	"4"	"21"	"57"	"4"	"13"	"7"	"342"	""	"342"	""
"62"	"44d"	"192"	"8"	"18"	"57"	"3"	"19"	"6"	"303"	""	"303"	""
"63"	"45"	"492"	"9"	"27"	"42"	"4"	"2"	"3"	"579"	""	"579"	""
"64"	"46"	"195"	"6"	"5"	"108"	"9"	"4"	"4"	"331"	""	"331"	""
"65"	"47"	"336"	"1"	"7"	"25"	"2"	"7"	"7"	"385"	""	"385"	""
"66"	"47d"	"271"	"3"	"1"	"88"	"1"	"4"	"4"	"372"	""	"372"	""
"67"	"Total-IV"	"4381"	"82"	"158"	"756"	"49"	"92"	"105"	"5623"	""	"5623"	""
"68"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""
"69"	"ernku  dsUnz dh  Øe la[;k"	"vfu:) izlkn
;kno"	"vHk; dqekj jke"	"jke fd'kksj esgrk"	"fot; dqekj xqIrk"	"Hkksxh eaMy"	"Mk0  jke izlkn
;kno"	"veu dqekj lektlsoh"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa dh  la[;k"
"70"	"48"	"275"	"3"	"2"	"24"	""	"3"	"2"	"309"	""	"309"	""
"71"	"48d"	"305"	"6"	"10"	"49"	"4"	"4"	"7"	"385"	""	"385"	""
"72"	"49"	"290"	"17"	"9"	"136"	"9"	"12"	"5"	"478"	""	"478"	""
"73"	"50"	"343"	"9"	"13"	"148"	"8"	"5"	"3"	"529"	""	"529"	""
"74"	"51"	"397"	"6"	"9"	"89"	"9"	"9"	"19"	"538"	""	"538"	""
"75"	"52"	"325"	"11"	"10"	"74"	"5"	"6"	"23"	"454"	""	"454"	""
"76"	"53"	"289"	"23"	"14"	"201"	"24"	"14"	"14"	"579"	""	"579"	""
"77"	"54"	"458"	"13"	"11"	"131"	"10"	"9"	"8"	"640"	""	"640"	""
"78"	"55"	"274"	"3"	"5"	"29"	"3"	"2"	"14"	"330"	""	"330"	""
"79"	"55d"	"223"	"4"	"3"	"70"	"6"	"9"	"8"	"323"	""	"323"	""
"80"	"56"	"125"	"3"	"1"	"55"	""	"2"	"3"	"189"	""	"189"	""
"81"	"57"	"282"	"5"	"9"	"96"	"8"	"4"	"4"	"408"	""	"408"	""
"82"	"58"	"432"	"9"	"26"	"33"	"5"	"4"	"11"	"520"	""	"520"	""
"83"	"59"	"350"	"19"	"53"	"43"	"15"	"22"	"13"	"515"	""	"515"	""
"84"	"Total-V"	"4368"	"131"	"175"	"1178"	"106"	"105"	"134"	"6197"	""	"6197"	""
"85"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""
"86"	"ernku  dsUnz dh  Øe la[;k"	"vfu:) izlkn
;kno"	"vHk; dqekj jke"	"jke fd'kksj esgrk"	"fot; dqekj xqIrk"	"Hkksxh eaMy"	"Mk0  jke izlkn
;kno"	"veu dqekj lektlsoh"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa dh  la[;k"
"87"	"60"	"335"	"3"	"5"	"15"	"2"	"1"	"2"	"363"	""	"363"	""
"88"	"61"	"246"	"4"	"5"	"40"	"6"	"3"	"8"	"312"	""	"312"	""
"89"	"61d"	"212"	"13"	"17"	"102"	"7"	"11"	"8"	"370"	""	"370"	""
"90"	"62"	"275"	"4"	"10"	"63"	"10"	"5"	"3"	"370"	""	"370"	""
"91"	"63"	"156"	"21"	"11"	"271"	"17"	"17"	"17"	"510"	""	"510"	""
"92"	"64"	"392"	"17"	"11"	"141"	"4"	"10"	"6"	"581"	""	"581"	""
"93"	"65"	"206"	"13"	"15"	"230"	"20"	"23"	"16"	"523"	""	"523"	""
"94"	"66"	"174"	"4"	"4"	"83"	"6"	"28"	"14"	"313"	""	"313"	""
"95"	"67"	"142"	"12"	"12"	"175"	"17"	"11"	"6"	"375"	""	"375"	""
"96"	"68"	"73"	"14"	"11"	"165"	"8"	"28"	"5"	"304"	""	"304"	""
"97"	"69"	"95"	"8"	"15"	"257"	"14"	"30"	"24"	"443"	""	"443"	""
"98"	"70"	"198"	"7"	"5"	"148"	"12"	"15"	"4"	"389"	""	"389"	""
"99"	"71"	"243"	"13"	"13"	"246"	"32"	"37"	"32"	"616"	""	"616"	""
"100"	"72"	"123"	"9"	"4"	"215"	"9"	"16"	"1"	"377"	""	"377"	""
"101"	"Total-VI"	"2870"	"142"	"138"	"2151"	"164"	"235"	"146"	"5846"	""	"5846"	""
"102"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""
"103"	"ernku  dsUnz dh  Øe la[;k"	"vfu:) izlkn
;kno"	"vHk; dqekj jke"	"jke fd'kksj esgrk"	"fot; dqekj xqIrk"	"Hkksxh eaMy"	"Mk0  jke izlkn
;kno"	"veu dqekj lektlsoh"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa dh  la[;k"
"104"	"73"	"209"	"4"	"5"	"77"	"11"	"8"	"19"	"333"	""	"333"	""
"105"	"74"	"181"	"10"	"19"	"58"	"67"	"8"	"20"	"363"	""	"363"	""
"106"	"75"	"180"	"15"	"16"	"158"	"11"	"5"	"8"	"393"	""	"393"	""
"107"	"76"	"95"	"4"	"10"	"405"	"30"	"10"	"7"	"561"	""	"561"	""
"108"	"77"	"243"	"9"	"18"	"81"	"15"	"7"	"17"	"390"	""	"390"	""
"109"	"78"	"132"	"5"	"11"	"151"	"10"	"1"	"9"	"319"	""	"319"	""
"110"	"78d"	"154"	"8"	"4"	"144"	"10"	"6"	"9"	"335"	""	"335"	""
"111"	"79"	"154"	"10"	"5"	"71"	"8"	"9"	"11"	"268"	""	"268"	""
"112"	"80"	"288"	"3"	"4"	"47"	"2"	"5"	""	"349"	""	"349"	""
"113"	"81"	"248"	"18"	"35"	"48"	"22"	"14"	"31"	"416"	""	"416"	""
"114"	"82"	"173"	"6"	"17"	"118"	"10"	"8"	"15"	"347"	""	"347"	""
"115"	"82d"	"82"	"8"	"15"	"140"	"16"	"18"	"32"	"311"	""	"311"	""
"116"	"83"	"76"	"8"	"18"	"339"	"32"	"10"	"37"	"520"	""	"520"	""
"117"	"84"	"107"	"9"	"12"	"161"	"24"	"12"	"16"	"341"	""	"341"	""
"118"	"Total-VII"	"2322"	"117"	"189"	"1998"	"268"	"121"	"231"	"5246"	""	"5246"	""
"119"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""
"120"	"ernku  dsUnz dh  Øe la[;k"	"vfu:) izlkn
;kno"	"vHk; dqekj jke"	"jke fd'kksj esgrk"	"fot; dqekj xqIrk"	"Hkksxh eaMy"	"Mk0  jke izlkn
;kno"	"veu dqekj lektlsoh"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa dh  la[;k"
"121"	"85"	"256"	"16"	"17"	"156"	"28"	"37"	"72"	"582"	""	"582"	""
"122"	"86"	"94"	"16"	"18"	"107"	"16"	"27"	"29"	"307"	""	"307"	""
"123"	"87"	"214"	"16"	"9"	"160"	"13"	"16"	"19"	"447"	""	"447"	""
"124"	"88"	"285"	"11"	"20"	"98"	"15"	"18"	"27"	"474"	""	"474"	""
"125"	"89"	"79"	"1"	"5"	"91"	"6"	"12"	"5"	"199"	""	"199"	""
"126"	"90"	"262"	"23"	"15"	"209"	"22"	"26"	"19"	"576"	""	"576"	""
"127"	"91"	"219"	"12"	"22"	"106"	"9"	"10"	"7"	"385"	""	"385"	""
"128"	"92"	"389"	"11"	"18"	"105"	"8"	"19"	"34"	"584"	""	"584"	""
"129"	"93"	"89"	"25"	"19"	"175"	"13"	"12"	"10"	"343"	""	"343"	""
"130"	"93d"	"117"	"11"	"15"	"116"	"12"	"33"	"24"	"328"	""	"328"	""
"131"	"94"	"113"	"7"	"7"	"69"	"4"	"16"	"2"	"218"	""	"218"	""
"132"	"94d"	"139"	"2"	"4"	"62"	"11"	"11"	"17"	"246"	""	"246"	""
"133"	"95"	"66"	"11"	"6"	"133"	"30"	"48"	"33"	"327"	""	"327"	""
"134"	"96"	"86"	"8"	"8"	"110"	"19"	"25"	"21"	"277"	""	"277"	""
"135"	"Total-VIII"	"2408"	"170"	"183"	"1697"	"206"	"310"	"319"	"5293"	""	"5293"	""
"136"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""
"137"	"ernku  dsUnz dh  Øe la[;k"	"vfu:) izlkn
;kno"	"vHk; dqekj jke"	"jke fd'kksj esgrk"	"fot; dqekj xqIrk"	"Hkksxh eaMy"	"Mk0  jke izlkn
;kno"	"veu dqekj lektlsoh"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa dh  la[;k"
"138"	"97"	"172"	"12"	"15"	"158"	"26"	"27"	"15"	"425"	""	"425"	""
"139"	"98"	"132"	"6"	"13"	"90"	"15"	"28"	"17"	"301"	""	"301"	""
"140"	"99"	"252"	"16"	"15"	"79"	"6"	"12"	"17"	"397"	""	"397"	""
"141"	"100"	"220"	"13"	"6"	"43"	"4"	"8"	"10"	"304"	""	"304"	""
"142"	"101"	"126"	"15"	"14"	"251"	"9"	"25"	"14"	"454"	""	"454"	""
"143"	"102"	"162"	"12"	"5"	"95"	"10"	"18"	"16"	"318"	""	"318"	""
"144"	"103"	"208"	"12"	"19"	"144"	"17"	"15"	"17"	"432"	""	"432"	""
"145"	"104"	"181"	"15"	"15"	"187"	"21"	"40"	"17"	"476"	""	"476"	""
"146"	"105"	"46"	"4"	"5"	"268"	"12"	"14"	"11"	"360"	""	"360"	""
"147"	"106"	"85"	"9"	"8"	"122"	"20"	"10"	"28"	"282"	""	"282"	""
"148"	"107"	"206"	"40"	"21"	"160"	"18"	"19"	"12"	"476"	""	"476"	""
"149"	"108"	"175"	"8"	"14"	"134"	"14"	"11"	"16"	"372"	""	"372"	""
"150"	"109"	"230"	"17"	"2"	"160"	"20"	"5"	"18"	"452"	""	"452"	""
"151"	"110"	"138"	"13"	"19"	"239"	"17"	"34"	"19"	"479"	""	"479"	""
"152"	"Total-IX"	"2333"	"192"	"171"	"2130"	"209"	"266"	"227"	"5528"	""	"5528"	""
"153"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""
"154"	"ernku  dsUnz dh  Øe la[;k"	"vfu:) izlkn
;kno"	"vHk; dqekj jke"	"jke fd'kksj esgrk"	"fot; dqekj xqIrk"	"Hkksxh eaMy"	"Mk0  jke izlkn
;kno"	"veu dqekj lektlsoh"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa dh  la[;k"
"155"	"111"	"267"	"8"	"10"	"46"	"9"	"23"	"6"	"369"	""	"369"	""
"156"	"112"	"48"	"16"	"12"	"39"	"16"	"377"	"13"	"521"	""	"521"	""
"157"	"113"	"93"	"10"	"5"	"65"	"4"	"48"	"7"	"232"	""	"232"	""
"158"	"113d"	"82"	"11"	"3"	"23"	"1"	"44"	"3"	"167"	""	"167"	""
"159"	"114"	"266"	"6"	"7"	"134"	"8"	"15"	"9"	"445"	""	"445"	""
"160"	"115"	"177"	"6"	"3"	"16"	"4"	"4"	"5"	"215"	""	"215"	""
"161"	"116"	"36"	"6"	"2"	"36"	""	"1"	"1"	"82"	""	"82"	""
"162"	"117"	"248"	"9"	"11"	"362"	"33"	"9"	"21"	"693"	""	"693"	""
"163"	"118"	"304"	"17"	"14"	"306"	"15"	"13"	"14"	"683"	""	"683"	""
"164"	"119"	"99"	"15"	"14"	"321"	"39"	"11"	"24"	"523"	""	"523"	""
"165"	"120"	"248"	"19"	"14"	"385"	"33"	"15"	"23"	"737"	""	"737"	""
"166"	"121"	"123"	"9"	"30"	"276"	"13"	"7"	"9"	"467"	""	"467"	""
"167"	"122"	"177"	"17"	"20"	"256"	"10"	"12"	"4"	"496"	""	"496"	""
"168"	"123"	"153"	"5"	"11"	"111"	"12"	"5"	"22"	"319"	""	"319"	""
"169"	"Total-X"	"2321"	"154"	"156"	"2376"	"197"	"584"	"161"	"5949"	""	"5949"	""
"170"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""
"171"	"ernku  dsUnz dh  Øe la[;k"	"vfu:) izlkn
;kno"	"vHk; dqekj jke"	"jke fd'kksj esgrk"	"fot; dqekj xqIrk"	"Hkksxh eaMy"	"Mk0  jke izlkn
;kno"	"veu dqekj lektlsoh"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa dh  la[;k"
"172"	"123d"	"155"	"6"	"8"	"142"	"6"	"3"	"2"	"322"	""	"322"	""
"173"	"124"	"114"	"7"	"48"	"309"	"24"	"9"	"13"	"524"	""	"524"	""
"174"	"125"	"462"	"5"	"11"	"65"	"4"	"4"	"7"	"558"	""	"558"	""
"175"	"126"	"144"	"3"	"8"	"100"	"6"	"1"	"9"	"271"	""	"271"	""
"176"	"127"	"142"	"3"	"31"	"40"	""	""	"0"	"216"	""	"216"	""
"177"	"128"	"192"	"4"	"7"	"191"	"7"	"5"	"5"	"411"	""	"411"	""
"178"	"128d"	"163"	"14"	"7"	"114"	"12"	"6"	"4"	"320"	""	"320"	""
"179"	"129"	"247"	"18"	"25"	"244"	"14"	"14"	"18"	"580"	""	"580"	""
"180"	"130"	"208"	"5"	"9"	"148"	"9"	"5"	"10"	"394"	""	"394"	""
"181"	"131"	"385"	"7"	"28"	"232"	"25"	"18"	"49"	"744"	""	"744"	""
"182"	"132"	"427"	"12"	"25"	"173"	"13"	"13"	"16"	"679"	""	"679"	""
"183"	"133"	"224"	"4"	"27"	"172"	"8"	"9"	"8"	"452"	""	"452"	""
"184"	"133d"	"213"	"11"	"6"	"141"	"7"	"9"	"15"	"402"	""	"402"	""
"185"	"134"	"210"	"4"	"5"	"81"	"1"	"2"	"6"	"309"	""	"309"	""
"186"	"Total-XI"	"3286"	"103"	"245"	"2152"	"136"	"98"	"162"	"6182"	""	"6182"	""
"187"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""
"188"	"ernku  dsUnz dh  Øe la[;k"	"vfu:) izlkn
;kno"	"vHk; dqekj jke"	"jke fd'kksj esgrk"	"fot; dqekj xqIrk"	"Hkksxh eaMy"	"Mk0  jke izlkn
;kno"	"veu dqekj lektlsoh"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa dh  la[;k"
"189"	"135"	"296"	"11"	"12"	"245"	"14"	"5"	"6"	"589"	""	"589"	""
"190"	"136"	"86"	"4"	"9"	"71"	"2"	""	"4"	"176"	""	"176"	""
"191"	"137"	"253"	"12"	"14"	"147"	"16"	"6"	"4"	"452"	""	"452"	""
"192"	"138"	"137"	"2"	"5"	"76"	"11"	"3"	"3"	"237"	""	"237"	""
"193"	"139"	"155"	"1"	"10"	"97"	"3"	"3"	"2"	"271"	""	"271"	""
"194"	"140"	"299"	"3"	"2"	"6"	""	""	""	"310"	""	"310"	""
"195"	"141"	"134"	"7"	"9"	"19"	"6"	"9"	"17"	"201"	""	"201"	""
"196"	"142"	"120"	"1"	"1"	"62"	"3"	"1"	"6"	"194"	""	"194"	""
"197"	"143"	"153"	"1"	"6"	"134"	"6"	"1"	"4"	"305"	""	"305"	""
"198"	"144"	"186"	"7"	"8"	"228"	"21"	"6"	"23"	"479"	""	"479"	""
"199"	"145"	"243"	"10"	"25"	"80"	"5"	"5"	"15"	"383"	""	"383"	""
"200"	"146"	"336"	"16"	"27"	"151"	"20"	"5"	"17"	"572"	""	"572"	""
"201"	"147"	"169"	"3"	"7"	"226"	"9"	"11"	"13"	"438"	""	"438"	""
"202"	"147d"	"73"	"2"	"3"	"231"	"10"	"5"	"6"	"330"	""	"330"	""
"203"	"Total-XII"	"2640"	"80"	"138"	"1773"	"126"	"60"	"120"	"4937"	""	"4937"	""
"204"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""
"205"	"ernku  dsUnz dh  Øe la[;k"	"vfu:) izlkn
;kno"	"vHk; dqekj jke"	"jke fd'kksj esgrk"	"fot; dqekj xqIrk"	"Hkksxh eaMy"	"Mk0  jke izlkn
;kno"	"veu dqekj lektlsoh"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa dh  la[;k"
"206"	"148"	"329"	"9"	"13"	"137"	"8"	"11"	"13"	"520"	""	"520"	""
"207"	"149"	"289"	"7"	"7"	"99"	"3"	"7"	"12"	"424"	""	"424"	""
"208"	"150"	"430"	"9"	"5"	"111"	"5"	"6"	"16"	"582"	""	"582"	""
"209"	"151"	"203"	"5"	"41"	"95"	"7"	"5"	"11"	"367"	""	"367"	""
"210"	"151d"	"261"	"6"	"2"	"91"	"12"	"9"	"13"	"394"	""	"394"	""
"211"	"152"	"260"	"10"	"6"	"50"	"11"	"12"	"35"	"384"	""	"384"	""
"212"	"152d"	"234"	"16"	"4"	"70"	"2"	"2"	"5"	"333"	""	"333"	""
"213"	"153"	"390"	"13"	"62"	"55"	"17"	"10"	"42"	"589"	""	"589"	""
"214"	"154"	"94"	"6"	"12"	"178"	"16"	"3"	"24"	"333"	""	"333"	""
"215"	"155"	"86"	"5"	"2"	"53"	"3"	"2"	"3"	"154"	""	"154"	""
"216"	"156"	"83"	"7"	"2"	"61"	"3"	""	"1"	"157"	""	"157"	""
"217"	"157"	"95"	"6"	"4"	"49"	"2"	"3"	"3"	"162"	""	"162"	""
"218"	"158"	"225"	"9"	"8"	"96"	"6"	"6"	"10"	"360"	""	"360"	""
"219"	"159"	"446"	"14"	"5"	"63"	"7"	"6"	"13"	"554"	""	"554"	""
"220"	"Total-XIII"	"3425"	"122"	"173"	"1208"	"102"	"82"	"201"	"5313"	""	"5313"	""
"221"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""
"222"	"ernku  dsUnz dh  Øe la[;k"	"vfu:) izlkn
;kno"	"vHk; dqekj jke"	"jke fd'kksj esgrk"	"fot; dqekj xqIrk"	"Hkksxh eaMy"	"Mk0  jke izlkn
;kno"	"veu dqekj lektlsoh"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa dh  la[;k"
"223"	"160"	"242"	"1"	"9"	"6"	"1"	"1"	""	"260"	""	"260"	""
"224"	"161"	"167"	"3"	"1"	"20"	""	"2"	"3"	"196"	""	"196"	""
"225"	"162"	"270"	"3"	"4"	"75"	"1"	"2"	"3"	"358"	""	"358"	""
"226"	"163"	"172"	"6"	"13"	"326"	"5"	"3"	"6"	"531"	""	"531"	""
"227"	"164"	"351"	"8"	"27"	"312"	"20"	"12"	"22"	"752"	""	"752"	""
"228"	"165"	"254"	"8"	"11"	"251"	"9"	"12"	"12"	"557"	""	"557"	""
"229"	"166"	"125"	"4"	"5"	"213"	"18"	"9"	"19"	"393"	""	"393"	""
"230"	"167"	"430"	"6"	"10"	"142"	"11"	"1"	"6"	"606"	""	"606"	""
"231"	"168"	"469"	"6"	"16"	"264"	"12"	"5"	"9"	"781"	""	"781"	""
"232"	"169"	"609"	"12"	"6"	"124"	"14"	"11"	"23"	"799"	""	"799"	""
"233"	"170"	"329"	"10"	"2"	"197"	"8"	"5"	"6"	"557"	""	"557"	""
