"Round.No."	"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"63"	""	"44"	"195"	"35"	"15"	"296"	"12"	"11"	"564"	"0"	"564"	"0"
"64"	""	"45"	"233"	"15"	"6"	"65"	"14"	"20"	"353"	"0"	"353"	"0"
"65"	""	"46"	"189"	"26"	"16"	"82"	"15"	"34"	"362"	"0"	"362"	"0"
"66"	""	"47"	"189"	"19"	"11"	"204"	"27"	"9"	"459"	"0"	"459"	"0"
"67"	""	"48"	"69"	"42"	"15"	"172"	"5"	"10"	"313"	"0"	"313"	"0"
"68"	""	"48-A"	"48"	"30"	"8"	"226"	"13"	"37"	"362"	"0"	"362"	"0"
"69"	""	"49"	"161"	"26"	"12"	"208"	"24"	"29"	"460"	"0"	"460"	"0"
"70"	""	"50"	"141"	"100"	"22"	"227"	"26"	"20"	"536"	"0"	"536"	"0"
"71"	""	"Total"	"1996"	"425"	"185"	"3114"	"248"	"294"	"6262"	"0"	"6262"	"0"
"72"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"73"	""	""	"ANIS AHMAD,"	"RAM NARAYAN YADAV"	"SANJAY KUMAR"	"HARI  PRASAD SAH"	"DR. MUKHTAR AHMAD"	"KALAWATI DEVI"	""	""	""	""
"74"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	""	""	""	""
"75"	"Round - 5"	"51"	"73"	"20"	"11"	"404"	"26"	"17"	"551"	"0"	"551"	"0"
"76"	""	"52"	"315"	"30"	"19"	"175"	"116"	"30"	"685"	"0"	"685"	"0"
"77"	""	"53"	"330"	"14"	"6"	"75"	"10"	"17"	"452"	"0"	"452"	"0"
"78"	""	"54"	"276"	"10"	"5"	"3"	"23"	"19"	"336"	"0"	"336"	"0"
"79"	""	"54-A"	"146"	"12"	"4"	"49"	"41"	"21"	"273"	"0"	"273"	"0"
"80"	""	"55"	"179"	"12"	"11"	"206"	"13"	"13"	"434"	"0"	"434"	"0"
"81"	""	"56"	"354"	"17"	"7"	"41"	"2"	"1"	"422"	"0"	"422"	"0"
"82"	""	"57"	"221"	"5"	"5"	"21"	"14"	"15"	"281"	"0"	"281"	"0"
"83"	""	"57-A"	"176"	"9"	"5"	"48"	"27"	"9"	"274"	"0"	"274"	"0"
"84"	""	"58"	"377"	"14"	"2"	"55"	"12"	"6"	"466"	"0"	"466"	"0"
"85"	""	"59"	"309"	"16"	"4"	"3"	"14"	"28"	"374"	"0"	"374"	"0"
"86"	""	"60"	"284"	"7"	"5"	"4"	"10"	"5"	"315"	"0"	"315"	"0"
"87"	""	"61"	"238"	"5"	"4"	"5"	"39"	"3"	"294"	"0"	"294"	"0"
"88"	""	"61-A"	"278"	"18"	"5"	"6"	"36"	"17"	"360"	"0"	"360"	"0"
"89"	""	"Total"	"3556"	"189"	"93"	"1095"	"383"	"201"	"5517"	"0"	"5517"	"0"
"90"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"91"	""	""	"ANIS AHMAD,"	"RAM NARAYAN YADAV"	"SANJAY KUMAR"	"HARI  PRASAD SAH"	"DR. MUKHTAR AHMAD"	"KALAWATI DEVI"	""	""	""	""
"92"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	""	""	""	""
"93"	"Round - 6"	"62"	"411"	"13"	"5"	"59"	"10"	"8"	"506"	"0"	"506"	"0"
"94"	""	"63"	"225"	"24"	"8"	"97"	"41"	"11"	"406"	"0"	"406"	"0"
"95"	""	"64"	"104"	"11"	"23"	"193"	"17"	"24"	"372"	"0"	"372"	"0"
"96"	""	"65"	"113"	"20"	"17"	"246"	"21"	"28"	"445"	"0"	"445"	"0"
"97"	""	"66"	"265"	"7"	"4"	"63"	"9"	"15"	"363"	"0"	"363"	"0"
"98"	""	"67"	"218"	"42"	"16"	"123"	"19"	"13"	"431"	"0"	"431"	"0"
"99"	""	"67-A"	"96"	"32"	"14"	"160"	"15"	"24"	"341"	"0"	"341"	"0"
"100"	""	"68"	"36"	"22"	"13"	"180"	"10"	"85"	"346"	"0"	"346"	"0"
"101"	""	"69"	"84"	"14"	"7"	"105"	"63"	"31"	"304"	"0"	"304"	"0"
"102"	""	"70"	"159"	"158"	"30"	"211"	"26"	"10"	"594"	"0"	"594"	"0"
"103"	""	"71"	"168"	"100"	"20"	"133"	"77"	"34"	"532"	"0"	"532"	"0"
"104"	""	"72"	"218"	"76"	"8"	"45"	"47"	"34"	"428"	"0"	"428"	"0"
"105"	""	"73"	"144"	"48"	"13"	"95"	"10"	"21"	"331"	"0"	"331"	"0"
"106"	""	"73-A"	"136"	"27"	"13"	"115"	"14"	"17"	"322"	"0"	"322"	"0"
"107"	""	"Total"	"2377"	"594"	"191"	"1825"	"379"	"355"	"5721"	"0"	"5721"	"0"
"108"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"109"	""	""	"ANIS AHMAD,"	"RAM NARAYAN YADAV"	"SANJAY KUMAR"	"HARI  PRASAD SAH"	"DR. MUKHTAR AHMAD"	"KALAWATI DEVI"	""	""	""	""
"110"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	""	""	""	""
"111"	"Round - 7"	"74"	"145"	"39"	"6"	"75"	"8"	"1"	"274"	"0"	"274"	"0"
"112"	""	"75"	"235"	"50"	"22"	"168"	"75"	"10"	"560"	"0"	"560"	"0"
"113"	""	"76"	"202"	"33"	"9"	"210"	"18"	"12"	"484"	"0"	"484"	"0"
"114"	""	"77"	"291"	"59"	"20"	"380"	"20"	"13"	"783"	"0"	"783"	"0"
"115"	""	"78"	"332"	"25"	"5"	"128"	"17"	"13"	"520"	"0"	"520"	"0"
"116"	""	"79"	"216"	"25"	"12"	"268"	"42"	"6"	"569"	"0"	"569"	"0"
"117"	""	"80"	"182"	"15"	"9"	"149"	"29"	"10"	"394"	"0"	"394"	"0"
"118"	""	"81"	"185"	"29"	"13"	"179"	"51"	"25"	"482"	"0"	"482"	"0"
"119"	""	"82"	"91"	"59"	"16"	"124"	"21"	"32"	"343"	"0"	"343"	"0"
"120"	""	"83"	"281"	"45"	"24"	"235"	"47"	"22"	"654"	"0"	"654"	"0"
"121"	""	"84"	"175"	"24"	"4"	"224"	"64"	"25"	"516"	"0"	"516"	"0"
"122"	""	"85"	"74"	"17"	"9"	"171"	"26"	"55"	"352"	"0"	"352"	"0"
"123"	""	"86"	"331"	"10"	"7"	"56"	"29"	"24"	"457"	"0"	"457"	"0"
"124"	""	"87"	"191"	"2"	"33"	"211"	"10"	"6"	"453"	"0"	"453"	"0"
"125"	""	"Total"	"2931"	"432"	"189"	"2578"	"457"	"254"	"6841"	"0"	"6841"	"0"
"126"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"127"	""	""	"ANIS AHMAD,"	"RAM NARAYAN YADAV"	"SANJAY KUMAR"	"HARI  PRASAD SAH"	"DR. MUKHTAR AHMAD"	"KALAWATI DEVI"	""	""	""	""
"128"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	""	""	""	""
"129"	"Round - 8"	"88"	"210"	"34"	"9"	"31"	"56"	"111"	"451"	"0"	"451"	"0"
"130"	""	"89"	"117"	"5"	"8"	"24"	"19"	"163"	"336"	"0"	"336"	"0"
"131"	""	"90"	"50"	"16"	"16"	"186"	"12"	"83"	"363"	"0"	"363"	"0"
"132"	""	"91"	"196"	"10"	"8"	"33"	"7"	"17"	"271"	"0"	"271"	"0"
"133"	""	"91-A"	"121"	"22"	"10"	"30"	"16"	"32"	"231"	"0"	"231"	"0"
"134"	""	"92"	"53"	"6"	"6"	"34"	"12"	"115"	"226"	"0"	"226"	"0"
"135"	""	"93"	"138"	"24"	"14"	"187"	"28"	"39"	"430"	"0"	"430"	"0"
"136"	""	"94"	"178"	"76"	"10"	"60"	"18"	"13"	"355"	"0"	"355"	"0"
"137"	""	"95"	"112"	"160"	"35"	"204"	"33"	"56"	"600"	"0"	"600"	"0"
"138"	""	"96"	"149"	"96"	"17"	"132"	"17"	"6"	"417"	"0"	"417"	"0"
"139"	""	"97"	"110"	"17"	"7"	"344"	"29"	"18"	"525"	"0"	"525"	"0"
"140"	""	"98"	"207"	"63"	"15"	"167"	"41"	"33"	"526"	"0"	"526"	"0"
"141"	""	"99"	"75"	"13"	"9"	"121"	"22"	"12"	"252"	"0"	"252"	"0"
"142"	""	"100"	"270"	"40"	"26"	"280"	"84"	"24"	"724"	"0"	"724"	"0"
"143"	""	"Total"	"1986"	"582"	"190"	"1833"	"394"	"722"	"5707"	"0"	"5707"	"0"
"144"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"145"	""	""	"ANIS AHMAD,"	"RAM NARAYAN YADAV"	"SANJAY KUMAR"	"HARI  PRASAD SAH"	"DR. MUKHTAR AHMAD"	"KALAWATI DEVI"	""	""	""	""
"146"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	""	""	""	""
"147"	"Round - 9"	"101"	"159"	"28"	"18"	"107"	"41"	"14"	"367"	"0"	"367"	"0"
"148"	""	"102"	"67"	"8"	"5"	"36"	"180"	"21"	"317"	"0"	"317"	"0"
"149"	""	"103"	"59"	"12"	"9"	"283"	"24"	"15"	"402"	"0"	"402"	"0"
"150"	""	"103-A"	"86"	"18"	"14"	"240"	"47"	"21"	"426"	"0"	"426"	"0"
"151"	""	"104"	"81"	"26"	"11"	"267"	"24"	"27"	"436"	"0"	"436"	"0"
"152"	""	"105"	"79"	"40"	"22"	"339"	"83"	"10"	"573"	"0"	"573"	"0"
"153"	""	"106"	"156"	"44"	"17"	"125"	"201"	"15"	"558"	"0"	"558"	"0"
"154"	""	"107"	"64"	"150"	"21"	"146"	"41"	"42"	"464"	"0"	"464"	"0"
"155"	""	"108"	"66"	"21"	"15"	"298"	"32"	"8"	"440"	"0"	"440"	"0"
"156"	""	"109"	"88"	"49"	"13"	"381"	"21"	"37"	"589"	"0"	"589"	"0"
"157"	""	"110"	"238"	"7"	"8"	"53"	"167"	"14"	"487"	"0"	"487"	"0"
"158"	""	"111"	"177"	"22"	"15"	"62"	"169"	"125"	"570"	"0"	"570"	"0"
"159"	""	"112"	"75"	"15"	"22"	"125"	"230"	"20"	"487"	"0"	"487"	"0"
"160"	""	"113"	"35"	"10"	"14"	"145"	"330"	"31"	"565"	"0"	"565"	"0"
"161"	""	"Total"	"1430"	"450"	"204"	"2607"	"1590"	"400"	"6681"	"0"	"6681"	"0"
"162"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"163"	""	""	"ANIS AHMAD,"	"RAM NARAYAN YADAV"	"SANJAY KUMAR"	"HARI  PRASAD SAH"	"DR. MUKHTAR AHMAD"	"KALAWATI DEVI"	""	""	""	""
"164"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	""	""	""	""
"165"	"Round - 10"	"114"	"75"	"16"	"9"	"206"	"138"	"75"	"519"	"0"	"519"	"0"
"166"	""	"115"	"46"	"57"	"12"	"153"	"69"	"25"	"362"	"0"	"362"	"0"
"167"	""	"116"	"24"	"35"	"23"	"272"	"22"	"8"	"384"	"0"	"384"	"0"
"168"	""	"117"	"48"	"19"	"20"	"426"	"31"	"33"	"577"	"0"	"577"	"0"
"169"	""	"118"	"32"	"3"	"1"	"78"	"74"	"24"	"212"	"0"	"212"	"0"
"170"	""	"119"	"153"	"24"	"20"	"172"	"62"	"18"	"449"	"0"	"449"	"0"
"171"	""	"120"	"36"	"28"	"21"	"229"	"154"	"65"	"533"	"0"	"533"	"0"
"172"	""	"121"	"39"	"189"	"42"	"71"	"78"	"31"	"450"	"0"	"450"	"0"
"173"	""	"122"	"21"	"20"	"7"	"101"	"188"	"10"	"347"	"0"	"347"	"0"
"174"	""	"123"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"175"	""	"124"	"47"	"435"	"21"	"68"	"20"	"11"	"602"	"0"	"602"	"0"
"176"	""	"125"	"168"	"51"	"7"	"100"	"22"	"10"	"358"	"0"	"358"	"0"
"177"	""	"126"	"182"	"33"	"5"	"157"	"36"	"23"	"436"	"0"	"436"	"0"
"178"	""	"127"	"24"	"16"	"12"	"263"	"15"	"19"	"349"	"0"	"349"	"0"
"179"	""	"Total"	"895"	"926"	"200"	"2296"	"909"	"352"	"5578"	"0"	"5578"	"0"
"180"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"181"	""	""	"ANIS AHMAD,"	"RAM NARAYAN YADAV"	"SANJAY KUMAR"	"HARI  PRASAD SAH"	"DR. MUKHTAR AHMAD"	"KALAWATI DEVI"	""	""	""	""
"182"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	""	""	""	""
"183"	"Round - 11"	"127-A"	"118"	"27"	"3"	"99"	"68"	"11"	"326"	"0"	"326"	"0"
"184"	""	"128"	"213"	"60"	"18"	"126"	"30"	"26"	"473"	"0"	"473"	"0"
"185"	""	"129"	"48"	"73"	"22"	"160"	"14"	"16"	"333"	"0"	"333"	"0"
"186"	""	"130"	"112"	"36"	"16"	"257"	"32"	"29"	"482"	"0"	"482"	"0"
"187"	""	"131"	"84"	"55"	"24"	"319"	"27"	"15"	"524"	"0"	"524"	"0"
"188"	""	"132"	"35"	"60"	"11"	"100"	"33"	"11"	"250"	"0"	"250"	"0"
"189"	""	"133"	"23"	"10"	"15"	"302"	"40"	"25"	"415"	"0"	"415"	"0"
"190"	""	"133-A"	"127"	"27"	"8"	"172"	"18"	"25"	"377"	"0"	"377"	"0"
"191"	""	"134"	"139"	"24"	"10"	"121"	"4"	"11"	"309"	"0"	"309"	"0"
"192"	""	"135"	"11"	"6"	"9"	"163"	"7"	"3"	"199"	"0"	"199"	"0"
"193"	""	"136"	"17"	"24"	"20"	"285"	"4"	"14"	"364"	"0"	"364"	"0"
"194"	""	"136-A"	"46"	"22"	"2"	"121"	"5"	"12"	"208"	"0"	"208"	"0"
"195"	""	"137"	"16"	"7"	"5"	"203"	"11"	"15"	"257"	"0"	"257"	"0"
"196"	""	"138"	"29"	"9"	"9"	"467"	"16"	"14"	"544"	"0"	"544"	"0"
"197"	""	"Total"	"1018"	"440"	"172"	"2895"	"309"	"227"	"5061"	"0"	"5061"	"0"
"198"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"199"	""	""	"ANIS AHMAD,"	"RAM NARAYAN YADAV"	"SANJAY KUMAR"	"HARI  PRASAD SAH"	"DR. MUKHTAR AHMAD"	"KALAWATI DEVI"	""	""	""	""
"200"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	""	""	""	""
"201"	"Round - 12"	"139"	"35"	"47"	"13"	"217"	"90"	"59"	"461"	"0"	"461"	"0"
"202"	""	"140"	"159"	"41"	"13"	"232"	"157"	"52"	"654"	"0"	"654"	"0"
"203"	""	"141"	"88"	"53"	"16"	"271"	"27"	"29"	"484"	"0"	"484"	"0"
"204"	""	"142"	"111"	"30"	"9"	"502"	"20"	"5"	"677"	"0"	"677"	"0"
"205"	""	"143"	"15"	"8"	"12"	"255"	"22"	"61"	"373"	"0"	"373"	"0"
"206"	""	"144"	"22"	"19"	"12"	"502"	"8"	"15"	"578"	"0"	"578"	"0"
"207"	""	"145"	"71"	"22"	"13"	"548"	"44"	"26"	"724"	"0"	"724"	"0"
"208"	""	"146"	"58"	"15"	"10"	"258"	"14"	"15"	"370"	"0"	"370"	"0"
"209"	""	"147"	"103"	"28"	"11"	"248"	"47"	"20"	"457"	"0"	"457"	"0"
"210"	""	"148"	"153"	"44"	"8"	"86"	"39"	"13"	"343"	"0"	"343"	"0"
"211"	""	"149"	"260"	"18"	"22"	"108"	"22"	"29"	"459"	"0"	"459"	"0"
"212"	""	"150"	"204"	"11"	"18"	"36"	"9"	"8"	"286"	"0"	"286"	"0"
"213"	""	"151"	"38"	"24"	"22"	"251"	"7"	"21"	"363"	"0"	"363"	"0"
"214"	""	"152"	"70"	"12"	"24"	"323"	"39"	"48"	"516"	"0"	"516"	"0"
"215"	""	"Total"	"1387"	"372"	"203"	"3837"	"545"	"401"	"6745"	"0"	"6745"	"0"
"216"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"217"	""	""	"ANIS AHMAD,"	"RAM NARAYAN YADAV"	"SANJAY KUMAR"	"HARI  PRASAD SAH"	"DR. MUKHTAR AHMAD"	"KALAWATI DEVI"	""	""	""	""
"218"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	""	""	""	""
"219"	"Round - 13"	"153"	"30"	"18"	"13"	"304"	"106"	"124"	"595"	"0"	"595"	"0"
"220"	""	"154"	"44"	"6"	"12"	"119"	"47"	"15"	"243"	"0"	"243"	"0"
"221"	""	"155"	"161"	"29"	"30"	"263"	"55"	"30"	"568"	"0"	"568"	"0"
"222"	""	"156"	"129"	"48"	"18"	"261"	"15"	"15"	"486"	"0"	"486"	"0"
"223"	""	"157"	"98"	"14"	"8"	"125"	"37"	"9"	"291"	"0"	"291"	"0"
"224"	""	"158"	"453"	"44"	"7"	"112"	"32"	"19"	"667"	"0"	"667"	"0"
"225"	""	"159"	"61"	"22"	"6"	"217"	"16"	"13"	"335"	"0"	"335"	"0"
"226"	""	"160"	"421"	"65"	"15"	"77"	"19"	"13"	"610"	"0"	"610"	"0"
"227"	""	"161"	"185"	"18"	"214"	"29"	"21"	"22"	"489"	"0"	"489"	"0"
"228"	""	"162"	"81"	"34"	"19"	"412"	"50"	"19"	"615"	"0"	"615"	"0"
"229"	""	"163"	"127"	"29"	"11"	"169"	"25"	"6"	"367"	"0"	"367"	"0"
"230"	""	"164"	"48"	"10"	"20"	"198"	"32"	"14"	"322"	"0"	"322"	"0"
"231"	""	"165"	"104"	"13"	"4"	"360"	"15"	"13"	"509"	"0"	"509"	"0"
"232"	""	"166"	"149"	"28"	"19"	"230"	"45"	"28"	"499"	"0"	"499"	"0"
"233"	""	"Total"	"2091"	"378"	"396"	"2876"	"515"	"340"	"6596"	"0"	"6596"	"0"
"234"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"235"	""	""	"ANIS AHMAD,"	"RAM NARAYAN YADAV"	"SANJAY KUMAR"	"HARI  PRASAD SAH"	"DR. MUKHTAR AHMAD"	"KALAWATI DEVI"	""	""	""	""
"236"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	""	""	""	""
"237"	"Round - 14"	"167"	"134"	"13"	"11"	"245"	"8"	"15"	"426"	"0"	"426"	"0"
"238"	""	"168"	"49"	"9"	"26"	"254"	"7"	"11"	"356"	"0"	"356"	"0"
"239"	""	"169"	"196"	"18"	"8"	"119"	"45"	"8"	"394"	"0"	"394"	"0"
"240"	""	"170"	"42"	"10"	"29"	"303"	"11"	"9"	"404"	"0"	"404"	"0"
"241"	""	"171"	"140"	"25"	"13"	"78"	"29"	"16"	"301"	"0"	"301"	"0"
"242"	""	"172"	"13"	"9"	"3"	"191"	"39"	"9"	"264"	"0"	"264"	"0"
"243"	""	"173"	"16"	"18"	"13"	"147"	"53"	"9"	"256"	"0"	"256"	"0"
"244"	""	"174"	"47"	"10"	"17"	"313"	"15"	"126"	"528"	"0"	"528"	"0"
"245"	""	"175"	"141"	"10"	"2"	"92"	"20"	"6"	"271"	"0"	"271"	"0"
"246"	""	"176"	"45"	"21"	"25"	"380"	"58"	"59"	"588"	"0"	"588"	"0"
"247"	""	"177"	"42"	"24"	"25"	"308"	"11"	"13"	"423"	"0"	"423"	"0"
"248"	""	"178"	"29"	"25"	"14"	"353"	"13"	"89"	"523"	"0"	"523"	"0"
