"Serial..No.of.Polling.Station"	"No..of.Valid.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"Total.of.Vaild.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"40"	"34"	"19"	"110"	"283"	"5"	"5"	"2"	"5"	"3"	"432"	"-"	"432"	"-"
"41"	"35"	"9"	"22"	"186"	"5"	"4"	"0"	"0"	"0"	"226"	"-"	"226"	"-"
"42"	"36"	"3"	"67"	"161"	"1"	"0"	"0"	"0"	"0"	"232"	"-"	"232"	"-"
"43"	"37"	"12"	"28"	"158"	"1"	"4"	"0"	"0"	"0"	"203"	"-"	"203"	"-"
"44"	"37A"	"8"	"130"	"36"	"2"	"0"	"0"	"1"	"0"	"177"	"-"	"177"	"-"
"45"	"38"	"4"	"98"	"52"	"3"	"0"	"0"	"0"	"0"	"157"	"-"	"157"	"-"
"46"	"39"	"5"	"97"	"324"	"15"	"3"	"2"	"3"	"1"	"450"	"-"	"450"	"-"
"47"	"40"	"7"	"15"	"165"	"0"	"1"	"0"	"0"	"0"	"188"	"-"	"188"	"-"
"48"	"40A"	"3"	"13"	"49"	"0"	"0"	"0"	"0"	"0"	"65"	"-"	"65"	"-"
"49"	"41"	"8"	"15"	"164"	"0"	"0"	"0"	"0"	"0"	"187"	"-"	"187"	"-"
"50"	"41A"	"4"	"18"	"162"	"4"	"0"	"1"	"0"	"0"	"189"	"-"	"189"	"-"
"51"	"42"	"20"	"89"	"136"	"2"	"1"	"0"	"1"	"2"	"251"	"-"	"251"	"-"
"52"	"43"	"5"	"41"	"275"	"3"	"0"	"0"	"0"	"1"	"325"	"-"	"325"	"-"
"53"	"44"	"44"	"185"	"295"	"15"	"11"	"9"	"8"	"18"	"585"	"-"	"585"	"-"
"54"	"45"	"91"	"169"	"312"	"14"	"3"	"8"	"12"	"8"	"617"	"-"	"617"	"-"
"55"	"46"	"269"	"15"	"60"	"2"	"2"	"3"	"16"	"2"	"369"	"-"	"369"	"-"
"56"	"47"	"19"	"380"	"32"	"4"	"10"	"9"	"9"	"7"	"470"	"-"	"470"	"-"
"57"	"48"	"186"	"97"	"224"	"16"	"7"	"7"	"8"	"6"	"551"	"-"	"551"	"-"
"58"	"49"	"238"	"64"	"185"	"4"	"7"	"7"	"16"	"29"	"550"	"-"	"550"	"-"
"59"	"50"	"146"	"56"	"238"	"11"	"5"	"4"	"8"	"12"	"480"	"-"	"480"	"-"
"60"	"51"	"107"	"277"	"81"	"3"	"2"	"6"	"13"	"8"	"497"	"-"	"497"	"-"
"61"	"52"	"88"	"253"	"235"	"18"	"6"	"6"	"6"	"10"	"622"	"-"	"622"	"-"
"62"	"53"	"105"	"126"	"391"	"13"	"16"	"14"	"14"	"25"	"704"	"-"	"704"	"-"
"63"	"54"	"156"	"16"	"36"	"2"	"2"	"5"	"24"	"11"	"252"	"-"	"252"	"-"
"64"	"55"	"349"	"129"	"180"	"17"	"6"	"9"	"21"	"10"	"721"	"-"	"721"	"-"
"65"	"56"	"25"	"233"	"354"	"16"	"9"	"3"	"5"	"12"	"657"	"-"	"657"	"-"
"66"	"57"	"98"	"102"	"200"	"8"	"4"	"9"	"11"	"9"	"441"	"-"	"441"	"-"
"67"	"57A"	"22"	"78"	"230"	"8"	"5"	"7"	"5"	"20"	"375"	"-"	"375"	"-"
"68"	"58"	"14"	"260"	"95"	"11"	"6"	"5"	"6"	"9"	"406"	"-"	"406"	"-"
"69"	"59"	"35"	"111"	"279"	"23"	"7"	"6"	"11"	"9"	"481"	"-"	"481"	"-"
"70"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"71"	""	"Dr. Indal Singh Naveen"	"Md. Khalil Ansari"	"Sunil Kumar \"Pintu\""	"Rameshwar Prasad Yadav"	"Vinod Kumar Singh"	"Ganesh Prasad"	"Majid Ansari"	"Rambabu Tiwari"	""	""	""	""
"72"	"60"	"154"	"211"	"238"	"16"	"8"	"6"	"35"	"19"	"687"	"-"	"687"	"-"
"73"	"61"	"76"	"126"	"372"	"18"	"7"	"7"	"13"	"23"	"642"	"-"	"642"	"-"
"74"	"62"	"29"	"78"	"562"	"14"	"3"	"3"	"5"	"18"	"712"	"-"	"712"	"-"
"75"	"63"	"43"	"210"	"151"	"4"	"5"	"5"	"5"	"6"	"429"	"-"	"429"	"-"
"76"	"63A"	"42"	"80"	"189"	"2"	"4"	"0"	"5"	"2"	"324"	"-"	"324"	"-"
"77"	"64"	"49"	"70"	"122"	"1"	"5"	"1"	"4"	"5"	"257"	"-"	"257"	"-"
"78"	"65"	"20"	"237"	"161"	"4"	"7"	"0"	"6"	"7"	"442"	"-"	"442"	"-"
"79"	"66"	"79"	"93"	"236"	"4"	"3"	"3"	"12"	"2"	"432"	"-"	"432"	"-"
"80"	"67"	"73"	"134"	"171"	"10"	"2"	"8"	"11"	"11"	"420"	"-"	"420"	"-"
"81"	"68"	"59"	"429"	"37"	"8"	"2"	"8"	"15"	"11"	"569"	"-"	"569"	"-"
"82"	"69"	"37"	"58"	"255"	"19"	"16"	"11"	"10"	"20"	"426"	"-"	"426"	"-"
"83"	"69A"	"18"	"54"	"231"	"6"	"8"	"4"	"9"	"14"	"344"	"-"	"344"	"-"
"84"	"70"	"65"	"142"	"204"	"6"	"6"	"3"	"6"	"3"	"435"	"-"	"435"	"-"
"85"	"71"	"95"	"156"	"268"	"4"	"5"	"6"	"7"	"6"	"547"	"-"	"547"	"-"
"86"	"72"	"46"	"289"	"119"	"10"	"5"	"3"	"6"	"5"	"483"	"-"	"483"	"-"
"87"	"73"	"24"	"80"	"365"	"19"	"11"	"10"	"11"	"6"	"526"	"-"	"526"	"-"
"88"	"74"	"29"	"164"	"100"	"17"	"8"	"6"	"8"	"13"	"345"	"-"	"345"	"-"
"89"	"75"	"76"	"85"	"266"	"8"	"4"	"3"	"10"	"3"	"455"	"-"	"455"	"-"
"90"	"76"	"49"	"261"	"48"	"5"	"1"	"0"	"9"	"4"	"377"	"-"	"377"	"-"
"91"	"77"	"83"	"142"	"70"	"6"	"3"	"1"	"8"	"4"	"317"	"-"	"317"	"-"
"92"	"78"	"49"	"89"	"325"	"11"	"15"	"1"	"15"	"9"	"514"	"-"	"514"	"-"
"93"	"79"	"39"	"83"	"331"	"18"	"13"	"7"	"16"	"14"	"521"	"-"	"521"	"-"
"94"	"80"	"94"	"96"	"182"	"17"	"4"	"11"	"18"	"6"	"428"	"-"	"428"	"-"
"95"	"81"	"174"	"29"	"94"	"0"	"1"	"3"	"4"	"4"	"309"	"-"	"309"	"-"
"96"	"82"	"45"	"280"	"47"	"8"	"7"	"12"	"13"	"18"	"430"	"-"	"430"	"-"
"97"	"83"	"30"	"305"	"53"	"1"	"4"	"2"	"3"	"2"	"400"	"-"	"400"	"-"
"98"	"84"	"207"	"83"	"198"	"8"	"5"	"5"	"10"	"12"	"528"	"-"	"528"	"-"
"99"	"85"	"14"	"66"	"250"	"5"	"7"	"5"	"5"	"8"	"360"	"-"	"360"	"-"
"100"	"86"	"96"	"93"	"155"	"4"	"2"	"3"	"7"	"2"	"362"	"-"	"362"	"-"
"101"	"86A"	"146"	"49"	"161"	"5"	"4"	"4"	"8"	"4"	"381"	"-"	"381"	"-"
"102"	"87"	"22"	"50"	"119"	"4"	"4"	"1"	"6"	"1"	"207"	"-"	"207"	"-"
"103"	"88"	"180"	"58"	"177"	"22"	"7"	"10"	"19"	"24"	"497"	"-"	"497"	"-"
"104"	"89"	"339"	"25"	"51"	"5"	"2"	"2"	"25"	"21"	"470"	"-"	"470"	"-"
"105"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"106"	""	"Dr. Indal Singh Naveen"	"Md. Khalil Ansari"	"Sunil Kumar \"Pintu\""	"Rameshwar Prasad Yadav"	"Vinod Kumar Singh"	"Ganesh Prasad"	"Majid Ansari"	"Rambabu Tiwari"	""	""	""	""
"107"	"90"	"122"	"66"	"25"	"0"	"1"	"3"	"4"	"3"	"224"	"-"	"224"	"-"
"108"	"91"	"103"	"366"	"79"	"8"	"15"	"9"	"21"	"9"	"610"	"-"	"610"	"-"
"109"	"92"	"84"	"193"	"34"	"3"	"5"	"4"	"2"	"5"	"330"	"-"	"330"	"-"
"110"	"93"	"28"	"70"	"205"	"9"	"6"	"3"	"7"	"3"	"331"	"-"	"331"	"-"
"111"	"94"	"65"	"430"	"131"	"10"	"7"	"5"	"13"	"17"	"678"	"-"	"678"	"-"
"112"	"95"	"74"	"26"	"171"	"1"	"3"	"3"	"4"	"5"	"287"	"-"	"287"	"-"
"113"	"95A"	"56"	"30"	"162"	"10"	"6"	"3"	"7"	"10"	"284"	"-"	"284"	"-"
"114"	"96"	"382"	"14"	"179"	"10"	"1"	"2"	"8"	"10"	"606"	"-"	"606"	"-"
"115"	"96A"	"190"	"59"	"87"	"6"	"4"	"2"	"9"	"1"	"358"	"-"	"358"	"-"
"116"	"97"	"94"	"302"	"64"	"5"	"1"	"2"	"7"	"5"	"480"	"-"	"480"	"-"
"117"	"98"	"97"	"226"	"395"	"13"	"10"	"6"	"17"	"20"	"784"	"-"	"784"	"-"
"118"	"99"	"195"	"46"	"455"	"31"	"8"	"8"	"18"	"17"	"778"	"-"	"778"	"-"
"119"	"100"	"16"	"230"	"313"	"13"	"5"	"8"	"9"	"14"	"608"	"-"	"608"	"-"
"120"	"101"	"28"	"304"	"34"	"6"	"0"	"2"	"0"	"9"	"383"	"-"	"383"	"-"
"121"	"102"	"14"	"166"	"171"	"4"	"2"	"1"	"14"	"1"	"373"	"-"	"373"	"-"
"122"	"102A"	"1"	"18"	"18"	"1"	"0"	"0"	"0"	"1"	"39"	"-"	"39"	"-"
"123"	"103"	"52"	"202"	"367"	"13"	"7"	"6"	"16"	"9"	"672"	"-"	"672"	"-"
"124"	"104"	"13"	"193"	"76"	"11"	"4"	"1"	"0"	"2"	"300"	"-"	"300"	"-"
"125"	"104A"	"10"	"246"	"49"	"6"	"2"	"1"	"3"	"7"	"324"	"-"	"324"	"-"
"126"	"105"	"139"	"24"	"56"	"8"	"1"	"3"	"11"	"2"	"244"	"-"	"244"	"-"
"127"	"106"	"31"	"37"	"354"	"6"	"4"	"2"	"4"	"3"	"441"	"-"	"441"	"-"
"128"	"106A"	"29"	"88"	"279"	"13"	"4"	"2"	"8"	"6"	"429"	"-"	"429"	"-"
"129"	"107"	"14"	"26"	"338"	"1"	"0"	"0"	"0"	"2"	"381"	"-"	"381"	"-"
"130"	"108"	"5"	"224"	"25"	"3"	"0"	"1"	"1"	"3"	"262"	"-"	"262"	"-"
"131"	"108A"	"9"	"289"	"16"	"4"	"1"	"2"	"2"	"3"	"326"	"-"	"326"	"-"
"132"	"109"	"12"	"7"	"202"	"3"	"0"	"0"	"2"	"4"	"230"	"-"	"230"	"-"
"133"	"109A"	"6"	"115"	"150"	"1"	"3"	"4"	"4"	"1"	"284"	"-"	"284"	"-"
"134"	"110"	"11"	"450"	"16"	"2"	"3"	"4"	"2"	"3"	"491"	"-"	"491"	"-"
"135"	"111"	"69"	"69"	"284"	"8"	"3"	"4"	"3"	"6"	"446"	"-"	"446"	"-"
"136"	"112"	"25"	"466"	"69"	"6"	"1"	"2"	"6"	"5"	"580"	"-"	"580"	"-"
"137"	"113"	"23"	"253"	"17"	"2"	"0"	"1"	"1"	"4"	"301"	"-"	"301"	"-"
"138"	"114"	"21"	"191"	"101"	"7"	"5"	"2"	"1"	"2"	"330"	"-"	"330"	"-"
"139"	"115"	"24"	"333"	"13"	"3"	"1"	"0"	"2"	"2"	"378"	"-"	"378"	"-"
"140"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"141"	""	"Dr. Indal Singh Naveen"	"Md. Khalil Ansari"	"Sunil Kumar \"Pintu\""	"Rameshwar Prasad Yadav"	"Vinod Kumar Singh"	"Ganesh Prasad"	"Majid Ansari"	"Rambabu Tiwari"	""	""	""	""
"142"	"116"	"14"	"232"	"17"	"2"	"5"	"3"	"5"	"8"	"286"	"-"	"286"	"-"
"143"	"116A"	"2"	"19"	"228"	"3"	"0"	"1"	"0"	"0"	"253"	"-"	"253"	"-"
"144"	"117"	"7"	"66"	"207"	"7"	"2"	"3"	"1"	"12"	"305"	"-"	"305"	"-"
"145"	"117A"	"4"	"48"	"187"	"3"	"0"	"1"	"4"	"1"	"248"	"-"	"248"	"-"
"146"	"118"	"22"	"26"	"127"	"6"	"1"	"1"	"2"	"2"	"187"	"-"	"187"	"-"
"147"	"119"	"218"	"113"	"46"	"3"	"1"	"1"	"12"	"0"	"394"	"-"	"394"	"-"
"148"	"119A"	"114"	"16"	"146"	"4"	"1"	"0"	"1"	"1"	"283"	"-"	"283"	"-"
"149"	"120"	"37"	"422"	"32"	"4"	"4"	"1"	"9"	"16"	"525"	"-"	"525"	"-"
"150"	"121"	"19"	"273"	"22"	"0"	"4"	"2"	"4"	"0"	"324"	"-"	"324"	"-"
"151"	"121A"	"42"	"168"	"20"	"2"	"2"	"1"	"4"	"5"	"244"	"-"	"244"	"-"
"152"	"122"	"52"	"127"	"33"	"2"	"2"	"2"	"3"	"5"	"226"	"-"	"226"	"-"
"153"	"122A"	"106"	"32"	"126"	"2"	"6"	"3"	"13"	"26"	"314"	"-"	"314"	"-"
"154"	"123"	"314"	"96"	"78"	"5"	"6"	"0"	"19"	"4"	"522"	"-"	"522"	"-"
"155"	"124"	"375"	"74"	"76"	"5"	"3"	"4"	"23"	"7"	"567"	"-"	"567"	"-"
"156"	"125"	"289"	"150"	"119"	"5"	"1"	"5"	"5"	"8"	"582"	"-"	"582"	"-"
"157"	"126"	"237"	"8"	"115"	"5"	"0"	"3"	"3"	"1"	"372"	"-"	"372"	"-"
"158"	"127"	"41"	"73"	"334"	"5"	"8"	"3"	"12"	"3"	"479"	"-"	"479"	"-"
"159"	"128"	"233"	"21"	"133"	"4"	"7"	"3"	"12"	"1"	"414"	"-"	"414"	"-"
"160"	"129"	"215"	"43"	"254"	"12"	"3"	"7"	"17"	"15"	"566"	"-"	"566"	"-"
"161"	"130"	"379"	"75"	"67"	"7"	"3"	"2"	"8"	"16"	"557"	"-"	"557"	"-"
"162"	"131"	"384"	"27"	"50"	"2"	"3"	"5"	"19"	"14"	"504"	"-"	"504"	"-"
"163"	"132"	"367"	"24"	"84"	"2"	"3"	"3"	"17"	"7"	"507"	"-"	"507"	"-"
"164"	"133"	"523"	"79"	"79"	"5"	"6"	"3"	"49"	"9"	"753"	"-"	"753"	"-"
"165"	"134"	"44"	"115"	"205"	"4"	"5"	"2"	"8"	"5"	"388"	"-"	"388"	"-"
"166"	"135"	"361"	"29"	"65"	"4"	"2"	"7"	"12"	"9"	"489"	"-"	"489"	"-"
"167"	"136"	"133"	"19"	"295"	"0"	"1"	"1"	"7"	"1"	"457"	"-"	"457"	"-"
"168"	"137"	"29"	"474"	"22"	"6"	"3"	"10"	"10"	"17"	"571"	"-"	"571"	"-"
"169"	"138"	"52"	"252"	"34"	"1"	"4"	"4"	"5"	"14"	"366"	"-"	"366"	"-"
"170"	"138A"	"17"	"203"	"15"	"4"	"5"	"2"	"2"	"14"	"262"	"-"	"262"	"-"
"171"	"139"	"51"	"330"	"21"	"5"	"4"	"5"	"8"	"12"	"436"	"-"	"436"	"-"
"172"	"140"	"16"	"133"	"179"	"9"	"8"	"1"	"0"	"0"	"346"	"-"	"346"	"-"
"173"	"140A"	"6"	"198"	"12"	"2"	"1"	"1"	"1"	"6"	"227"	"-"	"227"	"-"
"174"	"141"	"46"	"368"	"101"	"5"	"6"	"4"	"2"	"4"	"536"	"-"	"536"	"-"
"175"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"176"	""	"Dr. Indal Singh Naveen"	"Md. Khalil Ansari"	"Sunil Kumar \"Pintu\""	"Rameshwar Prasad Yadav"	"Vinod Kumar Singh"	"Ganesh Prasad"	"Majid Ansari"	"Rambabu Tiwari"	""	""	""	""
"177"	"142"	"15"	"383"	"24"	"3"	"4"	"1"	"3"	"8"	"441"	"-"	"441"	"-"
"178"	"143"	"216"	"176"	"121"	"6"	"1"	"2"	"10"	"20"	"552"	"-"	"552"	"-"
"179"	"144"	"92"	"149"	"102"	"5"	"4"	"3"	"11"	"5"	"371"	"-"	"371"	"-"
"180"	"145"	"250"	"49"	"91"	"2"	"8"	"4"	"12"	"8"	"424"	"-"	"424"	"-"
"181"	"146"	"31"	"192"	"14"	"0"	"1"	"1"	"7"	"4"	"250"	"-"	"250"	"-"
"182"	"147"	"33"	"316"	"155"	"7"	"9"	"2"	"7"	"5"	"534"	"-"	"534"	"-"
"183"	"148"	"248"	"9"	"174"	"7"	"3"	"6"	"12"	"13"	"472"	"-"	"472"	"-"
"184"	"149"	"102"	"15"	"206"	"8"	"1"	"4"	"15"	"6"	"357"	"-"	"357"	"-"
"185"	"150"	"131"	"86"	"246"	"9"	"3"	"1"	"10"	"6"	"492"	"-"	"492"	"-"
"186"	"151"	"24"	"33"	"342"	"5"	"1"	"1"	"5"	"4"	"415"	"-"	"415"	"-"
"187"	"152"	"6"	"20"	"339"	"2"	"1"	"2"	"0"	"2"	"372"	"-"	"372"	"-"
"188"	"152A"	"6"	"13"	"120"	"4"	"0"	"0"	"0"	"0"	"143"	"-"	"143"	"-"
"189"	"153"	"8"	"19"	"257"	"1"	"2"	"0"	"2"	"0"	"289"	"-"	"289"	"-"
"190"	"153A"	"3"	"20"	"180"	"4"	"2"	"0"	"0"	"0"	"209"	"-"	"209"	"-"
"191"	"154"	"16"	"102"	"247"	"36"	"1"	"0"	"3"	"4"	"409"	"-"	"409"	"-"
"192"	"154A"	"4"	"35"	"185"	"4"	"1"	"1"	"1"	"0"	"231"	"-"	"231"	"-"
"193"	"155"	"164"	"14"	"237"	"2"	"2"	"0"	"4"	"3"	"426"	"-"	"426"	"-"
"194"	"156"	"21"	"13"	"351"	"1"	"0"	"0"	"0"	"0"	"386"	"-"	"386"	"-"
"195"	"157"	"83"	"66"	"222"	"13"	"7"	"8"	"7"	"11"	"417"	"-"	"417"	"-"
"196"	"157A"	"38"	"33"	"151"	"5"	"6"	"4"	"11"	"8"	"256"	"-"	"256"	"-"
"197"	"158"	"43"	"228"	"100"	"10"	"5"	"6"	"5"	"16"	"413"	"-"	"413"	"-"
"198"	"158A"	"23"	"230"	"48"	"24"	"7"	"4"	"7"	"4"	"347"	"-"	"347"	"-"
"199"	"159"	"171"	"42"	"300"	"14"	"14"	"11"	"21"	"24"	"597"	"-"	"597"	"-"
"200"	"160"	"107"	"31"	"224"	"10"	"7"	"4"	"1"	"7"	"391"	"-"	"391"	"-"
"201"	"161"	"105"	"249"	"250"	"13"	"8"	"8"	"14"	"16"	"663"	"-"	"663"	"-"
"202"	"162"	"125"	"66"	"255"	"10"	"8"	"5"	"13"	"20"	"502"	"-"	"502"	"-"
"203"	"162A"	"63"	"19"	"160"	"11"	"2"	"7"	"5"	"7"	"274"	"-"	"274"	"-"
"204"	"163"	"304"	"99"	"114"	"9"	"4"	"5"	"50"	"18"	"603"	"-"	"603"	"-"
"205"	"164"	"27"	"163"	"249"	"13"	"4"	"2"	"13"	"7"	"478"	"-"	"478"	"-"
"206"	"165"	"179"	"54"	"82"	"8"	"6"	"0"	"10"	"12"	"351"	"-"	"351"	"-"
"207"	"166"	"98"	"20"	"105"	"10"	"5"	"2"	"12"	"10"	"262"	"-"	"262"	"-"
"208"	"166A"	"182"	"6"	"180"	"3"	"4"	"4"	"8"	"4"	"391"	"-"	"391"	"-"
"209"	"167"	"337"	"48"	"186"	"18"	"6"	"7"	"32"	"32"	"666"	"-"	"666"	"-"
"210"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"211"	""	"Dr. Indal Singh Naveen"	"Md. Khalil Ansari"	"Sunil Kumar \"Pintu\""	"Rameshwar Prasad Yadav"	"Vinod Kumar Singh"	"Ganesh Prasad"	"Majid Ansari"	"Rambabu Tiwari"	""	""	""	""
"212"	"168"	"242"	"62"	"161"	"10"	"7"	"9"	"24"	"11"	"526"	"-"	"526"	"-"
"213"	"169"	"148"	"18"	"118"	"11"	"5"	"6"	"9"	"13"	"328"	"-"	"328"	"-"
"214"	"170"	"99"	"73"	"115"	"3"	"1"	"7"	"17"	"8"	"323"	"-"	"323"	"-"
"215"	"170A"	"92"	"156"	"61"	"6"	"5"	"1"	"8"	"7"	"336"	"-"	"336"	"-"
"216"	"171"	"4"	"82"	"293"	"14"	"6"	"2"	"4"	"8"	"413"	"-"	"413"	"-"
"217"	"172"	"60"	"131"	"352"	"13"	"12"	"4"	"11"	"12"	"595"	"-"	"595"	"-"
"218"	"173"	"114"	"45"	"185"	"9"	"7"	"7"	"27"	"25"	"419"	"-"	"419"	"-"
"219"	"173A"	"72"	"31"	"226"	"13"	"6"	"3"	"14"	"17"	"382"	"-"	"382"	"-"
"220"	"174"	"30"	"84"	"264"	"4"	"3"	"2"	"8"	"0"	"395"	"-"	"395"	"-"
"221"	"175"	"103"	"139"	"118"	"5"	"8"	"10"	"13"	"18"	"414"	"-"	"414"	"-"
"222"	"176"	"44"	"36"	"266"	"13"	"4"	"6"	"6"	"8"	"383"	"-"	"383"	"-"
"223"	"177"	"165"	"73"	"95"	"3"	"8"	"2"	"11"	"5"	"362"	"-"	"362"	"-"
"224"	"178"	"10"	"9"	"232"	"19"	"7"	"5"	"3"	"2"	"287"	"-"	"287"	"-"
"225"	"179"	"45"	"23"	"253"	"9"	"13"	"6"	"7"	"5"	"361"	"-"	"361"	"-"
"226"	"180"	"77"	"25"	"383"	"13"	"14"	"2"	"8"	"4"	"526"	"-"	"526"	"-"
"227"	"181"	"75"	"39"	"323"	"16"	"15"	"6"	"15"	"13"	"502"	"-"	"502"	"-"
"228"	"182"	"44"	"14"	"244"	"8"	"8"	"4"	"4"	"7"	"333"	"-"	"333"	"-"
"229"	"183"	"60"	"11"	"254"	"21"	"11"	"8"	"5"	"12"	"382"	"-"	"382"	"-"
"230"	"184"	"49"	"119"	"120"	"2"	"7"	"1"	"4"	"10"	"312"	"-"	"312"	"-"
"231"	"185"	"171"	"106"	"236"	"17"	"10"	"13"	"23"	"41"	"617"	"-"	"617"	"-"
