"Total.No..of.Electors.in.Assembly.Constituency...203388"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election for 4-Shikarpur (SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Round No."	"Bhagirathi Devi"	"Munna Ram"	"Munni      Lal Ram"	"Yogendra Manjhi"	"Subodh Kumar"	"Hira         Lal Ram"	"Umarao Manjhi"	"Nathu Ravi"	"Rajeshwar Paswan"	"Sugiv Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"27"	"Round No."	"Bhagirathi Devi"	"Munna Ram"	"Munni      Lal Ram"	"Yogendra Manjhi"	"Subodh Kumar"	"Hira         Lal Ram"	"Umarao Manjhi"	"Nathu Ravi"	"Rajeshwar Paswan"	"Sugiv Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"28"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"29"	"14"	"95"	"4"	"18"	"63"	"178"	"7"	"11"	"4"	"8"	"22"	"410"	"0"	"410"	"0"	""
"30"	"15"	"198"	"33"	"20"	"32"	"118"	"27"	"4"	"3"	"3"	"2"	"440"	"0"	"440"	"0"	""
"31"	"15A"	"173"	"27"	"9"	"38"	"105"	"21"	"4"	"8"	"2"	"6"	"393"	"0"	"393"	"0"	""
"32"	"16"	"110"	"7"	"6"	"6"	"159"	"24"	"4"	"3"	"0"	"8"	"327"	"0"	"327"	"0"	""
"33"	"17"	"223"	"21"	"10"	"58"	"45"	"144"	"7"	"6"	"8"	"12"	"534"	"0"	"534"	"0"	""
"34"	"18"	"161"	"21"	"46"	"135"	"71"	"62"	"14"	"14"	"13"	"14"	"551"	"0"	"551"	"0"	""
"35"	"19"	"254"	"4"	"9"	"200"	"34"	"34"	"10"	"6"	"5"	"5"	"561"	"0"	"561"	"0"	""
"36"	"20"	"82"	"3"	"3"	"170"	"94"	"14"	"15"	"6"	"14"	"10"	"411"	"0"	"411"	"0"	""
"37"	"21"	"228"	"14"	"27"	"27"	"56"	"44"	"7"	"8"	"3"	"7"	"421"	"0"	"421"	"0"	""
"38"	"22"	"338"	"15"	"16"	"20"	"101"	"138"	"18"	"6"	"15"	"15"	"682"	"0"	"682"	"0"	""
"39"	"23"	"266"	"10"	"30"	"25"	"263"	"53"	"11"	"13"	"6"	"18"	"695"	"0"	"695"	"0"	""
"40"	"24"	"246"	"15"	"27"	"14"	"282"	"18"	"7"	"14"	"4"	"25"	"652"	"0"	"652"	"0"	""
"41"	"25"	"164"	"16"	"40"	"53"	"222"	"27"	"3"	"3"	"1"	"9"	"538"	"0"	"538"	"0"	""
"42"	"26"	"33"	"3"	"98"	"14"	"357"	"48"	"7"	"12"	"4"	"16"	"592"	"0"	"592"	"0"	""
"43"	"Total"	"2571"	"193"	"359"	"855"	"2085"	"661"	"122"	"106"	"86"	"169"	"7207"	"0"	"7207"	"0"	""
"44"	"Total No. of Electors in Assembly Constituency - 203388"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"Election for 4-Shikarpur (SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"Round No."	"Bhagirathi Devi"	"Munna Ram"	"Munni      Lal Ram"	"Yogendra Manjhi"	"Subodh Kumar"	"Hira         Lal Ram"	"Umarao Manjhi"	"Nathu Ravi"	"Rajeshwar Paswan"	"Sugiv Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"50"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"51"	"27"	"79"	"7"	"50"	"93"	"48"	"17"	"21"	"24"	"11"	"20"	"370"	"0"	"370"	"0"	""
"52"	"28"	"136"	"3"	"33"	"34"	"58"	"19"	"5"	"9"	"4"	"14"	"315"	"0"	"315"	"0"	""
"53"	"29"	"309"	"10"	"36"	"17"	"94"	"58"	"6"	"6"	"2"	"2"	"540"	"0"	"540"	"0"	""
"54"	"30"	"387"	"17"	"15"	"8"	"54"	"52"	"8"	"3"	"4"	"5"	"553"	"0"	"553"	"0"	""
"55"	"31"	"393"	"15"	"17"	"3"	"74"	"59"	"6"	"4"	"2"	"12"	"585"	"0"	"585"	"0"	""
"56"	"32"	"335"	"21"	"16"	"8"	"157"	"78"	"6"	"4"	"1"	"4"	"630"	"0"	"630"	"0"	""
"57"	"33"	"128"	"3"	"23"	"25"	"67"	"19"	"8"	"4"	"6"	"9"	"292"	"0"	"292"	"0"	""
"58"	"33A"	"186"	"8"	"21"	"15"	"165"	"40"	"8"	"5"	"2"	"4"	"454"	"0"	"454"	"0"	""
"59"	"34"	"153"	"5"	"7"	"0"	"40"	"9"	"2"	"2"	"0"	"8"	"226"	"0"	"226"	"0"	""
"60"	"35"	"209"	"5"	"21"	"6"	"143"	"36"	"6"	"8"	"7"	"12"	"453"	"0"	"453"	"0"	""
"61"	"36"	"204"	"6"	"25"	"45"	"77"	"158"	"16"	"3"	"16"	"31"	"581"	"0"	"581"	"0"	""
"62"	"37"	"198"	"10"	"17"	"28"	"51"	"11"	"9"	"9"	"6"	"8"	"347"	"0"	"347"	"0"	""
"63"	"37A"	"293"	"12"	"8"	"144"	"57"	"15"	"11"	"8"	"5"	"7"	"560"	"0"	"560"	"0"	""
"64"	"38"	"138"	"12"	"14"	"64"	"55"	"32"	"12"	"8"	"10"	"13"	"358"	"0"	"358"	"0"	""
"65"	"Total"	"3148"	"134"	"303"	"490"	"1140"	"603"	"124"	"97"	"76"	"149"	"6264"	"0"	"6264"	"0"	""
"66"	"Total No. of Electors in Assembly Constituency - 203388"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"Election for 4-Shikarpur (SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"Round No."	"Bhagirathi Devi"	"Munna Ram"	"Munni      Lal Ram"	"Yogendra Manjhi"	"Subodh Kumar"	"Hira         Lal Ram"	"Umarao Manjhi"	"Nathu Ravi"	"Rajeshwar Paswan"	"Sugiv Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"72"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"73"	"39"	"151"	"5"	"9"	"74"	"158"	"7"	"12"	"4"	"5"	"7"	"432"	"0"	"432"	"0"	""
"74"	"40"	"264"	"6"	"27"	"4"	"129"	"23"	"3"	"3"	"1"	"11"	"471"	"0"	"471"	"0"	""
"75"	"41"	"129"	"15"	"0"	"2"	"48"	"6"	"0"	"1"	"2"	"5"	"208"	"0"	"208"	"0"	""
"76"	"42"	"301"	"23"	"10"	"124"	"99"	"18"	"18"	"15"	"17"	"17"	"642"	"0"	"642"	"0"	""
"77"	"43"	"400"	"9"	"6"	"30"	"134"	"23"	"7"	"7"	"9"	"24"	"649"	"0"	"649"	"0"	""
"78"	"44"	"106"	"3"	"12"	"82"	"141"	"31"	"12"	"5"	"10"	"11"	"413"	"0"	"413"	"0"	""
"79"	"44A"	"236"	"10"	"4"	"26"	"14"	"32"	"3"	"4"	"5"	"9"	"343"	"0"	"343"	"0"	""
"80"	"45"	"195"	"4"	"5"	"32"	"152"	"44"	"12"	"4"	"2"	"12"	"462"	"0"	"462"	"0"	""
"81"	"46"	"145"	"11"	"11"	"194"	"54"	"64"	"21"	"13"	"12"	"17"	"542"	"0"	"542"	"0"	""
"82"	"47"	"0"	"0"	"1"	"0"	"9"	"17"	"1"	"1"	"0"	"1"	"30"	"0"	"30"	"0"	""
"83"	"48"	"88"	"15"	"21"	"139"	"200"	"78"	"26"	"14"	"12"	"21"	"614"	"0"	"614"	"0"	""
"84"	"49"	"117"	"7"	"3"	"45"	"63"	"13"	"6"	"6"	"5"	"9"	"274"	"0"	"274"	"0"	""
"85"	"50"	"84"	"4"	"27"	"109"	"197"	"16"	"8"	"4"	"8"	"8"	"465"	"0"	"465"	"0"	""
"86"	"51"	"323"	"31"	"9"	"10"	"86"	"68"	"6"	"9"	"5"	"10"	"557"	"0"	"557"	"0"	""
"87"	"Total"	"2539"	"143"	"145"	"871"	"1484"	"440"	"135"	"90"	"93"	"162"	"6102"	"0"	"6102"	"0"	""
"88"	"Total No. of Electors in Assembly Constituency - 203388"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"Election for 4-Shikarpur (SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"Round No."	"Bhagirathi Devi"	"Munna Ram"	"Munni      Lal Ram"	"Yogendra Manjhi"	"Subodh Kumar"	"Hira         Lal Ram"	"Umarao Manjhi"	"Nathu Ravi"	"Rajeshwar Paswan"	"Sugiv Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"94"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"95"	"52"	"121"	"36"	"97"	"104"	"36"	"16"	"16"	"11"	"17"	"36"	"490"	"0"	"490"	"0"	""
"96"	"53"	"177"	"6"	"43"	"46"	"16"	"9"	"5"	"14"	"2"	"3"	"321"	"0"	"321"	"0"	""
"97"	"54"	"171"	"27"	"28"	"108"	"60"	"62"	"18"	"6"	"8"	"3"	"491"	"0"	"491"	"0"	""
"98"	"55"	"88"	"3"	"4"	"116"	"25"	"7"	"5"	"2"	"5"	"3"	"258"	"0"	"258"	"0"	""
"99"	"56"	"243"	"11"	"61"	"46"	"195"	"30"	"13"	"10"	"1"	"8"	"618"	"0"	"618"	"0"	""
"100"	"57"	"178"	"12"	"9"	"54"	"149"	"89"	"6"	"5"	"8"	"7"	"517"	"0"	"517"	"0"	""
"101"	"58"	"335"	"19"	"19"	"20"	"132"	"101"	"13"	"8"	"10"	"17"	"674"	"0"	"674"	"0"	""
"102"	"59"	"257"	"35"	"59"	"8"	"197"	"17"	"3"	"10"	"10"	"20"	"616"	"0"	"616"	"0"	""
"103"	"60"	"192"	"21"	"10"	"167"	"119"	"25"	"21"	"11"	"6"	"14"	"586"	"0"	"586"	"0"	""
"104"	"61"	"46"	"2"	"16"	"38"	"207"	"18"	"7"	"1"	"7"	"10"	"352"	"0"	"352"	"0"	""
"105"	"62"	"138"	"9"	"13"	"75"	"150"	"11"	"7"	"10"	"9"	"13"	"435"	"0"	"435"	"0"	""
"106"	"63"	"117"	"100"	"53"	"9"	"281"	"16"	"0"	"7"	"3"	"3"	"589"	"0"	"589"	"0"	""
"107"	"64"	"200"	"4"	"16"	"6"	"121"	"7"	"2"	"5"	"1"	"4"	"366"	"0"	"366"	"0"	""
"108"	"65"	"14"	"2"	"6"	"97"	"30"	"2"	"7"	"1"	"1"	"1"	"161"	"0"	"161"	"0"	""
"109"	"Total"	"2277"	"287"	"434"	"894"	"1718"	"410"	"123"	"101"	"88"	"142"	"6474"	"0"	"6474"	"0"	""
"110"	"Total No. of Electors in Assembly Constituency - 203388"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"Election for 4-Shikarpur (SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"Round No."	"Bhagirathi Devi"	"Munna Ram"	"Munni      Lal Ram"	"Yogendra Manjhi"	"Subodh Kumar"	"Hira         Lal Ram"	"Umarao Manjhi"	"Nathu Ravi"	"Rajeshwar Paswan"	"Sugiv Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"116"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"117"	"66"	"8"	"2"	"57"	"3"	"297"	"16"	"5"	"9"	"2"	"13"	"412"	"0"	"412"	"0"	""
"118"	"66A"	"106"	"6"	"7"	"7"	"243"	"2"	"1"	"0"	"0"	"0"	"372"	"0"	"372"	"0"	""
"119"	"67"	"230"	"3"	"3"	"1"	"53"	"7"	"0"	"1"	"2"	"5"	"305"	"0"	"305"	"0"	""
"120"	"68"	"82"	"8"	"63"	"93"	"122"	"21"	"15"	"17"	"7"	"11"	"439"	"0"	"439"	"0"	""
"121"	"69"	"25"	"4"	"223"	"5"	"146"	"2"	"0"	"5"	"1"	"3"	"414"	"0"	"414"	"0"	""
"122"	"70"	"64"	"42"	"74"	"1"	"94"	"24"	"2"	"7"	"1"	"8"	"317"	"0"	"317"	"0"	""
"123"	"71"	"113"	"26"	"144"	"3"	"35"	"6"	"0"	"9"	"1"	"2"	"339"	"0"	"339"	"0"	""
"124"	"72"	"85"	"8"	"51"	"7"	"83"	"4"	"4"	"16"	"1"	"5"	"264"	"0"	"264"	"0"	""
"125"	"73"	"110"	"7"	"20"	"52"	"95"	"6"	"6"	"8"	"3"	"4"	"311"	"0"	"311"	"0"	""
"126"	"74"	"50"	"288"	"21"	"72"	"59"	"6"	"8"	"6"	"3"	"6"	"519"	"0"	"519"	"0"	""
"127"	"75"	"142"	"15"	"5"	"257"	"110"	"9"	"21"	"6"	"11"	"21"	"597"	"0"	"597"	"0"	""
"128"	"76"	"137"	"10"	"23"	"77"	"83"	"20"	"16"	"12"	"6"	"8"	"392"	"0"	"392"	"0"	""
"129"	"77"	"58"	"41"	"163"	"36"	"239"	"40"	"8"	"25"	"6"	"8"	"624"	"0"	"624"	"0"	""
"130"	"78"	"22"	"3"	"5"	"10"	"16"	"20"	"7"	"2"	"2"	"2"	"89"	"0"	"89"	"0"	""
"131"	"Total"	"1232"	"463"	"859"	"624"	"1675"	"183"	"93"	"123"	"46"	"96"	"5394"	"0"	"5394"	"0"	""
"132"	"Total No. of Electors in Assembly Constituency - 203388"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"Election for 4-Shikarpur (SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"Round No."	"Bhagirathi Devi"	"Munna Ram"	"Munni      Lal Ram"	"Yogendra Manjhi"	"Subodh Kumar"	"Hira         Lal Ram"	"Umarao Manjhi"	"Nathu Ravi"	"Rajeshwar Paswan"	"Sugiv Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"138"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"139"	"79"	"43"	"10"	"11"	"126"	"339"	"11"	"11"	"7"	"6"	"5"	"569"	"0"	"569"	"0"	""
"140"	"80"	"62"	"4"	"34"	"24"	"215"	"5"	"9"	"9"	"5"	"17"	"384"	"0"	"384"	"0"	""
"141"	"80A"	"146"	"6"	"35"	"9"	"230"	"10"	"6"	"7"	"8"	"10"	"467"	"0"	"467"	"0"	""
"142"	"81"	"113"	"18"	"31"	"67"	"167"	"12"	"12"	"17"	"8"	"11"	"456"	"0"	"456"	"0"	""
"143"	"82"	"206"	"5"	"24"	"80"	"165"	"18"	"18"	"6"	"11"	"20"	"553"	"0"	"553"	"0"	""
"144"	"83"	"162"	"11"	"32"	"197"	"147"	"66"	"23"	"7"	"11"	"11"	"667"	"0"	"667"	"0"	""
"145"	"84"	"59"	"3"	"10"	"130"	"44"	"25"	"24"	"9"	"11"	"10"	"325"	"0"	"325"	"0"	""
"146"	"84A"	"57"	"9"	"19"	"248"	"49"	"20"	"40"	"15"	"18"	"28"	"503"	"0"	"503"	"0"	""
"147"	"85"	"58"	"18"	"22"	"43"	"125"	"7"	"9"	"3"	"7"	"6"	"298"	"0"	"298"	"0"	""
"148"	"85A"	"72"	"5"	"5"	"5"	"152"	"10"	"3"	"3"	"2"	"7"	"264"	"0"	"264"	"0"	""
"149"	"86"	"21"	"9"	"16"	"26"	"408"	"13"	"5"	"0"	"2"	"0"	"500"	"0"	"500"	"0"	""
"150"	"87"	"315"	"16"	"11"	"68"	"118"	"17"	"19"	"7"	"8"	"11"	"590"	"0"	"590"	"0"	""
"151"	"88"	"29"	"1"	"1"	"11"	"8"	"2"	"3"	"0"	"2"	"1"	"58"	"0"	"58"	"0"	""
"152"	"89"	"217"	"9"	"62"	"4"	"197"	"57"	"3"	"14"	"6"	"16"	"585"	"0"	"585"	"0"	""
"153"	"Total"	"1560"	"124"	"313"	"1038"	"2364"	"273"	"185"	"104"	"105"	"153"	"6219"	"0"	"6219"	"0"	""
"154"	"Total No. of Electors in Assembly Constituency - 203388"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"Election for 4-Shikarpur (SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"Round No."	"Bhagirathi Devi"	"Munna Ram"	"Munni      Lal Ram"	"Yogendra Manjhi"	"Subodh Kumar"	"Hira         Lal Ram"	"Umarao Manjhi"	"Nathu Ravi"	"Rajeshwar Paswan"	"Sugiv Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"160"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"161"	"90"	"205"	"5"	"19"	"51"	"55"	"21"	"9"	"6"	"2"	"3"	"376"	"0"	"376"	"0"	""
"162"	"91"	"239"	"11"	"57"	"21"	"55"	"28"	"12"	"6"	"1"	"6"	"436"	"0"	"436"	"0"	""
"163"	"91A"	"148"	"9"	"11"	"10"	"117"	"26"	"5"	"3"	"4"	"0"	"333"	"0"	"333"	"0"	""
"164"	"92"	"298"	"6"	"11"	"25"	"106"	"61"	"15"	"10"	"12"	"22"	"566"	"0"	"566"	"0"	""
"165"	"93"	"127"	"12"	"14"	"145"	"48"	"25"	"28"	"5"	"11"	"8"	"423"	"0"	"423"	"0"	""
"166"	"94"	"124"	"10"	"18"	"196"	"86"	"29"	"27"	"17"	"17"	"16"	"540"	"0"	"540"	"0"	""
"167"	"95"	"71"	"3"	"23"	"39"	"298"	"20"	"13"	"11"	"11"	"11"	"500"	"0"	"500"	"0"	""
"168"	"96"	"42"	"0"	"32"	"14"	"151"	"8"	"4"	"11"	"4"	"8"	"274"	"0"	"274"	"0"	""
"169"	"97"	"153"	"3"	"13"	"4"	"140"	"129"	"10"	"4"	"1"	"3"	"460"	"0"	"460"	"0"	""
"170"	"98"	"270"	"7"	"30"	"3"	"101"	"148"	"1"	"11"	"1"	"2"	"574"	"0"	"574"	"0"	""
"171"	"99"	"118"	"10"	"11"	"2"	"61"	"320"	"15"	"7"	"1"	"9"	"554"	"0"	"554"	"0"	""
"172"	"100"	"52"	"3"	"11"	"40"	"192"	"173"	"7"	"5"	"4"	"12"	"499"	"0"	"499"	"0"	""
"173"	"101"	"350"	"7"	"30"	"5"	"81"	"141"	"1"	"9"	"1"	"12"	"637"	"0"	"637"	"0"	""
"174"	"102"	"184"	"11"	"91"	"7"	"175"	"134"	"3"	"11"	"0"	"4"	"620"	"0"	"620"	"0"	""
"175"	"Total"	"2381"	"97"	"371"	"562"	"1666"	"1263"	"150"	"116"	"70"	"116"	"6792"	"0"	"6792"	"0"	""
"176"	"Total No. of Electors in Assembly Constituency - 203388"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"Election for 4-Shikarpur (SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"Round No."	"Bhagirathi Devi"	"Munna Ram"	"Munni      Lal Ram"	"Yogendra Manjhi"	"Subodh Kumar"	"Hira         Lal Ram"	"Umarao Manjhi"	"Nathu Ravi"	"Rajeshwar Paswan"	"Sugiv Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"182"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"183"	"103"	"172"	"10"	"116"	"106"	"66"	"32"	"7"	"19"	"6"	"7"	"541"	"0"	"541"	"0"	""
"184"	"104"	"283"	"17"	"13"	"36"	"86"	"50"	"10"	"1"	"3"	"2"	"501"	"0"	"501"	"0"	""
"185"	"105"	"34"	"2"	"35"	"1"	"55"	"40"	"4"	"7"	"2"	"2"	"182"	"0"	"182"	"0"	""
"186"	"106"	"25"	"1"	"172"	"6"	"63"	"27"	"3"	"16"	"4"	"10"	"327"	"0"	"327"	"0"	""
"187"	"107"	"166"	"7"	"22"	"8"	"101"	"59"	"4"	"5"	"0"	"6"	"378"	"0"	"378"	"0"	""
"188"	"108"	"14"	"2"	"18"	"1"	"270"	"25"	"1"	"2"	"0"	"4"	"337"	"0"	"337"	"0"	""
"189"	"109"	"12"	"0"	"51"	"3"	"184"	"10"	"0"	"6"	"0"	"3"	"269"	"0"	"269"	"0"	""
"190"	"110"	"10"	"0"	"81"	"3"	"198"	"21"	"2"	"10"	"1"	"2"	"328"	"0"	"328"	"0"	""
"191"	"111"	"37"	"2"	"83"	"4"	"107"	"179"	"4"	"14"	"2"	"4"	"436"	"0"	"436"	"0"	""
"192"	"112"	"24"	"6"	"114"	"5"	"47"	"124"	"8"	"12"	"0"	"10"	"350"	"0"	"350"	"0"	""
"193"	"113"	"8"	"0"	"23"	"1"	"123"	"55"	"2"	"3"	"0"	"0"	"215"	"0"	"215"	"0"	""
"194"	"114"	"124"	"6"	"3"	"29"	"67"	"37"	"4"	"2"	"1"	"5"	"278"	"0"	"278"	"0"	""
"195"	"114A"	"160"	"1"	"1"	"14"	"66"	"9"	"1"	"1"	"1"	"3"	"257"	"0"	"257"	"0"	""
"196"	"115"	"164"	"3"	"28"	"10"	"185"	"85"	"5"	"3"	"3"	"9"	"495"	"0"	"495"	"0"	""
