"Total.No..of.Electors.in.Assembly.Constituency..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"35"	""	"21"	"53"	"214"	"18"	"288"	"26"	"599"	""	"599"	"0"
"36"	""	"22"	"17"	"19"	"11"	"186"	"10"	"243"	""	"243"	"0"
"37"	""	"22&d"	"14"	"79"	"16"	"78"	"16"	"203"	""	"203"	"0"
"38"	""	"23"	"180"	"86"	"34"	"108"	"23"	"431"	""	"431"	"0"
"39"	""	"Total"	"889"	"1751"	"223"	"2168"	"307"	"5338"	""	"5338"	"0"
"40"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""
"41"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 79 Pandaul"	""	""	""	""	""	""	""	""	""	""
"42"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"43"	""	""	"Devendra Prasad Singh"	"Naiyar Azam"	"Vinay Kumar Jha"	"Binod Narayan Jha"	"Aghanu Yadav"	""	""	""	""
"44"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"45"	"Round - 3"	"24"	"33"	"122"	"10"	"29"	"30"	"224"	""	"224"	"0"
"46"	""	"24&d"	"18"	"141"	"9"	"66"	"6"	"240"	""	"240"	"0"
"47"	""	"25"	"57"	"191"	"13"	"154"	"36"	"451"	""	"451"	"0"
"48"	""	"26"	"33"	"251"	"18"	"35"	"23"	"360"	""	"360"	"0"
"49"	""	"27"	"40"	"56"	"11"	"221"	"40"	"368"	""	"368"	"0"
"50"	""	"27&d"	"85"	"56"	"17"	"126"	"26"	"310"	""	"310"	"0"
"51"	""	"28"	"109"	"95"	"15"	"143"	"25"	"387"	""	"387"	"0"
"52"	""	"28&d"	"67"	"39"	"14"	"278"	"32"	"430"	""	"430"	"0"
"53"	""	"29"	"20"	"23"	"10"	"160"	"11"	"224"	""	"224"	"0"
"54"	""	"29&d"	"43"	"83"	"13"	"111"	"18"	"268"	""	"268"	"0"
"55"	""	"30"	"62"	"265"	"25"	"142"	"16"	"510"	""	"510"	"0"
"56"	""	"31"	"70"	"54"	"20"	"130"	"29"	"303"	""	"303"	"0"
"57"	""	"31&d"	"28"	"34"	"8"	"228"	"17"	"315"	""	"315"	"0"
"58"	""	"32"	"37"	"161"	"12"	"146"	"6"	"362"	""	"362"	"0"
"59"	""	"Total"	"702"	"1571"	"195"	"1969"	"315"	"4752"	""	"4752"	"0"
"60"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""
"61"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 79 Pandaul"	""	""	""	""	""	""	""	""	""	""
"62"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"63"	""	""	"Devendra Prasad Singh"	"Naiyar Azam"	"Vinay Kumar Jha"	"Binod Narayan Jha"	"Aghanu Yadav"	""	""	""	""
"64"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"65"	"Round - 4"	"33"	"42"	"273"	"18"	"18"	"21"	"372"	""	"372"	"0"
"66"	""	"34"	"80"	"150"	"22"	"214"	"32"	"498"	""	"498"	"0"
"67"	""	"35"	"55"	"147"	"11"	"13"	"7"	"233"	""	"233"	"0"
"68"	""	"35&d"	"90"	"56"	"14"	"158"	"14"	"332"	""	"332"	"0"
"69"	""	"36"	"81"	"22"	"11"	"276"	"28"	"418"	""	"418"	"0"
"70"	""	"37"	"133"	"20"	"3"	"235"	"7"	"398"	""	"398"	"0"
"71"	""	"38"	"48"	"156"	"37"	"192"	"41"	"474"	""	"474"	"0"
"72"	""	"39"	"37"	"205"	"21"	"250"	"38"	"551"	""	"551"	"0"
"73"	""	"40"	"23"	"164"	"21"	"224"	"27"	"459"	""	"459"	"0"
"74"	""	"41"	"15"	"36"	"10"	"219"	"10"	"290"	""	"290"	"0"
"75"	""	"41&d"	"18"	"133"	"17"	"164"	"27"	"359"	""	"359"	"0"
"76"	""	"42"	"317"	"145"	"29"	"135"	"25"	"651"	""	"651"	"0"
"77"	""	"43"	"186"	"204"	"32"	"112"	"31"	"565"	""	"565"	"0"
"78"	""	"44"	"46"	"88"	"11"	"141"	"18"	"304"	""	"304"	"0"
"79"	""	"Total"	"1171"	"1799"	"257"	"2351"	"326"	"5904"	""	"5904"	"0"
"80"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""
"81"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 79 Pandaul"	""	""	""	""	""	""	""	""	""	""
"82"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"83"	""	""	"Devendra Prasad Singh"	"Naiyar Azam"	"Vinay Kumar Jha"	"Binod Narayan Jha"	"Aghanu Yadav"	""	""	""	""
"84"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"85"	"Round - 5"	"44&d"	"70"	"125"	"9"	"70"	"16"	"290"	""	"290"	"0"
"86"	""	"45"	"61"	"55"	"13"	"346"	"35"	"510"	""	"510"	"0"
"87"	""	"46"	"57"	"53"	"18"	"136"	"14"	"278"	""	"278"	"0"
"88"	""	"46&d"	"135"	"93"	"9"	"45"	"25"	"307"	""	"307"	"0"
"89"	""	"47"	"159"	"94"	"14"	"58"	"31"	"356"	""	"356"	"0"
"90"	""	"47&d"	"99"	"191"	"21"	"30"	"20"	"361"	""	"361"	"0"
"91"	""	"48"	"129"	"207"	"19"	"95"	"36"	"486"	""	"486"	"0"
"92"	""	"49"	"175"	"136"	"57"	"188"	"28"	"584"	""	"584"	"0"
"93"	""	"50"	"70"	"301"	"37"	"104"	"37"	"549"	""	"549"	"0"
"94"	""	"51"	"60"	"241"	"56"	"130"	"16"	"503"	""	"503"	"0"
"95"	""	"52"	"167"	"185"	"41"	"102"	"23"	"518"	""	"518"	"0"
"96"	""	"53"	"109"	"58"	"16"	"89"	"20"	"292"	""	"292"	"0"
"97"	""	"53&d"	"49"	"111"	"8"	"90"	"15"	"273"	""	"273"	"0"
"98"	""	"54"	"54"	"132"	"20"	"228"	"34"	"468"	""	"468"	"0"
"99"	""	"Total"	"1394"	"1982"	"338"	"1711"	"350"	"5775"	""	"5775"	"0"
"100"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""
"101"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 79 Pandaul"	""	""	""	""	""	""	""	""	""	""
"102"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"103"	""	""	"Devendra Prasad Singh"	"Naiyar Azam"	"Vinay Kumar Jha"	"Binod Narayan Jha"	"Aghanu Yadav"	""	""	""	""
"104"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"105"	"Round - 6"	"55"	"28"	"180"	"20"	"157"	"21"	"406"	""	"406"	"0"
"106"	""	"56"	"54"	"130"	"24"	"359"	"33"	"600"	""	"600"	"0"
"107"	""	"57"	"63"	"163"	"15"	"35"	"24"	"300"	""	"300"	"0"
"108"	""	"57&d"	"28"	"71"	"14"	"190"	"23"	"326"	""	"326"	"0"
"109"	""	"58"	"27"	"234"	"34"	"85"	"43"	"423"	""	"423"	"0"
"110"	""	"59"	"54"	"145"	"11"	"88"	"19"	"317"	""	"317"	"0"
"111"	""	"59&d"	"55"	"150"	"18"	"152"	"14"	"389"	""	"389"	"0"
"112"	""	"60"	"14"	"21"	"6"	"386"	"24"	"451"	""	"451"	"0"
"113"	""	"61"	"22"	"121"	"21"	"172"	"13"	"349"	""	"349"	"0"
"114"	""	"61&d"	"21"	"39"	"8"	"147"	"9"	"224"	""	"224"	"0"
"115"	""	"62"	"71"	"287"	"35"	"38"	"38"	"469"	""	"469"	"0"
"116"	""	"63"	"67"	"135"	"34"	"139"	"35"	"410"	""	"410"	"0"
"117"	""	"64"	"21"	"432"	"15"	"18"	"23"	"509"	""	"509"	"0"
"118"	""	"65"	"139"	"150"	"27"	"215"	"17"	"548"	""	"548"	"0"
"119"	""	"Total"	"664"	"2258"	"282"	"2181"	"336"	"5721"	""	"5721"	"0"
"120"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""
"121"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 79 Pandaul"	""	""	""	""	""	""	""	""	""	""
"122"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"123"	""	""	"Devendra Prasad Singh"	"Naiyar Azam"	"Vinay Kumar Jha"	"Binod Narayan Jha"	"Aghanu Yadav"	""	""	""	""
"124"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"125"	"Round - 7"	"66"	"14"	"22"	"9"	"234"	"24"	"303"	""	"303"	"0"
"126"	""	"66&d"	"87"	"111"	"25"	"112"	"23"	"358"	""	"358"	"0"
"127"	""	"67"	"41"	"113"	"21"	"101"	"26"	"302"	""	"302"	"0"
"128"	""	"68"	"17"	"54"	"8"	"265"	"21"	"365"	""	"365"	"0"
"129"	""	"69"	"89"	"142"	"19"	"227"	"19"	"496"	""	"496"	"0"
"130"	""	"70"	"218"	"150"	"26"	"216"	"30"	"640"	""	"640"	"0"
"131"	""	"71"	"183"	"245"	"23"	"85"	"26"	"562"	""	"562"	"0"
"132"	""	"72"	"83"	"120"	"19"	"265"	"31"	"518"	""	"518"	"0"
"133"	""	"73"	"212"	"68"	"23"	"157"	"16"	"476"	""	"476"	"0"
"134"	""	"74"	"178"	"204"	"19"	"39"	"15"	"455"	""	"455"	"0"
"135"	""	"75"	"84"	"106"	"15"	"245"	"33"	"483"	""	"483"	"0"
"136"	""	"76"	"16"	"128"	"10"	"84"	"6"	"244"	""	"244"	"0"
"137"	""	"76&d"	"73"	"54"	"8"	"43"	"17"	"195"	""	"195"	"0"
"138"	""	"77"	"105"	"138"	"14"	"104"	"26"	"387"	""	"387"	"0"
"139"	""	"Total"	"1400"	"1655"	"239"	"2177"	"313"	"5784"	""	"5784"	"0"
"140"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""
"141"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 79 Pandaul"	""	""	""	""	""	""	""	""	""	""
"142"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"143"	""	""	"Devendra Prasad Singh"	"Naiyar Azam"	"Vinay Kumar Jha"	"Binod Narayan Jha"	"Aghanu Yadav"	""	""	""	""
"144"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"145"	"Round - 8"	"78"	"25"	"102"	"4"	"0"	"2"	"133"	""	"133"	"0"
"146"	""	"79"	"55"	"79"	"9"	"177"	"21"	"341"	""	"341"	"0"
"147"	""	"80"	"11"	"10"	"8"	"227"	"5"	"261"	""	"261"	"0"
"148"	""	"80&d"	"5"	"2"	"4"	"150"	"3"	"164"	""	"164"	"0"
"149"	""	"81"	"151"	"141"	"19"	"104"	"43"	"458"	""	"458"	"0"
"150"	""	"82"	"68"	"166"	"16"	"306"	"41"	"597"	""	"597"	"0"
"151"	""	"83"	"232"	"118"	"27"	"246"	"17"	"640"	""	"640"	"0"
"152"	""	"84"	"128"	"194"	"21"	"22"	"13"	"378"	""	"378"	"0"
"153"	""	"85"	"173"	"77"	"26"	"173"	"16"	"465"	""	"465"	"0"
"154"	""	"86"	"109"	"65"	"4"	"251"	"9"	"438"	""	"438"	"0"
"155"	""	"87"	"158"	"51"	"10"	"86"	"11"	"316"	""	"316"	"0"
"156"	""	"87&d"	"25"	"109"	"8"	"136"	"16"	"294"	""	"294"	"0"
"157"	""	"88"	"183"	"241"	"25"	"122"	"40"	"611"	""	"611"	"0"
"158"	""	"89"	"43"	"83"	"16"	"261"	"26"	"429"	""	"429"	"0"
"159"	""	"Total"	"1366"	"1438"	"197"	"2261"	"263"	"5525"	""	"5525"	"0"
"160"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""
"161"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 79 Pandaul"	""	""	""	""	""	""	""	""	""	""
"162"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"163"	""	""	"Devendra Prasad Singh"	"Naiyar Azam"	"Vinay Kumar Jha"	"Binod Narayan Jha"	"Aghanu Yadav"	""	""	""	""
"164"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"165"	"Round - 9"	"90"	"69"	"49"	"13"	"181"	"16"	"328"	""	"328"	"0"
"166"	""	"91"	"31"	"287"	"8"	"24"	"25"	"375"	""	"375"	"0"
"167"	""	"92"	"27"	"43"	"9"	"299"	"23"	"401"	""	"401"	"0"
"168"	""	"93"	"57"	"54"	"18"	"385"	"22"	"536"	""	"536"	"0"
"169"	""	"94"	"9"	"31"	"5"	"236"	"16"	"297"	""	"297"	"0"
"170"	""	"94&d"	"24"	"13"	"7"	"224"	"10"	"278"	""	"278"	"0"
"171"	""	"95"	"24"	"72"	"7"	"395"	"16"	"514"	""	"514"	"0"
"172"	""	"96"	"25"	"234"	"15"	"255"	"21"	"550"	""	"550"	"0"
"173"	""	"97"	"30"	"90"	"9"	"190"	"13"	"332"	""	"332"	"0"
"174"	""	"97&d"	"30"	"53"	"12"	"72"	"11"	"178"	""	"178"	"0"
"175"	""	"98"	"112"	"236"	"16"	"210"	"21"	"595"	""	"595"	"0"
"176"	""	"99"	"146"	"60"	"8"	"200"	"21"	"435"	""	"435"	"0"
"177"	""	"100"	"37"	"123"	"8"	"250"	"14"	"432"	""	"432"	"0"
"178"	""	"101"	"41"	"329"	"17"	"33"	"29"	"449"	""	"449"	"0"
"179"	""	"Total"	"662"	"1674"	"152"	"2954"	"258"	"5700"	""	"5700"	"0"
"180"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""
"181"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 79 Pandaul"	""	""	""	""	""	""	""	""	""	""
"182"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"183"	""	""	"Devendra Prasad Singh"	"Naiyar Azam"	"Vinay Kumar Jha"	"Binod Narayan Jha"	"Aghanu Yadav"	""	""	""	""
"184"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"185"	"Round - 10"	"102"	"41"	"425"	"19"	"40"	"38"	"563"	""	"563"	"0"
"186"	""	"103"	"186"	"18"	"15"	"141"	"7"	"367"	""	"367"	"0"
"187"	""	"104"	"201"	"54"	"7"	"74"	"9"	"345"	""	"345"	"0"
"188"	""	"104&d"	"11"	"131"	"3"	"8"	"9"	"162"	""	"162"	"0"
"189"	""	"105"	"51"	"134"	"21"	"120"	"55"	"381"	""	"381"	"0"
"190"	""	"106"	"10"	"197"	"10"	"2"	"5"	"224"	""	"224"	"0"
"191"	""	"106&d"	"40"	"116"	"3"	"3"	"7"	"169"	""	"169"	"0"
"192"	""	"107"	"109"	"31"	"15"	"156"	"31"	"342"	""	"342"	"0"
"193"	""	"108"	"32"	"230"	"14"	"35"	"14"	"325"	""	"325"	"0"
"194"	""	"109"	"17"	"101"	"10"	"170"	"27"	"325"	""	"325"	"0"
"195"	""	"110"	"36"	"41"	"5"	"360"	"24"	"466"	""	"466"	"0"
"196"	""	"111"	"75"	"169"	"12"	"97"	"30"	"383"	""	"383"	"0"
"197"	""	"112"	"137"	"40"	"14"	"81"	"257"	"529"	""	"529"	"0"
"198"	""	"113"	"26"	"144"	"19"	"290"	"29"	"508"	""	"508"	"0"
"199"	""	"Total"	"972"	"1831"	"167"	"1577"	"542"	"5089"	""	"5089"	"0"
"200"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""
"201"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 79 Pandaul"	""	""	""	""	""	""	""	""	""	""
"202"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"203"	""	""	"Devendra Prasad Singh"	"Naiyar Azam"	"Vinay Kumar Jha"	"Binod Narayan Jha"	"Aghanu Yadav"	""	""	""	""
"204"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"205"	"Round - 11"	"114"	"28"	"231"	"12"	"10"	"10"	"291"	""	"291"	"0"
"206"	""	"115"	"29"	"442"	"16"	"28"	"23"	"538"	""	"538"	"0"
"207"	""	"116"	"64"	"186"	"19"	"77"	"36"	"382"	""	"382"	"0"
"208"	""	"117"	"30"	"219"	"10"	"66"	"16"	"341"	""	"341"	"0"
"209"	""	"118"	"35"	"396"	"14"	"28"	"26"	"499"	""	"499"	"0"
"210"	""	"119"	"30"	"145"	"18"	"146"	"12"	"351"	""	"351"	"0"
"211"	""	"120"	"48"	"290"	"37"	"121"	"48"	"544"	""	"544"	"0"
"212"	""	"121"	"9"	"23"	"2"	"226"	"5"	"265"	""	"265"	"0"
"213"	""	"122"	"291"	"102"	"30"	"47"	"46"	"516"	""	"516"	"0"
"214"	""	"123"	"7"	"76"	"14"	"70"	"12"	"179"	""	"179"	"0"
"215"	""	"124"	"29"	"212"	"13"	"137"	"33"	"424"	""	"424"	"0"
"216"	""	"124&d"	"20"	"193"	"7"	"19"	"13"	"252"	""	"252"	"0"
"217"	""	"125"	"43"	"205"	"25"	"76"	"32"	"381"	""	"381"	"0"
"218"	""	"126"	"69"	"137"	"19"	"116"	"9"	"350"	""	"350"	"0"
"219"	""	"Total"	"732"	"2857"	"236"	"1167"	"321"	"5313"	""	"5313"	"0"
"220"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""
"221"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 79 Pandaul"	""	""	""	""	""	""	""	""	""	""
"222"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"223"	""	""	"Devendra Prasad Singh"	"Naiyar Azam"	"Vinay Kumar Jha"	"Binod Narayan Jha"	"Aghanu Yadav"	""	""	""	""
"224"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"225"	"Round - 12"	"127"	"60"	"186"	"29"	"213"	"34"	"522"	""	"522"	"0"
"226"	""	"128"	"47"	"184"	"23"	"177"	"63"	"494"	""	"494"	"0"
"227"	""	"129"	"47"	"90"	"29"	"184"	"38"	"388"	""	"388"	"0"
"228"	""	"130"	"122"	"242"	"25"	"140"	"28"	"557"	""	"557"	"0"
"229"	""	"131"	"37"	"169"	"8"	"93"	"27"	"334"	""	"334"	"0"
"230"	""	"131&d"	"27"	"77"	"11"	"198"	"9"	"322"	""	"322"	"0"
"231"	""	"132"	"7"	"5"	"5"	"275"	"9"	"301"	""	"301"	"0"
"232"	""	"132&d"	"87"	"121"	"21"	"104"	"25"	"358"	""	"358"	"0"
"233"	""	"133"	"36"	"65"	"8"	"190"	"12"	"311"	""	"311"	"0"
"234"	""	"134"	"64"	"14"	"12"	"255"	"26"	"371"	""	"371"	"0"
"235"	""	"135"	"45"	"108"	"16"	"29"	"19"	"217"	""	"217"	"0"
"236"	""	"136"	"122"	"62"	"15"	"246"	"27"	"472"	""	"472"	"0"
"237"	""	"137"	"128"	"148"	"36"	"173"	"43"	"528"	""	"528"	"0"
"238"	""	"138"	"152"	"78"	"15"	"122"	"14"	"381"	""	"381"	"0"
"239"	""	"Total"	"981"	"1549"	"253"	"2399"	"374"	"5556"	""	"5556"	"0"
"240"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""
"241"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 79 Pandaul"	""	""	""	""	""	""	""	""	""	""
"242"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"243"	""	""	"Devendra Prasad Singh"	"Naiyar Azam"	"Vinay Kumar Jha"	"Binod Narayan Jha"	"Aghanu Yadav"	""	""	""	""
"244"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"245"	"Round - 13"	"139"	"39"	"112"	"12"	"229"	"13"	"405"	""	"405"	"0"
"246"	""	"140"	"64"	"119"	"31"	"224"	"29"	"467"	""	"467"	"0"
"247"	""	"141"	"43"	"249"	"23"	"26"	"9"	"350"	""	"350"	"0"
"248"	""	"141&d"	"79"	"216"	"18"	"48"	"17"	"378"	""	"378"	"0"
"249"	""	"142"	"105"	"147"	"18"	"198"	"20"	"488"	""	"488"	"0"
"250"	""	"143"	"95"	"159"	"22"	"83"	"21"	"380"	""	"380"	"0"
"251"	""	"143&d"	"32"	"24"	"4"	"118"	"16"	"194"	""	"194"	"0"
"252"	""	"144"	"85"	"254"	"22"	"143"	"26"	"530"	""	"530"	"0"
"253"	""	"145"	"70"	"96"	"29"	"203"	"35"	"433"	""	"433"	"0"
"254"	""	"146"	"26"	"45"	"14"	"205"	"37"	"327"	""	"327"	"0"
"255"	""	"147"	"146"	"111"	"27"	"173"	"26"	"483"	""	"483"	"0"
"256"	""	"148"	"63"	"68"	"10"	"190"	"11"	"342"	""	"342"	"0"
"257"	""	"149"	"60"	"126"	"25"	"289"	"60"	"560"	""	"560"	"0"
"258"	""	"150"	"126"	"250"	"23"	"85"	"27"	"511"	""	"511"	"0"
"259"	""	"Total"	"1033"	"1976"	"278"	"2214"	"347"	"5848"	""	"5848"	"0"
"260"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""
"261"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 79 Pandaul"	""	""	""	""	""	""	""	""	""	""
"262"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"263"	""	""	"Devendra Prasad Singh"	"Naiyar Azam"	"Vinay Kumar Jha"	"Binod Narayan Jha"	"Aghanu Yadav"	""	""	""	""
"264"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"265"	"Round - 14"	"151"	"209"	"99"	"19"	"107"	"33"	"467"	""	"467"	"0"
"266"	""	"152"	"97"	"105"	"10"	"118"	"23"	"353"	""	"353"	"0"
"267"	""	"153"	"124"	"101"	"15"	"116"	"32"	"388"	""	"388"	"0"
"268"	""	"154"	"123"	"118"	"11"	"24"	"12"	"288"	""	"288"	"0"
"269"	""	"155"	"46"	"213"	"12"	"9"	"24"	"304"	""	"304"	"0"
"270"	""	"155&d"	"67"	"62"	"12"	"103"	"24"	"268"	""	"268"	"0"
"271"	""	"156"	"67"	"123"	"20"	"242"	"41"	"493"	""	"493"	"0"
"272"	""	"157"	"37"	"332"	"23"	"14"	"24"	"430"	""	"430"	"0"
"273"	""	"158"	"30"	"319"	"13"	"15"	"13"	"390"	""	"390"	"0"
"274"	""	"159"	"31"	"187"	"10"	"96"	"14"	"338"	""	"338"	"0"
"275"	""	"160"	"44"	"102"	"12"	"222"	"29"	"409"	""	"409"	"0"
"276"	""	"160&d"	"50"	"133"	"18"	"104"	"16"	"321"	""	"321"	"0"
"277"	""	"161"	"101"	"89"	"14"	"198"	"22"	"424"	""	"424"	"0"
"278"	""	"162"	"11"	"131"	"11"	"199"	"11"	"363"	""	"363"	"0"
"279"	""	"Total"	"1037"	"2114"	"200"	"1567"	"318"	"5236"	""	"5236"	"0"
