"Á.Ik.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"16"	"5"	"88"	"37"	"3"	"113"	"9"	"1"	"0"	"0"	"2"	"1"	"0"	"1"	"2"	"0"	"257"	"0"	"257"	"0"
"17"	"6"	"6"	"0"	"14"	"24"	"277"	"3"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"327"	"0"	"327"	"0"
"18"	"7"	"105"	"1"	"9"	"502"	"39"	"0"	"21"	"0"	"0"	"1"	"10"	"0"	"1"	"1"	"690"	"0"	"690"	"0"
"19"	"8"	"5"	"24"	"3"	"219"	"3"	"0"	"0"	"10"	"0"	"2"	"77"	"1"	"0"	"2"	"346"	"0"	"346"	"0"
"20"	"9"	"29"	"16"	"7"	"176"	"202"	"4"	"3"	"5"	"11"	"2"	"1"	"2"	"7"	"3"	"468"	"0"	"468"	"0"
"21"	"10"	"28"	"0"	"1"	"8"	"705"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"751"	"0"	"751"	"0"
"22"	"11"	"47"	"6"	"12"	"79"	"52"	"21"	"9"	"3"	"5"	"5"	"87"	"3"	"5"	"3"	"337"	"0"	"337"	"0"
"23"	"12"	"29"	"1"	"2"	"4"	"197"	"3"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"240"	"0"	"240"	"0"
"24"	"13"	"13"	"1"	"3"	"6"	"365"	"3"	"1"	"0"	"2"	"1"	"3"	"2"	"0"	"2"	"402"	"0"	"402"	"0"
"25"	"14"	"3"	"1"	"0"	"1"	"333"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"340"	"0"	"340"	"0"
"26"	"dqy %&"	"626"	"105"	"95"	"1518"	"2606"	"60"	"38"	"27"	"30"	"17"	"244"	"14"	"20"	"32"	"5432"	"0"	"5432"	"0"
"27"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"28"	"B.F."	"626"	"105"	"95"	"1518"	"2606"	"60"	"38"	"27"	"30"	"17"	"244"	"14"	"20"	"32"	"5432"	"0"	"5432"	"0"
"29"	"15"	"4"	"0"	"10"	"64"	"54"	"2"	"3"	"0"	"0"	"2"	"66"	"4"	"0"	"0"	"209"	"0"	"209"	"0"
"30"	"15 d"	"16"	"3"	"69"	"54"	"33"	"1"	"5"	"1"	"3"	"1"	"17"	"9"	"1"	"1"	"214"	"0"	"214"	"0"
"31"	"16"	"82"	"3"	"0"	"0"	"397"	"1"	"0"	"1"	"2"	"2"	"6"	"0"	"3"	"1"	"498"	"0"	"498"	"0"
"32"	"17"	"9"	"0"	"3"	"0"	"415"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"431"	"0"	"431"	"0"
"33"	"17 d"	"4"	"1"	"83"	"99"	"154"	"0"	"0"	"0"	"2"	"0"	"4"	"6"	"2"	"1"	"356"	"0"	"356"	"0"
"34"	"18"	"42"	"5"	"9"	"123"	"151"	"11"	"5"	"9"	"12"	"35"	"40"	"5"	"4"	"14"	"465"	"0"	"465"	"0"
"35"	"19"	"77"	"1"	"7"	"39"	"149"	"1"	"5"	"0"	"2"	"0"	"48"	"2"	"0"	"6"	"337"	"0"	"337"	"0"
"36"	"20"	"18"	"5"	"63"	"66"	"126"	"1"	"3"	"0"	"5"	"5"	"15"	"2"	"1"	"5"	"315"	"0"	"315"	"0"
"37"	"21"	"79"	"2"	"85"	"49"	"88"	"7"	"6"	"2"	"3"	"3"	"52"	"4"	"2"	"4"	"386"	"0"	"386"	"0"
"38"	"22"	"24"	"10"	"16"	"19"	"157"	"8"	"7"	"5"	"18"	"3"	"4"	"1"	"6"	"5"	"283"	"0"	"283"	"0"
"39"	"23"	"75"	"1"	"3"	"17"	"273"	"1"	"2"	"2"	"1"	"4"	"166"	"1"	"0"	"3"	"549"	"0"	"549"	"0"
"40"	"24"	"125"	"11"	"5"	"54"	"190"	"7"	"3"	"2"	"3"	"1"	"9"	"0"	"4"	"4"	"418"	"0"	"418"	"0"
"41"	"25"	"18"	"46"	"56"	"105"	"63"	"3"	"1"	"5"	"1"	"1"	"5"	"4"	"5"	"0"	"313"	"0"	"313"	"0"
"42"	"26"	"77"	"6"	"6"	"76"	"235"	"0"	"2"	"0"	"1"	"1"	"21"	"1"	"3"	"2"	"431"	"0"	"431"	"0"
"43"	"dqy%&"	"1276"	"199"	"510"	"2283"	"5091"	"105"	"80"	"54"	"83"	"76"	"697"	"53"	"51"	"79"	"10637"	"0"	"10637"	"0"
"44"	"B.F."	"1276"	"199"	"510"	"2283"	"5091"	"105"	"80"	"54"	"83"	"76"	"697"	"53"	"51"	"79"	"10637"	"0"	"10637"	"0"
"45"	"27"	"54"	"79"	"6"	"31"	"135"	"10"	"1"	"7"	"12"	"3"	"2"	"3"	"2"	"9"	"354"	"0"	"354"	"0"
"46"	"28"	"15"	"93"	"117"	"104"	"49"	"33"	"5"	"0"	"1"	"3"	"47"	"0"	"1"	"4"	"472"	"0"	"472"	"0"
"47"	"29"	"115"	"2"	"36"	"129"	"115"	"2"	"1"	"1"	"2"	"2"	"5"	"5"	"4"	"3"	"422"	"0"	"422"	"0"
"48"	"30"	"36"	"34"	"10"	"71"	"263"	"6"	"3"	"10"	"8"	"3"	"7"	"4"	"5"	"9"	"469"	"0"	"469"	"0"
"49"	"31"	"17"	"2"	"0"	"21"	"376"	"5"	"1"	"7"	"7"	"2"	"3"	"4"	"2"	"4"	"451"	"0"	"451"	"0"
"50"	"32"	"23"	"46"	"4"	"70"	"265"	"7"	"1"	"3"	"9"	"1"	"40"	"1"	"0"	"7"	"477"	"0"	"477"	"0"
"51"	"33"	"86"	"8"	"22"	"8"	"175"	"2"	"1"	"3"	"4"	"0"	"6"	"1"	"4"	"7"	"327"	"0"	"327"	"0"
"52"	"34"	"14"	"101"	"6"	"9"	"130"	"1"	"1"	"0"	"3"	"1"	"1"	"1"	"1"	"2"	"271"	"0"	"271"	"0"
"53"	"35"	"16"	"70"	"7"	"5"	"181"	"0"	"1"	"2"	"0"	"2"	"2"	"0"	"1"	"0"	"287"	"0"	"287"	"0"
"54"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"55"	"36"	"46"	"43"	"4"	"81"	"73"	"5"	"2"	"2"	"6"	"4"	"12"	"1"	"2"	"4"	"285"	"0"	"285"	"0"
"56"	"37"	"2"	"1"	"0"	"1"	"139"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"144"	"0"	"144"	"0"
"57"	"38"	"25"	"0"	"0"	"0"	"129"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"0"	"155"	"0"
"58"	"39"	"22"	"16"	"0"	"24"	"43"	"1"	"0"	"0"	"0"	"0"	"19"	"0"	"0"	"2"	"127"	"0"	"127"	"0"
"59"	"40"	"7"	"1"	"3"	"7"	"244"	"2"	"0"	"0"	"7"	"2"	"1"	"1"	"0"	"3"	"278"	"0"	"278"	"0"
"60"	"dqy%&"	"1754"	"695"	"725"	"2844"	"7408"	"181"	"97"	"89"	"142"	"99"	"842"	"74"	"73"	"133"	"15156"	"0"	"15156"	"0"
"61"	"B.F."	"1754"	"695"	"725"	"2844"	"7408"	"181"	"97"	"89"	"142"	"99"	"842"	"74"	"73"	"133"	"15156"	"0"	"15156"	"0"
"62"	"41"	"65"	"202"	"11"	"16"	"71"	"4"	"0"	"17"	"0"	"5"	"5"	"5"	"1"	"5"	"407"	"0"	"407"	"0"
"63"	"42"	"76"	"0"	"1"	"9"	"102"	"1"	"0"	"1"	"5"	"1"	"1"	"0"	"2"	"2"	"201"	"0"	"201"	"0"
"64"	"43"	"56"	"4"	"0"	"6"	"71"	"4"	"0"	"0"	"3"	"0"	"0"	"1"	"2"	"5"	"152"	"0"	"152"	"0"
"65"	"44"	"20"	"3"	"0"	"2"	"275"	"9"	"2"	"0"	"4"	"1"	"10"	"1"	"1"	"3"	"331"	"0"	"331"	"0"
"66"	"45"	"2"	"0"	"1"	"10"	"4"	"6"	"22"	"1"	"0"	"1"	"208"	"1"	"0"	"0"	"256"	"0"	"256"	"0"
"67"	"45 d"	"5"	"0"	"18"	"12"	"34"	"5"	"37"	"2"	"3"	"3"	"199"	"0"	"0"	"1"	"319"	"0"	"319"	"0"
"68"	"46"	"32"	"5"	"0"	"70"	"78"	"1"	"1"	"2"	"3"	"2"	"7"	"4"	"3"	"4"	"212"	"0"	"212"	"0"
"69"	"47"	"62"	"7"	"18"	"10"	"72"	"13"	"3"	"2"	"2"	"2"	"85"	"3"	"1"	"1"	"281"	"0"	"281"	"0"
"70"	"48"	"47"	"7"	"102"	"16"	"80"	"18"	"3"	"1"	"3"	"2"	"40"	"4"	"4"	"6"	"333"	"0"	"333"	"0"
"71"	"49"	"67"	"1"	"1"	"12"	"376"	"8"	"16"	"1"	"3"	"1"	"14"	"0"	"0"	"3"	"503"	"0"	"503"	"0"
"72"	"50"	"61"	"8"	"8"	"5"	"401"	"3"	"4"	"3"	"3"	"3"	"24"	"0"	"0"	"1"	"524"	"0"	"524"	"0"
"73"	"51"	"75"	"13"	"3"	"31"	"141"	"8"	"3"	"2"	"5"	"5"	"41"	"8"	"4"	"16"	"355"	"0"	"355"	"0"
"74"	"51 d"	"10"	"2"	"1"	"22"	"20"	"4"	"1"	"0"	"0"	"1"	"86"	"1"	"3"	"1"	"152"	"0"	"152"	"0"
"75"	"52"	"39"	"0"	"11"	"11"	"219"	"10"	"4"	"2"	"4"	"2"	"48"	"2"	"2"	"4"	"358"	"0"	"358"	"0"
"76"	"dqy%&"	"2371"	"947"	"900"	"3076"	"9352"	"275"	"193"	"123"	"180"	"128"	"1610"	"104"	"96"	"185"	"19540"	"0"	"19540"	"0"
"77"	"B.F."	"2371"	"947"	"900"	"3076"	"9352"	"275"	"193"	"123"	"180"	"128"	"1610"	"104"	"96"	"185"	"19540"	"0"	"19540"	"0"
"78"	"53"	"58"	"12"	"16"	"22"	"200"	"19"	"0"	"4"	"4"	"4"	"82"	"2"	"2"	"6"	"431"	"0"	"431"	"0"
"79"	"54"	"12"	"2"	"7"	"6"	"154"	"5"	"3"	"7"	"9"	"7"	"31"	"3"	"7"	"10"	"263"	"0"	"263"	"0"
"80"	"55"	"46"	"9"	"5"	"6"	"157"	"8"	"4"	"0"	"4"	"3"	"84"	"1"	"3"	"17"	"347"	"0"	"347"	"0"
"81"	"56"	"36"	"32"	"52"	"32"	"71"	"8"	"5"	"0"	"4"	"2"	"22"	"3"	"2"	"6"	"275"	"0"	"275"	"0"
"82"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"83"	"57"	"57"	"3"	"14"	"106"	"27"	"8"	"15"	"1"	"4"	"9"	"141"	"7"	"21"	"22"	"435"	"0"	"435"	"0"
"84"	"58"	"80"	"4"	"8"	"33"	"34"	"18"	"8"	"3"	"4"	"8"	"204"	"7"	"29"	"24"	"464"	"0"	"464"	"0"
"85"	"59"	"93"	"34"	"5"	"16"	"263"	"5"	"3"	"1"	"17"	"7"	"5"	"3"	"5"	"11"	"468"	"0"	"468"	"0"
"86"	"60"	"21"	"1"	"8"	"22"	"107"	"5"	"15"	"2"	"2"	"1"	"57"	"1"	"1"	"1"	"244"	"0"	"244"	"0"
"87"	"61"	"19"	"36"	"5"	"62"	"261"	"2"	"0"	"3"	"4"	"2"	"2"	"0"	"1"	"0"	"397"	"0"	"397"	"0"
"88"	"61 d"	"49"	"1"	"11"	"74"	"70"	"5"	"19"	"2"	"2"	"5"	"11"	"1"	"4"	"5"	"259"	"0"	"259"	"0"
"89"	"62"	"73"	"16"	"4"	"116"	"269"	"2"	"1"	"0"	"0"	"2"	"17"	"1"	"0"	"0"	"501"	"0"	"501"	"0"
"90"	"63"	"70"	"4"	"13"	"19"	"249"	"8"	"1"	"17"	"3"	"3"	"31"	"0"	"0"	"3"	"421"	"0"	"421"	"0"
"91"	"64"	"18"	"3"	"6"	"275"	"4"	"11"	"73"	"1"	"27"	"2"	"74"	"1"	"0"	"3"	"498"	"0"	"498"	"0"
"92"	"65"	"15"	"5"	"4"	"99"	"303"	"11"	"2"	"4"	"7"	"2"	"7"	"5"	"5"	"7"	"476"	"0"	"476"	"0"
"93"	"dqy%&"	"3018"	"1109"	"1058"	"3964"	"11521"	"390"	"342"	"168"	"271"	"185"	"2378"	"139"	"176"	"300"	"25019"	"0"	"25019"	"0"
"94"	"B.F."	"3018"	"1109"	"1058"	"3964"	"11521"	"390"	"342"	"168"	"271"	"185"	"2378"	"139"	"176"	"300"	"25019"	"0"	"25019"	"0"
"95"	"66"	"33"	"33"	"2"	"37"	"315"	"3"	"1"	"1"	"5"	"0"	"1"	"1"	"1"	"9"	"442"	"0"	"442"	"0"
"96"	"67"	"68"	"16"	"5"	"62"	"306"	"12"	"7"	"8"	"6"	"8"	"11"	"7"	"4"	"10"	"530"	"0"	"530"	"0"
"97"	"68"	"132"	"3"	"1"	"104"	"40"	"15"	"1"	"0"	"2"	"3"	"12"	"2"	"4"	"9"	"328"	"0"	"328"	"0"
"98"	"69"	"14"	"0"	"0"	"146"	"9"	"6"	"6"	"0"	"0"	"0"	"25"	"1"	"0"	"4"	"211"	"0"	"211"	"0"
"99"	"70"	"18"	"34"	"2"	"6"	"313"	"3"	"1"	"8"	"5"	"2"	"0"	"2"	"2"	"0"	"396"	"0"	"396"	"0"
"100"	"71"	"29"	"1"	"5"	"9"	"161"	"0"	"1"	"2"	"0"	"0"	"0"	"1"	"0"	"4"	"213"	"0"	"213"	"0"
"101"	"71 d"	"39"	"29"	"25"	"165"	"117"	"3"	"7"	"1"	"1"	"1"	"4"	"0"	"0"	"0"	"392"	"0"	"392"	"0"
"102"	"72"	"2"	"0"	"1"	"61"	"2"	"1"	"3"	"0"	"1"	"2"	"27"	"2"	"0"	"2"	"104"	"0"	"104"	"0"
"103"	"72 d"	"129"	"0"	"2"	"105"	"110"	"2"	"11"	"1"	"4"	"3"	"22"	"0"	"0"	"1"	"390"	"0"	"390"	"0"
"104"	"73"	"29"	"24"	"49"	"105"	"110"	"2"	"0"	"0"	"1"	"3"	"5"	"2"	"1"	"3"	"334"	"0"	"334"	"0"
"105"	"74"	"37"	"40"	"97"	"6"	"250"	"2"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"437"	"0"	"437"	"0"
"106"	"75"	"91"	"11"	"7"	"27"	"94"	"1"	"1"	"0"	"5"	"1"	"2"	"2"	"2"	"5"	"249"	"0"	"249"	"0"
"107"	"76"	"23"	"2"	"3"	"168"	"69"	"5"	"9"	"0"	"3"	"2"	"11"	"4"	"1"	"3"	"303"	"0"	"303"	"0"
"108"	"77"	"27"	"0"	"1"	"45"	"104"	"2"	"6"	"0"	"0"	"1"	"129"	"0"	"0"	"0"	"315"	"0"	"315"	"0"
"109"	"dqy%&"	"3689"	"1302"	"1258"	"5010"	"13521"	"447"	"396"	"189"	"305"	"212"	"2627"	"164"	"192"	"351"	"29663"	"0"	"29663"	"0"
"110"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"111"	"B.F."	"3689"	"1302"	"1258"	"5010"	"13521"	"447"	"396"	"189"	"305"	"212"	"2627"	"164"	"192"	"351"	"29663"	"0"	"29663"	"0"
"112"	"78"	"14"	"0"	"5"	"127"	"21"	"1"	"4"	"0"	"3"	"2"	"99"	"1"	"1"	"3"	"281"	"0"	"281"	"0"
"113"	"79"	"46"	"0"	"0"	"30"	"643"	"5"	"0"	"0"	"3"	"5"	"1"	"4"	"0"	"9"	"746"	"0"	"746"	"0"
"114"	"80"	"88"	"2"	"0"	"0"	"163"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"257"	"0"	"257"	"0"
"115"	"81"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"
"116"	"82"	"58"	"7"	"8"	"40"	"35"	"1"	"0"	"3"	"2"	"1"	"3"	"1"	"2"	"2"	"163"	"0"	"163"	"0"
"117"	"83"	"5"	"1"	"3"	"87"	"154"	"17"	"8"	"4"	"3"	"4"	"13"	"5"	"9"	"13"	"326"	"0"	"326"	"0"
"118"	"83 d"	"72"	"12"	"2"	"72"	"252"	"3"	"3"	"6"	"4"	"4"	"5"	"3"	"4"	"19"	"461"	"0"	"461"	"0"
"119"	"84"	"160"	"12"	"14"	"115"	"53"	"8"	"5"	"3"	"5"	"9"	"29"	"7"	"6"	"14"	"440"	"0"	"440"	"0"
"120"	"85"	"11"	"5"	"4"	"70"	"393"	"3"	"0"	"1"	"2"	"2"	"11"	"1"	"1"	"6"	"510"	"0"	"510"	"0"
"121"	"86"	"73"	"3"	"5"	"201"	"4"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"292"	"0"	"292"	"0"
"122"	"86 d"	"3"	"1"	"3"	"468"	"1"	"1"	"5"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"487"	"0"	"487"	"0"
"123"	"87"	"40"	"13"	"0"	"11"	"63"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"3"	"3"	"137"	"0"	"137"	"0"
"124"	"88"	"7"	"6"	"5"	"101"	"165"	"0"	"10"	"1"	"1"	"0"	"5"	"0"	"2"	"2"	"305"	"0"	"305"	"0"
"125"	"88 d"	"70"	"4"	"9"	"77"	"118"	"3"	"1"	"0"	"1"	"1"	"2"	"3"	"3"	"1"	"293"	"0"	"293"	"0"
"126"	"dqy%&"	"4336"	"1368"	"1316"	"6410"	"15586"	"492"	"436"	"208"	"331"	"240"	"2801"	"190"	"225"	"423"	"34362"	"0"	"34362"	"0"
"127"	"B.F."	"4336"	"1368"	"1316"	"6410"	"15586"	"492"	"436"	"208"	"331"	"240"	"2801"	"190"	"225"	"423"	"34362"	"0"	"34362"	"0"
"128"	"89"	"90"	"7"	"2"	"67"	"251"	"3"	"0"	"3"	"3"	"0"	"2"	"0"	"1"	"4"	"433"	"0"	"433"	"0"
"129"	"90"	"39"	"91"	"6"	"70"	"128"	"6"	"4"	"8"	"2"	"2"	"9"	"2"	"1"	"3"	"371"	"0"	"371"	"0"
"130"	"91"	"97"	"65"	"2"	"158"	"172"	"0"	"11"	"0"	"0"	"0"	"7"	"0"	"4"	"2"	"518"	"0"	"518"	"0"
"131"	"92"	"156"	"19"	"1"	"19"	"8"	"0"	"5"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"211"	"0"	"211"	"0"
"132"	"93"	"59"	"33"	"6"	"198"	"148"	"2"	"2"	"1"	"0"	"1"	"1"	"1"	"6"	"2"	"460"	"0"	"460"	"0"
"133"	"94"	"50"	"7"	"7"	"61"	"55"	"2"	"1"	"1"	"2"	"0"	"1"	"2"	"4"	"7"	"200"	"0"	"200"	"0"
"134"	"94 d"	"29"	"4"	"1"	"142"	"84"	"3"	"2"	"5"	"8"	"5"	"3"	"1"	"8"	"20"	"315"	"0"	"315"	"0"
"135"	"95"	"103"	"2"	"0"	"260"	"8"	"1"	"3"	"0"	"0"	"0"	"10"	"0"	"0"	"0"	"387"	"0"	"387"	"0"
"136"	"96"	"98"	"7"	"15"	"99"	"259"	"4"	"3"	"4"	"9"	"11"	"5"	"8"	"6"	"7"	"535"	"0"	"535"	"0"
"137"	"97"	"54"	"0"	"0"	"14"	"554"	"3"	"1"	"1"	"2"	"0"	"0"	"0"	"1"	"2"	"632"	"0"	"632"	"0"
"138"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"139"	"98"	"112"	"32"	"0"	"28"	"306"	"4"	"2"	"2"	"3"	"8"	"1"	"1"	"0"	"2"	"501"	"0"	"501"	"0"
"140"	"99"	"39"	"47"	"2"	"91"	"193"	"1"	"0"	"1"	"3"	"1"	"1"	"0"	"0"	"4"	"383"	"0"	"383"	"0"
"141"	"100"	"8"	"2"	"7"	"176"	"124"	"8"	"6"	"13"	"3"	"8"	"60"	"6"	"3"	"6"	"430"	"0"	"430"	"0"
"142"	"101"	"43"	"0"	"0"	"15"	"401"	"1"	"3"	"8"	"1"	"2"	"2"	"0"	"1"	"1"	"478"	"0"	"478"	"0"
"143"	"dqy%&"	"5313"	"1684"	"1365"	"7808"	"18277"	"530"	"479"	"255"	"367"	"278"	"2903"	"212"	"261"	"484"	"40216"	"0"	"40216"	"0"
"144"	"B.F."	"5313"	"1684"	"1365"	"7808"	"18277"	"530"	"479"	"255"	"367"	"278"	"2903"	"212"	"261"	"484"	"40216"	"0"	"40216"	"0"
"145"	"102"	"25"	"1"	"5"	"225"	"67"	"7"	"0"	"1"	"2"	"4"	"32"	"4"	"3"	"8"	"384"	"0"	"384"	"0"
"146"	"103"	"37"	"17"	"3"	"42"	"624"	"6"	"1"	"0"	"3"	"0"	"2"	"0"	"0"	"6"	"741"	"0"	"741"	"0"
"147"	"104"	"32"	"64"	"6"	"96"	"89"	"3"	"0"	"1"	"2"	"3"	"10"	"4"	"4"	"4"	"318"	"0"	"318"	"0"
"148"	"105"	"69"	"153"	"7"	"133"	"93"	"4"	"4"	"3"	"6"	"4"	"8"	"1"	"4"	"8"	"497"	"0"	"497"	"0"
"149"	"106"	"25"	"0"	"0"	"1"	"388"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"415"	"0"	"415"	"0"
"150"	"107"	"80"	"4"	"6"	"95"	"130"	"2"	"6"	"3"	"3"	"5"	"3"	"2"	"4"	"5"	"348"	"0"	"348"	"0"
"151"	"108"	"84"	"108"	"5"	"63"	"87"	"7"	"2"	"0"	"1"	"1"	"2"	"6"	"1"	"5"	"372"	"0"	"372"	"0"
"152"	"109"	"55"	"0"	"1"	"211"	"41"	"0"	"1"	"0"	"1"	"0"	"7"	"0"	"2"	"1"	"320"	"0"	"320"	"0"
"153"	"110"	"53"	"5"	"1"	"91"	"55"	"3"	"1"	"0"	"1"	"1"	"6"	"1"	"2"	"0"	"220"	"0"	"220"	"0"
"154"	"111"	"9"	"26"	"2"	"111"	"277"	"5"	"2"	"3"	"1"	"2"	"2"	"1"	"0"	"2"	"443"	"0"	"443"	"0"
"155"	"111 d"	"2"	"1"	"2"	"22"	"67"	"2"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"102"	"0"	"102"	"0"
"156"	"112"	"63"	"76"	"4"	"63"	"107"	"3"	"2"	"2"	"5"	"4"	"3"	"0"	"6"	"6"	"344"	"0"	"344"	"0"
"157"	"113"	"10"	"0"	"1"	"13"	"518"	"1"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"3"	"551"	"0"	"551"	"0"
"158"	"114"	"106"	"2"	"0"	"91"	"139"	"3"	"60"	"0"	"0"	"1"	"18"	"0"	"2"	"1"	"423"	"0"	"423"	"0"
"159"	"dqy%&"	"5963"	"2141"	"1408"	"9065"	"20959"	"577"	"560"	"272"	"394"	"303"	"2996"	"232"	"290"	"534"	"45694"	"0"	"45694"	"0"
"160"	"B.F."	"5963"	"2141"	"1408"	"9065"	"20959"	"577"	"560"	"272"	"394"	"303"	"2996"	"232"	"290"	"534"	"45694"	"0"	"45694"	"0"
"161"	"115"	"1"	"0"	"2"	"170"	"88"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"271"	"0"	"271"	"0"
"162"	"116"	"1"	"0"	"1"	"46"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"53"	"0"	"53"	"0"
"163"	"116 d"	"12"	"0"	"2"	"170"	"52"	"1"	"1"	"1"	"1"	"1"	"4"	"2"	"2"	"3"	"252"	"0"	"252"	"0"
"164"	"117"	"42"	"5"	"6"	"191"	"33"	"4"	"0"	"0"	"2"	"0"	"1"	"1"	"2"	"4"	"291"	"0"	"291"	"0"
"165"	"118"	"98"	"1"	"3"	"95"	"51"	"1"	"1"	"0"	"7"	"1"	"0"	"0"	"1"	"1"	"260"	"0"	"260"	"0"
"166"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
