"Total.No..of.Electors.in.Asembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"19"	"12"	"10"	"193"	"59"	"8"	"11"	"107"	"7"	"11"	"13"	"409"	"-"	"409"	""
"20"	"13"	"11"	"104"	"39"	"6"	"4"	"252"	"12"	"7"	"7"	"431"	"-"	"431"	""
"21"	"14"	"12"	"28"	"9"	"1"	"8"	"219"	"20"	"8"	"13"	"306"	"-"	"306"	""
"22"	"15"	"13"	"182"	"35"	"2"	"8"	"26"	"4"	"2"	"10"	"269"	"-"	"269"	""
"23"	"16"	"13A"	"110"	"12"	"2"	"5"	"89"	"8"	"9"	"9"	"244"	"-"	"244"	""
"24"	"17"	"14"	"92"	"41"	"11"	"13"	"260"	"20"	"10"	"21"	"468"	"-"	"468"	""
"25"	"18"	"15"	"33"	"23"	"10"	"21"	"327"	"22"	"19"	"20"	"475"	"-"	"475"	""
"26"	"19"	"16"	"165"	"8"	"6"	"18"	"247"	"16"	"7"	"19"	"486"	"-"	"486"	""
"27"	"20"	"17"	"106"	"21"	"10"	"11"	"236"	"21"	"12"	"15"	"432"	"-"	"432"	""
"28"	"21"	"18"	"23"	"11"	"2"	"6"	"254"	"5"	"3"	"4"	"308"	"-"	"308"	""
"29"	"22"	"19"	"85"	"74"	"9"	"13"	"236"	"20"	"12"	"16"	"465"	"-"	"465"	""
"30"	"23"	"20"	"190"	"122"	"15"	"14"	"106"	"7"	"7"	"12"	"473"	"-"	"473"	""
"31"	"24"	"21"	"55"	"35"	"5"	"8"	"203"	"10"	"10"	"15"	"341"	"-"	"341"	""
"32"	"25"	"21A"	"53"	"11"	"4"	"6"	"144"	"3"	"7"	"5"	"233"	"-"	"233"	""
"33"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"34"	""	""	"Narendra Kumar Singh"	"Pramod Kumar Jha"	"Bishwanath Mandal"	"Satya Narayan Mukhia"	"Hare Krishna Yadav"	"Sushil Kumar Choudhary"	"Md. Afatab Alam"	"Sunita Devi"	""	""	""	""
"35"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"36"	"26"	"22"	"157"	"20"	"6"	"15"	"204"	"22"	"9"	"28"	"461"	"-"	"461"	""
"37"	"27"	"23"	"25"	"24"	"1"	"14"	"384"	"19"	"12"	"15"	"494"	"-"	"494"	""
"38"	"28"	"24"	"91"	"100"	"1"	"3"	"31"	"5"	"8"	"52"	"291"	"-"	"291"	""
"39"	"29"	"24A"	"65"	"9"	"1"	"0"	"63"	"5"	"1"	"22"	"166"	"-"	"166"	""
"40"	"30"	"25"	"60"	"50"	"6"	"18"	"211"	"17"	"5"	"55"	"422"	"-"	"422"	""
"41"	"31"	"26"	"301"	"13"	"5"	"15"	"312"	"15"	"8"	"29"	"698"	"-"	"698"	""
"42"	"32"	"27"	"248"	"19"	"3"	"9"	"134"	"14"	"14"	"26"	"467"	"-"	"467"	""
"43"	"33"	"27A"	"131"	"9"	"5"	"6"	"54"	"1"	"3"	"6"	"215"	"-"	"215"	""
"44"	"34"	"28"	"205"	"50"	"7"	"23"	"251"	"24"	"10"	"24"	"594"	"-"	"594"	""
"45"	"35"	"29"	"98"	"25"	"7"	"21"	"140"	"10"	"2"	"9"	"312"	"-"	"312"	""
"46"	"36"	"30"	"199"	"74"	"4"	"7"	"85"	"15"	"8"	"34"	"426"	"-"	"426"	""
"47"	"37"	"31"	"121"	"68"	"5"	"8"	"103"	"9"	"9"	"19"	"342"	"-"	"342"	""
"48"	"38"	"31A"	"83"	"20"	"3"	"3"	"153"	"9"	"4"	"17"	"292"	"-"	"292"	""
"49"	"39"	"32"	"48"	"51"	"5"	"10"	"179"	"6"	"14"	"31"	"344"	"-"	"344"	""
"50"	"40"	"33"	"59"	"38"	"4"	"9"	"147"	"8"	"6"	"13"	"284"	"-"	"284"	""
"51"	"41"	"34"	"67"	"57"	"13"	"9"	"172"	"5"	"10"	"21"	"354"	"-"	"354"	""
"52"	"42"	"35"	"80"	"6"	"3"	"18"	"140"	"17"	"9"	"40"	"313"	"-"	"313"	""
"53"	"43"	"36"	"28"	"12"	"2"	"8"	"349"	"9"	"4"	"35"	"447"	"-"	"447"	""
"54"	"44"	"37"	"21"	"51"	"1"	"12"	"217"	"16"	"15"	"46"	"379"	"-"	"379"	""
"55"	"45"	"38"	"96"	"29"	"9"	"138"	"101"	"12"	"20"	"116"	"521"	"-"	"521"	""
"56"	"46"	"38A"	"16"	"1"	"1"	"6"	"53"	"3"	"3"	"16"	"99"	"-"	"99"	""
"57"	"47"	"39"	"118"	"44"	"8"	"24"	"157"	"17"	"64"	"118"	"550"	"-"	"550"	""
"58"	"48"	"40"	"123"	"30"	"5"	"6"	"193"	"5"	"8"	"48"	"418"	"-"	"418"	""
"59"	"49"	"41"	"223"	"29"	"10"	"5"	"37"	"5"	"11"	"46"	"366"	"-"	"366"	""
"60"	"50"	"41A"	"136"	"25"	"6"	"6"	"92"	"9"	"12"	"101"	"387"	"-"	"387"	""
"61"	"51"	"42"	"83"	"26"	"10"	"31"	"237"	"19"	"22"	"40"	"468"	"-"	"468"	""
"62"	"52"	"43"	"194"	"32"	"6"	"9"	"159"	"11"	"4"	"38"	"453"	"-"	"453"	""
"63"	"53"	"44"	"109"	"3"	"1"	"8"	"104"	"6"	"2"	"12"	"245"	"-"	"245"	""
"64"	"54"	"45"	"24"	"5"	"1"	"11"	"178"	"7"	"4"	"9"	"239"	"-"	"239"	""
"65"	"55"	"45A"	"22"	"16"	"4"	"5"	"272"	"10"	"2"	"23"	"354"	"-"	"354"	""
"66"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"67"	""	""	"Narendra Kumar Singh"	"Pramod Kumar Jha"	"Bishwanath Mandal"	"Satya Narayan Mukhia"	"Hare Krishna Yadav"	"Sushil Kumar Choudhary"	"Md. Afatab Alam"	"Sunita Devi"	""	""	""	""
"68"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"69"	"56"	"46"	"151"	"18"	"3"	"7"	"152"	"5"	"8"	"32"	"376"	"-"	"376"	""
"70"	"57"	"47"	"198"	"29"	"11"	"47"	"58"	"10"	"12"	"33"	"398"	"-"	"398"	""
"71"	"58"	"48"	"177"	"29"	"1"	"2"	"16"	"0"	"0"	"6"	"231"	"-"	"231"	""
"72"	"59"	"49"	"18"	"116"	"6"	"7"	"105"	"5"	"3"	"9"	"269"	"-"	"269"	""
"73"	"60"	"50"	"57"	"58"	"8"	"16"	"91"	"2"	"7"	"15"	"254"	"-"	"254"	""
"74"	"61"	"51"	"83"	"53"	"8"	"13"	"310"	"13"	"5"	"17"	"502"	"-"	"502"	""
"75"	"62"	"52"	"33"	"65"	"10"	"27"	"162"	"22"	"13"	"49"	"381"	"-"	"381"	""
"76"	"63"	"53"	"59"	"10"	"10"	"9"	"114"	"14"	"4"	"10"	"230"	"-"	"230"	""
"77"	"64"	"54"	"338"	"181"	"9"	"16"	"59"	"5"	"12"	"20"	"640"	"-"	"640"	""
"78"	"65"	"55"	"94"	"18"	"6"	"10"	"136"	"9"	"8"	"16"	"297"	"-"	"297"	""
"79"	"66"	"56"	"28"	"17"	"8"	"4"	"281"	"23"	"8"	"11"	"380"	"-"	"380"	""
"80"	"67"	"57"	"136"	"20"	"5"	"29"	"228"	"13"	"5"	"102"	"538"	"-"	"538"	""
"81"	"68"	"58"	"233"	"32"	"4"	"8"	"118"	"7"	"8"	"54"	"464"	"-"	"464"	""
"82"	"69"	"59"	"146"	"46"	"11"	"53"	"200"	"14"	"13"	"35"	"518"	"-"	"518"	""
"83"	"70"	"60"	"179"	"22"	"8"	"96"	"92"	"16"	"19"	"63"	"495"	"-"	"495"	""
"84"	"71"	"61"	"79"	"145"	"21"	"16"	"132"	"12"	"15"	"26"	"446"	"-"	"446"	""
"85"	"72"	"62"	"131"	"163"	"16"	"20"	"142"	"10"	"13"	"33"	"528"	"-"	"528"	""
"86"	"73"	"63"	"51"	"116"	"10"	"68"	"218"	"14"	"16"	"30"	"523"	"-"	"523"	""
"87"	"74"	"64"	"70"	"22"	"13"	"13"	"221"	"22"	"10"	"23"	"394"	"-"	"394"	""
"88"	"75"	"65"	"148"	"136"	"14"	"38"	"166"	"20"	"8"	"24"	"554"	"-"	"554"	""
"89"	"76"	"66"	"16"	"62"	"5"	"10"	"102"	"13"	"10"	"28"	"246"	"-"	"246"	""
"90"	"77"	"67"	"59"	"146"	"5"	"2"	"28"	"7"	"16"	"13"	"276"	"-"	"276"	""
"91"	"78"	"67A"	"86"	"110"	"10"	"5"	"113"	"17"	"8"	"15"	"364"	"-"	"364"	""
"92"	"79"	"68"	"28"	"218"	"18"	"11"	"59"	"4"	"13"	"13"	"364"	"-"	"364"	""
"93"	"80"	"69"	"156"	"20"	"4"	"6"	"100"	"13"	"4"	"46"	"349"	"-"	"349"	""
"94"	"81"	"70"	"196"	"52"	"3"	"5"	"108"	"8"	"9"	"94"	"475"	"-"	"475"	""
"95"	"82"	"71"	"298"	"17"	"3"	"6"	"114"	"13"	"12"	"130"	"593"	"-"	"593"	""
"96"	"83"	"72"	"213"	"65"	"14"	"7"	"47"	"9"	"13"	"23"	"391"	"-"	"391"	""
"97"	"84"	"72A"	"247"	"45"	"8"	"14"	"65"	"5"	"0"	"19"	"403"	"-"	"403"	""
"98"	"85"	"73"	"283"	"123"	"17"	"81"	"51"	"5"	"9"	"37"	"606"	"-"	"606"	""
"99"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"100"	""	""	"Narendra Kumar Singh"	"Pramod Kumar Jha"	"Bishwanath Mandal"	"Satya Narayan Mukhia"	"Hare Krishna Yadav"	"Sushil Kumar Choudhary"	"Md. Afatab Alam"	"Sunita Devi"	""	""	""	""
"101"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"102"	"86"	"74"	"235"	"52"	"11"	"4"	"10"	"5"	"7"	"57"	"381"	"-"	"381"	""
"103"	"87"	"75"	"344"	"9"	"6"	"4"	"11"	"6"	"14"	"44"	"438"	"-"	"438"	""
"104"	"88"	"76"	"22"	"50"	"4"	"69"	"151"	"7"	"9"	"15"	"327"	"-"	"327"	""
"105"	"89"	"76A"	"22"	"70"	"8"	"81"	"115"	"10"	"6"	"28"	"340"	"-"	"340"	""
"106"	"90"	"77"	"172"	"35"	"10"	"8"	"223"	"15"	"9"	"24"	"496"	"-"	"496"	""
"107"	"91"	"78"	"257"	"12"	"2"	"9"	"114"	"7"	"8"	"23"	"432"	"-"	"432"	""
"108"	"92"	"79"	"112"	"61"	"2"	"7"	"56"	"5"	"1"	"45"	"289"	"-"	"289"	""
"109"	"93"	"79A"	"119"	"91"	"4"	"5"	"78"	"7"	"8"	"31"	"343"	"-"	"343"	""
"110"	"94"	"80"	"36"	"455"	"9"	"0"	"4"	"2"	"4"	"4"	"514"	"-"	"514"	""
"111"	"95"	"81"	"25"	"439"	"20"	"5"	"70"	"4"	"10"	"7"	"580"	"-"	"580"	""
"112"	"96"	"82"	"63"	"377"	"19"	"114"	"143"	"7"	"16"	"18"	"757"	"-"	"757"	""
"113"	"97"	"83"	"54"	"186"	"12"	"12"	"109"	"11"	"4"	"12"	"400"	"-"	"400"	""
"114"	"98"	"83A"	"23"	"198"	"12"	"7"	"183"	"12"	"3"	"13"	"451"	"-"	"451"	""
"115"	"99"	"84"	"267"	"49"	"6"	"13"	"201"	"21"	"7"	"15"	"579"	"-"	"579"	""
"116"	"100"	"85"	"67"	"23"	"8"	"13"	"333"	"25"	"10"	"14"	"493"	"-"	"493"	""
"117"	"101"	"86"	"77"	"9"	"10"	"11"	"424"	"27"	"8"	"21"	"587"	"-"	"587"	""
"118"	"102"	"87"	"42"	"9"	"7"	"18"	"245"	"15"	"4"	"8"	"348"	"-"	"348"	""
"119"	"103"	"88"	"18"	"26"	"1"	"5"	"167"	"15"	"10"	"19"	"261"	"-"	"261"	""
"120"	"104"	"88A"	"46"	"51"	"5"	"4"	"289"	"6"	"6"	"27"	"434"	"-"	"434"	""
"121"	"105"	"89"	"38"	"6"	"2"	"10"	"278"	"17"	"4"	"23"	"378"	"-"	"378"	""
"122"	"106"	"90"	"161"	"93"	"10"	"6"	"98"	"3"	"8"	"18"	"397"	"-"	"397"	""
"123"	"107"	"91"	"97"	"36"	"5"	"18"	"134"	"11"	"12"	"24"	"337"	"-"	"337"	""
"124"	"108"	"92"	"165"	"25"	"4"	"15"	"218"	"12"	"8"	"20"	"467"	"-"	"467"	""
"125"	"109"	"93"	"199"	"13"	"4"	"5"	"145"	"6"	"11"	"18"	"401"	"-"	"401"	""
"126"	"110"	"93A"	"102"	"11"	"5"	"4"	"116"	"12"	"6"	"8"	"264"	"-"	"264"	""
"127"	"111"	"94"	"223"	"12"	"12"	"28"	"222"	"19"	"9"	"20"	"545"	"-"	"545"	""
"128"	"112"	"95"	"42"	"6"	"5"	"21"	"393"	"15"	"8"	"10"	"500"	"-"	"500"	""
"129"	"113"	"96"	"17"	"11"	"3"	"13"	"368"	"31"	"8"	"22"	"473"	"-"	"473"	""
"130"	"114"	"97"	"5"	"4"	"1"	"8"	"367"	"9"	"2"	"6"	"402"	"-"	"402"	""
"131"	"115"	"97A"	"8"	"1"	"1"	"4"	"247"	"12"	"3"	"10"	"286"	"-"	"286"	""
"132"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"133"	""	""	"Narendra Kumar Singh"	"Pramod Kumar Jha"	"Bishwanath Mandal"	"Satya Narayan Mukhia"	"Hare Krishna Yadav"	"Sushil Kumar Choudhary"	"Md. Afatab Alam"	"Sunita Devi"	""	""	""	""
"134"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"135"	"116"	"98"	"10"	"4"	"1"	"3"	"265"	"11"	"6"	"7"	"307"	"-"	"307"	""
"136"	"117"	"99"	"36"	"5"	"4"	"11"	"557"	"24"	"6"	"8"	"651"	"-"	"651"	""
"137"	"118"	"100"	"92"	"63"	"2"	"14"	"141"	"9"	"4"	"27"	"352"	"-"	"352"	""
"138"	"119"	"100A"	"47"	"171"	"10"	"36"	"60"	"7"	"18"	"20"	"369"	"-"	"369"	""
"139"	"120"	"101"	"140"	"7"	"5"	"4"	"128"	"11"	"2"	"10"	"307"	"-"	"307"	""
"140"	"121"	"101A"	"53"	"44"	"6"	"9"	"164"	"10"	"9"	"32"	"327"	"-"	"327"	""
"141"	"122"	"102"	"52"	"3"	"4"	"4"	"130"	"6"	"6"	"12"	"217"	"-"	"217"	""
"142"	"123"	"102A"	"237"	"7"	"3"	"9"	"117"	"8"	"7"	"26"	"414"	"-"	"414"	""
"143"	"124"	"103"	"158"	"12"	"5"	"16"	"173"	"18"	"7"	"11"	"400"	"-"	"400"	""
"144"	"125"	"104"	"98"	"7"	"3"	"5"	"203"	"12"	"2"	"8"	"338"	"-"	"338"	""
"145"	"126"	"105"	"426"	"81"	"10"	"4"	"19"	"13"	"2"	"17"	"572"	"-"	"572"	""
"146"	"127"	"105A"	"133"	"38"	"3"	"28"	"10"	"3"	"9"	"9"	"233"	"-"	"233"	""
"147"	"128"	"106"	"366"	"49"	"5"	"26"	"96"	"16"	"12"	"33"	"603"	"-"	"603"	""
"148"	"129"	"107"	"60"	"116"	"16"	"17"	"145"	"20"	"18"	"25"	"417"	"-"	"417"	""
"149"	"130"	"108"	"54"	"45"	"8"	"15"	"169"	"20"	"8"	"28"	"347"	"-"	"347"	""
"150"	"131"	"109"	"134"	"41"	"6"	"46"	"9"	"1"	"2"	"6"	"245"	"-"	"245"	""
"151"	"132"	"109A"	"379"	"9"	"7"	"64"	"38"	"4"	"4"	"13"	"518"	"-"	"518"	""
"152"	"133"	"110"	"59"	"50"	"15"	"29"	"161"	"16"	"15"	"41"	"386"	"-"	"386"	""
"153"	"134"	"111"	"23"	"41"	"14"	"24"	"189"	"18"	"10"	"19"	"338"	"-"	"338"	""
"154"	"135"	"112"	"184"	"5"	"2"	"12"	"155"	"13"	"13"	"20"	"404"	"-"	"404"	""
"155"	"136"	"113"	"20"	"36"	"4"	"10"	"156"	"21"	"26"	"29"	"302"	"-"	"302"	""
"156"	"137"	"114"	"212"	"7"	"2"	"5"	"162"	"13"	"11"	"32"	"444"	"-"	"444"	""
"157"	"138"	"115"	"230"	"78"	"5"	"28"	"57"	"7"	"11"	"5"	"421"	"-"	"421"	""
"158"	"139"	"116"	"275"	"65"	"4"	"42"	"44"	"4"	"7"	"19"	"460"	"-"	"460"	""
"159"	"140"	"116A"	"278"	"40"	"1"	"9"	"8"	"0"	"1"	"8"	"345"	"-"	"345"	""
"160"	"141"	"117"	"328"	"72"	"4"	"9"	"47"	"5"	"8"	"17"	"490"	"-"	"490"	""
"161"	"142"	"118"	"303"	"43"	"8"	"46"	"24"	"6"	"5"	"17"	"452"	"-"	"452"	""
"162"	"143"	"119"	"85"	"36"	"11"	"42"	"366"	"28"	"17"	"29"	"614"	"-"	"614"	""
"163"	"144"	"120"	"56"	"179"	"13"	"19"	"88"	"6"	"5"	"12"	"378"	"-"	"378"	""
"164"	"145"	"121"	"326"	"65"	"5"	"26"	"18"	"6"	"7"	"11"	"464"	"-"	"464"	""
"165"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"166"	""	""	"Narendra Kumar Singh"	"Pramod Kumar Jha"	"Bishwanath Mandal"	"Satya Narayan Mukhia"	"Hare Krishna Yadav"	"Sushil Kumar Choudhary"	"Md. Afatab Alam"	"Sunita Devi"	""	""	""	""
"167"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"168"	"146"	"122"	"99"	"226"	"9"	"9"	"70"	"9"	"7"	"27"	"456"	"-"	"456"	""
"169"	"147"	"122A"	"24"	"311"	"11"	"5"	"34"	"4"	"4"	"9"	"402"	"-"	"402"	""
"170"	"148"	"123"	"21"	"118"	"5"	"2"	"23"	"3"	"3"	"15"	"190"	"-"	"190"	""
"171"	"149"	"123A"	"28"	"517"	"16"	"18"	"33"	"10"	"18"	"31"	"671"	"-"	"671"	""
"172"	"150"	"124"	"365"	"128"	"13"	"28"	"27"	"4"	"8"	"33"	"606"	"-"	"606"	""
"173"	"151"	"125"	"103"	"66"	"3"	"9"	"18"	"2"	"6"	"4"	"211"	"-"	"211"	""
"174"	"152"	"125A"	"188"	"103"	"10"	"10"	"126"	"7"	"2"	"18"	"464"	"-"	"464"	""
"175"	"153"	"126"	"30"	"111"	"6"	"6"	"136"	"6"	"13"	"31"	"339"	"-"	"339"	""
"176"	"154"	"127"	"55"	"80"	"10"	"7"	"119"	"11"	"12"	"21"	"315"	"-"	"315"	""
"177"	"155"	"128"	"65"	"137"	"4"	"6"	"79"	"4"	"14"	"15"	"324"	"-"	"324"	""
"178"	"156"	"129"	"82"	"124"	"5"	"5"	"57"	"7"	"12"	"27"	"319"	"-"	"319"	""
"179"	"157"	"130"	"19"	"75"	"3"	"7"	"211"	"9"	"8"	"13"	"345"	"-"	"345"	""
"180"	"158"	"131"	"178"	"32"	"2"	"2"	"17"	"3"	"6"	"33"	"273"	"-"	"273"	""
"181"	"159"	"132"	"398"	"87"	"8"	"17"	"27"	"3"	"17"	"62"	"619"	"-"	"619"	""
"182"	"160"	"133"	"449"	"32"	"3"	"34"	"80"	"8"	"4"	"28"	"638"	"-"	"638"	""
"183"	"161"	"134"	"87"	"15"	"11"	"58"	"191"	"24"	"14"	"19"	"419"	"-"	"419"	""
"184"	"162"	"135"	"16"	"2"	"3"	"21"	"250"	"17"	"9"	"33"	"351"	"-"	"351"	""
"185"	"163"	"135A"	"32"	"34"	"4"	"10"	"62"	"9"	"9"	"19"	"179"	"-"	"179"	""
"186"	"164"	"136"	"20"	"34"	"15"	"102"	"152"	"14"	"18"	"42"	"397"	"-"	"397"	""
"187"	"165"	"137"	"14"	"1"	"4"	"20"	"261"	"18"	"8"	"30"	"356"	"-"	"356"	""
"188"	"166"	"137A"	"7"	"0"	"0"	"7"	"76"	"1"	"1"	"5"	"97"	"-"	"97"	""
"189"	"167"	"138"	"87"	"74"	"1"	"2"	"17"	"1"	"2"	"10"	"194"	"-"	"194"	""
"190"	"168"	"138A"	"52"	"34"	"2"	"4"	"24"	"3"	"0"	"18"	"137"	"-"	"137"	""
"191"	"169"	"139"	"124"	"53"	"4"	"0"	"28"	"3"	"4"	"28"	"244"	"-"	"244"	""
"192"	"170"	"140"	"139"	"81"	"9"	"16"	"91"	"11"	"13"	"23"	"383"	"-"	"383"	""
"193"	"171"	"141"	"81"	"54"	"2"	"4"	"9"	"3"	"4"	"28"	"185"	"-"	"185"	""
"194"	"172"	"142"	"77"	"111"	"4"	"4"	"130"	"9"	"8"	"12"	"355"	"-"	"355"	""
"195"	"173"	"143"	"146"	"116"	"6"	"11"	"71"	"10"	"16"	"24"	"400"	"-"	"400"	""
"196"	"174"	"144"	"22"	"110"	"8"	"10"	"91"	"6"	"5"	"12"	"264"	"-"	"264"	""
"197"	"175"	"145"	"87"	"42"	"3"	"18"	"98"	"4"	"1"	"29"	"282"	"-"	"282"	""
"198"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"199"	""	""	"Narendra Kumar Singh"	"Pramod Kumar Jha"	"Bishwanath Mandal"	"Satya Narayan Mukhia"	"Hare Krishna Yadav"	"Sushil Kumar Choudhary"	"Md. Afatab Alam"	"Sunita Devi"	""	""	""	""
"200"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"201"	"176"	"146"	"131"	"95"	"9"	"6"	"92"	"9"	"4"	"23"	"369"	"-"	"369"	""
"202"	"177"	"146A"	"86"	"28"	"5"	"2"	"65"	"6"	"5"	"24"	"221"	"-"	"221"	""
"203"	"178"	"147"	"184"	"145"	"5"	"5"	"55"	"8"	"18"	"53"	"473"	"-"	"473"	""
"204"	"179"	"148"	"87"	"116"	"13"	"45"	"168"	"10"	"15"	"37"	"491"	"-"	"491"	""
"205"	"180"	"149"	"97"	"56"	"8"	"39"	"39"	"13"	"12"	"58"	"322"	"-"	"322"	""
"206"	"181"	"150"	"83"	"7"	"3"	"3"	"125"	"6"	"1"	"10"	"238"	"-"	"238"	""
"207"	"182"	"151"	"96"	"29"	"11"	"50"	"209"	"13"	"16"	"31"	"455"	"-"	"455"	""
"208"	"183"	"152"	"154"	"22"	"6"	"14"	"184"	"15"	"12"	"17"	"424"	"-"	"424"	""
"209"	"184"	"153"	"69"	"18"	"7"	"36"	"166"	"16"	"12"	"34"	"358"	"-"	"358"	""
"210"	"185"	"154"	"25"	"92"	"4"	"9"	"234"	"11"	"10"	"15"	"400"	"-"	"400"	""
"211"	"186"	"155"	"18"	"31"	"6"	"9"	"255"	"11"	"6"	"12"	"348"	"-"	"348"	""
"212"	"187"	"156"	"79"	"19"	"4"	"7"	"196"	"8"	"4"	"46"	"363"	"-"	"363"	""
"213"	"188"	"156A"	"79"	"31"	"1"	"5"	"9"	"2"	"5"	"19"	"151"	"-"	"151"	""
"214"	"189"	"157"	"85"	"87"	"1"	"10"	"96"	"19"	"10"	"31"	"339"	"-"	"339"	""
"215"	"190"	"158"	"46"	"14"	"1"	"8"	"199"	"12"	"11"	"23"	"314"	"-"	"314"	""
"216"	"191"	"159"	"8"	"41"	"3"	"1"	"381"	"10"	"9"	"9"	"462"	"-"	"462"	""
"217"	"192"	"160"	"305"	"104"	"12"	"13"	"101"	"16"	"12"	"18"	"581"	"-"	"581"	""
"218"	"193"	"161"	"334"	"48"	"1"	"5"	"9"	"3"	"1"	"46"	"447"	"-"	"447"	""
"219"	"194"	"162"	"237"	"19"	"3"	"0"	"37"	"1"	"5"	"20"	"322"	"-"	"322"	""
"220"	"195"	"162A"	"109"	"68"	"6"	"5"	"31"	"5"	"2"	"10"	"236"	"-"	"236"	""
"221"	"196"	"163"	"92"	"126"	"5"	"10"	"126"	"8"	"5"	"15"	"387"	"-"	"387"	""
"222"	"197"	"164"	"130"	"40"	"9"	"14"	"77"	"6"	"11"	"23"	"310"	"-"	"310"	""
"223"	"198"	"165"	"99"	"19"	"4"	"9"	"121"	"4"	"6"	"14"	"276"	"-"	"276"	""
"224"	"199"	"166"	"27"	"2"	"1"	"10"	"314"	"7"	"7"	"13"	"381"	"-"	"381"	""
"225"	"200"	"167"	"32"	"68"	"5"	"10"	"269"	"13"	"4"	"2"	"403"	"-"	"403"	""
