"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"34"	""	"ANIL KUMAR SINGH"	"RAJEEV KUMAR SINGH"	"SHAKUNI CHAUDHARY"	"SANJAY KUMAR SINGH"	"DEO PRAKASH SINGH"	"BHARAT MANDAL"	"TOTAL OF VALID VOTES"	"NO.OF REJ. VOTES"	"TOTAL"	""
"35"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"36"	"B/F"	"847"	"1684"	"2198"	"147"	"89"	"160"	"5125"	""	"5125"	"0"
"37"	"14"	"15"	"42"	"410"	"11"	"3"	"5"	"486"	""	"486"	""
"38"	"15"	"8"	"112"	"223"	"8"	"9"	"15"	"375"	""	"375"	""
"39"	"16"	"28"	"243"	"76"	"7"	"4"	"8"	"366"	""	"366"	""
"40"	"17"	"12"	"51"	"145"	"10"	"2"	"5"	"225"	""	"225"	""
"41"	"18"	"26"	"16"	"464"	"15"	"1"	"4"	"526"	""	"526"	""
"42"	"18A"	"7"	"10"	"316"	"4"	"1"	"3"	"341"	""	"341"	""
"43"	"19"	"12"	"44"	"211"	"26"	"6"	"11"	"310"	""	"310"	""
"44"	"20"	"165"	"72"	"71"	"0"	"12"	"9"	"329"	""	"329"	""
"45"	"20A"	"30"	"77"	"98"	"0"	"3"	"6"	"214"	""	"214"	""
"46"	"21"	"74"	"73"	"53"	"4"	"1"	"3"	"208"	""	"208"	""
"47"	"22"	"25"	"191"	"265"	"9"	"6"	"16"	"512"	""	"512"	""
"48"	"23"	"57"	"143"	"189"	"6"	"2"	"12"	"409"	""	"409"	""
"49"	"24"	"204"	"116"	"232"	"14"	"15"	"31"	"612"	""	"612"	""
"50"	"25"	"152"	"102"	"105"	"9"	"4"	"9"	"381"	""	"381"	""
"51"	""	""	""	""	""	""	""	""	""	""	""
"52"	"TOTAL"	"1662"	"2976"	"5056"	"270"	"158"	"297"	"10419"	"0"	"10419"	"0"
"53"	"ROUND:-2"	""	""	""	""	""	""	""	""	""	""
"54"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""
"55"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"NO. OF TEDR VOTES"
"56"	""	"ANIL KUMAR SINGH"	"RAJEEV KUMAR SINGH"	"SHAKUNI CHAUDHARY"	"SANJAY KUMAR SINGH"	"DEO PRAKASH SINGH"	"BHARAT MANDAL"	"TOTAL OF VALID VOTES"	"NO.OF REJ. VOTES"	"TOTAL"	""
"57"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"58"	"B/F"	"1662"	"2976"	"5056"	"270"	"158"	"297"	"10419"	"0"	"10419"	"0"
"59"	"26"	"30"	"132"	"221"	"15"	"1"	"10"	"409"	""	"409"	""
"60"	"27"	"70"	"139"	"176"	"6"	"4"	"9"	"404"	""	"404"	""
"61"	"28"	"121"	"65"	"98"	"3"	"1"	"4"	"292"	""	"292"	""
"62"	"29"	"64"	"269"	"158"	"5"	"6"	"10"	"512"	""	"512"	""
"63"	"30"	"76"	"94"	"370"	"43"	"10"	"13"	"606"	""	"606"	""
"64"	"31"	"97"	"148"	"297"	"17"	"12"	"16"	"587"	""	"587"	""
"65"	"32"	"32"	"254"	"186"	"13"	"7"	"10"	"502"	""	"502"	""
"66"	"33"	"66"	"46"	"197"	"13"	"6"	"6"	"334"	""	"334"	""
"67"	"34"	"52"	"170"	"90"	"15"	"10"	"14"	"351"	""	"351"	""
"68"	"35"	"205"	"35"	"108"	"10"	"6"	"21"	"385"	""	"385"	""
"69"	"36"	"68"	"63"	"246"	"7"	"3"	"9"	"396"	""	"396"	""
"70"	"37"	"101"	"110"	"130"	"4"	"3"	"14"	"362"	""	"362"	""
"71"	"38"	"37"	"77"	"194"	"13"	"3"	"7"	"331"	""	"331"	""
"72"	"39"	"66"	"98"	"109"	"7"	"2"	"4"	"286"	""	"286"	""
"73"	""	""	""	""	""	""	""	""	""	""	""
"74"	"TOTAL"	"2747"	"4676"	"7636"	"441"	"232"	"444"	"16176"	""	"16176"	"0"
"75"	"ROUND:-3"	""	""	""	""	""	""	""	""	""	""
"76"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""
"77"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"NO. OF TEDR VOTES"
"78"	""	"ANIL KUMAR SINGH"	"RAJEEV KUMAR SINGH"	"SHAKUNI CHAUDHARY"	"SANJAY KUMAR SINGH"	"DEO PRAKASH SINGH"	"BHARAT MANDAL"	"TOTAL OF VALID VOTES"	"NO.OF REJ. VOTES"	"TOTAL"	""
"79"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"80"	"B/F"	"2747"	"4676"	"7636"	"441"	"232"	"444"	"16176"	""	"16176"	"0"
"81"	"40"	"133"	"49"	"66"	"8"	"3"	"14"	"273"	""	"273"	""
"82"	"41"	"124"	"74"	"161"	"6"	"1"	"3"	"369"	""	"369"	""
"83"	"42"	"85"	"37"	"118"	"6"	"2"	"6"	"254"	""	"254"	""
"84"	"43"	"180"	"52"	"50"	"6"	"4"	"8"	"300"	""	"300"	""
"85"	"44"	"34"	"101"	"185"	"8"	"0"	"2"	"330"	""	"330"	""
"86"	"45"	"149"	"18"	"35"	"3"	"4"	"11"	"220"	""	"220"	""
"87"	"46"	"216"	"56"	"49"	"0"	"3"	"7"	"331"	""	"331"	""
"88"	"47"	"14"	"22"	"140"	"3"	"5"	"3"	"187"	""	"187"	""
"89"	"48"	"17"	"81"	"195"	"8"	"7"	"16"	"324"	""	"324"	""
"90"	"49"	"190"	"14"	"76"	"5"	"1"	"9"	"295"	""	"295"	""
"91"	"50"	"17"	"130"	"255"	"19"	"4"	"8"	"433"	""	"433"	""
"92"	"50A"	"6"	"91"	"123"	"6"	"1"	"4"	"231"	""	"231"	""
"93"	"51"	"9"	"43"	"591"	"35"	"4"	"18"	"700"	""	"700"	""
"94"	"52"	"14"	"32"	"179"	"13"	"3"	"14"	"255"	""	"255"	""
"95"	""	""	""	""	""	""	""	""	""	""	""
"96"	"TOTAL"	"3935"	"5476"	"9859"	"567"	"274"	"567"	"20678"	"0"	"20678"	"0"
"97"	"ROUND:-4"	""	""	""	""	""	""	""	""	""	""
"98"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""
"99"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"NO. OF TEDR VOTES"
"100"	""	"ANIL KUMAR SINGH"	"RAJEEV KUMAR SINGH"	"SHAKUNI CHAUDHARY"	"SANJAY KUMAR SINGH"	"DEO PRAKASH SINGH"	"BHARAT MANDAL"	"TOTAL OF VALID VOTES"	"NO.OF REJ. VOTES"	"TOTAL"	""
"101"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"102"	"B/F"	"3935"	"5476"	"9859"	"567"	"274"	"567"	"20678"	"0"	"20678"	"0"
"103"	"53"	"9"	"19"	"234"	"20"	"3"	"7"	"292"	""	"292"	""
"104"	"54"	"19"	"204"	"88"	"4"	"7"	"12"	"334"	""	"334"	""
"105"	"54A"	"39"	"110"	"95"	"2"	"1"	"6"	"253"	""	"253"	""
"106"	"55"	"80"	"139"	"193"	"20"	"4"	"15"	"451"	""	"451"	""
"107"	"56"	"166"	"94"	"76"	"5"	"5"	"19"	"365"	""	"365"	""
"108"	"57"	"28"	"502"	"203"	"19"	"8"	"8"	"768"	""	"768"	""
"109"	"58"	"50"	"53"	"97"	"3"	"5"	"10"	"218"	""	"218"	""
"110"	"59"	"126"	"107"	"50"	"3"	"5"	"11"	"302"	""	"302"	""
"111"	"60"	"27"	"237"	"277"	"21"	"10"	"7"	"579"	""	"579"	""
"112"	"61"	"52"	"96"	"86"	"7"	"4"	"6"	"251"	""	"251"	""
"113"	"62"	"79"	"143"	"65"	"4"	"2"	"8"	"301"	""	"301"	""
"114"	"63"	"56"	"303"	"149"	"28"	"14"	"20"	"570"	""	"570"	""
"115"	"64"	"70"	"76"	"235"	"12"	"5"	"13"	"411"	""	"411"	""
"116"	"65"	"128"	"210"	"150"	"7"	"4"	"3"	"502"	""	"502"	""
"117"	""	""	""	""	""	""	""	""	""	""	""
"118"	"TOTAL"	"4864"	"7769"	"11857"	"722"	"351"	"712"	"26275"	"0"	"26275"	"0"
"119"	"ROUND:-5"	""	""	""	""	""	""	""	""	""	""
"120"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""
"121"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"NO. OF TEDR VOTES"
"122"	""	"ANIL KUMAR SINGH"	"RAJEEV KUMAR SINGH"	"SHAKUNI CHAUDHARY"	"SANJAY KUMAR SINGH"	"DEO PRAKASH SINGH"	"BHARAT MANDAL"	"TOTAL OF VALID VOTES"	"NO.OF REJ. VOTES"	"TOTAL"	""
"123"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"124"	"B/F"	"4864"	"7769"	"11857"	"722"	"351"	"712"	"26275"	"0"	"26275"	"0"
"125"	"66"	"34"	"192"	"221"	"21"	"14"	"32"	"514"	""	"514"	""
"126"	"67"	"95"	"207"	"189"	"24"	"13"	"8"	"536"	""	"536"	""
"127"	"68"	"13"	"251"	"244"	"22"	"8"	"3"	"541"	""	"541"	""
"128"	"69"	"8"	"41"	"181"	"8"	"1"	"3"	"242"	""	"242"	""
"129"	"69A"	"13"	"38"	"93"	"6"	"2"	"3"	"155"	""	"155"	""
"130"	"70"	"12"	"67"	"276"	"14"	"12"	"15"	"396"	""	"396"	""
"131"	"71"	"17"	"66"	"146"	"7"	"2"	"6"	"244"	""	"244"	""
"132"	"71A"	"11"	"98"	"94"	"5"	"4"	"5"	"217"	""	"217"	""
"133"	"72"	"10"	"164"	"89"	"2"	"3"	"1"	"269"	""	"269"	""
"134"	"72A"	"3"	"61"	"82"	"4"	"0"	"0"	"150"	""	"150"	""
"135"	"73"	"114"	"124"	"81"	"7"	"8"	"3"	"337"	""	"337"	""
"136"	"74"	"8"	"82"	"143"	"5"	"2"	"3"	"243"	""	"243"	""
"137"	"75"	"14"	"107"	"419"	"15"	"4"	"5"	"564"	""	"564"	""
"138"	"76"	"11"	"187"	"167"	"9"	"2"	"13"	"389"	""	"389"	""
"139"	""	""	""	""	""	""	""	""	""	""	""
"140"	"TOTAL"	"5227"	"9454"	"14282"	"871"	"426"	"812"	"31072"	"0"	"31072"	"0"
"141"	"ROUND:-6"	""	""	""	""	""	""	""	""	""	""
"142"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""
"143"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"NO. OF TEDR VOTES"
"144"	""	"ANIL KUMAR SINGH"	"RAJEEV KUMAR SINGH"	"SHAKUNI CHAUDHARY"	"SANJAY KUMAR SINGH"	"DEO PRAKASH SINGH"	"BHARAT MANDAL"	"TOTAL OF VALID VOTES"	"NO.OF REJ. VOTES"	"TOTAL"	""
"145"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"146"	"B/F"	"5227"	"9454"	"14282"	"871"	"426"	"812"	"31072"	"0"	"31072"	"0"
"147"	"76A"	"4"	"64"	"127"	"11"	"3"	"3"	"212"	""	"212"	""
"148"	"77"	"18"	"225"	"104"	"4"	"3"	"2"	"356"	""	"356"	""
"149"	"78"	"32"	"158"	"50"	"2"	"1"	"7"	"250"	""	"250"	""
"150"	"79"	"5"	"179"	"168"	"9"	"4"	"5"	"370"	""	"370"	""
"151"	"80"	"28"	"245"	"116"	"12"	"5"	"9"	"415"	""	"415"	""
"152"	"81"	"1"	"119"	"148"	"6"	"0"	"3"	"277"	""	"277"	""
"153"	"82"	"13"	"210"	"204"	"12"	"6"	"8"	"453"	""	"453"	""
"154"	"83"	"27"	"292"	"149"	"8"	"7"	"0"	"483"	""	"483"	""
"155"	"84"	"10"	"423"	"186"	"5"	"1"	"8"	"633"	""	"633"	""
"156"	"85"	"11"	"187"	"106"	"5"	"2"	"2"	"313"	""	"313"	""
"157"	"85A"	"3"	"91"	"57"	"2"	"2"	"1"	"156"	""	"156"	""
"158"	"86"	"21"	"357"	"164"	"7"	"1"	"8"	"558"	""	"558"	""
"159"	"87"	"9"	"322"	"230"	"10"	"6"	"2"	"579"	""	"579"	""
"160"	"88"	"19"	"427"	"34"	"2"	"6"	"0"	"488"	""	"488"	""
"161"	""	""	""	""	""	""	""	""	""	""	""
"162"	"TOTAL"	"5428"	"12753"	"16125"	"966"	"473"	"870"	"36615"	"0"	"36615"	"0"
"163"	"ROUND:-7"	""	""	""	""	""	""	""	""	""	""
"164"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""
"165"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"NO. OF TEDR VOTES"
"166"	""	"ANIL KUMAR SINGH"	"RAJEEV KUMAR SINGH"	"SHAKUNI CHAUDHARY"	"SANJAY KUMAR SINGH"	"DEO PRAKASH SINGH"	"BHARAT MANDAL"	"TOTAL OF VALID VOTES"	"NO.OF REJ. VOTES"	"TOTAL"	""
"167"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"168"	"B/F"	"5428"	"12753"	"16125"	"966"	"473"	"870"	"36615"	"0"	"36615"	"0"
"169"	"89"	"67"	"170"	"163"	"5"	"6"	"6"	"417"	""	"417"	""
"170"	"90"	"16"	"33"	"205"	"20"	"6"	"13"	"293"	""	"293"	""
"171"	"90A"	"10"	"34"	"209"	"14"	"2"	"4"	"273"	""	"273"	""
"172"	"91"	"21"	"144"	"306"	"15"	"10"	"9"	"505"	""	"505"	""
"173"	"92"	"59"	"143"	"235"	"13"	"3"	"8"	"461"	""	"461"	""
"174"	"93"	"63"	"145"	"144"	"14"	"5"	"7"	"378"	""	"378"	""
"175"	"94"	"12"	"112"	"325"	"23"	"6"	"11"	"489"	""	"489"	""
"176"	"95"	"19"	"118"	"107"	"11"	"8"	"10"	"273"	""	"273"	""
"177"	"96"	"26"	"265"	"139"	"8"	"4"	"6"	"448"	""	"448"	""
"178"	"97"	"10"	"307"	"223"	"21"	"5"	"9"	"575"	""	"575"	""
"179"	"98"	"7"	"129"	"24"	"1"	"1"	"1"	"163"	""	"163"	""
"180"	"99"	"85"	"173"	"182"	"30"	"12"	"20"	"502"	""	"502"	""
"181"	"100"	"91"	"164"	"66"	"10"	"5"	"8"	"344"	""	"344"	""
"182"	"101"	"46"	"222"	"98"	"10"	"4"	"7"	"387"	""	"387"	""
"183"	""	""	""	""	""	""	""	""	""	""	""
"184"	"TOTAL"	"5960"	"14912"	"18551"	"1161"	"550"	"989"	"42123"	"0"	"42123"	"0"
"185"	"ROUND:-8"	""	""	""	""	""	""	""	""	""	""
"186"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""
"187"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"NO. OF TEDR VOTES"
"188"	""	"ANIL KUMAR SINGH"	"RAJEEV KUMAR SINGH"	"SHAKUNI CHAUDHARY"	"SANJAY KUMAR SINGH"	"DEO PRAKASH SINGH"	"BHARAT MANDAL"	"TOTAL OF VALID VOTES"	"NO.OF REJ. VOTES"	"TOTAL"	""
"189"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"190"	"B/F"	"5960"	"14912"	"18551"	"1161"	"550"	"989"	"42123"	"0"	"42123"	"0"
"191"	"102"	"23"	"270"	"155"	"11"	"4"	"13"	"476"	""	"476"	""
"192"	"103"	"37"	"97"	"250"	"15"	"4"	"10"	"413"	""	"413"	""
"193"	"104"	"17"	"335"	"232"	"22"	"4"	"5"	"615"	""	"615"	""
"194"	"105"	"35"	"276"	"150"	"15"	"4"	"7"	"487"	""	"487"	""
"195"	"106"	"2"	"40"	"13"	"1"	"0"	"1"	"57"	""	"57"	""
"196"	"107"	"21"	"156"	"199"	"19"	"7"	"24"	"426"	""	"426"	""
"197"	"108"	"127"	"101"	"126"	"11"	"5"	"7"	"377"	""	"377"	""
"198"	"109"	"4"	"131"	"117"	"11"	"4"	"7"	"274"	""	"274"	""
"199"	"109A"	"18"	"133"	"62"	"7"	"3"	"3"	"226"	""	"226"	""
"200"	"110"	"8"	"233"	"72"	"4"	"2"	"6"	"325"	""	"325"	""
"201"	"110A"	"54"	"41"	"157"	"9"	"6"	"4"	"271"	""	"271"	""
"202"	"111"	"15"	"197"	"68"	"3"	"2"	"4"	"289"	""	"289"	""
"203"	"111A"	"19"	"333"	"52"	"4"	"7"	"8"	"423"	""	"423"	""
"204"	"112"	"28"	"88"	"248"	"20"	"7"	"25"	"416"	""	"416"	""
"205"	""	""	""	""	""	""	""	""	""	""	""
"206"	"TOTAL"	"6368"	"17343"	"20452"	"1313"	"609"	"1113"	"47198"	"0"	"47198"	"0"
"207"	"ROUND:-9"	""	""	""	""	""	""	""	""	""	""
"208"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""
"209"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"NO. OF TEDR VOTES"
"210"	""	"ANIL KUMAR SINGH"	"RAJEEV KUMAR SINGH"	"SHAKUNI CHAUDHARY"	"SANJAY KUMAR SINGH"	"DEO PRAKASH SINGH"	"BHARAT MANDAL"	"TOTAL OF VALID VOTES"	"NO.OF REJ. VOTES"	"TOTAL"	""
"211"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"212"	"B/F"	"6368"	"17343"	"20452"	"1313"	"609"	"1113"	"47198"	"0"	"47198"	""
"213"	"112A"	"10"	"59"	"58"	"9"	"3"	"3"	"142"	""	"142"	""
"214"	"113"	"13"	"165"	"158"	"6"	"1"	"1"	"344"	""	"344"	""
"215"	"114"	"10"	"230"	"50"	"5"	"1"	"1"	"297"	""	"297"	""
"216"	"115"	"37"	"148"	"121"	"11"	"5"	"6"	"328"	""	"328"	""
"217"	"116"	"16"	"330"	"43"	"6"	"4"	"3"	"402"	""	"402"	""
"218"	"117"	"42"	"246"	"230"	"12"	"4"	"8"	"542"	""	"542"	""
"219"	"118"	"29"	"300"	"111"	"18"	"1"	"1"	"460"	""	"460"	""
"220"	"119"	"6"	"322"	"57"	"3"	"1"	"1"	"390"	""	"390"	""
"221"	"120"	"32"	"127"	"168"	"13"	"5"	"19"	"364"	""	"364"	""
"222"	"121"	"9"	"193"	"133"	"7"	"1"	"3"	"346"	""	"346"	""
"223"	"122"	"9"	"122"	"303"	"11"	"3"	"1"	"449"	""	"449"	""
"224"	"123"	"19"	"107"	"97"	"18"	"17"	"12"	"270"	""	"270"	""
"225"	"124"	"9"	"152"	"107"	"14"	"5"	"9"	"296"	""	"296"	""
"226"	"125"	"26"	"238"	"49"	"5"	"1"	"2"	"321"	""	"321"	""
"227"	""	""	""	""	""	""	""	""	""	""	""
"228"	"TOTAL"	"6635"	"20082"	"22137"	"1451"	"661"	"1183"	"52149"	"0"	"52149"	"0"
"229"	"ROUND:-10"	""	""	""	""	""	""	""	""	""	""
"230"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""
"231"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"NO. OF TEDR VOTES"
"232"	""	"ANIL KUMAR SINGH"	"RAJEEV KUMAR SINGH"	"SHAKUNI CHAUDHARY"	"SANJAY KUMAR SINGH"	"DEO PRAKASH SINGH"	"BHARAT MANDAL"	"TOTAL OF VALID VOTES"	"NO.OF REJ. VOTES"	"TOTAL"	""
"233"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"234"	"B/F"	"6635"	"20082"	"22137"	"1451"	"661"	"1183"	"52149"	"0"	"52149"	"0"
"235"	"126"	"19"	"99"	"164"	"9"	"5"	"25"	"321"	""	"321"	""
"236"	"127"	"62"	"80"	"53"	"2"	"3"	"1"	"201"	""	"201"	""
"237"	"127A"	"38"	"28"	"124"	"12"	"2"	"6"	"210"	""	"210"	""
"238"	"128"	"31"	"98"	"160"	"10"	"6"	"9"	"314"	""	"314"	""
"239"	"129"	"44"	"170"	"56"	"5"	"3"	"6"	"284"	""	"284"	""
"240"	"130"	"14"	"200"	"76"	"2"	"1"	"6"	"299"	""	"299"	""
"241"	"131"	"40"	"108"	"57"	"3"	"1"	"4"	"213"	""	"213"	""
"242"	"132"	"20"	"133"	"92"	"2"	"4"	"4"	"255"	""	"255"	""
"243"	"133"	"31"	"125"	"108"	"8"	"5"	"14"	"291"	""	"291"	""
"244"	"134"	"23"	"222"	"179"	"35"	"10"	"19"	"488"	""	"488"	""
"245"	"135"	"27"	"259"	"233"	"21"	"5"	"20"	"565"	""	"565"	""
"246"	"136"	"91"	"97"	"232"	"17"	"8"	"20"	"465"	""	"465"	""
"247"	"137"	"4"	"88"	"78"	"10"	"3"	"7"	"190"	""	"190"	""
"248"	"138"	"26"	"161"	"97"	"8"	"6"	"13"	"311"	""	"311"	""
"249"	""	""	""	""	""	""	""	""	""	""	""
"250"	"TOTAL"	"7105"	"21950"	"23846"	"1595"	"723"	"1337"	"56556"	"0"	"56556"	"0"
"251"	"ROUND:-11"	""	""	""	""	""	""	""	""	""	""
"252"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""
"253"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"NO. OF TEDR VOTES"
"254"	""	"ANIL KUMAR SINGH"	"RAJEEV KUMAR SINGH"	"SHAKUNI CHAUDHARY"	"SANJAY KUMAR SINGH"	"DEO PRAKASH SINGH"	"BHARAT MANDAL"	"TOTAL OF VALID VOTES"	"NO.OF REJ. VOTES"	"TOTAL"	""
"255"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"256"	"B/F"	"7105"	"21950"	"23846"	"1595"	"723"	"1337"	"56556"	"0"	"56556"	"0"
"257"	"139"	"27"	"92"	"126"	"26"	"14"	"26"	"311"	""	"311"	""
"258"	"139A"	"42"	"76"	"44"	"9"	"2"	"7"	"180"	""	"180"	""
"259"	"140"	"32"	"170"	"70"	"3"	"2"	"3"	"280"	""	"280"	""
"260"	"141"	"17"	"144"	"230"	"14"	"5"	"3"	"413"	""	"413"	""
"261"	"141A"	"11"	"119"	"143"	"42"	"8"	"5"	"328"	""	"328"	""
"262"	"142"	"39"	"67"	"208"	"17"	"5"	"6"	"342"	""	"342"	""
"263"	"143"	"31"	"357"	"77"	"3"	"0"	"0"	"468"	""	"468"	""
"264"	"144"	"24"	"187"	"240"	"28"	"11"	"8"	"498"	""	"498"	""
"265"	"145"	"1"	"165"	"97"	"7"	"0"	"1"	"271"	""	"271"	""
"266"	"146"	"31"	"142"	"118"	"10"	"0"	"3"	"304"	""	"304"	""
"267"	"147"	"8"	"72"	"68"	"1"	"2"	"0"	"151"	""	"151"	""
"268"	"148"	"10"	"213"	"134"	"6"	"6"	"10"	"379"	""	"379"	""
"269"	"149"	"29"	"180"	"172"	"16"	"7"	"16"	"420"	""	"420"	""
"270"	"150"	"14"	"210"	"102"	"5"	"5"	"4"	"340"	""	"340"	""
"271"	""	""	""	""	""	""	""	""	""	""	""
"272"	"TOTAL"	"7421"	"24144"	"25675"	"1782"	"790"	"1429"	"61241"	"0"	"61241"	"0"
"273"	"ROUND:-12"	""	""	""	""	""	""	""	""	""	""
"274"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""
"275"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"NO. OF TEDR VOTES"
