"No..and.Name.of.Assembly.Contituency.37.MASHRAKH.ROUND.1"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"
"12"	"8"	""	"84"	"179"	"34"	""	"8"	""	"17"	""	"7"	""	"10"	""	"20"	""	"7"	""	"8"	""	"4"	"11"	"14"	""	"403"	""	""	""	""	""	""	""
"13"	"9"	""	"157"	"253"	"36"	""	"2"	""	"16"	""	"10"	""	"5"	""	"5"	""	"6"	""	"23"	""	"4"	"10"	"11"	""	"538"	""	""	""	""	""	""	""
"14"	"10"	""	"191"	"297"	"31"	""	"14"	""	"3"	""	"5"	""	"5"	""	"23"	""	"5"	""	"25"	""	"7"	"15"	"25"	""	"646"	""	""	""	""	""	""	""
"15"	"11"	""	"82"	"299"	"233"	""	"7"	""	"6"	""	"3"	""	"5"	""	"3"	""	"1"	""	"7"	""	"1"	"6"	"14"	""	"667"	""	""	""	""	""	""	""
"16"	"12"	""	"101"	"187"	"10"	""	"2"	""	"3"	""	"1"	""	"0"	""	"7"	""	"1"	""	"8"	""	"0"	"7"	"11"	""	"338"	""	""	""	""	""	""	""
"17"	"13"	""	"223"	"130"	"14"	""	"2"	""	"6"	""	"0"	""	"4"	""	"4"	""	"1"	""	"2"	""	"4"	"11"	"19"	""	"420"	""	""	""	""	""	""	""
"18"	"Total"	""	"2355"	"2731"	"477"	""	"74"	""	"124"	""	"43"	""	"60"	""	"134"	""	"44"	""	"168"	""	"68"	"132"	"260"	""	"6670"	""	""	""	""	""	""	""
"19"	"Serial No of Polling Station"	"No.of Valid Votes cast favover of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Tatal Of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	"No. of tendered Votes"	""	""
"20"	""	"Kedar Nath Singh"	""	"Tarkeshw ar Singh"	"Sanjeev Kumar Mishra"	"Sabha Rai"	""	"Harendra Kishore Singh"	""	"Ajit Kumar Singh"	""	"Asheshwa r Pandey"	""	"Kameshw ar Singh"	""	"Baleshwar Ram"	""	"Ram Narayan Prasad Yadav"	"Sanjay Kumar"	"Sanjeev Ku.Singh"	""	"Sadhu Rai"	""	""	""	""	""	""	""	""	""	""
"21"	"14"	"147"	""	"323"	"13"	"2"	""	"5"	""	"2"	""	"2"	""	"1"	""	"3"	""	"7"	"4"	"15"	""	"20"	""	"544"	""	""	""	""	""	""	""	""
"22"	"15"	"108"	""	"276"	"24"	"7"	""	"10"	""	"4"	""	"9"	""	"5"	""	"6"	""	"16"	"8"	"10"	""	"24"	""	"507"	""	""	""	""	""	""	""	""
"23"	"16"	"138"	""	"288"	"18"	"8"	""	"21"	""	"5"	""	"3"	""	"8"	""	"0"	""	"22"	"9"	"16"	""	"12"	""	"548"	""	""	""	""	""	""	""	""
"24"	"17"	"342"	""	"87"	"12"	"3"	""	"5"	""	"1"	""	"1"	""	"13"	""	"2"	""	"12"	"6"	"14"	""	"27"	""	"525"	""	""	""	""	""	""	""	""
"25"	"18"	"174"	""	"126"	"13"	"5"	""	"6"	""	"4"	""	"2"	""	"8"	""	"7"	""	"59"	"7"	"18"	""	"42"	""	"471"	""	""	""	""	""	""	""	""
"26"	"19"	"160"	""	"260"	"20"	"8"	""	"3"	""	"2"	""	"3"	""	"2"	""	"5"	""	"17"	"7"	"9"	""	"8"	""	"504"	""	""	""	""	""	""	""	""
"27"	"20"	"220"	""	"106"	"11"	"3"	""	"3"	""	"5"	""	"3"	""	"5"	""	"2"	""	"9"	"0"	"5"	""	"5"	""	"377"	""	""	""	""	""	""	""	""
"28"	"21"	"170"	""	"259"	"32"	"6"	""	"7"	""	"7"	""	"2"	""	"8"	""	"1"	""	"6"	"2"	"5"	""	"5"	""	"510"	""	""	""	""	""	""	""	""
"29"	"22"	"313"	""	"139"	"22"	"0"	""	"5"	""	"2"	""	"1"	""	"7"	""	"2"	""	"12"	"4"	"11"	""	"34"	""	"552"	""	""	""	""	""	""	""	""
"30"	"23"	"112"	""	"387"	"20"	"5"	""	"18"	""	"2"	""	"4"	""	"22"	""	"3"	""	"8"	"6"	"30"	""	"34"	""	"651"	""	""	""	""	""	""	""	""
"31"	"24"	"132"	""	"168"	"17"	"8"	""	"5"	""	"3"	""	"0"	""	"20"	""	"1"	""	"12"	"9"	"15"	""	"14"	""	"404"	""	""	""	""	""	""	""	""
"32"	"25"	"186"	""	"162"	"9"	"2"	""	"5"	""	"6"	""	"7"	""	"8"	""	"3"	""	"5"	"2"	"7"	""	"14"	""	"416"	""	""	""	""	""	""	""	""
"33"	"26"	"319"	""	"193"	"11"	"5"	""	"9"	""	"3"	""	"4"	""	"4"	""	"4"	""	"21"	"5"	"10"	""	"24"	""	"612"	""	""	""	""	""	""	""	""
"34"	"27"	"164"	""	"274"	"24"	"3"	""	"26"	""	"4"	""	"5"	""	"5"	""	"5"	""	"12"	"10"	"14"	""	"29"	""	"575"	""	""	""	""	""	""	""	""
"35"	"Total"	"2685"	""	"3048"	"246"	"65"	""	"128"	""	"50"	""	"46"	""	"116"	""	"44"	""	"218"	"79"	"179"	""	"292"	""	"7196"	""	""	""	""	""	""	""	""
"36"	"Serial No of Polling Station"	"No.of Valid Votes cast favover of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Tatal Of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	"No. of tendered Votes"	""	""
"37"	""	"Kedar Nath Singh"	""	"Tarkeshw ar Singh"	"Sanjeev Kumar Mishra"	"Sabha Rai"	""	"Harendra Kishore Singh"	""	"Ajit Kumar Singh"	""	"Asheshwa r Pandey"	""	"Kameshw ar Singh"	""	"Baleshwar Ram"	""	"Ram Narayan Prasad Yadav"	"Sanjay Kumar"	"Sanjeev Ku.Singh"	""	"Sadhu Rai"	""	""	""	""	""	""	""	""	""	""
"38"	"28"	"102"	""	"177"	"5"	"4"	""	"3"	""	"2"	""	"0"	""	"9"	""	"1"	""	"5"	"1"	"9"	""	"12"	""	"330"	""	""	""	""	""	""	""	""
"39"	"29"	"154"	""	"189"	"19"	"9"	""	"1"	""	"7"	""	"2"	""	"3"	""	"6"	""	"5"	"10"	"7"	""	"22"	""	"434"	""	""	""	""	""	""	""	""
"40"	"30"	"143"	""	"207"	"9"	"7"	""	"4"	""	"14"	""	"2"	""	"8"	""	"2"	""	"22"	"1"	"5"	""	"11"	""	"435"	""	""	""	""	""	""	""	""
"41"	"31"	"231"	""	"138"	"12"	"8"	""	"10"	""	"40"	""	"2"	""	"4"	""	"8"	""	"9"	"11"	"7"	""	"40"	""	"520"	""	""	""	""	""	""	""	""
"42"	"32"	"271"	""	"144"	"24"	"5"	""	"2"	""	"1"	""	"1"	""	"6"	""	"5"	""	"8"	"3"	"9"	""	"24"	""	"503"	""	""	""	""	""	""	""	""
"43"	"33"	"332"	""	"199"	"22"	"5"	""	"4"	""	"2"	""	"3"	""	"6"	""	"2"	""	"13"	"6"	"28"	""	"36"	""	"658"	""	""	""	""	""	""	""	""
"44"	"34"	"171"	""	"100"	"8"	"4"	""	"4"	""	"0"	""	"3"	""	"17"	""	"1"	""	"8"	"3"	"8"	""	"14"	""	"341"	""	""	""	""	""	""	""	""
"45"	"35"	"297"	""	"276"	"13"	"3"	""	"5"	""	"3"	""	"4"	""	"9"	""	"1"	""	"4"	"6"	"15"	""	"9"	""	"645"	""	""	""	""	""	""	""	""
"46"	"36"	"186"	""	"91"	"16"	"4"	""	"3"	""	"1"	""	"1"	""	"16"	""	"5"	""	"10"	"4"	"5"	""	"10"	""	"352"	""	""	""	""	""	""	""	""
"47"	"37"	"135"	""	"185"	"8"	"2"	""	"7"	""	"2"	""	"2"	""	"10"	""	"2"	""	"11"	"2"	"3"	""	"6"	""	"375"	""	""	""	""	""	""	""	""
"48"	"38"	"339"	""	"107"	"6"	"2"	""	"5"	""	"1"	""	"3"	""	"9"	""	"3"	""	"14"	"4"	"13"	""	"35"	""	"541"	""	""	""	""	""	""	""	""
"49"	"39"	"91"	""	"165"	"15"	"5"	""	"6"	""	"3"	""	"3"	""	"12"	""	"1"	""	"6"	"3"	"10"	""	"17"	""	"337"	""	""	""	""	""	""	""	""
"50"	"40"	"251"	""	"128"	"8"	"4"	""	"13"	""	"2"	""	"5"	""	"3"	""	"1"	""	"7"	"8"	"7"	""	"16"	""	"453"	""	""	""	""	""	""	""	""
"51"	"41"	"86"	""	"134"	"14"	"2"	""	"4"	""	"2"	""	"1"	""	"20"	""	"2"	""	"7"	"2"	"6"	""	"6"	""	"286"	""	""	""	""	""	""	""	""
"52"	"Total"	"2789"	""	"2240"	"179"	"64"	""	"71"	""	"80"	""	"32"	""	"132"	""	"40"	""	"129"	"64"	"132"	""	"258"	""	"6210"	""	""	""	""	""	""	""	""
"53"	"Serial No of Polling Station"	"No.of Valid Votes cast favover of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Tatal Of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	"No. of tendered Votes"	""	""
"54"	""	"Kedar Nath Singh"	""	"Tarkeshw ar Singh"	"Sanjeev Kumar Mishra"	"Sabha Rai"	""	"Harendra Kishore Singh"	""	"Ajit Kumar Singh"	""	"Asheshwa r Pandey"	""	"Kameshw ar Singh"	""	"Baleshwar Ram"	""	"Ram Narayan Prasad Yadav"	"Sanjay Kumar"	"Sanjeev Ku.Singh"	""	"Sadhu Rai"	""	""	""	""	""	""	""	""	""	""
"55"	"42"	"156"	""	"109"	"7"	"2"	""	"1"	""	"1"	""	"1"	""	"34"	""	"4"	""	"4"	"1"	"3"	""	"10"	""	"333"	""	""	""	""	""	""	""	""
"56"	"43"	"199"	""	"121"	"7"	"6"	""	"5"	""	"2"	""	"3"	""	"7"	""	"2"	""	"5"	"5"	"10"	""	"15"	""	"387"	""	""	""	""	""	""	""	""
"57"	"44"	"185"	""	"179"	"36"	"8"	""	"9"	""	"7"	""	"3"	""	"13"	""	"4"	""	"11"	"3"	"7"	""	"6"	""	"471"	""	""	""	""	""	""	""	""
"58"	"45"	"228"	""	"109"	"9"	"3"	""	"3"	""	"1"	""	"0"	""	"21"	""	"5"	""	"6"	"12"	"14"	""	"19"	""	"430"	""	""	""	""	""	""	""	""
"59"	"46"	"137"	""	"186"	"5"	"2"	""	"2"	""	"0"	""	"3"	""	"59"	""	"4"	""	"4"	"3"	"16"	""	"17"	""	"438"	""	""	""	""	""	""	""	""
"60"	"47"	"152"	""	"263"	"20"	"10"	""	"6"	""	"3"	""	"2"	""	"39"	""	"5"	""	"10"	"4"	"22"	""	"30"	""	"566"	""	""	""	""	""	""	""	""
"61"	"48"	"139"	""	"238"	"23"	"4"	""	"5"	""	"3"	""	"4"	""	"31"	""	"4"	""	"18"	"5"	"14"	""	"32"	""	"520"	""	""	""	""	""	""	""	""
"62"	"49"	"86"	""	"178"	"12"	"2"	""	"2"	""	"1"	""	"1"	""	"3"	""	"0"	""	"4"	"1"	"2"	""	"3"	""	"295"	""	""	""	""	""	""	""	""
"63"	"49A"	"179"	""	"124"	"6"	"5"	""	"10"	""	"2"	""	"3"	""	"61"	""	"2"	""	"28"	"6"	"17"	""	"20"	""	"463"	""	""	""	""	""	""	""	""
"64"	"50"	"78"	""	"137"	"17"	"3"	""	"2"	""	"2"	""	"2"	""	"27"	""	"7"	""	"4"	"4"	"16"	""	"16"	""	"315"	""	""	""	""	""	""	""	""
"65"	"51"	"90"	""	"131"	"17"	"5"	""	"5"	""	"6"	""	"5"	""	"100"	""	"7"	""	"8"	"2"	"10"	""	"6"	""	"392"	""	""	""	""	""	""	""	""
"66"	"52"	"237"	""	"114"	"9"	"7"	""	"5"	""	"2"	""	"1"	""	"40"	""	"5"	""	"16"	"5"	"11"	""	"16"	""	"468"	""	""	""	""	""	""	""	""
"67"	"53"	"53"	""	"115"	"14"	"4"	""	"2"	""	"2"	""	"1"	""	"5"	""	"1"	""	"3"	"0"	"0"	""	"1"	""	"201"	""	""	""	""	""	""	""	""
"68"	"54"	"206"	""	"228"	"19"	"6"	""	"4"	""	"4"	""	"2"	""	"6"	""	"3"	""	"27"	"6"	"18"	""	"21"	""	"550"	""	""	""	""	""	""	""	""
"69"	"Total"	"2125"	""	"2232"	"201"	"67"	""	"61"	""	"36"	""	"31"	""	"446"	""	"53"	""	"148"	"57"	"160"	""	"212"	""	"5829"	""	""	""	""	""	""	""	""
"70"	"Serial No of Polling Station"	"No.of Valid Votes cast favover of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Tatal Of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	"No. of tendered Votes"	""	""
"71"	""	"Kedar Nath Singh"	""	"Tarkeshw ar Singh"	"Sanjeev Kumar Mishra"	"Sabha Rai"	""	"Harendra Kishore Singh"	""	"Ajit Kumar Singh"	""	"Asheshwa r Pandey"	""	"Kameshw ar Singh"	""	"Baleshwar Ram"	""	"Ram Narayan Prasad Yadav"	"Sanjay Kumar"	"Sanjeev Ku.Singh"	""	"Sadhu Rai"	""	""	""	""	""	""	""	""	""	""
"72"	"55"	"135"	""	"154"	"33"	"9"	""	"4"	""	"4"	""	"3"	""	"22"	""	"7"	""	"6"	"8"	"7"	""	"16"	""	"408"	""	""	""	""	""	""	""	""
"73"	"56"	"215"	""	"117"	"21"	"8"	""	"5"	""	"1"	""	"1"	""	"45"	""	"3"	""	"15"	"2"	"5"	""	"10"	""	"448"	""	""	""	""	""	""	""	""
"74"	"57"	"126"	""	"63"	"5"	"2"	""	"1"	""	"0"	""	"1"	""	"4"	""	"1"	""	"9"	"6"	"7"	""	"12"	""	"237"	""	""	""	""	""	""	""	""
"75"	"58"	"123"	""	"110"	"11"	"7"	""	"8"	""	"1"	""	"1"	""	"93"	""	"5"	""	"4"	"2"	"7"	""	"5"	""	"377"	""	""	""	""	""	""	""	""
"76"	"59"	"252"	""	"79"	"161"	"6"	""	"10"	""	"4"	""	"6"	""	"42"	""	"3"	""	"20"	"10"	"3"	""	"23"	""	"619"	""	""	""	""	""	""	""	""
"77"	"60"	"175"	""	"164"	"29"	"8"	""	"14"	""	"5"	""	"6"	""	"7"	""	"5"	""	"10"	"4"	"15"	""	"18"	""	"460"	""	""	""	""	""	""	""	""
"78"	"61"	"132"	""	"123"	"10"	"10"	""	"6"	""	"2"	""	"3"	""	"56"	""	"1"	""	"1"	"0"	"5"	""	"6"	""	"355"	""	""	""	""	""	""	""	""
"79"	"62"	"201"	""	"269"	"23"	"1"	""	"0"	""	"0"	""	"2"	""	"3"	""	"2"	""	"3"	"2"	"12"	""	"15"	""	"533"	""	""	""	""	""	""	""	""
"80"	"63"	"160"	""	"179"	"24"	"3"	""	"3"	""	"3"	""	"8"	""	"9"	""	"5"	""	"7"	"16"	"13"	""	"39"	""	"469"	""	""	""	""	""	""	""	""
"81"	"64"	"110"	""	"212"	"13"	"0"	""	"0"	""	"2"	""	"0"	""	"4"	""	"3"	""	"15"	"7"	"17"	""	"17"	""	"400"	""	""	""	""	""	""	""	""
"82"	"65"	"75"	""	"143"	"14"	"3"	""	"1"	""	"4"	""	"1"	""	"3"	""	"2"	""	"12"	"12"	"7"	""	"26"	""	"303"	""	""	""	""	""	""	""	""
"83"	"66"	"142"	""	"103"	"108"	"6"	""	"10"	""	"2"	""	"6"	""	"7"	""	"3"	""	"10"	"13"	"18"	""	"28"	""	"456"	""	""	""	""	""	""	""	""
"84"	"67"	"159"	""	"240"	"21"	"4"	""	"4"	""	"1"	""	"1"	""	"12"	""	"7"	""	"12"	"4"	"10"	""	"17"	""	"492"	""	""	""	""	""	""	""	""
"85"	"68"	"346"	""	"180"	"10"	"1"	""	"6"	""	"2"	""	"1"	""	"7"	""	"2"	""	"18"	"10"	"12"	""	"27"	""	"622"	""	""	""	""	""	""	""	""
"86"	"Total"	"2351"	""	"2136"	"483"	"68"	""	"72"	""	"31"	""	"40"	""	"314"	""	"49"	""	"142"	"96"	"138"	""	"259"	""	"6179"	""	""	""	""	""	""	""	""
"87"	"Serial No of Polling Station"	"No.of Valid Votes cast favover of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Tatal Of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	"No. of tendered Votes"	""	""
"88"	""	"Kedar Nath Singh"	""	"Tarkeshw ar Singh"	"Sanjeev Kumar Mishra"	"Sabha Rai"	""	"Harendra Kishore Singh"	""	"Ajit Kumar Singh"	""	"Asheshwa r Pandey"	""	"Kameshw ar Singh"	""	"Baleshwar Ram"	""	"Ram Narayan Prasad Yadav"	"Sanjay Kumar"	"Sanjeev Ku.Singh"	""	"Sadhu Rai"	""	""	""	""	""	""	""	""	""	""
"89"	"69"	"179"	""	"162"	"19"	"2"	""	"2"	""	"1"	""	"2"	""	"25"	""	"5"	""	"9"	"5"	"12"	""	"20"	""	"443"	""	""	""	""	""	""	""	""
"90"	"70"	"58"	""	"176"	"15"	"1"	""	"8"	""	"7"	""	"9"	""	"161"	""	"13"	""	"2"	"6"	"11"	""	"10"	""	"477"	""	""	""	""	""	""	""	""
"91"	"71"	"188"	""	"35"	"9"	"4"	""	"4"	""	"2"	""	"2"	""	"39"	""	"4"	""	"9"	"3"	"2"	""	"10"	""	"311"	""	""	""	""	""	""	""	""
"92"	"72"	"220"	""	"200"	"19"	"10"	""	"4"	""	"4"	""	"2"	""	"47"	""	"3"	""	"6"	"3"	"5"	""	"13"	""	"536"	""	""	""	""	""	""	""	""
"93"	"73"	"76"	""	"69"	"6"	"0"	""	"1"	""	"4"	""	"6"	""	"187"	""	"4"	""	"9"	"2"	"6"	""	"15"	""	"385"	""	""	""	""	""	""	""	""
"94"	"74"	"71"	""	"35"	"7"	"1"	""	"2"	""	"1"	""	"0"	""	"71"	""	"2"	""	"1"	"2"	"3"	""	"3"	""	"199"	""	""	""	""	""	""	""	""
"95"	"75"	"142"	""	"112"	"10"	"2"	""	"10"	""	"5"	""	"4"	""	"66"	""	"8"	""	"8"	"3"	"9"	""	"24"	""	"403"	""	""	""	""	""	""	""	""
"96"	"76"	"67"	""	"169"	"15"	"4"	""	"2"	""	"1"	""	"3"	""	"88"	""	"6"	""	"4"	"5"	"9"	""	"24"	""	"397"	""	""	""	""	""	""	""	""
"97"	"77"	"167"	""	"110"	"17"	"2"	""	"1"	""	"3"	""	"4"	""	"12"	""	"0"	""	"11"	"4"	"12"	""	"24"	""	"367"	""	""	""	""	""	""	""	""
"98"	"78"	"188"	""	"90"	"11"	"2"	""	"8"	""	"1"	""	"1"	""	"5"	""	"1"	""	"6"	"5"	"7"	""	"5"	""	"330"	""	""	""	""	""	""	""	""
"99"	"78A"	"138"	""	"149"	"12"	"3"	""	"5"	""	"1"	""	"0"	""	"10"	""	"0"	""	"6"	"3"	"4"	""	"2"	""	"333"	""	""	""	""	""	""	""	""
"100"	"79"	"168"	""	"209"	"38"	"5"	""	"4"	""	"4"	""	"2"	""	"24"	""	"3"	""	"13"	"8"	"14"	""	"28"	""	"520"	""	""	""	""	""	""	""	""
"101"	"80"	"83"	""	"97"	"5"	"5"	""	"45"	""	"2"	""	"6"	""	"17"	""	"4"	""	"2"	"3"	"8"	""	"10"	""	"287"	""	""	""	""	""	""	""	""
"102"	"81"	"65"	""	"57"	"3"	"1"	""	"72"	""	"3"	""	"8"	""	"22"	""	"5"	""	"1"	"0"	"2"	""	"2"	""	"241"	""	""	""	""	""	""	""	""
"103"	"Total"	"1810"	""	"1670"	"186"	"42"	""	"168"	""	"39"	""	"49"	""	"774"	""	"58"	""	"87"	"52"	"104"	""	"190"	""	"5229"	""	""	""	""	""	""	""	""
"104"	"Serial No of Polling Station"	"No.of Valid Votes cast favover of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Tatal Of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	"No. of tendered Votes"	""	""
"105"	""	"Kedar Nath Singh"	""	"Tarkeshw ar Singh"	"Sanjeev Kumar Mishra"	"Sabha Rai"	""	"Harendra Kishore Singh"	""	"Ajit Kumar Singh"	""	"Asheshwa r Pandey"	""	"Kameshw ar Singh"	""	"Baleshwar Ram"	""	"Ram Narayan Prasad Yadav"	"Sanjay Kumar"	"Sanjeev Ku.Singh"	""	"Sadhu Rai"	""	""	""	""	""	""	""	""	""	""
"106"	"82"	"129"	""	"120"	"13"	"4"	""	"70"	""	"8"	""	"8"	""	"51"	""	"13"	""	"11"	"1"	"5"	""	"14"	""	"447"	""	""	""	""	""	""	""	""
"107"	"83"	"508"	""	"88"	"4"	"2"	""	"5"	""	"2"	""	"1"	""	"3"	""	"1"	""	"3"	"1"	"7"	""	"20"	""	"645"	""	""	""	""	""	""	""	""
"108"	"84"	"234"	""	"99"	"7"	"3"	""	"8"	""	"3"	""	"6"	""	"6"	""	"4"	""	"8"	"3"	"7"	""	"13"	""	"401"	""	""	""	""	""	""	""	""
"109"	"85"	"329"	""	"72"	"12"	"3"	""	"5"	""	"2"	""	"7"	""	"27"	""	"6"	""	"15"	"3"	"3"	""	"49"	""	"533"	""	""	""	""	""	""	""	""
"110"	"86"	"276"	""	"171"	"8"	"0"	""	"9"	""	"2"	""	"3"	""	"247"	""	"8"	""	"2"	"1"	"5"	""	"8"	""	"740"	""	""	""	""	""	""	""	""
"111"	"87"	"303"	""	"108"	"15"	"5"	""	"6"	""	"1"	""	"1"	""	"4"	""	"1"	""	"19"	"7"	"10"	""	"29"	""	"509"	""	""	""	""	""	""	""	""
"112"	"88"	"289"	""	"222"	"9"	"2"	""	"7"	""	"0"	""	"3"	""	"3"	""	"1"	""	"6"	"8"	"9"	""	"9"	""	"568"	""	""	""	""	""	""	""	""
"113"	"89"	"266"	""	"234"	"5"	"4"	""	"8"	""	"0"	""	"2"	""	"5"	""	"0"	""	"7"	"2"	"5"	""	"13"	""	"551"	""	""	""	""	""	""	""	""
"114"	"90"	"266"	""	"159"	"20"	"10"	""	"12"	""	"5"	""	"4"	""	"5"	""	"8"	""	"52"	"7"	"15"	""	"25"	""	"588"	""	""	""	""	""	""	""	""
"115"	"91"	"288"	""	"79"	"6"	"1"	""	"2"	""	"1"	""	"0"	""	"2"	""	"1"	""	"9"	"5"	"9"	""	"34"	""	"437"	""	""	""	""	""	""	""	""
"116"	"92"	"239"	""	"228"	"14"	"7"	""	"14"	""	"5"	""	"2"	""	"7"	""	"4"	""	"21"	"9"	"18"	""	"41"	""	"609"	""	""	""	""	""	""	""	""
"117"	"93"	"131"	""	"129"	"4"	"4"	""	"3"	""	"1"	""	"2"	""	"4"	""	"2"	""	"5"	"7"	"5"	""	"23"	""	"320"	""	""	""	""	""	""	""	""
"118"	"94"	"241"	""	"171"	"18"	"8"	""	"11"	""	"4"	""	"6"	""	"6"	""	"6"	""	"93"	"3"	"9"	""	"24"	""	"600"	""	""	""	""	""	""	""	""
"119"	"95"	"209"	""	"374"	"36"	"7"	""	"11"	""	"4"	""	"9"	""	"57"	""	"8"	""	"53"	"6"	"14"	""	"25"	""	"813"	""	""	""	""	""	""	""	""
"120"	"Total"	"3708"	""	"2254"	"171"	"60"	""	"171"	""	"38"	""	"54"	""	"427"	""	"63"	""	"304"	"63"	"121"	""	"327"	""	"7761"	""	""	""	""	""	""	""	""
"121"	"Serial No of Polling Station"	"No.of Valid Votes cast favover of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Tatal Of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	"No. of tendered Votes"	""	""
"122"	""	"Kedar Nath Singh"	""	"Tarkeshw ar Singh"	"Sanjeev Kumar Mishra"	"Sabha Rai"	""	"Harendra Kishore Singh"	""	"Ajit Kumar Singh"	""	"Asheshwa r Pandey"	""	"Kameshw ar Singh"	""	"Baleshwar Ram"	""	"Ram Narayan Prasad Yadav"	"Sanjay Kumar"	"Sanjeev Ku.Singh"	""	"Sadhu Rai"	""	""	""	""	""	""	""	""	""	""
"123"	"96"	"174"	""	"183"	"6"	"5"	""	"2"	""	"0"	""	"0"	""	"4"	""	"3"	""	"41"	"3"	"5"	""	"8"	""	"434"	""	""	""	""	""	""	""	""
"124"	"97"	"300"	""	"228"	"13"	"7"	""	"5"	""	"4"	""	"5"	""	"2"	""	"4"	""	"14"	"11"	"7"	""	"17"	""	"617"	""	""	""	""	""	""	""	""
"125"	"98"	"244"	""	"197"	"16"	"0"	""	"1"	""	"2"	""	"1"	""	"9"	""	"2"	""	"7"	"4"	"7"	""	"6"	""	"496"	""	""	""	""	""	""	""	""
