"No..and.Name.of.Assembly.Constituency...........46..Raghopur"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"29"	""	""	"LJP"	"BSP"	"RJD"	"JD  (U)"	""	""	""	""
"30"	""	""	"PRAMOD KU SINGH"	"BALENDRA DAS"	"RABRI DEVI"	"SATISH KUMAR"	""	""	""	""
"31"	"12K"	"316"	"74"	"13"	"25"	"204"	"316"	"0"	"316"	"0"
"32"	"13"	"434"	"207"	"11"	"144"	"72"	"434"	"0"	"434"	"0"
"33"	"14"	"256"	"105"	"13"	"72"	"66"	"256"	"0"	"256"	"0"
"34"	"15"	"477"	"223"	"18"	"145"	"91"	"477"	"0"	"477"	"0"
"35"	"16"	"464"	"71"	"12"	"321"	"60"	"464"	"0"	"464"	"0"
"36"	"17"	"324"	"208"	"10"	"67"	"39"	"324"	"0"	"324"	"0"
"37"	"18"	"454"	"136"	"22"	"255"	"41"	"454"	"0"	"454"	"0"
"38"	"19"	"315"	"49"	"18"	"116"	"132"	"315"	"0"	"315"	"0"
"39"	"20"	"411"	"75"	"20"	"153"	"163"	"411"	"0"	"411"	"0"
"40"	"21"	"297"	"76"	"12"	"38"	"171"	"297"	"0"	"297"	"0"
"41"	"22"	"279"	"55"	"5"	"68"	"151"	"279"	"0"	"279"	"0"
"42"	"22K"	"353"	"50"	"15"	"81"	"207"	"353"	"0"	"353"	"0"
"43"	"23"	"550"	"140"	"11"	"102"	"297"	"550"	"0"	"550"	"0"
"44"	"24"	"401"	"109"	"9"	"192"	"91"	"401"	"0"	"401"	"0"
"45"	"Grand Total"	"5331"	"1578"	"189"	"1779"	"1785"	"5331"	"0"	"5331"	"0"
"46"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"47"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"48"	"No. and Name of Assembly Constituency  :-       46- Raghopur"	""	""	""	""	""	""	""	""	""
"49"	"Total No. of Electors in the Assembly Constituency :-  214802"	""	""	""	""	""	""	""	""	""
"50"	"Round No.  :-    3"	""	""	""	""	""	""	""	""	""
"51"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"52"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"53"	""	""	"LJP"	"BSP"	"RJD"	"JD  (U)"	""	""	""	""
"54"	""	""	"PRAMOD KU SINGH"	"BALENDRA DAS"	"RABRI DEVI"	"SATISH KUMAR"	""	""	""	""
"55"	"25"	"476"	"20"	"22"	"321"	"113"	"476"	"0"	"476"	"0"
"56"	"26"	"490"	"72"	"20"	"197"	"201"	"490"	"0"	"490"	"0"
"57"	"27"	"505"	"77"	"29"	"173"	"226"	"505"	"0"	"505"	"0"
"58"	"28"	"431"	"70"	"21"	"126"	"214"	"431"	"0"	"431"	"0"
"59"	"29"	"298"	"108"	"6"	"29"	"155"	"298"	"0"	"298"	"0"
"60"	"29K"	"314"	"27"	"21"	"179"	"87"	"314"	"0"	"314"	"0"
"61"	"30"	"309"	"71"	"11"	"109"	"118"	"309"	"0"	"309"	"0"
"62"	"30K"	"281"	"36"	"18"	"117"	"110"	"281"	"0"	"281"	"0"
"63"	"31"	"356"	"75"	"15"	"161"	"105"	"356"	"0"	"356"	"0"
"64"	"32"	"329"	"11"	"5"	"121"	"192"	"329"	"0"	"329"	"0"
"65"	"32K"	"424"	"119"	"10"	"89"	"206"	"424"	"0"	"424"	"0"
"66"	"33"	"467"	"78"	"26"	"214"	"149"	"467"	"0"	"467"	"0"
"67"	"34"	"424"	"31"	"11"	"62"	"320"	"424"	"0"	"424"	"0"
"68"	"35"	"541"	"53"	"9"	"107"	"372"	"541"	"0"	"541"	"0"
"69"	"Grand Total"	"5645"	"848"	"224"	"2005"	"2568"	"5645"	"0"	"5645"	"0"
"70"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"71"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"72"	"No. and Name of Assembly Constituency  :-       46- Raghopur"	""	""	""	""	""	""	""	""	""
"73"	"Total No. of Electors in the Assembly Constituency :-  214802"	""	""	""	""	""	""	""	""	""
"74"	"Round No.  :-    4"	""	""	""	""	""	""	""	""	""
"75"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"76"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"77"	""	""	"LJP"	"BSP"	"RJD"	"JD  (U)"	""	""	""	""
"78"	""	""	"PRAMOD KU SINGH"	"BALENDRA DAS"	"RABRI DEVI"	"SATISH KUMAR"	""	""	""	""
"79"	"36"	"506"	"84"	"31"	"228"	"163"	"506"	"0"	"506"	"0"
"80"	"37"	"280"	"31"	"7"	"35"	"207"	"280"	"0"	"280"	"0"
"81"	"38"	"312"	"114"	"13"	"128"	"57"	"312"	"0"	"312"	"0"
"82"	"38K"	"254"	"61"	"4"	"69"	"120"	"254"	"0"	"254"	"0"
"83"	"39"	"455"	"122"	"18"	"76"	"239"	"455"	"0"	"455"	"0"
"84"	"40"	"564"	"56"	"27"	"325"	"156"	"564"	"0"	"564"	"0"
"85"	"41"	"377"	"81"	"18"	"34"	"244"	"377"	"0"	"377"	"0"
"86"	"42"	"314"	"13"	"3"	"45"	"253"	"314"	"0"	"314"	"0"
"87"	"42K"	"334"	"250"	"11"	"44"	"29"	"334"	"0"	"334"	"0"
"88"	"43"	"424"	"88"	"11"	"197"	"128"	"424"	"0"	"424"	"0"
"89"	"44"	"507"	"232"	"18"	"130"	"127"	"507"	"0"	"507"	"0"
"90"	"45"	"299"	"66"	"18"	"41"	"174"	"299"	"0"	"299"	"0"
"91"	"45K"	"225"	"37"	"7"	"40"	"141"	"225"	"0"	"225"	"0"
"92"	"46"	"369"	"63"	"9"	"215"	"82"	"369"	"0"	"369"	"0"
"93"	"Grand Total"	"5220"	"1298"	"195"	"1607"	"2120"	"5220"	"0"	"5220"	"0"
"94"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"95"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"96"	"No. and Name of Assembly Constituency  :-       46- Raghopur"	""	""	""	""	""	""	""	""	""
"97"	"Total No. of Electors in the Assembly Constituency :-  214802"	""	""	""	""	""	""	""	""	""
"98"	"Round No.  :-    5"	""	""	""	""	""	""	""	""	""
"99"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"100"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"101"	""	""	"LJP"	"BSP"	"RJD"	"JD  (U)"	""	""	""	""
"102"	""	""	"PRAMOD KU SINGH"	"BALENDRA DAS"	"RABRI DEVI"	"SATISH KUMAR"	""	""	""	""
"103"	"46K"	"291"	"11"	"7"	"198"	"75"	"291"	"0"	"291"	"0"
"104"	"47"	"300"	"59"	"5"	"173"	"63"	"300"	"0"	"300"	"0"
"105"	"48"	"364"	"30"	"15"	"162"	"157"	"364"	"0"	"364"	"0"
"106"	"49"	"511"	"103"	"30"	"227"	"151"	"511"	"0"	"511"	"0"
"107"	"50"	"442"	"30"	"19"	"253"	"140"	"442"	"0"	"442"	"0"
"108"	"50K"	"230"	"21"	"6"	"169"	"34"	"230"	"0"	"230"	"0"
"109"	"51"	"470"	"101"	"8"	"156"	"205"	"470"	"0"	"470"	"0"
"110"	"52"	"600"	"79"	"19"	"336"	"166"	"600"	"0"	"600"	"0"
"111"	"53"	"444"	"128"	"15"	"144"	"157"	"444"	"0"	"444"	"0"
"112"	"54"	"451"	"81"	"11"	"21"	"338"	"451"	"0"	"451"	"0"
"113"	"55"	"368"	"65"	"10"	"76"	"217"	"368"	"0"	"368"	"0"
"114"	"56"	"225"	"34"	"8"	"58"	"125"	"225"	"0"	"225"	"0"
"115"	"57"	"370"	"72"	"11"	"41"	"246"	"370"	"0"	"370"	"0"
"116"	"58"	"380"	"314"	"17"	"12"	"37"	"380"	"0"	"380"	"0"
"117"	"Grand Total"	"5446"	"1128"	"181"	"2026"	"2111"	"5446"	"0"	"5446"	"0"
"118"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"119"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"120"	"No. and Name of Assembly Constituency  :-       46- Raghopur"	""	""	""	""	""	""	""	""	""
"121"	"Total No. of Electors in the Assembly Constituency :-  214802"	""	""	""	""	""	""	""	""	""
"122"	"Round No.  :-    6"	""	""	""	""	""	""	""	""	""
"123"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"124"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"125"	""	""	"LJP"	"BSP"	"RJD"	"JD  (U)"	""	""	""	""
"126"	""	""	"PRAMOD KU SINGH"	"BALENDRA DAS"	"RABRI DEVI"	"SATISH KUMAR"	""	""	""	""
"127"	"59"	"316"	"64"	"16"	"127"	"109"	"316"	"0"	"316"	"0"
"128"	"60"	"456"	"145"	"18"	"96"	"197"	"456"	"0"	"456"	"0"
"129"	"61"	"278"	"44"	"6"	"12"	"216"	"278"	"0"	"278"	"0"
"130"	"61K"	"215"	"28"	"8"	"16"	"163"	"215"	"0"	"215"	"0"
"131"	"62"	"528"	"173"	"15"	"57"	"283"	"528"	"0"	"528"	"0"
"132"	"63"	"324"	"21"	"3"	"179"	"121"	"324"	"0"	"324"	"0"
"133"	"64"	"345"	"82"	"12"	"75"	"176"	"345"	"0"	"345"	"0"
"134"	"65"	"389"	"124"	"8"	"189"	"68"	"389"	"0"	"389"	"0"
"135"	"66"	"701"	"180"	"20"	"65"	"436"	"701"	"0"	"701"	"0"
"136"	"67"	"221"	"11"	"3"	"123"	"84"	"221"	"0"	"221"	"0"
"137"	"67K"	"310"	"32"	"12"	"167"	"99"	"310"	"0"	"310"	"0"
"138"	"68"	"362"	"29"	"14"	"29"	"290"	"362"	"0"	"362"	"0"
"139"	"69"	"493"	"202"	"20"	"161"	"110"	"493"	"0"	"493"	"0"
"140"	"70"	"465"	"147"	"27"	"237"	"54"	"465"	"0"	"465"	"0"
"141"	"Grand Total"	"5403"	"1282"	"182"	"1533"	"2406"	"5403"	"0"	"5403"	"0"
"142"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"143"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"144"	"No. and Name of Assembly Constituency  :-       46- Raghopur"	""	""	""	""	""	""	""	""	""
"145"	"Total No. of Electors in the Assembly Constituency :-  214802"	""	""	""	""	""	""	""	""	""
"146"	"Round No.  :-    7"	""	""	""	""	""	""	""	""	""
"147"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"148"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"149"	""	""	"LJP"	"BSP"	"RJD"	"JD  (U)"	""	""	""	""
"150"	""	""	"PRAMOD KU SINGH"	"BALENDRA DAS"	"RABRI DEVI"	"SATISH KUMAR"	""	""	""	""
"151"	"71"	"489"	"68"	"19"	"288"	"114"	"489"	"0"	"489"	"0"
"152"	"72"	"392"	"93"	"17"	"94"	"188"	"392"	"0"	"392"	"0"
"153"	"73"	"233"	"38"	"7"	"77"	"111"	"233"	"0"	"233"	"0"
"154"	"74"	"335"	"68"	"13"	"222"	"32"	"335"	"0"	"335"	"0"
"155"	"75"	"466"	"305"	"15"	"56"	"90"	"466"	"0"	"466"	"0"
"156"	"76"	"234"	"28"	"15"	"76"	"115"	"234"	"0"	"234"	"0"
"157"	"76K"	"315"	"31"	"12"	"59"	"213"	"315"	"0"	"315"	"0"
"158"	"77"	"298"	"32"	"13"	"112"	"141"	"298"	"0"	"298"	"0"
"159"	"78"	"335"	"46"	"17"	"129"	"143"	"335"	"0"	"335"	"0"
"160"	"79"	"395"	"56"	"19"	"286"	"34"	"395"	"0"	"395"	"0"
"161"	"80"	"252"	"17"	"19"	"182"	"34"	"252"	"0"	"252"	"0"
"162"	"81"	"500"	"322"	"14"	"100"	"64"	"500"	"0"	"500"	"0"
"163"	"82"	"510"	"27"	"11"	"350"	"122"	"510"	"0"	"510"	"0"
"164"	"83"	"262"	"22"	"4"	"22"	"214"	"262"	"0"	"262"	"0"
"165"	"Grand Total"	"5016"	"1153"	"195"	"2053"	"1615"	"5016"	"0"	"5016"	"0"
"166"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"167"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"168"	"No. and Name of Assembly Constituency  :-       46- Raghopur"	""	""	""	""	""	""	""	""	""
"169"	"Total No. of Electors in the Assembly Constituency :-  214802"	""	""	""	""	""	""	""	""	""
"170"	"Round No.  :-    8"	""	""	""	""	""	""	""	""	""
"171"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"172"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"173"	""	""	"LJP"	"BSP"	"RJD"	"JD  (U)"	""	""	""	""
"174"	""	""	"PRAMOD KU SINGH"	"BALENDRA DAS"	"RABRI DEVI"	"SATISH KUMAR"	""	""	""	""
"175"	"84"	"388"	"134"	"5"	"31"	"218"	"388"	"0"	"388"	"0"
"176"	"85"	"354"	"79"	"26"	"172"	"77"	"354"	"0"	"354"	"0"
"177"	"86"	"632"	"75"	"15"	"393"	"149"	"632"	"0"	"632"	"0"
"178"	"87"	"237"	"68"	"9"	"91"	"69"	"237"	"0"	"237"	"0"
"179"	"88"	"415"	"45"	"15"	"244"	"111"	"415"	"0"	"415"	"0"
"180"	"89"	"493"	"186"	"16"	"137"	"154"	"493"	"0"	"493"	"0"
"181"	"90"	"636"	"42"	"13"	"564"	"17"	"636"	"0"	"636"	"0"
"182"	"91"	"417"	"147"	"6"	"85"	"179"	"417"	"0"	"417"	"0"
"183"	"92"	"380"	"75"	"21"	"267"	"17"	"380"	"0"	"380"	"0"
"184"	"93"	"732"	"157"	"15"	"476"	"84"	"732"	"0"	"732"	"0"
"185"	"94"	"409"	"129"	"24"	"154"	"102"	"409"	"0"	"409"	"0"
"186"	"95"	"315"	"96"	"16"	"93"	"110"	"315"	"0"	"315"	"0"
"187"	"95K"	"201"	"54"	"4"	"31"	"112"	"201"	"0"	"201"	"0"
"188"	"96"	"487"	"53"	"11"	"334"	"89"	"487"	"0"	"487"	"0"
"189"	"Grand Total"	"6096"	"1340"	"196"	"3072"	"1488"	"6096"	"0"	"6096"	"0"
"190"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"191"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"192"	"No. and Name of Assembly Constituency  :-       46- Raghopur"	""	""	""	""	""	""	""	""	""
"193"	"Total No. of Electors in the Assembly Constituency :-  214802"	""	""	""	""	""	""	""	""	""
"194"	"Round No.  :-    9"	""	""	""	""	""	""	""	""	""
"195"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"196"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"197"	""	""	"LJP"	"BSP"	"RJD"	"JD  (U)"	""	""	""	""
"198"	""	""	"PRAMOD KU SINGH"	"BALENDRA DAS"	"RABRI DEVI"	"SATISH KUMAR"	""	""	""	""
"199"	"97"	"451"	"127"	"17"	"161"	"146"	"451"	"0"	"451"	"0"
"200"	"98"	"463"	"129"	"17"	"200"	"117"	"463"	"0"	"463"	"0"
"201"	"99"	"491"	"68"	"23"	"288"	"112"	"491"	"0"	"491"	"0"
"202"	"100"	"690"	"94"	"32"	"408"	"156"	"690"	"0"	"690"	"0"
"203"	"101"	"554"	"27"	"17"	"282"	"228"	"554"	"0"	"554"	"0"
"204"	"102"	"520"	"86"	"12"	"325"	"97"	"520"	"0"	"520"	"0"
"205"	"102K"	"368"	"21"	"23"	"279"	"45"	"368"	"0"	"368"	"0"
"206"	"103"	"557"	"53"	"28"	"368"	"108"	"557"	"0"	"557"	"0"
"207"	"104"	"448"	"46"	"17"	"213"	"172"	"448"	"0"	"448"	"0"
"208"	"105"	"387"	"19"	"12"	"263"	"93"	"387"	"0"	"387"	"0"
"209"	"105K"	"349"	"18"	"9"	"270"	"52"	"349"	"0"	"349"	"0"
"210"	"106"	"411"	"26"	"12"	"289"	"84"	"411"	"0"	"411"	"0"
"211"	"107"	"416"	"17"	"11"	"318"	"70"	"416"	"0"	"416"	"0"
"212"	"107K"	"63"	"5"	"2"	"49"	"7"	"63"	"0"	"63"	"0"
"213"	"Grand Total"	"6168"	"736"	"232"	"3713"	"1487"	"6168"	"0"	"6168"	"0"
"214"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"215"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"216"	"No. and Name of Assembly Constituency  :-       46- Raghopur"	""	""	""	""	""	""	""	""	""
"217"	"Total No. of Electors in the Assembly Constituency :-  214802"	""	""	""	""	""	""	""	""	""
"218"	"Round No.  :-    10"	""	""	""	""	""	""	""	""	""
"219"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"220"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"221"	""	""	"LJP"	"BSP"	"RJD"	"JD  (U)"	""	""	""	""
"222"	""	""	"PRAMOD KU SINGH"	"BALENDRA DAS"	"RABRI DEVI"	"SATISH KUMAR"	""	""	""	""
"223"	"108"	"96"	"6"	"5"	"71"	"14"	"96"	"0"	"96"	"0"
"224"	"109"	"198"	"5"	"1"	"161"	"31"	"198"	"0"	"198"	"0"
"225"	"110"	"72"	"14"	"1"	"17"	"40"	"72"	"0"	"72"	"0"
"226"	"110K"	"105"	"26"	"2"	"13"	"64"	"105"	"0"	"105"	"0"
"227"	"111"	"173"	"28"	"6"	"57"	"82"	"173"	"0"	"173"	"0"
"228"	"111K"	"120"	"11"	"6"	"56"	"47"	"120"	"0"	"120"	"0"
"229"	"112"	"220"	"12"	"14"	"155"	"39"	"220"	"0"	"220"	"0"
"230"	"113"	"405"	"31"	"12"	"208"	"154"	"405"	"0"	"405"	"0"
"231"	"114"	"279"	"30"	"14"	"141"	"94"	"279"	"0"	"279"	"0"
"232"	"115"	"303"	"26"	"7"	"186"	"84"	"303"	"0"	"303"	"0"
"233"	"116"	"504"	"119"	"36"	"193"	"156"	"504"	"0"	"504"	"0"
"234"	"117"	"256"	"86"	"8"	"88"	"74"	"256"	"0"	"256"	"0"
"235"	"118"	"155"	"16"	"4"	"109"	"26"	"155"	"0"	"155"	"0"
"236"	"118K"	"50"	"3"	"5"	"37"	"5"	"50"	"0"	"50"	"0"
"237"	"Grand Total"	"2936"	"413"	"121"	"1492"	"910"	"2936"	"0"	"2936"	"0"
"238"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"239"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"240"	"No. and Name of Assembly Constituency  :-       46- Raghopur"	""	""	""	""	""	""	""	""	""
"241"	"Total No. of Electors in the Assembly Constituency :-  214802"	""	""	""	""	""	""	""	""	""
"242"	"Round No.  :-    11"	""	""	""	""	""	""	""	""	""
"243"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"244"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"245"	""	""	"LJP"	"BSP"	"RJD"	"JD  (U)"	""	""	""	""
"246"	""	""	"PRAMOD KU SINGH"	"BALENDRA DAS"	"RABRI DEVI"	"SATISH KUMAR"	""	""	""	""
"247"	"119"	"263"	"20"	"4"	"135"	"104"	"263"	"0"	"263"	"0"
"248"	"120"	"283"	"19"	"10"	"152"	"102"	"283"	"0"	"283"	"0"
"249"	"120K"	"352"	"47"	"8"	"189"	"108"	"352"	"0"	"352"	"0"
"250"	"121"	"443"	"24"	"18"	"252"	"149"	"443"	"0"	"443"	"0"
"251"	"122"	"247"	"7"	"8"	"178"	"54"	"247"	"0"	"247"	"0"
"252"	"123"	"388"	"35"	"10"	"209"	"134"	"388"	"0"	"388"	"0"
"253"	"124"	"422"	"31"	"19"	"197"	"175"	"422"	"0"	"422"	"0"
"254"	"125"	"175"	"11"	"13"	"96"	"55"	"175"	"0"	"175"	"0"
"255"	"126"	"269"	"11"	"12"	"94"	"152"	"269"	"0"	"269"	"0"
"256"	"127"	"380"	"34"	"2"	"245"	"99"	"380"	"0"	"380"	"0"
"257"	"128"	"400"	"64"	"9"	"29"	"298"	"400"	"0"	"400"	"0"
"258"	"129"	"378"	"27"	"8"	"124"	"219"	"378"	"0"	"378"	"0"
"259"	"129K"	"279"	"11"	"0"	"87"	"181"	"279"	"0"	"279"	"0"
"260"	"130"	"529"	"47"	"12"	"217"	"253"	"529"	"0"	"529"	"0"
"261"	"Grand Total"	"4808"	"388"	"133"	"2204"	"2083"	"4808"	"0"	"4808"	"0"
"262"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"263"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"264"	"No. and Name of Assembly Constituency  :-       46- Raghopur"	""	""	""	""	""	""	""	""	""
"265"	"Total No. of Electors in the Assembly Constituency :-  214802"	""	""	""	""	""	""	""	""	""
"266"	"Round No.  :-    12"	""	""	""	""	""	""	""	""	""
"267"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"268"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"269"	""	""	"LJP"	"BSP"	"RJD"	"JD  (U)"	""	""	""	""
"270"	""	""	"PRAMOD KU SINGH"	"BALENDRA DAS"	"RABRI DEVI"	"SATISH KUMAR"	""	""	""	""
"271"	"131"	"313"	"23"	"10"	"170"	"110"	"313"	"0"	"313"	"0"
"272"	"132"	"457"	"12"	"8"	"192"	"245"	"457"	"0"	"457"	"0"
"273"	"133"	"472"	"40"	"18"	"264"	"150"	"472"	"0"	"472"	"0"
"274"	"134"	"424"	"35"	"15"	"167"	"207"	"424"	"0"	"424"	"0"
"275"	"135"	"592"	"57"	"26"	"360"	"149"	"592"	"0"	"592"	"0"
"276"	"136"	"307"	"11"	"9"	"239"	"48"	"307"	"0"	"307"	"0"
"277"	"137"	"416"	"72"	"25"	"114"	"205"	"416"	"0"	"416"	"0"
"278"	"138"	"518"	"65"	"31"	"267"	"155"	"518"	"0"	"518"	"0"
"279"	"139"	"304"	"38"	"11"	"136"	"119"	"304"	"0"	"304"	"0"
"280"	"140"	"395"	"38"	"18"	"240"	"99"	"395"	"0"	"395"	"0"
"281"	"141"	"321"	"23"	"20"	"237"	"41"	"321"	"0"	"321"	"0"
"282"	"142"	"292"	"55"	"13"	"159"	"65"	"292"	"0"	"292"	"0"
"283"	"143"	"294"	"21"	"15"	"192"	"66"	"294"	"0"	"294"	"0"
"284"	"144"	"556"	"53"	"21"	"271"	"211"	"556"	"0"	"556"	"0"
"285"	"Grand Total"	"5661"	"543"	"240"	"3008"	"1870"	"5661"	"0"	"5661"	"0"
"286"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"287"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
