"Total.No..of.Electors.in.Assembly.Constituency...120838"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election for 1-Dhanaha Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"Arthraj Yadav"	"Awadh Kishore Mishra"	"Mukesh Kumar Kushwaha"	"Rajesh Kumar Kawat"	"Rajesh Singh"	"Krishna Bihari Prasad Kushwaha"	"Ramadhar Yadav"	"Mahesh Sahani"	"Ramakant Singh Yadav"	"Ram Chandra Ram"	"Shambhu Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.           of
Tendered Votes"	""
"19"	"11"	"1"	"2"	"479"	"1"	"58"	"2"	"6"	"1"	"0"	"0"	"1"	"551"	"0"	"551"	"0"	""
"20"	"12"	"3"	"1"	"266"	"5"	"18"	"5"	"13"	"2"	"4"	"3"	"0"	"320"	"0"	"320"	"0"	""
"21"	"Total"	"172"	"41"	"2583"	"94"	"2070"	"71"	"584"	"58"	"55"	"40"	"75"	"5843"	"0"	"5843"	"0"	""
"22"	"Total No. of Electors in Assembly Constituency - 120838"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Election for 1-Dhanaha Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Polling Station No."	"Arthraj Yadav"	"Awadh Kishore Mishra"	"Mukesh Kumar Kushwaha"	"Rajesh Kumar Kawat"	"Rajesh Singh"	"Krishna Bihari Prasad Kushwaha"	"Ramadhar Yadav"	"Mahesh Sahani"	"Ramakant Singh Yadav"	"Ram Chandra Ram"	"Shambhu Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.           of
Tendered Votes"	""
"28"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"29"	"13"	"9"	"2"	"199"	"9"	"200"	"13"	"126"	"6"	"9"	"2"	"6"	"581"	"0"	"581"	"0"	""
"30"	"14"	"13"	"3"	"14"	"4"	"191"	"10"	"175"	"7"	"9"	"7"	"12"	"445"	"0"	"445"	"0"	""
"31"	"15"	"13"	"5"	"41"	"11"	"211"	"10"	"172"	"12"	"4"	"4"	"5"	"488"	"0"	"488"	"0"	""
"32"	"16"	"127"	"13"	"294"	"11"	"48"	"8"	"221"	"8"	"8"	"3"	"11"	"752"	"0"	"752"	"0"	""
"33"	"17"	"24"	"5"	"83"	"3"	"51"	"8"	"175"	"4"	"3"	"1"	"1"	"358"	"0"	"358"	"0"	""
"34"	"18"	"46"	"6"	"453"	"6"	"22"	"2"	"179"	"9"	"2"	"3"	"3"	"731"	"0"	"731"	"0"	""
"35"	"19"	"43"	"3"	"245"	"14"	"242"	"11"	"131"	"8"	"9"	"3"	"7"	"716"	"0"	"716"	"0"	""
"36"	"20"	"10"	"5"	"35"	"5"	"154"	"15"	"109"	"10"	"13"	"1"	"12"	"369"	"0"	"369"	"0"	""
"37"	"21"	"33"	"2"	"70"	"17"	"213"	"14"	"197"	"10"	"10"	"8"	"17"	"591"	"0"	"591"	"0"	""
"38"	"22"	"32"	"18"	"56"	"96"	"102"	"9"	"279"	"16"	"8"	"8"	"10"	"634"	"0"	"634"	"0"	""
"39"	"23"	"5"	"5"	"57"	"6"	"65"	"5"	"156"	"4"	"3"	"3"	"4"	"313"	"0"	"313"	"0"	""
"40"	"24"	"38"	"4"	"226"	"18"	"329"	"8"	"42"	"3"	"8"	"4"	"2"	"682"	"0"	"682"	"0"	""
"41"	"25"	"25"	"3"	"208"	"4"	"103"	"5"	"68"	"7"	"7"	"5"	"4"	"439"	"0"	"439"	"0"	""
"42"	"26"	"75"	"5"	"45"	"15"	"139"	"15"	"180"	"5"	"8"	"1"	"3"	"491"	"0"	"491"	"0"	""
"43"	"Total"	"493"	"79"	"2026"	"219"	"2070"	"133"	"2210"	"109"	"101"	"53"	"97"	"7590"	"0"	"7590"	"0"	""
"44"	"Total No. of Electors in Assembly Constituency - 120838"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"Election for 1-Dhanaha Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"Polling Station No."	"Arthraj Yadav"	"Awadh Kishore Mishra"	"Mukesh Kumar Kushwaha"	"Rajesh Kumar Kawat"	"Rajesh Singh"	"Krishna Bihari Prasad Kushwaha"	"Ramadhar Yadav"	"Mahesh Sahani"	"Ramakant Singh Yadav"	"Ram Chandra Ram"	"Shambhu Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.           of
Tendered Votes"	""
"50"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"51"	"27"	"67"	"2"	"30"	"7"	"107"	"4"	"86"	"3"	"3"	"1"	"0"	"310"	"0"	"310"	"0"	""
"52"	"28"	"48"	"2"	"51"	"1"	"236"	"8"	"250"	"11"	"4"	"1"	"7"	"619"	"0"	"619"	"0"	""
"53"	"29"	"48"	"2"	"21"	"33"	"180"	"15"	"284"	"26"	"10"	"9"	"15"	"643"	"0"	"643"	"0"	""
"54"	"30"	"4"	"1"	"30"	"6"	"158"	"19"	"121"	"7"	"2"	"1"	"11"	"360"	"0"	"360"	"0"	""
"55"	"31"	"21"	"10"	"173"	"23"	"220"	"13"	"100"	"15"	"5"	"3"	"10"	"593"	"0"	"593"	"0"	""
"56"	"32"	"51"	"3"	"94"	"26"	"231"	"12"	"40"	"1"	"12"	"6"	"14"	"490"	"0"	"490"	"0"	""
"57"	"33"	"20"	"6"	"96"	"8"	"164"	"14"	"138"	"2"	"6"	"2"	"0"	"456"	"0"	"456"	"0"	""
"58"	"34"	"33"	"1"	"9"	"6"	"458"	"18"	"46"	"2"	"2"	"0"	"1"	"576"	"0"	"576"	"0"	""
"59"	"35"	"11"	"5"	"29"	"20"	"308"	"14"	"178"	"9"	"10"	"9"	"24"	"617"	"0"	"617"	"0"	""
"60"	"36"	"29"	"3"	"32"	"14"	"498"	"7"	"179"	"3"	"2"	"1"	"1"	"769"	"0"	"769"	"0"	""
"61"	"37"	"5"	"4"	"61"	"3"	"46"	"4"	"135"	"3"	"1"	"2"	"3"	"267"	"0"	"267"	"0"	""
"62"	"38"	"0"	"1"	"9"	"2"	"20"	"4"	"222"	"3"	"4"	"3"	"1"	"269"	"0"	"269"	"0"	""
"63"	"39"	"2"	"0"	"1"	"2"	"21"	"7"	"194"	"5"	"2"	"1"	"3"	"238"	"0"	"238"	"0"	""
"64"	"39A"	"4"	"0"	"0"	"0"	"9"	"7"	"292"	"6"	"6"	"2"	"5"	"331"	"0"	"331"	"0"	""
"65"	"Total"	"343"	"40"	"636"	"151"	"2656"	"146"	"2265"	"96"	"69"	"41"	"95"	"6538"	"0"	"6538"	"0"	""
"66"	"Total No. of Electors in Assembly Constituency - 120838"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"Election for 1-Dhanaha Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"Polling Station No."	"Arthraj Yadav"	"Awadh Kishore Mishra"	"Mukesh Kumar Kushwaha"	"Rajesh Kumar Kawat"	"Rajesh Singh"	"Krishna Bihari Prasad Kushwaha"	"Ramadhar Yadav"	"Mahesh Sahani"	"Ramakant Singh Yadav"	"Ram Chandra Ram"	"Shambhu Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.           of
Tendered Votes"	""
"72"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"73"	"40"	"1"	"0"	"10"	"0"	"3"	"0"	"127"	"0"	"0"	"0"	"0"	"141"	"0"	"141"	"0"	""
"74"	"41"	"3"	"4"	"13"	"2"	"184"	"13"	"377"	"17"	"5"	"10"	"21"	"649"	"0"	"649"	"0"	""
"75"	"42"	"3"	"0"	"77"	"10"	"162"	"3"	"162"	"3"	"6"	"1"	"13"	"440"	"0"	"440"	"0"	""
"76"	"43"	"2"	"2"	"1"	"5"	"20"	"0"	"188"	"1"	"2"	"2"	"0"	"223"	"0"	"223"	"0"	""
"77"	"44"	"83"	"3"	"142"	"6"	"233"	"11"	"189"	"6"	"7"	"6"	"15"	"701"	"0"	"701"	"0"	""
"78"	"45"	"15"	"4"	"49"	"45"	"236"	"5"	"134"	"7"	"3"	"8"	"5"	"511"	"0"	"511"	"0"	""
"79"	"46"	"18"	"2"	"71"	"3"	"104"	"6"	"99"	"7"	"6"	"2"	"2"	"320"	"0"	"320"	"0"	""
"80"	"46A"	"85"	"14"	"34"	"8"	"97"	"13"	"172"	"2"	"2"	"3"	"6"	"436"	"0"	"436"	"0"	""
"81"	"47"	"57"	"18"	"84"	"3"	"105"	"4"	"70"	"5"	"7"	"5"	"10"	"368"	"0"	"368"	"0"	""
"82"	"47A"	"69"	"7"	"37"	"5"	"136"	"13"	"84"	"6"	"5"	"1"	"5"	"368"	"0"	"368"	"0"	""
"83"	"48"	"28"	"6"	"33"	"7"	"162"	"17"	"284"	"6"	"4"	"1"	"7"	"555"	"0"	"555"	"0"	""
"84"	"49"	"14"	"6"	"406"	"5"	"71"	"6"	"94"	"4"	"6"	"1"	"8"	"621"	"0"	"621"	"0"	""
"85"	"50"	"36"	"3"	"61"	"3"	"148"	"12"	"69"	"5"	"3"	"10"	"6"	"356"	"0"	"356"	"0"	""
"86"	"50A"	"197"	"9"	"40"	"10"	"64"	"4"	"101"	"7"	"4"	"2"	"15"	"453"	"0"	"453"	"0"	""
"87"	"Total"	"611"	"78"	"1058"	"112"	"1725"	"107"	"2150"	"76"	"60"	"52"	"113"	"6142"	"0"	"6142"	"0"	""
"88"	"Total No. of Electors in Assembly Constituency - 120838"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"Election for 1-Dhanaha Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"Polling Station No."	"Arthraj Yadav"	"Awadh Kishore Mishra"	"Mukesh Kumar Kushwaha"	"Rajesh Kumar Kawat"	"Rajesh Singh"	"Krishna Bihari Prasad Kushwaha"	"Ramadhar Yadav"	"Mahesh Sahani"	"Ramakant Singh Yadav"	"Ram Chandra Ram"	"Shambhu Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.           of
Tendered Votes"	""
"94"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"95"	"51"	"99"	"6"	"237"	"14"	"135"	"8"	"133"	"11"	"11"	"5"	"6"	"665"	"0"	"665"	"0"	""
"96"	"52"	"35"	"4"	"64"	"3"	"291"	"6"	"182"	"1"	"5"	"5"	"4"	"600"	"0"	"600"	"0"	""
"97"	"53"	"54"	"7"	"210"	"17"	"164"	"9"	"186"	"6"	"8"	"9"	"6"	"676"	"0"	"676"	"0"	""
"98"	"54"	"17"	"3"	"290"	"4"	"322"	"4"	"123"	"0"	"1"	"1"	"0"	"765"	"0"	"765"	"0"	""
"99"	"55"	"7"	"2"	"43"	"4"	"106"	"12"	"135"	"2"	"2"	"1"	"6"	"320"	"0"	"320"	"0"	""
"100"	"56"	"39"	"4"	"76"	"10"	"195"	"7"	"162"	"15"	"10"	"11"	"15"	"544"	"0"	"544"	"0"	""
"101"	"57"	"6"	"4"	"225"	"8"	"109"	"6"	"107"	"4"	"11"	"4"	"17"	"501"	"0"	"501"	"0"	""
"102"	"58"	"63"	"3"	"65"	"8"	"151"	"17"	"263"	"17"	"12"	"2"	"10"	"611"	"0"	"611"	"0"	""
"103"	"59"	"58"	"6"	"111"	"31"	"152"	"9"	"231"	"7"	"5"	"4"	"11"	"625"	"0"	"625"	"0"	""
"104"	"60"	"55"	"8"	"161"	"4"	"125"	"5"	"216"	"3"	"0"	"1"	"2"	"580"	"0"	"580"	"0"	""
"105"	"61"	"33"	"3"	"150"	"10"	"111"	"7"	"171"	"5"	"9"	"4"	"8"	"511"	"0"	"511"	"0"	""
"106"	"62"	"118"	"4"	"66"	"8"	"129"	"9"	"175"	"8"	"3"	"5"	"8"	"533"	"0"	"533"	"0"	""
"107"	"63"	"8"	"2"	"5"	"2"	"130"	"15"	"215"	"11"	"8"	"3"	"10"	"409"	"0"	"409"	"0"	""
"108"	"64"	"32"	"5"	"12"	"6"	"103"	"8"	"275"	"5"	"9"	"5"	"9"	"469"	"0"	"469"	"0"	""
"109"	"Total"	"624"	"61"	"1715"	"129"	"2223"	"122"	"2574"	"95"	"94"	"60"	"112"	"7809"	"0"	"7809"	"0"	""
"110"	"Total No. of Electors in Assembly Constituency - 120838"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"Election for 1-Dhanaha Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"Polling Station No."	"Arthraj Yadav"	"Awadh Kishore Mishra"	"Mukesh Kumar Kushwaha"	"Rajesh Kumar Kawat"	"Rajesh Singh"	"Krishna Bihari Prasad Kushwaha"	"Ramadhar Yadav"	"Mahesh Sahani"	"Ramakant Singh Yadav"	"Ram Chandra Ram"	"Shambhu Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.           of
Tendered Votes"	""
"116"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"117"	"65"	"138"	"10"	"189"	"2"	"131"	"9"	"97"	"8"	"7"	"7"	"18"	"616"	"0"	"616"	"0"	""
"118"	"66"	"64"	"12"	"274"	"9"	"87"	"9"	"190"	"10"	"3"	"6"	"9"	"673"	"0"	"673"	"0"	""
"119"	"67"	"42"	"3"	"130"	"11"	"163"	"25"	"269"	"12"	"9"	"9"	"30"	"703"	"0"	"703"	"0"	""
"120"	"68"	"24"	"1"	"0"	"0"	"125"	"1"	"23"	"3"	"1"	"0"	"3"	"181"	"0"	"181"	"0"	""
"121"	"69"	"74"	"8"	"260"	"9"	"237"	"19"	"157"	"18"	"17"	"5"	"16"	"820"	"0"	"820"	"0"	""
"122"	"70"	"47"	"10"	"24"	"21"	"193"	"16"	"313"	"13"	"7"	"9"	"11"	"664"	"0"	"664"	"0"	""
"123"	"71"	"9"	"5"	"8"	"1"	"68"	"15"	"333"	"10"	"8"	"1"	"2"	"460"	"0"	"460"	"0"	""
"124"	"72"	"7"	"2"	"8"	"2"	"191"	"4"	"125"	"5"	"0"	"1"	"7"	"352"	"0"	"352"	"0"	""
"125"	"73"	"18"	"3"	"8"	"4"	"296"	"16"	"92"	"9"	"0"	"3"	"7"	"456"	"0"	"456"	"0"	""
"126"	"74"	"25"	"3"	"8"	"1"	"179"	"8"	"192"	"4"	"3"	"1"	"5"	"429"	"0"	"429"	"0"	""
"127"	"75"	"2"	"1"	"1"	"3"	"6"	"3"	"152"	"6"	"0"	"3"	"1"	"178"	"0"	"178"	"0"	""
"128"	"76"	"9"	"0"	"22"	"9"	"101"	"18"	"452"	"8"	"0"	"1"	"5"	"625"	"0"	"625"	"0"	""
"129"	"77"	"6"	"2"	"3"	"2"	"186"	"11"	"248"	"4"	"3"	"1"	"2"	"468"	"0"	"468"	"0"	""
"130"	"78"	"6"	"4"	"23"	"2"	"30"	"8"	"340"	"13"	"4"	"5"	"8"	"443"	"0"	"443"	"0"	""
"131"	"Total"	"471"	"64"	"958"	"76"	"1993"	"162"	"2983"	"123"	"62"	"52"	"124"	"7068"	"0"	"7068"	"0"	""
"132"	"Total No. of Electors in Assembly Constituency - 120838"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"Election for 1-Dhanaha Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"Polling Station No."	"Arthraj Yadav"	"Awadh Kishore Mishra"	"Mukesh Kumar Kushwaha"	"Rajesh Kumar Kawat"	"Rajesh Singh"	"Krishna Bihari Prasad Kushwaha"	"Ramadhar Yadav"	"Mahesh Sahani"	"Ramakant Singh Yadav"	"Ram Chandra Ram"	"Shambhu Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.           of
Tendered Votes"	""
"138"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"139"	"78A"	"5"	"1"	"7"	"3"	"145"	"4"	"307"	"14"	"3"	"2"	"5"	"496"	"0"	"496"	"0"	""
"140"	"79"	"0"	"2"	"1"	"1"	"7"	"4"	"235"	"2"	"0"	"1"	"0"	"253"	"0"	"253"	"0"	""
"141"	"80"	"10"	"6"	"6"	"3"	"18"	"5"	"206"	"10"	"4"	"2"	"4"	"274"	"0"	"274"	"0"	""
"142"	"81"	"0"	"0"	"3"	"0"	"0"	"1"	"32"	"0"	"0"	"0"	"0"	"36"	"0"	"36"	"0"	""
"143"	"82"	"3"	"0"	"7"	"3"	"22"	"4"	"48"	"3"	"3"	"2"	"4"	"99"	"0"	"99"	"0"	""
"144"	"83"	"1"	"1"	"4"	"3"	"1"	"2"	"23"	"0"	"0"	"1"	"2"	"38"	"0"	"38"	"0"	""
"145"	"84"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	""
"146"	"85"	"0"	"0"	"1"	"1"	"3"	"0"	"54"	"1"	"1"	"0"	"0"	"61"	"0"	"61"	"0"	""
"147"	"86"	"1"	"0"	"9"	"2"	"6"	"3"	"141"	"0"	"0"	"1"	"3"	"166"	"0"	"166"	"0"	""
"148"	"87"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"149"	"88"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"150"	"89"	"2"	"0"	"9"	"5"	"315"	"17"	"205"	"10"	"7"	"5"	"19"	"594"	"0"	"594"	"0"	""
"151"	"90"	"13"	"1"	"9"	"3"	"28"	"2"	"327"	"1"	"1"	"0"	"2"	"387"	"0"	"387"	"0"	""
"152"	"91"	"18"	"1"	"5"	"7"	"260"	"9"	"219"	"7"	"6"	"3"	"14"	"549"	"0"	"549"	"0"	""
"153"	"Total"	"53"	"12"	"61"	"31"	"805"	"51"	"1798"	"48"	"25"	"17"	"53"	"2954"	"0"	"2954"	"0"	""
"154"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"1-Dhanaha Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	"Total No. of Electors in Assembly Constituency - 120838"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"Election for 1-Dhanaha Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"Polling Station No."	"Arthraj Yadav"	"Awadh Kishore Mishra"	"Mukesh Kumar Kushwaha"	"Rajesh Kumar Kawat"	"Rajesh Singh"	"Krishna Bihari Prasad Kushwaha"	"Ramadhar Yadav"	"Mahesh Sahani"	"Ramakant Singh Yadav"	"Ram Chandra Ram"	"Shambhu Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.           of
Tendered Votes"	""
"162"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"163"	"92"	"9"	"1"	"9"	"6"	"59"	"17"	"531"	"8"	"2"	"1"	"9"	"652"	"0"	"652"	"0"	""
"164"	"93"	"47"	"6"	"90"	"15"	"70"	"9"	"182"	"7"	"12"	"3"	"15"	"456"	"0"	"456"	"0"	""
"165"	"94"	"23"	"2"	"145"	"9"	"24"	"9"	"255"	"9"	"8"	"1"	"6"	"491"	"0"	"491"	"0"	""
"166"	"95"	"37"	"4"	"99"	"6"	"88"	"6"	"100"	"4"	"4"	"4"	"2"	"354"	"0"	"354"	"0"	""
"167"	"96"	"6"	"6"	"148"	"8"	"49"	"7"	"390"	"12"	"9"	"8"	"8"	"651"	"0"	"651"	"0"	""
"168"	"97"	"55"	"3"	"43"	"8"	"270"	"19"	"173"	"14"	"17"	"7"	"14"	"623"	"0"	"623"	"0"	""
"169"	"98"	"15"	"3"	"2"	"9"	"67"	"9"	"224"	"7"	"3"	"1"	"4"	"344"	"0"	"344"	"0"	""
"170"	"99"	"11"	"0"	"1"	"3"	"171"	"8"	"209"	"4"	"2"	"1"	"0"	"410"	"0"	"410"	"0"	""
"171"	"100"	"9"	"2"	"16"	"4"	"301"	"10"	"203"	"2"	"6"	"5"	"6"	"564"	"0"	"564"	"0"	""
"172"	"101"	"1"	"3"	"20"	"4"	"9"	"0"	"15"	"0"	"0"	"2"	"3"	"57"	"0"	"57"	"0"	""
"173"	"102"	"11"	"0"	"3"	"5"	"104"	"4"	"57"	"3"	"2"	"3"	"8"	"200"	"0"	"200"	"0"	""
"174"	"103"	"6"	"1"	"13"	"3"	"14"	"5"	"31"	"4"	"3"	"0"	"2"	"82"	"0"	"82"	"0"	""
"175"	"104"	"3"	"0"	"40"	"9"	"31"	"5"	"18"	"1"	"2"	"1"	"7"	"117"	"0"	"117"	"0"	""
"176"	"105"	"43"	"8"	"72"	"17"	"435"	"20"	"22"	"8"	"5"	"5"	"18"	"653"	"0"	"653"	"0"	""
"177"	"Total"	"276"	"39"	"701"	"106"	"1692"	"128"	"2410"	"83"	"75"	"42"	"102"	"5654"	"0"	"5654"	"0"	""
"178"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"1-Dhanaha Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"Total No. of Electors in Assembly Constituency - 120838"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"Election for 1-Dhanaha Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"184"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
