"izi..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"
"1"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""
"2"	"fo/kku lHkk fuokZpu&2005"	""	""	""	""	""	""	""	""
"3"	"157 csygj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""
"4"	""	""	""	""	""	""	""	"1st round"	""
"5"	"ernku dsUnz
la[;k"	"tukZnu ek>h"	"jktsUnz
iafMr usrkth"	"jkenso
;kno"	"foy{.k
jfonkl"	"uUnfd'kksj
iafMr"	"d`r ukjk;.k
ikloku"	"Hkwous'oj ikloku"	"erks dk ;ksx"
"173"	""	""	""	""	""	""	""	""	""
"174"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""
"175"	"izi=&20"	""	""	""	""	""	""	""	""
"176"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""
"177"	"fo/kku lHkk fuokZpu&2005"	""	""	""	""	""	""	""	""
"178"	"157 csygj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""
"179"	""	""	""	""	""	""	""	"8th round"	""
"180"	"ernku dsUnz
la[;k"	"tukZnu ek>h"	"jktsUnz
iafMr usrkth"	"jkenso
;kno"	"foy{.k
jfonkl"	"uUnfd'kksj
iafMr"	"d`r ukjk;.k
ikloku"	"Hkwous'oj ikloku"	"erks dk ;ksx"
"181"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"182"	"93A"	"63"	"10"	"130"	"16"	"11"	"1"	"6"	"237"
"183"	"94"	"34"	"14"	"89"	"281"	"11"	"7"	"5"	"441"
"184"	"95"	"80"	"13"	"39"	"325"	"15"	"8"	"21"	"501"
"185"	"96"	"131"	"56"	"110"	"36"	"14"	"6"	"11"	"364"
"186"	"97"	"314"	"27"	"136"	"175"	"10"	"9"	"22"	"693"
"187"	"98"	"154"	"101"	"129"	"127"	"23"	"13"	"16"	"563"
"188"	"99"	"153"	"26"	"59"	"81"	"16"	"17"	"44"	"396"
"189"	"100"	"204"	"60"	"80"	"38"	"25"	"3"	"18"	"428"
"190"	"101"	"143"	"67"	"134"	"28"	"34"	"7"	"34"	"447"
"191"	"102"	"161"	"27"	"214"	"40"	"17"	"5"	"28"	"492"
"192"	"103"	"103"	"30"	"173"	"19"	"8"	"4"	"27"	"364"
"193"	"103A"	"60"	"14"	"17"	"119"	"5"	"7"	"23"	"245"
"194"	"104"	"168"	"135"	"114"	"121"	"20"	"12"	"22"	"592"
"195"	"105"	"196"	"77"	"61"	"14"	"8"	"4"	"24"	"384"
"196"	";ksx"	"1964"	"657"	"1485"	"1420"	"217"	"103"	"301"	"6147"
"197"	"LFkku &"	""	""	""	""	""	""	""	""
"198"	""	""	""	""	""	""	""	""	""
"199"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""
"200"	"izi=&20"	""	""	""	""	""	""	""	""
"201"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""
"202"	"fo/kku lHkk fuokZpu&2005"	""	""	""	""	""	""	""	""
"203"	"157 csygj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""
"204"	""	""	""	""	""	""	""	"9th round"	""
"205"	"ernku dsUnz
la[;k"	"tukZnu ek>h"	"jktsUnz
iafMr usrkth"	"jkenso
;kno"	"foy{.k
jfonkl"	"uUnfd'kksj
iafMr"	"d`r ukjk;.k
ikloku"	"Hkwous'oj ikloku"	"erks dk ;ksx"
"206"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"207"	"106"	"166"	"147"	"56"	"43"	"5"	"18"	"13"	"448"
"208"	"107"	"373"	"180"	"56"	"27"	"19"	"17"	"15"	"687"
"209"	"108"	"398"	"9"	"64"	"13"	"4"	"2"	"10"	"500"
"210"	"108A"	"262"	"18"	"34"	"2"	"3"	"2"	"7"	"328"
"211"	"109"	"412"	"16"	"28"	"10"	"3"	"6"	"23"	"498"
"212"	"110"	"103"	"41"	"151"	"54"	"10"	"5"	"14"	"378"
"213"	"111"	"61"	"14"	"247"	"41"	"13"	"5"	"9"	"390"
"214"	"112"	"37"	"5"	"214"	"11"	"2"	"1"	"-"	"270"
"215"	"113"	"288"	"37"	"129"	"51"	"11"	"8"	"13"	"537"
"216"	"114"	"83"	"28"	"230"	"72"	"11"	"3"	"7"	"434"
"217"	"115"	"226"	"55"	"79"	"136"	"16"	"5"	"8"	"525"
"218"	"116"	"95"	"10"	"52"	"190"	"14"	"8"	"13"	"382"
"219"	"117"	"141"	"8"	"133"	"101"	"6"	"5"	"7"	"401"
"220"	"118"	"140"	"17"	"81"	"97"	"5"	"3"	"9"	"352"
"221"	";ksx"	"2785"	"585"	"1554"	"848"	"122"	"88"	"148"	"6130"
"222"	"LFkku &"	""	""	""	""	""	""	""	""
"223"	""	""	""	""	""	""	""	""	""
"224"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""
"225"	"izi=&20"	""	""	""	""	""	""	""	""
"226"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""
"227"	"fo/kku lHkk fuokZpu&2005"	""	""	""	""	""	""	""	""
"228"	"157 csygj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""
"229"	""	""	""	""	""	""	""	"10th round"	""
"230"	"ernku dsUnz
la[;k"	"tukZnu ek>h"	"jktsUnz
iafMr usrkth"	"jkenso
;kno"	"foy{.k
jfonkl"	"uUnfd'kksj
iafMr"	"d`r ukjk;.k
ikloku"	"Hkwous'oj ikloku"	"erks dk ;ksx"
"231"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"232"	"119"	"91"	"20"	"80"	"25"	"2"	"1"	"6"	"225"
"233"	"120"	"255"	"22"	"35"	"10"	"7"	"7"	"10"	"346"
"234"	"121"	"179"	"16"	"34"	"15"	"1"	"3"	"16"	"264"
"235"	"122"	"106"	"51"	"84"	"61"	"9"	"10"	"53"	"374"
"236"	"123"	"168"	"7"	"46"	"55"	"2"	"2"	"7"	"287"
"237"	"124"	"113"	"38"	"182"	"82"	"4"	"12"	"13"	"444"
"238"	"125"	"182"	"7"	"125"	"4"	"4"	"1"	"8"	"331"
"239"	"126"	"240"	"8"	"138"	"6"	"6"	"1"	"15"	"414"
"240"	"127"	"90"	"25"	"348"	"11"	"8"	"4"	"10"	"496"
"241"	"128"	"281"	"4"	"44"	"5"	"2"	"1"	"6"	"343"
"242"	"128A"	"307"	"38"	"18"	"3"	"2"	"3"	"5"	"376"
"243"	"129"	"175"	"13"	"148"	"49"	"7"	"6"	"28"	"426"
"244"	"130"	"198"	"10"	"93"	"5"	"4"	"2"	"4"	"316"
"245"	"131"	"118"	"60"	"283"	"16"	"9"	"6"	"6"	"498"
"246"	";ksx"	"2503"	"319"	"1658"	"347"	"67"	"59"	"187"	"5140"
"247"	"LFkku &"	""	""	""	""	""	""	""	""
"248"	""	""	""	""	""	""	""	""	""
"249"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""
"250"	"izi=&20"	""	""	""	""	""	""	""	""
"251"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""
"252"	"fo/kku lHkk fuokZpu&2005"	""	""	""	""	""	""	""	""
"253"	"157 csygj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""
"254"	""	""	""	""	""	""	""	"11th round"	""
"255"	"ernku dsUnz
la[;k"	"tukZnu ek>h"	"jktsUnz
iafMr usrkth"	"jkenso
;kno"	"foy{.k
jfonkl"	"uUnfd'kksj
iafMr"	"d`r ukjk;.k
ikloku"	"Hkwous'oj ikloku"	"erks dk ;ksx"
"256"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"257"	"132"	"213"	"4"	"14"	"1"	"0"	"3"	"10"	"245"
"258"	"133"	"186"	"24"	"31"	"7"	"2"	"-"	"6"	"256"
"259"	"133A"	"170"	"14"	"20"	"1"	"4"	"2"	"1"	"212"
"260"	"134"	"176"	"9"	"89"	"16"	"6"	"3"	"11"	"310"
"261"	"135"	"212"	"28"	"108"	"77"	"20"	"11"	"24"	"480"
"262"	"136"	"331"	"88"	"88"	"44"	"20"	"16"	"20"	"607"
"263"	"137"	"24"	"6"	"466"	"5"	"0"	"0"	"0"	"501"
"264"	"138"	"107"	"38"	"35"	"20"	"9"	"4"	"13"	"226"
"265"	"139"	"179"	"69"	"87"	"29"	"10"	"3"	"5"	"382"
"266"	"140"	"233"	"73"	"52"	"15"	"5"	"3"	"9"	"390"
"267"	"141"	"137"	"26"	"64"	"113"	"8"	"6"	"17"	"371"
"268"	"142"	"202"	"21"	"135"	"97"	"7"	"1"	"13"	"476"
"269"	"143"	"391"	"14"	"91"	"27"	"7"	"2"	"27"	"559"
"270"	"144"	"194"	"15"	"100"	"48"	"7"	"4"	"18"	"386"
"271"	";ksx"	"2755"	"429"	"1380"	"500"	"105"	"58"	"174"	"5401"
"272"	"LFkku &"	""	""	""	""	""	""	""	""
"273"	""	""	""	""	""	""	""	""	""
"274"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""
"275"	"izi=&20"	""	""	""	""	""	""	""	""
"276"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""
"277"	"fo/kku lHkk fuokZpu&2005"	""	""	""	""	""	""	""	""
"278"	"157 csygj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""
"279"	""	""	""	""	""	""	""	"12th round"	""
"280"	"ernku dsUnz
la[;k"	"tukZnu ek>h"	"jktsUnz
iafMr usrkth"	"jkenso
;kno"	"foy{.k
jfonkl"	"uUnfd'kksj
iafMr"	"d`r ukjk;.k
ikloku"	"Hkwous'oj ikloku"	"erks dk ;ksx"
"281"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"282"	"145"	"139"	"10"	"60"	"57"	"3"	"7"	"4"	"280"
"283"	"146"	"101"	"11"	"91"	"57"	"10"	"9"	"8"	"287"
"284"	"147"	"169"	"13"	"50"	"88"	"9"	"5"	"9"	"343"
"285"	"148"	"227"	"12"	"99"	"12"	"5"	"4"	"7"	"366"
"286"	"148A"	"139"	"6"	"110"	"15"	"6"	"5"	"20"	"301"
"287"	"149"	"82"	"11"	"239"	"78"	"9"	"10"	"8"	"437"
"288"	"150"	"110"	"14"	"108"	"29"	"2"	"3"	"6"	"272"
"289"	"151"	"96"	"16"	"110"	"127"	"19"	"8"	"10"	"386"
"290"	"151A"	"231"	"8"	"80"	"9"	"2"	"2"	"4"	"336"
"291"	"152"	"57"	"13"	"197"	"19"	"6"	"3"	"14"	"309"
"292"	"153"	"93"	"18"	"269"	"128"	"25"	"15"	"51"	"599"
"293"	"154"	"44"	"33"	"142"	"24"	"11"	"6"	"8"	"268"
"294"	"154A"	"137"	"9"	"116"	"21"	"2"	"2"	"5"	"292"
"295"	"155"	"56"	"12"	"341"	"29"	"27"	"14"	"49"	"528"
"296"	";ksx"	"1681"	"186"	"2012"	"693"	"136"	"93"	"203"	"5004"
"297"	"LFkku &"	""	""	""	""	""	""	""	""
"298"	""	""	""	""	""	""	""	""	""
"299"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""
"300"	"izi=&20"	""	""	""	""	""	""	""	""
"301"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""
"302"	"fo/kku lHkk fuokZpu&2005"	""	""	""	""	""	""	""	""
"303"	"157 csygj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""
"304"	""	""	""	""	""	""	""	"13th round"	""
"305"	"ernku dsUnz
la[;k"	"tukZnu ek>h"	"jktsUnz
iafMr usrkth"	"jkenso
;kno"	"foy{.k
jfonkl"	"uUnfd'kksj
iafMr"	"d`r ukjk;.k
ikloku"	"Hkwous'oj ikloku"	"erks dk ;ksx"
"306"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"307"	"156"	"9"	"-"	"318"	"9"	"1"	"1"	"1"	"339"
"308"	"157"	"68"	"35"	"243"	"32"	"19"	"2"	"22"	"421"
"309"	"158"	"64"	"38"	"201"	"69"	"20"	"8"	"18"	"418"
"310"	"159"	"69"	"9"	"211"	"105"	"7"	"9"	"13"	"423"
"311"	"160"	"39"	"23"	"107"	"69"	"2"	"1"	"-"	"241"
"312"	"161"	"106"	"8"	"166"	"71"	"4"	"6"	"9"	"370"
"313"	"162"	"37"	"13"	"211"	"95"	"11"	"8"	"4"	"379"
"314"	"163"	"178"	"23"	"175"	"20"	"16"	"11"	"15"	"438"
"315"	"164"	"96"	"23"	"135"	"103"	"16"	"11"	"23"	"407"
"316"	"165"	"210"	"25"	"190"	"96"	"16"	"10"	"25"	"572"
"317"	"166"	"112"	"55"	"54"	"2"	"4"	"-"	"3"	"230"
