"X124...RUPOULI.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"89"	"67"	"62"	"81"	"404"	"13"	"7"	"9"	"6"	"19"	"601"	""	"601"
"90"	"68"	"31"	"229"	"60"	"8"	"7"	"9"	"11"	"31"	"386"	""	"386"
"91"	"69"	"63"	"208"	"277"	"21"	"18"	"8"	"9"	"26"	"630"	""	"630"
"92"	"70"	"21"	"76"	"261"	"12"	"15"	"4"	"4"	"9"	"402"	""	"402"
"93"	"71"	"95"	"74"	"183"	"11"	"7"	"12"	"5"	"24"	"411"	""	"411"
"94"	"72"	"130"	"146"	"97"	"9"	"16"	"19"	"14"	"37"	"468"	""	"468"
"95"	"73"	"178"	"117"	"13"	"2"	"1"	"2"	"4"	"8"	"325"	""	"325"
"96"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"VI"	"VII"	"VIII"	"Total Gen Votes"	"Total Postal Votes"	"Total Votes"
"97"	""	"JAI KRISHNA MANDAL"	"BIMA BHARTI"	"SHANKAR SINGH"	"JAINENDRA KUMAR"	"NANHAKI NISHA"	"KAILASH MANDAL"	"GAJENDRA YADAV"	"SHIVNAND THAKUR"	""	""	""
"98"	""	"Janata Dal (United)"	"Rashtriya Janata Dal"	"Lok Jan Shakti Party"	"Samajwadi Party"	"Rashtriya Kamjor Varg Party"	"Independent"	"Independent"	"Independent"	""	""	""
"99"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"10"	"11"	"12"	"13"
"100"	"74"	"13"	"74"	"254"	"8"	"4"	"5"	"2"	"13"	"373"	""	"373"
"101"	"74A"	"25"	"166"	"160"	"7"	"4"	"3"	"3"	"4"	"372"	""	"372"
"102"	"75"	"95"	"175"	"103"	"9"	"7"	"9"	"6"	"19"	"423"	""	"423"
"103"	"76"	"106"	"188"	"178"	"14"	"11"	"6"	"2"	"11"	"516"	""	"516"
"104"	"77"	"380"	"91"	"160"	"14"	"7"	"18"	"10"	"34"	"714"	""	"714"
"105"	"78"	"267"	"72"	"90"	"2"	"6"	"6"	"4"	"10"	"457"	""	"457"
"106"	"79"	"253"	"369"	"29"	"2"	"5"	"3"	"6"	"3"	"670"	""	"670"
"107"	"80"	"105"	"309"	"114"	"4"	"8"	"5"	"9"	"20"	"574"	""	"574"
"108"	"81"	"235"	"171"	"159"	"12"	"16"	"14"	"8"	"26"	"641"	""	"641"
"109"	"82"	"155"	"232"	"85"	"3"	"9"	"13"	"8"	"16"	"521"	""	"521"
"110"	"83"	"75"	"149"	"188"	"12"	"13"	"6"	"8"	"16"	"467"	""	"467"
"111"	"84"	"29"	"122"	"317"	"19"	"19"	"8"	"8"	"41"	"563"	""	"563"
"112"	"85"	"37"	"187"	"183"	"16"	"9"	"13"	"7"	"28"	"480"	""	"480"
"113"	"86"	"61"	"352"	"53"	"11"	"5"	"6"	"14"	"13"	"515"	""	"515"
"114"	"87"	"70"	"234"	"305"	"18"	"17"	"19"	"12"	"46"	"721"	""	"721"
"115"	"88"	"46"	"139"	"281"	"15"	"12"	"18"	"11"	"38"	"560"	""	"560"
"116"	"89"	"38"	"71"	"178"	"31"	"12"	"5"	"7"	"28"	"370"	""	"370"
"117"	"90"	"36"	"219"	"193"	"36"	"10"	"6"	"5"	"23"	"528"	""	"528"
"118"	"91"	"44"	"213"	"241"	"15"	"12"	"11"	"8"	"26"	"570"	""	"570"
"119"	"92"	"34"	"275"	"192"	"8"	"7"	"4"	"7"	"16"	"543"	""	"543"
"120"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"VI"	"VII"	"VIII"	"Total Gen Votes"	"Total Postal Votes"	"Total Votes"
"121"	""	"JAI KRISHNA MANDAL"	"BIMA BHARTI"	"SHANKAR SINGH"	"JAINENDRA KUMAR"	"NANHAKI NISHA"	"KAILASH MANDAL"	"GAJENDRA YADAV"	"SHIVNAND THAKUR"	""	""	""
"122"	""	"Janata Dal (United)"	"Rashtriya Janata Dal"	"Lok Jan Shakti Party"	"Samajwadi Party"	"Rashtriya Kamjor Varg Party"	"Independent"	"Independent"	"Independent"	""	""	""
"123"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"10"	"11"	"12"	"13"
"124"	"93"	"53"	"431"	"74"	"10"	"5"	"1"	"3"	"15"	"592"	""	"592"
"125"	"94"	"32"	"139"	"171"	"5"	"8"	"0"	"6"	"8"	"369"	""	"369"
"126"	"94A"	"20"	"116"	"137"	"15"	"6"	"7"	"7"	"21"	"329"	""	"329"
"127"	"95"	"48"	"60"	"347"	"36"	"13"	"11"	"14"	"36"	"565"	""	"565"
"128"	"96"	"73"	"143"	"255"	"13"	"8"	"3"	"5"	"18"	"518"	""	"518"
"129"	"97"	"38"	"193"	"165"	"6"	"2"	"4"	"10"	"32"	"450"	""	"450"
"130"	"98"	"120"	"168"	"94"	"6"	"7"	"6"	"5"	"22"	"428"	""	"428"
"131"	"98A"	"13"	"38"	"175"	"9"	"1"	"8"	"7"	"24"	"275"	""	"275"
"132"	"99"	"36"	"505"	"47"	"5"	"6"	"8"	"5"	"3"	"615"	""	"615"
"133"	"100"	"137"	"117"	"164"	"13"	"15"	"19"	"21"	"67"	"553"	""	"553"
"134"	"101"	"172"	"80"	"77"	"3"	"8"	"4"	"4"	"22"	"370"	""	"370"
"135"	"101A"	"139"	"103"	"52"	"10"	"8"	"11"	"10"	"19"	"352"	""	"352"
"136"	"102"	"176"	"237"	"145"	"55"	"15"	"17"	"19"	"59"	"723"	""	"723"
"137"	"103"	"160"	"70"	"134"	"9"	"15"	"15"	"11"	"29"	"443"	""	"443"
"138"	"104"	"53"	"122"	"173"	"11"	"10"	"8"	"12"	"12"	"401"	""	"401"
"139"	"104A"	"81"	"61"	"163"	"13"	"5"	"3"	"6"	"9"	"341"	""	"341"
"140"	"105"	"114"	"208"	"82"	"32"	"2"	"5"	"8"	"12"	"463"	""	"463"
"141"	"105A"	"139"	"86"	"179"	"42"	"14"	"10"	"11"	"21"	"502"	""	"502"
"142"	"106"	"46"	"91"	"283"	"23"	"12"	"25"	"11"	"32"	"523"	""	"523"
"143"	"107"	"39"	"123"	"226"	"17"	"7"	"12"	"14"	"33"	"471"	""	"471"
"144"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"VI"	"VII"	"VIII"	"Total Gen Votes"	"Total Postal Votes"	"Total Votes"
"145"	""	"JAI KRISHNA MANDAL"	"BIMA BHARTI"	"SHANKAR SINGH"	"JAINENDRA KUMAR"	"NANHAKI NISHA"	"KAILASH MANDAL"	"GAJENDRA YADAV"	"SHIVNAND THAKUR"	""	""	""
"146"	""	"Janata Dal (United)"	"Rashtriya Janata Dal"	"Lok Jan Shakti Party"	"Samajwadi Party"	"Rashtriya Kamjor Varg Party"	"Independent"	"Independent"	"Independent"	""	""	""
"147"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"10"	"11"	"12"	"13"
"148"	"108"	"135"	"128"	"139"	"23"	"13"	"6"	"9"	"12"	"465"	""	"465"
"149"	"109"	"153"	"217"	"178"	"29"	"3"	"7"	"4"	"14"	"605"	""	"605"
"150"	"110"	"131"	"75"	"184"	"81"	"11"	"10"	"13"	"27"	"532"	""	"532"
"151"	"111"	"201"	"9"	"146"	"4"	"5"	"6"	"4"	"16"	"391"	""	"391"
"152"	"111A"	"62"	"25"	"173"	"8"	"7"	"8"	"7"	"24"	"314"	""	"314"
"153"	"112"	"313"	"32"	"197"	"8"	"9"	"8"	"5"	"43"	"615"	""	"615"
"154"	"113"	"124"	"349"	"35"	"11"	"6"	"9"	"8"	"21"	"563"	""	"563"
"155"	"114"	"90"	"243"	"121"	"8"	"6"	"4"	"9"	"21"	"502"	""	"502"
"156"	"114A"	"43"	"143"	"210"	"14"	"3"	"5"	"4"	"20"	"442"	""	"442"
"157"	"115"	"207"	"244"	"151"	"16"	"8"	"13"	"14"	"30"	"683"	""	"683"
"158"	"116"	"195"	"266"	"126"	"8"	"10"	"10"	"10"	"28"	"653"	""	"653"
"159"	"117"	"198"	"209"	"64"	"6"	"2"	"2"	"7"	"12"	"500"	""	"500"
"160"	"118"	"94"	"199"	"323"	"17"	"12"	"8"	"14"	"21"	"688"	""	"688"
"161"	"119"	"467"	"125"	"62"	"10"	"8"	"13"	"9"	"36"	"730"	""	"730"
"162"	"120"	"233"	"245"	"100"	"1"	"1"	"7"	"1"	"5"	"593"	""	"593"
"163"	"121"	"135"	"332"	"43"	"5"	"6"	"13"	"11"	"33"	"578"	""	"578"
"164"	"122"	"332"	"183"	"59"	"9"	"6"	"10"	"12"	"21"	"632"	""	"632"
"165"	"123"	"143"	"409"	"107"	"9"	"4"	"7"	"5"	"23"	"707"	""	"707"
"166"	"124"	"59"	"366"	"119"	"7"	"7"	"6"	"4"	"24"	"592"	""	"592"
"167"	"125"	"47"	"155"	"98"	"16"	"6"	"3"	"12"	"27"	"364"	""	"364"
"168"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"VI"	"VII"	"VIII"	"Total Gen Votes"	"Total Postal Votes"	"Total Votes"
"169"	""	"JAI KRISHNA MANDAL"	"BIMA BHARTI"	"SHANKAR SINGH"	"JAINENDRA KUMAR"	"NANHAKI NISHA"	"KAILASH MANDAL"	"GAJENDRA YADAV"	"SHIVNAND THAKUR"	""	""	""
"170"	""	"Janata Dal (United)"	"Rashtriya Janata Dal"	"Lok Jan Shakti Party"	"Samajwadi Party"	"Rashtriya Kamjor Varg Party"	"Independent"	"Independent"	"Independent"	""	""	""
"171"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"10"	"11"	"12"	"13"
"172"	"125A"	"29"	"278"	"60"	"6"	"3"	"7"	"9"	"28"	"420"	""	"420"
"173"	"126"	"40"	"220"	"91"	"9"	"6"	"4"	"10"	"18"	"398"	""	"398"
"174"	"127"	"159"	"243"	"36"	"7"	"3"	"5"	"6"	"6"	"465"	""	"465"
"175"	"128"	"10"	"43"	"137"	"1"	"6"	"1"	"5"	"9"	"212"	""	"212"
"176"	"129"	"32"	"100"	"170"	"9"	"5"	"7"	"7"	"18"	"348"	""	"348"
"177"	"129A"	"16"	"83"	"108"	"10"	"1"	"2"	"4"	"3"	"227"	""	"227"
"178"	"130"	"210"	"163"	"119"	"11"	"13"	"17"	"14"	"38"	"585"	""	"585"
"179"	"131"	"143"	"230"	"128"	"9"	"6"	"4"	"7"	"19"	"546"	""	"546"
"180"	"132"	"32"	"8"	"215"	"8"	"5"	"3"	"1"	"6"	"278"	""	"278"
"181"	"133"	"249"	"143"	"66"	"10"	"3"	"5"	"7"	"12"	"495"	""	"495"
"182"	"134"	"78"	"8"	"81"	"10"	"2"	"8"	"3"	"13"	"203"	""	"203"
"183"	"135"	"39"	"5"	"301"	"13"	"5"	"3"	"6"	"18"	"390"	""	"390"
"184"	"135A"	"145"	"5"	"215"	"10"	"7"	"5"	"0"	"14"	"401"	""	"401"
"185"	"136"	"179"	"28"	"272"	"11"	"15"	"7"	"1"	"9"	"522"	""	"522"
"186"	"137"	"34"	"178"	"128"	"10"	"8"	"4"	"8"	"20"	"390"	""	"390"
"187"	"137A"	"122"	"72"	"132"	"6"	"3"	"7"	"5"	"7"	"354"	""	"354"
"188"	"138"	"64"	"339"	"68"	"8"	"3"	"5"	"7"	"15"	"509"	""	"509"
"189"	"138A"	"36"	"319"	"67"	"12"	"6"	"5"	"8"	"23"	"476"	""	"476"
"190"	"139"	"189"	"38"	"260"	"9"	"11"	"4"	"0"	"13"	"524"	""	"524"
"191"	"140"	"66"	"155"	"214"	"22"	"15"	"5"	"15"	"13"	"505"	""	"505"
"192"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"VI"	"VII"	"VIII"	"Total Gen Votes"	"Total Postal Votes"	"Total Votes"
"193"	""	"JAI KRISHNA MANDAL"	"BIMA BHARTI"	"SHANKAR SINGH"	"JAINENDRA KUMAR"	"NANHAKI NISHA"	"KAILASH MANDAL"	"GAJENDRA YADAV"	"SHIVNAND THAKUR"	""	""	""
"194"	""	"Janata Dal (United)"	"Rashtriya Janata Dal"	"Lok Jan Shakti Party"	"Samajwadi Party"	"Rashtriya Kamjor Varg Party"	"Independent"	"Independent"	"Independent"	""	""	""
"195"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"10"	"11"	"12"	"13"
"196"	"141"	"174"	"30"	"152"	"62"	"9"	"12"	"4"	"14"	"457"	""	"457"
"197"	"141A"	"66"	"186"	"118"	"13"	"11"	"8"	"12"	"37"	"451"	""	"451"
"198"	"142"	"86"	"124"	"158"	"14"	"10"	"5"	"5"	"6"	"408"	""	"408"
"199"	"142A"	"109"	"78"	"112"	"82"	"5"	"8"	"10"	"15"	"419"	""	"419"
"200"	"143"	"97"	"90"	"93"	"140"	"8"	"5"	"10"	"15"	"458"	""	"458"
"201"	"143A"	"130"	"55"	"142"	"38"	"8"	"11"	"2"	"25"	"411"	""	"411"
"202"	"144"	"95"	"164"	"144"	"12"	"9"	"9"	"5"	"11"	"449"	""	"449"
"203"	"145"	"40"	"365"	"179"	"11"	"15"	"5"	"11"	"14"	"640"	""	"640"
"204"	"146"	"162"	"57"	"220"	"14"	"5"	"8"	"6"	"15"	"487"	""	"487"
"205"	"147"	"184"	"174"	"190"	"80"	"12"	"12"	"14"	"30"	"696"	""	"696"
"206"	"148"	"202"	"20"	"149"	"33"	"15"	"12"	"6"	"24"	"461"	""	"461"
"207"	"149"	"246"	"62"	"187"	"12"	"11"	"9"	"10"	"23"	"560"	""	"560"
"208"	"150"	"56"	"143"	"276"	"18"	"9"	"13"	"13"	"31"	"559"	""	"559"
"209"	"150A"	"59"	"183"	"168"	"22"	"9"	"1"	"8"	"13"	"463"	""	"463"
"210"	"151"	"56"	"389"	"31"	"15"	"3"	"2"	"9"	"17"	"522"	""	"522"
"211"	"152"	"118"	"477"	"42"	"12"	"1"	"3"	"7"	"23"	"683"	""	"683"
"212"	"153"	"35"	"59"	"233"	"17"	"6"	"16"	"11"	"34"	"411"	""	"411"
"213"	"153A"	"171"	"53"	"67"	"37"	"8"	"9"	"17"	"15"	"377"	""	"377"
"214"	"TOTAL GENERAL VOTES"	"23095"	"28680"	"26690"	"2391"	"1359"	"1376"	"1311"	"3367"	""	""	""
"215"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"VI"	"VII"	"VIII"	"Total Gen Votes"	"Total Postal Votes"	"Total Votes"
"216"	""	"JAI KRISHNA MANDAL"	"BIMA BHARTI"	"SHANKAR SINGH"	"JAINENDRA KUMAR"	"NANHAKI NISHA"	"KAILASH MANDAL"	"GAJENDRA YADAV"	"SHIVNAND THAKUR"	""	""	""
"217"	""	"Janata Dal (United)"	"Rashtriya Janata Dal"	"Lok Jan Shakti Party"	"Samajwadi Party"	"Rashtriya Kamjor Varg Party"	"Independent"	"Independent"	"Independent"	""	""	""
"218"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"10"	"11"	"12"	"13"
"219"	"POSTAL VOTS"	"2"	"1"	""	""	""	""	""	""	""	""	""
"220"	"TOTAL VALID VOTES"	"23097"	"28681"	"26690"	"2391"	"1359"	"1376"	"1311"	"3367"	""	""	""
"221"	""	"JAI KRISHNA MANDAL"	"BIMA BHARTI"	"SHANKAR SINGH"	"JAINENDRA KUMAR"	"NANHAKI NISHA"	"KAILASH MANDAL"	"GAJENDRA YADAV"	"SHIVNAND THAKUR"	""	""	""
"222"	""	"Janata Dal (United)"	"Rashtriya Janata Dal"	"Lok Jan Shakti Party"	"Samajwadi Party"	"Rashtriya Kamjor Varg Party"	"Independent"	"Independent"	"Independent"	""	""	""
