"X.To.be.record.for.recording.the.result.of.voting.at.notified.Polling.Station."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"23"	"16"	"116"	"83"	"7"	"4"	"3"	"-213"	""	"213"	""
"24"	"17"	"22"	"124"	"21"	"5"	"5"	"-177"	""	"177"	""
"25"	"18"	"49"	"200"	"8"	"2"	"4"	"-263"	""	"263"	""
"26"	"19"	"101"	"29"	"2"	"3"	"2"	"-137"	""	"137"	""
"27"	"20"	"37"	"131"	"7"	"0"	"0"	"-175"	""	"175"	""
"28"	"21"	"24"	"196"	"7"	"22"	"8"	"-257"	""	"257"	""
"29"	"22"	"94"	"107"	"5"	"1"	"3"	"-210"	""	"210"	""
"30"	"23"	"42"	"81"	"92"	"28"	"15"	"-258"	""	"258"	""
"31"	"24"	"156"	"189"	"18"	"17"	"11"	"-391"	""	"391"	""
"32"	"25"	"5"	"409"	"7"	"1"	"0"	"-422"	""	"422"	""
"33"	"26"	"77"	"164"	"123"	"14"	"11"	"-389"	""	"389"	""
"34"	"27"	"34"	"80"	"5"	"17"	"9"	"-145"	""	"145"	""
"35"	"28"	"276"	"16"	"3"	"0"	"1"	"-296"	""	"296"	""
"36"	"ASSEMBLY ELECTION - 2005"	""	""	""	""	""	""	""	""	""
"37"	"228- GHOSI ASSEMBLY CONSTITUENCY PART - 1"	""	""	""	""	""	""	""	""	""
"38"	"Form-20"	""	""	""	""	""	""	""	""	""
"39"	"See rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""
"40"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""
"41"	"Election to the Bihar Legislative Assembly from 228- Ghosi Assembly Constituency"	""	""	""	""	""	""	""	""	""
"42"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"43"	""	"Ajay Singh"	"Jagdish Sharma"	"Pradip Kumar"	"Vijay Yadav"	"Abhay Kumar Anil"	""	""	""	""
"44"	"29"	"280"	"229"	"57"	"23"	"17"	"-606"	""	"606"	""
"45"	"30"	"27"	"371"	"4"	"5"	"2"	"-409"	""	"409"	""
"46"	"31"	"1"	"419"	"0"	"1"	"0"	"-421"	""	"421"	""
"47"	"32"	"46"	"382"	"33"	"14"	"10"	"-485"	""	"485"	""
"48"	"33"	"7"	"306"	"2"	"3"	"1"	"-319"	""	"319"	""
"49"	"34"	"120"	"442"	"74"	"8"	"8"	"-652"	""	"652"	""
"50"	"35"	"1"	"395"	"5"	"0"	"0"	"-401"	""	"401"	""
"51"	"36"	"9"	"316"	"141"	"4"	"5"	"-475"	""	"475"	""
"52"	"37"	"54"	"469"	"25"	"6"	"2"	"-556"	""	"556"	""
"53"	"38"	"142"	"90"	"41"	"10"	"3"	"-286"	""	"286"	""
"54"	"39"	"1"	"489"	"15"	"0"	"0"	"-505"	""	"505"	""
"55"	"40"	"229"	"85"	"15"	"5"	"14"	"-348"	""	"348"	""
"56"	"41"	"157"	"178"	"129"	"30"	"6"	"-500"	""	"500"	""
"57"	"42"	"153"	"124"	"66"	"12"	"8"	"-363"	""	"363"	""
"58"	"Form-20"	""	""	""	""	""	""	""	""	""
"59"	"See rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""
"60"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""
"61"	"Election to the Bihar Legislative Assembly from 228- Ghosi Assembly Constituency"	""	""	""	""	""	""	""	""	""
"62"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"63"	""	"Ajay Singh"	"Jagdish Sharma"	"Pradip Kumar"	"Vijay Yadav"	"Abhay Kumar Anil"	""	""	""	""
"64"	"43"	"192"	"46"	"44"	"17"	"7"	"-306"	""	"306"	""
"65"	"44"	"81"	"125"	"15"	"4"	"3"	"-228"	""	"228"	""
"66"	"45"	"69"	"105"	"78"	"12"	"13"	"-277"	""	"277"	""
"67"	"46"	"241"	"37"	"14"	"17"	"9"	"-318"	""	"318"	""
"68"	"47"	"27"	"322"	"6"	"2"	"1"	"-358"	""	"358"	""
"69"	"48"	"8"	"215"	"5"	"4"	"0"	"-232"	""	"232"	""
"70"	"49"	"15"	"440"	"61"	"12"	"10"	"-538"	""	"538"	""
"71"	"50"	"7"	"290"	"1"	"0"	"0"	"-298"	""	"298"	""
"72"	"51"	"189"	"61"	"58"	"22"	"5"	"-335"	""	"335"	""
"73"	"52"	"166"	"64"	"76"	"11"	"13"	"-330"	""	"330"	""
"74"	"53"	"164"	"181"	"63"	"18"	"7"	"-433"	""	"433"	""
"75"	"54"	"13"	"295"	"0"	"1"	"0"	"-309"	""	"309"	""
"76"	"55"	"7"	"483"	"22"	"3"	"0"	"-515"	""	"515"	""
"77"	"56"	"11"	"401"	"5"	"3"	"1"	"-421"	""	"421"	""
"78"	"Form-20"	""	""	""	""	""	""	""	""	""
"79"	"See rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""
"80"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""
"81"	"Election to the Bihar Legislative Assembly from 228- Ghosi Assembly Constituency"	""	""	""	""	""	""	""	""	""
"82"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"83"	""	"Ajay Singh"	"Jagdish Sharma"	"Pradip Kumar"	"Vijay Yadav"	"Abhay Kumar Anil"	""	""	""	""
"84"	"57"	"353"	"9"	"1"	"0"	"2"	"-365"	""	"365"	""
"85"	"58"	"1"	"919"	"1"	"0"	"0"	"-921"	""	"921"	""
"86"	"59"	"186"	"272"	"26"	"14"	"13"	"-511"	""	"511"	""
"87"	"60"	"17"	"638"	"20"	"7"	"1"	"-683"	""	"683"	""
"88"	"61"	"8"	"387"	"2"	"1"	"2"	"-400"	""	"400"	""
"89"	"62"	"9"	"564"	"1"	"1"	"1"	"-576"	""	"576"	""
"90"	"63"	"16"	"691"	"5"	"6"	"4"	"-722"	""	"722"	""
"91"	"64"	"2"	"753"	"0"	"1"	"0"	"-756"	""	"756"	""
"92"	"65"	"65"	"489"	"5"	"3"	"0"	"-562"	""	"562"	""
"93"	"66"	"12"	"258"	"48"	"12"	"0"	"-330"	""	"330"	""
"94"	"67"	"164"	"119"	"91"	"5"	"5"	"-384"	""	"384"	""
"95"	"68"	"192"	"165"	"121"	"28"	"18"	"-524"	""	"524"	""
"96"	"69"	"145"	"99"	"73"	"9"	"1"	"-327"	""	"327"	""
"97"	"70"	"60"	"38"	"291"	"9"	"15"	"-413"	""	"413"	""
"98"	"Form-20"	""	""	""	""	""	""	""	""	""
"99"	"See rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""
"100"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""
"101"	"Election to the Bihar Legislative Assembly from 228- Ghosi Assembly Constituency"	""	""	""	""	""	""	""	""	""
"102"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"103"	""	"Ajay Singh"	"Jagdish Sharma"	"Pradip Kumar"	"Vijay Yadav"	"Abhay Kumar Anil"	""	""	""	""
"104"	"71"	"181"	"119"	"16"	"10"	"17"	"-343"	""	"343"	""
"105"	"72"	"75"	"118"	"199"	"19"	"8"	"-419"	""	"419"	""
"106"	"73"	"147"	"71"	"53"	"20"	"12"	"-303"	""	"303"	""
"107"	"74"	"100"	"21"	"86"	"8"	"6"	"-221"	""	"221"	""
"108"	"75"	"153"	"196"	"153"	"24"	"17"	"-543"	""	"543"	""
"109"	"76"	"178"	"269"	"40"	"14"	"11"	"-512"	""	"512"	""
"110"	"77"	"179"	"58"	"33"	"17"	"14"	"-301"	""	"301"	""
"111"	"78"	"10"	"292"	"4"	"1"	"4"	"-311"	""	"311"	""
"112"	"79"	"5"	"508"	"2"	"4"	"2"	"-521"	""	"521"	""
"113"	"80"	"261"	"151"	"16"	"21"	"6"	"-455"	""	"455"	""
"114"	"81"	"55"	"199"	"33"	"5"	"7"	"-299"	""	"299"	""
"115"	"82"	"286"	"166"	"24"	"46"	"9"	"-531"	""	"531"	""
"116"	"83"	"210"	"294"	"49"	"24"	"12"	"-589"	""	"589"	""
"117"	"84"	"13"	"393"	"4"	"5"	"3"	"-418"	""	"418"	""
"118"	"Form-20"	""	""	""	""	""	""	""	""	""
"119"	"See rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""
"120"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""
"121"	"Election to the Bihar Legislative Assembly from 228- Ghosi Assembly Constituency"	""	""	""	""	""	""	""	""	""
"122"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"123"	""	"Ajay Singh"	"Jagdish Sharma"	"Pradip Kumar"	"Vijay Yadav"	"Abhay Kumar Anil"	""	""	""	""
"124"	"84A"	"25"	"305"	"5"	"12"	"2"	"-349"	""	"349"	""
"125"	"85"	"404"	"205"	"24"	"17"	"17"	"-667"	""	"667"	""
"126"	"86"	"40"	"192"	"65"	"20"	"11"	"-328"	""	"328"	""
"127"	"87"	"12"	"164"	"70"	"6"	"3"	"-255"	""	"255"	""
"128"	"88"	"59"	"136"	"17"	"7"	"6"	"-225"	""	"225"	""
"129"	"89"	"218"	"24"	"27"	"13"	"10"	"-292"	""	"292"	""
"130"	"90"	"3"	"384"	"12"	"1"	"0"	"-400"	""	"400"	""
"131"	"91"	"103"	"175"	"181"	"22"	"13"	"-494"	""	"494"	""
"132"	"92"	"161"	"32"	"15"	"7"	"8"	"-223"	""	"223"	""
"133"	"93"	"269"	"29"	"40"	"7"	"13"	"-358"	""	"358"	""
"134"	"94"	"170"	"115"	"256"	"10"	"5"	"-556"	""	"556"	""
"135"	"95"	"101"	"32"	"76"	"9"	"10"	"-228"	""	"228"	""
"136"	"96"	"422"	"18"	"60"	"9"	"4"	"-513"	""	"513"	""
"137"	"97"	"289"	"24"	"7"	"43"	"2"	"-365"	""	"365"	""
"138"	"Form-20"	""	""	""	""	""	""	""	""	""
"139"	"See rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""
"140"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""
"141"	"Election to the Bihar Legislative Assembly from 228- Ghosi Assembly Constituency"	""	""	""	""	""	""	""	""	""
"142"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"143"	""	"Ajay Singh"	"Jagdish Sharma"	"Pradip Kumar"	"Vijay Yadav"	"Abhay Kumar Anil"	""	""	""	""
"144"	"98"	"199"	"117"	"24"	"14"	"14"	"-368"	""	"368"	""
"145"	"99"	"106"	"109"	"87"	"21"	"11"	"-334"	""	"334"	""
"146"	"100"	"221"	"14"	"28"	"6"	"10"	"-279"	""	"279"	""
"147"	"101"	"1"	"617"	"1"	"3"	"1"	"-623"	""	"623"	""
"148"	"102"	"7"	"416"	"13"	"3"	"3"	"-442"	""	"442"	""
"149"	"103"	"65"	"20"	"121"	"11"	"10"	"-227"	""	"227"	""
"150"	"104"	"34"	"285"	"54"	"12"	"6"	"-391"	""	"391"	""
"151"	"105"	"4"	"492"	"105"	"15"	"5"	"-621"	""	"621"	""
"152"	"106"	"6"	"296"	"46"	"11"	"3"	"-362"	""	"362"	""
"153"	"107"	"97"	"103"	"99"	"15"	"12"	"-326"	""	"326"	""
"154"	"108"	"110"	"136"	"2"	"3"	"6"	"-257"	""	"257"	""
"155"	"109"	"88"	"296"	"15"	"47"	"19"	"-465"	""	"465"	""
"156"	"110"	"71"	"303"	"5"	"14"	"9"	"-402"	""	"402"	""
"157"	"111"	"1"	"295"	"3"	"2"	"4"	"-305"	""	"305"	""
"158"	"Form-20"	""	""	""	""	""	""	""	""	""
"159"	"See rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""
"160"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""
"161"	"Election to the Bihar Legislative Assembly from 228- Ghosi Assembly Constituency"	""	""	""	""	""	""	""	""	""
"162"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"163"	""	"Ajay Singh"	"Jagdish Sharma"	"Pradip Kumar"	"Vijay Yadav"	"Abhay Kumar Anil"	""	""	""	""
"164"	"112"	"18"	"170"	"52"	"14"	"2"	"-256"	""	"256"	""
"165"	"113"	"45"	"165"	"23"	"12"	"7"	"-252"	""	"252"	""
"166"	"114"	"184"	"105"	"73"	"16"	"15"	"-393"	""	"393"	""
"167"	"115"	"16"	"334"	"2"	"2"	"4"	"-358"	""	"358"	""
"168"	"115A"	"41"	"211"	"81"	"10"	"7"	"-350"	""	"350"	""
"169"	"116"	"11"	"212"	"65"	"34"	"9"	"-331"	""	"331"	""
"170"	"117"	"102"	"464"	"53"	"10"	"18"	"-647"	""	"647"	""
"171"	"118"	"85"	"74"	"116"	"15"	"3"	"-293"	""	"293"	""
"172"	"119"	"259"	"182"	"61"	"13"	"9"	"-524"	""	"524"	""
"173"	"120"	"31"	"224"	"112"	"14"	"13"	"-394"	""	"394"	""
"174"	"121"	"201"	"100"	"130"	"15"	"13"	"-459"	""	"459"	""
"175"	"122"	"100"	"318"	"14"	"13"	"11"	"-456"	""	"456"	""
"176"	"123"	"145"	"133"	"2"	"5"	"3"	"-288"	""	"288"	""
"177"	"124"	"53"	"423"	"4"	"1"	"1"	"-482"	""	"482"	""
"178"	"Form-20"	""	""	""	""	""	""	""	""	""
"179"	"See rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""
"180"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""
"181"	"Election to the Bihar Legislative Assembly from 228- Ghosi Assembly Constituency"	""	""	""	""	""	""	""	""	""
"182"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"183"	""	"Ajay Singh"	"Jagdish Sharma"	"Pradip Kumar"	"Vijay Yadav"	"Abhay Kumar Anil"	""	""	""	""
"184"	"125"	"4"	"361"	"0"	"0"	"0"	"-365"	""	"365"	""
"185"	"126"	"12"	"567"	"5"	"2"	"0"	"-586"	""	"586"	""
"186"	"127"	"29"	"391"	"4"	"0"	"0"	"-424"	""	"424"	""
"187"	"128"	"89"	"311"	"15"	"5"	"10"	"-430"	""	"430"	""
"188"	"129"	"61"	"246"	"16"	"25"	"10"	"-358"	""	"358"	""
"189"	"129A"	"18"	"237"	"12"	"7"	"3"	"-277"	""	"277"	""
"190"	"130"	"9"	"275"	"2"	"1"	"1"	"-288"	""	"288"	""
"191"	"131"	"75"	"375"	"26"	"26"	"5"	"-507"	""	"507"	""
"192"	"132"	"64"	"181"	"11"	"14"	"8"	"-278"	""	"278"	""
"193"	"133"	"62"	"298"	"100"	"14"	"3"	"-477"	""	"477"	""
"194"	"134"	"118"	"98"	"9"	"9"	"7"	"-241"	""	"241"	""
"195"	"134 A"	"74"	"94"	"174"	"12"	"10"	"-364"	""	"364"	""
"196"	"135"	"88"	"423"	"18"	"10"	"5"	"-544"	""	"544"	""
"197"	"136"	"92"	"116"	"25"	"22"	"7"	"-262"	""	"262"	""
"198"	"Form-20"	""	""	""	""	""	""	""	""	""
"199"	"See rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""
"200"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""
"201"	"Election to the Bihar Legislative Assembly from 228- Ghosi Assembly Constituency"	""	""	""	""	""	""	""	""	""
"202"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"203"	""	"Ajay Singh"	"Jagdish Sharma"	"Pradip Kumar"	"Vijay Yadav"	"Abhay Kumar Anil"	""	""	""	""
"204"	"137"	"357"	"28"	"86"	"5"	"5"	"-481"	""	"481"	""
"205"	"138"	"52"	"252"	"195"	"24"	"23"	"-546"	""	"546"	""
"206"	"139"	"102"	"200"	"4"	"6"	"9"	"-321"	""	"321"	""
"207"	"140"	"165"	"244"	"8"	"7"	"8"	"-432"	""	"432"	""
"208"	"141"	"13"	"444"	"6"	"0"	"0"	"-463"	""	"463"	""
"209"	"142"	"114"	"303"	"4"	"2"	"2"	"-425"	""	"425"	""
"210"	"143"	"18"	"229"	"35"	"2"	"2"	"-286"	""	"286"	""
"211"	"144"	"249"	"39"	"17"	"1"	"4"	"-310"	""	"310"	""
"212"	"145"	"31"	"346"	"19"	"4"	"5"	"-405"	""	"405"	""
"213"	"146"	"42"	"338"	"39"	"4"	"4"	"-427"	""	"427"	""
"214"	"147"	"143"	"226"	"3"	"0"	"1"	"-373"	""	"373"	""
"215"	"148"	"26"	"234"	"33"	"4"	"7"	"-304"	""	"304"	""
"216"	"149"	"28"	"170"	"2"	"0"	"0"	"-200"	""	"200"	""
"217"	"150"	"231"	"141"	"6"	"82"	"11"	"-471"	""	"471"	""
"218"	"Form-20"	""	""	""	""	""	""	""	""	""
"219"	"See rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""
"220"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""
"221"	"Election to the Bihar Legislative Assembly from 228- Ghosi Assembly Constituency"	""	""	""	""	""	""	""	""	""
"222"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"223"	""	"Ajay Singh"	"Jagdish Sharma"	"Pradip Kumar"	"Vijay Yadav"	"Abhay Kumar Anil"	""	""	""	""
"224"	"151"	"21"	"367"	"193"	"29"	"11"	"-621"	""	"621"	""
"225"	"152"	"48"	"562"	"50"	"3"	"0"	"-663"	""	"663"	""
"226"	"153"	"6"	"477"	"1"	"0"	"0"	"-484"	""	"484"	""
"227"	"154"	"11"	"122"	"32"	"5"	"3"	"-173"	""	"173"	""
"228"	"155"	"43"	"112"	"32"	"9"	"5"	"-201"	""	"201"	""
"229"	"156"	"33"	"288"	"8"	"3"	"10"	"-342"	""	"342"	""
"230"	"157"	"302"	"19"	"15"	"2"	"2"	"-340"	""	"340"	""
"231"	"158"	"195"	"134"	"48"	"38"	"20"	"-435"	""	"435"	""
"232"	"158 A"	"112"	"27"	"151"	"12"	"14"	"-316"	""	"316"	""
"233"	"159"	"262"	"167"	"16"	"7"	"10"	"-462"	""	"462"	""
"234"	"160"	"166"	"243"	"96"	"27"	"21"	"-553"	""	"553"	""
"235"	"161"	"40"	"688"	"12"	"7"	"8"	"-755"	""	"755"	""
"236"	"162"	"214"	"7"	"1"	"2"	"6"	"-230"	""	"230"	""
"237"	"163"	"196"	"112"	"15"	"13"	"11"	"-347"	""	"347"	""
"238"	"Form-20"	""	""	""	""	""	""	""	""	""
"239"	"See rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""
"240"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""
"241"	"Election to the Bihar Legislative Assembly from 228- Ghosi Assembly Constituency"	""	""	""	""	""	""	""	""	""
"242"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"243"	""	"Ajay Singh"	"Jagdish Sharma"	"Pradip Kumar"	"Vijay Yadav"	"Abhay Kumar Anil"	""	""	""	""
"244"	"164"	"233"	"192"	"7"	"1"	"6"	"-439"	""	"439"	""
"245"	"165"	"118"	"201"	"5"	"4"	"9"	"-337"	""	"337"	""
"246"	"166"	"397"	"169"	"6"	"12"	"18"	"-602"	""	"602"	""
"247"	"167"	"269"	"87"	"3"	"2"	"7"	"-368"	""	"368"	""
"248"	"168"	"173"	"187"	"14"	"9"	"12"	"-395"	""	"395"	""
"249"	"169"	"134"	"126"	"37"	"7"	"6"	"-310"	""	"310"	""
"250"	"169A"	"127"	"209"	"72"	"6"	"6"	"-420"	""	"420"	""
"251"	"170"	"165"	"168"	"11"	"6"	"5"	"-355"	""	"355"	""
"252"	"171"	"99"	"442"	"57"	"13"	"9"	"-620"	""	"620"	""
"253"	"172"	"220"	"209"	"68"	"21"	"8"	"-526"	""	"526"	""
"254"	"173"	"223"	"252"	"59"	"15"	"20"	"-569"	""	"569"	""
"255"	"174"	"85"	"165"	"25"	"4"	"14"	"-293"	""	"293"	""
"256"	"175"	"62"	"198"	"27"	"4"	"1"	"-292"	""	"292"	""
"257"	"175A"	"71"	"390"	"24"	"8"	"5"	"-498"	""	"498"	""
"258"	"Form-20"	""	""	""	""	""	""	""	""	""
"259"	"See rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""
"260"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""
"261"	"Election to the Bihar Legislative Assembly from 228- Ghosi Assembly Constituency"	""	""	""	""	""	""	""	""	""
"262"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"263"	""	"Ajay Singh"	"Jagdish Sharma"	"Pradip Kumar"	"Vijay Yadav"	"Abhay Kumar Anil"	""	""	""	""
"264"	"176"	"44"	"273"	"20"	"2"	"1"	"-340"	""	"340"	""
"265"	"177"	"9"	"348"	"1"	"0"	"0"	"-358"	""	"358"	""
"266"	"178"	"169"	"260"	"9"	"12"	"23"	"-473"	""	"473"	""
"267"	"179"	"77"	"335"	"4"	"2"	"0"	"-418"	""	"418"	""
"268"	"180"	"81"	"88"	"17"	"6"	"9"	"-201"	""	"201"	""
"269"	"181"	"74"	"554"	"10"	"10"	"7"	"-655"	""	"655"	""
"270"	"182"	"136"	"167"	"19"	"11"	"16"	"-349"	""	"349"	""
"271"	"183"	"106"	"71"	"53"	"18"	"5"	"-253"	""	"253"	""
"272"	"184"	"21"	"208"	"111"	"19"	"12"	"-371"	""	"371"	""
"273"	"185"	"83"	"160"	"90"	"15"	"8"	"-356"	""	"356"	""
"274"	"186"	"86"	"291"	"90"	"13"	"9"	"-489"	""	"489"	""
"275"	"187"	"164"	"273"	"2"	"10"	"1"	"-450"	""	"450"	""
"276"	"188"	"119"	"124"	"11"	"7"	"5"	"-266"	""	"266"	""
"277"	"189"	"139"	"131"	"20"	"10"	"19"	"-319"	""	"319"	""
"278"	"Form-20"	""	""	""	""	""	""	""	""	""
"279"	"See rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""
"280"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""
"281"	"Election to the Bihar Legislative Assembly from 228- Ghosi Assembly Constituency"	""	""	""	""	""	""	""	""	""
"282"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"283"	""	"Ajay Singh"	"Jagdish Sharma"	"Pradip Kumar"	"Vijay Yadav"	"Abhay Kumar Anil"	""	""	""	""
"284"	"190"	"209"	"182"	"10"	"5"	"4"	"-410"	""	"410"	""
"285"	"191"	"160"	"76"	"3"	"1"	"1"	"-241"	""	"241"	""
"286"	"192"	"9"	"397"	"16"	"7"	"4"	"-433"	""	"433"	""
"287"	"193"	"107"	"102"	"31"	"16"	"14"	"-270"	""	"270"	""
"288"	"194"	"73"	"204"	"48"	"11"	"10"	"-346"	""	"346"	""
"289"	"194A"	"100"	"96"	"17"	"18"	"4"	"-235"	""	"235"	""
"290"	"195"	"220"	"44"	"5"	"5"	"6"	"-280"	""	"280"	""
"291"	"196"	"75"	"226"	"6"	"3"	"12"	"-322"	""	"322"	""
"292"	"197"	"68"	"106"	"15"	"5"	"4"	"-198"	""	"198"	""
"293"	"198"	"141"	"148"	"7"	"15"	"19"	"-330"	""	"330"	""
"294"	"198A"	"61"	"107"	"9"	"8"	"5"	"-190"	""	"190"	""
"295"	"199"	"111"	"222"	"39"	"14"	"39"	"-425"	""	"425"	""
"296"	"199A"	"205"	"71"	"8"	"6"	"13"	"-303"	""	"303"	""
"297"	"200"	"108"	"271"	"35"	"23"	"13"	"-450"	""	"450"	""
"298"	"Form-20"	""	""	""	""	""	""	""	""	""
"299"	"See rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""
"300"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""
"301"	"Election to the Bihar Legislative Assembly from 228- Ghosi Assembly Constituency"	""	""	""	""	""	""	""	""	""
"302"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
