"Total.No..of.Electors.in.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"	"X..111"	"X..112"	"X..113"	"X..114"	"X..115"	"X..116"	"X..117"	"X..118"	"X..119"	"X..120"	"X..121"	"X..122"	"X..123"	"X..124"	"X..125"	"X..126"	"X..127"	"X..128"
"11"	"7"	"6"	""	""	"47"	""	""	"187"	""	""	"153"	""	""	""	""	"5"	""	""	""	""	"8"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"30"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"444"	""	""	""	""	""	""	"0"	""	""	""	""	""	"444"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"12"	"8"	"7"	""	""	"16"	""	""	"92"	""	""	"139"	""	""	""	""	"10"	""	""	""	""	"5"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"79"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	"355"	""	""	""	""	""	""	"0"	""	""	""	""	""	"355"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"13"	"9"	"8"	""	""	"16"	""	""	"60"	""	""	"83"	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"175"	""	""	""	""	""	""	"0"	""	""	""	""	""	"175"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14"	"10"	"9"	""	""	"7"	""	""	"132"	""	""	"65"	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	"261"	""	""	""	""	""	""	"0"	""	""	""	""	""	"261"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"15"	"11"	"10"	""	""	"4"	""	""	"45"	""	""	"2"	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"58"	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	"140"	""	""	""	""	""	""	"0"	""	""	""	""	""	"140"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"16"	"12"	"11"	""	""	"13"	""	""	"162"	""	""	"9"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"95"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"301"	""	""	""	""	""	""	"0"	""	""	""	""	""	"301"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"17"	"13"	"12"	""	""	"39"	""	""	"52"	""	""	"152"	""	""	""	""	"8"	""	""	""	""	"7"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"126"	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"400"	""	""	""	""	""	""	"0"	""	""	""	""	""	"400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"18"	"14"	"13"	""	""	"5"	""	""	"33"	""	""	"6"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"160"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	"216"	""	""	""	""	""	""	"0"	""	""	""	""	""	"216"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"19"	"Total"	""	""	""	"549"	""	""	"1531"	""	""	"1249"	""	""	""	""	"65"	""	""	""	""	"51"	""	""	""	""	""	""	"37"	""	""	""	""	""	""	"802"	""	""	""	""	""	""	""	""	"29"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	"25"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"18"	""	""	""	""	""	""	"33"	""	""	""	""	""	""	""	"63"	""	""	""	""	""	"4482"	""	""	""	""	""	""	"0"	""	""	""	""	""	"4482"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"Place  Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"Date   22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"Election to the Bihar Legislative Assembly from the 238- Atri Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Round No. …       2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Table No."	""	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	""	""	"No. of rejected votes"	""	""	""	""	"Total no. of votes"	""	""	""	""	""	""	""	""	"Total No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	""	""	""	""	""	"AMRENDRA SINGH"	""	"KUNTI DEVI"	""	""	"VIRENDRA SINGH"	""	""	""	"SURENDRA YADAV"	""	""	""	""	"TARAKNATH GOSWAMI"	""	""	""	""	""	"MD. MOIN AKHTAR"	""	""	""	""	""	""	""	"RAMASRAY PRA. SINGH"	""	""	""	""	""	""	""	"INDRA DEV NIRALA"	""	""	""	""	""	""	""	"KUMAR GAUTAM"	""	""	""	""	""	""	""	"BAJRANGI SINGH"	""	""	""	""	""	""	"MAHESH KUMAR"	""	""	""	""	""	""	"RAJENDRA SINGH"	""	""	""	""	""	""	""	"RAMCHANDR A MANJHI"	""	""	""	""	""	""	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	"5"	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	"18"	""	""	""	""	"19"	""	""	""	""	""	""	""	""	"20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"1"	""	"14"	""	""	"8"	""	"68"	""	""	"6"	""	""	""	"5"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"59"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"163"	""	""	""	""	""	"0"	""	""	""	""	"163"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"2"	""	"15"	""	""	"3"	""	"112"	""	""	"10"	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"26"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"174"	""	""	""	""	""	"0"	""	""	""	""	"174"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"3"	""	"16"	""	""	"6"	""	"187"	""	""	"33"	""	""	""	"8"	""	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"20"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	"286"	""	""	""	""	""	"0"	""	""	""	""	"286"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"4"	""	"17"	""	""	"20"	""	"262"	""	""	"24"	""	""	""	"17"	""	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"44"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	"400"	""	""	""	""	""	"0"	""	""	""	""	"400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"5"	""	"18"	""	""	"0"	""	"55"	""	""	"38"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"99"	""	""	""	""	""	"0"	""	""	""	""	"99"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"6"	""	"19"	""	""	"29"	""	"102"	""	""	"171"	""	""	""	"14"	""	""	""	""	"14"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"39"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"22"	""	""	""	""	""	"439"	""	""	""	""	""	"0"	""	""	""	""	"439"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"7"	""	"20"	""	""	"16"	""	"217"	""	""	"53"	""	""	""	"3"	""	""	""	""	"7"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"313"	""	""	""	""	""	"0"	""	""	""	""	"313"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"8"	""	"21"	""	""	"10"	""	"193"	""	""	"23"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"252"	""	""	""	""	""	"0"	""	""	""	""	"252"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"9"	""	"22"	""	""	"12"	""	"336"	""	""	"18"	""	""	""	"12"	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	"451"	""	""	""	""	""	"0"	""	""	""	""	"451"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"10"	""	"23"	""	""	"16"	""	"281"	""	""	"19"	""	""	""	"6"	""	""	""	""	"5"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	"386"	""	""	""	""	""	"0"	""	""	""	""	"386"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"11"	""	"24"	""	""	"9"	""	"87"	""	""	"3"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"119"	""	""	""	""	""	"0"	""	""	""	""	"119"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"12"	""	"25"	""	""	"11"	""	"218"	""	""	"9"	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"275"	""	""	""	""	""	"0"	""	""	""	""	"275"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
