"Total.No..of.Electors.in.Asembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"46"	"36"	"32"	"60"	"139"	"19"	"279"	"15"	"18"	"530"	"-"	"530"	""
"47"	"37"	"33"	"188"	"209"	"17"	"11"	"20"	"27"	"472"	"-"	"472"	""
"48"	"38"	"34"	"181"	"104"	"13"	"142"	"32"	"57"	"529"	"-"	"529"	""
"49"	"39"	"35"	"190"	"163"	"21"	"164"	"60"	"17"	"615"	"-"	"615"	""
"50"	"40"	"36"	"385"	"121"	"12"	"6"	"5"	"7"	"536"	"-"	"536"	""
"51"	"41"	"37"	"62"	"194"	"24"	"242"	"21"	"32"	"575"	"-"	"575"	""
"52"	"42"	"38"	"102"	"67"	"6"	"66"	"2"	"20"	"263"	"-"	"263"	""
"53"	"43"	"38A"	"38"	"87"	"12"	"127"	"11"	"9"	"284"	"-"	"284"	""
"54"	"44"	"39"	"38"	"84"	"12"	"77"	"9"	"17"	"237"	"-"	"237"	""
"55"	"45"	"39A"	"43"	"34"	"7"	"125"	"11"	"10"	"230"	"-"	"230"	""
"56"	"46"	"40"	"20"	"58"	"11"	"210"	"16"	"20"	"335"	"-"	"335"	""
"57"	"47"	"41"	"64"	"70"	"13"	"169"	"11"	"14"	"341"	"-"	"341"	""
"58"	"48"	"42"	"12"	"17"	"6"	"260"	"5"	"1"	"301"	"-"	"301"	""
"59"	"49"	"43"	"61"	"52"	"12"	"223"	"11"	"15"	"374"	"-"	"374"	""
"60"	"50"	"44"	"193"	"113"	"17"	"93"	"10"	"25"	"451"	"-"	"451"	""
"61"	"51"	"45"	"81"	"9"	"10"	"198"	"8"	"4"	"310"	"-"	"310"	""
"62"	"52"	"46"	"139"	"17"	"9"	"140"	"6"	"14"	"325"	"-"	"325"	""
"63"	"53"	"47"	"64"	"177"	"30"	"19"	"15"	"16"	"321"	"-"	"321"	""
"64"	"54"	"48"	"354"	"67"	"11"	"108"	"12"	"14"	"566"	"-"	"566"	""
"65"	"55"	"49"	"245"	"49"	"11"	"113"	"10"	"16"	"444"	"-"	"444"	""
"66"	"56"	"50"	"246"	"27"	"10"	"168"	"9"	"29"	"489"	"-"	"489"	""
"67"	"57"	"51"	"168"	"225"	"32"	"33"	"15"	"28"	"501"	"-"	"501"	""
"68"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"69"	""	""	"Izhar Ahmad"	"Dr. Mahabir Prasad"	"Laxmi Nayak"	"Vijay Shankar Chaudhary"	"Vidyanand Ram"	"Harendra Singh"	""	""	""	""
"70"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"71"	"58"	"52"	"79"	"159"	"14"	"55"	"13"	"11"	"331"	"-"	"331"	""
"72"	"59"	"52A"	"34"	"189"	"15"	"33"	"6"	"7"	"284"	"-"	"284"	""
"73"	"60"	"53"	"47"	"224"	"19"	"53"	"19"	"19"	"381"	"-"	"381"	""
"74"	"61"	"54"	"203"	"247"	"14"	"101"	"10"	"18"	"593"	"-"	"593"	""
"75"	"62"	"55"	"223"	"164"	"18"	"56"	"21"	"32"	"514"	"-"	"514"	""
"76"	"63"	"56"	"41"	"33"	"10"	"169"	"15"	"21"	"289"	"-"	"289"	""
"77"	"64"	"57"	"58"	"9"	"7"	"248"	"5"	"14"	"341"	"-"	"341"	""
"78"	"65"	"58"	"81"	"127"	"38"	"191"	"18"	"35"	"490"	"-"	"490"	""
"79"	"66"	"59"	"32"	"35"	"9"	"244"	"4"	"17"	"341"	"-"	"341"	""
"80"	"67"	"60"	"37"	"32"	"6"	"404"	"20"	"12"	"511"	"-"	"511"	""
"81"	"68"	"61"	"25"	"206"	"19"	"43"	"8"	"8"	"309"	"-"	"309"	""
"82"	"69"	"61A"	"93"	"19"	"11"	"35"	"4"	"15"	"177"	"-"	"177"	""
"83"	"70"	"62"	"101"	"223"	"23"	"179"	"17"	"39"	"582"	"-"	"582"	""
"84"	"71"	"63"	"49"	"30"	"8"	"123"	"11"	"18"	"239"	"-"	"239"	""
"85"	"72"	"63A"	"29"	"116"	"25"	"99"	"22"	"18"	"309"	"-"	"309"	""
"86"	"73"	"64"	"31"	"135"	"6"	"168"	"19"	"31"	"390"	"-"	"390"	""
"87"	"74"	"65"	"41"	"79"	"6"	"322"	"8"	"10"	"466"	"-"	"466"	""
"88"	"75"	"66"	"104"	"170"	"15"	"35"	"6"	"19"	"349"	"-"	"349"	""
"89"	"76"	"66A"	"31"	"112"	"23"	"53"	"14"	"12"	"245"	"-"	"245"	""
"90"	"77"	"67"	"59"	"206"	"13"	"12"	"7"	"14"	"311"	"-"	"311"	""
"91"	"78"	"68"	"67"	"333"	"16"	"24"	"6"	"19"	"465"	"-"	"465"	""
"92"	"79"	"69"	"90"	"286"	"40"	"149"	"20"	"29"	"614"	"-"	"614"	""
"93"	"80"	"70"	"209"	"208"	"12"	"8"	"7"	"7"	"451"	"-"	"451"	""
"94"	"81"	"71"	"143"	"118"	"10"	"8"	"4"	"10"	"293"	"-"	"293"	""
"95"	"82"	"71A"	"37"	"76"	"17"	"60"	"18"	"26"	"234"	"-"	"234"	""
"96"	"83"	"72"	"188"	"78"	"4"	"6"	"5"	"10"	"291"	"-"	"291"	""
"97"	"84"	"72A"	"35"	"167"	"9"	"69"	"3"	"13"	"296"	"-"	"296"	""
"98"	"85"	"73"	"170"	"109"	"9"	"2"	"5"	"23"	"318"	"-"	"318"	""
"99"	"86"	"74"	"215"	"66"	"7"	"3"	"5"	"17"	"313"	"-"	"313"	""
"100"	"87"	"74A"	"161"	"33"	"4"	"17"	"5"	"6"	"226"	"-"	"226"	""
"101"	"88"	"75"	"286"	"67"	"9"	"9"	"10"	"12"	"393"	"-"	"393"	""
"102"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"103"	""	""	"Izhar Ahmad"	"Dr. Mahabir Prasad"	"Laxmi Nayak"	"Vijay Shankar Chaudhary"	"Vidyanand Ram"	"Harendra Singh"	""	""	""	""
"104"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"105"	"89"	"76"	"175"	"235"	"24"	"67"	"13"	"16"	"530"	"-"	"530"	""
"106"	"90"	"77"	"87"	"207"	"11"	"6"	"4"	"6"	"321"	"-"	"321"	""
"107"	"91"	"78"	"282"	"192"	"12"	"25"	"8"	"11"	"530"	"-"	"530"	""
"108"	"92"	"79"	"117"	"317"	"17"	"11"	"4"	"17"	"483"	"-"	"483"	""
"109"	"93"	"80"	"267"	"188"	"17"	"28"	"22"	"73"	"595"	"-"	"595"	""
"110"	"94"	"81"	"243"	"303"	"25"	"37"	"18"	"20"	"646"	"-"	"646"	""
"111"	"95"	"82"	"57"	"301"	"32"	"46"	"9"	"13"	"458"	"-"	"458"	""
"112"	"96"	"83"	"283"	"221"	"25"	"60"	"8"	"27"	"624"	"-"	"624"	""
"113"	"97"	"84"	"123"	"127"	"16"	"48"	"13"	"22"	"349"	"-"	"349"	""
"114"	"98"	"85"	"53"	"112"	"15"	"21"	"9"	"23"	"233"	"-"	"233"	""
"115"	"99"	"86"	"58"	"198"	"22"	"69"	"14"	"30"	"391"	"-"	"391"	""
"116"	"100"	"87"	"194"	"82"	"7"	"15"	"3"	"13"	"314"	"-"	"314"	""
"117"	"101"	"88"	"243"	"59"	"9"	"18"	"7"	"21"	"357"	"-"	"357"	""
"118"	"102"	"89"	"242"	"51"	"4"	"37"	"7"	"5"	"346"	"-"	"346"	""
"119"	"103"	"89A"	"170"	"81"	"2"	"21"	"0"	"6"	"280"	"-"	"280"	""
"120"	"104"	"90"	"186"	"204"	"16"	"58"	"13"	"32"	"509"	"-"	"509"	""
"121"	"105"	"91"	"87"	"138"	"16"	"198"	"17"	"18"	"474"	"-"	"474"	""
"122"	"106"	"92"	"19"	"76"	"10"	"109"	"10"	"20"	"244"	"-"	"244"	""
"123"	"107"	"93"	"300"	"122"	"20"	"44"	"7"	"20"	"513"	"-"	"513"	""
"124"	"108"	"94"	"82"	"112"	"26"	"179"	"29"	"49"	"477"	"-"	"477"	""
"125"	"109"	"95"	"166"	"164"	"14"	"5"	"8"	"11"	"368"	"-"	"368"	""
"126"	"110"	"96"	"241"	"105"	"9"	"5"	"10"	"12"	"382"	"-"	"382"	""
"127"	"111"	"97"	"72"	"105"	"7"	"142"	"9"	"9"	"344"	"-"	"344"	""
"128"	"112"	"98"	"242"	"53"	"19"	"37"	"3"	"14"	"368"	"-"	"368"	""
"129"	"113"	"99"	"91"	"111"	"83"	"120"	"17"	"23"	"445"	"-"	"445"	""
"130"	"114"	"100"	"119"	"158"	"18"	"90"	"8"	"25"	"418"	"-"	"418"	""
"131"	"115"	"100A"	"212"	"31"	"4"	"2"	"5"	"16"	"270"	"-"	"270"	""
"132"	"116"	"101"	"199"	"146"	"38"	"144"	"26"	"35"	"588"	"-"	"588"	""
"133"	"117"	"102"	"192"	"56"	"17"	"24"	"5"	"24"	"318"	"-"	"318"	""
"134"	"118"	"103"	"104"	"144"	"36"	"140"	"25"	"17"	"466"	"-"	"466"	""
"135"	"119"	"104"	"143"	"125"	"38"	"21"	"10"	"10"	"347"	"-"	"347"	""
"136"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"137"	""	""	"Izhar Ahmad"	"Dr. Mahabir Prasad"	"Laxmi Nayak"	"Vijay Shankar Chaudhary"	"Vidyanand Ram"	"Harendra Singh"	""	""	""	""
"138"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"139"	"120"	"104A"	"78"	"35"	"2"	"26"	"2"	"8"	"151"	"-"	"151"	""
"140"	"121"	"105"	"267"	"59"	"6"	"16"	"1"	"13"	"362"	"-"	"362"	""
"141"	"122"	"105A"	"184"	"55"	"6"	"2"	"5"	"4"	"256"	"-"	"256"	""
"142"	"123"	"106"	"65"	"165"	"4"	"76"	"13"	"18"	"341"	"-"	"341"	""
"143"	"124"	"106A"	"107"	"55"	"12"	"20"	"14"	"28"	"236"	"-"	"236"	""
"144"	"125"	"107"	"177"	"109"	"12"	"63"	"15"	"5"	"381"	"-"	"381"	""
"145"	"126"	"108"	"91"	"125"	"10"	"83"	"11"	"13"	"333"	"-"	"333"	""
"146"	"127"	"108A"	"47"	"140"	"10"	"110"	"11"	"9"	"327"	"-"	"327"	""
"147"	"128"	"109"	"101"	"246"	"34"	"173"	"17"	"32"	"603"	"-"	"603"	""
"148"	"129"	"110"	"26"	"73"	"15"	"206"	"20"	"31"	"371"	"-"	"371"	""
"149"	"130"	"110A"	"58"	"74"	"15"	"87"	"13"	"28"	"275"	"-"	"275"	""
"150"	"131"	"111"	"37"	"116"	"6"	"134"	"9"	"8"	"310"	"-"	"310"	""
"151"	"132"	"111A"	"29"	"202"	"9"	"97"	"5"	"2"	"344"	"-"	"344"	""
"152"	"133"	"112"	"49"	"104"	"11"	"60"	"2"	"3"	"229"	"-"	"229"	""
"153"	"134"	"112A"	"83"	"236"	"12"	"70"	"6"	"8"	"415"	"-"	"415"	""
"154"	"135"	"113"	"195"	"140"	"12"	"80"	"12"	"9"	"448"	"-"	"448"	""
"155"	"136"	"113A"	"95"	"129"	"8"	"49"	"6"	"8"	"295"	"-"	"295"	""
"156"	"137"	"114"	"152"	"106"	"50"	"116"	"16"	"19"	"459"	"-"	"459"	""
"157"	"138"	"115"	"251"	"30"	"11"	"3"	"2"	"10"	"307"	"-"	"307"	""
"158"	"139"	"115A"	"100"	"5"	"4"	"1"	"0"	"6"	"116"	"-"	"116"	""
"159"	"140"	"116"	"301"	"56"	"8"	"5"	"8"	"24"	"402"	"-"	"402"	""
"160"	"141"	"117"	"372"	"46"	"5"	"2"	"4"	"14"	"443"	"-"	"443"	""
"161"	"142"	"118"	"200"	"238"	"14"	"8"	"6"	"12"	"478"	"-"	"478"	""
"162"	"143"	"119"	"228"	"147"	"15"	"5"	"11"	"28"	"434"	"-"	"434"	""
"163"	"144"	"120"	"87"	"131"	"23"	"112"	"13"	"19"	"385"	"-"	"385"	""
"164"	"145"	"121"	"60"	"70"	"24"	"208"	"6"	"10"	"378"	"-"	"378"	""
"165"	"146"	"122"	"170"	"16"	"12"	"189"	"6"	"12"	"405"	"-"	"405"	""
"166"	"147"	"122A"	"23"	"52"	"5"	"149"	"10"	"7"	"246"	"-"	"246"	""
"167"	"148"	"123"	"59"	"31"	"13"	"324"	"16"	"16"	"459"	"-"	"459"	""
"168"	"149"	"124"	"115"	"83"	"26"	"217"	"12"	"53"	"506"	"-"	"506"	""
"169"	"150"	"125"	"40"	"43"	"24"	"207"	"11"	"19"	"344"	"-"	"344"	""
"170"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"171"	""	""	"Izhar Ahmad"	"Dr. Mahabir Prasad"	"Laxmi Nayak"	"Vijay Shankar Chaudhary"	"Vidyanand Ram"	"Harendra Singh"	""	""	""	""
"172"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"173"	"151"	"126"	"72"	"152"	"12"	"108"	"9"	"9"	"362"	"-"	"362"	""
"174"	"152"	"127"	"122"	"209"	"30"	"128"	"18"	"25"	"532"	"-"	"532"	""
"175"	"153"	"128"	"179"	"179"	"35"	"29"	"8"	"18"	"448"	"-"	"448"	""
"176"	"154"	"129"	"66"	"118"	"13"	"269"	"15"	"12"	"493"	"-"	"493"	""
"177"	"155"	"130"	"18"	"67"	"14"	"210"	"8"	"10"	"327"	"-"	"327"	""
"178"	"156"	"131"	"344"	"36"	"5"	"9"	"1"	"6"	"401"	"-"	"401"	""
"179"	"157"	"131A"	"197"	"22"	"1"	"3"	"1"	"3"	"227"	"-"	"227"	""
"180"	"158"	"132"	"334"	"66"	"31"	"137"	"36"	"22"	"626"	"-"	"626"	""
"181"	"159"	"133"	"265"	"122"	"24"	"117"	"25"	"22"	"575"	"-"	"575"	""
"182"	"160"	"134"	"36"	"44"	"8"	"254"	"10"	"6"	"358"	"-"	"358"	""
"183"	"161"	"135"	"36"	"159"	"16"	"281"	"25"	"12"	"529"	"-"	"529"	""
"184"	"162"	"136"	"236"	"134"	"5"	"8"	"4"	"18"	"405"	"-"	"405"	""
"185"	"163"	"137"	"188"	"188"	"11"	"5"	"13"	"23"	"428"	"-"	"428"	""
"186"	"164"	"138"	"216"	"66"	"4"	"4"	"6"	"9"	"305"	"-"	"305"	""
"187"	"165"	"138A"	"241"	"52"	"4"	"4"	"6"	"19"	"326"	"-"	"326"	""
"188"	"166"	"139"	"168"	"139"	"18"	"64"	"7"	"14"	"410"	"-"	"410"	""
"189"	"167"	"140"	"62"	"251"	"16"	"110"	"9"	"10"	"458"	"-"	"458"	""
"190"	"168"	"141"	"119"	"145"	"14"	"31"	"1"	"8"	"318"	"-"	"318"	""
"191"	"169"	"142"	"20"	"31"	"11"	"271"	"7"	"5"	"345"	"-"	"345"	""
"192"	"170"	"142A"	"24"	"24"	"4"	"245"	"7"	"4"	"308"	"-"	"308"	""
"193"	"171"	"143"	"35"	"40"	"5"	"380"	"11"	"8"	"479"	"-"	"479"	""
"194"	"172"	"143A"	"3"	"1"	"0"	"263"	"2"	"0"	"269"	"-"	"269"	""
"195"	"173"	"144"	"40"	"98"	"9"	"151"	"8"	"14"	"320"	"-"	"320"	""
"196"	"174"	"145"	"224"	"90"	"9"	"13"	"7"	"6"	"349"	"-"	"349"	""
"197"	"175"	"146"	"204"	"271"	"11"	"6"	"5"	"18"	"515"	"-"	"515"	""
"198"	"176"	"147"	"86"	"240"	"12"	"27"	"15"	"21"	"401"	"-"	"401"	""
"199"	"177"	"147A"	"45"	"177"	"20"	"56"	"10"	"17"	"325"	"-"	"325"	""
"200"	"178"	"148"	"70"	"156"	"30"	"204"	"15"	"24"	"499"	"-"	"499"	""
"201"	"179"	"149"	"224"	"90"	"13"	"22"	"7"	"9"	"365"	"-"	"365"	""
"202"	"180"	"150"	"250"	"96"	"7"	"122"	"4"	"15"	"494"	"-"	"494"	""
"203"	"181"	"151"	"197"	"145"	"20"	"141"	"9"	"15"	"527"	"-"	"527"	""
"204"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"205"	""	""	"Izhar Ahmad"	"Dr. Mahabir Prasad"	"Laxmi Nayak"	"Vijay Shankar Chaudhary"	"Vidyanand Ram"	"Harendra Singh"	""	""	""	""
"206"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"207"	"182"	"152"	"247"	"121"	"13"	"150"	"9"	"11"	"551"	"-"	"551"	""
"208"	"183"	"153"	"353"	"86"	"10"	"119"	"11"	"28"	"607"	"-"	"607"	""
"209"	"184"	"154"	"126"	"158"	"22"	"46"	"10"	"6"	"368"	"-"	"368"	""
"210"	"185"	"154A"	"36"	"184"	"15"	"58"	"9"	"8"	"310"	"-"	"310"	""
"211"	"186"	"155"	"200"	"128"	"8"	"49"	"6"	"3"	"394"	"-"	"394"	""
"212"	"187"	"155A"	"99"	"133"	"12"	"51"	"8"	"11"	"314"	"-"	"314"	""
"213"	"188"	"156"	"137"	"220"	"34"	"214"	"24"	"26"	"655"	"-"	"655"	""
"214"	"189"	"157"	"83"	"263"	"21"	"60"	"8"	"13"	"448"	"-"	"448"	""
"215"	"190"	"158"	"74"	"79"	"7"	"28"	"5"	"8"	"201"	"-"	"201"	""
"216"	"191"	"159"	"48"	"88"	"13"	"201"	"6"	"11"	"367"	"-"	"367"	""
"217"	"192"	"160"	"121"	"238"	"33"	"111"	"19"	"22"	"544"	"-"	"544"	""
"218"	"193"	"161"	"141"	"177"	"20"	"18"	"9"	"17"	"382"	"-"	"382"	""
"219"	"194"	"162"	"154"	"95"	"18"	"176"	"12"	"11"	"466"	"-"	"466"	""
"220"	"195"	"163"	"98"	"129"	"12"	"112"	"10"	"14"	"375"	"-"	"375"	""
"221"	"196"	"164"	"109"	"247"	"30"	"135"	"21"	"23"	"565"	"-"	"565"	""
"222"	"197"	"165"	"81"	"229"	"13"	"22"	"10"	"7"	"362"	"-"	"362"	""
"223"	"198"	"165A"	"119"	"186"	"31"	"32"	"12"	"18"	"398"	"-"	"398"	""
"224"	"199"	"166"	"59"	"220"	"19"	"77"	"19"	"20"	"414"	"-"	"414"	""
"225"	"200"	"166A"	"75"	"137"	"18"	"120"	"14"	"15"	"379"	"-"	"379"	""
"226"	"201"	"167"	"81"	"260"	"23"	"87"	"10"	"34"	"495"	"-"	"495"	""
"227"	"202"	"168"	"25"	"78"	"3"	"189"	"5"	"5"	"305"	"-"	"305"	""
"228"	"203"	"169"	"28"	"116"	"23"	"162"	"14"	"10"	"353"	"-"	"353"	""
"229"	"204"	"170"	"49"	"179"	"26"	"240"	"14"	"25"	"533"	"-"	"533"	""
"230"	"205"	"171"	"59"	"85"	"17"	"230"	"17"	"14"	"422"	"-"	"422"	""
"231"	"206"	"172"	"258"	"71"	"11"	"41"	"9"	"21"	"411"	"-"	"411"	""
"232"	"207"	"173"	"13"	"44"	"33"	"171"	"18"	"28"	"307"	"-"	"307"	""
"233"	"208"	"174"	"27"	"45"	"8"	"212"	"7"	"6"	"305"	"-"	"305"	""
"234"	"209"	"174A"	"68"	"27"	"9"	"143"	"8"	"11"	"266"	"-"	"266"	""
"235"	"210"	"175"	"81"	"130"	"11"	"14"	"2"	"9"	"247"	"-"	"247"	""
"236"	"211"	"176"	"139"	"157"	"26"	"159"	"18"	"18"	"517"	"-"	"517"	""
"237"	"212"	"177"	"156"	"148"	"27"	"50"	"11"	"23"	"415"	"-"	"415"	""
"238"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"239"	""	""	"Izhar Ahmad"	"Dr. Mahabir Prasad"	"Laxmi Nayak"	"Vijay Shankar Chaudhary"	"Vidyanand Ram"	"Harendra Singh"	""	""	""	""
"240"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"241"	"213"	"178"	"75"	"80"	"16"	"255"	"22"	"34"	"482"	"-"	"482"	""
"242"	"214"	"179"	"97"	"91"	"17"	"269"	"14"	"18"	"506"	"-"	"506"	""
"243"	"215"	"180"	"326"	"29"	"4"	"34"	"1"	"2"	"396"	"-"	"396"	""
"244"	"216"	"181"	"357"	"19"	"4"	"6"	"2"	"9"	"397"	"-"	"397"	""
"245"	"217"	"182"	"65"	"17"	"18"	"306"	"20"	"21"	"447"	"-"	"447"	""
"246"	"218"	"183"	"115"	"72"	"2"	"174"	"5"	"3"	"371"	"-"	"371"	""
"247"	"219"	"183A"	"183"	"80"	"24"	"136"	"3"	"16"	"442"	"-"	"442"	""
"248"	"220"	"184"	"89"	"28"	"16"	"147"	"6"	"16"	"302"	"-"	"302"	""
"249"	"221"	"185"	"399"	"59"	"14"	"102"	"7"	"13"	"594"	"-"	"594"	""
"250"	"222"	"186"	"175"	"106"	"18"	"83"	"16"	"19"	"417"	"-"	"417"	""
"251"	"223"	"187"	"24"	"129"	"21"	"213"	"12"	"12"	"411"	"-"	"411"	""
"252"	"224"	"188"	"324"	"51"	"27"	"113"	"11"	"27"	"553"	"-"	"553"	""
"253"	"225"	"189"	"196"	"53"	"7"	"147"	"3"	"21"	"427"	"-"	"427"	""
"254"	"226"	"190"	"79"	"45"	"14"	"161"	"7"	"20"	"326"	"-"	"326"	""
"255"	"227"	"190A"	"95"	"19"	"3"	"117"	"9"	"5"	"248"	"-"	"248"	""
"256"	"228"	"191"	"290"	"64"	"7"	"13"	"3"	"17"	"394"	"-"	"394"	""
"257"	"229"	"192"	"283"	"86"	"7"	"135"	"6"	"6"	"523"	"-"	"523"	""
"258"	"230"	"193"	"264"	"78"	"6"	"72"	"5"	"13"	"438"	"-"	"438"	""
"259"	"231"	"194"	"250"	"55"	"9"	"152"	"10"	"4"	"480"	"-"	"480"	""
"260"	"232"	"195"	"112"	"75"	"8"	"223"	"3"	"5"	"426"	"-"	"426"	""
"261"	"233"	"195A"	"23"	"18"	"4"	"159"	"5"	"4"	"213"	"-"	"213"	""
"262"	"234"	"196"	"186"	"62"	"26"	"110"	"8"	"9"	"401"	"-"	"401"	""
