"X120.....e.ksiqjk"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"103"	"79"	"136"	"39"	"108"	"10"	"4"	"14"	"3"	"13"	"327"	"0"	"327"	"0"
"104"	"80"	"105"	"151"	"70"	"1"	"1"	"3"	"3"	"4"	"338"	"0"	"338"	"0"
"105"	"81"	"119"	"194"	"173"	"5"	"14"	"13"	"8"	"25"	"551"	"0"	"551"	"0"
"106"	"82"	"67"	"66"	"366"	"23"	"11"	"28"	"12"	"26"	"599"	"0"	"599"	"0"
"107"	"83"	"143"	"43"	"241"	"9"	"4"	"7"	"5"	"3"	"455"	"0"	"455"	"0"
"108"	"84"	"122"	"5"	"68"	"0"	"1"	"19"	"0"	"1"	"216"	"0"	"216"	"0"
"109"	"84 A"	"91"	"3"	"22"	"1"	"0"	"7"	"0"	"0"	"124"	"0"	"124"	"0"
"110"	"ROUND 7"	"1279"	"950"	"2159"	"94"	"64"	"149"	"62"	"132"	"4889"	"0"	"4889"	"0"
"111"	"85"	"72"	"0"	"82"	"2"	"0"	"9"	"0"	"1"	"166"	"0"	"166"	"0"
"112"	"120  &  e/ksiqjk"	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"ernku dsUnz la[;k"	"MkW0 v'kksd dqekj"	"fct; dqekj"	"e.khUnz dqekj eaMy"	"lat; dqekj
;kno"	"vuhy dqekj"	"pUnz'ks[kj"	"lQhd fe;kW"	"lhrkjke lkg"	"dqy fof/kekU; er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa dh  la[;k"
"114"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"115"	"85 A"	"79"	"2"	"54"	"4"	"0"	"6"	"0"	"0"	"145"	"0"	"145"	"0"
"116"	"86"	"136"	"35"	"170"	"6"	"6"	"9"	"5"	"6"	"373"	"0"	"373"	"0"
"117"	"86 A"	"91"	"103"	"80"	"8"	"1"	"9"	"4"	"2"	"298"	"0"	"298"	"0"
"118"	"87"	"67"	"26"	"197"	"3"	"2"	"6"	"6"	"4"	"311"	"0"	"311"	"0"
"119"	"87 A"	"71"	"25"	"173"	"1"	"3"	"9"	"3"	"3"	"288"	"0"	"288"	"0"
"120"	"88"	"70"	"34"	"135"	"3"	"0"	"16"	"1"	"5"	"264"	"0"	"264"	"0"
"121"	"89"	"54"	"39"	"112"	"6"	"0"	"5"	"4"	"4"	"224"	"0"	"224"	"0"
"122"	"89 A"	"54"	"7"	"97"	"1"	"0"	"2"	"4"	"1"	"166"	"0"	"166"	"0"
"123"	"90"	"42"	"15"	"164"	"1"	"3"	"3"	"9"	"4"	"241"	"0"	"241"	"0"
"124"	"90 A"	"60"	"19"	"123"	"4"	"1"	"3"	"2"	"7"	"219"	"0"	"219"	"0"
"125"	"91"	"90"	"25"	"97"	"2"	"2"	"5"	"2"	"3"	"226"	"0"	"226"	"0"
"126"	"91 A"	"34"	"16"	"290"	"4"	"2"	"8"	"2"	"3"	"359"	"0"	"359"	"0"
"127"	"92"	"33"	"18"	"210"	"3"	"2"	"14"	"2"	"2"	"284"	"0"	"284"	"0"
"128"	"ROUND 8"	"953"	"364"	"1984"	"48"	"22"	"104"	"44"	"45"	"3564"	"0"	"3564"	"0"
"129"	"92 A"	"23"	"4"	"208"	"2"	"2"	"23"	"4"	"6"	"272"	"0"	"272"	"0"
"130"	"93"	"17"	"6"	"246"	"2"	"1"	"45"	"1"	"2"	"320"	"0"	"320"	"0"
"131"	"93 A"	"46"	"6"	"164"	"3"	"1"	"9"	"1"	"2"	"232"	"0"	"232"	"0"
"132"	"94"	"147"	"17"	"62"	"5"	"4"	"16"	"2"	"3"	"256"	"0"	"256"	"0"
"133"	"94 A"	"122"	"4"	"123"	"4"	"1"	"21"	"1"	"3"	"279"	"0"	"279"	"0"
"134"	"95"	"153"	"32"	"137"	"1"	"3"	"5"	"3"	"3"	"337"	"0"	"337"	"0"
"135"	"96"	"123"	"72"	"57"	"1"	"2"	"13"	"1"	"6"	"275"	"0"	"275"	"0"
"136"	"97"	"44"	"5"	"239"	"2"	"0"	"15"	"0"	"3"	"308"	"0"	"308"	"0"
"137"	"97 A"	"16"	"7"	"233"	"5"	"1"	"14"	"1"	"1"	"278"	"0"	"278"	"0"
"138"	"98"	"66"	"12"	"131"	"2"	"1"	"2"	"1"	"1"	"216"	"0"	"216"	"0"
"139"	"98 A"	"23"	"8"	"221"	"6"	"0"	"5"	"3"	"1"	"267"	"0"	"267"	"0"
"140"	"99"	"29"	"2"	"227"	"2"	"0"	"9"	"1"	"2"	"272"	"0"	"272"	"0"
"141"	"99 A"	"84"	"14"	"145"	"4"	"1"	"9"	"1"	"2"	"260"	"0"	"260"	"0"
"142"	"100"	"145"	"22"	"142"	"5"	"3"	"13"	"5"	"9"	"344"	"0"	"344"	"0"
"143"	"ROUND 9"	"1038"	"211"	"2335"	"44"	"20"	"199"	"25"	"44"	"3916"	"0"	"3916"	"0"
"144"	"100 A"	"75"	"4"	"131"	"1"	"0"	"2"	"0"	"2"	"215"	"0"	"215"	"0"
"145"	"101"	"74"	"5"	"112"	"1"	"0"	"3"	"1"	"2"	"198"	"0"	"198"	"0"
"146"	"101 A"	"43"	"0"	"113"	"2"	"0"	"1"	"1"	"0"	"160"	"0"	"160"	"0"
"147"	"102"	"163"	"4"	"74"	"7"	"2"	"18"	"3"	"9"	"280"	"0"	"280"	"0"
"148"	"102 A"	"111"	"27"	"79"	"1"	"2"	"1"	"3"	"2"	"226"	"0"	"226"	"0"
"149"	"103"	"41"	"19"	"209"	"3"	"1"	"5"	"3"	"2"	"283"	"0"	"283"	"0"
"150"	"103 A"	"24"	"12"	"181"	"2"	"1"	"12"	"2"	"4"	"238"	"0"	"238"	"0"
"151"	"104"	"104"	"28"	"104"	"7"	"2"	"1"	"7"	"6"	"259"	"0"	"259"	"0"
"152"	"104 A"	"70"	"56"	"171"	"7"	"2"	"18"	"4"	"3"	"331"	"0"	"331"	"0"
"153"	"105"	"71"	"280"	"122"	"7"	"12"	"9"	"4"	"20"	"525"	"0"	"525"	"0"
"154"	"106"	"107"	"123"	"157"	"3"	"5"	"7"	"5"	"10"	"417"	"0"	"417"	"0"
"155"	"107"	"228"	"36"	"98"	"5"	"5"	"19"	"10"	"12"	"413"	"0"	"413"	"0"
"156"	"108"	"91"	"13"	"83"	"1"	"1"	"11"	"3"	"3"	"206"	"0"	"206"	"0"
"157"	"109"	"29"	"21"	"281"	"12"	"6"	"4"	"5"	"10"	"368"	"0"	"368"	"0"
"158"	"ROUND 10"	"1231"	"628"	"1915"	"59"	"39"	"111"	"51"	"85"	"4119"	"0"	"4119"	"0"
"159"	"109 A"	"12"	"16"	"211"	"5"	"5"	"6"	"3"	"4"	"262"	"0"	"262"	"0"
"160"	"110"	"94"	"51"	"116"	"4"	"0"	"12"	"1"	"2"	"280"	"0"	"280"	"0"
"161"	"111"	"200"	"56"	"116"	"4"	"0"	"10"	"3"	"10"	"399"	"0"	"399"	"0"
"162"	"112"	"216"	"21"	"196"	"9"	"3"	"14"	"3"	"11"	"473"	"0"	"473"	"0"
"163"	"113"	"180"	"18"	"322"	"7"	"6"	"12"	"1"	"6"	"552"	"0"	"552"	"0"
"164"	"114"	"161"	"20"	"191"	"9"	"6"	"19"	"14"	"13"	"433"	"0"	"433"	"0"
"165"	"115"	"209"	"60"	"223"	"10"	"6"	"19"	"7"	"8"	"542"	"0"	"542"	"0"
"166"	"116"	"139"	"31"	"129"	"14"	"3"	"25"	"9"	"22"	"372"	"0"	"372"	"0"
"167"	"117"	"226"	"53"	"59"	"5"	"2"	"51"	"6"	"10"	"412"	"0"	"412"	"0"
"168"	"120  &  e/ksiqjk"	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"ernku dsUnz la[;k"	"MkW0 v'kksd dqekj"	"fct; dqekj"	"e.khUnz dqekj eaMy"	"lat; dqekj
;kno"	"vuhy dqekj"	"pUnz'ks[kj"	"lQhd fe;kW"	"lhrkjke lkg"	"dqy fof/kekU; er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa dh  la[;k"
"170"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"171"	"118"	"160"	"16"	"120"	"12"	"3"	"20"	"4"	"7"	"342"	"0"	"342"	"0"
"172"	"118 A"	"43"	"14"	"274"	"15"	"2"	"4"	"4"	"14"	"370"	"0"	"370"	"0"
"173"	"119"	"222"	"19"	"73"	"13"	"3"	"26"	"7"	"11"	"374"	"0"	"374"	"0"
"174"	"120"	"113"	"142"	"14"	"1"	"8"	"5"	"5"	"4"	"292"	"0"	"292"	"0"
"175"	"121"	"129"	"30"	"80"	"3"	"4"	"27"	"5"	"6"	"284"	"0"	"284"	"0"
"176"	"ROUND 11"	"2104"	"547"	"2124"	"111"	"51"	"250"	"72"	"128"	"5387"	"0"	"5387"	"0"
"177"	"122"	"116"	"77"	"229"	"14"	"13"	"106"	"10"	"11"	"576"	"0"	"576"	"0"
"178"	"123"	"37"	"210"	"169"	"5"	"9"	"6"	"2"	"14"	"452"	"0"	"452"	"0"
"179"	"124"	"120"	"22"	"177"	"7"	"3"	"28"	"4"	"6"	"367"	"0"	"367"	"0"
"180"	"125"	"79"	"33"	"145"	"6"	"4"	"13"	"4"	"1"	"285"	"0"	"285"	"0"
"181"	"126"	"55"	"26"	"162"	"8"	"6"	"133"	"12"	"13"	"415"	"0"	"415"	"0"
"182"	"127"	"49"	"78"	"75"	"3"	"9"	"67"	"6"	"14"	"301"	"0"	"301"	"0"
"183"	"128"	"83"	"22"	"286"	"3"	"3"	"44"	"5"	"14"	"460"	"0"	"460"	"0"
"184"	"129"	"187"	"16"	"306"	"6"	"3"	"33"	"5"	"9"	"565"	"0"	"565"	"0"
"185"	"130"	"102"	"38"	"409"	"6"	"5"	"19"	"3"	"8"	"590"	"0"	"590"	"0"
"186"	"131"	"76"	"55"	"397"	"17"	"7"	"33"	"5"	"5"	"595"	"0"	"595"	"0"
"187"	"132"	"63"	"27"	"264"	"4"	"7"	"22"	"16"	"8"	"411"	"0"	"411"	"0"
"188"	"133"	"67"	"97"	"3"	"4"	"6"	"78"	"4"	"11"	"270"	"0"	"270"	"0"
"189"	"134"	"193"	"49"	"92"	"3"	"4"	"123"	"6"	"6"	"476"	"0"	"476"	"0"
"190"	"135"	"171"	"80"	"81"	"6"	"4"	"36"	"7"	"10"	"395"	"0"	"395"	"0"
"191"	"ROUND 12"	"1398"	"830"	"2795"	"92"	"83"	"741"	"89"	"130"	"6158"	"0"	"6158"	"0"
"192"	"136"	"52"	"155"	"230"	"8"	"10"	"18"	"8"	"11"	"492"	"0"	"492"	"0"
"193"	"137"	"146"	"7"	"68"	"3"	"2"	"38"	"2"	"4"	"270"	"0"	"270"	"0"
"194"	"138"	"41"	"17"	"273"	"13"	"2"	"21"	"6"	"5"	"378"	"0"	"378"	"0"
"195"	"139"	"199"	"101"	"65"	"2"	"5"	"35"	"7"	"16"	"430"	"0"	"430"	"0"
"196"	"140"	"40"	"65"	"254"	"14"	"10"	"6"	"4"	"7"	"400"	"0"	"400"	"0"
"197"	"141"	"124"	"67"	"44"	"14"	"1"	"10"	"3"	"6"	"269"	"0"	"269"	"0"
"198"	"141 A"	"19"	"101"	"135"	"0"	"4"	"11"	"14"	"10"	"294"	"0"	"294"	"0"
"199"	"142"	"171"	"57"	"137"	"10"	"5"	"14"	"8"	"5"	"407"	"0"	"407"	"0"
"200"	"143"	"56"	"41"	"187"	"8"	"3"	"11"	"8"	"8"	"322"	"0"	"322"	"0"
"201"	"144"	"124"	"150"	"98"	"8"	"16"	"9"	"7"	"15"	"427"	"0"	"427"	"0"
"202"	"145"	"90"	"94"	"224"	"9"	"7"	"28"	"10"	"18"	"480"	"0"	"480"	"0"
"203"	"146"	"184"	"25"	"127"	"7"	"1"	"6"	"3"	"6"	"359"	"0"	"359"	"0"
"204"	"146 A"	"199"	"9"	"118"	"10"	"1"	"16"	"0"	"7"	"360"	"0"	"360"	"0"
"205"	"147"	"76"	"19"	"399"	"5"	"4"	"6"	"8"	"2"	"519"	"0"	"519"	"0"
"206"	"ROUND 13"	"1521"	"908"	"2359"	"111"	"71"	"229"	"88"	"120"	"5407"	"0"	"5407"	"0"
"207"	"148"	"164"	"44"	"103"	"5"	"1"	"3"	"1"	"1"	"322"	"0"	"322"	"0"
"208"	"149"	"151"	"11"	"119"	"2"	"4"	"15"	"6"	"6"	"314"	"0"	"314"	"0"
"209"	"149 A"	"115"	"19"	"201"	"2"	"4"	"10"	"5"	"8"	"364"	"0"	"364"	"0"
"210"	"150"	"77"	"15"	"89"	"1"	"0"	"6"	"5"	"2"	"195"	"0"	"195"	"0"
"211"	"151"	"130"	"27"	"83"	"6"	"5"	"33"	"10"	"17"	"311"	"0"	"311"	"0"
"212"	"152"	"89"	"43"	"37"	"4"	"2"	"27"	"3"	"10"	"215"	"0"	"215"	"0"
"213"	"153"	"118"	"39"	"36"	"7"	"7"	"107"	"6"	"7"	"327"	"0"	"327"	"0"
"214"	"153 A"	"210"	"27"	"23"	"7"	"4"	"29"	"4"	"12"	"316"	"0"	"316"	"0"
"215"	"154"	"261"	"132"	"152"	"6"	"7"	"8"	"2"	"14"	"582"	"0"	"582"	"0"
"216"	"155"	"122"	"54"	"70"	"2"	"5"	"39"	"7"	"1"	"300"	"0"	"300"	"0"
"217"	"156"	"68"	"21"	"266"	"4"	"1"	"15"	"3"	"0"	"378"	"0"	"378"	"0"
"218"	"157"	"52"	"17"	"180"	"8"	"4"	"27"	"6"	"13"	"307"	"0"	"307"	"0"
"219"	"158"	"67"	"16"	"191"	"13"	"9"	"11"	"16"	"30"	"353"	"0"	"353"	"0"
"220"	"159"	"279"	"81"	"202"	"13"	"3"	"45"	"6"	"5"	"634"	"0"	"634"	"0"
"221"	"ROUND 14"	"1903"	"546"	"1752"	"80"	"56"	"375"	"80"	"126"	"4918"	"0"	"4918"	"0"
"222"	"160"	"46"	"13"	"289"	"8"	"2"	"15"	"4"	"5"	"382"	"0"	"382"	"0"
"223"	"160 A"	"85"	"22"	"185"	"10"	"4"	"10"	"5"	"6"	"327"	"0"	"327"	"0"
"224"	"120  &  e/ksiqjk"	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"ernku dsUnz la[;k"	"MkW0 v'kksd dqekj"	"fct; dqekj"	"e.khUnz dqekj eaMy"	"lat; dqekj
;kno"	"vuhy dqekj"	"pUnz'ks[kj"	"lQhd fe;kW"	"lhrkjke lkg"	"dqy fof/kekU; er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa dh  la[;k"
"226"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"227"	"161"	"130"	"29"	"242"	"5"	"1"	"7"	"5"	"9"	"428"	"0"	"428"	"0"
"228"	"162"	"24"	"30"	"168"	"7"	"7"	"113"	"11"	"28"	"388"	"0"	"388"	"0"
"229"	"163"	"78"	"31"	"151"	"9"	"9"	"33"	"10"	"17"	"338"	"0"	"338"	"0"
"230"	"164"	"79"	"17"	"191"	"4"	"0"	"32"	"3"	"7"	"333"	"0"	"333"	"0"
"231"	"164 A"	"40"	"10"	"251"	"10"	"2"	"86"	"1"	"5"	"405"	"0"	"405"	"0"
"232"	"165"	"116"	"48"	"193"	"9"	"6"	"65"	"8"	"15"	"460"	"0"	"460"	"0"
