"pÿ..1"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"
"11"	"3d"	"136"	""	""	"51"	""	"5"	""	"27"	""	"1"	""	"1"	""	"4"	""	"3"	""	"4"	""	"0"	""	"1"	"33"	""	"11"	"277"	""	""	""	""	""	""	""	""
"12"	"4"	"97"	""	""	"128"	""	"15"	""	"86"	""	"1"	""	"2"	""	"7"	""	"4"	""	"9"	""	"6"	""	"4"	"98"	""	"21"	"478"	""	""	""	""	""	""	""	""
"13"	"5"	"28"	""	""	"137"	""	"16"	""	"156"	""	"7"	""	"4"	""	"4"	""	"9"	""	"3"	""	"4"	""	"7"	"32"	""	"15"	"422"	""	""	""	""	""	""	""	""
"14"	"6"	"46"	""	""	"197"	""	"9"	""	"176"	""	"18"	""	"3"	""	"4"	""	"6"	""	"7"	""	"5"	""	"9"	"20"	""	"18"	"518"	""	""	""	""	""	""	""	""
"15"	"7"	"54"	""	""	"241"	""	"23"	""	"148"	""	"8"	""	"11"	""	"7"	""	"6"	""	"8"	""	"4"	""	"9"	"67"	""	"36"	"622"	""	""	""	""	""	""	""	""
"16"	"8"	"61"	""	""	"91"	""	"5"	""	"144"	""	"3"	""	"0"	""	"6"	""	"2"	""	"1"	""	"4"	""	"4"	"22"	""	"10"	"353"	""	""	""	""	""	""	""	""
"17"	"8d"	"51"	""	""	"74"	""	"7"	""	"117"	""	"28"	""	"1"	""	"10"	""	"1"	""	"2"	""	"2"	""	"1"	"4"	""	"10"	"308"	""	""	""	""	""	""	""	""
"18"	"9"	"174"	""	""	"36"	""	"1"	""	"118"	""	"28"	""	"2"	""	"1"	""	"2"	""	"1"	""	"2"	""	"2"	"17"	""	"12"	"396"	""	""	""	""	""	""	""	""
"19"	"10"	"18"	""	""	"158"	""	"7"	""	"115"	""	"10"	""	"2"	""	"9"	""	"3"	""	"15"	""	"6"	""	"13"	"89"	""	"18"	"463"	""	""	""	""	""	""	""	""
"20"	";ksx"	"985"	""	""	"1571"	""	"122"	""	"1674"	""	"125"	""	"31"	""	"76"	""	"54"	""	"67"	""	"44"	""	"65"	"514"	""	"190"	"5518"	""	""	""	""	""	""	""	""
"21"	"pÿ& 2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"fu;e 59 , ds v/khu fofufnZ\"V fuokZpu {ks= ds ernku dsUnzksa ij ernku ifj.kke dks vfHkfyf[kr djus ds fy, mi;ksx fd, tkus grs  q"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"4&xksikyxat  lalnh;  fo/kku  lHkk  {ks=  esa  lekfo\"V  23&ehjxat  fo/kku  lHkk  fuokZpu  {ks=  ds  fy,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"ernku dsUnz la[;k"	"vH;FkhZ  ds  Ik{k  esa  fn,  x,  erksa  dh  la[;k  ,oa  vH;fFkZ;ksa  ds  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	""	"ckcqnhu [kk°"	""	""	"jkts'k dq0 flg"	""	"jkeujs'k izlkn"	""	"jkelsod flg"	""	"jkey[ku izlkn"	""	"larks\"k pkS/kjh"	""	"lqjsUnz jke"	""	"vykuqj"	""	"d`\".kk lkgh"	""	"tyhy fe;k°"	""	"jkts'k izlkn"	"jsuq nsoh"	""	"gjsjke flg"	"oS/k erksa dk ;ksx"	""	"vLohdr`   erksa dh la[;k"	""	";ksx"	""	"fufonr erksa dh la[;k"	""	""
"26"	"1"	"2"	""	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	"13"	""	"14"	"15"	""	"16"	""	"17"	""	"18"	""	""
"27"	"11"	"47"	""	""	"255"	""	"11"	""	"93"	""	"3"	""	"8"	""	"6"	""	"2"	""	"11"	""	"5"	""	"12"	"92"	""	"30"	"575"	""	""	""	""	""	""	""	""
"28"	"12"	"43"	""	""	"172"	""	"13"	""	"207"	""	"31"	""	"2"	""	"4"	""	"0"	""	"3"	""	"4"	""	"4"	"11"	""	"4"	"498"	""	""	""	""	""	""	""	""
"29"	"13"	"62"	""	""	"192"	""	"6"	""	"27"	""	"2"	""	"2"	""	"1"	""	"2"	""	"5"	""	"2"	""	"7"	"42"	""	"6"	"356"	""	""	""	""	""	""	""	""
"30"	"14"	"83"	""	""	"135"	""	"7"	""	"119"	""	"8"	""	"2"	""	"8"	""	"6"	""	"11"	""	"5"	""	"4"	"129"	""	"22"	"539"	""	""	""	""	""	""	""	""
"31"	"15"	"28"	""	""	"162"	""	"6"	""	"97"	""	"5"	""	"3"	""	"3"	""	"3"	""	"4"	""	"4"	""	"5"	"13"	""	"3"	"336"	""	""	""	""	""	""	""	""
"32"	"16"	"46"	""	""	"199"	""	"25"	""	"97"	""	"9"	""	"4"	""	"12"	""	"8"	""	"7"	""	"7"	""	"16"	"17"	""	"14"	"461"	""	""	""	""	""	""	""	""
"33"	"16d"	"28"	""	""	"70"	""	"1"	""	"66"	""	"5"	""	"4"	""	"5"	""	"6"	""	"2"	""	"0"	""	"12"	"25"	""	"10"	"234"	""	""	""	""	""	""	""	""
"34"	"17"	"82"	""	""	"70"	""	"14"	""	"10"	""	"1"	""	"3"	""	"1"	""	"2"	""	"1"	""	"3"	""	"4"	"35"	""	"7"	"233"	""	""	""	""	""	""	""	""
"35"	"18"	"56"	""	""	"54"	""	"25"	""	"121"	""	"2"	""	"6"	""	"8"	""	"4"	""	"6"	""	"3"	""	"6"	"82"	""	"2"	"375"	""	""	""	""	""	""	""	""
"36"	"19"	"345"	""	""	"33"	""	"21"	""	"53"	""	"4"	""	"3"	""	"7"	""	"8"	""	"2"	""	"5"	""	"1"	"17"	""	"10"	"509"	""	""	""	""	""	""	""	""
"37"	"20"	"164"	""	""	"43"	""	"4"	""	"62"	""	"3"	""	"0"	""	"4"	""	"2"	""	"2"	""	"6"	""	"3"	"18"	""	"14"	"325"	""	""	""	""	""	""	""	""
"38"	"21"	"35"	""	""	"112"	""	"19"	""	"153"	""	"6"	""	"5"	""	"13"	""	"5"	""	"7"	""	"4"	""	"5"	"99"	""	"41"	"504"	""	""	""	""	""	""	""	""
"39"	"22"	"53"	""	""	"33"	""	"3"	""	"85"	""	"5"	""	"1"	""	"4"	""	"3"	""	"5"	""	"2"	""	"0"	"142"	""	"2"	"338"	""	""	""	""	""	""	""	""
"40"	"23"	"38"	""	""	"22"	""	"0"	""	"37"	""	"1"	""	"4"	""	"0"	""	"0"	""	"1"	""	"0"	""	"1"	"274"	""	"3"	"381"	""	""	""	""	""	""	""	""
"41"	";ksx"	"1110"	""	""	"1552"	""	"155"	""	"1227"	""	"85"	""	"47"	""	"76"	""	"51"	""	"67"	""	"50"	""	"80"	"996"	""	"168"	"5664"	""	""	""	""	""	""	""	""
"42"	"ernku dsUnz la[;k"	"vH;FkhZ  ds  Ik{k  esa  fn,  x,  erksa  dh  la[;k  ,oa  vH;fFkZ;ksa  ds  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43"	""	"ckcqnhu [kk°"	""	""	"jkts'k dq0 flg"	""	"jkeujs'k izlkn"	""	"jkelsod flg"	""	"jkey[ku izlkn"	""	"larks\"k pkS/kjh"	""	"lqjsUnz jke"	""	"vykuqj"	""	"d`\".kk lkgh"	""	"tyhy fe;k°"	""	"jkts'k izlkn"	"jsuq nsoh"	""	"gjsjke flg"	"oS/k erksa dk ;ksx"	""	"vLohdr`   erksa dh la[;k"	""	";ksx"	""	"fufonr erksa dh la[;k"	""	""
"44"	"1"	"2"	""	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	"13"	""	"14"	"15"	""	"16"	""	"17"	""	"18"	""	""
"45"	"23d"	"9"	""	""	"17"	""	"2"	""	"46"	""	"0"	""	"4"	""	"3"	""	"0"	""	"2"	""	"1"	""	"3"	"149"	""	"5"	"241"	""	""	""	""	""	""	""	""
"46"	"24"	"83"	""	""	"73"	""	"18"	""	"125"	""	"2"	""	"0"	""	"1"	""	"2"	""	"10"	""	"6"	""	"2"	"153"	""	"7"	"482"	""	""	""	""	""	""	""	""
"47"	"25"	"189"	""	""	"18"	""	"1"	""	"53"	""	"3"	""	"3"	""	"6"	""	"6"	""	"3"	""	"0"	""	"1"	"67"	""	"12"	"362"	""	""	""	""	""	""	""	""
"48"	"26"	"123"	""	""	"43"	""	"12"	""	"113"	""	"4"	""	"3"	""	"11"	""	"8"	""	"9"	""	"5"	""	"13"	"157"	""	"50"	"551"	""	""	""	""	""	""	""	""
"49"	"27"	"94"	""	""	"4"	""	"7"	""	"10"	""	"0"	""	"0"	""	"1"	""	"0"	""	"2"	""	"0"	""	"0"	"223"	""	"4"	"345"	""	""	""	""	""	""	""	""
"50"	"27d"	"8"	""	""	"134"	""	"2"	""	"32"	""	"1"	""	"0"	""	"2"	""	"1"	""	"1"	""	"0"	""	"5"	"46"	""	"6"	"238"	""	""	""	""	""	""	""	""
"51"	"28"	"309"	""	""	"27"	""	"6"	""	"146"	""	"7"	""	"6"	""	"15"	""	"9"	""	"5"	""	"3"	""	"6"	"54"	""	"32"	"625"	""	""	""	""	""	""	""	""
"52"	"29"	"451"	""	""	"20"	""	"6"	""	"38"	""	"0"	""	"26"	""	"4"	""	"5"	""	"3"	""	"1"	""	"1"	"23"	""	"8"	"586"	""	""	""	""	""	""	""	""
"53"	"30"	"258"	""	""	"23"	""	"0"	""	"77"	""	"3"	""	"0"	""	"3"	""	"4"	""	"0"	""	"0"	""	"0"	"27"	""	"2"	"397"	""	""	""	""	""	""	""	""
"54"	"31"	"17"	""	""	"52"	""	"6"	""	"102"	""	"4"	""	"4"	""	"3"	""	"1"	""	"3"	""	"2"	""	"1"	"79"	""	"7"	"281"	""	""	""	""	""	""	""	""
"55"	"32"	"168"	""	""	"114"	""	"8"	""	"14"	""	"1"	""	"3"	""	"2"	""	"10"	""	"5"	""	"3"	""	"5"	"55"	""	"10"	"398"	""	""	""	""	""	""	""	""
"56"	"33"	"84"	""	""	"49"	""	"8"	""	"165"	""	"1"	""	"1"	""	"11"	""	"7"	""	"7"	""	"5"	""	"4"	"52"	""	"24"	"418"	""	""	""	""	""	""	""	""
"57"	"34"	"230"	""	""	"49"	""	"10"	""	"109"	""	"9"	""	"5"	""	"4"	""	"2"	""	"5"	""	"6"	""	"1"	"84"	""	"11"	"525"	""	""	""	""	""	""	""	""
"58"	"35"	"132"	""	""	"39"	""	"6"	""	"88"	""	"0"	""	"9"	""	"0"	""	"1"	""	"1"	""	"3"	""	"4"	"144"	""	"31"	"458"	""	""	""	""	""	""	""	""
"59"	";ksx"	"2155"	""	""	"662"	""	"92"	""	"1118"	""	"35"	""	"64"	""	"66"	""	"56"	""	"56"	""	"35"	""	"46"	"1313"	""	"209"	"5907"	""	""	""	""	""	""	""	""
"60"	"fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"ernku dsUnz la[;k"	"vH;FkhZ  ds  Ik{k  esa  fn,  x,  erksa  dh  la[;k  ,oa  vH;fFkZ;ksa  ds  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	""	"ckcqnhu [kk°"	""	""	"jkts'k dq0 flg"	""	"jkeujs'k izlkn"	""	"jkelsod flg"	""	"jkey[ku izlkn"	""	"larks\"k pkS/kjh"	""	"lqjsUnz jke"	""	"vykuqj"	""	"d`\".kk lkgh"	""	"tyhy fe;k°"	""	"jkts'k izlkn"	"jsuq nsoh"	""	"gjsjke flg"	"oS/k erksa dk ;ksx"	""	"vLohdr`   erksa dh la[;k"	""	";ksx"	""	"fufonr erksa dh la[;k"	""	""
"63"	"1"	"2"	""	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	"13"	""	"14"	"15"	""	"16"	""	"17"	""	"18"	""	""
"64"	"35d"	"159"	""	""	"22"	""	"6"	""	"61"	""	"3"	""	"2"	""	"2"	""	"0"	""	"2"	""	"0"	""	"3"	"40"	""	"10"	"310"	""	""	""	""	""	""	""	""
"65"	"36"	"272"	""	""	"95"	""	"7"	""	"41"	""	"2"	""	"0"	""	"3"	""	"1"	""	"1"	""	"1"	""	"3"	"20"	""	"14"	"460"	""	""	""	""	""	""	""	""
"66"	"36d"	"72"	""	""	"15"	""	"0"	""	"26"	""	"0"	""	"1"	""	"1"	""	"0"	""	"0"	""	"0"	""	"2"	"37"	""	"9"	"163"	""	""	""	""	""	""	""	""
"67"	"37"	"91"	""	""	"73"	""	"7"	""	"134"	""	"1"	""	"0"	""	"1"	""	"3"	""	"3"	""	"2"	""	"5"	"38"	""	"12"	"370"	""	""	""	""	""	""	""	""
"68"	"38"	"83"	""	""	"58"	""	"7"	""	"178"	""	"7"	""	"3"	""	"3"	""	"5"	""	"5"	""	"2"	""	"2"	"66"	""	"8"	"427"	""	""	""	""	""	""	""	""
"69"	"39"	"92"	""	""	"53"	""	"1"	""	"63"	""	"0"	""	"0"	""	"0"	""	"2"	""	"1"	""	"0"	""	"3"	"79"	""	"0"	"294"	""	""	""	""	""	""	""	""
"70"	"40"	"73"	""	""	"34"	""	"6"	""	"134"	""	"0"	""	"3"	""	"4"	""	"2"	""	"1"	""	"2"	""	"4"	"43"	""	"10"	"316"	""	""	""	""	""	""	""	""
"71"	"40d"	"128"	""	""	"33"	""	"2"	""	"40"	""	"4"	""	"1"	""	"1"	""	"2"	""	"5"	""	"1"	""	"5"	"60"	""	"21"	"303"	""	""	""	""	""	""	""	""
"72"	"41"	"39"	""	""	"47"	""	"6"	""	"219"	""	"4"	""	"6"	""	"7"	""	"4"	""	"4"	""	"2"	""	"7"	"55"	""	"22"	"422"	""	""	""	""	""	""	""	""
"73"	"42"	"44"	""	""	"46"	""	"17"	""	"176"	""	"2"	""	"4"	""	"2"	""	"1"	""	"3"	""	"2"	""	"3"	"47"	""	"5"	"352"	""	""	""	""	""	""	""	""
"74"	"43"	"145"	""	""	"28"	""	"0"	""	"85"	""	"3"	""	"2"	""	"2"	""	"2"	""	"1"	""	"1"	""	"4"	"9"	""	"9"	"291"	""	""	""	""	""	""	""	""
"75"	"43d"	"399"	""	""	"23"	""	"2"	""	"17"	""	"2"	""	"1"	""	"0"	""	"0"	""	"1"	""	"1"	""	"0"	"9"	""	"4"	"459"	""	""	""	""	""	""	""	""
"76"	"44"	"292"	""	""	"121"	""	"13"	""	"63"	""	"5"	""	"8"	""	"1"	""	"5"	""	"3"	""	"3"	""	"0"	"26"	""	"23"	"563"	""	""	""	""	""	""	""	""
"77"	"45"	"158"	""	""	"76"	""	"10"	""	"122"	""	"6"	""	"2"	""	"5"	""	"5"	""	"2"	""	"3"	""	"2"	"8"	""	"10"	"409"	""	""	""	""	""	""	""	""
"78"	";ksx"	"2047"	""	""	"724"	""	"84"	""	"1359"	""	"39"	""	"33"	""	"32"	""	"32"	""	"32"	""	"20"	""	"43"	"537"	""	"157"	"5139"	""	""	""	""	""	""	""	""
"79"	"fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"ernku dsUnz la[;k"	"vH;FkhZ  ds  Ik{k  esa  fn,  x,  erksa  dh  la[;k  ,oa  vH;fFkZ;ksa  ds  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	""	"ckcqnhu [kk°"	""	""	"jkts'k dq0 flg"	""	"jkeujs'k izlkn"	""	"jkelsod flg"	""	"jkey[ku izlkn"	""	"larks\"k pkS/kjh"	""	"lqjsUnz jke"	""	"vykuqj"	""	"d`\".kk lkgh"	""	"tyhy fe;k°"	""	"jkts'k izlkn"	"jsuq nsoh"	""	"gjsjke flg"	"oS/k erksa dk ;ksx"	""	"vLohdr`   erksa dh la[;k"	""	";ksx"	""	"fufonr erksa dh la[;k"	""	""
"82"	"1"	"2"	""	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	"13"	""	"14"	"15"	""	"16"	""	"17"	""	"18"	""	""
"83"	"46"	"158"	""	""	"245"	""	"10"	""	"86"	""	"6"	""	"1"	""	"3"	""	"4"	""	"1"	""	"5"	""	"9"	"27"	""	"19"	"574"	""	""	""	""	""	""	""	""
"84"	"47"	"135"	""	""	"127"	""	"8"	""	"50"	""	"0"	""	"0"	""	"1"	""	"4"	""	"2"	""	"3"	""	"1"	"11"	""	"9"	"351"	""	""	""	""	""	""	""	""
"85"	"47d"	"68"	""	""	"109"	""	"6"	""	"29"	""	"1"	""	"0"	""	"2"	""	"4"	""	"0"	""	"1"	""	"4"	"3"	""	"8"	"235"	""	""	""	""	""	""	""	""
"86"	"48"	"141"	""	""	"24"	""	"37"	""	"65"	""	"3"	""	"0"	""	"1"	""	"0"	""	"4"	""	"0"	""	"4"	"15"	""	"0"	"294"	""	""	""	""	""	""	""	""
"87"	"48d"	"118"	""	""	"49"	""	"79"	""	"40"	""	"2"	""	"2"	""	"3"	""	"3"	""	"2"	""	"1"	""	"7"	"26"	""	"28"	"360"	""	""	""	""	""	""	""	""
"88"	"49"	"169"	""	""	"64"	""	"95"	""	"107"	""	"3"	""	"1"	""	"9"	""	"0"	""	"4"	""	"1"	""	"12"	"12"	""	"9"	"486"	""	""	""	""	""	""	""	""
"89"	"50"	"181"	""	""	"47"	""	"41"	""	"110"	""	"4"	""	"2"	""	"3"	""	"7"	""	"8"	""	"2"	""	"2"	"23"	""	"10"	"440"	""	""	""	""	""	""	""	""
"90"	"51"	"88"	""	""	"51"	""	"10"	""	"207"	""	"21"	""	"1"	""	"10"	""	"10"	""	"8"	""	"3"	""	"8"	"104"	""	"21"	"542"	""	""	""	""	""	""	""	""
"91"	"52"	"106"	""	""	"198"	""	"8"	""	"211"	""	"9"	""	"1"	""	"12"	""	"2"	""	"4"	""	"5"	""	"5"	"48"	""	"39"	"648"	""	""	""	""	""	""	""	""
"92"	"53"	"47"	""	""	"182"	""	"38"	""	"122"	""	"4"	""	"5"	""	"7"	""	"5"	""	"4"	""	"5"	""	"8"	"47"	""	"33"	"507"	""	""	""	""	""	""	""	""
"93"	"54"	"36"	""	""	"28"	""	"16"	""	"53"	""	"4"	""	"1"	""	"9"	""	"1"	""	"14"	""	"5"	""	"10"	"132"	""	"29"	"338"	""	""	""	""	""	""	""	""
"94"	"55"	"119"	""	""	"20"	""	"3"	""	"32"	""	"1"	""	"2"	""	"2"	""	"2"	""	"5"	""	"2"	""	"1"	"67"	""	"12"	"268"	""	""	""	""	""	""	""	""
"95"	"56"	"73"	""	""	"74"	""	"11"	""	"107"	""	"3"	""	"5"	""	"2"	""	"5"	""	"5"	""	"7"	""	"3"	"37"	""	"17"	"349"	""	""	""	""	""	""	""	""
"96"	"56d"	"128"	""	""	"77"	""	"9"	""	"170"	""	"6"	""	"2"	""	"6"	""	"7"	""	"2"	""	"1"	""	"3"	"10"	""	"3"	"424"	""	""	""	""	""	""	""	""
"97"	";ksx"	"1567"	""	""	"1295"	""	"371"	""	"1389"	""	"67"	""	"23"	""	"70"	""	"54"	""	"63"	""	"41"	""	"77"	"562"	""	"237"	"5816"	""	""	""	""	""	""	""	""
"98"	"ernku dsUnz la[;k"	"vH;FkhZ  ds  Ik{k  esa  fn,  x,  erksa  dh  la[;k  ,oa  vH;fFkZ;ksa  ds  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	""	"ckcqnhu [kk°"	""	""	"jkts'k dq0 flg"	""	"jkeujs'k izlkn"	""	"jkelsod flg"	""	"jkey[ku izlkn"	""	"larks\"k pkS/kjh"	""	"lqjsUnz jke"	""	"vykuqj"	""	"d`\".kk lkgh"	""	"tyhy fe;k°"	""	"jkts'k izlkn"	"jsuq nsoh"	""	"gjsjke flg"	"oS/k erksa dk ;ksx"	""	"vLohdr`   erksa dh la[;k"	""	";ksx"	""	"fufonr erksa dh la[;k"	""	""
"100"	"1"	"2"	""	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	"13"	""	"14"	"15"	""	"16"	""	"17"	""	"18"	""	""
"101"	"57"	"140"	""	""	"198"	""	"40"	""	"170"	""	"5"	""	"3"	""	"10"	""	"3"	""	"10"	""	"2"	""	"10"	"28"	""	"8"	"627"	""	""	""	""	""	""	""	""
"102"	"58"	"77"	""	""	"57"	""	"6"	""	"332"	""	"4"	""	"4"	""	"9"	""	"3"	""	"5"	""	"4"	""	"9"	"110"	""	"13"	"633"	""	""	""	""	""	""	""	""
"103"	"59"	"66"	""	""	"71"	""	"10"	""	"173"	""	"9"	""	"2"	""	"5"	""	"4"	""	"5"	""	"3"	""	"10"	"152"	""	"21"	"531"	""	""	""	""	""	""	""	""
"104"	"60"	"152"	""	""	"83"	""	"14"	""	"352"	""	"7"	""	"4"	""	"3"	""	"5"	""	"2"	""	"5"	""	"1"	"4"	""	"3"	"635"	""	""	""	""	""	""	""	""
"105"	"61"	"99"	""	""	"129"	""	"64"	""	"222"	""	"2"	""	"4"	""	"38"	""	"1"	""	"4"	""	"0"	""	"5"	"38"	""	"7"	"613"	""	""	""	""	""	""	""	""
"106"	"62"	"145"	""	""	"51"	""	"28"	""	"279"	""	"11"	""	"4"	""	"6"	""	"13"	""	"3"	""	"5"	""	"7"	"13"	""	"21"	"586"	""	""	""	""	""	""	""	""
"107"	"63"	"52"	""	""	"74"	""	"8"	""	"219"	""	"5"	""	"1"	""	"5"	""	"2"	""	"1"	""	"3"	""	"1"	"2"	""	"7"	"380"	""	""	""	""	""	""	""	""
"108"	"64"	"32"	""	""	"134"	""	"13"	""	"321"	""	"17"	""	"3"	""	"10"	""	"11"	""	"5"	""	"7"	""	"12"	"23"	""	"7"	"595"	""	""	""	""	""	""	""	""
"109"	"65"	"135"	""	""	"31"	""	"93"	""	"159"	""	"6"	""	"12"	""	"9"	""	"10"	""	"9"	""	"15"	""	"9"	"17"	""	"28"	"533"	""	""	""	""	""	""	""	""
"110"	"66"	"131"	""	""	"14"	""	"93"	""	"48"	""	"4"	""	"2"	""	"12"	""	"4"	""	"13"	""	"5"	""	"35"	"32"	""	"46"	"439"	""	""	""	""	""	""	""	""
"111"	"67"	"31"	""	""	"6"	""	"132"	""	"112"	""	"4"	""	"1"	""	"3"	""	"9"	""	"9"	""	"5"	""	"13"	"12"	""	"11"	"348"	""	""	""	""	""	""	""	""
"112"	"67d"	"23"	""	""	"18"	""	"222"	""	"58"	""	"2"	""	"0"	""	"1"	""	"2"	""	"10"	""	"7"	""	"33"	"6"	""	"22"	"404"	""	""	""	""	""	""	""	""
"113"	"68"	"92"	""	""	"63"	""	"185"	""	"43"	""	"3"	""	"2"	""	"4"	""	"3"	""	"14"	""	"11"	""	"31"	"25"	""	"25"	"501"	""	""	""	""	""	""	""	""
"114"	"69"	"177"	""	""	"39"	""	"107"	""	"136"	""	"6"	""	"3"	""	"4"	""	"8"	""	"7"	""	"6"	""	"15"	"11"	""	"19"	"538"	""	""	""	""	""	""	""	""
"115"	";ksx"	"1352"	""	""	"968"	""	"1015"	""	"2624"	""	"85"	""	"45"	""	"119"	""	"78"	""	"97"	""	"78"	""	"191"	"473"	""	"238"	"7363"	""	""	""	""	""	""	""	""
"116"	"ernku dsUnz la[;k"	"vH;FkhZ  ds  Ik{k  esa  fn,  x,  erksa  dh  la[;k  ,oa  vH;fFkZ;ksa  ds  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
