"ernku.dsUnz.la..k"	"bUn.Hkq.k.k.flag"	"deys.ojh.egrks"	"fueZy.dqekj"	"js.kq.dqekjh"	"vKs..vkuUn"	"vkse.izdk.k.iVsy"	"egsUnz.uk0.Hkxr"	"izks0.jfoUnz.pj.k..kno"	"jkt.dqekj.jke"	"y.ku.gkWlnk"	"yfyrk.nos..h"	"dqy.fof.kekU..er"	"izfr.ksfir.erksa..dh.la..k"	"X.ksx"	"fufonÙk.erksa..dh.la..k"
"38"	30	6	8	159	139	14	6	10	74	8	11	15	450	0	450	0
"39"	31	14	4	17	128	13	2	2	81	0	8	9	278	0	278	0
"40"	32	10	1	144	159	10	5	4	10	3	2	4	352	0	352	0
"41"	33	4	4	28	222	22	8	1	26	3	0	10	328	0	328	0
"42"	34	23	5	50	93	5	7	3	151	13	14	25	389	0	389	0
"43"	35	5	2	45	102	6	2	6	68	9	11	17	273	0	273	0
"44"	36	7	10	60	128	22	8	6	90	8	9	19	367	0	367	0
"45"	37	15	1	7	261	13	2	4	21	6	4	7	341	0	341	0
"46"	NA	218	195	567	2680	215	83	79	994	88	94	198	5411	0	5411	0
"47"	38	35	8	30	183	38	11	8	112	19	10	19	473	0	473	0
"48"	39	16	4	38	217	25	7	9	74	4	9	19	422	0	422	0
"49"	40	9	2	8	599	19	7	9	20	6	9	17	705	0	705	0
"50"	41	11	7	92	231	17	8	7	177	6	5	20	581	0	581	0
"51"	42	14	7	33	96	11	4	3	191	16	10	45	430	0	430	0
"52"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"53"	43	7	3	8	59	4	1	3	106	4	6	7	208	0	208	0
"54"	44	10	11	52	154	9	4	7	102	2	1	4	356	0	356	0
"55"	NA	7	3	59	73	9	1	13	108	6	3	13	295	0	295	0
"56"	45	73	2	44	349	12	3	5	12	3	3	6	512	0	512	0
"57"	46	28	18	18	408	25	8	10	65	12	14	24	630	0	630	0
"58"	47	13	1	12	135	10	2	0	85	1	3	8	270	0	270	0
"59"	48	11	4	8	44	10	5	2	99	9	5	35	232	0	232	0
"60"	49	14	1	53	62	8	3	6	162	20	10	10	349	0	349	0
"61"	NA	21	3	14	225	16	6	7	88	6	6	15	407	0	407	0
"62"	NA	269	74	469	2835	213	70	89	1401	114	94	242	5870	0	5870	0
"63"	50	18	4	5	134	6	2	6	162	4	3	15	359	0	359	0
"64"	NA	7	1	5	219	10	3	1	87	5	6	9	353	0	353	0
"65"	51	13	3	49	519	34	7	10	50	8	9	19	721	0	721	0
"66"	52	8	1	17	293	14	4	4	41	4	5	17	408	0	408	0
"67"	NA	5	12	11	294	17	3	4	25	3	2	11	387	0	387	0
"68"	53	5	2	21	230	11	2	0	19	1	1	4	296	0	296	0
"69"	NA	4	0	10	301	10	4	3	54	2	1	3	392	0	392	0
"70"	54	2	5	25	317	19	2	6	50	3	2	5	436	0	436	0
"71"	NA	2	0	9	294	9	1	3	34	1	4	5	362	0	362	0
"72"	55	7	3	31	264	12	5	6	15	3	4	7	357	0	357	0
"73"	56	46	16	34	101	13	3	6	20	9	3	9	260	0	260	0
"74"	57	14	112	37	474	19	2	4	28	6	7	7	710	0	710	0
"75"	58	52	2	121	123	13	3	5	41	5	4	11	380	0	380	0
"76"	59	60	53	31	449	22	9	12	70	7	8	13	734	0	734	0
"77"	NA	243	214	406	4012	209	50	70	696	61	59	135	6155	0	6155	0
"78"	60	6	19	65	164	10	4	1	82	7	4	10	372	0	372	0
"79"	61	13	285	22	162	8	5	2	8	4	3	1	513	0	513	0
"80"	62	5	154	60	191	11	NA	4	22	5	6	6	464	0	464	0
"81"	63	26	10	126	156	15	3	1	60	3	NA	6	406	0	406	0
"82"	64	20	61	53	306	21	6	3	57	10	6	11	554	0	554	0
"83"	65	41	24	114	187	15	13	6	194	4	14	21	633	0	633	0
"84"	66	6	1	18	459	5	8	4	44	5	3	7	560	0	560	0
"85"	67	15	1	24	393	16	6	3	20	5	6	12	501	0	501	0
"86"	68	7	6	32	116	5	4	4	54	5	4	8	245	0	245	0
"87"	NA	15	3	44	303	20	9	4	62	6	5	9	480	0	480	0
"88"	69	11	6	48	64	2	3	2	214	9	4	17	380	0	380	0
"89"	NA	8	12	44	22	1	7	7	243	11	8	14	377	0	377	0
"90"	70	10	5	7	133	11	7	8	91	8	9	38	327	0	327	0
"91"	NA	97	18	25	72	13	12	5	170	25	8	23	468	0	468	0
"92"	NA	280	605	682	2728	153	87	54	1321	107	80	183	6280	0	6280	0
"93"	71	27	14	98	89	11	6	7	203	11	6	24	496	0	496	0
"94"	72	22	5	169	75	10	8	3	50	4	2	3	351	0	351	0
"95"	NA	18	5	39	185	8	5	1	71	3	4	10	349	0	349	0
"96"	73	14	4	49	380	21	6	9	74	8	5	19	589	0	589	0
"97"	74	14	6	118	180	7	5	3	88	7	4	9	441	0	441	0
"98"	75	47	5	135	248	29	6	4	22	5	8	9	518	0	518	0
"99"	76	7	5	20	57	13	4	2	157	4	7	21	297	0	297	0
"100"	77	13	4	40	169	21	5	9	66	3	10	25	365	0	365	0
"101"	78	42	6	107	155	21	9	5	148	14	5	20	532	0	532	0
"102"	79	36	15	22	210	24	7	7	107	9	16	20	473	0	473	0
"103"	80	10	7	29	242	21	6	4	31	2	7	6	365	0	365	0
"104"	81	30	25	38	214	19	15	9	62	13	13	28	466	0	466	0
"105"	82	54	87	13	134	16	2	5	6	17	12	6	352	0	352	0
"106"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"107"	83	47	11	126	297	30	5	7	72	13	14	20	642	0	642	0
"108"	NA	381	199	1003	2635	251	89	75	1157	113	113	220	6236	0	6236	0
"109"	84	55	5	129	223	14	7	7	30	19	5	25	519	0	519	0
"110"	85	18	6	14	260	19	12	4	117	18	10	30	508	0	508	0
"111"	86	40	12	20	280	23	11	8	134	6	3	23	560	0	560	0
"112"	87	25	14	14	298	24	5	9	117	13	9	27	555	0	555	0
"113"	88	65	5	16	205	9	8	2	56	6	1	9	382	0	382	0
"114"	89	66	12	111	174	17	11	2	236	24	14	50	717	0	717	0
"115"	90	19	16	131	145	9	5	7	190	13	14	19	568	0	568	0
"116"	91	68	14	123	78	8	3	6	249	16	3	21	589	0	589	0
"117"	92	15	93	33	44	1	3	2	133	4	2	20	350	0	350	0
"118"	93	15	5	6	451	19	5	7	16	2	1	2	529	0	529	0
"119"	94	4	6	10	320	13	6	3	24	4	5	5	400	0	400	0
"120"	95	10	NA	10	264	14	3	4	19	3	NA	7	334	0	334	0
"121"	96	41	3	28	457	14	5	7	39	4	8	3	609	0	609	0
"122"	97	14	2	45	314	7	1	2	37	1	2	2	427	0	427	0
"123"	NA	455	193	690	3513	191	85	70	1397	133	77	243	7047	0	7047	0
"124"	98	66	14	24	371	34	10	9	101	16	4	14	663	0	663	0
"125"	99	25	32	56	190	25	4	6	78	9	3	23	451	0	451	0
"126"	100	16	8	67	82	13	4	6	208	12	7	28	451	0	451	0
"127"	101	52	6	66	221	2	3	NA	44	4	NA	1	399	0	399	0
"128"	102	24	3	13	206	17	7	4	83	15	7	35	414	0	414	0
"129"	103	22	84	26	199	14	7	6	118	8	9	16	509	0	509	0
"130"	104	24	20	6	102	16	5	8	156	19	10	24	390	0	390	0
"131"	105	30	90	372	176	27	7	5	8	8	10	17	750	0	750	0
"132"	106	73	7	29	329	22	6	6	5	6	5	5	493	0	493	0
"133"	107	21	14	66	484	29	7	3	24	13	7	21	689	0	689	0
"134"	108	12	14	32	239	27	NA	12	66	10	14	29	455	0	455	0
"135"	109	9	19	91	156	10	5	5	158	8	6	13	480	0	480	0
"136"	110	11	133	74	154	14	7	5	49	9	7	19	482	0	482	0
"137"	111	5	127	58	59	6	7	2	25	4	8	4	305	0	305	0
"138"	NA	390	571	980	2968	256	79	77	1123	141	97	249	6931	0	6931	0
"139"	112	10	8	73	51	12	6	2	81	11	14	17	285	0	285	0
"140"	113	28	116	43	28	3	2	3	178	7	2	9	419	0	419	0
"141"	114	12	23	109	49	9	7	3	151	16	5	23	407	0	407	0
"142"	115	52	22	17	84	15	5	5	213	11	8	20	452	0	452	0
"143"	116	48	27	26	338	26	7	10	54	9	7	23	575	0	575	0
"144"	117	34	8	44	228	13	9	7	166	7	5	25	546	0	546	0
"145"	118	63	12	32	222	27	7	14	190	19	13	41	640	0	640	0
"146"	119	32	5	6	11	2	4	2	154	13	2	24	255	0	255	0
"147"	120	13	4	NA	67	3	3	7	114	10	6	20	247	0	247	0
"148"	121	34	9	12	355	24	10	5	56	4	2	14	525	0	525	0
"149"	122	71	16	78	157	15	4	6	113	9	5	12	486	0	486	0
"150"	123	24	7	9	197	15	6	2	68	8	9	21	366	0	366	0
"151"	124	8	5	49	102	15	4	1	29	2	2	7	224	0	224	0
"152"	125	8	7	28	118	12	7	5	55	14	9	12	275	0	275	0
"153"	NA	437	269	526	2007	191	81	72	1622	140	89	268	5702	0	5702	0
"154"	NA	34	21	26	116	8	2	3	22	14	5	12	263	0	263	0
"155"	126	25	29	53	49	9	5	6	121	9	14	20	340	0	340	0
"156"	127	24	12	63	187	41	5	8	34	3	8	9	394	0	394	0
"157"	128	47	3	35	41	41	3	5	96	7	8	33	319	0	319	0
"158"	129	25	9	88	67	62	4	2	57	7	9	15	345	0	345	0
"159"	130	32	2	36	43	9	2	3	27	6	9	9	178	0	178	0
"160"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"161"	131	100	9	54	306	18	8	8	22	14	4	8	551	0	551	0
"162"	132	15	11	12	221	19	12	9	81	10	8	33	431	0	431	0
"163"	133	3	30	15	162	13	NA	2	14	1	5	5	250	0	250	0
"164"	NA	38	6	5	177	7	3	2	22	NA	5	6	271	0	271	0
"165"	134	36	10	54	166	30	18	7	52	7	9	11	400	0	400	0
"166"	135	38	5	12	241	14	11	3	61	9	3	5	402	0	402	0
"167"	136	82	18	18	192	23	7	6	54	13	3	22	438	0	438	0
"168"	137	12	18	8	184	29	2	3	35	7	8	10	316	0	316	0
"169"	NA	511	183	479	2152	323	82	67	698	107	98	198	4898	0	4898	0
"170"	138	29	25	22	137	30	8	11	135	14	12	32	455	0	455	0
"171"	139	27	7	13	329	28	10	9	17	6	12	27	485	0	485	0
"172"	140	18	20	22	55	20	4	8	76	10	18	53	304	0	304	0
"173"	NA	38	7	15	74	12	5	4	82	9	6	19	271	0	271	0
"174"	141	51	3	3	146	19	4	4	68	8	4	4	314	0	314	0
"175"	142	75	6	5	105	10	4	3	86	6	3	6	309	0	309	0
"176"	143	67	7	35	192	22	12	8	125	15	10	44	537	0	537	0
"177"	144	57	9	68	80	18	3	10	50	21	13	41	370	0	370	0
"178"	145	7	4	47	101	20	9	1	74	9	11	21	304	0	304	0
"179"	146	80	10	37	205	17	9	6	47	13	5	16	445	0	445	0
"180"	147	8	2	4	168	10	6	1	47	4	2	12	264	0	264	0
"181"	148	22	8	8	132	9	5	4	95	8	9	25	325	0	325	0
"182"	149	15	3	8	105	17	6	5	98	5	6	16	284	0	284	0
"183"	150	20	8	9	118	23	10	5	84	3	8	23	311	0	311	0
"184"	NA	514	119	296	1947	255	95	79	1084	131	119	339	4978	0	4978	0
"185"	151	2	4	83	101	5	3	2	50	1	1	5	257	0	257	0
"186"	152	98	9	9	205	15	8	5	40	6	4	18	417	0	417	0
"187"	153	29	9	7	329	15	9	7	60	3	8	17	493	0	493	0
"188"	154	62	10	53	155	10	9	7	104	7	6	12	435	0	435	0
"189"	155	38	7	12	111	10	9	7	174	7	10	30	415	0	415	0
"190"	156	50	20	30	93	19	11	6	104	29	8	26	396	0	396	0
"191"	157	57	13	8	138	7	7	2	136	17	10	19	414	0	414	0
"192"	158	34	4	7	44	3	6	NA	174	7	1	7	287	0	287	0
"193"	159	51	6	17	215	12	4	3	38	8	2	3	359	0	359	0
"194"	160	28	15	75	92	9	8	6	222	9	7	26	497	0	497	0
"195"	161	22	9	118	240	42	10	9	119	13	10	24	616	0	616	0
"196"	162	15	4	11	335	14	6	1	42	4	3	5	440	0	440	0
"197"	163	44	4	14	324	15	1	1	13	4	NA	4	424	0	424	0
"198"	164	11	6	17	172	25	4	9	61	4	11	24	344	0	344	0
"199"	NA	541	120	461	2554	201	95	65	1337	119	81	220	5794	0	5794	0
"200"	165	140	35	19	101	10	2	2	21	28	3	6	367	0	367	0
"201"	166	24	5	82	310	23	8	7	85	8	2	15	569	0	569	0
"202"	167	43	11	142	157	14	6	8	122	14	8	3	528	0	528	0
"203"	168	19	11	18	334	15	4	4	116	7	8	12	548	0	548	0
"204"	169	26	5	92	265	18	13	9	54	16	7	27	532	0	532	0
"205"	170	172	11	5	116	10	1	2	4	2	NA	2	325	0	325	0
"206"	171	76	8	13	254	7	3	2	70	7	8	16	464	0	464	0
"207"	172	218	11	4	24	4	NA	3	66	14	2	8	354	0	354	0
"208"	173	15	6	140	224	5	5	NA	31	7	4	15	452	0	452	0
"209"	174	115	13	147	40	7	15	9	140	41	11	23	561	0	561	0
"210"	175	41	6	64	289	17	5	11	166	14	21	52	686	0	686	0
"211"	NA	889	122	726	2114	130	62	57	875	158	74	179	5386	0	5386	0
"212"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
