"vfUre.ifj.kke.Ik."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"17"	"9d"	"152"	"12"	"24"	"2"	"1"	"0"	"2"	"1"	"3"	"1"	"211"	"2"	"1"	""	""	"412"	""
"18"	"10"	"145"	"6"	"71"	"1"	"7"	"2"	"5"	"3"	"3"	"2"	"285"	"5"	"8"	""	""	"543"	""
"19"	"11"	"54"	"16"	"21"	"1"	"12"	"1"	"0"	"0"	"0"	"2"	"257"	"2"	"3"	""	""	"369"	""
"20"	"12"	"107"	"4"	"18"	"4"	"24"	"1"	"18"	"0"	"5"	"3"	"256"	"6"	"14"	""	""	"460"	""
"21"	";ksx"	"1767"	"194"	"504"	"50"	"304"	"14"	"271"	"21"	"31"	"60"	"3533"	"57"	"138"	""	""	"6944"	""
"22"	"ernku dsUnz"	"fuEufyf[kr ds Ik{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erk dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"23"	"dh la[;k"	"ek-s bfy;kl gqlSu"	"derk flag"	"jk/kk d`\".k flag"	"ohj pUn iVsy flag"	"``'khyk flag"	"uhrk flag"	"ccu jke"	"banzthr flag"	"T;ksfr jf'e"	"fueZy flag"	"iznhi dqekj tks'kh"	"ohjsUnz flag"	"Jo.k dqekj"	""	""	""	""
"24"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"25"	"fiNys Ik`\"V dk ;ksx"	"1767"	"194"	"504"	"50"	"304"	"14"	"271"	"21"	"31"	"60"	"3533"	"57"	"138"	""	""	"6944"	""
"26"	"13"	"52"	"4"	"6"	"0"	"18"	"1"	"0"	"1"	"2"	"2"	"259"	"0"	"3"	""	""	"348"	""
"27"	"14"	"55"	"4"	"7"	"0"	"24"	"1"	"0"	"1"	"0"	"2"	"272"	"4"	"5"	""	""	"375"	""
"28"	"15"	"116"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"140"	"1"	"0"	""	""	"259"	""
"29"	"16"	"135"	"10"	"209"	"2"	"8"	"2"	"0"	"1"	"0"	"6"	"449"	"5"	"5"	""	""	"832"	""
"30"	"17"	"100"	"18"	"12"	"3"	"13"	"4"	"0"	"2"	"1"	"10"	"405"	"9"	"12"	""	""	"589"	""
"31"	"18"	"53"	"5"	"5"	"2"	"4"	"1"	"2"	"0"	"0"	"7"	"383"	"8"	"22"	""	""	"492"	""
"32"	"19"	"126"	"1"	"31"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"322"	"2"	"1"	""	""	"486"	""
"33"	"20"	"149"	"2"	"7"	"0"	"4"	"1"	"1"	"1"	"1"	"1"	"252"	"4"	"13"	""	""	"436"	""
"34"	"21"	"164"	"60"	"151"	"9"	"5"	"1"	"1"	"1"	"1"	"5"	"99"	"2"	"4"	""	""	"503"	""
"35"	"22"	"354"	"1"	"21"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"207"	"0"	"0"	""	""	"585"	""
"36"	"23"	"183"	"0"	"66"	"1"	"6"	"1"	"0"	"0"	"1"	"1"	"288"	"1"	"4"	""	""	"552"	""
"37"	"24"	"167"	"47"	"82"	"23"	"3"	"0"	"0"	"0"	"2"	"8"	"109"	"0"	"1"	""	""	"442"	""
"38"	"25"	"96"	"0"	"24"	"11"	"16"	"4"	"1"	"1"	"1"	"3"	"422"	"5"	"6"	""	""	"590"	""
"39"	"26"	"223"	"3"	"17"	"5"	"14"	"0"	"0"	"0"	"4"	"5"	"385"	"4"	"17"	""	""	"677"	""
"40"	";ksx"	"3740"	"350"	"1143"	"107"	"421"	"30"	"276"	"30"	"44"	"111"	"7525"	"102"	"231"	""	""	"14110"	""
"41"	"ernku dsUnz"	"fuEufyf[kr ds Ik{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erk dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"42"	"dh la[;k"	"ek-s bfy;kl gqlSu"	"derk flag"	"jk/kk d`\".k flag"	"ohj pUn iVsy flag"	"``'khyk flag"	"uhrk flag"	"ccu jke"	"banzthr flag"	"T;ksfr jf'e"	"fueZy flag"	"iznhi dqekj tks'kh"	"ohjsUnz flag"	"Jo.k dqekj"	""	""	""	""
"43"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"44"	"fiNys Ik`\"V dk ;ksx"	"3740"	"350"	"1143"	"107"	"421"	"30"	"276"	"30"	"44"	"111"	"7525"	"102"	"231"	""	""	"14110"	""
"45"	"27"	"107"	"1"	"2"	"5"	"8"	"1"	"1"	"1"	"4"	"3"	"289"	"7"	"9"	""	""	"438"	""
"46"	"28"	"103"	"4"	"23"	"1"	"12"	"1"	"1"	"0"	"2"	"1"	"311"	"2"	"6"	""	""	"467"	""
"47"	"29"	"116"	"9"	"5"	"1"	"3"	"0"	"0"	"2"	"0"	"4"	"249"	"7"	"9"	""	""	"405"	""
"48"	"30"	"75"	"1"	"19"	"0"	"33"	"1"	"2"	"1"	"1"	"2"	"283"	"3"	"5"	""	""	"426"	""
"49"	"31"	"103"	"0"	"11"	"1"	"11"	"0"	"1"	"0"	"2"	"4"	"307"	"1"	"3"	""	""	"444"	""
"50"	"31d"	"129"	"7"	"33"	"2"	"6"	"2"	"45"	"2"	"0"	"6"	"168"	"3"	"11"	""	""	"414"	""
"51"	"32"	"141"	"0"	"68"	"2"	"6"	"10"	"17"	"5"	"3"	"3"	"462"	"8"	"7"	""	""	"732"	""
"52"	"33"	"12"	"2"	"180"	"6"	"4"	"2"	"8"	"1"	"4"	"7"	"197"	"4"	"5"	""	""	"432"	""
"53"	"34"	"103"	"3"	"52"	"4"	"20"	"0"	"1"	"2"	"1"	"6"	"409"	"2"	"7"	""	""	"610"	""
"54"	"35"	"202"	"37"	"39"	"4"	"2"	"0"	"1"	"1"	"0"	"2"	"107"	"2"	"1"	""	""	"398"	""
"55"	"36"	"73"	"3"	"18"	"1"	"43"	"2"	"0"	"1"	"0"	"3"	"110"	"4"	"4"	""	""	"262"	""
"56"	"37"	"221"	"3"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"60"	"1"	"1"	""	""	"288"	""
"57"	"37d"	"95"	"1"	"202"	"6"	"2"	"2"	"1"	"1"	"0"	"6"	"205"	"2"	"4"	""	""	"527"	""
"58"	"38"	"68"	"1"	"2"	"0"	"10"	"1"	"1"	"0"	"0"	"0"	"163"	"1"	"1"	""	""	"248"	""
"59"	";ksx"	"5288"	"422"	"1798"	"140"	"582"	"52"	"355"	"47"	"61"	"158"	"10845"	"149"	"304"	""	""	"20201"	""
"60"	"ernku dsUnz"	"fuEufyf[kr ds Ik{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erk dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"61"	"dh la[;k"	"ek-s bfy;kl gqlSu"	"derk flag"	"jk/kk d`\".k flag"	"ohj pUn iVsy flag"	"``'khyk flag"	"uhrk flag"	"ccu jke"	"banzthr flag"	"T;ksfr jf'e"	"fueZy flag"	"iznhi dqekj tks'kh"	"ohjsUnz flag"	"Jo.k dqekj"	""	""	""	""
"62"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"63"	"fiNys Ik`\"V dk ;ksx"	"5288"	"422"	"1798"	"140"	"582"	"52"	"355"	"47"	"61"	"158"	"10845"	"149"	"304"	""	""	"20201"	""
"64"	"39"	"114"	"6"	"11"	"1"	"113"	"0"	"0"	"1"	"3"	"0"	"445"	"8"	"19"	""	""	"721"	""
"65"	"40"	"41"	"0"	"9"	"0"	"7"	"3"	"1"	"2"	"2"	"10"	"424"	"10"	"14"	""	""	"523"	""
"66"	"41"	"194"	"9"	"28"	"1"	"3"	"0"	"0"	"0"	"2"	"3"	"89"	"1"	"5"	""	""	"335"	""
"67"	"42"	"334"	"1"	"8"	"4"	"15"	"0"	"1"	"1"	"1"	"6"	"397"	"3"	"9"	""	""	"780"	""
"68"	"43"	"302"	"14"	"139"	"4"	"21"	"28"	"1"	"1"	"1"	"5"	"187"	"1"	"2"	""	""	"706"	""
"69"	"44"	"32"	"14"	"8"	"9"	"7"	"4"	"2"	"2"	"4"	"5"	"547"	"5"	"15"	""	""	"654"	""
"70"	"45"	"141"	"4"	"8"	"7"	"11"	"1"	"2"	"1"	"1"	"2"	"527"	"11"	"7"	""	""	"723"	""
"71"	"46"	"108"	"2"	"29"	"3"	"4"	"0"	"0"	"0"	"0"	"6"	"371"	"6"	"20"	""	""	"549"	""
"72"	"47"	"25"	"2"	"12"	"0"	"9"	"2"	"1"	"13"	"0"	"7"	"356"	"1"	"0"	""	""	"428"	""
"73"	"48"	"208"	"18"	"9"	"3"	"22"	"1"	"0"	"2"	"3"	"6"	"259"	"5"	"1"	""	""	"537"	""
"74"	"49"	"269"	"2"	"6"	"1"	"3"	"1"	"2"	"0"	"1"	"3"	"256"	"10"	"22"	""	""	"576"	""
"75"	"50"	"106"	"1"	"2"	"1"	"3"	"1"	"0"	"2"	"2"	"3"	"198"	"9"	"10"	""	""	"338"	""
"76"	"50d"	"24"	"1"	"63"	"1"	"0"	"3"	"2"	"1"	"3"	"8"	"308"	"7"	"5"	""	""	"426"	""
"77"	"51"	"84"	"0"	"15"	"1"	"8"	"1"	"1"	"3"	"2"	"14"	"451"	"5"	"19"	""	""	"604"	""
"78"	";ksx"	"7270"	"496"	"2145"	"176"	"808"	"97"	"368"	"76"	"86"	"236"	"15660"	"231"	"452"	""	""	"28101"	""
"79"	"217 fMgjh fo/kku lHkk fuokZpu&{ks= [k.M esa fuokZpdksa dh dqy la[;k&"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"ernku dsUnz"	"fuEufyf[kr Ik{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erk dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"81"	"dh la[;k"	"ek-s bfy;kl gqlSu"	"derk flag"	"jk/kk d`\".k flag"	"ohj pUn iVsy flag"	"``'khyk flag"	"uhrk flag"	"ccu jke"	"banzthr flag"	"T;ksfr jf'e"	"fueZy flag"	"iznhi dqekj tks'kh"	"ohjsUnz flag"	"Jo.k dqekj"	""	""	""	""
"82"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"83"	"fiNys Ik`\"V dk ;ksx"	"7270"	"496"	"2145"	"176"	"808"	"97"	"368"	"76"	"86"	"236"	"15660"	"231"	"452"	""	""	"28101"	""
"84"	"52"	"48"	"18"	"117"	"5"	"29"	"2"	"0"	"0"	"1"	"5"	"285"	"4"	"3"	""	""	"517"	""
"85"	"53"	"80"	"39"	"6"	"1"	"28"	"0"	"0"	"0"	"0"	"1"	"429"	"5"	"6"	""	""	"595"	""
"86"	"54"	"92"	"6"	"85"	"0"	"178"	"1"	"15"	"1"	"4"	"6"	"286"	"8"	"8"	""	""	"690"	""
"87"	"55"	"150"	"8"	"70"	"1"	"7"	"2"	"0"	"2"	"0"	"3"	"132"	"2"	"15"	""	""	"392"	""
"88"	"56"	"181"	"4"	"27"	"6"	"223"	"4"	"86"	"5"	"5"	"3"	"190"	"7"	"13"	""	""	"754"	""
"89"	"57"	"112"	"3"	"4"	"2"	"294"	"12"	"7"	"2"	"5"	"7"	"178"	"5"	"12"	""	""	"643"	""
"90"	"58"	"77"	"20"	"22"	"1"	"3"	"2"	"1"	"0"	"0"	"4"	"166"	"3"	"13"	""	""	"312"	""
"91"	"59"	"182"	"0"	"2"	"2"	"3"	"0"	"1"	"1"	"0"	"6"	"315"	"2"	"11"	""	""	"525"	""
"92"	"60"	"64"	"2"	"16"	"2"	"36"	"3"	"0"	"3"	"0"	"6"	"535"	"3"	"8"	""	""	"678"	""
"93"	"61"	"61"	"0"	"10"	"0"	"25"	"0"	"3"	"1"	"1"	"2"	"356"	"2"	"4"	""	""	"465"	""
"94"	"61d"	"65"	"36"	"6"	"1"	"58"	"4"	"0"	"1"	"4"	"2"	"197"	"2"	"6"	""	""	"382"	""
"95"	"62"	"174"	"4"	"65"	"0"	"3"	"0"	"0"	"0"	"1"	"6"	"466"	"3"	"6"	""	""	"728"	""
"96"	"63"	"203"	"1"	"4"	"0"	"0"	"0"	"2"	"1"	"2"	"4"	"352"	"4"	"8"	""	""	"581"	""
"97"	"64"	"78"	"3"	"11"	"0"	"16"	"5"	"3"	"0"	"4"	"2"	"310"	"5"	"16"	""	""	"453"	""
"98"	";ksx"	"8837"	"640"	"2590"	"197"	"1711"	"132"	"486"	"93"	"113"	"293"	"19857"	"286"	"581"	""	""	"35816"	""
"99"	"217 fMgjh fo/kku lHkk fuokZpu&{ks= [k.M esa fuokZpdksa dh dqy la[;k&"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"ernku dsUnz"	"fuEufyf[kr Ik{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erk dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"101"	"dh la[;k"	"ek-s bfy;kl gqlSu"	"derk flag"	"jk/kk d`\".k flag"	"ohj pUn iVsy flag"	"``'khyk flag"	"uhrk flag"	"ccu jke"	"banzthr flag"	"T;ksfr jf'e"	"fueZy flag"	"iznhi dqekj tks'kh"	"ohjsUnz flag"	"Jo.k dqekj"	""	""	""	""
"102"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"103"	"fiNys Ik`\"V dk ;ksx"	"8837"	"640"	"2590"	"197"	"1711"	"132"	"486"	"93"	"113"	"293"	"19857"	"286"	"581"	""	""	"35816"	""
"104"	"64d"	"191"	"4"	"14"	"1"	"2"	"0"	"0"	"0"	"0"	"3"	"133"	"4"	"6"	""	""	"358"	""
"105"	"65"	"131"	"3"	"26"	"3"	"1"	"0"	"2"	"2"	"5"	"2"	"302"	"14"	"23"	""	""	"514"	""
"106"	"66"	"84"	"4"	"15"	"3"	"14"	"0"	"1"	"4"	"1"	"13"	"353"	"3"	"11"	""	""	"506"	""
"107"	"66d"	"76"	"2"	"2"	"2"	"69"	"1"	"3"	"2"	"1"	"1"	"227"	"5"	"9"	""	""	"400"	""
"108"	"67"	"55"	"9"	"96"	"4"	"38"	"1"	"0"	"2"	"3"	"11"	"496"	"4"	"12"	""	""	"731"	""
"109"	"68"	"151"	"29"	"4"	"4"	"20"	"2"	"2"	"5"	"5"	"5"	"494"	"7"	"15"	""	""	"743"	""
"110"	"69"	"85"	"77"	"92"	"2"	"132"	"6"	"2"	"0"	"7"	"13"	"196"	"11"	"11"	""	""	"634"	""
"111"	"70"	"13"	"1"	"56"	"1"	"44"	"1"	"0"	"0"	"0"	"0"	"121"	"1"	"0"	""	""	"238"	""
"112"	"71"	"64"	"8"	"123"	"9"	"31"	"0"	"1"	"0"	"0"	"6"	"431"	"0"	"2"	""	""	"675"	""
"113"	"72"	"167"	"5"	"36"	"0"	"6"	"1"	"43"	"1"	"1"	"3"	"429"	"5"	"2"	""	""	"699"	""
"114"	"73"	"111"	"10"	"29"	"3"	"14"	"1"	"3"	"1"	"5"	"24"	"409"	"15"	"21"	""	""	"646"	""
"115"	"74"	"143"	"16"	"37"	"5"	"14"	"1"	"2"	"0"	"2"	"3"	"158"	"7"	"10"	""	""	"398"	""
"116"	"74d"	"118"	"5"	"7"	"4"	"2"	"2"	"6"	"2"	"3"	"4"	"240"	"3"	"15"	""	""	"411"	""
"117"	"75"	"149"	"34"	"41"	"6"	"42"	"2"	"5"	"3"	"3"	"3"	"125"	"3"	"6"	""	""	"422"	""
"118"	";ksx"	"10375"	"847"	"3168"	"244"	"2140"	"150"	"556"	"115"	"149"	"384"	"23971"	"368"	"724"	""	""	"43191"	""
"119"	"217 fMgjh fo/kku lHkk fuokZpu&{ks= [k.M esa fuokZpdksa dh dqy la[;k&"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"ernku dsUnz"	"fuEufyf[kr Ik{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erk dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"121"	"dh la[;k"	"ek-s bfy;kl gqlSu"	"derk flag"	"jk/kk d`\".k flag"	"ohj pUn iVsy flag"	"``'khyk flag"	"uhrk flag"	"ccu jke"	"banzthr flag"	"T;ksfr jf'e"	"fueZy flag"	"iznhi dqekj tks'kh"	"ohjsUnz flag"	"Jo.k dqekj"	""	""	""	""
"122"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"123"	"fiNys Ik`\"V dk ;ksx"	"10375"	"847"	"3168"	"244"	"2140"	"150"	"556"	"115"	"149"	"384"	"23971"	"368"	"724"	""	""	"43191"	""
"124"	"76"	"28"	"4"	"27"	"2"	"37"	"2"	"1"	"0"	"3"	"4"	"379"	"4"	"10"	""	""	"501"	""
"125"	"77"	"171"	"4"	"44"	"2"	"33"	"1"	"0"	"0"	"2"	"6"	"375"	"6"	"13"	""	""	"657"	""
"126"	"78"	"212"	"4"	"33"	"0"	"65"	"1"	"1"	"4"	"1"	"13"	"272"	"4"	"11"	""	""	"621"	""
"127"	"79"	"209"	"0"	"64"	"1"	"5"	"1"	"0"	"2"	"0"	"6"	"252"	"7"	"6"	""	""	"553"	""
"128"	"80"	"111"	"4"	"50"	"1"	"75"	"6"	"91"	"7"	"3"	"8"	"404"	"10"	"5"	""	""	"775"	""
"129"	"81"	"52"	"2"	"2"	"1"	"155"	"4"	"4"	"1"	"8"	"4"	"450"	"8"	"10"	""	""	"701"	""
"130"	"82"	"187"	"3"	"5"	"0"	"134"	"3"	"2"	"0"	"1"	"2"	"215"	"6"	"9"	""	""	"567"	""
"131"	"83"	"146"	"10"	"20"	"4"	"144"	"3"	"2"	"1"	"2"	"7"	"459"	"8"	"15"	""	""	"821"	""
"132"	"84"	"56"	"2"	"4"	"1"	"53"	"1"	"3"	"1"	"2"	"7"	"273"	"2"	"11"	""	""	"416"	""
"133"	"84d"	"219"	"10"	"5"	"1"	"6"	"0"	"1"	"1"	"3"	"5"	"174"	"3"	"23"	""	""	"451"	""
"134"	"85"	"152"	"8"	"10"	"8"	"308"	"4"	"6"	"0"	"10"	"6"	"134"	"7"	"8"	""	""	"661"	""
"135"	"86"	"133"	"4"	"2"	"8"	"4"	"1"	"0"	"0"	"4"	"3"	"308"	"0"	"2"	""	""	"469"	""
"136"	"86d"	"52"	"6"	"11"	"0"	"4"	"2"	"1"	"2"	"1"	"4"	"331"	"8"	"10"	""	""	"432"	""
"137"	"87"	"169"	"4"	"10"	"1"	"26"	"2"	"1"	"4"	"4"	"4"	"196"	"7"	"14"	""	""	"442"	""
"138"	";ksx"	"12272"	"912"	"3455"	"274"	"3189"	"181"	"669"	"138"	"193"	"463"	"28193"	"448"	"871"	""	""	"51258"	""
"139"	"217 fMgjh fo/kku lHkk fuokZpu&{ks= [k.M esa fuokZpdksa dh dqy la[;k&"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"ernku dsUnz"	"fuEufyf[kr Ik{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erk dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"141"	"dh la[;k"	"ek-s bfy;kl gqlSu"	"derk flag"	"jk/kk d`\".k flag"	"ohj pUn iVsy flag"	"``'khyk flag"	"uhrk flag"	"ccu jke"	"banzthr flag"	"T;ksfr jf'e"	"fueZy flag"	"iznhi dqekj tks'kh"	"ohjsUnz flag"	"Jo.k dqekj"	""	""	""	""
"142"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"143"	"fiNys Ik`\"V dk ;ksx"	"12272"	"912"	"3455"	"274"	"3189"	"181"	"669"	"138"	"193"	"463"	"28193"	"448"	"871"	""	""	"51258"	""
"144"	"88"	"58"	"2"	"15"	"3"	"104"	"3"	"1"	"1"	"3"	"5"	"255"	"3"	"8"	""	""	"461"	""
"145"	"89"	"68"	"2"	"8"	"0"	"93"	"0"	"0"	"0"	"1"	"4"	"231"	"4"	"2"	""	""	"413"	""
"146"	"89d"	"92"	"0"	"1"	"0"	"35"	"1"	"1"	"0"	"0"	"0"	"330"	"4"	"0"	""	""	"464"	""
"147"	"90"	"93"	"1"	"4"	"3"	"226"	"2"	"6"	"2"	"8"	"8"	"276"	"9"	"29"	""	""	"667"	""
"148"	"91"	"13"	"1"	"151"	"3"	"55"	"1"	"4"	"1"	"0"	"14"	"357"	"3"	"19"	""	""	"622"	""
"149"	"92"	"140"	"4"	"13"	"13"	"25"	"0"	"0"	"0"	"2"	"8"	"370"	"3"	"7"	""	""	"585"	""
"150"	"93"	"70"	"2"	"116"	"9"	"154"	"6"	"0"	"5"	"9"	"10"	"197"	"2"	"17"	""	""	"597"	""
"151"	"94"	"375"	"3"	"18"	"1"	"17"	"1"	"1"	"1"	"1"	"1"	"67"	"0"	"2"	""	""	"488"	""
"152"	"94d"	"113"	"1"	"30"	"4"	"8"	"1"	"3"	"2"	"6"	"8"	"289"	"3"	"4"	""	""	"472"	""
"153"	"95"	"71"	"3"	"13"	"0"	"3"	"3"	"36"	"4"	"3"	"11"	"569"	"5"	"17"	""	""	"738"	""
"154"	"96"	"150"	"2"	"11"	"0"	"129"	"5"	"7"	"8"	"13"	"6"	"183"	"13"	"31"	""	""	"558"	""
"155"	"96d"	"46"	"1"	"0"	"0"	"1"	"2"	"0"	"1"	"2"	"4"	"265"	"12"	"11"	""	""	"345"	""
"156"	"97"	"20"	"4"	"19"	"0"	"99"	"1"	"0"	"0"	"1"	"5"	"475"	"3"	"5"	""	""	"632"	""
"157"	"98"	"160"	"8"	"6"	"2"	"13"	"0"	"2"	"0"	"2"	"3"	"221"	"1"	"5"	""	""	"423"	""
"158"	";ksx"	"13741"	"946"	"3860"	"312"	"4151"	"207"	"730"	"163"	"244"	"550"	"32278"	"513"	"1028"	""	""	"58723"	""
"159"	"217 fMgjh fo/kku lHkk fuokZpu&{ks= [k.M esa fuokZpdksa dh dqy la[;k&"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"ernku dsUnz"	"fuEufyf[kr Ik{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erk dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"161"	"dh la[;k"	"ek-s bfy;kl gqlSu"	"derk flag"	"jk/kk d`\".k flag"	"ohj pUn iVsy flag"	"``'khyk flag"	"uhrk flag"	"ccu jke"	"banzthr flag"	"T;ksfr jf'e"	"fueZy flag"	"iznhi dqekj tks'kh"	"ohjsUnz flag"	"Jo.k dqekj"	""	""	""	""
"162"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"163"	"fiNys Ik`\"V dk ;ksx"	"13741"	"946"	"3860"	"312"	"4151"	"207"	"730"	"163"	"244"	"550"	"32278"	"513"	"1028"	""	""	"58723"	""
"164"	"98d"	"80"	"41"	"13"	"3"	"5"	"2"	"1"	"0"	"0"	"8"	"249"	"8"	"21"	""	""	"431"	""
"165"	"99"	"158"	"14"	"15"	"6"	"378"	"3"	"6"	"1"	"4"	"4"	"195"	"6"	"15"	""	""	"805"	""
"166"	"100"	"161"	"2"	"12"	"4"	"70"	"1"	"3"	"1"	"0"	"4"	"389"	"6"	"6"	""	""	"659"	""
"167"	"101"	"52"	"5"	"6"	"2"	"137"	"5"	"2"	"0"	"3"	"4"	"193"	"4"	"11"	""	""	"424"	""
"168"	"102"	"132"	"5"	"14"	"6"	"33"	"3"	"1"	"1"	"6"	"10"	"274"	"3"	"16"	""	""	"504"	""
"169"	"103"	"120"	"15"	"40"	"3"	"260"	"7"	"1"	"1"	"0"	"1"	"12"	"2"	"5"	""	""	"467"	""
