"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"(CHAPTER XIV, PARA 25.9 FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 33-ARA PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly Election"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of Electors in Assembly Constituency/Segment                      224621"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly/Segment                                                            197-Barhara"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"(in the case of election from a Parliamentary Constituency) 275AB"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	""	""	"ASHA DEVI"	"RAGHVENDRA PRATAP
SINGH"	"LALAN YADAV"	"DR. SIYAMATI
RAI"	"SUDARAHAN RAM"	"SHASHI BHUSHAN
SINGH"	"JANG BAHADUR
RAM"	"NIRMAL SINGH"	"VIJAY KUMAR
SINGH"	"VIJAY SINGH"	"HAKIM PRASAD"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"36"	"20A"	"PRIMARY SCHOOL MILKI(W)"	"53"	"45"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"3"	"0"	"104"	"0"	"104"	"0"
"37"	"21"	"PRIMARY SCHOOL KRISHNAGARH"	"691"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"5"	"0"	"0"	"701"	"0"	"701"	"0"
"38"	"22"	"PRIMARY SCHOOL GHAGHAR"	"127"	"75"	"12"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"19"	"236"	"0"	"236"	"0"
"39"	"23"	"URDU PRIMARY SCHOOL JHOKHIPUR"	"64"	"63"	"3"	"62"	"5"	"1"	"3"	"4"	"0"	"3"	"65"	"273"	"0"	"273"	"0"
"40"	"24"	"PRIMARY SCHOOL GALCHAUR"	"221"	"113"	"2"	"73"	"3"	"2"	"0"	"3"	"1"	"2"	"9"	"429"	"0"	"429"	"0"
"41"	"25"	"PRIMARY SCHOOL UDAYBHANPUR"	"164"	"193"	"7"	"1"	"0"	"1"	"3"	"0"	"1"	"1"	"20"	"391"	"0"	"391"	"0"
"42"	"26"	"RAJKIYA BUNIYADI SCHOOL BABHANGAWAN (EAST PART)"	"372"	"150"	"8"	"10"	"1"	"0"	"14"	"0"	"5"	"4"	"36"	"600"	"0"	"600"	"0"
"43"	"27"	"RAJKIYA BUNIYADI SCHOOL BABHANGAWAN (WEST PART)"	"91"	"417"	"15"	"67"	"12"	"2"	"5"	"2"	"8"	"12"	"40"	"671"	"0"	"671"	"0"
"44"	""	""	"ASHA DEVI"	"RAGHVENDRA PRATAP
SINGH"	"LALAN YADAV"	"DR. SIYAMATI
RAI"	"SUDARAHAN RAM"	"SHASHI BHUSHAN
SINGH"	"JANG BAHADUR
RAM"	"NIRMAL SINGH"	"VIJAY KUMAR
SINGH"	"VIJAY SINGH"	"HAKIM PRASAD"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"45"	"Serial No of Polling Station"	""	"JD(U)"	"RJD"	"CPI(ML)(L)"	"LJP"	"BSP"	"ABJS"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"46"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"47"	"28"	"HIGH SCHOOL SARAIYAN (EAST PART)"	"246"	"368"	"10"	"7"	"1"	"1"	"1"	"1"	"1"	"1"	"13"	"650"	"0"	"650"	"0"
"48"	"29"	"HIGH SCHOOL SARAIYAN (WEST PART)"	"217"	"153"	"68"	"53"	"5"	"7"	"20"	"7"	"11"	"16"	"118"	"675"	"0"	"675"	"0"
"49"	"30"	"PRIMARY SCHOOL SARAIYAN"	"333"	"160"	"18"	"1"	"0"	"2"	"11"	"5"	"7"	"7"	"128"	"672"	"0"	"672"	"0"
"50"	"31"	"PRIMARY SCHOOL DURGTOLA(E)"	"96"	"201"	"8"	"13"	"41"	"4"	"5"	"0"	"2"	"6"	"45"	"421"	"0"	"421"	"0"
"51"	"31A"	"PRIMARY SCHOOL DURGTOLA(W)"	"138"	"74"	"5"	"33"	"3"	"1"	"5"	"4"	"1"	"4"	"8"	"276"	"0"	"276"	"0"
"52"	"32"	"PANCHAYAT BHAWAN SINHA (EAST PART)"	"143"	"116"	"2"	"1"	"0"	"1"	"1"	"2"	"2"	"2"	"43"	"313"	"0"	"313"	"0"
"53"	"33"	"PANCHAYAT BHAWAN SINHA (WEST PART)"	"98"	"128"	"9"	"5"	"1"	"0"	"7"	"0"	"3"	"9"	"95"	"355"	"0"	"355"	"0"
"54"	"34"	"MIDDLE SCHOOL SINHA(E)"	"239"	"89"	"5"	"0"	"0"	"0"	"2"	"3"	"0"	"5"	"22"	"365"	"0"	"365"	"0"
"55"	"34A"	"MIDDLE SCHOOL SINHA(W)"	"77"	"121"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"3"	"22"	"227"	"0"	"227"	"0"
"56"	"35"	"PRIMARY SCHOOL LAXMIPUR(E)"	"151"	"142"	"13"	"4"	"1"	"0"	"2"	"1"	"1"	"6"	"27"	"348"	"0"	"348"	"0"
"57"	"35A"	"PRIMARY SCHOOL LAXMIPUR(W)"	"161"	"87"	"7"	"0"	"1"	"0"	"4"	"1"	"0"	"1"	"18"	"280"	"0"	"280"	"0"
"58"	"36"	"PRIMARY SCHOOL PANDEY TOLA"	"190"	"169"	"8"	"1"	"1"	"1"	"1"	"1"	"2"	"9"	"23"	"406"	"0"	"406"	"0"
"59"	"37"	"PRIMARY SCHOOL PANDEY TOLA NAYA BHAWAN"	"15"	"167"	"7"	"0"	"0"	"0"	"1"	"0"	"3"	"8"	"28"	"229"	"0"	"229"	"0"
"60"	"38"	"SAMUDAYIK BHAWAN KAWAL CHHAPRA"	"95"	"285"	"9"	"2"	"1"	"1"	"4"	"0"	"1"	"11"	"67"	"476"	"0"	"476"	"0"
"61"	"39"	"PRIMARY SCHOOL LUFUSPUR"	"63"	"135"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"204"	"0"	"204"	"0"
"62"	"40"	"PRIMARY SCHOOL SHIVPUR"	"110"	"233"	"13"	"6"	"2"	"0"	"4"	"3"	"0"	"3"	"37"	"411"	"0"	"411"	"0"
"63"	"41"	"MIDDLE SCHOOL GUNDI (EAST PART)"	"83"	"302"	"7"	"0"	"0"	"0"	"1"	"1"	"1"	"4"	"33"	"432"	"0"	"432"	"0"
"64"	"42"	"MIDDLE SCHOOL GUNDI (WEST PART)"	"114"	"346"	"7"	"14"	"2"	"0"	"3"	"1"	"3"	"3"	"40"	"533"	"0"	"533"	"0"
"65"	"43"	"PRIMARY SCHOOL GUNDI (NORTH PART)"	"208"	"361"	"13"	"16"	"2"	"3"	"8"	"5"	"0"	"6"	"27"	"649"	"0"	"649"	"0"
"66"	"44"	"PRIMARY SCHOOL GUNDI (SOUTH PART)"	"185"	"129"	"10"	"18"	"1"	"1"	"2"	"1"	"1"	"2"	"5"	"355"	"0"	"355"	"0"
"67"	"45"	"PRIMARY SCHOOL GUNDI(BALAK)"	"191"	"207"	"22"	"135"	"3"	"4"	"9"	"11"	"4"	"11"	"16"	"613"	"0"	"613"	"0"
"68"	"46"	"PRIMARY SCHOOL KHAWASHPUR BHAWAN TOLA"	"135"	"174"	"9"	"1"	"2"	"1"	"8"	"0"	"4"	"11"	"78"	"423"	"0"	"423"	"0"
"69"	"47"	"MIDDLE SCHOOL KHAWASHPUR (EAST PART)"	"13"	"134"	"12"	"1"	"3"	"0"	"0"	"1"	"0"	"3"	"91"	"258"	"0"	"258"	"0"
"70"	"47A"	"MIDDLE SCHOOL KHAWASHPUR (NORTH PART)"	"27"	"126"	"8"	"3"	"2"	"1"	"3"	"4"	"13"	"14"	"176"	"377"	"0"	"377"	"0"
"71"	"48"	"MIDDLE SCHOOL KHAWASHPUR (WEST PART)"	"18"	"103"	"4"	"3"	"2"	"1"	"3"	"0"	"3"	"9"	"210"	"356"	"0"	"356"	"0"
"72"	"48A"	"MIDDLE SCHOOL KHAWASHPUR (SOUTH PART)"	"13"	"211"	"8"	"10"	"3"	"2"	"1"	"2"	"3"	"5"	"72"	"330"	"0"	"330"	"0"
"73"	"49"	"HIGH SCHOOL KHAWASHPUR"	"186"	"240"	"4"	"2"	"1"	"0"	"2"	"0"	"1"	"5"	"95"	"536"	"0"	"536"	"0"
"74"	"50"	"PRIMARY SCHOOL KHAWASHPUR"	"18"	"412"	"10"	"8"	"1"	"3"	"0"	"0"	"5"	"2"	"79"	"538"	"0"	"538"	"0"
"75"	"51"	"PRIMARY SCHOOL GAURA HAJARI KE TOLA"	"35"	"239"	"9"	"0"	"5"	"2"	"0"	"0"	"4"	"2"	"46"	"342"	"0"	"342"	"0"
"76"	"52"	"MIDDLE SCHOOL CHHINEGAON (NORTH PART)"	"348"	"80"	"49"	"2"	"0"	"3"	"7"	"1"	"2"	"1"	"33"	"526"	"0"	"526"	"0"
"77"	"53"	"MIDDLE SCHOOL CHHINEGAON (SOUTH PART)"	"184"	"178"	"15"	"9"	"2"	"1"	"5"	"1"	"6"	"4"	"48"	"453"	"0"	"453"	"0"
"78"	"54"	"PRIMARY SCHOOL GAJIYAPUR"	"85"	"143"	"19"	"33"	"3"	"2"	"2"	"4"	"1"	"4"	"90"	"386"	"0"	"386"	"0"
"79"	"55"	"PANCHAYAT BHAWAN FARHADA"	"85"	"240"	"10"	"12"	"3"	"5"	"8"	"8"	"6"	"6"	"147"	"530"	"0"	"530"	"0"
"80"	"56"	"BUNIYADI SCHOOL FARHADA"	"200"	"154"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"4"	"86"	"447"	"0"	"447"	"0"
"81"	"57"	"PRIMARY SCHOOL GYANPUR"	"354"	"172"	"4"	"0"	"2"	"1"	"5"	"1"	"0"	"0"	"27"	"566"	"0"	"566"	"0"
"82"	"58"	"PRIMARY SCHOOL NATHMALPUR"	"151"	"66"	"5"	"9"	"4"	"1"	"10"	"5"	"0"	"4"	"200"	"455"	"0"	"455"	"0"
"83"	"59"	"MIDDLE SCHOOL NATHMALPUR (EAST PART)"	"180"	"221"	"13"	"5"	"2"	"1"	"6"	"4"	"2"	"1"	"18"	"453"	"0"	"453"	"0"
"84"	"60"	"MIDDLE SCHOOL NATHMALPUR (WEST PART)"	"283"	"236"	"4"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"5"	"531"	"0"	"531"	"0"
"85"	"61"	"PRIMARY SCHOOL MAHUDAHI"	"261"	"84"	"6"	"3"	"0"	"0"	"8"	"0"	"0"	"2"	"26"	"390"	"0"	"390"	"0"
"86"	"62"	"BUNIYADI SCHOOL BAKHORAPUR (EAST PART)"	"281"	"163"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"5"	"454"	"0"	"454"	"0"
"87"	"63"	"BUNIYADI SCHOOL BAKHORAPUR (WEST PART)"	"135"	"132"	"5"	"14"	"0"	"0"	"2"	"4"	"0"	"7"	"27"	"326"	"0"	"326"	"0"
"88"	"63A"	"BUNIYADI SCHOOL BAKHORAPUR (MIDDLE PART)"	"75"	"164"	"2"	"0"	"0"	"0"	"3"	"3"	"0"	"4"	"14"	"265"	"0"	"265"	"0"
"89"	"64"	"PRIMARY SCHOOL PAIGA (NORTH PART)"	"166"	"116"	"68"	"52"	"12"	"0"	"4"	"7"	"2"	"4"	"26"	"457"	"0"	"457"	"0"
"90"	"65"	"PRIMARY SCHOOL PAIGA (SOUTH PART)"	"180"	"245"	"5"	"10"	"0"	"3"	"4"	"7"	"1"	"4"	"95"	"554"	"0"	"554"	"0"
"91"	"66"	"PRIMARY SCHOOL LAUHAR BUJURG (SOUTH PART)"	"442"	"46"	"1"	"3"	"0"	"4"	"1"	"0"	"0"	"0"	"6"	"503"	"0"	"503"	"0"
"92"	"67"	"PRIMARY SCHOOL LAUHAR BUJURG (NORTH PART)"	"440"	"67"	"5"	"6"	"0"	"3"	"3"	"0"	"0"	"1"	"6"	"531"	"0"	"531"	"0"
"93"	"68"	"PRIMARY SCHOOL LAUHAR SRIPAL"	"241"	"92"	"29"	"6"	"29"	"3"	"8"	"5"	"6"	"5"	"69"	"493"	"0"	"493"	"0"
"94"	"69"	"MANIKCHAND MIDDLE SCHOOL FARNA (NORTH PART)"	"306"	"110"	"6"	"18"	"1"	"3"	"2"	"1"	"0"	"0"	"23"	"470"	"0"	"470"	"0"
"95"	""	""	"ASHA DEVI"	"RAGHVENDRA PRATAP
SINGH"	"LALAN YADAV"	"DR. SIYAMATI
RAI"	"SUDARAHAN RAM"	"SHASHI BHUSHAN
SINGH"	"JANG BAHADUR
RAM"	"NIRMAL SINGH"	"VIJAY KUMAR
SINGH"	"VIJAY SINGH"	"HAKIM PRASAD"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"96"	"Serial No of Polling Station"	""	"JD(U)"	"RJD"	"CPI(ML)(L)"	"LJP"	"BSP"	"ABJS"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"97"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"98"	"70"	"MANIKCHAND MIDDLE SCHOOL FARNA (SOUTH PART)"	"98"	"172"	"22"	"53"	"10"	"4"	"13"	"11"	"8"	"15"	"104"	"510"	"0"	"510"	"0"
"99"	"71"	"PRIMARY SCHOOL BHUSAULA"	"99"	"143"	"8"	"10"	"1"	"3"	"2"	"1"	"0"	"9"	"12"	"288"	"0"	"288"	"0"
"100"	"72"	"PRIMARY SCHOOL MOHANPUR KARJA (EAST PART)"	"186"	"115"	"1"	"10"	"1"	"0"	"1"	"0"	"1"	"5"	"31"	"351"	"0"	"351"	"0"
"101"	"73"	"PRIMARY SCHOOL MOHANPUR KARJA (WEST PART)"	"203"	"158"	"1"	"5"	"0"	"0"	"1"	"0"	"0"	"2"	"19"	"389"	"0"	"389"	"0"
"102"	"74"	"PRIMARY SCHOOL KESHAWPUR"	"384"	"171"	"3"	"1"	"0"	"2"	"1"	"0"	"0"	"4"	"8"	"574"	"0"	"574"	"0"
"103"	"75"	"PRIMARY SCHOOL SEMARIYA"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"
"104"	"76"	"PRIMARY SCHOOL PADARIYA"	"241"	"185"	"4"	"5"	"3"	"0"	"2"	"1"	"2"	"7"	"17"	"467"	"0"	"467"	"0"
"105"	"77"	"PRIMARY SCHOOL MUTUKPUR"	"108"	"208"	"15"	"4"	"4"	"4"	"7"	"2"	"2"	"12"	"131"	"497"	"0"	"497"	"0"
"106"	"78"	"PRIMARY SCHOOL RAMSAGAR"	"229"	"147"	"4"	"12"	"0"	"1"	"3"	"2"	"1"	"2"	"50"	"451"	"0"	"451"	"0"
"107"	"79"	"PRIMARY SCHOOL PANDITPUR"	"152"	"112"	"8"	"18"	"28"	"4"	"10"	"1"	"2"	"3"	"52"	"390"	"0"	"390"	"0"
"108"	"80"	"PRIMARY SCHOOL RAMSAHAR (EAST PART)"	"229"	"244"	"12"	"9"	"1"	"1"	"2"	"3"	"2"	"3"	"19"	"525"	"0"	"525"	"0"
"109"	"81"	"PRIMARY SCHOOL RAMSAHAR (WEST PART)"	"202"	"193"	"4"	"11"	"0"	"0"	"2"	"1"	"1"	"3"	"16"	"433"	"0"	"433"	"0"
"110"	"82"	"PRIMARY SCHOOL CHHITNI KE BAG"	"60"	"373"	"18"	"6"	"2"	"1"	"3"	"2"	"3"	"9"	"126"	"603"	"0"	"603"	"0"
"111"	"83"	"PRIMARY SCHOOL KUIYAN(E)"	"321"	"79"	"0"	"2"	"1"	"0"	"3"	"0"	"0"	"0"	"32"	"438"	"0"	"438"	"0"
"112"	"83A"	"PRIMARY SCHOOL KUIYAN(W)"	"134"	"74"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"3"	"214"	"0"	"214"	"0"
"113"	"84"	"PRIMARY SCHOOL EKAUNA GANJ(E)"	"63"	"334"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"410"	"0"	"410"	"0"
"114"	"84A"	"PRIMARY SCHOOL EKAUNA GANJ(W)"	"64"	"270"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"16"	"351"	"0"	"351"	"0"
"115"	"85"	"SAMUDAYIK BHAWAN EKAUNA"	"99"	"403"	"2"	"0"	"0"	"1"	"2"	"0"	"0"	"1"	"14"	"522"	"0"	"522"	"0"
"116"	"86"	"PRIMARY SCHOOL EKAUNA(E)"	"238"	"33"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"4"	"278"	"0"	"278"	"0"
"117"	"86A"	"PRIMARY SCHOOL EKAUNA(W)"	"161"	"56"	"1"	"0"	"0"	"0"	"2"	"2"	"0"	"0"	"6"	"228"	"0"	"228"	"0"
"118"	"87"	"URDU MAKTAB KAJICHAK"	"179"	"133"	"7"	"8"	"1"	"0"	"3"	"0"	"1"	"0"	"16"	"348"	"0"	"348"	"0"
"119"	"88"	"PRIMARY SCHOOL CHATAR (EAST PART)"	"161"	"62"	"20"	"29"	"2"	"1"	"2"	"2"	"1"	"4"	"20"	"304"	"0"	"304"	"0"
"120"	"89"	"PRIMARY SCHOOL CHATAR (WEST PART)"	"281"	"55"	"5"	"23"	"4"	"1"	"5"	"2"	"2"	"2"	"23"	"403"	"0"	"403"	"0"
"121"	"90"	"PRIMARY SCHOOL AGARPURA"	"287"	"32"	"54"	"11"	"2"	"2"	"4"	"3"	"7"	"0"	"10"	"412"	"0"	"412"	"0"
"122"	"91"	"PRIMARY SCHOOL BABHANGAWAN (WEST PART)"	"113"	"174"	"50"	"6"	"1"	"0"	"1"	"2"	"1"	"1"	"14"	"363"	"0"	"363"	"0"
"123"	"92"	"PRIMARY SCHOOL BABURA (LEFT)"	"31"	"96"	"13"	"49"	"4"	"2"	"4"	"3"	"1"	"6"	"130"	"339"	"0"	"339"	"0"
"124"	"93"	"PRIMARY SCHOOL BABURA (RIGHT)"	"240"	"129"	"4"	"4"	"1"	"1"	"0"	"1"	"1"	"5"	"37"	"423"	"0"	"423"	"0"
"125"	"94"	"HIGH SCHOOL BABURA (EAST PART)"	"107"	"100"	"6"	"2"	"1"	"1"	"3"	"3"	"4"	"11"	"71"	"309"	"0"	"309"	"0"
"126"	"94A"	"HIGH SCHOOL BABURA (MIDDLE PART)"	"150"	"85"	"4"	"2"	"2"	"0"	"2"	"0"	"0"	"3"	"46"	"294"	"0"	"294"	"0"
"127"	"95"	"HIGH SCHOOL BABURA (WEST PART)"	"160"	"129"	"15"	"7"	"3"	"3"	"4"	"8"	"3"	"8"	"121"	"461"	"0"	"461"	"0"
"128"	"96"	"PANCHAYAT BHAWAN BABURA(E)"	"77"	"166"	"5"	"4"	"3"	"0"	"0"	"1"	"1"	"8"	"47"	"312"	"0"	"312"	"0"
"129"	"96A"	"PANCHAYAT BHAWAN BABURA (WEST PART)"	"71"	"100"	"3"	"1"	"0"	"0"	"1"	"2"	"3"	"6"	"16"	"203"	"0"	"203"	"0"
"130"	"97"	"PRIMARY SCHOOL SHIVANCHAK"	"40"	"266"	"6"	"1"	"1"	"1"	"3"	"3"	"5"	"4"	"79"	"409"	"0"	"409"	"0"
"131"	"98"	"MIDDLE SCHOOL FUHAN (NORTH PART)"	"221"	"83"	"26"	"6"	"3"	"3"	"11"	"5"	"4"	"1"	"27"	"390"	"0"	"390"	"0"
"132"	"99"	"MIDDLE SCHOOL FUHAN (SOUTH PART)"	"158"	"83"	"37"	"15"	"4"	"1"	"5"	"4"	"4"	"12"	"24"	"347"	"0"	"347"	"0"
"133"	"100"	"KANYA PRIMARY SCHOOL FUHAN"	"248"	"43"	"9"	"32"	"5"	"1"	"7"	"3"	"3"	"2"	"26"	"379"	"0"	"379"	"0"
"134"	"101"	"PRIMARY SCHOOL KOLAHA RAMPUR (NORTH PART)"	"98"	"264"	"29"	"65"	"1"	"0"	"1"	"6"	"2"	"1"	"7"	"474"	"0"	"474"	"0"
"135"	"102"	"PRIMARY SCHOOL KOLAHA RAMPUR (SOUTH PART)"	"88"	"205"	"59"	"108"	"3"	"0"	"3"	"3"	"3"	"4"	"31"	"507"	"0"	"507"	"0"
"136"	"103"	"PURANA PRIMARY SCHOOL SABALPUR"	"311"	"94"	"2"	"2"	"0"	"0"	"4"	"1"	"1"	"2"	"53"	"470"	"0"	"470"	"0"
"137"	"104"	"NAYA PRIMARY SCHOOL SABALPUR"	"531"	"46"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"581"	"0"	"581"	"0"
