"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"[SEE  RULE 56(7) FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"(To be used for recording the result of voting at polling station other than notified polling stations) Election to the Bihar Legistative assembly from the 159- CHAKAI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total no of electors in assembly constituency-   213566"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No. of Polling Stations."	"ARJUN MANDAL"	"PHALGUNI PRASAD YADAV"	"BIJAY SINGH"	"BIRENDRA KUMAR DAS"	""	"BIRENDRA PRADHAN"	""	"GOVIND HAZRA"	"VIJAY SHANKAR YADAV"	"DEVANAND MANJHI"	"SHIVAN MANJHI"	"SHYAM NATH CHOUDHAR Y"	"Total of valid
votes"	""	"No. of rejected
votes"	"Total"	"No. of tendere
d votes"
"40"	"30"	"125"	"27"	"25"	"4"	""	"267"	""	"9"	"1"	"8"	"3"	"7"	"476"	""	"&"	"476"	"&"
"41"	"31"	"12"	"69"	"73"	"8"	""	"36"	""	"8"	"0"	"5"	"6"	"2"	"219"	""	"&"	"219"	"&"
"42"	"32"	"307"	"111"	"12"	"7"	""	"9"	""	"8"	"6"	"4"	"5"	"21"	"490"	""	"&"	"490"	"&"
"43"	"33"	"103"	"182"	"96"	"7"	""	"59"	""	"8"	"6"	"10"	"5"	"14"	"490"	""	"&"	"490"	"&"
"44"	"34"	"137"	"81"	"7"	"3"	""	"97"	""	"10"	"4"	"9"	"4"	"14"	"366"	""	"&"	"366"	"&"
"45"	"34A"	"109"	"55"	"11"	"3"	""	"69"	""	"8"	"1"	"3"	"3"	"3"	"265"	""	""	"265"	""
"46"	"35"	"167"	"22"	"140"	"18"	""	"56"	""	"14"	"7"	"7"	"2"	"8"	"441"	""	"&"	"441"	"&"
"47"	"36"	"205"	"55"	"21"	"5"	""	"48"	""	"14"	"5"	"7"	"5"	"11"	"376"	""	"&"	"376"	"&"
"48"	"37"	"248"	"134"	"62"	"6"	""	"6"	""	"7"	"2"	"3"	"3"	"17"	"488"	""	"&"	"488"	"&"
"49"	"38"	"329"	"128"	"74"	"8"	""	"20"	""	"6"	"3"	"4"	"9"	"20"	"601"	""	"&"	"601"	"&"
"50"	"39"	"504"	"51"	"30"	"5"	""	"5"	""	"4"	"3"	"3"	"3"	"13"	"621"	""	"&"	"621"	"&"
"51"	"40"	"117"	"74"	"46"	"6"	""	"41"	""	"12"	"2"	"8"	"2"	"20"	"328"	""	""	"328"	"&"
"52"	"41"	"353"	"97"	"22"	"18"	""	"35"	""	"9"	"2"	"12"	"9"	"28"	"585"	""	"&"	"585"	"&"
"53"	"42"	"257"	"77"	"64"	"4"	""	"40"	""	"11"	"6"	"6"	"4"	"16"	"485"	""	"&"	"485"	"&"
"54"	"43"	"37"	"64"	"17"	"1"	""	"182"	""	"13"	"5"	"14"	"3"	"14"	"350"	""	"&"	"350"	"&"
"55"	"44"	"14"	"21"	"26"	"11"	""	"203"	""	"8"	"5"	"9"	"3"	"8"	"308"	""	"&"	"308"	"&"
"56"	"45"	"22"	"19"	"18"	"18"	""	"162"	""	"46"	"3"	"11"	"2"	"14"	"315"	""	"&"	"315"	"&"
"57"	"46"	"128"	"44"	"83"	"4"	""	"4"	""	"3"	"3"	"0"	"4"	"12"	"285"	""	"&"	"285"	"&"
"58"	"47"	"24"	"51"	"64"	"5"	""	"61"	""	"3"	"2"	"10"	"2"	"7"	"229"	""	"&"	"229"	"&"
"59"	"48"	"157"	"23"	"146"	"8"	""	"11"	""	"2"	"1"	"3"	"2"	"5"	"358"	""	"&"	"358"	"&"
"60"	"49"	"111"	"24"	"104"	"14"	""	"25"	""	"1"	"5"	"3"	"5"	"34"	"326"	""	"&"	"326"	"&"
"61"	"50"	"375"	"35"	"34"	"8"	""	"10"	""	"1"	"0"	"1"	"2"	"0"	"466"	""	"&"	"466"	"&"
"62"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"Sl. No. of Polling Stations."	"ARJUN MANDAL"	"PHALGUNI PRASAD YADAV"	"BIJAY SINGH"	"BIRENDRA KUMAR DAS"	""	"BIRENDRA PRADHAN"	""	"GOVIND HAZRA"	"VIJAY SHANKAR YADAV"	"DEVANAND MANJHI"	"SHIVAN MANJHI"	"SHYAM NATH CHOUDHAR Y"	"Total of valid
votes"	""	"No. of rejected
votes"	"Total"	"No. of tendere
d votes"
"64"	""	"1"	"2"	"3"	"4"	""	"5"	""	"6"	"7"	"8"	"9"	"10"	""	""	"12"	"13"	"14"
"65"	"51"	"18"	"289"	"100"	"3"	""	"6"	""	"2"	"1"	"2"	"1"	"2"	"424"	""	"&"	"424"	"&"
"66"	"52"	"25"	"131"	"30"	"15"	""	"18"	""	"5"	"0"	"1"	"3"	"7"	"235"	""	"&"	"235"	"&"
"67"	"53"	"162"	"6"	"39"	"0"	""	"7"	""	"3"	"0"	"1"	"0"	"7"	"225"	""	"&"	"225"	"&"
"68"	"54"	"268"	"45"	"83"	"4"	""	"27"	""	"1"	"0"	"3"	"0"	"7"	"438"	""	"&"	"438"	"&"
"69"	"55"	"183"	"28"	"71"	"2"	""	"11"	""	"5"	"1"	"4"	"2"	"7"	"314"	""	"&"	"314"	"&"
"70"	"56"	"25"	"33"	"16"	"7"	""	"130"	""	"4"	"6"	"4"	"1"	"3"	"229"	""	"&"	"229"	"&"
"71"	"57"	"17"	"75"	"79"	"17"	""	"30"	""	"7"	"6"	"8"	"3"	"2"	"244"	""	"&"	"244"	"&"
"72"	"58"	"14"	"26"	"59"	"8"	""	"223"	""	"14"	"2"	"13"	"4"	"7"	"370"	""	"&"	"370"	"&"
"73"	"59"	"55"	"64"	"111"	"11"	""	"8"	""	"6"	"3"	"5"	"3"	"6"	"272"	""	"&"	"272"	"&"
"74"	"60"	"46"	"188"	"137"	"24"	""	"51"	""	"7"	"4"	"10"	"11"	"19"	"497"	""	"&"	"497"	"&"
"75"	"61"	"57"	"22"	"21"	"6"	""	"50"	""	"7"	"3"	"11"	"2"	"7"	"186"	""	"&"	"186"	"&"
"76"	"62"	"84"	"133"	"34"	"8"	""	"19"	""	"3"	"1"	"1"	"3"	"5"	"291"	""	"&"	"291"	"&"
"77"	"63"	"50"	"86"	"270"	"20"	""	"14"	""	"1"	"7"	"10"	"4"	"22"	"484"	""	"&"	"484"	"&"
"78"	"64"	"141"	"49"	"22"	"6"	""	"33"	""	"6"	"8"	"6"	"12"	"17"	"300"	""	"&"	"300"	"&"
"79"	"65"	"24"	"45"	"14"	"4"	""	"6"	""	"2"	"1"	"3"	"2"	"6"	"107"	""	"&"	"107"	"&"
"80"	"66"	"11"	"88"	"15"	"3"	""	"3"	""	"0"	"1"	"0"	"0"	"0"	"121"	""	"&"	"121"	"&"
"81"	"67"	"29"	"141"	"97"	"10"	""	"6"	""	"4"	"4"	"1"	"0"	"3"	"295"	""	"&"	"295"	"&"
"82"	"68"	"23"	"37"	"5"	"5"	""	"60"	""	"9"	"2"	"9"	"0"	"8"	"158"	""	"&"	"158"	"&"
"83"	"68A"	"51"	"55"	"7"	"8"	""	"24"	""	"1"	"2"	"0"	"2"	"6"	"156"	""	""	"156"	""
"84"	"69"	"188"	"87"	"11"	"1"	""	"19"	""	"3"	"4"	"6"	"4"	"15"	"338"	""	"&"	"338"	"&"
"85"	"70"	"14"	"5"	"7"	"0"	""	"46"	""	"1"	"1"	"4"	"3"	"4"	"85"	""	"&"	"85"	"&"
"86"	"71"	"15"	"79"	"20"	"11"	""	"209"	""	"21"	"6"	"9"	"3"	"8"	"381"	""	"&"	"381"	"&"
"87"	"72"	"95"	"139"	"55"	"14"	""	"15"	""	"11"	"6"	"5"	"5"	"10"	"355"	""	"&"	"355"	"&"
"88"	"73"	"16"	"185"	"152"	"14"	""	"8"	""	"2"	"5"	"8"	"7"	"10"	"407"	""	"&"	"407"	"&"
"89"	"74"	"95"	"76"	"8"	"7"	""	"6"	""	"14"	"3"	"2"	"8"	"31"	"250"	""	"&"	"250"	"&"
"90"	"75"	"42"	"54"	"75"	"9"	""	"8"	""	"5"	"5"	"8"	"5"	"13"	"224"	""	"&"	"224"	"&"
"91"	"76"	"158"	"152"	"29"	"7"	""	"97"	""	"10"	"5"	"6"	"6"	"11"	"481"	""	"&"	"481"	"&"
"92"	"77"	"36"	"27"	"38"	"11"	""	"265"	""	"37"	"4"	"16"	"7"	"15"	"456"	""	"&"	"456"	"&"
"93"	"78"	"71"	"50"	"42"	"10"	""	"180"	""	"14"	"3"	"8"	"3"	"12"	"393"	""	"&"	"393"	"&"
"94"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"Sl. No. of Polling Stations."	"ARJUN MANDAL"	"PHALGUNI PRASAD YADAV"	"BIJAY SINGH"	"BIRENDRA KUMAR DAS"	""	"BIRENDRA PRADHAN"	""	"GOVIND HAZRA"	"VIJAY SHANKAR YADAV"	"DEVANAND MANJHI"	"SHIVAN MANJHI"	"SHYAM NATH CHOUDHAR Y"	"Total of valid
votes"	""	"No. of rejected
votes"	"Total"	"No. of tendere
d votes"
"96"	""	"1"	"2"	"3"	"4"	""	"5"	""	"6"	"7"	"8"	"9"	"10"	""	""	"12"	"13"	"14"
"97"	"79"	"20"	"188"	"15"	"3"	""	"2"	""	"0"	"0"	"1"	"1"	"0"	"230"	""	"&"	"230"	"&"
"98"	"80"	"60"	"122"	"118"	"36"	""	"14"	""	"5"	"3"	"8"	"6"	"18"	"390"	""	"&"	"390"	"&"
"99"	"81"	"72"	"220"	"247"	"11"	""	"8"	""	"2"	"1"	"3"	"1"	"6"	"571"	""	"&"	"571"	"&"
"100"	"82"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	""	"&"	"0"	"&"
"101"	"83"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	""	"&"	"0"	"&"
"102"	"84"	"14"	"104"	"12"	"1"	""	"75"	""	"7"	"2"	"5"	"4"	"2"	"226"	""	"&"	"226"	"&"
"103"	"84A"	"34"	"91"	"17"	"7"	""	"83"	""	"17"	"3"	"6"	"3"	"6"	"267"	""	""	"267"	""
"104"	"85"	"62"	"232"	"35"	"9"	""	"19"	""	"4"	"3"	"3"	"5"	"9"	"381"	""	"&"	"381"	"&"
"105"	"86"	"26"	"175"	"32"	"3"	""	"21"	""	"4"	"3"	"6"	"3"	"1"	"274"	""	"&"	"274"	"&"
"106"	"87"	"28"	"18"	"28"	"14"	""	"143"	""	"18"	"7"	"18"	"6"	"13"	"293"	""	"&"	"293"	"&"
"107"	"88"	"175"	"171"	"47"	"10"	""	"26"	""	"5"	"3"	"2"	"0"	"8"	"447"	""	"&"	"447"	"&"
"108"	"89"	"34"	"172"	"111"	"8"	""	"8"	""	"10"	"6"	"7"	"12"	"24"	"392"	""	"&"	"392"	"&"
"109"	"90"	"44"	"246"	"118"	"10"	""	"16"	""	"1"	"1"	"3"	"2"	"2"	"443"	""	"&"	"443"	"&"
"110"	"91"	"32"	"238"	"33"	"2"	""	"0"	""	"0"	"0"	"2"	"0"	"4"	"311"	""	"&"	"311"	"&"
"111"	"92"	"63"	"149"	"24"	"3"	""	"33"	""	"8"	"2"	"1"	"2"	"3"	"288"	""	"&"	"288"	"&"
"112"	"93"	"129"	"45"	"11"	"1"	""	"313"	""	"11"	"0"	"2"	"0"	"2"	"514"	""	"&"	"514"	"&"
"113"	"94"	"408"	"45"	"116"	"17"	""	"47"	""	"7"	"1"	"6"	"4"	"21"	"672"	""	"&"	"672"	"&"
"114"	"95"	"237"	"30"	"55"	"4"	""	"21"	""	"4"	"1"	"4"	"4"	"12"	"372"	""	"&"	"372"	"&"
"115"	"96"	"212"	"94"	"22"	"4"	""	"16"	""	"4"	"4"	"3"	"3"	"16"	"378"	""	"&"	"378"	"&"
"116"	"97"	"194"	"133"	"130"	"18"	""	"171"	""	"9"	"7"	"21"	"4"	"15"	"702"	""	"&"	"702"	"&"
"117"	"98"	"373"	"87"	"50"	"17"	""	"57"	""	"13"	"6"	"9"	"12"	"33"	"657"	""	"&"	"657"	"&"
"118"	"99"	"231"	"22"	"16"	"2"	""	"1"	""	"4"	"0"	"0"	"3"	"13"	"292"	""	"&"	"292"	"&"
"119"	"100"	"195"	"64"	"50"	"7"	""	"38"	""	"3"	"1"	"6"	"8"	"16"	"388"	""	"&"	"388"	"&"
"120"	"100A"	"32"	"126"	"193"	"10"	""	"3"	""	"3"	"4"	"4"	"3"	"13"	"391"	""	""	"391"	""
"121"	"101"	"75"	"55"	"194"	"12"	""	"24"	""	"7"	"1"	"8"	"6"	"9"	"391"	""	"&"	"391"	"&"
"122"	"102"	"220"	"99"	"57"	"5"	""	"3"	""	"6"	"1"	"1"	"4"	"13"	"409"	""	"&"	"409"	"&"
"123"	"103"	"112"	"107"	"202"	"10"	""	"7"	""	"2"	"1"	"10"	"3"	"14"	"468"	""	"&"	"468"	"&"
"124"	"104"	"14"	"375"	"24"	"1"	""	"2"	""	"3"	"0"	"3"	"1"	"2"	"425"	""	"&"	"425"	"&"
"125"	"105"	"118"	"32"	"92"	"10"	""	"21"	""	"6"	"8"	"5"	"3"	"19"	"314"	""	"&"	"314"	"&"
"126"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"Sl. No. of Polling Stations."	"ARJUN MANDAL"	"PHALGUNI PRASAD YADAV"	"BIJAY SINGH"	"BIRENDRA KUMAR DAS"	""	"BIRENDRA PRADHAN"	""	"GOVIND HAZRA"	"VIJAY SHANKAR YADAV"	"DEVANAND MANJHI"	"SHIVAN MANJHI"	"SHYAM NATH CHOUDHAR Y"	"Total of valid
votes"	""	"No. of rejected
votes"	"Total"	"No. of tendere
d votes"
"128"	""	"1"	"2"	"3"	"4"	""	"5"	""	"6"	"7"	"8"	"9"	"10"	""	""	"12"	"13"	"14"
"129"	"106"	"23"	"158"	"91"	"6"	""	"41"	""	"7"	"3"	"5"	"6"	"3"	"343"	""	"&"	"343"	"&"
"130"	"107"	"154"	"130"	"187"	"18"	""	"138"	""	"29"	"4"	"13"	"2"	"13"	"688"	""	"&"	"688"	"&"
"131"	"108"	"76"	"151"	"96"	"15"	""	"110"	""	"18"	"4"	"17"	"8"	"4"	"499"	""	"&"	"499"	"&"
"132"	"109"	"143"	"72"	"132"	"7"	""	"43"	""	"11"	"2"	"7"	"7"	"17"	"441"	""	"&"	"441"	"&"
"133"	"110"	"10"	"117"	"7"	"2"	""	"26"	""	"0"	"1"	"5"	"0"	"2"	"170"	""	"&"	"170"	"&"
"134"	"111"	"50"	"30"	"1"	"6"	""	"46"	""	"14"	"4"	"2"	"6"	"1"	"160"	""	"&"	"160"	"&"
"135"	"112"	"16"	"41"	"12"	"6"	""	"72"	""	"10"	"6"	"3"	"6"	"4"	"176"	""	"&"	"176"	"&"
"136"	"113"	"6"	"35"	"49"	"3"	""	"8"	""	"3"	"0"	"6"	"0"	"4"	"114"	""	"4"	"114"	"&"
"137"	"114"	"3"	"59"	"18"	"4"	""	"0"	""	"0"	"0"	"0"	"0"	"0"	"84"	""	"&"	"84"	"&"
"138"	"115"	"50"	"72"	"29"	"9"	""	"64"	""	"5"	"4"	"11"	"3"	"8"	"255"	""	"&"	"255"	"&"
"139"	"116"	"56"	"181"	"32"	"10"	""	"22"	""	"4"	"1"	"6"	"1"	"4"	"317"	""	"&"	"317"	"&"
"140"	"117"	"33"	"219"	"80"	"13"	""	"21"	""	"11"	"10"	"9"	"6"	"10"	"412"	""	"&"	"412"	"&"
"141"	"118"	"46"	"111"	"85"	"11"	""	"285"	""	"19"	"12"	"23"	"14"	"13"	"619"	""	"&"	"619"	"&"
"142"	"119"	"51"	"152"	"22"	"13"	""	"47"	""	"11"	"5"	"5"	"5"	"13"	"324"	""	"&"	"324"	"&"
"143"	"120"	"22"	"224"	"144"	"25"	""	"125"	""	"3"	"4"	"11"	"10"	"5"	"573"	""	"&"	"573"	"&"
"144"	"121"	"35"	"90"	"89"	"10"	""	"22"	""	"5"	"6"	"6"	"2"	"6"	"271"	""	"&"	"271"	"&"
"145"	"122"	"111"	"136"	"152"	"7"	""	"57"	""	"10"	"3"	"6"	"3"	"8"	"493"	""	"&"	"493"	"&"
"146"	"123"	"71"	"196"	"103"	"8"	""	"26"	""	"4"	"4"	"2"	"8"	"19"	"441"	""	"&"	"441"	"&"
"147"	"124"	"39"	"167"	"187"	"14"	""	"54"	""	"3"	"5"	"11"	"6"	"6"	"492"	""	"&"	"492"	"&"
"148"	"125"	"94"	"226"	"107"	"19"	""	"118"	""	"13"	"8"	"16"	"6"	"13"	"620"	""	"&"	"620"	"&"
"149"	"126"	"62"	"121"	"45"	"15"	""	"31"	""	"6"	"6"	"8"	"3"	"4"	"301"	""	"&"	"301"	"&"
"150"	"127"	"73"	"152"	"68"	"14"	""	"82"	""	"21"	"5"	"18"	"3"	"20"	"456"	""	"&"	"456"	"&"
"151"	"127A"	"48"	"44"	"56"	"5"	""	"64"	""	"15"	"1"	"8"	"3"	"7"	"251"	""	""	"251"	""
"152"	"128"	"79"	"83"	"17"	"6"	""	"57"	""	"4"	"0"	"6"	"2"	"6"	"260"	""	"&"	"260"	"&"
"153"	"129"	"97"	"82"	"110"	"15"	""	"20"	""	"8"	"7"	"9"	"12"	"26"	"386"	""	"&"	"386"	"&"
"154"	"130"	"81"	"82"	"118"	"9"	""	"11"	""	"1"	"2"	"8"	"4"	"6"	"322"	""	"&"	"322"	"&"
"155"	"131"	"12"	"30"	"50"	"4"	""	"39"	""	"7"	"0"	"8"	"3"	"21"	"174"	""	"&"	"174"	"&"
"156"	"132"	"72"	"21"	"3"	"0"	""	"18"	""	"6"	"3"	"7"	"1"	"7"	"138"	""	"&"	"138"	"&"
"157"	"133"	"51"	"108"	"84"	"19"	""	"92"	""	"17"	"6"	"12"	"4"	"6"	"399"	""	"&"	"399"	"&"
"158"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"Sl. No. of Polling Stations."	"ARJUN MANDAL"	"PHALGUNI PRASAD YADAV"	"BIJAY SINGH"	"BIRENDRA KUMAR DAS"	""	"BIRENDRA PRADHAN"	""	"GOVIND HAZRA"	"VIJAY SHANKAR YADAV"	"DEVANAND MANJHI"	"SHIVAN MANJHI"	"SHYAM NATH CHOUDHAR Y"	"Total of valid
votes"	""	"No. of rejected
votes"	"Total"	"No. of tendere
d votes"
"160"	""	"1"	"2"	"3"	"4"	""	"5"	""	"6"	"7"	"8"	"9"	"10"	""	""	"12"	"13"	"14"
"161"	"134"	"99"	"77"	"58"	"10"	""	"43"	""	"11"	"7"	"11"	"10"	"17"	"343"	""	"&"	"343"	"&"
"162"	"135"	"31"	"51"	"101"	"10"	""	"182"	""	"27"	"6"	"18"	"9"	"16"	"451"	""	"&"	"451"	"&"
"163"	"136"	"113"	"69"	"72"	"14"	""	"266"	""	"31"	"11"	"10"	"5"	"20"	"611"	""	"&"	"611"	"&"
"164"	"137"	"2"	"72"	"199"	"6"	""	"3"	""	"10"	"3"	"3"	"0"	"0"	"298"	""	"&"	"298"	"&"
"165"	"138"	"11"	"11"	"242"	"7"	""	"29"	""	"14"	"4"	"5"	"3"	"5"	"331"	""	"&"	"331"	"&"
"166"	"139"	"35"	"72"	"203"	"22"	""	"61"	""	"21"	"12"	"17"	"2"	"11"	"456"	""	"&"	"456"	"&"
"167"	"140"	"45"	"59"	"77"	"21"	""	"81"	""	"13"	"3"	"19"	"6"	"4"	"328"	""	"&"	"328"	"&"
"168"	"141"	"11"	"58"	"173"	"10"	""	"7"	""	"1"	"3"	"3"	"1"	"5"	"272"	""	"&"	"272"	"&"
"169"	"142"	"40"	"125"	"54"	"8"	""	"64"	""	"21"	"8"	"11"	"9"	"15"	"355"	""	"&"	"355"	"&"
"170"	"143"	"32"	"95"	"119"	"9"	""	"56"	""	"11"	"7"	"13"	"13"	"29"	"384"	""	"&"	"384"	"&"
"171"	"144"	"34"	"81"	"153"	"18"	""	"118"	""	"16"	"4"	"19"	"4"	"11"	"458"	""	"&"	"458"	"&"
"172"	"145"	"189"	"69"	"80"	"18"	""	"140"	""	"49"	"17"	"41"	"11"	"21"	"635"	""	"&"	"635"	"&"
"173"	"146"	"23"	"48"	"72"	"13"	""	"68"	""	"184"	"15"	"13"	"21"	"32"	"489"	""	"&"	"489"	"&"
"174"	"147"	"9"	"43"	"30"	"5"	""	"42"	""	"200"	"2"	"2"	"1"	"2"	"336"	""	"&"	"336"	"&"
"175"	"148"	"16"	"54"	"141"	"11"	""	"60"	""	"67"	"8"	"5"	"2"	"6"	"370"	""	"&"	"370"	"&"
"176"	"149"	"27"	"128"	"93"	"11"	""	"112"	""	"8"	"5"	"8"	"5"	"10"	"407"	""	"&"	"407"	"&"
"177"	"150"	"17"	"64"	"116"	"8"	""	"63"	""	"46"	"13"	"18"	"7"	"21"	"373"	""	"&"	"373"	"&"
"178"	"151"	"6"	"30"	"65"	"7"	""	"26"	""	"422"	"7"	"7"	"13"	"3"	"586"	""	"&"	"586"	"&"
