"X.Statutory.Rules.and.Order.......................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"53"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"54"	""	"ASHOK PASWAN"	"RAM KUMAR BAITHA"	"RAMJI DAS RISHIDEV"	"SHANTI DEVI"	"BUDH DEO RISHIDEO"	"YOGA NAND PRASAD"	"ASHISH KUMAR RISHI"	"ISHWAR DAYAL DAS"	"PARMANAND RISHIDEV"	""	""	""	""
"55"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"56"	"27"	"233"	"11"	"6"	"54"	"6"	"2"	"1"	"4"	"10"	"327"	""	"327"	""
"57"	"28"	"195"	"13"	"6"	"48"	"9"	"2"	"2"	"5"	"9"	"289"	""	"289"	""
"58"	"29"	"186"	"1"	"0"	"26"	"0"	"2"	"0"	"0"	"2"	"217"	""	"217"	""
"59"	"29A"	"51"	"6"	"4"	"193"	"8"	"4"	"0"	"1"	"8"	"275"	""	"275"	""
"60"	"30"	"111"	"12"	"130"	"108"	"6"	"8"	"9"	"6"	"5"	"395"	""	"395"	""
"61"	"31"	"106"	"6"	"119"	"183"	"13"	"7"	"6"	"14"	"6"	"460"	""	"460"	""
"62"	"32"	"48"	"6"	"84"	"161"	"4"	"4"	"0"	"5"	"3"	"315"	""	"315"	""
"63"	"33"	"219"	"10"	"106"	"25"	"3"	"7"	"4"	"14"	"22"	"410"	""	"410"	""
"64"	"34"	"295"	"11"	"111"	"215"	"32"	"7"	"14"	"6"	"10"	"701"	""	"701"	""
"65"	"35"	"26"	"19"	"210"	"119"	"10"	"1"	"14"	"11"	"9"	"419"	""	"419"	""
"66"	"35A"	"14"	"4"	"106"	"62"	"4"	"3"	"6"	"3"	"3"	"205"	""	"205"	""
"67"	"36"	"59"	"5"	"58"	"249"	"25"	"5"	"16"	"7"	"20"	"444"	""	"444"	""
"68"	"37"	"182"	"10"	"11"	"97"	"13"	"6"	"16"	"7"	"27"	"369"	""	"369"	""
"69"	"38"	"83"	"6"	"161"	"55"	"10"	"1"	"0"	"2"	"5"	"323"	""	"323"	""
"70"	"Current Round Total"	"1808"	"120"	"1112"	"1595"	"143"	"59"	"88"	"85"	"139"	"5149"	"0"	"5149"	"0"
"71"	"Previous Round Total"	"3627"	"268"	"3248"	"3035"	"262"	"193"	"260"	"228"	"449"	"11570"	"0"	"11570"	"0"
"72"	"TOTAL"	"5435"	"388"	"4360"	"4630"	"405"	"252"	"348"	"313"	"588"	"16719"	"0"	"16719"	"0"
"73"	"(Statutory Rules and Order)                                                      ROUND : FOURTH"	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (S.C.) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"79"	""	"ASHOK PASWAN"	"RAM KUMAR BAITHA"	"RAMJI DAS RISHIDEV"	"SHANTI DEVI"	"BUDH DEO RISHIDEO"	"YOGA NAND PRASAD"	"ASHISH KUMAR RISHI"	"ISHWAR DAYAL DAS"	"PARMANAND RISHIDEV"	""	""	""	""
"80"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"81"	"38A"	"46"	"6"	"196"	"88"	"6"	"5"	"11"	"5"	"9"	"372"	""	"372"	""
"82"	"39"	"35"	"9"	"161"	"268"	"12"	"27"	"32"	"25"	"45"	"614"	""	"614"	""
"83"	"40"	"42"	"9"	"82"	"281"	"17"	"6"	"6"	"4"	"7"	"454"	""	"454"	""
"84"	"41"	"54"	"10"	"86"	"375"	"12"	"11"	"9"	"5"	"6"	"568"	""	"568"	""
"85"	"42"	"64"	"12"	"100"	"110"	"10"	"5"	"7"	"8"	"10"	"326"	""	"326"	""
"86"	"43"	"75"	"4"	"53"	"269"	"22"	"9"	"8"	"9"	"20"	"469"	""	"469"	""
"87"	"44"	"44"	"9"	"159"	"189"	"13"	"5"	"10"	"1"	"13"	"443"	""	"443"	""
"88"	"45"	"102"	"14"	"93"	"151"	"14"	"7"	"10"	"8"	"20"	"419"	""	"419"	""
"89"	"46"	"42"	"1"	"140"	"182"	"6"	"5"	"12"	"5"	"18"	"411"	""	"411"	""
"90"	"47"	"21"	"16"	"144"	"334"	"18"	"8"	"11"	"3"	"8"	"563"	""	"563"	""
"91"	"48"	"9"	"4"	"263"	"28"	"4"	"6"	"8"	"4"	"19"	"345"	""	"345"	""
"92"	"49"	"55"	"8"	"258"	"26"	"6"	"3"	"6"	"4"	"1"	"367"	""	"367"	""
"93"	"50"	"10"	"1"	"136"	"193"	"1"	"12"	"4"	"1"	"0"	"358"	""	"358"	""
"94"	"51"	"155"	"36"	"209"	"106"	"8"	"8"	"12"	"12"	"11"	"557"	""	"557"	""
"95"	"Current Round Total"	"754"	"139"	"2080"	"2600"	"149"	"117"	"146"	"94"	"187"	"6266"	"0"	"6266"	"0"
"96"	"Previous Round Total"	"5435"	"388"	"4360"	"4630"	"405"	"252"	"348"	"313"	"588"	"16719"	"0"	"16719"	"0"
"97"	"TOTAL"	"6189"	"527"	"6440"	"7230"	"554"	"369"	"494"	"407"	"775"	"22985"	"0"	"22985"	"0"
"98"	"(Statutory Rules and Order)                                                      ROUND : FIFTH"	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (S.C.) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"104"	""	"ASHOK PASWAN"	"RAM KUMAR BAITHA"	"RAMJI DAS RISHIDEV"	"SHANTI DEVI"	"BUDH DEO RISHIDEO"	"YOGA NAND PRASAD"	"ASHISH KUMAR RISHI"	"ISHWAR DAYAL DAS"	"PARMANAND RISHIDEV"	""	""	""	""
"105"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"106"	"52"	"18"	"8"	"225"	"196"	"6"	"9"	"23"	"20"	"32"	"537"	""	"537"	""
"107"	"53"	"75"	"3"	"13"	"318"	"13"	"15"	"11"	"13"	"12"	"473"	""	"473"	""
"108"	"54"	"45"	"8"	"17"	"449"	"8"	"10"	"1"	"15"	"17"	"570"	""	"570"	""
"109"	"55"	"47"	"3"	"17"	"412"	"9"	"13"	"4"	"3"	"6"	"514"	""	"514"	""
"110"	"56"	"16"	"7"	"164"	"43"	"6"	"4"	"5"	"2"	"1"	"248"	""	"248"	""
"111"	"57"	"12"	"7"	"188"	"230"	"12"	"7"	"13"	"10"	"22"	"501"	""	"501"	""
"112"	"58"	"35"	"11"	"352"	"84"	"5"	"13"	"35"	"3"	"11"	"549"	""	"549"	""
"113"	"59"	"15"	"14"	"316"	"87"	"10"	"8"	"2"	"1"	"2"	"455"	""	"455"	""
"114"	"60"	"30"	"11"	"200"	"94"	"5"	"2"	"9"	"9"	"17"	"377"	""	"377"	""
"115"	"61"	"66"	"8"	"276"	"79"	"8"	"4"	"10"	"7"	"5"	"463"	""	"463"	""
"116"	"62"	"34"	"13"	"471"	"25"	"10"	"5"	"16"	"23"	"32"	"629"	""	"629"	""
"117"	"63"	"38"	"9"	"291"	"24"	"10"	"13"	"24"	"10"	"14"	"433"	""	"433"	""
"118"	"64"	"206"	"19"	"248"	"68"	"9"	"6"	"7"	"6"	"15"	"584"	""	"584"	""
"119"	"65"	"27"	"5"	"146"	"333"	"16"	"14"	"12"	"4"	"9"	"566"	""	"566"	""
"120"	"Current Round Total"	"664"	"126"	"2924"	"2442"	"127"	"123"	"172"	"126"	"195"	"6899"	"0"	"6899"	"0"
"121"	"Previous Round Total"	"6189"	"527"	"6440"	"7230"	"554"	"369"	"494"	"407"	"775"	"22985"	"0"	"22985"	"0"
"122"	"TOTAL"	"6853"	"653"	"9364"	"9672"	"681"	"492"	"666"	"533"	"970"	"29884"	"0"	"29884"	"0"
"123"	"(Statutory Rules and Order)                                                      ROUND : SIXTH"	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (S.C.) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"129"	""	"ASHOK PASWAN"	"RAM KUMAR BAITHA"	"RAMJI DAS RISHIDEV"	"SHANTI DEVI"	"BUDH DEO RISHIDEO"	"YOGA NAND PRASAD"	"ASHISH KUMAR RISHI"	"ISHWAR DAYAL DAS"	"PARMANAND RISHIDEV"	""	""	""	""
"130"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"131"	"66"	"34"	"13"	"136"	"125"	"8"	"6"	"9"	"6"	"10"	"347"	""	"347"	""
"132"	"66A"	"34"	"6"	"237"	"83"	"11"	"18"	"1"	"2"	"6"	"398"	""	"398"	""
"133"	"67"	"66"	"10"	"222"	"152"	"12"	"11"	"24"	"9"	"85"	"591"	""	"591"	""
"134"	"68"	"113"	"11"	"200"	"170"	"12"	"24"	"15"	"15"	"22"	"582"	""	"582"	""
"135"	"69"	"146"	"14"	"419"	"55"	"4"	"10"	"16"	"12"	"82"	"758"	""	"758"	""
"136"	"70"	"124"	"7"	"264"	"60"	"10"	"19"	"6"	"14"	"82"	"586"	""	"586"	""
"137"	"71"	"78"	"12"	"425"	"58"	"12"	"8"	"9"	"8"	"9"	"619"	""	"619"	""
"138"	"72"	"40"	"7"	"152"	"50"	"8"	"7"	"9"	"8"	"102"	"383"	""	"383"	""
"139"	"72A"	"20"	"2"	"64"	"118"	"7"	"4"	"6"	"8"	"9"	"238"	""	"238"	""
"140"	"73"	"13"	"2"	"154"	"213"	"8"	"6"	"6"	"12"	"66"	"480"	""	"480"	""
"141"	"74"	"18"	"4"	"228"	"194"	"13"	"7"	"13"	"7"	"21"	"505"	""	"505"	""
"142"	"75"	"48"	"5"	"105"	"102"	"11"	"3"	"3"	"4"	"11"	"292"	""	"292"	""
"143"	"76"	"134"	"0"	"79"	"248"	"9"	"5"	"8"	"13"	"68"	"564"	""	"564"	""
"144"	"77"	"46"	"7"	"6"	"257"	"7"	"6"	"11"	"9"	"10"	"359"	""	"359"	""
"145"	"Current Round Total"	"914"	"100"	"2691"	"1885"	"132"	"134"	"136"	"127"	"583"	"6702"	"0"	"6702"	"0"
"146"	"Previous Round Total"	"6853"	"653"	"9364"	"9672"	"681"	"492"	"666"	"533"	"970"	"29884"	"0"	"29884"	"0"
"147"	"TOTAL"	"7767"	"753"	"12055"	"11557"	"813"	"626"	"802"	"660"	"1553"	"36586"	"0"	"36586"	"0"
"148"	"(Statutory Rules and Order)                                                      ROUND : SEVENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (S.C.) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"154"	""	"ASHOK PASWAN"	"RAM KUMAR BAITHA"	"RAMJI DAS RISHIDEV"	"SHANTI DEVI"	"BUDH DEO RISHIDEO"	"YOGA NAND PRASAD"	"ASHISH KUMAR RISHI"	"ISHWAR DAYAL DAS"	"PARMANAND RISHIDEV"	""	""	""	""
"155"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"156"	"78"	"98"	"5"	"49"	"185"	"12"	"9"	"9"	"18"	"10"	"395"	""	"395"	""
"157"	"79"	"73"	"4"	"298"	"126"	"15"	"13"	"9"	"12"	"45"	"595"	""	"595"	""
"158"	"80"	"147"	"9"	"297"	"88"	"8"	"7"	"11"	"11"	"35"	"613"	""	"613"	""
"159"	"81"	"269"	"21"	"234"	"26"	"15"	"7"	"9"	"4"	"12"	"597"	""	"597"	""
"160"	"82"	"64"	"6"	"144"	"159"	"18"	"6"	"17"	"21"	"39"	"474"	""	"474"	""
"161"	"82A"	"66"	"3"	"73"	"39"	"4"	"4"	"6"	"8"	"10"	"213"	""	"213"	""
"162"	"83"	"87"	"5"	"208"	"121"	"3"	"10"	"5"	"8"	"4"	"451"	""	"451"	""
"163"	"84"	"69"	"5"	"163"	"22"	"7"	"2"	"6"	"4"	"9"	"287"	""	"287"	""
"164"	"84A"	"50"	"2"	"150"	"16"	"3"	"4"	"5"	"2"	"9"	"241"	""	"241"	""
"165"	"85"	"12"	"3"	"182"	"209"	"8"	"6"	"8"	"7"	"19"	"454"	""	"454"	""
"166"	"86"	"42"	"5"	"14"	"479"	"16"	"18"	"14"	"15"	"17"	"620"	""	"620"	""
"167"	"87"	"27"	"3"	"18"	"398"	"14"	"12"	"10"	"21"	"26"	"529"	""	"529"	""
"168"	"88"	"57"	"5"	"24"	"459"	"8"	"13"	"12"	"2"	"5"	"585"	""	"585"	""
"169"	"89"	"29"	"2"	"13"	"325"	"9"	"10"	"5"	"1"	"9"	"403"	""	"403"	""
"170"	"Current Round Total"	"1090"	"78"	"1867"	"2652"	"140"	"121"	"126"	"134"	"249"	"6457"	"0"	"6457"	"0"
"171"	"Previous Round Total"	"7767"	"753"	"12055"	"11557"	"813"	"626"	"802"	"660"	"1553"	"36586"	"0"	"36586"	"0"
"172"	"TOTAL"	"8857"	"831"	"13922"	"14209"	"953"	"747"	"928"	"794"	"1802"	"43043"	"0"	"43043"	"0"
"173"	"(Statutory Rules and Order)                                                      ROUND : EIGHTH"	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (S.C.) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"179"	""	"ASHOK PASWAN"	"RAM KUMAR BAITHA"	"RAMJI DAS RISHIDEV"	"SHANTI DEVI"	"BUDH DEO RISHIDEO"	"YOGA NAND PRASAD"	"ASHISH KUMAR RISHI"	"ISHWAR DAYAL DAS"	"PARMANAND RISHIDEV"	""	""	""	""
"180"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"181"	"90"	"36"	"6"	"34"	"321"	"14"	"8"	"2"	"5"	"9"	"435"	""	"435"	""
"182"	"91"	"105"	"5"	"7"	"388"	"9"	"5"	"12"	"6"	"7"	"544"	""	"544"	""
"183"	"92"	"129"	"6"	"116"	"86"	"12"	"1"	"1"	"6"	"0"	"357"	""	"357"	""
"184"	"93"	"55"	"4"	"198"	"96"	"8"	"6"	"6"	"7"	"18"	"398"	""	"398"	""
"185"	"94"	"53"	"2"	"200"	"190"	"8"	"7"	"7"	"6"	"21"	"494"	""	"494"	""
"186"	"95"	"76"	"4"	"34"	"188"	"13"	"3"	"6"	"6"	"7"	"337"	""	"337"	""
"187"	"96"	"61"	"7"	"48"	"172"	"12"	"1"	"2"	"6"	"5"	"314"	""	"314"	""
"188"	"97"	"60"	"14"	"279"	"54"	"5"	"5"	"9"	"11"	"55"	"492"	""	"492"	""
"189"	"98"	"62"	"11"	"235"	"118"	"5"	"14"	"7"	"3"	"21"	"476"	""	"476"	""
"190"	"99"	"79"	"7"	"266"	"44"	"8"	"6"	"9"	"5"	"11"	"435"	""	"435"	""
"191"	"100"	"32"	"4"	"255"	"44"	"8"	"11"	"6"	"8"	"54"	"422"	""	"422"	""
"192"	"101"	"191"	"12"	"439"	"86"	"10"	"9"	"11"	"11"	"10"	"779"	""	"779"	""
"193"	"102"	"54"	"15"	"282"	"232"	"7"	"6"	"7"	"2"	"9"	"614"	""	"614"	""
"194"	"103"	"268"	"14"	"32"	"195"	"15"	"9"	"7"	"9"	"16"	"565"	""	"565"	""
"195"	"Current Round Total"	"1261"	"111"	"2425"	"2214"	"134"	"91"	"92"	"91"	"243"	"6662"	"0"	"6662"	"0"
"196"	"Previous Round Total"	"8857"	"831"	"13922"	"14209"	"953"	"747"	"928"	"794"	"1802"	"43043"	"0"	"43043"	"0"
"197"	"TOTAL"	"10118"	"942"	"16347"	"16423"	"1087"	"838"	"1020"	"885"	"2045"	"49705"	"0"	"49705"	"0"
"198"	"(Statutory Rules and Order)                                                      ROUND : NINETH"	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (S.C.) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"204"	""	"ASHOK PASWAN"	"RAM KUMAR BAITHA"	"RAMJI DAS RISHIDEV"	"SHANTI DEVI"	"BUDH DEO RISHIDEO"	"YOGA NAND PRASAD"	"ASHISH KUMAR RISHI"	"ISHWAR DAYAL DAS"	"PARMANAND RISHIDEV"	""	""	""	""
"205"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"206"	"104"	"28"	"1"	"216"	"88"	"5"	"7"	"6"	"11"	"18"	"380"	""	"380"	""
"207"	"105"	"43"	"2"	"229"	"156"	"14"	"8"	"17"	"8"	"47"	"524"	""	"524"	""
"208"	"106"	"201"	"5"	"162"	"31"	"19"	"10"	"17"	"16"	"24"	"485"	""	"485"	""
"209"	"107"	"227"	"7"	"5"	"30"	"6"	"6"	"1"	"23"	"22"	"327"	""	"327"	""
"210"	"108"	"158"	"9"	"17"	"36"	"8"	"2"	"0"	"0"	"6"	"236"	""	"236"	""
"211"	"109"	"68"	"16"	"346"	"33"	"12"	"9"	"6"	"4"	"9"	"503"	""	"503"	""
"212"	"110"	"31"	"9"	"254"	"228"	"10"	"18"	"18"	"16"	"31"	"615"	""	"615"	""
"213"	"111"	"33"	"12"	"371"	"156"	"5"	"13"	"5"	"9"	"11"	"615"	""	"615"	""
"214"	"112"	"32"	"19"	"405"	"63"	"1"	"3"	"12"	"9"	"18"	"562"	""	"562"	""
"215"	"113"	"17"	"6"	"277"	"47"	"2"	"2"	"4"	"2"	"2"	"359"	""	"359"	""
"216"	"114"	"81"	"4"	"134"	"98"	"10"	"11"	"2"	"3"	"2"	"345"	""	"345"	""
"217"	"114A"	"91"	"3"	"50"	"70"	"7"	"5"	"1"	"3"	"5"	"235"	""	"235"	""
"218"	"115"	"21"	"3"	"286"	"44"	"0"	"3"	"3"	"2"	"3"	"365"	""	"365"	""
"219"	"115A"	"57"	"3"	"150"	"30"	"5"	"4"	"5"	"6"	"20"	"280"	""	"280"	""
