"ç.Ik.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"96"	"71"	"106"	"69"	"13"	"338"	"4"	"1"	"1"	"1"	"1"	"4"	"0"	"1"	"15"	"554"	"0"	"554"	"0"
"97"	"72"	"59"	"77"	"12"	"38"	"5"	"1"	"0"	"0"	"0"	"2"	"0"	"3"	"2"	"199"	"0"	"199"	"0"
"98"	"73"	"80"	"120"	"20"	"95"	"2"	"0"	"1"	"2"	"1"	"4"	"0"	"2"	"12"	"339"	"0"	"339"	"0"
"99"	"74"	"56"	"20"	"5"	"106"	"9"	"2"	"0"	"0"	"0"	"1"	"1"	"3"	"6"	"209"	"0"	"209"	"0"
"100"	"74 d"	"166"	"38"	"17"	"158"	"1"	"1"	"0"	"0"	"0"	"0"	"4"	"1"	"5"	"391"	"0"	"391"	"0"
"101"	"75"	"91"	"42"	"26"	"35"	"53"	"3"	"1"	"0"	"0"	"1"	"0"	"0"	"2"	"254"	"0"	"254"	"0"
"102"	"76"	"25"	"263"	"13"	"204"	"10"	"4"	"0"	"3"	"1"	"2"	"5"	"9"	"4"	"543"	"0"	"543"	"0"
"103"	"77"	"38"	"78"	"4"	"87"	"26"	"5"	"1"	"1"	"0"	"0"	"0"	"1"	"3"	"244"	"0"	"244"	"0"
"104"	"78"	"63"	"149"	"6"	"122"	"2"	"3"	"0"	"2"	"0"	"0"	"17"	"3"	"10"	"377"	"0"	"377"	"0"
"105"	"dqy%&"	"3569"	"13549"	"4409"	"8127"	"1440"	"226"	"90"	"156"	"100"	"121"	"523"	"398"	"519"	"33227"	"0"	"33227"	"0"
"106"	"B.F."	"3569"	"13549"	"4409"	"8127"	"1440"	"226"	"90"	"156"	"100"	"121"	"523"	"398"	"519"	"33227"	"0"	"33227"	"0"
"107"	"79"	"4"	"81"	"14"	"14"	"237"	"1"	"2"	"0"	"0"	"1"	"0"	"1"	"1"	"356"	"0"	"356"	"0"
"108"	"80"	"9"	"350"	"84"	"4"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"3"	"6"	"460"	"0"	"460"	"0"
"109"	"81"	"5"	"468"	"15"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"490"	"0"	"490"	"0"
"110"	"82"	"4"	"87"	"16"	"191"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"325"	"0"	"325"	"0"
"111"	"83"	"13"	"294"	"10"	"29"	"1"	"5"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"355"	"0"	"355"	"0"
"112"	"84"	"36"	"237"	"10"	"173"	"21"	"7"	"0"	"2"	"2"	"2"	"6"	"10"	"5"	"511"	"0"	"511"	"0"
"113"	"85"	"67"	"220"	"84"	"144"	"17"	"6"	"1"	"4"	"2"	"4"	"3"	"4"	"6"	"562"	"0"	"562"	"0"
"114"	"86"	"64"	"245"	"80"	"95"	"6"	"3"	"2"	"4"	"3"	"5"	"3"	"7"	"8"	"525"	"0"	"525"	"0"
"115"	"87"	"17"	"182"	"47"	"87"	"18"	"2"	"1"	"2"	"1"	"1"	"0"	"2"	"0"	"360"	"0"	"360"	"0"
"116"	"88"	"73"	"227"	"13"	"145"	"19"	"6"	"4"	"1"	"1"	"4"	"3"	"15"	"0"	"511"	"0"	"511"	"0"
"117"	"89"	"243"	"72"	"7"	"31"	"1"	"4"	"0"	"1"	"2"	"1"	"13"	"5"	"5"	"385"	"0"	"385"	"0"
"118"	"90"	"78"	"74"	"24"	"91"	"6"	"1"	"0"	"2"	"1"	"0"	"20"	"2"	"0"	"299"	"0"	"299"	"0"
"119"	"91"	"76"	"114"	"35"	"61"	"47"	"6"	"4"	"6"	"2"	"2"	"8"	"7"	"13"	"381"	"0"	"381"	"0"
"120"	"92"	"95"	"14"	"8"	"175"	"46"	"2"	"0"	"0"	"1"	"1"	"2"	"1"	"3"	"348"	"0"	"348"	"0"
"121"	"dqy%&"	"4353"	"16214"	"4856"	"9369"	"1883"	"270"	"104"	"180"	"116"	"143"	"582"	"456"	"569"	"39095"	"0"	"39095"	"0"
"122"	"B.F."	"4353"	"16214"	"4856"	"9369"	"1883"	"270"	"104"	"180"	"116"	"143"	"582"	"456"	"569"	"39095"	"0"	"39095"	"0"
"123"	"93"	"4"	"68"	"12"	"426"	"6"	"1"	"0"	"1"	"0"	"0"	"2"	"2"	"0"	"522"	"0"	"522"	"0"
"124"	"94"	"23"	"281"	"30"	"171"	"105"	"7"	"4"	"0"	"2"	"2"	"2"	"6"	"3"	"636"	"0"	"636"	"0"
"125"	"95"	"19"	"71"	"2"	"249"	"153"	"3"	"2"	"3"	"4"	"4"	"12"	"3"	"7"	"532"	"0"	"532"	"0"
"126"	"96"	"36"	"236"	"8"	"29"	"72"	"4"	"0"	"2"	"0"	"7"	"6"	"12"	"10"	"422"	"0"	"422"	"0"
"127"	"96 d"	"19"	"120"	"24"	"12"	"24"	"3"	"0"	"2"	"2"	"0"	"2"	"2"	"3"	"213"	"0"	"213"	"0"
"128"	"97"	"34"	"98"	"35"	"152"	"107"	"9"	"3"	"2"	"0"	"3"	"3"	"3"	"17"	"466"	"0"	"466"	"0"
"129"	"98"	"59"	"242"	"49"	"99"	"11"	"3"	"3"	"6"	"0"	"3"	"1"	"11"	"17"	"504"	"0"	"504"	"0"
"130"	"99"	"32"	"81"	"46"	"175"	"3"	"1"	"2"	"1"	"0"	"0"	"0"	"1"	"7"	"349"	"0"	"349"	"0"
"131"	"100"	"30"	"118"	"187"	"9"	"3"	"1"	"5"	"2"	"1"	"1"	"3"	"3"	"4"	"367"	"0"	"367"	"0"
"132"	"101"	"32"	"265"	"11"	"2"	"5"	"1"	"1"	"1"	"0"	"1"	"4"	"4"	"2"	"329"	"0"	"329"	"0"
"133"	"102"	"164"	"100"	"22"	"87"	"14"	"3"	"2"	"1"	"1"	"2"	"46"	"4"	"6"	"452"	"0"	"452"	"0"
"134"	"103"	"193"	"28"	"4"	"200"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"431"	"0"	"431"	"0"
"135"	"104"	"4"	"0"	"6"	"198"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"211"	"0"	"211"	"0"
"136"	"105"	"26"	"144"	"28"	"96"	"39"	"2"	"1"	"5"	"4"	"2"	"26"	"16"	"7"	"396"	"0"	"396"	"0"
"137"	"dqy%&"	"5028"	"18066"	"5320"	"11274"	"2428"	"308"	"128"	"207"	"130"	"168"	"689"	"524"	"655"	"44925"	"0"	"44925"	"0"
"138"	"B.F."	"5028"	"18066"	"5320"	"11274"	"2428"	"308"	"128"	"207"	"130"	"168"	"689"	"524"	"655"	"44925"	"0"	"44925"	"0"
"139"	"106"	"13"	"124"	"11"	"192"	"35"	"4"	"3"	"3"	"4"	"5"	"8"	"20"	"12"	"434"	"0"	"434"	"0"
"140"	"107"	"20"	"77"	"33"	"163"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"3"	"2"	"300"	"0"	"300"	"0"
"141"	"108"	"27"	"265"	"24"	"75"	"6"	"2"	"0"	"1"	"1"	"4"	"23"	"12"	"9"	"449"	"0"	"449"	"0"
"142"	"109"	"4"	"12"	"1"	"326"	"1"	"1"	"0"	"0"	"1"	"0"	"4"	"1"	"0"	"351"	"0"	"351"	"0"
"143"	"109 d"	"67"	"136"	"24"	"67"	"4"	"4"	"1"	"0"	"0"	"0"	"1"	"4"	"5"	"313"	"0"	"313"	"0"
"144"	"110"	"79"	"220"	"9"	"43"	"21"	"2"	"1"	"1"	"4"	"1"	"7"	"17"	"20"	"425"	"0"	"425"	"0"
"145"	"111"	"0"	"24"	"3"	"485"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"518"	"0"	"518"	"0"
"146"	"112"	"8"	"50"	"3"	"121"	"39"	"2"	"1"	"1"	"0"	"3"	"6"	"5"	"11"	"250"	"0"	"250"	"0"
"147"	"113"	"192"	"31"	"109"	"8"	"26"	"1"	"0"	"0"	"1"	"1"	"18"	"4"	"6"	"397"	"0"	"397"	"0"
"148"	"114"	"18"	"181"	"5"	"85"	"18"	"1"	"1"	"1"	"1"	"2"	"5"	"8"	"4"	"330"	"0"	"330"	"0"
"149"	"114 d"	"19"	"158"	"13"	"65"	"31"	"4"	"1"	"1"	"0"	"0"	"1"	"7"	"0"	"300"	"0"	"300"	"0"
"150"	"115"	"25"	"265"	"12"	"95"	"1"	"2"	"0"	"4"	"0"	"0"	"2"	"18"	"13"	"437"	"0"	"437"	"0"
"151"	"116"	"17"	"164"	"5"	"54"	"11"	"4"	"0"	"0"	"0"	"0"	"2"	"6"	"1"	"264"	"0"	"264"	"0"
"152"	"116 d"	"21"	"57"	"5"	"245"	"3"	"2"	"4"	"6"	"0"	"1"	"5"	"4"	"5"	"358"	"0"	"358"	"0"
"153"	"dqy%&"	"5538"	"19830"	"5577"	"13298"	"2626"	"337"	"140"	"226"	"142"	"186"	"771"	"637"	"743"	"50051"	"0"	"50051"	"0"
"154"	"B.F."	"5538"	"19830"	"5577"	"13298"	"2626"	"337"	"140"	"226"	"142"	"186"	"771"	"637"	"743"	"50051"	"0"	"50051"	"0"
"155"	"117"	"9"	"199"	"9"	"198"	"5"	"4"	"0"	"1"	"0"	"3"	"1"	"7"	"3"	"439"	"0"	"439"	"0"
"156"	"118"	"50"	"103"	"9"	"123"	"6"	"2"	"0"	"1"	"0"	"0"	"5"	"2"	"3"	"304"	"0"	"304"	"0"
"157"	"119"	"12"	"135"	"5"	"188"	"2"	"4"	"1"	"1"	"1"	"1"	"18"	"5"	"0"	"373"	"0"	"373"	"0"
"158"	"120"	"12"	"75"	"273"	"9"	"3"	"1"	"0"	"1"	"1"	"2"	"3"	"3"	"3"	"386"	"0"	"386"	"0"
"159"	"121"	"76"	"143"	"19"	"20"	"2"	"1"	"0"	"0"	"1"	"1"	"0"	"7"	"12"	"282"	"0"	"282"	"0"
"160"	"122"	"0"	"108"	"4"	"191"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"5"	"3"	"314"	"0"	"314"	"0"
"161"	"123"	"50"	"250"	"18"	"14"	"5"	"5"	"1"	"5"	"0"	"2"	"9"	"16"	"18"	"393"	"0"	"393"	"0"
"162"	"124"	"10"	"340"	"16"	"56"	"7"	"2"	"2"	"2"	"0"	"1"	"8"	"8"	"8"	"460"	"0"	"460"	"0"
"163"	"124 d"	"16"	"287"	"11"	"170"	"20"	"0"	"0"	"1"	"0"	"0"	"1"	"3"	"1"	"510"	"0"	"510"	"0"
"164"	"125"	"0"	"7"	"17"	"687"	"2"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"716"	"0"	"716"	"0"
"165"	"126"	"9"	"215"	"18"	"210"	"19"	"6"	"0"	"0"	"1"	"6"	"16"	"11"	"4"	"515"	"0"	"515"	"0"
"166"	"127"	"1"	"35"	"448"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"485"	"0"	"485"	"0"
"167"	"128"	"22"	"346"	"20"	"37"	"3"	"4"	"0"	"1"	"1"	"0"	"14"	"9"	"2"	"459"	"0"	"459"	"0"
"168"	"129"	"28"	"43"	"40"	"64"	"4"	"0"	"0"	"2"	"2"	"0"	"3"	"2"	"3"	"191"	"0"	"191"	"0"
"169"	"dqy%&"	"5833"	"22116"	"6484"	"15266"	"2705"	"366"	"145"	"241"	"149"	"203"	"852"	"715"	"803"	"55878"	"0"	"55878"	"0"
"170"	"B.F."	"5833"	"22116"	"6484"	"15266"	"2705"	"366"	"145"	"241"	"149"	"203"	"852"	"715"	"803"	"55878"	"0"	"55878"	"0"
"171"	"129 d"	"63"	"72"	"25"	"106"	"8"	"3"	"5"	"3"	"4"	"4"	"7"	"6"	"13"	"319"	"0"	"319"	"0"
"172"	"130"	"2"	"320"	"104"	"18"	"0"	"1"	"1"	"0"	"0"	"1"	"3"	"2"	"4"	"456"	"0"	"456"	"0"
"173"	"131"	"4"	"198"	"7"	"353"	"9"	"1"	"0"	"0"	"0"	"0"	"3"	"3"	"0"	"578"	"0"	"578"	"0"
"174"	"132"	"59"	"206"	"13"	"28"	"30"	"3"	"1"	"2"	"0"	"4"	"61"	"15"	"13"	"435"	"0"	"435"	"0"
"175"	"133"	"149"	"95"	"10"	"114"	"5"	"0"	"3"	"2"	"4"	"7"	"52"	"10"	"22"	"473"	"0"	"473"	"0"
