"28"	""	"ekfudpUnz
jk;"	"ekSykuk
uq:Ìhu vUlkjh"	"jkek;.k
flag"	"Jh lR;nso
izlkn flag"	"vyh
eqYykg [kkWa"	""	"vo/k
fd'kksj flag"	"dsnkj
izlkn dq'kokgk"	"lq'khyk
flag"	"izHkwukFk
lkg"	"gseUr
dqekj flag"	""	""	""	""
"29"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"30"	"iwoZ i`\"V
dk ;ksx%&"	"2711"	"618"	"177"	"2145"	"78"	""	"44"	"94"	"45"	"57"	"250"	"6219"	""	"6219"	""
"31"	"13"	"132"	"41"	"61"	"166"	"9"	""	"5"	"8"	"10"	"15"	"33"	"480"	""	"480"	""
"32"	"14"	"173"	"55"	"18"	"164"	"7"	""	"3"	"3"	"1"	"7"	"27"	"458"	""	"458"	""
"33"	"15"	"184"	"67"	"11"	"268"	"18"	""	"5"	"7"	"10"	"9"	"32"	"611"	""	"611"	""
"34"	"16"	""	""	"2"	"227"	""	""	""	""	""	""	"2"	"231"	""	"231"	""
"35"	"17"	"264"	"30"	"32"	"115"	"2"	""	"3"	"8"	"5"	"8"	"17"	"484"	""	"484"	""
"36"	"18"	"172"	"54"	"25"	"32"	"4"	""	"2"	"6"	"2"	"8"	"20"	"325"	""	"325"	""
"37"	"19"	"238"	"165"	"28"	"89"	"5"	""	"2"	"8"	"2"	"10"	"14"	"561"	""	"561"	""
"38"	"20"	"167"	"81"	"11"	"134"	"7"	""	"9"	"8"	"4"	"15"	"21"	"457"	""	"457"	""
"39"	"21"	"243"	"74"	"14"	"80"	"7"	""	"2"	"3"	"3"	"1"	"14"	"441"	""	"441"	""
"40"	"22"	"284"	"58"	"5"	"32"	"7"	""	"1"	"6"	"4"	"3"	"16"	"416"	""	"416"	""
"41"	"23"	"271"	"93"	"10"	"19"	"2"	""	"0"	"1"	"1"	"2"	"3"	"402"	""	"402"	""
"42"	"24"	"122"	"129"	"16"	"224"	"3"	""	"4"	"4"	"2"	"4"	"11"	"519"	""	"519"	""
"43"	"25"	"195"	"17"	"8"	"30"	"0"	""	"0"	"0"	"0"	"2"	"5"	"257"	""	"257"	""
"44"	"26"	"128"	"9"	"58"	"130"	"8"	""	"7"	"12"	"6"	"8"	"29"	"395"	""	"395"	""
"45"	";ksx %&"	"5284"	"1491"	"476"	"3855"	"157"	""	"87"	"168"	"95"	"149"	"494"	"12256"	""	"12256"	""
"46"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""
"47"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"48"	""	"ekfudpUnz
jk;"	"ekSykuk
uq:Ìhu vUlkjh"	"jkek;.k
flag"	"Jh lR;nso
izlkn flag"	"vyh
eqYykg [kkWa"	""	"vo/k
fd'kksj flag"	"dsnkj
izlkn dq'kokgk"	"lq'khyk
flag"	"izHkwukFk
lkg"	"gseUr
dqekj flag"	""	""	""	""
"49"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"50"	"iwoZ i`\"V
dk ;ksx"	"5284"	"1491"	"476"	"3855"	"157"	""	"87"	"168"	"95"	"149"	"494"	"12256"	""	"12256"	""
"51"	"27"	"127"	"8"	"3"	"93"	"5"	""	"1"	"3"	"1"	"2"	"10"	"253"	""	"253"	""
"52"	"28"	"135"	"25"	"28"	"459"	"17"	""	"5"	"10"	"3"	"4"	"14"	"700"	""	"700"	""
"53"	"29"	"97"	"13"	"4"	"237"	"5"	""	"1"	"5"	"2"	"2"	"15"	"381"	""	"381"	""
"54"	"30"	"473"	"25"	"6"	"44"	"4"	""	"2"	"4"	"5"	"35"	"11"	"609"	""	"609"	""
"55"	"31"	"331"	"105"	"14"	"56"	"7"	""	"3"	"14"	"6"	"8"	"4"	"548"	""	"548"	""
"56"	"32"	"255"	"27"	"3"	"35"	"2"	""	"1"	"2"	"3"	"4"	"10"	"342"	""	"342"	""
"57"	"33"	"371"	"42"	"13"	"230"	"10"	""	"6"	"3"	"4"	"2"	"12"	"693"	""	"693"	""
"58"	"34"	"17"	"4"	"17"	"216"	"3"	""	"4"	"3"	"1"	"1"	"5"	"271"	""	"271"	""
"59"	"35"	"232"	"20"	"16"	"102"	"8"	""	"5"	"5"	"9"	"1"	"7"	"405"	""	"405"	""
"60"	"36"	"16"	"3"	"5"	"433"	"5"	""	"0"	"2"	"0"	"1"	"1"	"466"	""	"466"	""
"61"	"37"	"215"	"14"	"10"	"82"	"3"	""	"6"	"3"	"18"	"2"	"10"	"363"	""	"363"	""
"62"	"38"	"158"	"29"	"13"	"166"	"12"	""	"8"	"7"	"117"	"12"	"33"	"555"	""	"555"	""
"63"	"39"	"258"	"55"	"3"	"64"	"6"	""	"3"	"5"	"6"	"5"	"24"	"429"	""	"429"	""
"64"	"40"	"430"	"61"	"4"	"109"	"3"	""	"4"	"4"	"55"	"4"	"26"	"700"	""	"700"	""
"65"	";ksx%&"	"8399"	"1922"	"615"	"6181"	"247"	""	"136"	"238"	"325"	"232"	"676"	"18971"	""	"18971"	""
"66"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""
"67"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"68"	""	"ekfudpUnz
jk;"	"ekSykuk
uq:Ìhu vUlkjh"	"jkek;.k
flag"	"Jh lR;nso
izlkn flag"	"vyh
eqYykg [kkWa"	""	"vo/k
fd'kksj flag"	"dsnkj
izlkn dq'kokgk"	"lq'khyk
flag"	"izHkwukFk
lkg"	"gseUr
dqekj flag"	""	""	""	""
"69"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"70"	"iwoZ i`\"V
dk ;ksx"	"8399"	"1922"	"615"	"6181"	"247"	""	"136"	"238"	"325"	"232"	"676"	"18971"	""	"27621"	""
"71"	"41"	"84"	"16"	"3"	"73"	"2"	""	""	"3"	"2"	"2"	"10"	"195"	""	"290"	""
"72"	"42"	"323"	"155"	"8"	"15"	"1"	""	"1"	"9"	"9"	"12"	"26"	"559"	""	"640"	""
"73"	"43"	"126"	"19"	"12"	"188"	"14"	""	"6"	"22"	"13"	"14"	"45"	"459"	""	"773"	""
"74"	"44"	"150"	"83"	"1"	"82"	"2"	""	"1"	"6"	"8"	"7"	"25"	"365"	""	"497"	""
"75"	"45"	"281"	"14"	"6"	"39"	"1"	""	"1"	""	"9"	"3"	"4"	"358"	""	"421"	""
"76"	"46"	"146"	"105"	"10"	"157"	"10"	""	"4"	"8"	"31"	"10"	"27"	"508"	""	"765"	""
"77"	"46 A"	"104"	"21"	"7"	"78"	"2"	""	"2"	"8"	""	"3"	"7"	"232"	""	"339"	""
"78"	"47"	"191"	"38"	"39"	"156"	"3"	""	"2"	"9"	"8"	"8"	"9"	"463"	""	"697"	""
"79"	"48"	"226"	"20"	"4"	"150"	"12"	""	"4"	"10"	"8"	"9"	"39"	"482"	""	"718"	""
"80"	"49"	"179"	"19"	"4"	"257"	"12"	""	"4"	"7"	"7"	"5"	"24"	"518"	""	"838"	""
"81"	"50"	"217"	"19"	"7"	"146"	"3"	""	"5"	"6"	"4"	"3"	"29"	"439"	""	"642"	""
"82"	"51"	"175"	"68"	"34"	"146"	"5"	""	"5"	"7"	"9"	"8"	"18"	"475"	""	"707"	""
"83"	"52"	"233"	"23"	"1"	"119"	"2"	""	"3"	"6"	"2"	"4"	"20"	"413"	""	"570"	""
"84"	"53"	"176"	"7"	"28"	"49"	"1"	""	"3"	"3"	"6"	"7"	"20"	"300"	""	"417"	""
"85"	";ksx%&"	"11010"	"2529"	"779"	"7836"	"317"	""	"177"	"342"	"441"	"327"	"979"	"24737"	""	"24737"	""
"86"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""
"87"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"88"	""	"ekfudpUnz
jk;"	"ekSykuk
uq:Ìhu vUlkjh"	"jkek;.k
flag"	"Jh lR;nso
izlkn flag"	"vyh
eqYykg [kkWa"	""	"vo/k
fd'kksj flag"	"dsnkj
izlkn dq'kokgk"	"lq'khyk
flag"	"izHkwukFk
lkg"	"gseUr
dqekj flag"	""	""	""	""
"89"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"90"	"iwoZ i`\"V
dk ;ksx"	"11010"	"2529"	"779"	"7836"	"317"	""	"177"	"342"	"441"	"327"	"979"	"24737"	""	"24737"	""
"91"	"54"	"63"	"5"	"6"	"316"	"2"	""	""	"3"	"4"	"2"	"6"	"407"	""	"407"	""
"92"	"55"	"230"	"52"	"9"	"135"	"6"	""	"4"	"4"	"4"	"1"	"18"	"463"	""	"463"	""
"93"	"56"	"209"	"25"	"13"	"154"	"6"	""	"1"	"6"	"23"	"8"	"21"	"466"	""	"466"	""
"94"	"57"	"20"	"3"	"13"	"104"	""	""	"1"	""	"2"	"1"	"6"	"150"	""	"150"	""
"95"	"58"	"296"	"57"	"23"	"242"	"3"	""	"3"	"3"	"2"	"3"	"15"	"647"	""	"647"	""
"96"	"59"	"426"	"20"	"3"	"29"	""	""	""	"1"	"3"	"4"	"12"	"498"	""	"498"	""
"97"	"59A"	"220"	"12"	"1"	"7"	""	""	"1"	"1"	"2"	"3"	"10"	"257"	""	"257"	""
"98"	"60"	"371"	"13"	"3"	"178"	"4"	""	"4"	"4"	"2"	"5"	"20"	"604"	""	"604"	""
"99"	"61"	"251"	"13"	"5"	"139"	"6"	""	"4"	"6"	"3"	"8"	"26"	"461"	""	"461"	""
"100"	"62"	"171"	"18"	"5"	"30"	"1"	""	"1"	"3"	"1"	"1"	"6"	"237"	""	"237"	""
"101"	"63"	"390"	"15"	"4"	"109"	"3"	""	"5"	"5"	"6"	"8"	"28"	"573"	""	"573"	""
"102"	"64"	"92"	"6"	"3"	"210"	"3"	""	"19"	"3"	"3"	"1"	"6"	"346"	""	"346"	""
"103"	"65"	"107"	"11"	"3"	"146"	"3"	""	"15"	"5"	"3"	"2"	"17"	"312"	""	"312"	""
"104"	"66"	"359"	"27"	"5"	"21"	"4"	""	"2"	"6"	"1"	"2"	"32"	"459"	""	"459"	""
"105"	";ksx%&"	"14215"	"2806"	"875"	"9656"	"358"	""	"237"	"392"	"500"	"376"	"1202"	"30617"	""	"30617"	""
"106"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""
"107"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"108"	""	"ekfudpUnz
jk;"	"ekSykuk
uq:Ìhu vUlkjh"	"jkek;.k
flag"	"Jh lR;nso
izlkn flag"	"vyh
eqYykg [kkWa"	""	"vo/k
fd'kksj flag"	"dsnkj
izlkn dq'kokgk"	"lq'khyk
flag"	"izHkwukFk
lkg"	"gseUr
dqekj flag"	""	""	""	""
"109"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"110"	"iwoZ i`\"V
dk ;ksx"	"14215"	"2806"	"875"	"9656"	"358"	""	"237"	"392"	"500"	"376"	"1202"	"30617"	""	"30617"	""
"111"	"67"	"274"	"33"	"4"	"133"	"5"	""	"11"	"6"	"2"	"4"	"15"	"487"	""	"487"	""
"112"	"68"	"96"	"44"	"12"	"128"	"8"	""	"1"	"10"	"2"	"1"	"4"	"306"	""	"306"	""
"113"	"69"	"151"	"52"	"8"	"220"	"10"	""	"5"	"6"	"2"	"5"	"26"	"485"	""	"485"	""
"114"	"69A"	"63"	"63"	"9"	"189"	"9"	""	"3"	"11"	"1"	"2"	"20"	"370"	""	"370"	""
"115"	"70"	"192"	"41"	"6"	"145"	"5"	""	"1"	"3"	"3"	"4"	"6"	"406"	""	"406"	""
"116"	"71"	"286"	"19"	"9"	"188"	"12"	""	"11"	"13"	"1"	"7"	"27"	"573"	""	"573"	""
"117"	"72"	"161"	"47"	"7"	"180"	"8"	""	"8"	"23"	"8"	"3"	"27"	"472"	""	"472"	""
"118"	"73"	"301"	"31"	"13"	"95"	"6"	""	"0"	"2"	"4"	"4"	"14"	"470"	""	"470"	""
"119"	"74"	"155"	"25"	"5"	"114"	"8"	""	"4"	"106"	"8"	"6"	"14"	"445"	""	"445"	""
"120"	"74A"	"71"	"6"	"2"	"214"	"5"	""	"1"	"20"	"2"	"2"	"5"	"328"	""	"328"	""
"121"	"75"	"122"	"24"	"6"	"165"	"4"	""	"6"	"9"	"5"	"9"	"17"	"367"	""	"367"	""
"122"	"76"	"159"	"13"	"2"	"148"	"6"	""	"2"	"24"	"5"	"8"	"19"	"386"	""	"386"	""
"123"	"77"	"452"	"13"	"1"	"28"	"0"	""	"3"	"0"	"2"	"0"	"4"	"503"	""	"503"	""
"124"	"78"	"243"	"32"	"14"	"105"	"11"	""	"2"	"14"	"8"	"6"	"48"	"483"	""	"483"	""
"125"	";ksx%&"	"16941"	"3249"	"973"	"11708"	"455"	""	"295"	"639"	"553"	"437"	"1448"	"36698"	""	"36698"	""
"126"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""
"127"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"128"	""	"ekfudpUnz
jk;"	"ekSykuk
uq:Ìhu vUlkjh"	"jkek;.k
flag"	"Jh lR;nso
izlkn flag"	"vyh
eqYykg [kkWa"	""	"vo/k
fd'kksj flag"	"dsnkj
izlkn dq'kokgk"	"lq'khyk
flag"	"izHkwukFk
lkg"	"gseUr
dqekj flag"	""	""	""	""
"129"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"130"	"iwoZ i`\"V
dk ;ksx"	"16941"	"3249"	"973"	"11708"	"455"	""	"295"	"639"	"553"	"437"	"1448"	"36698"	""	"36698"	""
"131"	"79"	"202"	"13"	"3"	"326"	"6"	""	"3"	"3"	"7"	"2"	"9"	"574"	""	"574"	""
"132"	"80"	"206"	"12"	"13"	"111"	"5"	""	"5"	"10"	"8"	"9"	"31"	"410"	""	"410"	""
"133"	"81"	"319"	"12"	"3"	"192"	"4"	""	"0"	"2"	"4"	"1"	"8"	"545"	""	"545"	""
"134"	"82"	"330"	"40"	"24"	"151"	"9"	""	"6"	"2"	"4"	"3"	"9"	"578"	""	"578"	""
"135"	"83"	"133"	"5"	"64"	"46"	"1"	""	"3"	"3"	"0"	"1"	"4"	"260"	""	"260"	""
"136"	"84"	"313"	"24"	"53"	"150"	"5"	""	"4"	"1"	"5"	"2"	"12"	"569"	""	"569"	""
"137"	"85"	"192"	"14"	"24"	"71"	"2"	""	"5"	"5"	"2"	"1"	"14"	"330"	""	"330"	""
"138"	"86"	"119"	"12"	"5"	"137"	"5"	""	"4"	"5"	"4"	"1"	"11"	"303"	""	"303"	""
"139"	"87"	"287"	"22"	"9"	"237"	"15"	""	"5"	"5"	"3"	"4"	"10"	"597"	""	"597"	""
"140"	"88"	"345"	"10"	"0"	"134"	"4"	""	"3"	"1"	"3"	"0"	"10"	"510"	""	"510"	""
"141"	"89"	"268"	"5"	"3"	"109"	"6"	""	"4"	"4"	"1"	"4"	"10"	"414"	""	"414"	""
"142"	"90"	"388"	"22"	"12"	"177"	"6"	""	"3"	"6"	"3"	"5"	"11"	"633"	""	"633"	""
"143"	"91"	"358"	"19"	"5"	"116"	"1"	""	"11"	"2"	"3"	"3"	"10"	"528"	""	"528"	""
"144"	"92"	"213"	"34"	"8"	"204"	"6"	""	"10"	"14"	"4"	"8"	"27"	"528"	""	"528"	""
"145"	";ksx%&"	"20614"	"3493"	"1199"	"13869"	"530"	""	"361"	"702"	"604"	"481"	"1624"	"43477"	""	"43477"	""
"146"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""
"147"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"148"	""	"ekfudpUnz
jk;"	"ekSykuk
uq:Ìhu vUlkjh"	"jkek;.k
flag"	"Jh lR;nso
izlkn flag"	"vyh
eqYykg [kkWa"	""	"vo/k
fd'kksj flag"	"dsnkj
izlkn dq'kokgk"	"lq'khyk
flag"	"izHkwukFk
lkg"	"gseUr
dqekj flag"	""	""	""	""
"149"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"150"	"iwoZ i`\"V
dk ;ksx"	"20614"	"3493"	"1199"	"13869"	"530"	""	"361"	"702"	"604"	"481"	"1624"	"43477"	""	"43477"	""
"151"	"93"	"383"	"23"	"9"	"192"	"8"	""	"11"	"4"	"7"	"1"	"24"	"662"	""	"662"	""
"152"	"94"	"69"	"7"	"4"	"197"	"7"	""	"3"	"4"	"5"	"4"	"9"	"309"	""	"309"	""
"153"	"95"	"192"	"18"	"9"	"194"	"4"	""	"7"	"3"	"4"	"1"	"8"	"440"	""	"440"	""
"154"	"96"	"396"	"12"	"5"	"76"	"9"	""	"2"	"2"	"4"	"4"	"42"	"552"	""	"552"	""
"155"	"97"	"326"	"47"	"36"	"118"	"6"	""	"5"	"4"	"1"	"2"	"11"	"556"	""	"556"	""
"156"	"98"	"325"	"18"	"3"	"297"	"9"	""	"4"	"7"	"9"	"6"	"23"	"701"	""	"701"	""
"157"	"99"	"130"	"7"	"3"	"326"	"2"	""	"0"	"1"	"0"	"0"	"3"	"472"	""	"472"	""
"158"	"100"	"356"	"22"	"2"	"157"	"3"	""	"0"	"0"	"1"	"1"	"5"	"547"	""	"547"	""
"159"	"101"	"272"	"48"	"5"	"78"	"5"	""	"3"	"7"	"3"	"8"	"20"	"449"	""	"449"	""
"160"	"102"	"79"	"12"	"7"	"209"	"10"	""	"1"	"2"	"2"	"3"	"5"	"330"	""	"330"	""
"161"	"103"	"283"	"33"	"12"	"159"	"3"	""	"5"	"4"	"0"	"0"	"11"	"510"	""	"510"	""
"162"	"104"	"232"	"110"	"14"	"41"	"5"	""	"8"	"9"	"4"	"6"	"26"	"455"	""	"455"	""
"163"	"105"	"183"	"44"	"11"	"39"	"2"	""	"4"	"1"	"2"	"3"	"8"	"297"	""	"297"	""
"164"	"106"	"96"	"6"	"9"	"202"	"9"	""	"6"	"2"	"1"	"1"	"11"	"343"	""	"343"	""
"165"	";ksx%&"	"23936"	"3900"	"1328"	"16154"	"613"	""	"420"	"752"	"647"	"520"	"1830"	"50100"	""	"50100"	""
"166"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""
"167"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"168"	""	"ekfudpUnz
jk;"	"ekSykuk
uq:Ìhu vUlkjh"	"jkek;.k
flag"	"Jh lR;nso
izlkn flag"	"vyh
eqYykg [kkWa"	""	"vo/k
fd'kksj flag"	"dsnkj
izlkn dq'kokgk"	"lq'khyk
flag"	"izHkwukFk
lkg"	"gseUr
dqekj flag"	""	""	""	""
"169"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"170"	"iwoZ i`\"V
dk ;ksx"	"23936"	"3900"	"1328"	"16154"	"613"	""	"420"	"752"	"647"	"520"	"1830"	"50100"	""	"50100"	""
"171"	"107"	"118"	"7"	"2"	"218"	"1"	""	"0"	"1"	"1"	"0"	"2"	"350"	""	"350"	""
"172"	"108"	"154"	"13"	"3"	"142"	"8"	""	"2"	"5"	"2"	"2"	"9"	"340"	""	"340"	""
"173"	"109"	"330"	"51"	"13"	"57"	"1"	""	"1"	"8"	"3"	"2"	"12"	"478"	""	"478"	""
"174"	"110"	"210"	"30"	"14"	"112"	"3"	""	"2"	"1"	"2"	"4"	"8"	"386"	""	"386"	""
"175"	"111"	"181"	"23"	"6"	"168"	"5"	""	"2"	"6"	"2"	"1"	"15"	"409"	""	"409"	""
"176"	"112"	"357"	"56"	"4"	"28"	"1"	""	"0"	"6"	"5"	"4"	"15"	"476"	""	"476"	""
"177"	"113"	"144"	"25"	"12"	"187"	"9"	""	"9"	"10"	"5"	"2"	"15"	"418"	""	"418"	""
"178"	"114"	"354"	"48"	"14"	"219"	"9"	""	"2"	"5"	"3"	"2"	"16"	"672"	""	"672"	""
"179"	"115"	"121"	"13"	"5"	"245"	"7"	""	"0"	"4"	"10"	"10"	"35"	"450"	""	"450"	""
"180"	"116"	"106"	"21"	"2"	"185"	"6"	""	"1"	"3"	"3"	"3"	"17"	"347"	""	"347"	""
"181"	"116A"	"252"	"26"	"3"	"106"	"4"	""	"5"	"2"	"5"	"3"	"22"	"428"	""	"428"	""
"182"	"117"	"209"	"98"	"21"	"176"	"8"	""	"4"	"8"	"6"	"4"	"33"	"567"	""	"567"	""
"183"	"118"	"202"	"14"	"4"	"45"	"2"	""	"0"	"1"	"1"	"0"	"7"	"276"	""	"276"	""
"184"	"119"	"56"	"8"	"9"	"261"	"8"	""	"9"	"12"	"8"	"4"	"22"	"397"	""	"397"	""
"185"	";ksx%&"	"26730"	"4333"	"1440"	"18303"	"685"	""	"457"	"824"	"703"	"561"	"2058"	"56094"	""	"56094"	""
"186"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""
