"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"
"1"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from the 232-Gaya Town Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Round No. ……        1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""
"6"	""	""	""	""	"GODESHWAR PD. VERMA"	""	""	"PREM KUMAR"	""	""	"BACHCHU LAL BITHHAL"	""	""	"SANJAY SAHAY"	""	""	"JAWAID KARIM"	""	""	"GOPAL PRASAD"	""	""	"JITENDRA KUMAR"	""	""	""	"RAJIV KUMAR SINHA"	""	""	"MD. SHAHID HUSSAIN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Election to the Bihar Legislative Assembly from the 232-Gaya Town Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Round No. ……           2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"Table No."	"Sl. No. of Polling Station"	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""
"30"	""	""	""	"GODESHWAR PD. VERMA"	""	""	"PREM KUMAR"	""	""	"BACHCHU LAL BITHHAL"	""	""	"SANJAY SAHAY"	""	""	"JAWAID KARIM"	""	""	"GOPAL PRASAD"	""	""	"JITENDRA KUMAR"	""	""	""	"RAJIV KUMAR SINHA"	""	""	"MD. SHAHID HUSSAIN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"1"	"2"	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	""	"10"	""	""	"11"	""	""	"12"	""	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""
"32"	"1"	"10"	""	"21"	""	""	"252"	""	""	"83"	""	""	"118"	""	""	"6"	""	""	"11"	""	""	"3"	""	""	""	"6"	""	""	"9"	""	""	"509"	""	""	""	"0"	""	""	"509"	""	""	""	""	""	""	""
"33"	"2"	"11"	""	"1"	""	""	"146"	""	""	"11"	""	""	"68"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	"4"	""	""	"231"	""	""	""	"0"	""	""	"231"	""	""	""	""	""	""	""
"34"	"3"	"12"	""	"11"	""	""	"184"	""	""	"11"	""	""	"104"	""	""	"1"	""	""	"2"	""	""	"2"	""	""	""	"0"	""	""	"7"	""	""	"322"	""	""	""	"0"	""	""	"322"	""	""	""	""	""	""	""
"35"	"4"	"12A"	""	"1"	""	""	"145"	""	""	"6"	""	""	"23"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	"1"	""	""	"177"	""	""	""	"0"	""	""	"177"	""	""	""	""	""	""	""
"36"	"5"	"13"	""	"4"	""	""	"168"	""	""	"18"	""	""	"48"	""	""	"2"	""	""	"2"	""	""	"1"	""	""	""	"0"	""	""	"3"	""	""	"246"	""	""	""	"0"	""	""	"246"	""	""	""	""	""	""	""
"37"	"6"	"13A"	""	"12"	""	""	"143"	""	""	"21"	""	""	"43"	""	""	"0"	""	""	"2"	""	""	"2"	""	""	""	"2"	""	""	"5"	""	""	"230"	""	""	""	"0"	""	""	"230"	""	""	""	""	""	""	""
"38"	"7"	"14"	""	"4"	""	""	"226"	""	""	"13"	""	""	"32"	""	""	"3"	""	""	"4"	""	""	"2"	""	""	""	"3"	""	""	"5"	""	""	"292"	""	""	""	"0"	""	""	"292"	""	""	""	""	""	""	""
"39"	"8"	"14A"	""	"4"	""	""	"191"	""	""	"7"	""	""	"22"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	""	"1"	""	""	"1"	""	""	"228"	""	""	""	"0"	""	""	"228"	""	""	""	""	""	""	""
"40"	"9"	"15"	""	"54"	""	""	"327"	""	""	"52"	""	""	"40"	""	""	"4"	""	""	"3"	""	""	"2"	""	""	""	"1"	""	""	"9"	""	""	"492"	""	""	""	"0"	""	""	"492"	""	""	""	""	""	""	""
"41"	"10"	"16"	""	"3"	""	""	"192"	""	""	"17"	""	""	"23"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	"1"	""	""	"237"	""	""	""	"0"	""	""	"237"	""	""	""	""	""	""	""
"42"	"11"	"17"	""	"3"	""	""	"168"	""	""	"51"	""	""	"97"	""	""	"2"	""	""	"3"	""	""	"1"	""	""	""	"1"	""	""	"3"	""	""	"329"	""	""	""	"0"	""	""	"329"	""	""	""	""	""	""	""
"43"	"12"	"17A"	""	"5"	""	""	"52"	""	""	"40"	""	""	"31"	""	""	"1"	""	""	"0"	""	""	"3"	""	""	""	"1"	""	""	"2"	""	""	"135"	""	""	""	"0"	""	""	"135"	""	""	""	""	""	""	""
"44"	"13"	"18"	""	"12"	""	""	"193"	""	""	"103"	""	""	"60"	""	""	"6"	""	""	"7"	""	""	"6"	""	""	""	"5"	""	""	"7"	""	""	"399"	""	""	""	"0"	""	""	"399"	""	""	""	""	""	""	""
"45"	"14"	"19"	""	"3"	""	""	"142"	""	""	"56"	""	""	"61"	""	""	"1"	""	""	"5"	""	""	"2"	""	""	""	"0"	""	""	"3"	""	""	"273"	""	""	""	"0"	""	""	"273"	""	""	""	""	""	""	""
"46"	"Total"	""	""	"138"	""	""	"2529"	""	""	"489"	""	""	"770"	""	""	"29"	""	""	"39"	""	""	"26"	""	""	""	"20"	""	""	"60"	""	""	"4100"	""	""	""	"0"	""	""	"4100"	""	""	""	""	""	""	""
"47"	"Table No."	"Sl. No. of Polling Station"	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""
"48"	""	""	""	"GODESHWAR PD. VERMA"	""	""	"PREM KUMAR"	""	""	"BACHCHU LAL BITHHAL"	""	""	"SANJAY SAHAY"	""	""	"JAWAID KARIM"	""	""	"GOPAL PRASAD"	""	""	"JITENDRA KUMAR"	""	""	"RAJIV KUMAR SINHA"	""	""	""	"MD. SHAHID HUSSAIN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"1"	"2"	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	"10"	""	""	""	"11"	""	""	"12"	""	""	"13"	""	""	""	"14"	""	""	"15"	""	""	""	""
"50"	"1"	"19A"	""	"3"	""	""	"99"	""	""	"22"	""	""	"65"	""	""	"2"	""	""	"2"	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	"195"	""	""	"0"	""	""	""	"195"	""	""	""	""	""	""	""
"51"	"2"	"20"	""	"1"	""	""	"122"	""	""	"36"	""	""	"43"	""	""	"2"	""	""	"0"	""	""	"2"	""	""	"2"	""	""	""	"0"	""	""	"208"	""	""	"0"	""	""	""	"208"	""	""	""	""	""	""	""
"52"	"3"	"20A"	""	"4"	""	""	"177"	""	""	"51"	""	""	"42"	""	""	"1"	""	""	"0"	""	""	"4"	""	""	"1"	""	""	""	"2"	""	""	"282"	""	""	"0"	""	""	""	"282"	""	""	""	""	""	""	""
"53"	"4"	"21"	""	"16"	""	""	"81"	""	""	"54"	""	""	"53"	""	""	"1"	""	""	"2"	""	""	"2"	""	""	"3"	""	""	""	"4"	""	""	"216"	""	""	"0"	""	""	""	"216"	""	""	""	""	""	""	""
"54"	"5"	"21A"	""	"1"	""	""	"45"	""	""	"13"	""	""	"33"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	""	"1"	""	""	"96"	""	""	"0"	""	""	""	"96"	""	""	""	""	""	""	""
"55"	"6"	"22"	""	"22"	""	""	"245"	""	""	"102"	""	""	"71"	""	""	"4"	""	""	"9"	""	""	"11"	""	""	"4"	""	""	""	"9"	""	""	"477"	""	""	"0"	""	""	""	"477"	""	""	""	""	""	""	""
"56"	"7"	"23"	""	"1"	""	""	"69"	""	""	"63"	""	""	"116"	""	""	"11"	""	""	"1"	""	""	"7"	""	""	"3"	""	""	""	"22"	""	""	"293"	""	""	"0"	""	""	""	"293"	""	""	""	""	""	""	""
"57"	"8"	"24"	""	"4"	""	""	"180"	""	""	"59"	""	""	"52"	""	""	"1"	""	""	"5"	""	""	"2"	""	""	"3"	""	""	""	"9"	""	""	"315"	""	""	"0"	""	""	""	"315"	""	""	""	""	""	""	""
"58"	"9"	"25"	""	"8"	""	""	"83"	""	""	"39"	""	""	"98"	""	""	"4"	""	""	"3"	""	""	"1"	""	""	"1"	""	""	""	"17"	""	""	"254"	""	""	"0"	""	""	""	"254"	""	""	""	""	""	""	""
"59"	"10"	"25A"	""	"7"	""	""	"9"	""	""	"53"	""	""	"95"	""	""	"3"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	""	"7"	""	""	"176"	""	""	"0"	""	""	""	"176"	""	""	""	""	""	""	""
"60"	"11"	"26"	""	"1"	""	""	"148"	""	""	"15"	""	""	"145"	""	""	"4"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"4"	""	""	"317"	""	""	"0"	""	""	""	"317"	""	""	""	""	""	""	""
"61"	"12"	"27"	""	"5"	""	""	"12"	""	""	"35"	""	""	"134"	""	""	"6"	""	""	"2"	""	""	"4"	""	""	"0"	""	""	""	"4"	""	""	"202"	""	""	"0"	""	""	""	"202"	""	""	""	""	""	""	""
"62"	"13"	"27A"	""	"4"	""	""	"4"	""	""	"47"	""	""	"102"	""	""	"10"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	""	"6"	""	""	"174"	""	""	"0"	""	""	""	"174"	""	""	""	""	""	""	""
"63"	"14"	"28"	""	"1"	""	""	"47"	""	""	"26"	""	""	"143"	""	""	"5"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	""	"7"	""	""	"232"	""	""	"0"	""	""	""	"232"	""	""	""	""	""	""	""
"64"	"Total"	""	""	"78"	""	""	"1321"	""	""	"615"	""	""	"1192"	""	""	"55"	""	""	"27"	""	""	"37"	""	""	"19"	""	""	""	"93"	""	""	"3437"	""	""	"0"	""	""	""	"3437"	""	""	""	""	""	""	""
"65"	"Table No."	"Sl. No. of Polling Station"	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""
"66"	""	""	""	"GODESHWAR PD. VERMA"	""	""	"PREM KUMAR"	""	""	"BACHCHU LAL BITHHAL"	""	""	"SANJAY SAHAY"	""	""	"JAWAID KARIM"	""	""	"GOPAL PRASAD"	""	""	"JITENDRA KUMAR"	""	""	"RAJIV KUMAR SINHA"	""	""	""	"MD. SHAHID HUSSAIN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"1"	"2"	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	"10"	""	""	""	"11"	""	""	"12"	""	""	"13"	""	""	""	"14"	""	""	"15"	""	""	""	""
"68"	"1"	"29"	""	"4"	""	""	"90"	""	""	"10"	""	""	"105"	""	""	"1"	""	""	"3"	""	""	"0"	""	""	"0"	""	""	""	"2"	""	""	"215"	""	""	"0"	""	""	""	"215"	""	""	""	""	""	""	""
"69"	"2"	"29A"	""	"1"	""	""	"176"	""	""	"6"	""	""	"24"	""	""	"1"	""	""	"2"	""	""	"1"	""	""	"0"	""	""	""	"3"	""	""	"214"	""	""	"0"	""	""	""	"214"	""	""	""	""	""	""	""
"70"	"3"	"30"	""	"1"	""	""	"239"	""	""	"17"	""	""	"91"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	""	"2"	""	""	"352"	""	""	"0"	""	""	""	"352"	""	""	""	""	""	""	""
"71"	"4"	"31"	""	"8"	""	""	"375"	""	""	"24"	""	""	"100"	""	""	"5"	""	""	"6"	""	""	"2"	""	""	"0"	""	""	""	"1"	""	""	"521"	""	""	"0"	""	""	""	"521"	""	""	""	""	""	""	""
"72"	"5"	"32"	""	"12"	""	""	"412"	""	""	"35"	""	""	"109"	""	""	"7"	""	""	"4"	""	""	"2"	""	""	"1"	""	""	""	"2"	""	""	"584"	""	""	"0"	""	""	""	"584"	""	""	""	""	""	""	""
"73"	"6"	"33"	""	"0"	""	""	"377"	""	""	"27"	""	""	"50"	""	""	"1"	""	""	"6"	""	""	"2"	""	""	"2"	""	""	""	"5"	""	""	"470"	""	""	"0"	""	""	""	"470"	""	""	""	""	""	""	""
"74"	"7"	"34"	""	"5"	""	""	"166"	""	""	"33"	""	""	"68"	""	""	"1"	""	""	"1"	""	""	"4"	""	""	"3"	""	""	""	"5"	""	""	"286"	""	""	"0"	""	""	""	"286"	""	""	""	""	""	""	""
"75"	"8"	"34A"	""	"6"	""	""	"91"	""	""	"22"	""	""	"56"	""	""	"0"	""	""	"4"	""	""	"1"	""	""	"1"	""	""	""	"3"	""	""	"184"	""	""	"0"	""	""	""	"184"	""	""	""	""	""	""	""
"76"	"9"	"35"	""	"2"	""	""	"176"	""	""	"21"	""	""	"69"	""	""	"1"	""	""	"2"	""	""	"1"	""	""	"2"	""	""	""	"2"	""	""	"276"	""	""	"0"	""	""	""	"276"	""	""	""	""	""	""	""
"77"	"10"	"35A"	""	"1"	""	""	"186"	""	""	"9"	""	""	"44"	""	""	"0"	""	""	"2"	""	""	"0"	""	""	"1"	""	""	""	"5"	""	""	"248"	""	""	"0"	""	""	""	"248"	""	""	""	""	""	""	""
"78"	"11"	"36"	""	"2"	""	""	"210"	""	""	"32"	""	""	"61"	""	""	"1"	""	""	"2"	""	""	"3"	""	""	"1"	""	""	""	"6"	""	""	"318"	""	""	"0"	""	""	""	"318"	""	""	""	""	""	""	""
"79"	"12"	"36A"	""	"2"	""	""	"81"	""	""	"0"	""	""	"28"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	""	"3"	""	""	"115"	""	""	"0"	""	""	""	"115"	""	""	""	""	""	""	""
"80"	"13"	"37"	""	"6"	""	""	"202"	""	""	"52"	""	""	"101"	""	""	"2"	""	""	"4"	""	""	"8"	""	""	"2"	""	""	""	"11"	""	""	"388"	""	""	"0"	""	""	""	"388"	""	""	""	""	""	""	""
"81"	"14"	"38"	""	"3"	""	""	"303"	""	""	"23"	""	""	"122"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	"451"	""	""	"0"	""	""	""	"451"	""	""	""	""	""	""	""
"82"	"Total"	""	""	"53"	""	""	"3084"	""	""	"311"	""	""	"1028"	""	""	"21"	""	""	"36"	""	""	"24"	""	""	"15"	""	""	""	"50"	""	""	"4622"	""	""	"0"	""	""	""	"4622"	""	""	""	""	""	""	""
"83"	"Table No."	"Sl. No. of Polling Station"	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""
"84"	""	""	""	"GODESHWAR PD. VERMA"	""	""	"PREM KUMAR"	""	""	"BACHCHU LAL BITHHAL"	""	""	"SANJAY SAHAY"	""	""	"JAWAID KARIM"	""	""	"GOPAL PRASAD"	""	""	"JITENDRA KUMAR"	""	""	"RAJIV KUMAR SINHA"	""	""	""	"MD. SHAHID HUSSAIN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"1"	"2"	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	"10"	""	""	""	"11"	""	""	"12"	""	""	"13"	""	""	""	"14"	""	""	"15"	""	""	""	""
"86"	"1"	"39"	""	"11"	""	""	"316"	""	""	"26"	""	""	"53"	""	""	"6"	""	""	"4"	""	""	"3"	""	""	"1"	""	""	""	"9"	""	""	"429"	""	""	"0"	""	""	""	"429"	""	""	""	""	""	""	""
"87"	"2"	"40"	""	"30"	""	""	"141"	""	""	"23"	""	""	"115"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"4"	""	""	""	"5"	""	""	"330"	""	""	"0"	""	""	""	"330"	""	""	""	""	""	""	""
"88"	"3"	"41"	""	"34"	""	""	"93"	""	""	"185"	""	""	"70"	""	""	"8"	""	""	"11"	""	""	"11"	""	""	"8"	""	""	""	"27"	""	""	"447"	""	""	"0"	""	""	""	"447"	""	""	""	""	""	""	""
"89"	"4"	"42"	""	"0"	""	""	"192"	""	""	"12"	""	""	"57"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"4"	""	""	"266"	""	""	"0"	""	""	""	"266"	""	""	""	""	""	""	""
"90"	"5"	"42A"	""	"4"	""	""	"226"	""	""	"9"	""	""	"30"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	""	"1"	""	""	"272"	""	""	"0"	""	""	""	"272"	""	""	""	""	""	""	""
"91"	"6"	"43"	""	"1"	""	""	"263"	""	""	"9"	""	""	"56"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	""	"2"	""	""	"333"	""	""	"0"	""	""	""	"333"	""	""	""	""	""	""	""
"92"	"7"	"43A"	""	"0"	""	""	"131"	""	""	"2"	""	""	"17"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	"152"	""	""	"0"	""	""	""	"152"	""	""	""	""	""	""	""
"93"	"8"	"44"	""	"27"	""	""	"185"	""	""	"6"	""	""	"36"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	"256"	""	""	"0"	""	""	""	"256"	""	""	""	""	""	""	""
"94"	"9"	"44A"	""	"7"	""	""	"174"	""	""	"3"	""	""	"47"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	"233"	""	""	"0"	""	""	""	"233"	""	""	""	""	""	""	""
"95"	"10"	"45"	""	"0"	""	""	"244"	""	""	"9"	""	""	"57"	""	""	"3"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"3"	""	""	"316"	""	""	"0"	""	""	""	"316"	""	""	""	""	""	""	""
"96"	"11"	"45A"	""	"1"	""	""	"148"	""	""	"1"	""	""	"68"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	""	"2"	""	""	"222"	""	""	"0"	""	""	""	"222"	""	""	""	""	""	""	""
