"X.Statutory.Rules.and.Order.......................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"27"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"29"	""	"ANIL KUMAR YADAV"	"EKRAMUL HAQUE"	"JANARDAN YADAV"	"NEELAM DEVI"	"HARI NANDAN SINGH"	"KAPIL DEO ROY"	"JAI SHANKAR PRASAD
\"SNEHI\""	"DAYANAND YADAV"	"NAZAMUDDIN"	"ALMIN KHAN"	"PAPPU KUMAR SINGH"	"PARMANAND RISHIDEO"	""	""	""	""
"30"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"31"	"13"	"65"	"187"	"247"	"12"	"5"	"1"	"1"	"10"	"2"	"28"	"3"	"8"	"569"	""	"569"	""
"32"	"14"	"30"	"297"	"30"	"21"	"2"	"3"	"4"	"12"	"7"	"32"	"12"	"11"	"461"	""	"461"	""
"33"	"15"	"30"	"251"	"17"	"7"	"2"	"6"	"4"	"12"	"5"	"65"	"14"	"20"	"433"	""	"433"	""
"34"	"16"	"53"	"233"	"147"	"6"	"4"	"4"	"7"	"32"	"5"	"60"	"14"	"18"	"583"	""	"583"	""
"35"	"17"	"81"	"190"	"197"	"13"	"9"	"2"	"12"	"9"	"7"	"31"	"11"	"22"	"584"	""	"584"	""
"36"	"18"	"88"	"182"	"11"	"4"	"4"	"0"	"5"	"8"	"3"	"26"	"6"	"10"	"347"	""	"347"	""
"37"	"19"	"162"	"34"	"263"	"15"	"4"	"10"	"11"	"42"	"4"	"14"	"18"	"41"	"618"	""	"618"	""
"38"	"20"	"93"	"13"	"112"	"10"	"2"	"4"	"3"	"40"	"7"	"12"	"13"	"29"	"338"	""	"338"	""
"39"	"20A"	"200"	"24"	"228"	"18"	"4"	"6"	"9"	"47"	"7"	"8"	"17"	"29"	"597"	""	"597"	""
"40"	"21"	"48"	"328"	"83"	"7"	"5"	"5"	"6"	"35"	"12"	"40"	"12"	"48"	"629"	""	"629"	""
"41"	"22"	"271"	"26"	"101"	"12"	"0"	"3"	"10"	"14"	"4"	"4"	"19"	"8"	"472"	""	"472"	""
"42"	"23"	"83"	"14"	"503"	"11"	"5"	"7"	"8"	"24"	"1"	"2"	"2"	"10"	"670"	""	"670"	""
"43"	"24"	"121"	"101"	"404"	"11"	"5"	"7"	"9"	"17"	"3"	"6"	"5"	"7"	"696"	""	"696"	""
"44"	"25"	"130"	"65"	"221"	"6"	"3"	"2"	"8"	"175"	"6"	"12"	"11"	"22"	"661"	""	"661"	""
"45"	"Current Round Total"	"1455"	"1945"	"2564"	"153"	"54"	"60"	"97"	"477"	"73"	"340"	"157"	"283"	"7658"	"0"	"7658"	"0"
"46"	"Previous Round Total"	"1272"	"2744"	"2347"	"154"	"43"	"53"	"68"	"554"	"78"	"312"	"132"	"217"	"7974"	"0"	"7974"	"0"
"47"	"TOTAL"	"2727"	"4689"	"4911"	"307"	"97"	"113"	"165"	"1031"	"151"	"652"	"289"	"500"	"15632"	"0"	"15632"	"0"
"48"	"(Statutory Rules and Order)                                                      ROUND : THIRD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"54"	""	"ANIL KUMAR YADAV"	"EKRAMUL HAQUE"	"JANARDAN YADAV"	"NEELAM DEVI"	"HARI NANDAN SINGH"	"KAPIL DEO ROY"	"JAI SHANKAR PRASAD
\"SNEHI\""	"DAYANAND YADAV"	"NAZAMUDDIN"	"ALMIN KHAN"	"PAPPU KUMAR SINGH"	"PARMANAND RISHIDEO"	""	""	""	""
"55"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"56"	"26"	"81"	"33"	"542"	"12"	"2"	"3"	"3"	"9"	"5"	"6"	"3"	"6"	"705"	""	"705"	""
"57"	"27"	"66"	"68"	"413"	"15"	"5"	"11"	"2"	"17"	"3"	"21"	"7"	"15"	"643"	""	"643"	""
"58"	"28"	"133"	"170"	"279"	"9"	"14"	"8"	"11"	"137"	"3"	"12"	"7"	"12"	"795"	""	"795"	""
"59"	"29"	"79"	"15"	"441"	"10"	"7"	"9"	"8"	"29"	"9"	"10"	"19"	"34"	"670"	""	"670"	""
"60"	"30"	"67"	"14"	"265"	"11"	"0"	"5"	"8"	"26"	"8"	"3"	"10"	"9"	"426"	""	"426"	""
"61"	"31"	"36"	"242"	"277"	"5"	"8"	"17"	"6"	"29"	"12"	"53"	"18"	"54"	"757"	""	"757"	""
"62"	"32"	"76"	"320"	"141"	"6"	"3"	"4"	"5"	"21"	"8"	"50"	"15"	"17"	"666"	""	"666"	""
"63"	"33"	"102"	"213"	"248"	"13"	"4"	"8"	"11"	"17"	"12"	"31"	"19"	"40"	"718"	""	"718"	""
"64"	"34"	"9"	"40"	"285"	"5"	"0"	"13"	"5"	"20"	"2"	"3"	"5"	"4"	"391"	""	"391"	""
"65"	"34A"	"66"	"107"	"182"	"10"	"4"	"30"	"6"	"40"	"2"	"9"	"8"	"9"	"473"	""	"473"	""
"66"	"35"	"83"	"14"	"180"	"29"	"3"	"6"	"12"	"226"	"29"	"14"	"23"	"41"	"660"	""	"660"	""
"67"	"36"	"34"	"100"	"336"	"11"	"6"	"4"	"10"	"89"	"8"	"39"	"8"	"18"	"663"	""	"663"	""
"68"	"37"	"119"	"187"	"154"	"7"	"4"	"5"	"10"	"104"	"0"	"25"	"20"	"23"	"658"	""	"658"	""
"69"	"38"	"42"	"178"	"200"	"13"	"1"	"4"	"14"	"72"	"3"	"29"	"12"	"19"	"587"	""	"587"	""
"70"	"Current Round Total"	"993"	"1701"	"3943"	"156"	"61"	"127"	"111"	"836"	"104"	"305"	"174"	"301"	"8812"	"0"	"8812"	"0"
"71"	"Previous Round Total"	"2727"	"4689"	"4911"	"307"	"97"	"113"	"165"	"1031"	"151"	"652"	"289"	"500"	"15632"	"0"	"15632"	"0"
"72"	"TOTAL"	"3720"	"6390"	"8854"	"463"	"158"	"240"	"276"	"1867"	"255"	"957"	"463"	"801"	"24444"	"0"	"24444"	"0"
"73"	"(Statutory Rules and Order)                                                      ROUND : FOURTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"79"	""	"ANIL KUMAR YADAV"	"EKRAMUL HAQUE"	"JANARDAN YADAV"	"NEELAM DEVI"	"HARI NANDAN SINGH"	"KAPIL DEO ROY"	"JAI SHANKAR PRASAD \"SNEHI\""	"DAYANAND YADAV"	"NAZAMUDDIN"	"ALMIN KHAN"	"PAPPU KUMAR SINGH"	"PARMANAND RISHIDEO"	""	""	""	""
"80"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"81"	"39"	"111"	"168"	"300"	"19"	"1"	"6"	"4"	"53"	"0"	"17"	"15"	"28"	"722"	""	"722"	""
"82"	"40"	"268"	"44"	"75"	"5"	"3"	"3"	"9"	"104"	"4"	"4"	"18"	"39"	"576"	""	"576"	""
"83"	"41"	"45"	"227"	"157"	"8"	"8"	"1"	"6"	"15"	"7"	"16"	"17"	"14"	"521"	""	"521"	""
"84"	"42"	"144"	"165"	"113"	"5"	"3"	"6"	"4"	"8"	"6"	"19"	"17"	"16"	"506"	""	"506"	""
"85"	"43"	"94"	"7"	"172"	"6"	"1"	"7"	"2"	"4"	"1"	"2"	"8"	"4"	"308"	""	"308"	""
"86"	"44"	"314"	"25"	"85"	"5"	"4"	"7"	"5"	"18"	"6"	"10"	"15"	"20"	"514"	""	"514"	""
"87"	"45"	"120"	"52"	"306"	"11"	"3"	"8"	"8"	"16"	"3"	"13"	"2"	"6"	"548"	""	"548"	""
"88"	"46"	"247"	"110"	"158"	"8"	"0"	"3"	"6"	"25"	"10"	"18"	"19"	"46"	"650"	""	"650"	""
"89"	"47"	"254"	"109"	"199"	"12"	"2"	"0"	"4"	"10"	"5"	"9"	"14"	"36"	"654"	""	"654"	""
"90"	"48"	"22"	"48"	"231"	"9"	"4"	"3"	"10"	"316"	"4"	"14"	"4"	"15"	"680"	""	"680"	""
"91"	"49"	"42"	"21"	"389"	"3"	"4"	"31"	"6"	"179"	"6"	"5"	"10"	"6"	"702"	""	"702"	""
"92"	"50"	"73"	"44"	"292"	"13"	"2"	"18"	"7"	"150"	"6"	"5"	"15"	"17"	"642"	""	"642"	""
"93"	"51"	"24"	"8"	"393"	"15"	"5"	"8"	"15"	"162"	"6"	"3"	"9"	"12"	"660"	""	"660"	""
"94"	"52"	"26"	"10"	"363"	"24"	"2"	"5"	"6"	"78"	"8"	"7"	"10"	"15"	"554"	""	"554"	""
"95"	"Current Round Total"	"1784"	"1038"	"3233"	"143"	"42"	"106"	"92"	"1138"	"72"	"142"	"173"	"274"	"8237"	"0"	"8237"	"0"
"96"	"Previous Round Total"	"3720"	"6390"	"8854"	"463"	"158"	"240"	"276"	"1867"	"255"	"957"	"463"	"801"	"24444"	"0"	"24444"	"0"
"97"	"TOTAL"	"5504"	"7428"	"12087"	"606"	"200"	"346"	"368"	"3005"	"327"	"1099"	"636"	"1075"	"32681"	"0"	"32681"	"0"
"98"	"(Statutory Rules and Order)                                                      ROUND : FIFTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"104"	""	"ANIL KUMAR YADAV"	"EKRAMUL HAQUE"	"JANARDAN YADAV"	"NEELAM DEVI"	"HARI NANDAN SINGH"	"KAPIL DEO ROY"	"JAI SHANKAR PRASAD \"SNEHI\""	"DAYANAND YADAV"	"NAZAMUDDIN"	"ALMIN KHAN"	"PAPPU KUMAR SINGH"	"PARMANAND RISHIDEO"	""	""	""	""
"105"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"106"	"53"	"130"	"128"	"114"	"10"	"2"	"1"	"8"	"224"	"5"	"18"	"7"	"29"	"676"	""	"676"	""
"107"	"54"	"28"	"249"	"55"	"4"	"1"	"3"	"8"	"74"	"7"	"25"	"5"	"10"	"469"	""	"469"	""
"108"	"55"	"29"	"404"	"48"	"10"	"6"	"2"	"4"	"37"	"2"	"36"	"0"	"4"	"582"	""	"582"	""
"109"	"56"	"58"	"28"	"290"	"6"	"6"	"9"	"2"	"43"	"1"	"3"	"14"	"18"	"478"	""	"478"	""
"110"	"57"	"50"	"229"	"117"	"14"	"10"	"13"	"2"	"59"	"11"	"35"	"12"	"14"	"566"	""	"566"	""
"111"	"58"	"58"	"81"	"301"	"17"	"5"	"9"	"3"	"135"	"4"	"7"	"12"	"4"	"636"	""	"636"	""
"112"	"59"	"21"	"118"	"42"	"6"	"2"	"5"	"3"	"122"	"2"	"18"	"6"	"13"	"358"	""	"358"	""
"113"	"59A"	"24"	"59"	"154"	"4"	"3"	"8"	"3"	"48"	"5"	"12"	"11"	"13"	"344"	""	"344"	""
"114"	"60"	"202"	"102"	"48"	"4"	"5"	"5"	"11"	"311"	"16"	"30"	"17"	"53"	"804"	""	"804"	""
"115"	"61"	"332"	"20"	"80"	"1"	"5"	"6"	"10"	"98"	"7"	"3"	"13"	"28"	"603"	""	"603"	""
"116"	"62"	"213"	"13"	"129"	"8"	"8"	"4"	"8"	"45"	"7"	"14"	"16"	"26"	"491"	""	"491"	""
"117"	"63"	"85"	"34"	"329"	"14"	"3"	"3"	"3"	"41"	"3"	"6"	"10"	"10"	"541"	""	"541"	""
"118"	"64"	"101"	"274"	"128"	"14"	"7"	"2"	"1"	"38"	"5"	"12"	"4"	"2"	"588"	""	"588"	""
"119"	"65"	"191"	"94"	"112"	"5"	"3"	"7"	"2"	"39"	"1"	"37"	"31"	"47"	"569"	""	"569"	""
"120"	"Current Round Total"	"1522"	"1833"	"1947"	"117"	"66"	"77"	"68"	"1314"	"76"	"256"	"158"	"271"	"7705"	"0"	"7705"	"0"
"121"	"Previous Round Total"	"5504"	"7428"	"12087"	"606"	"200"	"346"	"368"	"3005"	"327"	"1099"	"636"	"1075"	"32681"	"0"	"32681"	"0"
"122"	"TOTAL"	"7026"	"9261"	"14034"	"723"	"266"	"423"	"436"	"4319"	"403"	"1355"	"794"	"1346"	"40386"	"0"	"40386"	"0"
"123"	"(Statutory Rules and Order)                                                      ROUND : SIXTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"129"	""	"ANIL KUMAR YADAV"	"EKRAMUL HAQUE"	"JANARDAN YADAV"	"NEELAM DEVI"	"HARI NANDAN SINGH"	"KAPIL DEO ROY"	"JAI SHANKAR PRASAD
\"SNEHI\""	"DAYANAND YADAV"	"NAZAMUDDIN"	"ALMIN KHAN"	"PAPPU KUMAR SINGH"	"PARMANAND RISHIDEO"	""	""	""	""
"130"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"131"	"66"	"369"	"19"	"107"	"7"	"2"	"5"	"10"	"74"	"4"	"1"	"18"	"30"	"646"	""	"646"	""
"132"	"67"	"68"	"93"	"255"	"10"	"5"	"9"	"9"	"45"	"9"	"16"	"18"	"25"	"562"	""	"562"	""
"133"	"68"	"67"	"240"	"107"	"16"	"1"	"4"	"8"	"8"	"9"	"12"	"9"	"14"	"495"	""	"495"	""
"134"	"69"	"51"	"29"	"340"	"12"	"4"	"7"	"6"	"15"	"5"	"3"	"4"	"14"	"490"	""	"490"	""
"135"	"70"	"34"	"199"	"371"	"18"	"6"	"8"	"12"	"15"	"3"	"21"	"16"	"18"	"721"	""	"721"	""
"136"	"71"	"72"	"81"	"461"	"19"	"4"	"6"	"2"	"63"	"4"	"7"	"1"	"13"	"733"	""	"733"	""
"137"	"72"	"16"	"143"	"166"	"12"	"2"	"3"	"8"	"102"	"3"	"11"	"7"	"13"	"486"	""	"486"	""
"138"	"72A"	"165"	"9"	"128"	"6"	"2"	"0"	"8"	"51"	"3"	"4"	"5"	"15"	"396"	""	"396"	""
"139"	"73"	"14"	"199"	"25"	"4"	"4"	"4"	"3"	"2"	"1"	"19"	"10"	"15"	"300"	""	"300"	""
"140"	"73A"	"56"	"125"	"239"	"12"	"9"	"30"	"6"	"32"	"0"	"9"	"5"	"10"	"533"	""	"533"	""
"141"	"74"	"46"	"32"	"456"	"14"	"10"	"6"	"4"	"8"	"2"	"3"	"3"	"9"	"593"	""	"593"	""
"142"	"75"	"131"	"60"	"439"	"16"	"5"	"4"	"3"	"27"	"8"	"7"	"5"	"19"	"724"	""	"724"	""
"143"	"76"	"90"	"71"	"19"	"5"	"2"	"0"	"1"	"3"	"0"	"1"	"0"	"0"	"192"	""	"192"	""
"144"	"76A"	"35"	"370"	"45"	"6"	"1"	"2"	"2"	"5"	"3"	"19"	"6"	"8"	"502"	""	"502"	""
"145"	"Current Round Total"	"1214"	"1670"	"3158"	"157"	"57"	"88"	"82"	"450"	"54"	"133"	"107"	"203"	"7373"	"0"	"7373"	"0"
"146"	"Previous Round Total"	"7026"	"9261"	"14034"	"723"	"266"	"423"	"436"	"4319"	"403"	"1355"	"794"	"1346"	"40386"	"0"	"40386"	"0"
"147"	"TOTAL"	"8240"	"10931"	"17192"	"880"	"323"	"511"	"518"	"4769"	"457"	"1488"	"901"	"1549"	"47759"	"0"	"47759"	"0"
"148"	"(Statutory Rules and Order)                                                      ROUND : SEVENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"154"	""	"ANIL KUMAR YADAV"	"EKRAMUL HAQUE"	"JANARDAN YADAV"	"NEELAM DEVI"	"HARI NANDAN SINGH"	"KAPIL DEO ROY"	"JAI SHANKAR PRASAD
\"SNEHI\""	"DAYANAND YADAV"	"NAZAMUDDIN"	"ALMIN KHAN"	"PAPPU KUMAR SINGH"	"PARMANAND RISHIDEO"	""	""	""	""
"155"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"156"	"77"	"151"	"226"	"94"	"7"	"3"	"0"	"4"	"39"	"0"	"12"	"6"	"9"	"551"	""	"551"	""
"157"	"78"	"16"	"343"	"7"	"2"	"0"	"4"	"2"	"15"	"0"	"15"	"10"	"5"	"419"	""	"419"	""
"158"	"79"	"73"	"243"	"67"	"6"	"1"	"2"	"7"	"95"	"4"	"26"	"16"	"33"	"573"	""	"573"	""
"159"	"80"	"173"	"12"	"74"	"7"	"0"	"3"	"1"	"75"	"8"	"8"	"11"	"39"	"411"	""	"411"	""
"160"	"81"	"182"	"166"	"37"	"2"	"4"	"3"	"2"	"80"	"11"	"12"	"13"	"14"	"526"	""	"526"	""
"161"	"82"	"211"	"45"	"123"	"6"	"3"	"5"	"2"	"235"	"6"	"13"	"12"	"17"	"678"	""	"678"	""
"162"	"83"	"45"	"85"	"137"	"10"	"2"	"8"	"13"	"146"	"7"	"19"	"11"	"23"	"506"	""	"506"	""
"163"	"84"	"40"	"21"	"198"	"10"	"6"	"7"	"10"	"231"	"10"	"6"	"5"	"18"	"562"	""	"562"	""
"164"	"85"	"39"	"34"	"184"	"11"	"7"	"137"	"22"	"58"	"12"	"11"	"22"	"39"	"576"	""	"576"	""
"165"	"86"	"57"	"23"	"409"	"26"	"17"	"45"	"12"	"54"	"8"	"7"	"18"	"9"	"685"	""	"685"	""
"166"	"87"	"126"	"62"	"243"	"14"	"2"	"9"	"12"	"37"	"5"	"14"	"10"	"27"	"561"	""	"561"	""
"167"	"88"	"220"	"67"	"56"	"5"	"1"	"10"	"11"	"141"	"11"	"6"	"15"	"29"	"572"	""	"572"	""
"168"	"89"	"149"	"218"	"33"	"10"	"4"	"4"	"10"	"48"	"4"	"13"	"7"	"12"	"512"	""	"512"	""
"169"	"90"	"205"	"15"	"246"	"4"	"10"	"4"	"0"	"11"	"4"	"7"	"10"	"13"	"529"	""	"529"	""
"170"	"Current Round Total"	"1687"	"1560"	"1908"	"120"	"60"	"241"	"108"	"1265"	"90"	"169"	"166"	"287"	"7661"	"0"	"7661"	"0"
"171"	"Previous Round Total"	"8240"	"10931"	"17192"	"880"	"323"	"511"	"518"	"4769"	"457"	"1488"	"901"	"1549"	"47759"	"0"	"47759"	"0"
"172"	"TOTAL"	"9927"	"12491"	"19100"	"1000"	"383"	"752"	"626"	"6034"	"547"	"1657"	"1067"	"1836"	"55420"	"0"	"55420"	"0"
"173"	"(Statutory Rules and Order)                                                      ROUND : EIGHTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"179"	""	"ANIL KUMAR YADAV"	"EKRAMUL HAQUE"	"JANARDAN YADAV"	"NEELAM DEVI"	"HARI NANDAN SINGH"	"KAPIL DEO ROY"	"JAI SHANKAR PRASAD
\"SNEHI\""	"DAYANAND YADAV"	"NAZAMUDDIN"	"ALMIN KHAN"	"PAPPU KUMAR SINGH"	"PARMANAND RISHIDEO"	""	""	""	""
