"Total.No..of.Electors.in.Assembly.Consitituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"71"	"39"	"izkFkfed fo|ky;] nfg;kaok Vksyk"	"93"	"16"	"187"	"12"	"4"	"0"	"0"	"2"	"1"	"4"	"0"	"1"	"9"	"4"	"16"	"349"	"349"
"72"	"39 A"	"izk0fo0nfg;kok Vksyk"	"43"	"8"	"102"	"49"	"3"	"1"	"2"	"1"	"1"	"1"	"2"	"8"	"9"	"4"	"4"	"238"	"238"
"73"	"40"	"Hk`xqukFk cky fodkl fo0 nfg;kaok Vksyk m0Hkkx"	"106"	"8"	"304"	"11"	"2"	"2"	"2"	"4"	"0"	"1"	"0"	"1"	"10"	"1"	"4"	"456"	"456"
"74"	"41"	"izk0fo0Nijk dpgjh jsyos VªSfQd dksyksuh"	"78"	"8"	"96"	"17"	"1"	"3"	"0"	"2"	"2"	"2"	"0"	"2"	"1"	"3"	"3"	"218"	"218"
"75"	"42"	"iqjkuk iqfyl ykbZu Dyc lyseiqj m0Hkkx"	"133"	"6"	"275"	"26"	"0"	"4"	"1"	"3"	"0"	"0"	"3"	"3"	"9"	"4"	"20"	"487"	"487"
"76"	"43"	"iqjkuk iqfyl ykbZu Dyc lyseiqj n0Hkkx"	"115"	"4"	"290"	"1"	"0"	"2"	"0"	"6"	"0"	"1"	"0"	"3"	"9"	"4"	"5"	"440"	"440"
"77"	"44"	"xaxk flag egkfo|ky;] lyseiqj iq0 Hkkx"	"57"	"1"	"202"	"25"	"0"	"3"	"0"	"4"	"1"	"2"	"2"	"3"	"5"	"5"	"4"	"314"	"314"
"78"	"44 A"	"xaxk flag egkfo|ky;] lyseiqj iqq0 Hkkx"	"103"	"3"	"132"	"4"	"1"	"1"	"2"	"1"	"0"	"0"	"2"	"0"	"7"	"3"	"12"	"271"	"271"
"79"	"45"	"xaxk flag egkfo|ky;] lyseiqj i0 Hkkx"	"72"	"3"	"275"	"10"	"0"	"0"	"2"	"3"	"1"	"1"	"3"	"2"	"8"	"4"	"6"	"390"	"390"
"80"	"46"	"Hkjr feJ laLd`r e0fo0 lkgscxat"	"129"	"4"	"325"	"10"	"1"	"1"	"2"	"3"	"1"	"3"	"2"	"3"	"4"	"0"	"10"	"498"	"498"
"81"	"47"	"feJh yky vk;Z dU;k m0fo0 lkgscxat"	"85"	"4"	"354"	"14"	"0"	"2"	"2"	"2"	"0"	"1"	"2"	"2"	"12"	"9"	"26"	"515"	"515"
"82"	"48"	"xaxk nsoh e0fo0 lkgscxat"	"142"	"9"	"407"	"31"	"4"	"2"	"1"	"4"	"0"	"6"	"3"	"3"	"14"	"7"	"15"	"648"	"648"
"83"	"Total"	""	"1328"	"88"	"3269"	"260"	"17"	"22"	"16"	"39"	"12"	"24"	"20"	"32"	"108"	"56"	"145"	"5436"	"5436"
"84"	"B.F"	""	"7467"	"283"	"7666"	"687"	"78"	"60"	"59"	"124"	"61"	"95"	"70"	"115"	"324"	"156"	"735"	"17980"	"17980"
"85"	"G.Total"	""	"8795"	"371"	"10935"	"947"	"95"	"82"	"75"	"163"	"73"	"119"	"90"	"147"	"432"	"212"	"880"	"23416"	"23416"
"86"	"Booth No."	"Name of Booth"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"Total"
"87"	""	""	"Udit Rai"	"Jitendra Kumar Singh"	"Ram Pravesh Ray"	"Ram Babu Ray"	"Ajay Singh"	"Pradeep Kumar"	"Braj Nandan Kishore Besra"	"Bishan Rai"	"Raghuba nsh Prasad Singh"	"Raj Narayan Gupta"	"Laxman Rai"	"Brajesh Kumar"	"Sankar Choubey"	"Satish Kumar"	"Subhsh Rai"	""	""
"88"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"89"	"49"	"Mh-,-Hkh- e/; fo0 lkgscxat] m0Hkkx"	"185"	"14"	"326"	"11"	"1"	"1"	"3"	"2"	"2"	"4"	"4"	"3"	"13"	"7"	"21"	"597"	"597"
"90"	"50"	",u-lh-lh-dk;kZy;] nfg;kaok m0 Hkkx"	"189"	"6"	"264"	"12"	"3"	"3"	"0"	"6"	"1"	"1"	"1"	"0"	"11"	"4"	"10"	"511"	"511"
"91"	"51"	"pUnznhi e0fo0nfg;kaok i0 Hkkx"	"34"	"10"	"209"	"5"	"3"	"1"	"3"	"1"	"1"	"2"	"2"	"0"	"7"	"1"	"14"	"293"	"293"
"92"	"51 A"	"pUnznhi e0fo0nfg;kaok i0 Hkkx"	"76"	"2"	"205"	"16"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"4"	"3"	"8"	"319"	"319"
"93"	"52"	"pUnznhi e0fo0nfg;kaok iw0 Hkkx"	"73"	"9"	"219"	"47"	"5"	"0"	"0"	"7"	"0"	"1"	"0"	"2"	"10"	"2"	"5"	"380"	"380"
"94"	"53"	"fo'os'koj lseujh m0Hkkx"	"127"	"3"	"302"	"7"	"1"	"1"	"0"	"1"	"5"	"2"	"2"	"3"	"7"	"5"	"23"	"489"	"489"
"95"	"54"	"fo'os'koj lseujh n0Hkkx"	"142"	"12"	"290"	"9"	"1"	"0"	"1"	"3"	"0"	"1"	"1"	"1"	"11"	"2"	"0"	"474"	"474"
"96"	"55"	"lkj.k ,dsMeh m0fo0nfg;kaok Vksyk"	"139"	"4"	"265"	"15"	"0"	"3"	"3"	"1"	"0"	"1"	"2"	"4"	"4"	"2"	"6"	"449"	"449"
"97"	"56"	"nk:y cukr enjlk nfg;kaok ds if'pe ds m0Hkkx"	"245"	"4"	"139"	"16"	"1"	"2"	"0"	"3"	"0"	"2"	"4"	"0"	"4"	"8"	"88"	"516"	"516"
"98"	"57"	"nk:y cukr enjlk nfg;kaok ds if'pe ds n0Hkkx"	"221"	"6"	"72"	"26"	"0"	"2"	"0"	"3"	"0"	"1"	"3"	"2"	"5"	"1"	"37"	"379"	"379"
"99"	"58"	"usg: ;qok dsUnz nfg;kaok"	"65"	"5"	"118"	"4"	"1"	"5"	"1"	"3"	"0"	"0"	"0"	"1"	"5"	"1"	"38"	"247"	"247"
"100"	"59"	"eki rkSy fujh{kd dk;kZy;] nfg;kaok"	"30"	"3"	"242"	"12"	"2"	"2"	"4"	"4"	"1"	"4"	"2"	"2"	"15"	"6"	"28"	"357"	"357"
"101"	"59 A"	"eki rkSy fujh{kd dk;kZy;] nfg;kaok"	"52"	"4"	"163"	"7"	"0"	"0"	"2"	"2"	"2"	"3"	"0"	"1"	"5"	"1"	"9"	"251"	"251"
"102"	"60"	"egssUnz e0fo0 nfg;kaok"	"162"	"4"	"388"	"14"	"2"	"0"	"0"	"3"	"0"	"0"	"2"	"0"	"9"	"1"	"19"	"604"	"604"
"103"	"Total"	""	"1740"	"86"	"3202"	"201"	"21"	"20"	"17"	"40"	"13"	"22"	"23"	"21"	"110"	"44"	"306"	"5866"	"5866"
"104"	"B.F."	""	"8795"	"371"	"10935"	"947"	"95"	"82"	"75"	"163"	"73"	"119"	"90"	"147"	"432"	"212"	"880"	"23416"	"23416"
"105"	"G.Total"	""	"10535"	"457"	"14137"	"1148"	"116"	"102"	"92"	"203"	"86"	"141"	"113"	"168"	"542"	"256"	"1186"	"29282"	"29282"
"106"	"Booth No."	"Name of Booth"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"Total"
"107"	""	""	"Udit Rai"	"Jitendra Kumar Singh"	"Ram Pravesh Ray"	"Ram Babu Ray"	"Ajay Singh"	"Pradeep Kumar"	"Braj Nandan Kishore Besra"	"Bishan Rai"	"Raghuba nsh Prasad Singh"	"Raj Narayan Gupta"	"Laxman Rai"	"Brajesh Kumar"	"Sankar Choubey"	"Satish Kumar"	"Subhsh Rai"	""	""
"108"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"109"	"61"	"vEcsndj VªLV ifjlj] ubZ cktkj"	"61"	"4"	"143"	"35"	"1"	"1"	"0"	"0"	"1"	"2"	"0"	"1"	"2"	"3"	"11"	"265"	"265"
"110"	"61 A"	"vEcsndj VªLV ifjlj] ubZ cktkj"	"51"	"1"	"152"	"21"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"5"	"235"	"235"
"111"	"62"	"jk0 m0fo0 iwohZ Hkkx ¼dejk ua0 9½"	"152"	"5"	"148"	"43"	"1"	"2"	"0"	"1"	"1"	"3"	"0"	"1"	"0"	"1"	"7"	"365"	"365"
"112"	"63"	"tukuh Lirky]Nijk¼lqyHk bUVjus'kuy deIysDl½"	"128"	"5"	"203"	"18"	"0"	"1"	"0"	"2"	"0"	"0"	"1"	"0"	"3"	"2"	"18"	"381"	"381"
"113"	"64"	"i'kq fodkl ink0xgu xks0 fodkl cgqjh;k dksBh"	"153"	"0"	"27"	"19"	"0"	"2"	"0"	"1"	"1"	"1"	"0"	"1"	"2"	"0"	"2"	"209"	"209"
"114"	"65"	"jk0 m0fo0 ¼dejk ua0 7½"	"178"	"7"	"88"	"42"	"0"	"0"	"1"	"4"	"1"	"1"	"0"	"1"	"3"	"3"	"5"	"334"	"334"
"115"	"66"	"tudk ;kno ckfydk m0fo0dVjk"	"53"	"7"	"251"	"12"	"1"	"1"	"0"	"4"	"1"	"2"	"2"	"2"	"10"	"6"	"6"	"358"	"358"
"116"	"67"	"'kadj n;ky flag egkfo|ky; dVjk"	"106"	"8"	"237"	"30"	"0"	"3"	"3"	"5"	"2"	"0"	"1"	"2"	"10"	"4"	"8"	"419"	"419"
"117"	"68"	"e0fo0f'kocktkj] m0Hkkx"	"75"	"4"	"128"	"22"	"0"	"0"	"0"	"3"	"0"	"0"	"1"	"1"	"2"	"1"	"7"	"244"	"244"
"118"	"69"	"vkj0bZ0vks0lfdZy dk;kZy;] N=/kkjh cktkj"	"83"	"0"	"132"	"17"	"1"	"1"	"0"	"3"	"0"	"1"	"1"	"2"	"3"	"1"	"1"	"246"	"246"
"119"	"69 A"	"vkj0bZ0vks0lfdZy dk;kZy;] N=/kkjh cktkj"	"41"	"3"	"163"	"26"	"2"	"1"	"2"	"1"	"1"	"1"	"2"	"2"	"8"	"1"	"5"	"259"	"259"
"120"	"70"	"e0fo0f'kocktkj] n0Hkkx"	"72"	"8"	"205"	"4"	"2"	"1"	"0"	"1"	"1"	"1"	"0"	"2"	"3"	"0"	"8"	"308"	"308"
"121"	"71"	"vkn'kZ e0fo0jruiqjk m0Hkkx"	"96"	"4"	"231"	"17"	"1"	"2"	"1"	"4"	"2"	"1"	"2"	"2"	"8"	"2"	"1"	"374"	"374"
"122"	"72"	"vkn'kZ e0fo0jruiqjk n0Hkkx"	"101"	"28"	"291"	"4"	"1"	"1"	"0"	"5"	"2"	"1"	"1"	"0"	"6"	"1"	"6"	"448"	"448"
"123"	"Total"	""	"1350"	"84"	"2399"	"310"	"11"	"17"	"7"	"35"	"13"	"14"	"11"	"18"	"61"	"25"	"90"	"4445"	"4445"
"124"	"B.F."	""	"10535"	"457"	"14137"	"1148"	"116"	"102"	"92"	"203"	"86"	"141"	"113"	"168"	"542"	"256"	"1186"	"29282"	"29282"
"125"	"G.Total"	""	"11885"	"541"	"16536"	"1458"	"127"	"119"	"99"	"238"	"99"	"155"	"124"	"186"	"603"	"281"	"1276"	"33727"	"33727"
"126"	"Booth No."	"Name of Booth"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"Total"
"127"	""	""	"Udit Rai"	"Jitendra Kumar Singh"	"Ram Pravesh Ray"	"Ram Babu Ray"	"Ajay Singh"	"Pradeep Kumar"	"Braj Nandan Kishore Besra"	"Bishan Rai"	"Raghuba nsh Prasad Singh"	"Raj Narayan Gupta"	"Laxman Rai"	"Brajesh Kumar"	"Sankar Choubey"	"Satish Kumar"	"Subhsh Rai"	""	""
"128"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"129"	"73"	"jk0izkFkfed fo0jsyos tD'ku i0Hkkx"	"82"	"4"	"170"	"20"	"0"	"2"	"0"	"3"	"3"	"5"	"2"	"2"	"6"	"4"	"12"	"315"	"315"
"130"	"74"	"mnwZ izk0fo0xM+gh rhj"	"56"	"0"	"186"	"21"	"2"	"0"	"0"	"1"	"1"	"0"	"1"	"3"	"3"	"2"	"4"	"280"	"280"
"131"	"75"	"jk0laLd`r fo0 jruiqjk n0Hkkx"	"48"	"2"	"75"	"32"	"0"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"5"	"3"	"5"	"174"	"174"
"132"	"76"	"d0izk0fo0 jruiqjk"	"82"	"7"	"339"	"12"	"3"	"2"	"3"	"4"	"1"	"1"	"0"	"1"	"7"	"1"	"7"	"470"	"470"
"133"	"77"	"jk0laLd`r fo0 jruiqjk"	"172"	"13"	"195"	"82"	"4"	"2"	"1"	"5"	"4"	"3"	"3"	"14"	"7"	"13"	"19"	"537"	"537"
"134"	"78"	"jk0izkFkfed fo0jsyos tD'ku iw0Hkkx"	"105"	"2"	"111"	"54"	"4"	"2"	"0"	"0"	"1"	"0"	"0"	"1"	"8"	"3"	"11"	"302"	"302"
