"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"(CHAPTER XIV, PARA 25.9 FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 33-ARRAH PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly Election"	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"sembly Constituency/Segment                                                227264"	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Assembly/Segment                                                             199-Shahpur"	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Parliamentary Constituency) 275AB"	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	""	"DHARMPAL SINGH"	"MUNNI DEVI"	"RAM
BHARAN SAXENA"	"SHIVANAND TIWARY"	"DADAN SINGH"	"RAMAKANT THAKUR"	"KALIKA SINGH"	"DR.
GAUTAM OJHA"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"40"	"21"	"GOUTAM HIGH SCHOOL KHUTHA(NORTH PART)"	"6"	"148"	"6"	"136"	"8"	"5"	"1"	"9"	"319"	"0"	"319"	"0"
"41"	"22"	"GOTAM HIGH SCHOOL KHUTHA(SOUTH PART)"	"7"	"163"	"7"	"106"	"6"	"2"	"2"	"1"	"294"	"0"	"294"	"0"
"42"	"23"	"PRIMARY SCHOOL DALAN CHEPRA"	"47"	"327"	"0"	"43"	"0"	"0"	"0"	"2"	"419"	"0"	"419"	"0"
"43"	"24"	"PRIMARY SCHOOL BHAHUDRI(NORTH PART)"	"63"	"254"	"6"	"85"	"17"	"2"	"8"	"20"	"455"	"0"	"455"	"0"
"44"	"25"	"PRIMARY SCHOOL BAHODRI(SOUTH PART)"	"60"	"220"	"23"	"34"	"3"	"3"	"5"	"16"	"364"	"0"	"364"	"0"
"45"	"26"	"PRIMARY SCHOOL BAHODRI (EAST PART)"	"46"	"122"	"13"	"144"	"11"	"10"	"9"	"15"	"370"	"0"	"370"	"0"
"46"	"27"	"SAMUDHAY BHAWAN MAHUAR"	"21"	"99"	"5"	"125"	"18"	"9"	"8"	"17"	"302"	"0"	"302"	"0"
"47"	"28"	"NAYA SAMUDAYIK BHAWAN MAHUAR"	"18"	"66"	"3"	"77"	"22"	"0"	"1"	"2"	"189"	"0"	"189"	"0"
"48"	"29"	"PRIMARY SCHOOL RAMDATAHI (NORTH PART)"	"130"	"216"	"13"	"130"	"33"	"5"	"5"	"13"	"545"	"0"	"545"	"0"
"49"	"30"	"PRIMARY SCHOOL RAMDATAHI(SOUTH PART)"	"18"	"114"	"9"	"53"	"21"	"12"	"7"	"3"	"237"	"0"	"237"	"0"
"50"	"31"	"PANCHAYATI BHAWAN SARNA"	"36"	"118"	"2"	"117"	"8"	"3"	"4"	"6"	"294"	"0"	"294"	"0"
"51"	"31A"	"PANCHAYATI BHAWAN SARNA (MOBILE)"	"20"	"119"	"0"	"32"	"2"	"0"	"1"	"3"	"177"	"0"	"177"	"0"
"52"	"32"	"MIDDLE SCHOOL SARNA (EAST PART)"	"66"	"220"	"4"	"188"	"4"	"1"	"0"	"7"	"490"	"0"	"490"	"0"
"53"	"33"	"MIDDLE SCHOOL SARNA (WEST PART)"	"36"	"195"	"14"	"252"	"12"	"8"	"5"	"15"	"537"	"0"	"537"	"0"
"54"	"34"	"PRIMARY SCHOOL TEKKATI"	"230"	"125"	"6"	"60"	"4"	"3"	"4"	"8"	"440"	"0"	"440"	"0"
"55"	"35"	"MIDDLE SCHOOL MAHRJA"	"109"	"246"	"3"	"48"	"0"	"2"	"0"	"2"	"410"	"0"	"410"	"0"
"56"	"36"	"HIGH SCHOOL BHAROULI(EAST PART)"	"25"	"109"	"4"	"284"	"9"	"5"	"6"	"13"	"455"	"0"	"455"	"0"
"57"	"37"	"HIGH SCHOOL BHAROULI(WEST PART)"	"35"	"143"	"32"	"163"	"10"	"7"	"6"	"21"	"417"	"0"	"417"	"0"
"58"	"38"	"MIDDLE SCHOOL BHAROULI"	"34"	"139"	"14"	"228"	"15"	"2"	"3"	"16"	"451"	"0"	"451"	"0"
"59"	"39"	"PRIMARY SCHOOL SHAJOOLI"	"136"	"99"	"24"	"158"	"9"	"6"	"7"	"32"	"471"	"0"	"471"	"0"
"60"	"40"	"PRIMARY SCHOOL LELARI"	"56"	"297"	"4"	"56"	"0"	"2"	"1"	"1"	"417"	"0"	"417"	"0"
"61"	"41"	"PRIMARY SCHOOL GOPALPUR (NORTH PART),RATANPURA"	"197"	"73"	"2"	"46"	"4"	"1"	"3"	"7"	"333"	"0"	"333"	"0"
"62"	"42"	"HIGH SCHOOL SAHJOULI"	"30"	"285"	"1"	"103"	"6"	"7"	"1"	"0"	"433"	"0"	"433"	"0"
"63"	"43"	"MIDDLE SCHOOL SAHJOULI(SOUTH PART)"	"20"	"158"	"11"	"92"	"5"	"60"	"4"	"4"	"354"	"0"	"354"	"0"
"64"	"44"	"PRIMARY SCHOOL MISHRAWALIYA"	"54"	"145"	"1"	"85"	"4"	"1"	"1"	"3"	"294"	"0"	"294"	"0"
"65"	"45"	"PRIMARY GIRLS SCHOOL DUMARIYAN"	"150"	"158"	"7"	"129"	"10"	"5"	"8"	"18"	"485"	"0"	"485"	"0"
"66"	"46"	"PRIMARY SCHOOL HORIL CHHAPRA(NORTH PART)"	"54"	"47"	"3"	"190"	"0"	"0"	"0"	"7"	"301"	"0"	"301"	"0"
"67"	"47"	"PRIMARY SCHOOL HORIL CHHAPRA(SOUTH PART)"	"72"	"21"	"9"	"166"	"10"	"5"	"6"	"24"	"313"	"0"	"313"	"0"
"68"	"48"	"PANCHAYT BHAWAN SUHIAYA"	"71"	"51"	"0"	"5"	"5"	"0"	"1"	"2"	"135"	"0"	"135"	"0"
"69"	"48A"	"CAMPUS OF PANCHAYT BHAWAN SUHIAYA (MOBILE)"	"125"	"111"	"8"	"40"	"26"	"5"	"4"	"8"	"327"	"0"	"327"	"0"
"70"	"49"	"PRIMARY SCHOOL SONKI"	"20"	"197"	"3"	"54"	"9"	"6"	"1"	"1"	"291"	"0"	"291"	"0"
"71"	"Serial No. of Polling Station"	""	"DHARMPAL SINGH"	"MUNNI DEVI"	"RAM BHARAN
SAXENA"	"SHIVANAND TIWARY"	"DADAN SINGH"	"RAMAKANT THAKUR"	"KALIKA SINGH"	"DR. GAUTAM
OJHA"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"72"	""	""	"LJSP"	"BJP"	"BSP"	"RJD"	"AJVD"	"SP"	"IND"	"IND"	""	""	""	""
"73"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"74"	"50"	"MIDDLE SCHOOL SUHIYA"	"5"	"25"	"2"	"108"	"52"	"4"	"3"	"3"	"202"	"0"	"202"	"0"
"75"	"50A"	"MIDDLE SCHOOL SUHIYA(S)"	"3"	"50"	"2"	"47"	"60"	"1"	"1"	"12"	"176"	"0"	"176"	"0"
"76"	"51"	"PRIMARY SCHOOL SOHIYA"	"27"	"46"	"6"	"70"	"181"	"8"	"7"	"11"	"356"	"0"	"356"	"0"
"77"	"52"	"MIDDLE SCHOOL JAWINIYA (EAST PART)"	"36"	"211"	"9"	"56"	"3"	"2"	"5"	"9"	"331"	"0"	"331"	"0"
"78"	"53"	"MIDDLE SCHOOL JAWINIYA (WEST PART)"	"21"	"245"	"12"	"98"	"16"	"9"	"6"	"23"	"430"	"0"	"430"	"0"
"79"	"54"	"PRIMARY SCHOOL DAMODARPUR (OLD)"	"100"	"229"	"7"	"59"	"4"	"11"	"6"	"6"	"422"	"0"	"422"	"0"
"80"	"54A"	"PRIMARY SCHOOL DAMODARPUR (OLD) (BARAMADA)"	"35"	"155"	"4"	"75"	"6"	"7"	"4"	"5"	"291"	"0"	"291"	"0"
"81"	"55"	"PRIMARY SCHOOL DAMODARPUR(NAVIN)"	"240"	"17"	"16"	"140"	"5"	"4"	"3"	"19"	"444"	"0"	"444"	"0"
"82"	"55A"	"PRIMARY SCHOOL DAMODARPUR(NAVIN)(S)"	"37"	"11"	"5"	"218"	"13"	"5"	"3"	"1"	"293"	"0"	"293"	"0"
"83"	"56"	"PANCHYAT BHAWAN DAMODARPUR"	"107"	"24"	"6"	"162"	"8"	"4"	"4"	"9"	"324"	"0"	"324"	"0"
"84"	"57"	"PRIMARY SCHOOL HIRKHI PIPRA"	"65"	"49"	"4"	"153"	"20"	"14"	"5"	"14"	"324"	"0"	"324"	"0"
"85"	"58"	"PANCHYAT BHAWAN KHAGARHA"	"47"	"204"	"10"	"44"	"6"	"3"	"6"	"5"	"325"	"0"	"325"	"0"
"86"	"59"	"PRIMARY SCHOOL GOVINDPUR"	"72"	"144"	"4"	"168"	"14"	"12"	"5"	"14"	"433"	"0"	"433"	"0"
"87"	"60"	"PRIMARY SCHOOL CHAMERPUR"	"93"	"112"	"2"	"66"	"2"	"1"	"1"	"0"	"277"	"0"	"277"	"0"
"88"	"61"	"MIDDLE SCHOOL BHAORANPUR(EAST PART),DHAMWAL"	"89"	"195"	"5"	"102"	"11"	"4"	"11"	"12"	"429"	"0"	"429"	"0"
"89"	"62"	"MIDDLE SCHOOL BAHORANPUR(WEST PART)"	"6"	"57"	"2"	"126"	"2"	"4"	"2"	"2"	"201"	"0"	"201"	"0"
"90"	"63"	"MIDDLE SCHOOL SAMARIYPATE (NORTH PART)"	"34"	"195"	"9"	"174"	"2"	"3"	"2"	"6"	"425"	"0"	"425"	"0"
"91"	"64"	"MIDDLE SCHOOL SAMARIYAPATE NAENEARMT BHAWAN"	"50"	"147"	"7"	"95"	"2"	"3"	"2"	"4"	"310"	"0"	"310"	"0"
"92"	"65"	"MIDDLE SCHOOL SAMARYPATE(SOUTH PART)"	"78"	"249"	"5"	"76"	"2"	"3"	"3"	"3"	"419"	"0"	"419"	"0"
"93"	"66"	"PRIMARY SCHOOL GHOSAIPUR"	"75"	"266"	"3"	"70"	"0"	"3"	"5"	"10"	"432"	"0"	"432"	"0"
"94"	"67"	"PRIMARY SCHOOL BARISWAN(NORTH PART)"	"238"	"102"	"20"	"43"	"7"	"31"	"6"	"36"	"483"	"0"	"483"	"0"
"95"	"68"	"PRIMARY SCHOOL BARISWAN (SOUTHERN PART)"	"80"	"135"	"0"	"200"	"4"	"16"	"0"	"5"	"440"	"0"	"440"	"0"
"96"	"69"	"MIDDLE SCHOOL BARISWAN"	"41"	"223"	"3"	"83"	"4"	"10"	"1"	"1"	"366"	"0"	"366"	"0"
"97"	"70"	"HIGH SCHOOL BARISAWAN(EAST PART)"	"81"	"285"	"3"	"107"	"1"	"6"	"3"	"8"	"494"	"0"	"494"	"0"
"98"	"71"	"HIGH SCHOOL BARISAWAN (WEST PART)"	"12"	"230"	"3"	"77"	"1"	"7"	"0"	"0"	"330"	"0"	"330"	"0"
"99"	"71A"	"HIGH SCHOOL BARISAWAN (NORTH PART)"	"32"	"107"	"6"	"49"	"1"	"20"	"5"	"3"	"223"	"0"	"223"	"0"
"100"	"72"	"PRIMARY SCHOOL BEMARI (NORTH PART)"	"123"	"164"	"3"	"109"	"3"	"3"	"1"	"9"	"415"	"0"	"415"	"0"
"101"	"73"	"PRIMARY SCHOOL BIMARE(SOUTH PART)"	"22"	"8"	"4"	"152"	"8"	"5"	"1"	"11"	"211"	"0"	"211"	"0"
"102"	"74"	"PRIMARY SCHOOL GARIYA"	"127"	"150"	"5"	"119"	"8"	"0"	"2"	"11"	"422"	"0"	"422"	"0"
"103"	"75"	"PRIMARY SCHOOL HAHRIHARPUR"	"55"	"48"	"3"	"396"	"11"	"9"	"3"	"13"	"538"	"0"	"538"	"0"
"104"	"76"	"PRIMARY SCHOOL CHANDA"	"239"	"27"	"2"	"40"	"1"	"3"	"0"	"1"	"313"	"0"	"313"	"0"
"105"	"77"	"SAMUDAYIK BHAWAN CHANDA"	"84"	"72"	"7"	"60"	"2"	"4"	"2"	"6"	"237"	"0"	"237"	"0"
"106"	"78"	"PRIMARY SCHOOL PRUSOTAMPUR"	"28"	"105"	"1"	"173"	"21"	"10"	"3"	"16"	"357"	"0"	"357"	"0"
"107"	"79"	"PRIMARY SCHOOL SHARANGPUR"	"4"	"25"	"1"	"397"	"1"	"4"	"0"	"0"	"432"	"0"	"432"	"0"
"108"	"80"	"PRIMARY SCHOOL LACHHU TOLA (NORTH PART)"	"9"	"9"	"6"	"223"	"81"	"1"	"1"	"4"	"334"	"0"	"334"	"0"
"109"	"81"	"PRIMARY SCHOOL LACHUTOLA(SOUTH PART)"	"6"	"1"	"3"	"163"	"61"	"4"	"3"	"5"	"246"	"0"	"246"	"0"
"110"	"Serial No. of Polling Station"	""	"DHARMPAL SINGH"	"MUNNI DEVI"	"RAM BHARAN
SAXENA"	"SHIVANAND TIWARY"	"DADAN SINGH"	"RAMAKANT THAKUR"	"KALIKA SINGH"	"DR. GAUTAM
OJHA"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"111"	""	""	"LJSP"	"BJP"	"BSP"	"RJD"	"AJVD"	"SP"	"IND"	"IND"	""	""	""	""
"112"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"113"	"82"	"MUNINATH ROY KA DERA(NORTH PART)"	"58"	"497"	"4"	"42"	"4"	"6"	"10"	"7"	"628"	"0"	"628"	"0"
"114"	"83"	"MUNINATH RAY KA DERA (SOUTH PART)"	"12"	"332"	"2"	"37"	"1"	"8"	"1"	"0"	"393"	"0"	"393"	"0"
"115"	"84"	"PRIMARY SCHOOL NARGADA"	"104"	"114"	"6"	"109"	"2"	"7"	"2"	"12"	"356"	"0"	"356"	"0"
"116"	"85"	"HIGH SCHOOL BILOTI (EAST PART)"	"14"	"399"	"6"	"137"	"1"	"2"	"1"	"5"	"565"	"0"	"565"	"0"
"117"	"86"	"HIHG SCHOOL BELOTI(WEST PART)"	"54"	"229"	"11"	"230"	"6"	"2"	"4"	"8"	"544"	"0"	"544"	"0"
"118"	"87"	"MIDDLE SCHOOL BILAUTI"	"182"	"150"	"6"	"79"	"6"	"7"	"2"	"19"	"451"	"0"	"451"	"0"
"119"	"87A"	"MIDDLE SCHOOL BILAUTI(W)"	"49"	"80"	"7"	"83"	"2"	"3"	"9"	"14"	"247"	"0"	"247"	"0"
"120"	"88"	"PRIMARY SCHOOL RANDADIH"	"108"	"12"	"2"	"315"	"17"	"1"	"0"	"0"	"455"	"0"	"455"	"0"
"121"	"89"	"HIGH SCHOOL SHAPUR (EAST PART)"	"209"	"161"	"27"	"280"	"14"	"1"	"6"	"18"	"716"	"0"	"716"	"0"
"122"	"90"	"HIHG SCHOOL SHAPUR (WEST PART)"	"42"	"270"	"6"	"168"	"14"	"2"	"4"	"6"	"512"	"0"	"512"	"0"
"123"	"91"	"PRIMARY SCHOOL SHAPUR (NORTH PART)"	"16"	"317"	"9"	"76"	"2"	"1"	"7"	"7"	"435"	"0"	"435"	"0"
"124"	"92"	"MIDDLE SCHOOL SHAPUR (SOUTH PART)"	"104"	"252"	"7"	"72"	"8"	"4"	"0"	"1"	"448"	"0"	"448"	"0"
"125"	"93"	"SHAKARITA GODAM PARKHAND KARYALYA (EAST PART)"	"129"	"198"	"8"	"144"	"5"	"2"	"9"	"16"	"511"	"0"	"511"	"0"
"126"	"94"	"SHAKARITA GODAM PARKHAND KARYALA (WEST PART)"	"154"	"235"	"10"	"217"	"11"	"4"	"3"	"19"	"653"	"0"	"653"	"0"
"127"	"95"	"TRISAM TRAINING CENTRE SHAPUR PARKHAD KE  PRAGREN ME"	"134"	"194"	"14"	"142"	"14"	"9"	"9"	"13"	"529"	"0"	"529"	"0"
"128"	"96"	"PRIMARY SCHOOL GOPALPUR  RATANPUR (SOUTH PART)"	"66"	"183"	"6"	"150"	"8"	"3"	"1"	"9"	"426"	"0"	"426"	"0"
"129"	"97"	"PRIMARY SCHOOL SHAJOLI (EAST PART)"	"45"	"164"	"5"	"28"	"2"	"0"	"6"	"14"	"264"	"0"	"264"	"0"
"130"	"98"	"PRIMARY SCHOOL SHAJOLI (WEST PART)"	"23"	"5"	"1"	"151"	"126"	"9"	"6"	"9"	"330"	"0"	"330"	"0"
"131"	"99"	"PRIMARY SCHOOL GAUDARH"	"70"	"192"	"50"	"43"	"2"	"1"	"2"	"5"	"365"	"0"	"365"	"0"
"132"	"99A"	"PRIMARY SCHOOL GAUDARH(W)"	"19"	"153"	"2"	"39"	"0"	"0"	"0"	"0"	"213"	"0"	"213"	"0"
"133"	"100"	"MIDDLE SCHOOL RUDRANAGAR (NORTH PART)"	"103"	"79"	"12"	"162"	"12"	"6"	"6"	"19"	"399"	"0"	"399"	"0"
"134"	"101"	"MIDDLE SCHOOL RUDRANAGAR (SOUTH PART)"	"286"	"63"	"51"	"72"	"2"	"2"	"0"	"11"	"487"	"0"	"487"	"0"
"135"	"102"	"PRIMARY SCHOOL BANAHI"	"80"	"165"	"2"	"116"	"7"	"1"	"4"	"4"	"379"	"0"	"379"	"0"
"136"	"103"	"PRIMARY SCHOOL BIRPUR (EAST PART)"	"210"	"133"	"20"	"51"	"1"	"1"	"7"	"11"	"434"	"0"	"434"	"0"
"137"	"104"	"PRIMARY SCHOOL BIRPUR (WEST PART)"	"96"	"124"	"6"	"172"	"14"	"6"	"5"	"19"	"442"	"0"	"442"	"0"
"138"	"105"	"PRIMARY SCHOOL ETWA"	"113"	"184"	"9"	"188"	"52"	"9"	"9"	"14"	"578"	"0"	"578"	"0"
"139"	"106"	"PRIMARY SCHOOL KANAILY"	"122"	"123"	"19"	"202"	"9"	"11"	"8"	"22"	"516"	"0"	"516"	"0"
"140"	"107"	"PRIMARY SCHOOL SHIVPUR"	"58"	"146"	"119"	"255"	"12"	"6"	"3"	"6"	"605"	"0"	"605"	"0"
"141"	"108"	"PRIMARY SCHOOL SHAHODIH"	"243"	"145"	"11"	"94"	"1"	"2"	"7"	"9"	"512"	"0"	"512"	"0"
"142"	"109"	"PRIMARY SCHOOL BHERIYA"	"72"	"86"	"7"	"93"	"7"	"8"	"6"	"18"	"297"	"0"	"297"	"0"
"143"	"110"	"MIDDLE  SCHOOL RANISAGAR (NORTH PART)"	"40"	"29"	"1"	"160"	"6"	"2"	"1"	"2"	"241"	"0"	"241"	"0"
"144"	"111"	"MIDDLE SCHOOL RANISAGAR (SOUTH PART)"	"170"	"90"	"7"	"104"	"5"	"1"	"2"	"7"	"386"	"0"	"386"	"0"
"145"	"112"	"MIDDLE SCHOOL RANISAGAR (NORTH EAST CHHOR KA BHAWAN)"	"168"	"10"	"4"	"184"	"7"	"5"	"2"	"6"	"386"	"0"	"386"	"0"
"146"	"113"	"SAMUDAYIK BHAWAN RANISAGAR"	"91"	"92"	"1"	"94"	"12"	"5"	"5"	"10"	"310"	"0"	"310"	"0"
"147"	"113A"	"SAMUDAYIK BHAWAN RANISAGAR(W)"	"128"	"12"	"5"	"31"	"5"	"3"	"3"	"7"	"194"	"0"	"194"	"0"
"148"	"114"	"MIDDLE SCHOOL KUNDESAR (SOUTH PART)"	"92"	"215"	"28"	"156"	"6"	"5"	"13"	"21"	"536"	"0"	"536"	"0"
"149"	"Serial No. of Polling Station"	""	"DHARMPAL SINGH"	"MUNNI DEVI"	"RAM BHARAN
SAXENA"	"SHIVANAND TIWARY"	"DADAN SINGH"	"RAMAKANT THAKUR"	"KALIKA SINGH"	"DR. GAUTAM
OJHA"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"150"	""	""	"LJSP"	"BJP"	"BSP"	"RJD"	"AJVD"	"SP"	"IND"	"IND"	""	""	""	""
"151"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"152"	"115"	"MIDDLE SCHOOL KUNDENCAR(NORTH PART)"	"53"	"217"	"7"	"72"	"7"	"4"	"5"	"8"	"373"	"0"	"373"	"0"
"153"	"116"	"PRIMARY SCHOOL BANKAT"	"71"	"227"	"8"	"153"	"8"	"7"	"2"	"8"	"484"	"0"	"484"	"0"
"154"	"116A"	"PRIMARY SCHOOL BANKAT(W)"	"113"	"108"	"10"	"43"	"12"	"3"	"8"	"10"	"307"	"0"	"307"	"0"
"155"	"117"	"PRIMARY SCHOOL KARKHIYA"	"39"	"217"	"8"	"38"	"16"	"3"	"5"	"11"	"337"	"0"	"337"	"0"
"156"	"118"	"PRIMARY SCHOOL YOGIBIR"	"120"	"133"	"11"	"122"	"32"	"3"	"8"	"19"	"448"	"0"	"448"	"0"
"157"	"119"	"PRIMARY SCHOOL KAMRIYAWAN (NORTH PART)"	"12"	"42"	"3"	"161"	"49"	"2"	"4"	"4"	"277"	"0"	"277"	"0"
"158"	"120"	"PRIMARY SCHOOL KAMRIYAWA (SOUTH PART)"	"205"	"92"	"3"	"75"	"32"	"0"	"1"	"8"	"416"	"0"	"416"	"0"
