"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"99"	"86"	"82"	"46"	"68"	"327"	"26"	"8"	"21"	"496"	"0"	"496"	"0"
"100"	"87"	"83"	"44"	"127"	"208"	"13"	"3"	"3"	"398"	"0"	"398"	"0"
"101"	"88"	"84"	"246"	"58"	"204"	"6"	"5"	"7"	"526"	"0"	"526"	"0"
"102"	"89"	"85"	"216"	"52"	"296"	"15"	"5"	"14"	"598"	"0"	"598"	"0"
"103"	"90"	"86"	"50"	"14"	"211"	"10"	"8"	"13"	"306"	"0"	"306"	"0"
"104"	"91"	"87"	"164"	"155"	"66"	"4"	"6"	"7"	"402"	"0"	"402"	"0"
"105"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"106"	""	""	"Abdul Bari Siddiqui"	"S.M. Zafar Imam"	"Ram Narayan Thakur"	"Binod ku. Ram"	"Binod Yadav"	"Vishnudev Ram"	""	""	""	""
"107"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"108"	"92"	"88"	"148"	"97"	"110"	"7"	"5"	"10"	"377"	"0"	"377"	"0"
"109"	"93"	"89"	"171"	"140"	"138"	"13"	"8"	"14"	"484"	"0"	"484"	"0"
"110"	"94"	"90"	"25"	"59"	"353"	"11"	"2"	"1"	"451"	"0"	"451"	"0"
"111"	"95"	"91"	"45"	"93"	"92"	"18"	"24"	"34"	"306"	"0"	"306"	"0"
"112"	"96"	"92"	"120"	"20"	"280"	"22"	"5"	"11"	"458"	"0"	"458"	"0"
"113"	"97"	"93"	"284"	"17"	"72"	"6"	"8"	"13"	"400"	"0"	"400"	"0"
"114"	"98"	"94"	"450"	"39"	"67"	"15"	"9"	"19"	"599"	"0"	"599"	"0"
"115"	"99"	"95"	"139"	"57"	"282"	"18"	"6"	"8"	"510"	"0"	"510"	"0"
"116"	"100"	"96"	"177"	"83"	"17"	"5"	"16"	"12"	"310"	"0"	"310"	"0"
"117"	"101"	"97"	"110"	"193"	"29"	"5"	"7"	"7"	"351"	"0"	"351"	"0"
"118"	"102"	"98"	"311"	"53"	"27"	"5"	"4"	"4"	"404"	"0"	"404"	"0"
"119"	"103"	"99"	"170"	"89"	"133"	"15"	"9"	"27"	"443"	"0"	"443"	"0"
"120"	"104"	"100"	"35"	"77"	"343"	"23"	"15"	"27"	"520"	"0"	"520"	"0"
"121"	"105"	"101"	"172"	"29"	"266"	"11"	"7"	"15"	"500"	"0"	"500"	"0"
"122"	"106"	"102"	"235"	"110"	"217"	"34"	"31"	"31"	"658"	"0"	"658"	"0"
"123"	"107"	"103"	"189"	"37"	"34"	"9"	"5"	"7"	"281"	"0"	"281"	"0"
"124"	"108"	"104"	"240"	"68"	"58"	"10"	"5"	"12"	"393"	"0"	"393"	"0"
"125"	"109"	"105"	"162"	"83"	"188"	"15"	"11"	"18"	"477"	"0"	"477"	"0"
"126"	"110"	"106"	"323"	"116"	"75"	"16"	"4"	"7"	"541"	"0"	"541"	"0"
"127"	"111"	"107"	"181"	"259"	"105"	"12"	"13"	"41"	"611"	"0"	"611"	"0"
"128"	"112"	"108"	"339"	"60"	"164"	"7"	"8"	"21"	"599"	"0"	"599"	"0"
"129"	"113"	"109"	"279"	"54"	"241"	"11"	"13"	"15"	"613"	"0"	"613"	"0"
"130"	"114"	"110"	"322"	"56"	"168"	"12"	"4"	"8"	"570"	"0"	"570"	"0"
"131"	"115"	"111"	"142"	"14"	"114"	"6"	"1"	"4"	"281"	"0"	"281"	"0"
"132"	"116"	"112"	"61"	"6"	"297"	"17"	"7"	"16"	"404"	"0"	"404"	"0"
"133"	"117"	"113"	"23"	"8"	"298"	"13"	"2"	"3"	"347"	"0"	"347"	"0"
"134"	"118"	"114"	"76"	"5"	"293"	"3"	"1"	"2"	"380"	"0"	"380"	"0"
"135"	"119"	"115"	"28"	"22"	"249"	"18"	"2"	"3"	"322"	"0"	"322"	"0"
"136"	"120"	"116"	"108"	"26"	"260"	"23"	"4"	"11"	"432"	"0"	"432"	"0"
"137"	"121"	"117"	"420"	"16"	"39"	"3"	"1"	"3"	"482"	"0"	"482"	"0"
"138"	"122"	"118"	"181"	"96"	"161"	"13"	"7"	"3"	"461"	"0"	"461"	"0"
"139"	"123"	"119"	"33"	"19"	"266"	"20"	"3"	"4"	"345"	"0"	"345"	"0"
"140"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"141"	""	""	"Abdul Bari Siddiqui"	"S.M. Zafar Imam"	"Ram Narayan Thakur"	"Binod ku. Ram"	"Binod Yadav"	"Vishnudev Ram"	""	""	""	""
"142"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"143"	"124"	"120"	"278"	"25"	"127"	"13"	"6"	"6"	"455"	"0"	"455"	"0"
"144"	"125"	"121"	"83"	"1"	"326"	"5"	"0"	"5"	"420"	"0"	"420"	"0"
"145"	"126"	"122"	"134"	"34"	"39"	"5"	"3"	"6"	"221"	"0"	"221"	"0"
"146"	"127"	"123"	"126"	"10"	"133"	"6"	"4"	"6"	"285"	"0"	"285"	"0"
"147"	"128"	"124"	"198"	"14"	"197"	"11"	"9"	"41"	"470"	"0"	"470"	"0"
"148"	"129"	"125"	"60"	"17"	"219"	"7"	"2"	"7"	"312"	"0"	"312"	"0"
"149"	"130"	"126"	"266"	"15"	"90"	"6"	"4"	"13"	"394"	"0"	"394"	"0"
"150"	"131"	"127"	"184"	"31"	"63"	"12"	"4"	"10"	"304"	"0"	"304"	"0"
"151"	"132"	"128"	"34"	"8"	"307"	"21"	"2"	"6"	"378"	"0"	"378"	"0"
"152"	"133"	"129"	"56"	"16"	"218"	"9"	"6"	"2"	"307"	"0"	"307"	"0"
"153"	"134"	"130"	"32"	"50"	"213"	"29"	"10"	"14"	"348"	"0"	"348"	"0"
"154"	"135"	"131"	"267"	"30"	"148"	"11"	"5"	"18"	"479"	"0"	"479"	"0"
"155"	"136"	"132"	"209"	"145"	"149"	"14"	"16"	"17"	"550"	"0"	"550"	"0"
"156"	"137"	"133"	"183"	"20"	"56"	"10"	"8"	"12"	"289"	"0"	"289"	"0"
"157"	"138"	"134"	"187"	"105"	"94"	"13"	"10"	"19"	"428"	"0"	"428"	"0"
"158"	"139"	"135"	"184"	"88"	"43"	"11"	"14"	"34"	"374"	"0"	"374"	"0"
"159"	"140"	"136"	"210"	"5"	"20"	"0"	"0"	"4"	"239"	"0"	"239"	"0"
"160"	"141"	"137"	"312"	"121"	"38"	"12"	"6"	"7"	"496"	"0"	"496"	"0"
"161"	"142"	"138"	"22"	"35"	"177"	"7"	"6"	"5"	"252"	"0"	"252"	"0"
"162"	"143"	"139"	"135"	"67"	"128"	"20"	"11"	"24"	"385"	"0"	"385"	"0"
"163"	"144"	"140"	"247"	"86"	"120"	"20"	"23"	"28"	"524"	"0"	"524"	"0"
"164"	"145"	"141"	"50"	"21"	"265"	"8"	"5"	"3"	"352"	"0"	"352"	"0"
"165"	"146"	"142"	"51"	"96"	"103"	"14"	"7"	"19"	"290"	"0"	"290"	"0"
"166"	"147"	"143"	"131"	"23"	"160"	"17"	"6"	"16"	"353"	"0"	"353"	"0"
"167"	"148"	"144"	"75"	"26"	"284"	"22"	"6"	"14"	"427"	"0"	"427"	"0"
"168"	"149"	"145"	"354"	"35"	"46"	"7"	"7"	"26"	"475"	"0"	"475"	"0"
"169"	"150"	"146"	"193"	"28"	"307"	"28"	"19"	"36"	"611"	"0"	"611"	"0"
"170"	"151"	"147"	"213"	"71"	"160"	"36"	"13"	"46"	"539"	"0"	"539"	"0"
"171"	"152"	"148"	"292"	"33"	"117"	"12"	"7"	"6"	"467"	"0"	"467"	"0"
"172"	"153"	"149"	"319"	"61"	"102"	"20"	"1"	"14"	"517"	"0"	"517"	"0"
"173"	"154"	"150"	"220"	"13"	"93"	"8"	"8"	"31"	"373"	"0"	"373"	"0"
"174"	"155"	"150A"	"183"	"19"	"163"	"13"	"7"	"17"	"402"	"0"	"402"	"0"
"175"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"176"	""	""	"Abdul Bari Siddiqui"	"S.M. Zafar Imam"	"Ram Narayan Thakur"	"Binod ku. Ram"	"Binod Yadav"	"Vishnudev Ram"	""	""	""	""
"177"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"178"	"156"	"151"	"94"	"76"	"245"	"25"	"13"	"14"	"467"	"0"	"467"	"0"
"179"	"157"	"152"	"115"	"16"	"118"	"9"	"6"	"14"	"278"	"0"	"278"	"0"
"180"	"158"	"153"	"170"	"14"	"170"	"6"	"5"	"6"	"371"	"0"	"371"	"0"
"181"	"159"	"154"	"141"	"16"	"181"	"10"	"8"	"11"	"367"	"0"	"367"	"0"
"182"	"160"	"155"	"209"	"8"	"35"	"3"	"2"	"10"	"267"	"0"	"267"	"0"
"183"	"161"	"155A"	"117"	"20"	"80"	"5"	"8"	"9"	"239"	"0"	"239"	"0"
"184"	"162"	"156"	"88"	"25"	"111"	"7"	"5"	"15"	"251"	"0"	"251"	"0"
"185"	"163"	"156A"	"104"	"68"	"174"	"16"	"8"	"17"	"387"	"0"	"387"	"0"
"186"	"164"	"157"	"346"	"61"	"113"	"8"	"12"	"24"	"564"	"0"	"564"	"0"
"187"	"165"	"158"	"317"	"53"	"94"	"6"	"3"	"10"	"483"	"0"	"483"	"0"
"188"	"166"	"159"	"133"	"6"	"6"	"3"	"0"	"1"	"149"	"0"	"149"	"0"
"189"	"167"	"160"	"400"	"37"	"13"	"5"	"4"	"8"	"467"	"0"	"467"	"0"
"190"	"168"	"161"	"324"	"29"	"33"	"5"	"2"	"1"	"394"	"0"	"394"	"0"
"191"	"169"	"161A"	"259"	"13"	"21"	"2"	"3"	"3"	"301"	"0"	"301"	"0"
"192"	"170"	"162"	"201"	"12"	"30"	"5"	"146"	"13"	"407"	"0"	"407"	"0"
"193"	"171"	"163"	"127"	"36"	"22"	"1"	"5"	"12"	"203"	"0"	"203"	"0"
"194"	"172"	"164"	"249"	"73"	"125"	"30"	"26"	"29"	"532"	"0"	"532"	"0"
"195"	"173"	"165"	"295"	"28"	"10"	"8"	"8"	"23"	"372"	"0"	"372"	"0"
"196"	"174"	"166"	"268"	"20"	"14"	"3"	"3"	"11"	"319"	"0"	"319"	"0"
"197"	"175"	"167"	"434"	"25"	"8"	"5"	"6"	"17"	"495"	"0"	"495"	"0"
"198"	"176"	"168"	"399"	"42"	"11"	"4"	"10"	"14"	"480"	"0"	"480"	"0"
"199"	"177"	"169"	"201"	"11"	"79"	"7"	"3"	"11"	"312"	"0"	"312"	"0"
"200"	"178"	"169A"	"114"	"7"	"69"	"8"	"5"	"22"	"225"	"0"	"225"	"0"
"201"	"179"	"170"	"433"	"19"	"18"	"6"	"3"	"9"	"488"	"0"	"488"	"0"
"202"	"180"	"171"	"427"	"28"	"1"	"0"	"7"	"24"	"487"	"0"	"487"	"0"
"203"	"181"	"172"	"289"	"30"	"177"	"7"	"8"	"14"	"525"	"0"	"525"	"0"
"204"	"182"	"173"	"131"	"9"	"127"	"6"	"3"	"7"	"283"	"0"	"283"	"0"
"205"	"183"	"174"	"209"	"22"	"103"	"5"	"0"	"5"	"344"	"0"	"344"	"0"
"206"	"184"	"175"	"278"	"8"	"70"	"31"	"2"	"6"	"395"	"0"	"395"	"0"
"207"	"185"	"176"	"463"	"16"	"35"	"2"	"3"	"7"	"526"	"0"	"526"	"0"
"208"	"186"	"177"	"361"	"7"	"2"	"1"	"0"	"2"	"373"	"0"	"373"	"0"
"209"	"187"	"178"	"404"	"20"	"12"	"4"	"7"	"21"	"468"	"0"	"468"	"0"
"210"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"211"	""	""	"Abdul Bari Siddiqui"	"S.M. Zafar Imam"	"Ram Narayan Thakur"	"Binod ku. Ram"	"Binod Yadav"	"Vishnudev Ram"	""	""	""	""
"212"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"213"	"188"	"179"	"661"	"9"	"2"	"2"	"0"	"1"	"675"	"0"	"675"	"0"
"214"	"189"	"180"	"364"	"49"	"11"	"1"	"8"	"10"	"443"	"0"	"443"	"0"
"215"	"190"	"181"	"370"	"59"	"4"	"3"	"4"	"6"	"446"	"0"	"446"	"0"
"216"	"191"	"182"	"277"	"24"	"3"	"2"	"3"	"3"	"312"	"0"	"312"	"0"
"217"	"192"	"183"	"347"	"55"	"104"	"13"	"13"	"28"	"560"	"0"	"560"	"0"
"218"	"193"	"184"	"277"	"47"	"97"	"15"	"5"	"22"	"463"	"0"	"463"	"0"
"219"	"194"	"185"	"291"	"22"	"24"	"6"	"2"	"19"	"364"	"0"	"364"	"0"
"220"	"195"	"186"	"318"	"44"	"25"	"8"	"4"	"10"	"409"	"0"	"409"	"0"
"221"	"196"	"187"	"494"	"20"	"50"	"7"	"1"	"6"	"578"	"0"	"578"	"0"
"222"	"197"	"188"	"469"	"49"	"60"	"9"	"9"	"33"	"629"	"0"	"629"	"0"
"223"	"198"	"189"	"326"	"26"	"167"	"16"	"7"	"24"	"566"	"0"	"566"	"0"
"224"	"199"	"190"	"262"	"25"	"139"	"10"	"6"	"19"	"461"	"0"	"461"	"0"
"225"	"200"	"191"	"9"	"6"	"542"	"6"	"0"	"0"	"563"	"0"	"563"	"0"
"226"	"201"	"192"	"335"	"23"	"57"	"5"	"4"	"11"	"435"	"0"	"435"	"0"
"227"	"202"	"193"	"255"	"24"	"93"	"12"	"2"	"27"	"413"	"0"	"413"	"0"
"228"	"203"	"194"	"222"	"40"	"192"	"23"	"17"	"15"	"509"	"0"	"509"	"0"
"229"	"204"	"195"	"354"	"60"	"46"	"10"	"7"	"14"	"491"	"0"	"491"	"0"
"230"	"205"	"196"	"172"	"82"	"42"	"4"	"3"	"4"	"307"	"0"	"307"	"0"
"231"	"206"	"197"	"168"	"29"	"100"	"9"	"14"	"12"	"332"	"0"	"332"	"0"
"232"	"207"	"198"	"135"	"275"	"82"	"12"	"18"	"29"	"551"	"0"	"551"	"0"
"233"	"208"	"199"	"217"	"7"	"148"	"14"	"8"	"19"	"413"	"0"	"413"	"0"
"234"	"209"	"200"	"357"	"33"	"79"	"6"	"10"	"18"	"503"	"0"	"503"	"0"
"235"	"210"	"201"	"110"	"39"	"116"	"14"	"8"	"27"	"314"	"0"	"314"	"0"
"236"	"Total No. of votes recording at polling Stations"	""	"38910"	"10119"	"31096"	"2453"	"1553"	"2805"	"86936"	"0"	"86936"	"0"
"237"	"No. of votes recorded on postal ballot papers (To be election from an assembly constituency)"	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"0"
"238"	"Total Votes polled"	""	"38910"	"10119"	"31096"	"2453"	"1553"	"2805"	"86936"	"0"	"86936"	"0"
"239"	"A.P.M.Y, Shivdhara,"	""	""	""	""	""	""	""	""	""	""	""
"240"	"Place :   DARBHANGA                                                                                                                                   Returning Officer"	""	""	""	""	""	""	""	""	""	""	""
"241"	"Date  :   22.11.2005                                                                                                                                      85-Bahera"	""	""	""	""	""	""	""	""	""	""	""
