"ASSEMBLY.ELECTION...2005"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"58"	"49"	"151"	"4"	"4"	"39"	"12"	"0"	"0"	"0"	"4"	"214"	""	"214"	""
"59"	"50"	"85"	"6"	"0"	"27"	"67"	"1"	"0"	"1"	"2"	"189"	""	"189"	""
"60"	"51"	"46"	"3"	"5"	"16"	"154"	"2"	"1"	"0"	"3"	"230"	""	"230"	""
"61"	"52"	"30"	"4"	"4"	"79"	"96"	"11"	"1"	"3"	"13"	"241"	""	"241"	""
"62"	"53"	"288"	"14"	"4"	"65"	"110"	"5"	"2"	"2"	"4"	"494"	""	"494"	""
"63"	"54"	"84"	"2"	"5"	"35"	"172"	"4"	"2"	"1"	"13"	"318"	""	"318"	""
"64"	"55"	"109"	"8"	"2"	"23"	"136"	"6"	"4"	"3"	"20"	"311"	""	"311"	""
"65"	"56"	"202"	"2"	"1"	"0"	"16"	"2"	"0"	"1"	"2"	"226"	""	"226"	""
"66"	"57"	"126"	"6"	"18"	"71"	"102"	"9"	"3"	"9"	"9"	"353"	""	"353"	""
"67"	"58"	"120"	"2"	"7"	"47"	"99"	"5"	"5"	"8"	"19"	"312"	""	"312"	""
"68"	"59"	"42"	"7"	"7"	"85"	"215"	"9"	"0"	"4"	"10"	"379"	""	"379"	""
"69"	"60"	"23"	"1"	"4"	"56"	"120"	"6"	"0"	"4"	"12"	"226"	""	"226"	""
"70"	"61"	"4"	"0"	"1"	"127"	"208"	"1"	"0"	"0"	"0"	"341"	""	"341"	""
"71"	"62"	"5"	"100"	"4"	"27"	"10"	"1"	"1"	"1"	"1"	"150"	""	"150"	""
"72"	"63"	"110"	"84"	"8"	"37"	"67"	"1"	"1"	"0"	"2"	"310"	""	"310"	""
"73"	"64"	"344"	"0"	"0"	"16"	"7"	"0"	"0"	"0"	"0"	"367"	""	"367"	""
"74"	"65"	"95"	"2"	"1"	"167"	"37"	"0"	"1"	"1"	"1"	"305"	""	"305"	""
"75"	"66"	"5"	"5"	"0"	"328"	"97"	"3"	"0"	"3"	"3"	"444"	""	"444"	""
"76"	"67"	"180"	"18"	"6"	"72"	"74"	"8"	"4"	"9"	"21"	"392"	""	"392"	""
"77"	"68"	"290"	"10"	"6"	"60"	"23"	"3"	"2"	"0"	"4"	"398"	""	"398"	""
"78"	"69"	"166"	"4"	"4"	"38"	"31"	"11"	"5"	"5"	"21"	"285"	""	"285"	""
"79"	"70"	"222"	"11"	"24"	"49"	"179"	"6"	"5"	"10"	"11"	"517"	""	"517"	""
"80"	"71"	"36"	"24"	"1"	"102"	"82"	"13"	"4"	"5"	"15"	"282"	""	"282"	""
"81"	"71A"	"55"	"17"	"2"	"28"	"180"	"2"	"1"	"4"	"10"	"299"	""	"299"	""
"82"	"72"	"261"	"6"	"17"	"26"	"140"	"7"	"1"	"2"	"7"	"467"	""	"467"	""
"83"	"73"	"11"	"2"	"3"	"274"	"187"	"7"	"2"	"3"	"2"	"491"	""	"491"	""
"84"	"74"	"189"	"9"	"9"	"76"	"33"	"13"	"4"	"13"	"9"	"355"	""	"355"	""
"85"	"75"	"38"	"54"	"14"	"42"	"19"	"20"	"9"	"6"	"19"	"221"	""	"221"	""
"86"	"76"	"28"	"0"	"0"	"161"	"188"	"3"	"0"	"0"	"0"	"380"	""	"380"	""
"87"	"77"	"5"	"1"	"1"	"36"	"97"	"1"	"1"	"1"	"2"	"145"	""	"145"	""
"88"	"78"	"106"	"6"	"24"	"82"	"87"	"9"	"3"	"6"	"13"	"336"	""	"336"	""
"89"	"79"	"57"	"1"	"1"	"13"	"20"	"2"	"1"	"1"	"2"	"98"	""	"98"	""
"90"	"80"	"74"	"6"	"2"	"52"	"124"	"4"	"1"	"4"	"4"	"271"	""	"271"	""
"91"	"80A"	"121"	"2"	"13"	"51"	"63"	"6"	"3"	"2"	"7"	"268"	""	"268"	""
"92"	"81"	"12"	"2"	"1"	"66"	"139"	"7"	"0"	"4"	"6"	"237"	""	"237"	""
"93"	"82"	"63"	"4"	"49"	"22"	"88"	"2"	"3"	"4"	"10"	"245"	""	"245"	""
"94"	"83"	"12"	"4"	"2"	"106"	"325"	"7"	"6"	"3"	"11"	"476"	""	"476"	""
"95"	"84"	"171"	"3"	"0"	"43"	"5"	"0"	"1"	"2"	"0"	"225"	""	"225"	""
"96"	"85"	"3"	"0"	"0"	"4"	"93"	"3"	"0"	"0"	"4"	"107"	""	"107"	""
"97"	"86"	"192"	"3"	"2"	"81"	"26"	"3"	"2"	"1"	"1"	"311"	""	"311"	""
"98"	"87"	"6"	"1"	"1"	"196"	"227"	"3"	"2"	"0"	"5"	"441"	""	"441"	""
"99"	"88"	"5"	"1"	"1"	"71"	"128"	"4"	"0"	"1"	"0"	"211"	""	"211"	""
"100"	"89"	"9"	"1"	"1"	"13"	"440"	"10"	"1"	"0"	"6"	"481"	""	"481"	""
"101"	"90"	"118"	"1"	"7"	"9"	"134"	"4"	"1"	"1"	"11"	"286"	""	"286"	""
"102"	"91"	"20"	"4"	"4"	"68"	"268"	"5"	"1"	"7"	"8"	"385"	""	"385"	""
"103"	"92"	"8"	"2"	"3"	"60"	"133"	"6"	"2"	"1"	"4"	"219"	""	"219"	""
"104"	"93"	"137"	"5"	"20"	"59"	"25"	"7"	"3"	"3"	"18"	"277"	""	"277"	""
"105"	"94"	"262"	"7"	"2"	"2"	"37"	"1"	"1"	"7"	"12"	"331"	""	"331"	""
"106"	"95"	"13"	"0"	"0"	"26"	"75"	"5"	"0"	"0"	"0"	"119"	""	"119"	""
"107"	"96"	"68"	"5"	"12"	"33"	"110"	"4"	"4"	"1"	"7"	"244"	""	"244"	""
"108"	"96A"	"112"	"4"	"1"	"2"	"25"	"1"	"3"	"3"	"7"	"158"	""	"158"	""
"109"	"97"	"207"	"3"	"1"	"14"	"5"	"2"	"2"	"0"	"2"	"236"	""	"236"	""
"110"	"98"	"59"	"32"	"14"	"133"	"71"	"8"	"3"	"2"	"9"	"331"	""	"331"	""
"111"	"99"	"124"	"3"	"1"	"3"	"12"	"1"	"0"	"0"	"4"	"148"	""	"148"	""
"112"	"100"	"109"	"8"	"9"	"159"	"113"	"4"	"1"	"2"	"9"	"414"	""	"414"	""
"113"	"101"	"117"	"8"	"1"	"88"	"113"	"5"	"1"	"2"	"3"	"338"	""	"338"	""
"114"	"102"	"166"	"3"	"0"	"15"	"80"	"6"	"3"	"4"	"13"	"290"	""	"290"	""
"115"	"102A"	"84"	"14"	"3"	"64"	"118"	"12"	"6"	"4"	"12"	"317"	""	"317"	""
"116"	"103"	"3"	"2"	"1"	"19"	"137"	"1"	"1"	"1"	"5"	"170"	""	"170"	""
"117"	"104"	"98"	"6"	"3"	"32"	"133"	"7"	"4"	"1"	"15"	"299"	""	"299"	""
"118"	"105"	"72"	"4"	"32"	"55"	"64"	"8"	"0"	"2"	"5"	"242"	""	"242"	""
"119"	"106"	"3"	"1"	"1"	"51"	"115"	"5"	"0"	"1"	"5"	"182"	""	"182"	""
"120"	"107"	"38"	"1"	"3"	"88"	"114"	"8"	"3"	"3"	"18"	"276"	""	"276"	""
"121"	"108"	"107"	"10"	"5"	"112"	"199"	"7"	"4"	"3"	"20"	"467"	""	"467"	""
"122"	"109"	"263"	"12"	"4"	"23"	"178"	"11"	"5"	"9"	"22"	"527"	""	"527"	""
"123"	"110"	"184"	"14"	"88"	"26"	"12"	"6"	"4"	"3"	"8"	"345"	""	"345"	""
"124"	"111"	"184"	"7"	"17"	"16"	"239"	"6"	"2"	"2"	"14"	"487"	""	"487"	""
"125"	"112"	"135"	"9"	"3"	"51"	"238"	"9"	"0"	"2"	"20"	"467"	""	"467"	""
"126"	"113"	"75"	"3"	"4"	"62"	"350"	"13"	"5"	"5"	"22"	"539"	""	"539"	""
"127"	"114"	"92"	"2"	"10"	"57"	"176"	"14"	"3"	"4"	"12"	"370"	""	"370"	""
"128"	"115"	"95"	"3"	"12"	"24"	"207"	"3"	"3"	"2"	"20"	"369"	""	"369"	""
"129"	"116"	"396"	"12"	"1"	"41"	"71"	"8"	"4"	"2"	"21"	"556"	""	"556"	""
"130"	"117"	"213"	"3"	"3"	"2"	"14"	"3"	"3"	"1"	"8"	"250"	""	"250"	""
"131"	"118"	"133"	"5"	"1"	"91"	"113"	"11"	"5"	"3"	"10"	"372"	""	"372"	""
"132"	"119"	"211"	"2"	"3"	"23"	"6"	"1"	"3"	"2"	"4"	"255"	""	"255"	""
"133"	"120"	"334"	"10"	"9"	"28"	"25"	"3"	"0"	"3"	"3"	"415"	""	"415"	""
"134"	"121"	"172"	"9"	"0"	"23"	"19"	"2"	"0"	"0"	"4"	"229"	""	"229"	""
"135"	"122"	"345"	"6"	"2"	"0"	"2"	"1"	"1"	"1"	"2"	"360"	""	"360"	""
"136"	"123"	"198"	"8"	"4"	"42"	"143"	"3"	"3"	"5"	"20"	"426"	""	"426"	""
"137"	"124"	"597"	"7"	"4"	"16"	"7"	"2"	"2"	"0"	"5"	"640"	""	"640"	""
"138"	"125"	"295"	"6"	"3"	"11"	"2"	"0"	"0"	"0"	"0"	"317"	""	"317"	""
"139"	"126"	"556"	"10"	"4"	"10"	"22"	"5"	"1"	"6"	"9"	"623"	""	"623"	""
"140"	"127"	"49"	"0"	"0"	"54"	"10"	"1"	"1"	"0"	"0"	"115"	""	"115"	""
"141"	"128"	"112"	"9"	"13"	"78"	"19"	"7"	"3"	"1"	"14"	"256"	""	"256"	""
"142"	"129"	"288"	"11"	"8"	"81"	"153"	"6"	"3"	"7"	"10"	"567"	""	"567"	""
"143"	"130"	"283"	"49"	"9"	"44"	"189"	"15"	"6"	"7"	"32"	"634"	""	"634"	""
"144"	"131"	"114"	"147"	"6"	"17"	"59"	"2"	"1"	"4"	"7"	"357"	""	"357"	""
"145"	"132"	"181"	"12"	"27"	"118"	"79"	"8"	"8"	"7"	"20"	"460"	""	"460"	""
"146"	"133"	"142"	"26"	"7"	"107"	"242"	"12"	"5"	"4"	"12"	"557"	""	"557"	""
"147"	"134"	"75"	"59"	"36"	"65"	"178"	"5"	"7"	"5"	"8"	"438"	""	"438"	""
"148"	"135"	"160"	"19"	"3"	"87"	"90"	"3"	"1"	"2"	"6"	"371"	""	"371"	""
"149"	"136"	"155"	"31"	"7"	"140"	"194"	"10"	"5"	"8"	"30"	"580"	""	"580"	""
"150"	"137"	"119"	"19"	"3"	"69"	"131"	"6"	"2"	"1"	"2"	"352"	""	"352"	""
"151"	"138"	"92"	"12"	"8"	"40"	"60"	"6"	"0"	"3"	"9"	"230"	""	"230"	""
"152"	"139"	"288"	"20"	"12"	"84"	"84"	"6"	"1"	"9"	"13"	"517"	""	"517"	""
"153"	"140"	"95"	"21"	"22"	"75"	"160"	"9"	"0"	"1"	"10"	"393"	""	"393"	""
"154"	"141"	"38"	"56"	"12"	"67"	"91"	"5"	"5"	"9"	"18"	"301"	""	"301"	""
"155"	"142"	"46"	"66"	"52"	"34"	"140"	"5"	"0"	"2"	"5"	"350"	""	"350"	""
"156"	"143"	"183"	"8"	"0"	"0"	"110"	"2"	"2"	"0"	"1"	"306"	""	"306"	""
"157"	"144"	"155"	"29"	"4"	"12"	"84"	"5"	"3"	"5"	"7"	"304"	""	"304"	""
"158"	"145"	"216"	"157"	"2"	"12"	"25"	"0"	"2"	"8"	"10"	"432"	""	"432"	""
"159"	"146"	"177"	"53"	"5"	"9"	"121"	"2"	"6"	"5"	"9"	"387"	""	"387"	""
"160"	"147"	"72"	"24"	"6"	"50"	"151"	"5"	"3"	"6"	"20"	"337"	""	"337"	""
"161"	"148"	"89"	"32"	"5"	"45"	"10"	"4"	"1"	"2"	"4"	"192"	""	"192"	""
"162"	"149"	"177"	"13"	"24"	"147"	"45"	"6"	"2"	"8"	"24"	"446"	""	"446"	""
"163"	"150"	"215"	"72"	"8"	"98"	"54"	"11"	"7"	"11"	"19"	"495"	""	"495"	""
"164"	"151"	"52"	"2"	"2"	"51"	"58"	"1"	"3"	"1"	"6"	"176"	""	"176"	""
"165"	"152"	"71"	"83"	"12"	"114"	"73"	"8"	"1"	"6"	"5"	"373"	""	"373"	""
"166"	"153"	"223"	"4"	"4"	"48"	"29"	"7"	"1"	"4"	"4"	"324"	""	"324"	""
"167"	"154"	"227"	"11"	"6"	"30"	"117"	"7"	"3"	"8"	"18"	"427"	""	"427"	""
"168"	"155"	"206"	"89"	"7"	"128"	"129"	"17"	"6"	"7"	"21"	"610"	""	"610"	""
"169"	"156"	"143"	"9"	"2"	"67"	"113"	"8"	"2"	"2"	"3"	"349"	""	"349"	""
"170"	"157"	"159"	"31"	"3"	"55"	"106"	"5"	"5"	"3"	"11"	"378"	""	"378"	""
"171"	"158"	"82"	"20"	"0"	"17"	"15"	"2"	"1"	"3"	"2"	"142"	""	"142"	""
"172"	"159"	"218"	"10"	"2"	"95"	"69"	"7"	"4"	"3"	"13"	"421"	""	"421"	""
"173"	"160"	"138"	"14"	"1"	"15"	"89"	"2"	"2"	"4"	"12"	"277"	""	"277"	""
"174"	"161"	"133"	"4"	"1"	"73"	"74"	"5"	"4"	"2"	"16"	"312"	""	"312"	""
"175"	"162"	"28"	"2"	"2"	"137"	"163"	"11"	"3"	"6"	"12"	"364"	""	"364"	""
"176"	"163"	"174"	"12"	"6"	"113"	"42"	"9"	"4"	"0"	"5"	"365"	""	"365"	""
"177"	"164"	"3"	"2"	"2"	"47"	"98"	"2"	"0"	"0"	"0"	"154"	""	"154"	""
"178"	"165"	"88"	"1"	"2"	"67"	"77"	"5"	"1"	"7"	"16"	"264"	""	"264"	""
"179"	"166"	"185"	"5"	"6"	"120"	"27"	"15"	"5"	"9"	"18"	"390"	""	"390"	""
"180"	"167"	"11"	"0"	"1"	"49"	"28"	"2"	"1"	"1"	"2"	"95"	""	"95"	""
"181"	"168"	"50"	"0"	"1"	"250"	"58"	"6"	"1"	"0"	"6"	"372"	""	"372"	""
"182"	"169"	"12"	"0"	"2"	"36"	"303"	"4"	"2"	"2"	"3"	"364"	""	"364"	""
"183"	"170"	"337"	"10"	"6"	"15"	"27"	"3"	"1"	"4"	"3"	"406"	""	"406"	""
"184"	"171"	"149"	"10"	"3"	"97"	"37"	"1"	"3"	"3"	"15"	"318"	""	"318"	""
"185"	"172"	"303"	"3"	"0"	"6"	"5"	"1"	"0"	"1"	"2"	"321"	""	"321"	""
"186"	"173"	"159"	"9"	"1"	"44"	"17"	"5"	"4"	"3"	"9"	"251"	""	"251"	""
"187"	"174"	"249"	"9"	"1"	"25"	"16"	"3"	"1"	"4"	"6"	"314"	""	"314"	""
"188"	"175"	"110"	"2"	"10"	"51"	"62"	"3"	"2"	"2"	"11"	"253"	""	"253"	""
"189"	"175 A"	"116"	"6"	"2"	"7"	"67"	"1"	"1"	"2"	"5"	"207"	""	"207"	""
"190"	"176"	"195"	"12"	"6"	"39"	"101"	"7"	"7"	"5"	"16"	"388"	""	"388"	""
"191"	"177"	"92"	"9"	"5"	"26"	"45"	"3"	"4"	"6"	"15"	"205"	""	"205"	""
"192"	"178"	"116"	"3"	"2"	"43"	"178"	"4"	"3"	"3"	"5"	"357"	""	"357"	""
"193"	"179"	"335"	"15"	"19"	"16"	"62"	"12"	"9"	"7"	"27"	"502"	""	"502"	""
"194"	"180"	"209"	"7"	"6"	"29"	"92"	"11"	"18"	"5"	"13"	"390"	""	"390"	""
"195"	"181"	"35"	"2"	"3"	"70"	"165"	"6"	"14"	"2"	"1"	"298"	""	"298"	""
"196"	"182"	"24"	"1"	"2"	"198"	"80"	"2"	"0"	"1"	"4"	"312"	""	"312"	""
"197"	"183"	"244"	"12"	"2"	"100"	"43"	"11"	"8"	"0"	"9"	"429"	""	"429"	""
"198"	"184"	"321"	"11"	"2"	"38"	"116"	"4"	"3"	"6"	"8"	"509"	""	"509"	""
"199"	"185"	"207"	"4"	"10"	"15"	"72"	"2"	"4"	"2"	"4"	"320"	""	"320"	""
"200"	"186"	"332"	"11"	"6"	"57"	"39"	"4"	"1"	"3"	"18"	"471"	""	"471"	""
"201"	"187"	"253"	"15"	"11"	"88"	"14"	"8"	"5"	"6"	"13"	"413"	""	"413"	""
"202"	"188"	"212"	"9"	"6"	"67"	"184"	"7"	"6"	"2"	"18"	"511"	""	"511"	""
"203"	"189"	"283"	"5"	"2"	"17"	"3"	"2"	"0"	"0"	"2"	"314"	""	"314"	""
"204"	"190"	"308"	"5"	"3"	"11"	"63"	"5"	"1"	"2"	"5"	"403"	""	"403"	""
"205"	"190A"	"148"	"7"	"27"	"14"	"32"	"3"	"2"	"2"	"8"	"243"	""	"243"	""
"206"	"191"	"19"	"3"	"3"	"43"	"20"	"6"	"2"	"2"	"2"	"100"	""	"100"	""
"207"	"192"	"72"	"4"	"4"	"89"	"44"	"1"	"3"	"1"	"3"	"221"	""	"221"	""
"208"	"193"	"110"	"28"	"4"	"20"	"46"	"6"	"4"	"4"	"20"	"242"	""	"242"	""
"209"	"193A"	"93"	"8"	"13"	"67"	"72"	"9"	"4"	"4"	"10"	"280"	""	"280"	""
"210"	"194"	"218"	"97"	"14"	"110"	"52"	"4"	"6"	"2"	"9"	"512"	""	"512"	""
"211"	"195"	"133"	"43"	"6"	"41"	"3"	"3"	"2"	"1"	"0"	"232"	""	"232"	""
"212"	"196"	"156"	"50"	"4"	"14"	"102"	"2"	"2"	"2"	"1"	"333"	""	"333"	""
"213"	"197"	"75"	"4"	"141"	"97"	"47"	"7"	"1"	"4"	"8"	"384"	""	"384"	""
"214"	"198"	"35"	"7"	"2"	"125"	"88"	"8"	"1"	"1"	"3"	"270"	""	"270"	""
"215"	"199"	"76"	"10"	"0"	"16"	"139"	"4"	"2"	"3"	"10"	"260"	""	"260"	""
"216"	"199A"	"109"	"24"	"12"	"37"	"136"	"13"	"6"	"3"	"12"	"352"	""	"352"	""
"217"	"200"	"147"	"21"	"6"	"32"	"230"	"11"	"7"	"6"	"16"	"476"	""	"476"	""
"218"	"201"	"138"	"9"	"4"	"119"	"41"	"4"	"2"	"1"	"6"	"324"	""	"324"	""
"219"	"202"	"42"	"4"	"3"	"110"	"32"	"5"	"2"	"1"	"3"	"202"	""	"202"	""
"220"	"203"	"50"	"13"	"3"	"171"	"106"	"15"	"5"	"5"	"14"	"382"	""	"382"	""
"221"	"204"	"79"	"6"	"3"	"143"	"192"	"9"	"3"	"0"	"7"	"442"	""	"442"	""
"222"	"205"	"160"	"5"	"2"	"16"	"18"	"3"	"4"	"4"	"7"	"219"	""	"219"	""
"223"	"206"	"328"	"10"	"6"	"85"	"45"	"5"	"2"	"4"	"5"	"490"	""	"490"	""
"224"	"207"	"291"	"5"	"3"	"39"	"28"	"3"	"2"	"3"	"7"	"381"	""	"381"	""
"225"	"208"	"320"	"23"	"9"	"27"	"67"	"1"	"0"	"5"	"11"	"463"	""	"463"	""
"226"	"209"	"136"	"106"	"9"	"155"	"85"	"3"	"2"	"3"	"7"	"506"	""	"506"	""
"227"	"210"	"181"	"10"	"6"	"105"	"159"	"18"	"4"	"2"	"11"	"496"	""	"496"	""
"228"	"211"	"201"	"71"	"11"	"59"	"111"	"7"	"3"	"2"	"8"	"473"	""	"473"	""
"229"	"212"	"276"	"2"	"0"	"26"	"1"	"0"	"0"	"0"	"0"	"305"	""	"305"	""
"230"	"213"	"189"	"5"	"12"	"104"	"66"	"9"	"4"	"6"	"19"	"414"	""	"414"	""
"231"	"214"	"176"	"8"	"13"	"77"	"64"	"4"	"3"	"9"	"21"	"375"	""	"375"	""
"232"	"215"	"186"	"5"	"2"	"23"	"60"	"4"	"1"	"4"	"6"	"291"	""	"291"	""
"233"	"216"	"59"	"5"	"4"	"103"	"166"	"9"	"2"	"5"	"18"	"371"	""	"371"	""
"234"	"217"	"118"	"6"	"5"	"19"	"113"	"4"	"1"	"4"	"12"	"282"	""	"282"	""
"235"	"218"	"238"	"1"	"3"	"99"	"178"	"5"	"3"	"5"	"5"	"537"	""	"537"	""
"236"	"219"	"88"	"3"	"6"	"44"	"168"	"2"	"2"	"3"	"19"	"335"	""	"335"	""
"237"	"220"	"72"	"1"	"2"	"14"	"282"	"3"	"2"	"1"	"13"	"390"	""	"390"	""
"238"	"221"	"256"	"15"	"17"	"51"	"93"	"2"	"2"	"8"	"16"	"460"	""	"460"	""
"239"	"222"	"244"	"13"	"12"	"72"	"233"	"8"	"5"	"11"	"33"	"631"	""	"631"	""
"240"	"223"	"261"	"9"	"4"	"155"	"52"	"11"	"3"	"6"	"15"	"516"	""	"516"	""
"241"	"224"	"266"	"2"	"6"	"62"	"8"	"9"	"3"	"1"	"6"	"363"	""	"363"	""
"242"	"225"	"32"	"0"	"0"	"27"	"147"	"1"	"1"	"1"	"6"	"215"	""	"215"	""
"243"	"226"	"361"	"18"	"7"	"19"	"39"	"8"	"4"	"5"	"17"	"478"	""	"478"	""
"244"	"227"	"38"	"1"	"0"	"14"	"72"	"3"	"1"	"0"	"3"	"132"	""	"132"	""
