"ernku.dsUnz.la..k"	"iiiizzRRzzRR....kkkk....kkkkhhhh.ddddssss.eeeerrrr"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"
"63"	"37"	"106"	"1"	"3"	"178"	"6"	"1"	"1"	"296"
"64"	"38"	"196"	"3"	"5"	"151"	"8"	""	"2"	"365"
"65"	"39"	"175"	"24"	"16"	"195"	"18"	"5"	"18"	"451"
"66"	"40"	"43"	"24"	"31"	"186"	"7"	"4"	"3"	"298"
"67"	"41"	"44"	"4"	"4"	"339"	"35"	""	"2"	"428"
"68"	"42"	"67"	"1"	"16"	"247"	"11"	"2"	""	"344"
"69"	"43"	"114"	"1"	"16"	"211"	"7"	""	"4"	"353"
"70"	"44"	"48"	"5"	"42"	"283"	"124"	"9"	"9"	"520"
"71"	"45"	"121"	"16"	"22"	"301"	"43"	"3"	"3"	"509"
"72"	"46"	"19"	"35"	"4"	"358"	"24"	"8"	"9"	"457"
"73"	"47"	"88"	"3"	"6"	"389"	"14"	"3"	"6"	"509"
"74"	"48"	"65"	"3"	"12"	"319"	"3"	"2"	"4"	"408"
"75"	"49"	"138"	"4"	"4"	"265"	"9"	"2"	"7"	"429"
"76"	"50"	"59"	"1"	"8"	"374"	"10"	""	"9"	"461"
"77"	";ksx&"	"1283"	"125"	"189"	"3796"	"319"	"39"	"77"	"5828"
"78"	"LFkku&"	""	""	""	""	""	""	""	""
"79"	"fnukad&                                                            lax.kd dk gLrk{kj         i;Zos{kd dk gLrk{j"	""	""	""	""	""	""	""	""
"80"	"ernku dsUnz
la[;k"	"iiiizzRRzzRR;;;;kkkk''''kkkkhhhh ddddssss eeeerrrr"	""	""	""	""	""	""	""
"81"	""	"tkcsn bdoky
valkjh"	"uoy fd'kksj
izlkn flag"	"jfo dqekj flag"	"jkeukjk;.k
ea.My"	"vkse izdk'k
xqIrk"	"jkepUnz
jtd"	"yky eksgu 'kekZ"	"erks dk ;ksx"
"82"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"83"	"51"	"83"	"46"	"39"	"282"	"23"	"2"	"11"	"486"
"84"	"52"	"60"	"11"	"70"	"431"	"24"	"6"	"18"	"620"
"85"	"53"	"264"	"7"	"7"	"56"	"9"	"1"	"2"	"346"
"86"	"53A"	"304"	"7"	"7"	"4"	"2"	"2"	"10"	"336"
"87"	"54"	""	""	""	""	""	""	""	"0"
"88"	"55"	"121"	"9"	"28"	"216"	"12"	"4"	"7"	"397"
"89"	"56"	"185"	"9"	"5"	"94"	"9"	"1"	"2"	"305"
"90"	"57"	"130"	"6"	"5"	"77"	"4"	""	"5"	"227"
"91"	"58"	"28"	"7"	"5"	"175"	"14"	"3"	"8"	"240"
"92"	"59"	"164"	"8"	"3"	"296"	"25"	"12"	"19"	"527"
"93"	"60"	"22"	"25"	"135"	"327"	"24"	"6"	"21"	"560"
"94"	"61"	"80"	"26"	"8"	"179"	"11"	"6"	"11"	"321"
"95"	"61A"	"103"	"5"	"10"	"174"	"13"	"4"	"9"	"318"
"96"	"62"	"81"	"7"	"3"	"241"	"6"	"3"	"9"	"350"
"97"	";ksx&"	"1625"	"173"	"325"	"2552"	"176"	"50"	"132"	"5033"
"98"	"LFkku&"	""	""	""	""	""	""	""	""
"99"	"fnukad&                                                            lax.kd dk gLrk{kj         i;Zos{kd dk gLrk{j"	""	""	""	""	""	""	""	""
"100"	"6th round"	""	""	""	""	""	""	""	""
"101"	"ernku dsUnz
la[;k"	"iiiizzRRzzRR;;;;kkkk''''kkkkhhhh ddddssss eeeerrrr"	""	""	""	""	""	""	""
"102"	""	"tkcsn bdoky
valkjh"	"uoy fd'kksj
izlkn flag"	"jfo dqekj flag"	"jkeukjk;.k
ea.My"	"vkse izdk'k
xqIrk"	"jkepUnz
jtd"	"yky eksgu 'kekZ"	"erks dk ;ksx"
"103"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"104"	"63"	"246"	"14"	"10"	"251"	"11"	"8"	"8"	"548"
"105"	"64"	"157"	"13"	"20"	"380"	"13"	""	"9"	"592"
"106"	"65"	"83"	"9"	"17"	"257"	"53"	"5"	"19"	"443"
"107"	"66"	"103"	"3"	"8"	"193"	"16"	"5"	"8"	"336"
"108"	"67"	"157"	"5"	"47"	"207"	"9"	"4"	"2"	"431"
"109"	"68"	"108"	"6"	"38"	"301"	"10"	"5"	"9"	"477"
"110"	"69"	"178"	"21"	"10"	"317"	"19"	"7"	"6"	"558"
"111"	"70"	"142"	"9"	"12"	"173"	"4"	"3"	"4"	"347"
"112"	"71"	"167"	"10"	"4"	"211"	"9"	"8"	"15"	"424"
"113"	"72"	"51"	"6"	"12"	"189"	"11"	"2"	"2"	"273"
"114"	"73"	"63"	"16"	"10"	"204"	"12"	"1"	"4"	"310"
"115"	"73A"	"161"	"6"	"6"	"136"	"8"	"1"	"4"	"322"
"116"	"74"	"119"	"7"	"41"	"91"	"12"	""	"2"	"272"
"117"	"75"	"85"	"2"	"5"	"256"	"8"	"1"	"3"	"360"
"118"	";ksx&"	"1820"	"127"	"240"	"3166"	"195"	"50"	"95"	"5693"
"119"	"LFkku&"	""	""	""	""	""	""	""	""
"120"	"fnukad&                                                            lax.kd dk gLrk{kj         i;Zos{kd dk gLrk{j"	""	""	""	""	""	""	""	""
"121"	"7th round"	""	""	""	""	""	""	""	""
"122"	"ernku dsUnz
la[;k"	"iiiizzRRzzRR;;;;kkkk''''kkkkhhhh ddddssss eeeerrrr"	""	""	""	""	""	""	""
"123"	""	"tkcsn bdoky
valkjh"	"uoy fd'kksj
izlkn flag"	"jfo dqekj flag"	"jkeukjk;.k
ea.My"	"vkse izdk'k
xqIrk"	"jkepUnz
jtd"	"yky eksgu 'kekZ"	"erks dk ;ksx"
"124"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"125"	"76"	"242"	"12"	"23"	"21"	"5"	"5"	"7"	"315"
"126"	"77"	"264"	"13"	"16"	"271"	"20"	"6"	"8"	"598"
"127"	"78"	"115"	"7"	"10"	"262"	"23"	"7"	"17"	"441"
"128"	"79"	"113"	"38"	"41"	"112"	"6"	"4"	"11"	"325"
"129"	"80"	"262"	"28"	"35"	"215"	"19"	"6"	"23"	"588"
"130"	"81"	"38"	"12"	"13"	"512"	"32"	"10"	"10"	"627"
"131"	"82"	"109"	"6"	"29"	"133"	"12"	"3"	"5"	"297"
"132"	"83"	"118"	"4"	"2"	"82"	"13"	"1"	"3"	"223"
"133"	"84"	"60"	"6"	"26"	"134"	"25"	"4"	"30"	"285"
"134"	"85"	"93"	"6"	"26"	"389"	"17"	"4"	"9"	"544"
"135"	"86"	"113"	"3"	"4"	"326"	"16"	"3"	"6"	"471"
"136"	"87"	"226"	"11"	"15"	"285"	"19"	"4"	"10"	"570"
"137"	"88"	"204"	"22"	"19"	"324"	"12"	"4"	"10"	"595"
"138"	"89"	"63"	"3"	"7"	"400"	"21"	"2"	"5"	"501"
"139"	";ksx&"	"2020"	"171"	"266"	"3466"	"240"	"63"	"154"	"6380"
"140"	"LFkku&"	""	""	""	""	""	""	""	""
"141"	"fnukad&                                                            lax.kd dk gLrk{kj         i;Zos{kd dk gLrk{j"	""	""	""	""	""	""	""	""
"142"	"ernku dsUnz
la[;k"	"iiiizzRRzzRR;;;;kkkk''''kkkkhhhh ddddssss eeeerrrr"	""	""	""	""	""	""	""
"143"	""	"tkcsn bdoky
valkjh"	"uoy fd'kksj
izlkn flag"	"jfo dqekj flag"	"jkeukjk;.k
ea.My"	"vkse izdk'k
xqIrk"	"jkepUnz
jtd"	"yky eksgu 'kekZ"	"erks dk ;ksx"
"144"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"145"	"90"	"180"	"11"	"31"	"269"	"12"	"1"	"6"	"510"
"146"	"91"	"163"	"19"	"34"	"112"	"2"	"2"	"1"	"333"
"147"	"92"	"76"	"5"	"45"	"133"	"12"	"2"	"6"	"279"
"148"	"93"	"124"	"4"	"25"	"280"	"8"	"4"	"6"	"451"
"149"	"94"	"175"	"18"	"19"	"225"	"16"	"7"	"21"	"481"
"150"	"95"	"199"	"19"	"14"	"155"	"10"	"1"	"17"	"415"
"151"	"96"	"197"	"14"	"11"	"90"	"10"	"3"	"9"	"334"
"152"	"97"	"312"	"21"	"14"	"139"	"7"	"3"	"8"	"504"
"153"	"98"	"226"	"10"	"5"	"97"	"7"	""	"5"	"350"
"154"	"99"	"75"	"16"	"29"	"273"	"23"	"15"	"32"	"463"
"155"	"100"	"373"	"16"	"12"	"92"	"9"	"1"	"11"	"514"
"156"	"101"	"184"	"8"	"10"	"47"	"2"	""	""	"251"
"157"	"102"	"76"	"5"	"2"	"106"	"13"	"5"	"15"	"222"
"158"	"103"	"297"	"13"	"6"	"102"	"14"	"8"	"16"	"456"
"159"	";ksx&"	"2657"	"179"	"257"	"2120"	"145"	"52"	"153"	"5563"
"160"	"LFkku&"	""	""	""	""	""	""	""	""
"161"	"fnukad&                                                            lax.kd dk gLrk{kj         i;Zos{kd dk gLrk{j"	""	""	""	""	""	""	""	""
"162"	"ernku dsUnz
la[;k"	"iiiizzRRzzRR;;;;kkkk''''kkkkhhhh ddddssss eeeerrrr"	""	""	""	""	""	""	""
"163"	""	"tkcsn bdoky
valkjh"	"uoy fd'kksj
izlkn flag"	"jfo dqekj flag"	"jkeukjk;.k
ea.My"	"vkse izdk'k
xqIrk"	"jkepUnz
jtd"	"yky eksgu 'kekZ"	"erks dk ;ksx"
"164"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"165"	"104"	"223"	"23"	"8"	"68"	"6"	"1"	"7"	"336"
"166"	"105"	"268"	"8"	"4"	"52"	"2"	"2"	"5"	"341"
"167"	"106"	"240"	"8"	"3"	"71"	"6"	"1"	"3"	"332"
"168"	"107"	"344"	"33"	"19"	"98"	"13"	"13"	"28"	"548"
"169"	"108"	"387"	"22"	"9"	"49"	"8"	"9"	"23"	"507"
"170"	"109"	"293"	"11"	"20"	"165"	"7"	"5"	"17"	"518"
"171"	"110"	"136"	"6"	"3"	"16"	"3"	"2"	"5"	"171"
"172"	"111"	"95"	"6"	"24"	"300"	"12"	""	"10"	"447"
"173"	"112"	"271"	"13"	"10"	"165"	"2"	"1"	"9"	"471"
"174"	"113"	"66"	"10"	"6"	"193"	"12"	"4"	"14"	"305"
"175"	"114"	"126"	"14"	"10"	"178"	"15"	"4"	"10"	"357"
"176"	"115"	"130"	"20"	"17"	"197"	"12"	"2"	"8"	"386"
"177"	"116"	"338"	"30"	"48"	"132"	"16"	"7"	"44"	"615"
"178"	"117"	"65"	"14"	"12"	"193"	"13"	"7"	"7"	"311"
"179"	";ksx&"	"2982"	"218"	"193"	"1877"	"127"	"58"	"190"	"5645"
"180"	"LFkku&"	""	""	""	""	""	""	""	""
"181"	"fnukad&                                                            lax.kd dk gLrk{kj         i;Zos{kd dk gLrk{j"	""	""	""	""	""	""	""	""
"182"	"ernku dsUnz
la[;k"	"iiiizzRRzzRR;;;;kkkk''''kkkkhhhh ddddssss eeeerrrr"	""	""	""	""	""	""	""
"183"	""	"tkcsn bdoky
valkjh"	"uoy fd'kksj
izlkn flag"	"jfo dqekj flag"	"jkeukjk;.k
ea.My"	"vkse izdk'k
xqIrk"	"jkepUnz
jtd"	"yky eksgu 'kekZ"	"erks dk ;ksx"
"184"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"185"	"118"	"106"	"23"	"18"	"181"	"24"	"9"	"16"	"377"
"186"	"119"	"68"	"6"	"20"	"421"	"31"	"5"	"22"	"573"
"187"	"120"	"43"	"21"	"34"	"192"	"19"	"6"	"20"	"335"
"188"	"121"	"82"	"10"	"10"	"266"	"11"	"4"	"11"	"394"
"189"	"122"	"77"	"22"	"23"	"325"	"16"	"10"	"22"	"495"
"190"	"123"	"82"	"31"	"30"	"114"	"9"	"3"	"9"	"278"
"191"	"124"	"89"	"9"	"22"	"308"	"18"	"9"	"16"	"471"
"192"	"125"	"86"	"22"	"75"	"188"	"12"	"2"	"4"	"389"
"193"	"126"	"188"	"6"	"8"	"124"	"10"	"3"	"18"	"357"
"194"	"127"	"182"	"9"	"35"	"250"	"12"	"8"	"18"	"514"
"195"	"128"	"215"	"16"	"12"	"106"	"5"	"2"	"22"	"378"
"196"	"129"	"260"	"15"	"22"	"132"	"9"	"4"	"19"	"461"
"197"	"130"	"333"	"14"	"4"	"89"	"4"	"1"	"16"	"461"
"198"	"131"	"34"	"4"	"10"	"512"	"2"	"3"	"10"	"575"
"199"	";ksx&"	"1845"	"208"	"323"	"3208"	"182"	"69"	"223"	"6058"
"200"	""	""	""	""	""	""	""	""	""
"201"	"LFkku&"	""	""	""	""	""	""	""	""
"202"	"fnukad&                                                            lax.kd dk gLrk{kj         i;Zos{kd dk gLrk{j"	""	""	""	""	""	""	""	""
"203"	"izi=&20"	""	""	""	""	""	""	""	""
"204"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""
"205"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""
"206"	"156&ckadk fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""
"207"	""	""	""	""	""	""	""	"11th round"	""
"208"	"ernku dsUnz
la[;k"	"iiiizzRRzzRR;;;;kkkk''''kkkkhhhh ddddssss eeeerrrr"	""	""	""	""	""	""	""
"209"	""	"tkcsn bdoky
valkjh"	"uoy fd'kksj
izlkn flag"	"jfo dqekj flag"	"jkeukjk;.k
ea.My"	"vkse izdk'k
xqIrk"	"jkepUnz
jtd"	"yky eksgu 'kekZ"	"erks dk ;ksx"
"210"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"211"	"132"	"12"	""	"1"	"7"	"1"	""	"2"	"23"
"212"	"133"	"78"	"5"	"86"	"187"	"13"	"5"	"14"	"388"
"213"	"134"	"118"	"10"	"47"	"263"	"17"	"1"	"10"	"466"
"214"	"135"	"64"	"5"	"120"	"119"	"10"	"4"	"10"	"332"
"215"	"136"	"14"	"11"	"31"	"335"	"10"	"2"	"2"	"405"
"216"	"137"	"673"	"2"	"11"	"18"	"1"	""	"11"	"716"
"217"	"138"	"640"	""	"2"	"14"	""	""	""	"656"
"218"	"139"	"217"	"35"	"106"	"229"	"19"	"6"	"7"	"619"
"219"	"140"	"134"	"11"	"4"	"281"	"14"	"2"	"6"	"452"
"220"	"141"	"495"	"7"	"8"	"29"	""	"3"	"10"	"552"
"221"	"142"	"126"	"13"	"57"	"112"	"20"	"7"	"19"	"354"
"222"	"143"	"52"	"7"	"14"	"364"	"19"	"5"	"15"	"476"
"223"	"144"	"26"	"3"	"15"	"390"	"15"	""	"9"	"458"
"224"	"145"	"115"	"15"	"31"	"526"	"20"	"6"	"15"	"728"
"225"	";ksx&"	"2764"	"124"	"533"	"2874"	"159"	"41"	"130"	"6625"
"226"	"LFkku&"	""	""	""	""	""	""	""	""
"227"	"fnukad&                                                            lax.kd dk gLrk{kj         i;Zos{kd dk gLrk{j"	""	""	""	""	""	""	""	""
"228"	"ernku dsUnz
la[;k"	"iiiizzRRzzRR;;;;kkkk''''kkkkhhhh ddddssss eeeerrrr"	""	""	""	""	""	""	""
"229"	""	"tkcsn bdoky
valkjh"	"uoy fd'kksj
izlkn flag"	"jfo dqekj flag"	"jkeukjk;.k
ea.My"	"vkse izdk'k
xqIrk"	"jkepUnz
jtd"	"yky eksgu 'kekZ"	"erks dk ;ksx"
"230"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"231"	"146"	"43"	"5"	"23"	"217"	"13"	"5"	"14"	"320"
"232"	"147"	"227"	"20"	"44"	"262"	"13"	"5"	"15"	"586"
"233"	"148"	"93"	"7"	"13"	"164"	"15"	"10"	"18"	"320"
"234"	"149"	"131"	"15"	"13"	"290"	"20"	"4"	"10"	"483"
"235"	"150"	"158"	"5"	"29"	"197"	"16"	"9"	"27"	"441"
"236"	"151"	"91"	""	"10"	"236"	"4"	"2"	"5"	"348"
"237"	"152"	"129"	"22"	"66"	"369"	"13"	"2"	"16"	"617"
"238"	"153"	"209"	"16"	"72"	"183"	"15"	"3"	"6"	"504"
"239"	"154"	"120"	"5"	"9"	"236"	"18"	"4"	"5"	"397"
"240"	"155"	"59"	"10"	"75"	"359"	"21"	"13"	"12"	"549"
"241"	"156"	"76"	"7"	"33"	"343"	"16"	"5"	"14"	"494"
"242"	"157"	"210"	"3"	"71"	"5"	"1"	""	"2"	"292"
"243"	"157A"	"104"	"2"	"40"	"4"	"2"	"1"	"1"	"154"
"244"	"158"	"50"	"8"	"28"	"192"	"13"	"1"	"9"	"301"
"245"	";ksx&"	"1700"	"125"	"526"	"3057"	"180"	"64"	"154"	"5806"
"246"	"LFkku&"	""	""	""	""	""	""	""	""
"247"	"fnukad&                                                            lax.kd dk gLrk{kj         i;Zos{kd dk gLrk{j"	""	""	""	""	""	""	""	""
"248"	"ernku dsUnz
la[;k"	"iiiizzRRzzRR;;;;kkkk''''kkkkhhhh ddddssss eeeerrrr"	""	""	""	""	""	""	""
"249"	""	"tkcsn bdoky
valkjh"	"uoy fd'kksj
izlkn flag"	"jfo dqekj flag"	"jkeukjk;.k
ea.My"	"vkse izdk'k
xqIrk"	"jkepUnz
jtd"	"yky eksgu 'kekZ"	"erks dk ;ksx"
"250"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"251"	"159"	"68"	"3"	"10"	"289"	"4"	"1"	"2"	"377"
"252"	"160"	"133"	"7"	"67"	"188"	"14"	"4"	"11"	"424"
"253"	"161"	"304"	"8"	"44"	"230"	"15"	"1"	"13"	"615"
"254"	"162"	"75"	"5"	"35"	"296"	"13"	"4"	"13"	"441"
"255"	"163"	"83"	"1"	"8"	"446"	"13"	"4"	"12"	"567"
"256"	"164"	"166"	"8"	"30"	"351"	"15"	"5"	"11"	"586"
"257"	"165"	"251"	"7"	"21"	"117"	"17"	"4"	"7"	"424"
"258"	"165A"	"143"	"10"	"53"	"219"	"14"	"6"	"7"	"452"
"259"	"166"	"119"	"4"	"34"	"219"	"22"	"7"	"15"	"420"
"260"	"167"	"151"	"6"	"40"	"357"	"26"	"10"	"11"	"601"
"261"	"168"	"110"	"5"	"32"	"254"	"18"	"1"	"5"	"425"
"262"	"169"	"288"	"12"	"35"	"231"	"6"	"4"	"6"	"582"
"263"	"170"	"232"	"9"	"229"	"92"	"9"	"5"	"18"	"594"
"264"	"171"	"428"	"25"	"58"	"45"	"6"	"5"	"16"	"583"
"265"	";ksx&"	"2551"	"110"	"696"	"3334"	"192"	"61"	"147"	"7091"
"266"	"LFkku&"	""	""	""	""	""	""	""	""
"267"	"fnukad&                                                            lax.kd dk gLrk{kj         i;Zos{kd dk gLrk{j"	""	""	""	""	""	""	""	""
"268"	"ernku dsUnz
la[;k"	"iiiizzRRzzRR;;;;kkkk''''kkkkhhhh ddddssss eeeerrrr"	""	""	""	""	""	""	""
"269"	""	"tkcsn bdoky
valkjh"	"uoy fd'kksj
izlkn flag"	"jfo dqekj flag"	"jkeukjk;.k
ea.My"	"vkse izdk'k
xqIrk"	"jkepUnz
jtd"	"yky eksgu 'kekZ"	"erks dk ;ksx"
"270"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"271"	"172"	"228"	"5"	"13"	"228"	"12"	"6"	"12"	"504"
"272"	"173"	"173"	"5"	"14"	"144"	"4"	"3"	"10"	"353"
"273"	"174"	"213"	"13"	"51"	"67"	"7"	"5"	"10"	"366"
"274"	"174A"	"104"	"3"	"22"	"42"	"4"	"2"	"4"	"181"
"275"	"175"	"148"	"11"	"66"	"195"	"25"	"8"	"14"	"467"
"276"	"176"	"42"	"5"	"23"	"567"	"8"	"1"	"5"	"651"
"277"	"177"	"231"	"10"	"10"	"67"	"12"	"5"	"10"	"345"
"278"	"178"	"181"	"22"	"87"	"260"	"26"	"14"	"37"	"627"
"279"	"179"	"100"	"5"	"18"	"82"	"2"	"2"	"10"	"219"
"280"	"179A"	"393"	"3"	"27"	"20"	"1"	"3"	"3"	"450"
"281"	"180"	"169"	"3"	"85"	"121"	"4"	"4"	"5"	"391"
"282"	"181"	"225"	"6"	"13"	"72"	"1"	""	"2"	"319"
"283"	"182"	"42"	"5"	"10"	"332"	"8"	"5"	"12"	"414"
"284"	"182A"	"28"	"6"	"49"	"190"	"6"	"4"	"4"	"287"
"285"	";ksx&"	"2277"	"102"	"488"	"2387"	"120"	"62"	"138"	"5574"
"286"	"LFkku&"	""	""	""	""	""	""	""	""
"287"	"fnukad&                                                            lax.kd dk gLrk{kj         i;Zos{kd dk gLrk{j"	""	""	""	""	""	""	""	""
"288"	"ernku dsUnz
la[;k"	"iiiizzRRzzRR;;;;kkkk''''kkkkhhhh ddddssss eeeerrrr"	""	""	""	""	""	""	""
"289"	""	"tkcsn bdoky
valkjh"	"uoy fd'kksj
izlkn flag"	"jfo dqekj flag"	"jkeukjk;.k
ea.My"	"vkse izdk'k
xqIrk"	"jkepUnz
jtd"	"yky eksgu 'kekZ"	"erks dk ;ksx"
"290"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"291"	"183"	"221"	"6"	"16"	"131"	"8"	"2"	"10"	"394"
"292"	"184"	"412"	"16"	"29"	"118"	"8"	"6"	"13"	"602"
"293"	"185"	"163"	"2"	"34"	"256"	"7"	"1"	"4"	"467"
"294"	"186"	"104"	"10"	"82"	"198"	"23"	"7"	"37"	"461"
"295"	"187"	"330"	"10"	"53"	"239"	"18"	"9"	"21"	"680"
"296"	"188"	"383"	"13"	"92"	"179"	"13"	"5"	"15"	"700"
