"Total.No..of.Electors.in.Assembly.Constituency.Segment"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"31"	""	"DHANRAJ SINGH"	""	"DR. MONAZIR HASSAN"	""	"RANDHIR SINGH"	""	"SANJAY YADAV"	""	"RAMDEO SINGH YADAV"	""	"LOK NATH KUSHWAHA"	""	"ASHOK KUMAR PODDAR"	"CHAND SHEKHAR"	"DEVAN YADAV"	"PRAKASH PASWAN"	"BABULAL PASWAN"	""	"OF VALID VOTES"	""	""	""
"32"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	"9"	"10"	"11"	"12"	""	"13"	"14"	"15"	"16"
"33"	"B/F"	"1075"	""	"3326"	""	"57"	""	"277"	""	"40"	""	"70"	""	"32"	"112"	"54"	"44"	"64"	""	"5151"	"0"	"5151"	""
"34"	"13"	"16"	""	"297"	""	"12"	""	"6"	""	"0"	""	"8"	""	"0"	"41"	"4"	"0"	"0"	""	"384"	""	"384"	""
"35"	"14"	"19"	""	"319"	""	"6"	""	"0"	""	"1"	""	"5"	""	"0"	"10"	"2"	"3"	"1"	""	"366"	""	"366"	""
"36"	"14A"	"29"	""	"280"	""	"12"	""	"1"	""	"1"	""	"8"	""	"0"	"8"	"1"	"0"	"0"	""	"340"	""	"340"	""
"37"	"15"	"127"	""	"283"	""	"3"	""	"4"	""	"2"	""	"7"	""	"0"	"13"	"1"	"1"	"3"	""	"444"	""	"444"	""
"38"	"16"	"84"	""	"139"	""	"2"	""	"4"	""	"1"	""	"4"	""	"0"	"2"	"1"	"1"	"3"	""	"241"	""	"241"	""
"39"	"17"	"272"	""	"184"	""	"4"	""	"5"	""	"10"	""	"5"	""	"3"	"12"	"4"	"0"	"4"	""	"503"	""	"503"	""
"40"	"18"	"82"	""	"162"	""	"7"	""	"46"	""	"2"	""	"3"	""	"3"	"6"	"3"	"5"	"3"	""	"322"	""	"322"	""
"41"	"19"	"41"	""	"373"	""	"4"	""	"1"	""	"1"	""	"6"	""	"2"	"8"	"2"	"6"	"3"	""	"447"	""	"447"	""
"42"	"20"	"26"	""	"178"	""	"1"	""	"1"	""	"0"	""	"8"	""	"0"	"5"	"2"	"2"	"3"	""	"226"	""	"226"	""
"43"	"20A"	"31"	""	"218"	""	"3"	""	"0"	""	"1"	""	"6"	""	"1"	"4"	"0"	"2"	"4"	""	"270"	""	"270"	""
"44"	"21"	"55"	""	"182"	""	"2"	""	"1"	""	"3"	""	"6"	""	"2"	"8"	"1"	"4"	"8"	""	"272"	""	"272"	""
"45"	"21A"	"78"	""	"176"	""	"2"	""	"1"	""	"1"	""	"2"	""	"1"	"2"	"1"	"2"	"1"	""	"267"	""	"267"	""
"46"	"22"	"24"	""	"247"	""	"54"	""	"2"	""	"0"	""	"5"	""	"1"	"2"	"1"	"1"	"1"	""	"338"	""	"338"	""
"47"	"22A"	"15"	""	"172"	""	"25"	""	"1"	""	"1"	""	"3"	""	"1"	"4"	"0"	"1"	"0"	""	"223"	""	"223"	""
"48"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"TOTAL"	"1974"	""	"6536"	""	"194"	""	"350"	""	"64"	""	"146"	""	"46"	"237"	"77"	"72"	"98"	""	"9794"	"0"	"9794"	""
"50"	"ROUND:- 2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of                                                                                                                                              TOTAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"53"	""	"DHANRAJ SINGH"	""	"DR. MONAZIR HASSAN"	""	"RANDHIR SINGH"	""	"SANJAY YADAV"	""	"RAMDEO SINGH YADAV"	""	"LOK NATH KUSHWAHA"	""	"ASHOK KUMAR PODDAR"	"CHAND SHEKHAR"	"DEVAN YADAV"	"PRAKASH PASWAN"	"BABULAL PASWAN"	""	"OF VALID VOTES"	""	""	""
"54"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	"9"	"10"	"11"	"12"	""	"13"	"14"	"15"	"16"
"55"	"B/F"	"1974"	""	"6536"	""	"194"	""	"350"	""	"64"	""	"146"	""	"46"	"237"	"77"	"72"	"98"	""	"9794"	"0"	"9794"	""
"56"	"23"	"38"	""	"314"	""	"5"	""	"1"	""	"1"	""	"7"	""	"1"	"7"	"2"	"3"	"3"	""	"382"	"0"	"382"	""
"57"	"24"	"23"	""	"259"	""	"4"	""	"0"	""	"1"	""	"8"	""	"2"	"11"	"0"	"1"	"3"	""	"312"	"0"	"312"	""
"58"	"24A"	"9"	""	"163"	""	"12"	""	"0"	""	"1"	""	"2"	""	"0"	"2"	"0"	"1"	"1"	""	"191"	"0"	"191"	""
"59"	"25"	"14"	""	"324"	""	"3"	""	"0"	""	"2"	""	"2"	""	"1"	"10"	"1"	"1"	"3"	""	"361"	"0"	"361"	""
"60"	"25A"	"25"	""	"240"	""	"0"	""	"0"	""	"0"	""	"2"	""	"2"	"5"	"1"	"1"	"3"	""	"279"	"0"	"279"	""
"61"	"26"	"11"	""	"233"	""	"0"	""	"0"	""	"0"	""	"3"	""	"1"	"20"	"0"	"2"	"5"	""	"275"	"0"	"275"	""
"62"	"26A"	"12"	""	"210"	""	"0"	""	"3"	""	"1"	""	"0"	""	"1"	"47"	"1"	"3"	"5"	""	"283"	"0"	"283"	""
"63"	"27"	"31"	""	"256"	""	"4"	""	"0"	""	"0"	""	"6"	""	"1"	"19"	"0"	"1"	"1"	""	"319"	"0"	"319"	""
"64"	"27A"	"10"	""	"216"	""	"1"	""	"1"	""	"2"	""	"6"	""	"1"	"10"	"0"	"0"	"0"	""	"247"	"0"	"247"	""
"65"	"28"	"50"	""	"325"	""	"12"	""	"1"	""	"0"	""	"2"	""	"0"	"28"	"2"	"3"	"4"	""	"427"	"0"	"427"	""
"66"	"29"	"31"	""	"206"	""	"1"	""	"2"	""	"0"	""	"1"	""	"0"	"5"	"0"	"1"	"4"	""	"251"	"0"	"251"	""
"67"	"30"	"18"	""	"548"	""	"4"	""	"3"	""	"0"	""	"1"	""	"0"	"3"	"1"	"0"	"3"	""	"581"	"0"	"581"	""
"68"	"31"	"26"	""	"248"	""	"2"	""	"2"	""	"1"	""	"4"	""	"1"	"9"	"0"	"2"	"3"	""	"298"	"0"	"298"	""
"69"	"31A"	"16"	""	"242"	""	"2"	""	"1"	""	"4"	""	"3"	""	"1"	"31"	"0"	"3"	"2"	""	"305"	"0"	"305"	""
"70"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"TOTAL"	"2288"	""	"10320"	""	"244"	""	"364"	""	"77"	""	"193"	""	"58"	"444"	"85"	"94"	"138"	""	"14305"	"0"	"14305"	""
"72"	"ROUND:- 3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of                                                                                                                                              TOTAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"75"	""	"DHANRAJ SINGH"	""	"DR. MONAZIR HASSAN"	""	"RANDHIR SINGH"	""	"SANJAY YADAV"	""	"RAMDEO SINGH YADAV"	""	"LOK NATH KUSHWAHA"	""	"ASHOK KUMAR PODDAR"	"CHAND SHEKHAR"	"DEVAN YADAV"	"PRAKASH PASWAN"	"BABULAL PASWAN"	""	"OF VALID VOTES"	""	""	""
"76"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	"9"	"10"	"11"	"12"	""	"13"	"14"	"15"	"16"
"77"	"B/F"	"2288"	""	"10320"	""	"244"	""	"364"	""	"77"	""	"193"	""	"58"	"444"	"85"	"94"	"138"	""	"14305"	"0"	"14305"	""
"78"	"32"	"34"	""	"520"	""	"7"	""	"1"	""	"1"	""	"15"	""	"4"	"23"	"2"	"1"	"4"	""	"612"	"0"	"612"	""
"79"	"33"	"11"	""	"358"	""	"1"	""	"6"	""	"1"	""	"3"	""	"1"	"18"	"1"	"1"	"0"	""	"401"	"0"	"401"	""
"80"	"33A"	"23"	""	"224"	""	"4"	""	"3"	""	"1"	""	"1"	""	"1"	"25"	"0"	"1"	"0"	""	"283"	"0"	"283"	""
"81"	"34"	"18"	""	"293"	""	"0"	""	"3"	""	"0"	""	"4"	""	"0"	"16"	"0"	"0"	"1"	""	"335"	"0"	"335"	""
"82"	"34A"	"12"	""	"265"	""	"1"	""	"0"	""	"7"	""	"2"	""	"0"	"4"	"1"	"0"	"2"	""	"294"	"0"	"294"	""
"83"	"35"	"13"	""	"351"	""	"3"	""	"1"	""	"6"	""	"6"	""	"2"	"21"	"1"	"4"	"0"	""	"408"	"0"	"408"	""
"84"	"36"	"24"	""	"233"	""	"2"	""	"2"	""	"1"	""	"4"	""	"0"	"10"	"0"	"1"	"1"	""	"278"	"0"	"278"	""
"85"	"37"	"39"	""	"432"	""	"5"	""	"2"	""	"0"	""	"4"	""	"1"	"16"	"0"	"5"	"6"	""	"510"	"0"	"510"	""
"86"	"38"	"28"	""	"297"	""	"2"	""	"0"	""	"2"	""	"6"	""	"2"	"15"	"1"	"2"	"4"	""	"359"	"0"	"359"	""
"87"	"39"	"35"	""	"271"	""	"1"	""	"3"	""	"1"	""	"7"	""	"3"	"8"	"0"	"1"	"0"	""	"330"	"0"	"330"	""
"88"	"39A"	"51"	""	"218"	""	"2"	""	"4"	""	"0"	""	"0"	""	"2"	"7"	"0"	"1"	"2"	""	"287"	"0"	"287"	""
"89"	"40"	"27"	""	"415"	""	"5"	""	"4"	""	"5"	""	"6"	""	"2"	"11"	"0"	"2"	"1"	""	"478"	"0"	"478"	""
"90"	"41"	"20"	""	"340"	""	"1"	""	"1"	""	"1"	""	"4"	""	"0"	"8"	"0"	"0"	"0"	""	"375"	"0"	"375"	""
"91"	"42"	"59"	""	"469"	""	"2"	""	"7"	""	"1"	""	"7"	""	"0"	"19"	"1"	"1"	"0"	""	"566"	"0"	"566"	""
"92"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"TOTAL"	"2682"	""	"15006"	""	"280"	""	"401"	""	"104"	""	"262"	""	"76"	"645"	"92"	"114"	"159"	""	"19821"	"0"	"19821"	""
"94"	"ROUND:- 4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of                                                                                                                                              TOTAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"97"	""	"DHANRAJ SINGH"	""	"DR. MONAZIR HASSAN"	""	"RANDHIR SINGH"	""	"SANJAY YADAV"	""	"RAMDEO SINGH YADAV"	""	"LOK NATH KUSHWAHA"	""	"ASHOK KUMAR PODDAR"	"CHAND SHEKHAR"	"DEVAN YADAV"	"PRAKASH PASWAN"	"BABULAL PASWAN"	""	"OF VALID VOTES"	""	""	""
"98"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	"9"	"10"	"11"	"12"	""	"13"	"14"	"15"	"16"
"99"	"B/F"	"2682"	""	"15006"	""	"280"	""	"401"	""	"104"	""	"262"	""	"76"	"645"	"92"	"114"	"159"	""	"19821"	"0"	"19821"	""
"100"	"43"	"27"	""	"358"	""	"2"	""	"3"	""	"1"	""	"3"	""	"1"	"7"	"2"	"0"	"2"	""	"406"	"0"	"406"	""
"101"	"44"	"23"	""	"409"	""	"2"	""	"2"	""	"1"	""	"8"	""	"2"	"16"	"3"	"2"	"3"	""	"471"	"0"	"471"	""
"102"	"45"	"27"	""	"198"	""	"1"	""	"0"	""	"0"	""	"4"	""	"0"	"2"	"0"	"1"	"2"	""	"235"	"0"	"235"	""
"103"	"45A"	"14"	""	"204"	""	"1"	""	"0"	""	"0"	""	"6"	""	"1"	"8"	"0"	"2"	"3"	""	"239"	"0"	"239"	""
"104"	"46"	"35"	""	"361"	""	"4"	""	"2"	""	"0"	""	"7"	""	"2"	"3"	"0"	"4"	"8"	""	"426"	"0"	"426"	""
"105"	"47"	"42"	""	"241"	""	"5"	""	"1"	""	"1"	""	"6"	""	"1"	"14"	"1"	"2"	"2"	""	"316"	"0"	"316"	""
"106"	"48"	"18"	""	"340"	""	"3"	""	"2"	""	"1"	""	"5"	""	"2"	"3"	"2"	"3"	"6"	""	"385"	"0"	"385"	""
"107"	"49"	"25"	""	"213"	""	"2"	""	"0"	""	"0"	""	"2"	""	"0"	"3"	"1"	"4"	"5"	""	"255"	"0"	"255"	""
"108"	"49A"	"29"	""	"201"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	"1"	"0"	"1"	"1"	""	"233"	"0"	"233"	""
"109"	"50"	"82"	""	"203"	""	"1"	""	"1"	""	"8"	""	"2"	""	"0"	"6"	"1"	"0"	"1"	""	"305"	"0"	"305"	""
"110"	"51"	"51"	""	"312"	""	"11"	""	"2"	""	"4"	""	"8"	""	"2"	"2"	"6"	"6"	"7"	""	"411"	"0"	"411"	""
"111"	"52"	"198"	""	"184"	""	"1"	""	"3"	""	"0"	""	"0"	""	"1"	"15"	"4"	"0"	"10"	""	"416"	"0"	"416"	""
"112"	"53"	"10"	""	"287"	""	"3"	""	"0"	""	"0"	""	"3"	""	"1"	"2"	"1"	"0"	"4"	""	"311"	"0"	"311"	""
"113"	"54"	"29"	""	"269"	""	"3"	""	"0"	""	"0"	""	"4"	""	"0"	"4"	"1"	"5"	"3"	""	"318"	""	"318"	""
"114"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"TOTAL"	"3292"	""	"18786"	""	"319"	""	"417"	""	"120"	""	"320"	""	"89"	"731"	"114"	"144"	"216"	""	"24548"	"0"	"24548"	""
"116"	"ROUND:- 5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of                                                                                                                                              TOTAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"119"	""	"DHANRAJ SINGH"	""	"DR. MONAZIR HASSAN"	""	"RANDHIR SINGH"	""	"SANJAY YADAV"	""	"RAMDEO SINGH YADAV"	""	"LOK NATH KUSHWAHA"	""	"ASHOK KUMAR PODDAR"	"CHAND SHEKHAR"	"DEVAN YADAV"	"PRAKASH PASWAN"	"BABULAL PASWAN"	""	"OF VALID VOTES"	""	""	""
"120"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	"9"	"10"	"11"	"12"	""	"13"	"14"	"15"	"16"
"121"	"B/F"	"3292"	""	"18786"	""	"319"	""	"417"	""	"120"	""	"320"	""	"89"	"731"	"114"	"144"	"216"	""	"24548"	"0"	"24548"	""
"122"	"54A"	"63"	""	"219"	""	"1"	""	"1"	""	"1"	""	"2"	""	"2"	"3"	"1"	"2"	"2"	""	"297"	"0"	"297"	""
"123"	"55"	"24"	""	"379"	""	"3"	""	"1"	""	"1"	""	"3"	""	"0"	"3"	"0"	"1"	"2"	""	"417"	"0"	"417"	""
"124"	"56"	"23"	""	"242"	""	"2"	""	"4"	""	"5"	""	"6"	""	"1"	"6"	"1"	"11"	"8"	""	"309"	"0"	"309"	""
"125"	"56A"	"191"	""	"53"	""	"3"	""	"0"	""	"2"	""	"2"	""	"0"	"2"	"2"	"0"	"10"	""	"265"	"0"	"265"	""
"126"	"57"	"24"	""	"317"	""	"2"	""	"0"	""	"2"	""	"0"	""	"1"	"1"	"1"	"1"	"0"	""	"349"	"0"	"349"	""
"127"	"58"	"27"	""	"326"	""	"3"	""	"3"	""	"7"	""	"2"	""	"3"	"11"	"0"	"1"	"2"	""	"385"	"0"	"385"	""
"128"	"59"	"10"	""	"171"	""	"3"	""	"1"	""	"2"	""	"0"	""	"0"	"1"	"0"	"0"	"2"	""	"190"	"0"	"190"	""
"129"	"60"	"28"	""	"468"	""	"2"	""	"2"	""	"0"	""	"3"	""	"0"	"16"	"2"	"2"	"4"	""	"527"	"0"	"527"	""
"130"	"61"	"38"	""	"302"	""	"3"	""	"2"	""	"0"	""	"1"	""	"0"	"2"	"1"	"3"	"3"	""	"355"	"0"	"355"	""
"131"	"61A"	"13"	""	"303"	""	"0"	""	"0"	""	"2"	""	"3"	""	"0"	"1"	"1"	"0"	"2"	""	"325"	"0"	"325"	""
"132"	"62"	"37"	""	"369"	""	"4"	""	"4"	""	"0"	""	"4"	""	"2"	"0"	"1"	"1"	"1"	""	"423"	"0"	"423"	""
"133"	"62A"	"10"	""	"250"	""	"0"	""	"1"	""	"0"	""	"3"	""	"0"	"17"	"1"	"4"	"5"	""	"291"	"0"	"291"	""
"134"	"63"	"122"	""	"407"	""	"5"	""	"7"	""	"1"	""	"14"	""	"0"	"6"	"2"	"3"	"4"	""	"571"	"0"	"571"	""
"135"	"64"	"42"	""	"443"	""	"4"	""	"4"	""	"1"	""	"5"	""	"3"	"11"	"0"	"0"	"3"	""	"516"	"0"	"516"	""
"136"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"TOTAL"	"3944"	""	"23035"	""	"354"	""	"447"	""	"144"	""	"368"	""	"101"	"811"	"127"	"173"	"264"	""	"29768"	"0"	"29768"	""
"138"	"ROUND:- 6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of                                                                                                                                              TOTAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"141"	""	"DHANRAJ SINGH"	""	"DR. MONAZIR HASSAN"	""	"RANDHIR SINGH"	""	"SANJAY YADAV"	""	"RAMDEO SINGH YADAV"	""	"LOK NATH KUSHWAHA"	""	"ASHOK KUMAR PODDAR"	"CHAND SHEKHAR"	"DEVAN YADAV"	"PRAKASH PASWAN"	"BABULAL PASWAN"	""	"OF VALID VOTES"	""	""	""
"142"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	"9"	"10"	"11"	"12"	""	"13"	"14"	"15"	"16"
"143"	"B/F"	"3944"	""	"23035"	""	"354"	""	"447"	""	"144"	""	"368"	""	"101"	"811"	"127"	"173"	"264"	""	"29768"	"0"	"29768"	""
"144"	"65"	"117"	""	"99"	""	"0"	""	"2"	""	"4"	""	"2"	""	"1"	"6"	"0"	"1"	"1"	""	"233"	"0"	"233"	""
"145"	"65A"	"26"	""	"243"	""	"6"	""	"1"	""	"3"	""	"5"	""	"2"	"15"	"3"	"0"	"5"	""	"309"	"0"	"309"	""
"146"	"66"	"17"	""	"169"	""	"0"	""	"2"	""	"2"	""	"1"	""	"1"	"4"	"0"	"0"	"0"	""	"196"	"0"	"196"	""
"147"	"66A"	"23"	""	"275"	""	"1"	""	"2"	""	"1"	""	"3"	""	"0"	"13"	"0"	"0"	"2"	""	"320"	"0"	"320"	""
"148"	"67"	"41"	""	"381"	""	"3"	""	"2"	""	"2"	""	"9"	""	"1"	"9"	"3"	"2"	"9"	""	"462"	"0"	"462"	""
"149"	"68"	"35"	""	"438"	""	"2"	""	"1"	""	"7"	""	"5"	""	"0"	"15"	"1"	"1"	"3"	""	"508"	"0"	"508"	""
"150"	"69"	"41"	""	"304"	""	"1"	""	"3"	""	"2"	""	"6"	""	"2"	"16"	"0"	"3"	"2"	""	"380"	"0"	"380"	""
"151"	"70"	"38"	""	"333"	""	"2"	""	"3"	""	"0"	""	"11"	""	"5"	"21"	"1"	"3"	"8"	""	"425"	"0"	"425"	""
"152"	"71"	"46"	""	"293"	""	"2"	""	"0"	""	"1"	""	"4"	""	"2"	"10"	"3"	"0"	"3"	""	"364"	"0"	"364"	""
"153"	"72"	"1"	""	"36"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	"0"	"0"	"0"	"0"	""	"37"	"0"	"37"	""
"154"	"73"	"35"	""	"331"	""	"3"	""	"4"	""	"4"	""	"6"	""	"1"	"21"	"0"	"3"	"2"	""	"410"	"0"	"410"	""
"155"	"74"	"55"	""	"337"	""	"3"	""	"6"	""	"10"	""	"11"	""	"1"	"8"	"2"	"4"	"3"	""	"440"	"0"	"440"	""
"156"	"75"	"79"	""	"389"	""	"2"	""	"1"	""	"5"	""	"10"	""	"0"	"20"	"1"	"3"	"2"	""	"512"	"0"	"512"	""
"157"	"76"	"40"	""	"373"	""	"6"	""	"5"	""	"2"	""	"9"	""	"2"	"0"	"3"	"2"	"0"	""	"442"	"0"	"442"	""
"158"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"TOTAL"	"4538"	""	"27036"	""	"385"	""	"479"	""	"187"	""	"450"	""	"119"	"969"	"144"	"195"	"304"	""	"34806"	"0"	"34806"	""
"160"	"ROUND:- 7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
