"X.Statutory.Rules.and.Order.......................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"57"	"24"	"46"	"15"	"205"	"413"	"18"	"3"	"9"	"3"	"712"	""	"712"	""
"58"	"25"	"9"	"3"	"407"	"132"	"5"	"6"	"7"	"13"	"582"	""	"582"	""
"59"	"26"	"26"	"15"	"278"	"203"	"14"	"6"	"10"	"8"	"560"	""	"560"	""
"60"	"27"	"13"	"6"	"350"	"344"	"12"	"9"	"9"	"13"	"756"	""	"756"	""
"61"	"28"	"4"	"2"	"304"	"46"	"3"	"1"	"2"	"1"	"363"	""	"363"	""
"62"	"29"	"15"	"7"	"342"	"267"	"11"	"8"	"10"	"10"	"670"	""	"670"	""
"63"	"30"	"8"	"3"	"325"	"258"	"13"	"10"	"30"	"27"	"674"	""	"674"	""
"64"	"31"	"5"	"3"	"189"	"207"	"12"	"16"	"5"	"16"	"453"	""	"453"	""
"65"	"31A"	"5"	"4"	"99"	"254"	"6"	"1"	"3"	"5"	"377"	""	"377"	""
"66"	"32"	"22"	"13"	"236"	"310"	"14"	"7"	"8"	"11"	"621"	""	"621"	""
"67"	"33"	"19"	"7"	"187"	"149"	"11"	"5"	"33"	"6"	"417"	""	"417"	""
"68"	"34"	"16"	"1"	"71"	"233"	"5"	"3"	"100"	"6"	"435"	""	"435"	""
"69"	"34A"	"10"	"10"	"167"	"153"	"4"	"3"	"6"	"2"	"355"	""	"355"	""
"70"	"Current Round Total"	"208"	"92"	"3705"	"3117"	"134"	"83"	"235"	"131"	"7705"	"0"	"7705"	"0"
"71"	"Previous Round Total"	"298"	"511"	"6182"	"5558"	"211"	"162"	"154"	"285"	"13361"	"0"	"13361"	"0"
"72"	"TOTAL"	"506"	"603"	"9887"	"8675"	"345"	"245"	"389"	"416"	"21066"	"0"	"21066"	"0"
"73"	"(Statutory Rules and Order)                                                      ROUND : FOURTH"	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"Election to the Bihar Legislative Assembly 2005 from the 132-JOKIHAT Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"79"	""	"JIWACHH MANDAL"	"NASIMUR RAHMAN"	"MANZAR ALAM"	"SARFRAZ ALAM"	"PRAMOD SINGH YADAV"	"MOVINUL HAQUE"	"DEVANAND MANDAL"	"MOTILAL PASWAN"	""	""	""	""
"80"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"81"	"35"	"12"	"16"	"245"	"194"	"7"	"7"	"9"	"12"	"502"	""	"502"	""
"82"	"36"	"3"	"15"	"241"	"132"	"4"	"4"	"1"	"28"	"428"	""	"428"	""
"83"	"37"	"12"	"16"	"224"	"143"	"2"	"3"	"4"	"8"	"412"	""	"412"	""
"84"	"37A"	"4"	"5"	"289"	"37"	"2"	"1"	"4"	"24"	"366"	""	"366"	""
"85"	"38"	"5"	"20"	"445"	"169"	"9"	"7"	"4"	"13"	"672"	""	"672"	""
"86"	"39"	"3"	"4"	"392"	"48"	"5"	"8"	"47"	"9"	"516"	""	"516"	""
"87"	"40"	"12"	"10"	"360"	"249"	"18"	"9"	"14"	"29"	"701"	""	"701"	""
"88"	"41"	"8"	"12"	"217"	"144"	"16"	"10"	"4"	"25"	"436"	""	"436"	""
"89"	"42"	"5"	"6"	"198"	"132"	"19"	"8"	"23"	"11"	"402"	""	"402"	""
"90"	"43"	"4"	"12"	"182"	"244"	"8"	"4"	"2"	"6"	"462"	""	"462"	""
"91"	"44"	"4"	"12"	"177"	"137"	"6"	"11"	"4"	"17"	"368"	""	"368"	""
"92"	"45"	"8"	"10"	"327"	"66"	"1"	"2"	"5"	"10"	"429"	""	"429"	""
"93"	"46"	"2"	"0"	"467"	"72"	"3"	"8"	"13"	"10"	"575"	""	"575"	""
"94"	"47"	"13"	"8"	"144"	"309"	"12"	"5"	"3"	"3"	"497"	""	"497"	""
"95"	"Current Round Total"	"95"	"146"	"3908"	"2076"	"112"	"87"	"137"	"205"	"6766"	"0"	"6766"	"0"
"96"	"Previous Round Total"	"506"	"603"	"9887"	"8675"	"345"	"245"	"389"	"416"	"21066"	"0"	"21066"	"0"
"97"	"TOTAL"	"601"	"749"	"13795"	"10751"	"457"	"332"	"526"	"621"	"27832"	"0"	"27832"	"0"
"98"	"(Statutory Rules and Order)                                                      ROUND : FIFTH"	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"Election to the Bihar Legislative Assembly 2005 from the 132-JOKIHAT Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"104"	""	"JIWACHH MANDAL"	"NASIMUR RAHMAN"	"MANZAR ALAM"	"SARFRAZ ALAM"	"PRAMOD SINGH YADAV"	"MOVINUL HAQUE"	"DEVANAND MANDAL"	"MOTILAL PASWAN"	""	""	""	""
"105"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"106"	"48"	"0"	"0"	"305"	"79"	"0"	"0"	"18"	"5"	"407"	""	"407"	""
"107"	"49"	"9"	"5"	"419"	"205"	"12"	"19"	"7"	"31"	"707"	""	"707"	""
"108"	"50"	"11"	"4"	"311"	"260"	"7"	"6"	"3"	"13"	"615"	""	"615"	""
"109"	"51"	"8"	"5"	"144"	"313"	"14"	"4"	"4"	"4"	"496"	""	"496"	""
"110"	"51A"	"9"	"8"	"122"	"235"	"16"	"3"	"9"	"12"	"414"	""	"414"	""
"111"	"52"	"13"	"9"	"220"	"195"	"3"	"9"	"17"	"37"	"503"	""	"503"	""
"112"	"52A"	"19"	"7"	"138"	"227"	"16"	"7"	"6"	"16"	"436"	""	"436"	""
"113"	"53"	"8"	"9"	"191"	"196"	"8"	"3"	"0"	"11"	"426"	""	"426"	""
"114"	"53A"	"7"	"4"	"259"	"145"	"5"	"6"	"1"	"9"	"436"	""	"436"	""
"115"	"54"	"16"	"9"	"245"	"297"	"12"	"10"	"9"	"18"	"616"	""	"616"	""
"116"	"55"	"12"	"11"	"201"	"255"	"23"	"6"	"8"	"12"	"528"	""	"528"	""
"117"	"56"	"11"	"37"	"285"	"217"	"6"	"4"	"12"	"18"	"590"	""	"590"	""
"118"	"57"	"6"	"44"	"164"	"156"	"13"	"14"	"7"	"24"	"428"	""	"428"	""
"119"	"58"	"19"	"15"	"276"	"267"	"26"	"13"	"6"	"13"	"635"	""	"635"	""
"120"	"Current Round Total"	"148"	"167"	"3280"	"3047"	"161"	"104"	"107"	"223"	"7237"	"0"	"7237"	"0"
"121"	"Previous Round Total"	"601"	"749"	"13795"	"10751"	"457"	"332"	"526"	"621"	"27832"	"0"	"27832"	"0"
"122"	"TOTAL"	"749"	"916"	"17075"	"13798"	"618"	"436"	"633"	"844"	"35069"	"0"	"35069"	"0"
"123"	"(Statutory Rules and Order)                                                      ROUND : SIXTH"	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"Election to the Bihar Legislative Assembly 2005 from the 132-JOKIHAT Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"129"	""	"JIWACHH MANDAL"	"NASIMUR RAHMAN"	"MANZAR ALAM"	"SARFRAZ ALAM"	"PRAMOD SINGH YADAV"	"MOVINUL HAQUE"	"DEVANAND MANDAL"	"MOTILAL PASWAN"	""	""	""	""
"130"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"131"	"59"	"7"	"4"	"216"	"153"	"5"	"7"	"2"	"18"	"412"	""	"412"	""
"132"	"60"	"14"	"16"	"274"	"351"	"13"	"2"	"9"	"16"	"695"	""	"695"	""
"133"	"61"	"31"	"21"	"340"	"201"	"14"	"15"	"18"	"43"	"683"	""	"683"	""
"134"	"62"	"19"	"32"	"74"	"573"	"23"	"7"	"7"	"9"	"744"	""	"744"	""
"135"	"63"	"11"	"143"	"61"	"133"	"11"	"4"	"10"	"10"	"383"	""	"383"	""
"136"	"64"	"6"	"12"	"251"	"107"	"5"	"2"	"10"	"10"	"403"	""	"403"	""
"137"	"65"	"17"	"106"	"140"	"262"	"9"	"4"	"4"	"20"	"562"	""	"562"	""
"138"	"66"	"10"	"35"	"123"	"200"	"7"	"3"	"2"	"4"	"384"	""	"384"	""
"139"	"67"	"12"	"36"	"77"	"287"	"8"	"9"	"9"	"14"	"452"	""	"452"	""
"140"	"68"	"20"	"155"	"83"	"184"	"18"	"5"	"4"	"10"	"479"	""	"479"	""
"141"	"69"	"13"	"164"	"206"	"85"	"3"	"6"	"6"	"14"	"497"	""	"497"	""
"142"	"70"	"12"	"86"	"148"	"231"	"7"	"0"	"0"	"1"	"485"	""	"485"	""
"143"	"71"	"22"	"140"	"126"	"180"	"15"	"1"	"4"	"3"	"491"	""	"491"	""
"144"	"72"	"21"	"64"	"232"	"252"	"12"	"2"	"3"	"14"	"600"	""	"600"	""
"145"	"Current Round Total"	"215"	"1014"	"2351"	"3199"	"150"	"67"	"88"	"186"	"7270"	"0"	"7270"	"0"
"146"	"Previous Round Total"	"749"	"916"	"17075"	"13798"	"618"	"436"	"633"	"844"	"35069"	"0"	"35069"	"0"
"147"	"TOTAL"	"964"	"1930"	"19426"	"16997"	"768"	"503"	"721"	"1030"	"42339"	"0"	"42339"	"0"
"148"	"(Statutory Rules and Order)                                                      ROUND : SEVENTH"	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"Election to the Bihar Legislative Assembly 2005 from the 132-JOKIHAT Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"154"	""	"JIWACHH MANDAL"	"NASIMUR RAHMAN"	"MANZAR ALAM"	"SARFRAZ ALAM"	"PRAMOD SINGH YADAV"	"MOVINUL HAQUE"	"DEVANAND MANDAL"	"MOTILAL PASWAN"	""	""	""	""
"155"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"156"	"73"	"9"	"61"	"116"	"148"	"11"	"4"	"7"	"9"	"365"	""	"365"	""
"157"	"73A"	"5"	"66"	"154"	"133"	"5"	"4"	"6"	"12"	"385"	""	"385"	""
"158"	"74"	"6"	"223"	"49"	"80"	"2"	"3"	"5"	"3"	"371"	""	"371"	""
"159"	"75"	"22"	"182"	"97"	"145"	"12"	"8"	"9"	"16"	"491"	""	"491"	""
"160"	"75A"	"6"	"72"	"173"	"87"	"6"	"5"	"0"	"9"	"358"	""	"358"	""
"161"	"76"	"17"	"139"	"152"	"79"	"7"	"6"	"8"	"13"	"421"	""	"421"	""
"162"	"77"	"14"	"149"	"203"	"125"	"10"	"14"	"10"	"47"	"572"	""	"572"	""
"163"	"78"	"1"	"13"	"200"	"24"	"3"	"1"	"41"	"3"	"286"	""	"286"	""
"164"	"79"	"15"	"196"	"106"	"72"	"1"	"7"	"3"	"5"	"405"	""	"405"	""
"165"	"80"	"12"	"98"	"257"	"186"	"8"	"2"	"7"	"15"	"585"	""	"585"	""
"166"	"81"	"11"	"125"	"61"	"351"	"20"	"11"	"10"	"15"	"604"	""	"604"	""
"167"	"82"	"14"	"46"	"90"	"237"	"6"	"5"	"10"	"5"	"413"	""	"413"	""
"168"	"83"	"16"	"18"	"45"	"246"	"9"	"10"	"6"	"12"	"362"	""	"362"	""
"169"	"84"	"3"	"9"	"333"	"61"	"2"	"5"	"6"	"6"	"425"	""	"425"	""
"170"	"Current Round Total"	"151"	"1397"	"2036"	"1974"	"102"	"85"	"128"	"170"	"6043"	"0"	"6043"	"0"
"171"	"Previous Round Total"	"964"	"1930"	"19426"	"16997"	"768"	"503"	"721"	"1030"	"42339"	"0"	"42339"	"0"
"172"	"TOTAL"	"1115"	"3327"	"21462"	"18971"	"870"	"588"	"849"	"1200"	"48382"	"0"	"48382"	"0"
"173"	"(Statutory Rules and Order)                                                      ROUND : EIGHTH"	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"Election to the Bihar Legislative Assembly 2005 from the 132-JOKIHAT Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"179"	""	"JIWACHH MANDAL"	"NASIMUR RAHMAN"	"MANZAR ALAM"	"SARFRAZ ALAM"	"PRAMOD SINGH YADAV"	"MOVINUL HAQUE"	"DEVANAND MANDAL"	"MOTILAL PASWAN"	""	""	""	""
"180"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"181"	"84A"	"4"	"7"	"216"	"42"	"4"	"2"	"7"	"6"	"288"	""	"288"	""
"182"	"85"	"18"	"17"	"325"	"327"	"18"	"12"	"10"	"20"	"747"	""	"747"	""
"183"	"86"	"5"	"11"	"309"	"134"	"6"	"5"	"2"	"16"	"488"	""	"488"	""
"184"	"86A"	"4"	"6"	"184"	"162"	"6"	"5"	"5"	"3"	"375"	""	"375"	""
"185"	"87"	"5"	"5"	"212"	"136"	"8"	"7"	"3"	"11"	"387"	""	"387"	""
"186"	"88"	"10"	"6"	"147"	"199"	"10"	"5"	"6"	"14"	"397"	""	"397"	""
"187"	"89"	"24"	"63"	"363"	"244"	"15"	"15"	"23"	"30"	"777"	""	"777"	""
"188"	"90"	"20"	"146"	"173"	"97"	"6"	"4"	"3"	"3"	"452"	""	"452"	""
"189"	"91"	"17"	"236"	"105"	"39"	"6"	"6"	"6"	"9"	"424"	""	"424"	""
"190"	"92"	"6"	"15"	"431"	"28"	"12"	"12"	"30"	"25"	"559"	""	"559"	""
"191"	"93"	"22"	"22"	"277"	"176"	"8"	"16"	"10"	"20"	"551"	""	"551"	""
"192"	"94"	"20"	"44"	"241"	"244"	"8"	"5"	"6"	"18"	"586"	""	"586"	""
"193"	"95"	"13"	"22"	"254"	"105"	"3"	"2"	"4"	"5"	"408"	""	"408"	""
"194"	"96"	"8"	"23"	"273"	"173"	"7"	"8"	"6"	"11"	"509"	""	"509"	""
"195"	"Current Round Total"	"176"	"623"	"3510"	"2106"	"117"	"104"	"121"	"191"	"6948"	"0"	"6948"	"0"
"196"	"Previous Round Total"	"1115"	"3327"	"21462"	"18971"	"870"	"588"	"849"	"1200"	"48382"	"0"	"48382"	"0"
"197"	"TOTAL"	"1291"	"3950"	"24972"	"21077"	"987"	"692"	"970"	"1391"	"55330"	"0"	"55330"	"0"
"198"	"(Statutory Rules and Order)                                                      ROUND : NINETH"	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"Election to the Bihar Legislative Assembly 2005 from the 132-JOKIHAT Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"204"	""	"JIWACHH MANDAL"	"NASIMUR RAHMAN"	"MANZAR ALAM"	"SARFRAZ ALAM"	"PRAMOD SINGH YADAV"	"MOVINUL HAQUE"	"DEVANAND MANDAL"	"MOTILAL PASWAN"	""	""	""	""
"205"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"206"	"97"	"12"	"9"	"231"	"115"	"6"	"7"	"2"	"28"	"410"	""	"410"	""
"207"	"98"	"8"	"6"	"230"	"165"	"14"	"8"	"9"	"24"	"464"	""	"464"	""
"208"	"99"	"19"	"54"	"269"	"234"	"6"	"2"	"4"	"15"	"603"	""	"603"	""
"209"	"100"	"6"	"99"	"130"	"143"	"9"	"3"	"2"	"12"	"404"	""	"404"	""
"210"	"101"	"15"	"75"	"215"	"302"	"15"	"8"	"20"	"39"	"689"	""	"689"	""
"211"	"102"	"8"	"47"	"89"	"177"	"21"	"8"	"8"	"46"	"404"	""	"404"	""
"212"	"102A"	"6"	"36"	"77"	"129"	"7"	"4"	"6"	"25"	"290"	""	"290"	""
"213"	"103"	"31"	"170"	"321"	"124"	"12"	"3"	"2"	"6"	"669"	""	"669"	""
"214"	"104"	"14"	"71"	"309"	"162"	"14"	"9"	"12"	"41"	"632"	""	"632"	""
"215"	"105"	"15"	"107"	"88"	"241"	"16"	"7"	"7"	"6"	"487"	""	"487"	""
"216"	"106"	"16"	"269"	"23"	"97"	"12"	"5"	"4"	"8"	"434"	""	"434"	""
"217"	"107"	"22"	"150"	"147"	"211"	"27"	"5"	"12"	"5"	"579"	""	"579"	""
"218"	"108"	"9"	"114"	"86"	"145"	"5"	"6"	"2"	"6"	"373"	""	"373"	""
"219"	"108A"	"6"	"17"	"335"	"57"	"5"	"2"	"5"	"4"	"431"	""	"431"	""
"220"	"Current Round Total"	"187"	"1224"	"2550"	"2302"	"169"	"77"	"95"	"265"	"6869"	"0"	"6869"	"0"
"221"	"Previous Round Total"	"1291"	"3950"	"24972"	"21077"	"987"	"692"	"970"	"1391"	"55330"	"0"	"55330"	"0"
"222"	"TOTAL"	"1478"	"5174"	"27522"	"23379"	"1156"	"769"	"1065"	"1656"	"62199"	"0"	"62199"	"0"
"223"	"(Statutory Rules and Order)                                                      ROUND : TENTH"	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"Election to the Bihar Legislative Assembly 2005 from the 132-JOKIHAT Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"229"	""	"JIWACHH MANDAL"	"NASIMUR RAHMAN"	"MANZAR ALAM"	"SARFRAZ ALAM"	"PRAMOD SINGH YADAV"	"MOVINUL HAQUE"	"DEVANAND MANDAL"	"MOTILAL PASWAN"	""	""	""	""
"230"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"231"	"109"	"13"	"206"	"105"	"266"	"26"	"11"	"14"	"26"	"667"	""	"667"	""
"232"	"110"	"11"	"171"	"54"	"169"	"13"	"2"	"8"	"7"	"435"	""	"435"	""
"233"	"111"	"22"	"29"	"196"	"163"	"14"	"5"	"9"	"12"	"450"	""	"450"	""
"234"	"112"	"20"	"82"	"83"	"371"	"13"	"10"	"3"	"11"	"593"	""	"593"	""
"235"	"113"	"10"	"58"	"219"	"305"	"6"	"7"	"6"	"25"	"636"	""	"636"	""
"236"	"114"	"25"	"137"	"125"	"202"	"8"	"8"	"3"	"14"	"522"	""	"522"	""
"237"	"115"	"32"	"90"	"163"	"255"	"15"	"17"	"10"	"26"	"608"	""	"608"	""
