"Total.No..of.Electors.in.Assembly.Constituency..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"40"	""	"21"	"166"	"7"	"12"	"15"	"5"	"2"	"7"	"6"	"238"	"458"	""	"458"	"0"
"41"	""	"22"	"28"	"5"	"71"	"28"	"4"	"4"	"6"	"6"	"198"	"350"	""	"350"	"0"
"42"	""	"23"	"19"	"6"	"341"	"20"	"7"	"6"	"10"	"5"	"101"	"515"	""	"515"	"0"
"43"	""	"24"	"22"	"8"	"192"	"49"	"1"	"5"	"11"	"4"	"67"	"359"	""	"359"	"0"
"44"	""	"25"	"47"	"3"	"47"	"11"	"4"	"3"	"6"	"10"	"248"	"379"	""	"379"	"0"
"45"	""	"25-A"	"44"	"4"	"43"	"4"	"2"	"4"	"12"	"6"	"165"	"284"	""	"284"	"0"
"46"	""	"26"	"136"	"11"	"22"	"25"	"10"	"3"	"10"	"9"	"264"	"490"	""	"490"	"0"
"47"	""	"Total"	"2009"	"104"	"864"	"358"	"52"	"71"	"107"	"77"	"1711"	"5353"	"0"	"5353"	"0"
"48"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 74 Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"55"	""	""	"Md. Ahmar Hassan"	"Chitradhar Mishra"	"Md. Ziyauddin"	"Faiyaz Ahmad"	"Bashuki Nath Jha"	"Shailendra Kumar Simanchal"	"S.M. Abdullah"	"Ram Chandra Yadav"	"Hari Bhushan Thakur"	""	""	""	""
"56"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"57"	"Round - 3"	"27"	"185"	"11"	"23"	"15"	"0"	"2"	"5"	"5"	"35"	"281"	""	"281"	"0"
"58"	""	"28"	"105"	"21"	"40"	"87"	"6"	"12"	"7"	"10"	"134"	"422"	""	"422"	"0"
"59"	""	"29"	"90"	"9"	"17"	"76"	"0"	"3"	"5"	"4"	"222"	"426"	""	"426"	"0"
"60"	""	"30"	"53"	"4"	"3"	"13"	"3"	"3"	"1"	"0"	"80"	"160"	""	"160"	"0"
"61"	""	"30-A"	"155"	"16"	"22"	"22"	"8"	"5"	"8"	"6"	"113"	"355"	""	"355"	"0"
"62"	""	"31"	"103"	"6"	"7"	"12"	"7"	"5"	"6"	"5"	"91"	"242"	""	"242"	"0"
"63"	""	"31-A"	"40"	"18"	"6"	"44"	"3"	"7"	"4"	"5"	"111"	"238"	""	"238"	"0"
"64"	""	"32"	"163"	"9"	"1"	"4"	"3"	"5"	"4"	"5"	"59"	"253"	""	"253"	"0"
"65"	""	"32-A"	"47"	"5"	"48"	"7"	"7"	"12"	"9"	"8"	"104"	"247"	""	"247"	"0"
"66"	""	"33"	"28"	"2"	"45"	"6"	"3"	"3"	"2"	"6"	"194"	"289"	""	"289"	"0"
"67"	""	"34"	"49"	"8"	"38"	"14"	"2"	"3"	"8"	"8"	"382"	"512"	""	"512"	"0"
"68"	""	"35"	"120"	"10"	"14"	"6"	"6"	"1"	"5"	"4"	"251"	"417"	""	"417"	"0"
"69"	""	"36"	"57"	"6"	"22"	"12"	"6"	"6"	"8"	"19"	"406"	"542"	""	"542"	"0"
"70"	""	"37"	"23"	"1"	"5"	"5"	"1"	"1"	"2"	"8"	"259"	"305"	""	"305"	"0"
"71"	""	"Total"	"1218"	"126"	"291"	"323"	"55"	"68"	"74"	"93"	"2441"	"4689"	"0"	"4689"	"0"
"72"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 74 Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"79"	""	""	"Md. Ahmar Hassan"	"Chitradhar Mishra"	"Md. Ziyauddin"	"Faiyaz Ahmad"	"Bashuki Nath Jha"	"Shailendra Kumar Simanchal"	"S.M. Abdullah"	"Ram Chandra Yadav"	"Hari Bhushan Thakur"	""	""	""	""
"80"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"81"	"Round - 4"	"38"	"37"	"3"	"0"	"0"	"1"	"0"	"2"	"2"	"542"	"587"	""	"587"	"0"
"82"	""	"39"	"58"	"6"	"7"	"17"	"5"	"4"	"5"	"9"	"390"	"501"	""	"501"	"0"
"83"	""	"40"	"26"	"3"	"8"	"3"	"2"	"2"	"5"	"16"	"563"	"628"	""	"628"	"0"
"84"	""	"41"	"112"	"4"	"24"	"5"	"3"	"3"	"7"	"7"	"266"	"431"	""	"431"	"0"
"85"	""	"42"	"216"	"10"	"17"	"63"	"2"	"1"	"4"	"1"	"5"	"319"	""	"319"	"0"
"86"	""	"43"	"71"	"6"	"19"	"13"	"3"	"3"	"12"	"5"	"425"	"557"	""	"557"	"0"
"87"	""	"44"	"344"	"6"	"7"	"15"	"0"	"2"	"5"	"3"	"24"	"406"	""	"406"	"0"
"88"	""	"45"	"144"	"12"	"4"	"11"	"3"	"3"	"2"	"10"	"301"	"490"	""	"490"	"0"
"89"	""	"46"	"109"	"13"	"22"	"174"	"8"	"18"	"13"	"12"	"34"	"403"	""	"403"	"0"
"90"	""	"47"	"233"	"15"	"21"	"59"	"2"	"4"	"3"	"4"	"127"	"468"	""	"468"	"0"
"91"	""	"48"	"191"	"13"	"11"	"44"	"10"	"3"	"2"	"5"	"11"	"290"	""	"290"	"0"
"92"	""	"49"	"149"	"86"	"24"	"16"	"6"	"28"	"7"	"20"	"72"	"408"	""	"408"	"0"
"93"	""	"50"	"141"	"43"	"8"	"36"	"5"	"5"	"4"	"1"	"35"	"278"	""	"278"	"0"
"94"	""	"50-A"	"110"	"20"	"7"	"12"	"7"	"45"	"11"	"27"	"92"	"331"	""	"331"	"0"
"95"	""	"Total"	"1941"	"240"	"179"	"468"	"57"	"121"	"82"	"122"	"2887"	"6097"	"0"	"6097"	"0"
"96"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 74 Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"103"	""	""	"Md. Ahmar Hassan"	"Chitradhar Mishra"	"Md. Ziyauddin"	"Faiyaz Ahmad"	"Bashuki Nath Jha"	"Shailendra Kumar Simanchal"	"S.M. Abdullah"	"Ram Chandra Yadav"	"Hari Bhushan Thakur"	""	""	""	""
"104"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"105"	"Round - 5"	"51"	"81"	"7"	"10"	"22"	"6"	"6"	"11"	"7"	"167"	"317"	""	"317"	"0"
"106"	""	"52"	"113"	"7"	"65"	"87"	"10"	"14"	"13"	"18"	"105"	"432"	""	"432"	"0"
"107"	""	"53"	"116"	"13"	"31"	"92"	"11"	"11"	"10"	"18"	"65"	"367"	""	"367"	"0"
"108"	""	"54"	"182"	"10"	"23"	"74"	"1"	"3"	"2"	"2"	"7"	"304"	""	"304"	"0"
"109"	""	"54-A"	"211"	"7"	"11"	"34"	"6"	"6"	"5"	"2"	"14"	"296"	""	"296"	"0"
"110"	""	"55"	"60"	"5"	"53"	"3"	"6"	"2"	"7"	"5"	"249"	"390"	""	"390"	"0"
"111"	""	"56"	"183"	"6"	"41"	"14"	"5"	"2"	"5"	"16"	"198"	"470"	""	"470"	"0"
"112"	""	"57"	"112"	"4"	"8"	"20"	"12"	"3"	"6"	"18"	"162"	"345"	""	"345"	"0"
"113"	""	"58"	"20"	"1"	"9"	"2"	"1"	"2"	"1"	"11"	"274"	"321"	""	"321"	"0"
"114"	""	"58-A"	"47"	"5"	"2"	"1"	"0"	"1"	"1"	"1"	"203"	"261"	""	"261"	"0"
"115"	""	"59"	"130"	"18"	"27"	"14"	"9"	"11"	"14"	"3"	"423"	"649"	""	"649"	"0"
"116"	""	"60"	"65"	"7"	"131"	"53"	"7"	"2"	"6"	"4"	"39"	"314"	""	"314"	"0"
"117"	""	"61"	"180"	"12"	"21"	"19"	"3"	"2"	"3"	"13"	"23"	"276"	""	"276"	"0"
"118"	""	"62"	"259"	"7"	"14"	"9"	"3"	"4"	"2"	"0"	"24"	"322"	""	"322"	"0"
"119"	""	"Total"	"1759"	"109"	"446"	"444"	"80"	"69"	"86"	"118"	"1953"	"5064"	"0"	"5064"	"0"
"120"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 74 Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"127"	""	""	"Md. Ahmar Hassan"	"Chitradhar Mishra"	"Md. Ziyauddin"	"Faiyaz Ahmad"	"Bashuki Nath Jha"	"Shailendra Kumar Simanchal"	"S.M. Abdullah"	"Ram Chandra Yadav"	"Hari Bhushan Thakur"	""	""	""	""
"128"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"129"	"Round - 6"	"63"	"271"	"9"	"3"	"3"	"1"	"2"	"5"	"4"	"81"	"379"	""	"379"	"0"
"130"	""	"64"	"197"	"13"	"28"	"5"	"7"	"4"	"3"	"1"	"16"	"274"	""	"274"	"0"
"131"	""	"65"	"96"	"1"	"15"	"10"	"1"	"2"	"7"	"2"	"94"	"228"	""	"228"	"0"
"132"	""	"66"	"168"	"8"	"15"	"17"	"2"	"7"	"5"	"4"	"230"	"456"	""	"456"	"0"
"133"	""	"67"	"90"	"9"	"9"	"23"	"2"	"3"	"5"	"7"	"331"	"479"	""	"479"	"0"
"134"	""	"68"	"75"	"12"	"16"	"18"	"6"	"7"	"4"	"13"	"365"	"516"	""	"516"	"0"
"135"	""	"69"	"387"	"5"	"5"	"37"	"1"	"0"	"3"	"2"	"12"	"452"	""	"452"	"0"
"136"	""	"70"	"168"	"11"	"4"	"49"	"2"	"1"	"3"	"3"	"21"	"262"	""	"262"	"0"
"137"	""	"71"	"62"	"4"	"2"	"4"	"9"	"3"	"2"	"5"	"223"	"314"	""	"314"	"0"
"138"	""	"72"	"95"	"5"	"10"	"24"	"3"	"2"	"2"	"6"	"231"	"378"	""	"378"	"0"
"139"	""	"73"	"70"	"3"	"8"	"21"	"2"	"1"	"4"	"3"	"316"	"428"	""	"428"	"0"
"140"	""	"74"	"91"	"2"	"14"	"38"	"4"	"0"	"2"	"3"	"122"	"276"	""	"276"	"0"
"141"	""	"74-A"	"173"	"4"	"5"	"20"	"2"	"4"	"2"	"2"	"23"	"235"	""	"235"	"0"
"142"	""	"75"	"128"	"4"	"3"	"0"	"0"	"0"	"2"	"2"	"4"	"143"	""	"143"	"0"
"143"	""	"Total"	"2071"	"90"	"137"	"269"	"42"	"36"	"49"	"57"	"2069"	"4820"	"0"	"4820"	"0"
"144"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 74 Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"151"	""	""	"Md. Ahmar Hassan"	"Chitradhar Mishra"	"Md. Ziyauddin"	"Faiyaz Ahmad"	"Bashuki Nath Jha"	"Shailendra Kumar Simanchal"	"S.M. Abdullah"	"Ram Chandra Yadav"	"Hari Bhushan Thakur"	""	""	""	""
"152"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"153"	"Round - 7"	"76"	"186"	"6"	"9"	"3"	"5"	"1"	"7"	"14"	"166"	"397"	""	"397"	"0"
"154"	""	"77"	"130"	"5"	"5"	"7"	"2"	"3"	"5"	"6"	"162"	"325"	""	"325"	"0"
"155"	""	"78"	"103"	"8"	"12"	"17"	"3"	"3"	"8"	"15"	"161"	"330"	""	"330"	"0"
"156"	""	"78-A"	"169"	"7"	"15"	"12"	"1"	"2"	"4"	"26"	"87"	"323"	""	"323"	"0"
"157"	""	"79"	"168"	"6"	"71"	"20"	"11"	"12"	"13"	"75"	"149"	"525"	""	"525"	"0"
"158"	""	"80"	"49"	"14"	"20"	"24"	"4"	"3"	"5"	"18"	"336"	"473"	""	"473"	"0"
"159"	""	"81"	"24"	"8"	"6"	"16"	"4"	"2"	"5"	"17"	"149"	"231"	""	"231"	"0"
"160"	""	"81-A"	"45"	"3"	"3"	"31"	"3"	"1"	"3"	"9"	"183"	"281"	""	"281"	"0"
"161"	""	"82"	"43"	"13"	"45"	"127"	"4"	"9"	"4"	"18"	"176"	"439"	""	"439"	"0"
"162"	""	"83"	"90"	"9"	"9"	"3"	"13"	"4"	"7"	"13"	"164"	"312"	""	"312"	"0"
"163"	""	"84"	"189"	"3"	"4"	"176"	"3"	"1"	"3"	"4"	"4"	"387"	""	"387"	"0"
"164"	""	"85"	"237"	"12"	"2"	"58"	"3"	"10"	"6"	"12"	"151"	"491"	""	"491"	"0"
"165"	""	"86"	"119"	"5"	"6"	"207"	"0"	"5"	"2"	"4"	"13"	"361"	""	"361"	"0"
"166"	""	"87"	"175"	"5"	"9"	"52"	"1"	"2"	"2"	"3"	"2"	"251"	""	"251"	"0"
"167"	""	"Total"	"1727"	"104"	"216"	"753"	"57"	"58"	"74"	"234"	"1903"	"5126"	"0"	"5126"	"0"
"168"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 74 Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"175"	""	""	"Md. Ahmar Hassan"	"Chitradhar Mishra"	"Md. Ziyauddin"	"Faiyaz Ahmad"	"Bashuki Nath Jha"	"Shailendra Kumar Simanchal"	"S.M. Abdullah"	"Ram Chandra Yadav"	"Hari Bhushan Thakur"	""	""	""	""
"176"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"177"	"Round - 8"	"88"	"137"	"10"	"4"	"74"	"1"	"0"	"6"	"6"	"5"	"243"	""	"243"	"0"
"178"	""	"88-A"	"173"	"4"	"3"	"43"	"2"	"3"	"1"	"5"	"4"	"238"	""	"238"	"0"
"179"	""	"89"	"65"	"9"	"14"	"47"	"6"	"15"	"10"	"9"	"284"	"459"	""	"459"	"0"
"180"	""	"90"	"25"	"2"	"4"	"33"	"0"	"1"	"1"	"7"	"152"	"225"	""	"225"	"0"
"181"	""	"90-A"	"38"	"8"	"37"	"10"	"3"	"2"	"3"	"4"	"112"	"217"	""	"217"	"0"
"182"	""	"91"	"42"	"6"	"21"	"32"	"5"	"3"	"4"	"4"	"77"	"194"	""	"194"	"0"
"183"	""	"92"	"190"	"14"	"38"	"22"	"4"	"4"	"3"	"34"	"137"	"446"	""	"446"	"0"
"184"	""	"93"	"21"	"5"	"10"	"12"	"1"	"2"	"0"	"2"	"149"	"202"	""	"202"	"0"
"185"	""	"94"	"26"	"2"	"6"	"2"	"4"	"3"	"8"	"24"	"127"	"202"	""	"202"	"0"
"186"	""	"95"	"132"	"9"	"11"	"55"	"8"	"10"	"2"	"14"	"237"	"478"	""	"478"	"0"
"187"	""	"96"	"34"	"15"	"32"	"13"	"6"	"5"	"3"	"129"	"197"	"434"	""	"434"	"0"
"188"	""	"97"	"61"	"8"	"9"	"13"	"6"	"5"	"2"	"6"	"189"	"299"	""	"299"	"0"
"189"	""	"98"	"101"	"17"	"90"	"10"	"5"	"8"	"4"	"6"	"111"	"352"	""	"352"	"0"
"190"	""	"98-A"	"130"	"10"	"13"	"12"	"11"	"2"	"5"	"41"	"75"	"299"	""	"299"	"0"
"191"	""	"Total"	"1175"	"119"	"292"	"378"	"62"	"63"	"52"	"291"	"1856"	"4288"	"0"	"4288"	"0"
"192"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 74 Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"199"	""	""	"Md. Ahmar Hassan"	"Chitradhar Mishra"	"Md. Ziyauddin"	"Faiyaz Ahmad"	"Bashuki Nath Jha"	"Shailendra Kumar Simanchal"	"S.M. Abdullah"	"Ram Chandra Yadav"	"Hari Bhushan Thakur"	""	""	""	""
"200"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"201"	"Round - 9"	"99"	"164"	"11"	"6"	"78"	"3"	"6"	"12"	"27"	"40"	"347"	""	"347"	"0"
"202"	""	"100"	"123"	"4"	"8"	"16"	"0"	"7"	"6"	"46"	"123"	"333"	""	"333"	"0"
"203"	""	"101"	"47"	"4"	"10"	"5"	"3"	"3"	"6"	"54"	"59"	"191"	""	"191"	"0"
"204"	""	"102"	"148"	"4"	"27"	"15"	"8"	"8"	"7"	"38"	"155"	"410"	""	"410"	"0"
"205"	""	"103"	"55"	"6"	"4"	"11"	"2"	"6"	"2"	"7"	"213"	"306"	""	"306"	"0"
"206"	""	"104"	"66"	"5"	"7"	"6"	"5"	"8"	"3"	"5"	"179"	"284"	""	"284"	"0"
"207"	""	"105"	"60"	"9"	"10"	"26"	"1"	"18"	"8"	"14"	"185"	"331"	""	"331"	"0"
"208"	""	"106"	"221"	"21"	"11"	"40"	"13"	"185"	"13"	"14"	"105"	"623"	""	"623"	"0"
"209"	""	"107"	"85"	"16"	"9"	"75"	"3"	"4"	"4"	"7"	"281"	"484"	""	"484"	"0"
"210"	""	"108"	"266"	"9"	"2"	"11"	"2"	"1"	"0"	"0"	"2"	"293"	""	"293"	"0"
