"ernku.dsUnz.dh.la..k"	"fuEufyf.kr.Ik.k.esa.fn..x.s.fof.kekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"dqy.fof.kekU..er"	"izfr.ksfir.erksa.dh.la..k"	"X.ksx"	"fufonÙk.erksa.dh.la..k"
"33"	"24"	"18"	"131"	"51"	"137"	"3"	"2"	"0"	"342"	"0"	"342"	"0"
"34"	"24 d"	"7"	"59"	"63"	"148"	"2"	"0"	"8"	"287"	"0"	"287"	"0"
"35"	"25"	"25"	"193"	"103"	"252"	"4"	"7"	"13"	"597"	"0"	"597"	"0"
"36"	"26"	"77"	"1"	"88"	"135"	"0"	"0"	"2"	"303"	"0"	"303"	"0"
"37"	"pdz ;ksx"	"600"	"1455"	"1358"	"3073"	"63"	"56"	"105"	"6710"	"0"	"6710"	"0"
"38"	"dqy ;ksx"	"1486"	"3583"	"3186"	"6754"	"137"	"133"	"226"	"15505"	"0"	"15505"	"0"
"39"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr Ik{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy
fof/kekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonÙk
erksa dh la[;k"
"40"	""	"vk'kk ikloku"	"tokgj ikloku"	"izsek Hkkjrh"	"yyu ikloku"	"jketh ikloku"	"lq;Zoa'k izlkn"	"nhid ckcq pekj"	""	""	""	""
"41"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"42"	"fiNys Ik`\"B
dk ;ksx"	"1486"	"3583"	"3186"	"6754"	"137"	"133"	"226"	"15505"	"0"	"15505"	"0"
"43"	"27"	"106"	"46"	"131"	"96"	"2"	"1"	"2"	"384"	"0"	"384"	"0"
"44"	"28"	"63"	"14"	"32"	"319"	"1"	"2"	"1"	"432"	"0"	"432"	"0"
"45"	"29"	"51"	"50"	"83"	"234"	"4"	"2"	"11"	"435"	"0"	"435"	"0"
"46"	"30"	"26"	"73"	"139"	"326"	"2"	"1"	"9"	"576"	"0"	"576"	"0"
"47"	"31"	"133"	"11"	"28"	"461"	"2"	"4"	"11"	"650"	"0"	"650"	"0"
"48"	"32"	"5"	"70"	"97"	"249"	"3"	"1"	"1"	"426"	"0"	"426"	"0"
"49"	"33"	"187"	"50"	"79"	"119"	"4"	"4"	"11"	"454"	"0"	"454"	"0"
"50"	"34"	"19"	"91"	"208"	"200"	"9"	"6"	"8"	"541"	"0"	"541"	"0"
"51"	"35"	"33"	"186"	"32"	"172"	"4"	"5"	"13"	"445"	"0"	"445"	"0"
"52"	"36"	"5"	"39"	"154"	"292"	"3"	"0"	"5"	"498"	"0"	"498"	"0"
"53"	"37"	"109"	"89"	"64"	"263"	"15"	"11"	"18"	"569"	"0"	"569"	"0"
"54"	"38"	"83"	"95"	"137"	"150"	"4"	"4"	"14"	"487"	"0"	"487"	"0"
"55"	"39"	"105"	"41"	"7"	"395"	"5"	"3"	"9"	"565"	"0"	"565"	"0"
"56"	"40"	"11"	"159"	"124"	"502"	"3"	"3"	"4"	"806"	"0"	"806"	"0"
"57"	"pdz ;ksx"	"936"	"1014"	"1315"	"3778"	"61"	"47"	"117"	"7268"	"0"	"7268"	"0"
"58"	"dqy ;ksx"	"2422"	"4597"	"4501"	"10532"	"198"	"180"	"343"	"22773"	"0"	"22773"	"0"
"59"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr Ik{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy
fof/kekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonÙk
erksa dh la[;k"
"60"	""	"vk'kk ikloku"	"tokgj ikloku"	"izsek Hkkjrh"	"yyu ikloku"	"jketh ikloku"	"lq;Zoa'k izlkn"	"nhid ckcq pekj"	""	""	""	""
"61"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"62"	"fiNys Ik`\"B
dk ;ksx"	"2422"	"4597"	"4501"	"10532"	"198"	"180"	"343"	"22773"	"0"	"22773"	"0"
"63"	"41"	"21"	"249"	"28"	"109"	"6"	"3"	"9"	"425"	"0"	"425"	"0"
"64"	"42"	"7"	"67"	"25"	"362"	"3"	"2"	"2"	"468"	"0"	"468"	"0"
"65"	"42 d"	"24"	"48"	"81"	"19"	"4"	"18"	"16"	"210"	"0"	"210"	"0"
"66"	"43"	"100"	"163"	"75"	"283"	"6"	"6"	"12"	"645"	"0"	"645"	"0"
"67"	"44"	"63"	"63"	"87"	"245"	"7"	"7"	"21"	"493"	"0"	"493"	"0"
"68"	"45"	"2"	"9"	"12"	"179"	"1"	"0"	"0"	"203"	"0"	"203"	"0"
"69"	"46"	"66"	"49"	"56"	"245"	"3"	"4"	"17"	"440"	"0"	"440"	"0"
"70"	"46 d"	"45"	"10"	"8"	"212"	"3"	"3"	"6"	"287"	"0"	"287"	"0"
"71"	"47 d"	"13"	"24"	"141"	"167"	"5"	"3"	"12"	"365"	"0"	"365"	"0"
"72"	"47"	"5"	"35"	"13"	"300"	"4"	"2"	"8"	"367"	"0"	"367"	"0"
"73"	"48"	"13"	"48"	"8"	"334"	"6"	"3"	"11"	"423"	"0"	"423"	"0"
"74"	"49"	"3"	"83"	"239"	"247"	"2"	"2"	"1"	"577"	"0"	"577"	"0"
"75"	"50"	"39"	"58"	"21"	"99"	"1"	"1"	"7"	"226"	"0"	"226"	"0"
"76"	"51"	"145"	"43"	"125"	"277"	"7"	"6"	"27"	"630"	"0"	"630"	"0"
"77"	"pdz ;ksx"	"546"	"949"	"919"	"3078"	"58"	"60"	"149"	"5759"	"0"	"5759"	"0"
"78"	"dqy ;ksx"	"2968"	"5546"	"5420"	"13610"	"256"	"240"	"492"	"28532"	"0"	"28532"	"0"
"79"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr Ik{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy
fof/kekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonÙk
erksa dh la[;k"
"80"	""	"vk'kk ikloku"	"tokgj ikloku"	"izsek Hkkjrh"	"yyu ikloku"	"jketh ikloku"	"lq;Zoa'k izlkn"	"nhid ckcq pekj"	""	""	""	""
"81"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"82"	"fiNys Ik`\"B
dk ;ksx"	"2968"	"5546"	"5420"	"13610"	"256"	"240"	"492"	"28532"	"0"	"28532"	"0"
"83"	"52"	"142"	"96"	"24"	"279"	"8"	"3"	"12"	"564"	"0"	"564"	"0"
"84"	"53"	"7"	"308"	"53"	"117"	"3"	"2"	"6"	"496"	"0"	"496"	"0"
"85"	"54"	"7"	"238"	"127"	"126"	"3"	"1"	"1"	"503"	"0"	"503"	"0"
"86"	"55"	"12"	"92"	"10"	"295"	"2"	"1"	"4"	"416"	"0"	"416"	"0"
"87"	"55 d"	"21"	"160"	"2"	"123"	"1"	"8"	"5"	"320"	"0"	"320"	"0"
"88"	"56"	"44"	"37"	"52"	"207"	"3"	"5"	"5"	"353"	"0"	"353"	"0"
"89"	"57"	"8"	"60"	"48"	"185"	"3"	"4"	"3"	"311"	"0"	"311"	"0"
"90"	"57 d"	"16"	"36"	"33"	"200"	"3"	"8"	"14"	"310"	"0"	"310"	"0"
"91"	"58"	"27"	"172"	"172"	"200"	"5"	"3"	"3"	"582"	"0"	"582"	"0"
"92"	"59"	"104"	"86"	"5"	"178"	"3"	"4"	"10"	"390"	"0"	"390"	"0"
"93"	"60"	"44"	"55"	"117"	"419"	"9"	"5"	"13"	"662"	"0"	"662"	"0"
"94"	"61"	"35"	"52"	"159"	"214"	"7"	"3"	"8"	"478"	"0"	"478"	"0"
"95"	"62"	"45"	"124"	"51"	"226"	"8"	"7"	"11"	"472"	"0"	"472"	"0"
"96"	"63"	"16"	"5"	"110"	"175"	"8"	"4"	"10"	"328"	"0"	"328"	"0"
"97"	"pdz ;ksx"	"528"	"1521"	"963"	"2944"	"66"	"58"	"105"	"6185"	"0"	"6185"	"0"
"98"	"dqy ;ksx"	"3496"	"7067"	"6383"	"16554"	"322"	"298"	"597"	"34717"	"0"	"34717"	"0"
"99"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr Ik{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy
fof/kekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonÙk
erksa dh la[;k"
"100"	""	"vk'kk ikloku"	"tokgj ikloku"	"izsek Hkkjrh"	"yyu ikloku"	"jketh ikloku"	"lq;Zoa'k izlkn"	"nhid ckcq pekj"	""	""	""	""
"101"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"102"	"fiNys Ik`\"B
dk ;ksx"	"3496"	"7067"	"6383"	"16554"	"322"	"298"	"597"	"34717"	"0"	"34717"	"0"
"103"	"64"	"119"	"100"	"116"	"237"	"0"	"3"	"3"	"578"	"0"	"578"	"0"
"104"	"65"	"38"	"152"	"76"	"206"	"4"	"4"	"13"	"493"	"0"	"493"	"0"
"105"	"66"	"77"	"257"	"47"	"317"	"17"	"15"	"37"	"767"	"0"	"767"	"0"
"106"	"67"	"34"	"161"	"71"	"284"	"8"	"4"	"5"	"567"	"0"	"567"	"0"
"107"	"68"	"11"	"69"	"3"	"224"	"0"	"0"	"2"	"309"	"0"	"309"	"0"
"108"	"69"	"65"	"110"	"66"	"164"	"6"	"6"	"27"	"444"	"0"	"444"	"0"
"109"	"70"	"15"	"94"	"20"	"225"	"3"	"5"	"8"	"370"	"0"	"370"	"0"
"110"	"70 d"	"37"	"129"	"172"	"92"	"1"	"1"	"3"	"435"	"0"	"435"	"0"
"111"	"71"	"96"	"213"	"3"	"181"	"4"	"2"	"3"	"502"	"0"	"502"	"0"
"112"	"72"	"64"	"42"	"39"	"265"	"5"	"2"	"2"	"419"	"0"	"419"	"0"
"113"	"73"	"8"	"17"	"169"	"107"	"7"	"4"	"3"	"315"	"0"	"315"	"0"
"114"	"74"	"12"	"155"	"104"	"158"	"7"	"8"	"6"	"450"	"0"	"450"	"0"
"115"	"75"	"76"	"6"	"2"	"240"	"3"	"2"	"15"	"344"	"0"	"344"	"0"
"116"	"76"	"2"	"61"	"87"	"244"	"5"	"3"	"4"	"406"	"0"	"406"	"0"
"117"	"pdz ;ksx"	"654"	"1566"	"975"	"2944"	"70"	"59"	"131"	"6399"	"0"	"6399"	"0"
"118"	"dqy ;ksx"	"4150"	"8633"	"7358"	"19498"	"392"	"357"	"728"	"41116"	"0"	"41116"	"0"
"119"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr Ik{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy
fof/kekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonÙk
erksa dh la[;k"
"120"	""	"vk'kk ikloku"	"tokgj ikloku"	"izsek Hkkjrh"	"yyu ikloku"	"jketh ikloku"	"lq;Zoa'k izlkn"	"nhid ckcq pekj"	""	""	""	""
"121"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"122"	"fiNys Ik`\"B
dk ;ksx"	"4150"	"8633"	"7358"	"19498"	"392"	"357"	"728"	"41116"	"0"	"41116"	"0"
"123"	"77"	"33"	"197"	"89"	"206"	"1"	"5"	"7"	"538"	"0"	"538"	"0"
"124"	"78"	"85"	"144"	"50"	"148"	"3"	"6"	"6"	"442"	"0"	"442"	"0"
"125"	"79"	"25"	"53"	"44"	"113"	"3"	"4"	"2"	"244"	"0"	"244"	"0"
"126"	"80"	"48"	"141"	"25"	"19"	"1"	"38"	"7"	"279"	"0"	"279"	"0"
"127"	"81"	"94"	"472"	"43"	"59"	"3"	"2"	"6"	"679"	"0"	"679"	"0"
"128"	"82"	"81"	"71"	"45"	"283"	"6"	"6"	"9"	"501"	"0"	"501"	"0"
"129"	"83"	"19"	"61"	"101"	"279"	"4"	"0"	"4"	"468"	"0"	"468"	"0"
"130"	"84"	"91"	"107"	"177"	"178"	"3"	"3"	"4"	"563"	"0"	"563"	"0"
"131"	"85"	"62"	"49"	"79"	"281"	"7"	"7"	"12"	"497"	"0"	"497"	"0"
"132"	"86"	"52"	"54"	"36"	"164"	"6"	"5"	"12"	"329"	"0"	"329"	"0"
"133"	"87"	"74"	"40"	"48"	"211"	"3"	"3"	"3"	"382"	"0"	"382"	"0"
"134"	"88"	"37"	"131"	"107"	"309"	"3"	"3"	"7"	"597"	"0"	"597"	"0"
"135"	"89"	"81"	"10"	"6"	"235"	"2"	"4"	"2"	"340"	"0"	"340"	"0"
"136"	"89 d"	"14"	"51"	"41"	"270"	"0"	"4"	"4"	"384"	"0"	"384"	"0"
"137"	"pdz ;ksx"	"796"	"1581"	"891"	"2755"	"45"	"90"	"85"	"6243"	"0"	"6243"	"0"
"138"	"dqy ;ksx"	"4946"	"10214"	"8249"	"22253"	"437"	"447"	"813"	"47359"	"0"	"47359"	"0"
"139"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr Ik{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy
fof/kekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonÙk
erksa dh la[;k"
"140"	""	"vk'kk ikloku"	"tokgj ikloku"	"izsek Hkkjrh"	"yyu ikloku"	"jketh ikloku"	"lq;Zoa'k izlkn"	"nhid ckcq pekj"	""	""	""	""
"141"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"142"	"fiNys Ik`\"B
dk ;ksx"	"4946"	"10214"	"8249"	"22253"	"437"	"447"	"813"	"47359"	"0"	"47359"	"0"
"143"	"90 d"	"7"	"96"	"65"	"39"	"3"	"1"	"9"	"220"	"0"	"220"	"0"
"144"	"90"	"6"	"130"	"4"	"63"	"2"	"0"	"3"	"208"	"0"	"208"	"0"
"145"	"91"	"69"	"113"	"106"	"272"	"4"	"4"	"2"	"570"	"0"	"570"	"0"
"146"	"92"	"84"	"76"	"123"	"202"	"5"	"5"	"10"	"505"	"0"	"505"	"0"
"147"	"93"	"26"	"47"	"10"	"211"	"4"	"3"	"4"	"305"	"0"	"305"	"0"
"148"	"94"	"21"	"127"	"20"	"149"	"2"	"3"	"8"	"330"	"0"	"330"	"0"
"149"	"95"	"9"	"106"	"148"	"193"	"8"	"3"	"5"	"472"	"0"	"472"	"0"
"150"	"96"	"36"	"144"	"15"	"91"	"1"	"1"	"8"	"296"	"0"	"296"	"0"
"151"	"96 d"	"56"	"150"	"9"	"215"	"4"	"7"	"5"	"446"	"0"	"446"	"0"
"152"	"97"	"111"	"120"	"58"	"109"	"4"	"2"	"4"	"408"	"0"	"408"	"0"
"153"	"98"	"69"	"374"	"33"	"160"	"7"	"3"	"5"	"651"	"0"	"651"	"0"
"154"	"99"	"68"	"17"	"5"	"204"	"1"	"2"	"5"	"302"	"0"	"302"	"0"
"155"	"100"	"33"	"112"	"8"	"48"	"2"	"4"	"2"	"209"	"0"	"209"	"0"
"156"	"100 d"	"20"	"126"	"88"	"65"	"2"	"6"	"6"	"313"	"0"	"313"	"0"
"157"	"pdz ;ksx"	"615"	"1738"	"692"	"2021"	"49"	"44"	"76"	"5235"	"0"	"5235"	"0"
"158"	"dqy ;ksx"	"5561"	"11952"	"8941"	"24274"	"486"	"491"	"889"	"52594"	"0"	"52594"	"0"
"159"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr Ik{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy
fof/kekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonÙk
erksa dh la[;k"
"160"	""	"vk'kk ikloku"	"tokgj ikloku"	"izsek Hkkjrh"	"yyu ikloku"	"jketh ikloku"	"lq;Zoa'k izlkn"	"nhid ckcq pekj"	""	""	""	""
"161"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"162"	"fiNys Ik`\"B
dk ;ksx"	"5561"	"11952"	"8941"	"24274"	"486"	"491"	"889"	"52594"	"0"	"52594"	"0"
"163"	"101"	"42"	"71"	"137"	"384"	"9"	"10"	"17"	"670"	"0"	"670"	"0"
"164"	"102"	"18"	"106"	"65"	"73"	"39"	"6"	"4"	"311"	"0"	"311"	"0"
"165"	"103"	"66"	"195"	"72"	"200"	"23"	"6"	"6"	"568"	"0"	"568"	"0"
"166"	"104"	"83"	"40"	"1"	"85"	"1"	"1"	"2"	"213"	"0"	"213"	"0"
"167"	"105"	"15"	"210"	"15"	"153"	"4"	"2"	"4"	"403"	"0"	"403"	"0"
"168"	"106 d"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"169"	"106"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"170"	"107"	"98"	"22"	"28"	"98"	"1"	"2"	"4"	"253"	"0"	"253"	"0"
"171"	"108"	"28"	"239"	"48"	"193"	"10"	"7"	"17"	"542"	"0"	"542"	"0"
"172"	"109"	"29"	"187"	"26"	"266"	"7"	"13"	"7"	"535"	"0"	"535"	"0"
"173"	"110"	"61"	"128"	"90"	"266"	"7"	"3"	"11"	"566"	"0"	"566"	"0"
"174"	"111"	"20"	"221"	"41"	"300"	"3"	"5"	"4"	"594"	"0"	"594"	"0"
"175"	"112"	"29"	"78"	"246"	"153"	"3"	"5"	"3"	"517"	"0"	"517"	"0"
"176"	"113"	"8"	"87"	"61"	"162"	"5"	"0"	"3"	"326"	"0"	"326"	"0"
"177"	"pdz ;ksx"	"497"	"1584"	"830"	"2333"	"112"	"60"	"82"	"5498"	"0"	"5498"	"0"
"178"	"dqy ;ksx"	"6058"	"13536"	"9771"	"26607"	"598"	"551"	"971"	"58092"	"0"	"58092"	"0"
"179"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr Ik{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy
fof/kekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonÙk
erksa dh la[;k"
"180"	""	"vk'kk ikloku"	"tokgj ikloku"	"izsek Hkkjrh"	"yyu ikloku"	"jketh ikloku"	"lq;Zoa'k izlkn"	"nhid ckcq pekj"	""	""	""	""
"181"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"182"	"fiNys Ik`\"B
dk ;ksx"	"6058"	"13536"	"9771"	"26607"	"598"	"551"	"971"	"58092"	"0"	"58092"	"0"
"183"	"113 d"	"11"	"131"	"65"	"192"	"9"	"5"	"8"	"421"	"0"	"421"	"0"
"184"	"114"	"12"	"181"	"43"	"126"	"9"	"4"	"3"	"378"	"0"	"378"	"0"
"185"	"115"	"24"	"217"	"24"	"152"	"5"	"5"	"1"	"428"	"0"	"428"	"0"
"186"	"116"	"33"	"30"	"185"	"215"	"13"	"6"	"8"	"490"	"0"	"490"	"0"
"187"	"117"	"15"	"72"	"37"	"305"	"4"	"1"	"4"	"438"	"0"	"438"	"0"
"188"	"117 d"	"13"	"146"	"203"	"108"	"2"	"2"	"1"	"475"	"0"	"475"	"0"
"189"	"118 d"	"38"	"91"	"13"	"198"	"6"	"3"	"4"	"353"	"0"	"353"	"0"
"190"	"118"	"24"	"118"	"116"	"198"	"7"	"3"	"11"	"477"	"0"	"477"	"0"
"191"	"119"	"88"	"186"	"125"	"152"	"11"	"10"	"28"	"600"	"0"	"600"	"0"
"192"	"120"	"284"	"146"	"75"	"253"	"9"	"10"	"15"	"792"	"0"	"792"	"0"
"193"	"121"	"27"	"350"	"44"	"266"	"7"	"5"	"11"	"710"	"0"	"710"	"0"
"194"	"122"	"4"	"386"	"6"	"124"	"0"	"1"	"3"	"524"	"0"	"524"	"0"
"195"	"123"	"92"	"265"	"78"	"242"	"4"	"5"	"5"	"691"	"0"	"691"	"0"
"196"	"124"	"56"	"46"	"2"	"122"	"4"	"5"	"5"	"240"	"0"	"240"	"0"
"197"	"pdz ;ksx"	"721"	"2365"	"1016"	"2653"	"90"	"65"	"107"	"7017"	"0"	"7017"	"0"
"198"	"dqy ;ksx"	"6779"	"15901"	"10787"	"29260"	"688"	"616"	"1078"	"65109"	"0"	"65109"	"0"
"199"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr Ik{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy
fof/kekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonÙk
erksa dh la[;k"
"200"	""	"vk'kk ikloku"	"tokgj ikloku"	"izsek Hkkjrh"	"yyu ikloku"	"jketh ikloku"	"lq;Zoa'k izlkn"	"nhid ckcq pekj"	""	""	""	""
"201"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"202"	"fiNys Ik`\"B
dk ;ksx"	"6779"	"15901"	"10787"	"29260"	"688"	"616"	"1078"	"65109"	"0"	"65109"	"0"
"203"	"125"	"37"	"249"	"19"	"147"	"7"	"5"	"7"	"471"	"0"	"471"	"0"
"204"	"126"	"100"	"134"	"59"	"206"	"6"	"2"	"9"	"516"	"0"	"516"	"0"
"205"	"127"	"30"	"52"	"224"	"216"	"5"	"0"	"3"	"530"	"0"	"530"	"0"
"206"	"128"	"95"	"263"	"75"	"149"	"16"	"1"	"4"	"603"	"0"	"603"	"0"
"207"	"129"	"14"	"87"	"151"	"183"	"4"	"3"	"1"	"443"	"0"	"443"	"0"
"208"	"130"	"18"	"369"	"14"	"140"	"5"	"6"	"7"	"559"	"0"	"559"	"0"
"209"	"131"	"147"	"148"	"9"	"116"	"1"	"3"	"4"	"428"	"0"	"428"	"0"
"210"	"132"	"10"	"317"	"12"	"139"	"1"	"1"	"0"	"480"	"0"	"480"	"0"
"211"	"133"	"7"	"88"	"161"	"235"	"2"	"3"	"3"	"499"	"0"	"499"	"0"
"212"	"134"	"53"	"138"	"6"	"172"	"9"	"5"	"21"	"404"	"0"	"404"	"0"
"213"	"134 d"	"88"	"58"	"68"	"217"	"14"	"7"	"17"	"469"	"0"	"469"	"0"
"214"	"135"	"61"	"162"	"92"	"100"	"9"	"9"	"29"	"462"	"0"	"462"	"0"
"215"	"136"	"58"	"174"	"10"	"270"	"13"	"15"	"24"	"564"	"0"	"564"	"0"
"216"	"137"	"82"	"210"	"43"	"193"	"12"	"5"	"4"	"549"	"0"	"549"	"0"
"217"	"pdz ;ksx"	"800"	"2449"	"943"	"2483"	"104"	"65"	"133"	"6977"	"0"	"6977"	"0"
"218"	"dqy ;ksx"	"7579"	"18350"	"11730"	"31743"	"792"	"681"	"1211"	"72086"	"0"	"72086"	"0"
"219"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr Ik{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy
fof/kekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonÙk
erksa dh la[;k"
"220"	""	"vk'kk ikloku"	"tokgj ikloku"	"izsek Hkkjrh"	"yyu ikloku"	"jketh ikloku"	"lq;Zoa'k izlkn"	"nhid ckcq pekj"	""	""	""	""
"221"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"222"	"fiNys Ik`\"B
dk ;ksx"	"7579"	"18350"	"11730"	"31743"	"792"	"681"	"1211"	"72086"	"0"	"72086"	"0"
"223"	"138 d"	"145"	"19"	"2"	"113"	"1"	"2"	"5"	"287"	"0"	"287"	"0"
