"14"	"10A"	""	"2"	"52"	"13"	""	"20"	""	"113"	""	"4"	""	"4"	""	"1"	""	"4"	""	"6"	""	"7"	"226"	""	""	"0"	""	""	"226"	""	""	""	""	""	""	""	""
"15"	"11"	""	"20"	"286"	"16"	""	"108"	""	"42"	""	"12"	""	"8"	""	"6"	""	"5"	""	"13"	""	"15"	"531"	""	""	"0"	""	""	"531"	""	""	""	""	""	""	""	""
"16"	"12"	""	"7"	"99"	"17"	""	"79"	""	"75"	""	"8"	""	"3"	""	"2"	""	"2"	""	"3"	""	"23"	"318"	""	""	"0"	""	""	"318"	""	""	""	""	""	""	""	""
"17"	"13"	""	"18"	"225"	"11"	""	"68"	""	"88"	""	"5"	""	"3"	""	"10"	""	"8"	""	"18"	""	"7"	"461"	""	""	"0"	""	""	"461"	""	""	""	""	""	""	""	""
"18"	"Total"	""	"192"	"2091"	"372"	""	"1390"	""	"1427"	""	"96"	""	"74"	""	"59"	""	"63"	""	"110"	""	"126"	"6000"	""	""	"0"	""	""	"6000"	""	""	"0"	""	""	""	""	""
"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"Grand Total"	""	"192"	"2091"	"372"	""	"1390"	""	"1427"	""	"96"	""	"74"	""	"59"	""	"63"	""	"110"	""	"126"	"6000"	""	""	"0"	""	""	"6000"	""	""	"0"	""	""	""	""	""
"21"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"[ FORM 20 ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"[ See rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 186 FATWA ASSEMBLY CONSTITUNECY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 186-FATWA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"ROUND - 2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"Serial no. of polling station"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of rejected votes"	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""	""
"34"	""	""	"Tllkeshwar Choudhary"	"Nageshwar Paswan"	"Punit Rai"	""	"Sanjeev Prasad Tony"	""	"Saryug Paswan"	""	"Ashok Prabhakar"	""	"Bhagwan Das"	""	"Yogendra Paswan"	""	"Ramesh Paswan"	""	"Suresh Choudhary"	""	"Sudarshan Ram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"14"	""	"7"	"137"	"13"	""	"41"	""	"226"	""	"3"	""	"1"	""	"2"	""	"0"	""	"0"	""	"4"	"434"	""	""	""	""	""	"434"	""	""	""	""	""	""	""	""
"36"	"15"	""	"11"	"121"	"14"	""	"7"	""	"161"	""	"8"	""	"1"	""	"1"	""	"2"	""	"1"	""	"3"	"330"	""	""	""	""	""	"330"	""	""	""	""	""	""	""	""
"37"	"16"	""	"95"	"71"	"8"	""	"42"	""	"249"	""	"10"	""	"5"	""	"2"	""	"2"	""	"2"	""	"10"	"496"	""	""	""	""	""	"496"	""	""	""	""	""	""	""	""
"38"	"17"	""	"29"	"61"	"22"	""	"91"	""	"119"	""	"17"	""	"3"	""	"6"	""	"5"	""	"1"	""	"18"	"372"	""	""	""	""	""	"372"	""	""	""	""	""	""	""	""
"39"	"18"	""	"5"	"9"	"59"	""	"84"	""	"151"	""	"6"	""	"0"	""	"4"	""	"5"	""	"4"	""	"11"	"338"	""	""	""	""	""	"338"	""	""	""	""	""	""	""	""
"40"	"19"	""	"0"	"66"	"7"	""	"29"	""	"181"	""	"7"	""	"3"	""	"2"	""	"3"	""	"0"	""	"3"	"301"	""	""	""	""	""	"301"	""	""	""	""	""	""	""	""
"41"	"20"	""	"19"	"9"	"14"	""	"8"	""	"298"	""	"9"	""	"2"	""	"0"	""	"2"	""	"1"	""	"4"	"366"	""	""	""	""	""	"366"	""	""	""	""	""	""	""	""
"42"	"21"	""	"0"	"41"	"9"	""	"18"	""	"122"	""	"6"	""	"4"	""	"0"	""	"3"	""	"1"	""	"11"	"215"	""	""	""	""	""	"215"	""	""	""	""	""	""	""	""
"43"	"22"	""	"8"	"5"	"31"	""	"136"	""	"216"	""	"17"	""	"8"	""	"5"	""	"3"	""	"3"	""	"10"	"442"	""	""	""	""	""	"442"	""	""	""	""	""	""	""	""
"44"	"23"	""	"13"	"31"	"16"	""	"99"	""	"159"	""	"5"	""	"12"	""	"7"	""	"3"	""	"6"	""	"14"	"365"	""	""	""	""	""	"365"	""	""	""	""	""	""	""	""
"45"	"24"	""	"32"	"18"	"10"	""	"14"	""	"139"	""	"4"	""	"8"	""	"1"	""	"1"	""	"3"	""	"8"	"238"	""	""	""	""	""	"238"	""	""	""	""	""	""	""	""
"46"	"25"	""	"73"	"27"	"72"	""	"113"	""	"104"	""	"6"	""	"6"	""	"5"	""	"9"	""	"5"	""	"12"	"432"	""	""	""	""	""	"432"	""	""	""	""	""	""	""	""
"47"	"26"	""	"7"	"92"	"14"	""	"31"	""	"99"	""	"10"	""	"10"	""	"6"	""	"6"	""	"5"	""	"9"	"289"	""	""	""	""	""	"289"	""	""	""	""	""	""	""	""
"48"	"27"	""	"30"	"21"	"20"	""	"129"	""	"207"	""	"6"	""	"12"	""	"6"	""	"2"	""	"3"	""	"6"	"442"	""	""	""	""	""	"442"	""	""	""	""	""	""	""	""
"49"	"Total"	""	"329"	"709"	"309"	""	"842"	""	"2431"	""	"114"	""	"75"	""	"47"	""	"46"	""	"35"	""	"123"	"5060"	""	""	"0"	""	""	"5060"	""	""	"0"	""	""	""	""	""
"50"	"Till last Round"	""	"192"	"2091"	"372"	""	"1390"	""	"1427"	""	"96"	""	"74"	""	"59"	""	"63"	""	"110"	""	"126"	"6000"	""	""	"0"	""	""	"6000"	""	""	"0"	""	""	""	""	""
"51"	"Grand Total"	""	"521"	"2800"	"681"	""	"2232"	""	"3858"	""	"210"	""	"149"	""	"106"	""	"109"	""	"145"	""	"249"	"11060"	""	""	"0"	""	""	"11060"	""	""	"0"	""	""	""	""	""
"52"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"[ FORM 20 ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"[ See rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 186 FATWA ASSEMBLY CONSTITUNECY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 186-FATWA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"ROUND - 3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"Serial no. of polling station"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of rejected votes"	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"65"	""	""	"Tllkeshwar Choudhary"	"Nageshwar Paswan"	"Punit Rai"	""	"Sanjeev Prasad Tony"	""	"Saryug Paswan"	""	"Ashok Prabhakar"	""	"Bhagwan Das"	""	"Yogendra Paswan"	""	"Ramesh Paswan"	""	"Suresh Choudhary"	""	"Sudarshan Ram
8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"28"	""	"12"	"7"	"12"	""	"18"	""	"484"	""	"6"	""	"2"	""	"2"	""	"1"	""	"1"	""	""	""	"553"	""	""	"0"	""	""	"553"	""	""	"0"	""	""	""	""
"67"	"29"	""	"10"	"179"	"38"	""	"17"	""	"29"	""	"7"	""	"3"	""	"4"	""	"3"	""	"5"	""	"7"	""	"302"	""	""	"0"	""	""	"302"	""	""	"0"	""	""	""	""
"68"	"30"	""	"1"	"3"	"25"	""	"25"	""	"295"	""	"5"	""	"3"	""	"2"	""	"2"	""	"0"	""	"3"	""	"364"	""	""	"0"	""	""	"364"	""	""	"0"	""	""	""	""
"69"	"31"	""	"11"	"2"	"74"	""	"28"	""	"155"	""	"3"	""	"4"	""	"3"	""	"4"	""	"3"	""	"19"	""	"306"	""	""	"0"	""	""	"306"	""	""	"0"	""	""	""	""
"70"	"32"	""	"11"	"12"	"32"	""	"171"	""	"170"	""	"5"	""	"2"	""	"7"	""	"2"	""	"2"	""	"3"	""	"417"	""	""	"0"	""	""	"417"	""	""	"0"	""	""	""	""
"71"	"33"	""	"22"	"2"	"33"	""	"83"	""	"275"	""	"7"	""	"5"	""	"1"	""	"2"	""	"4"	""	"10"	""	"444"	""	""	"0"	""	""	"444"	""	""	"0"	""	""	""	""
"72"	"34"	""	"1"	"2"	"5"	""	"6"	""	"546"	""	"3"	""	"1"	""	"0"	""	"0"	""	"2"	""	"2"	""	"568"	""	""	"0"	""	""	"568"	""	""	"0"	""	""	""	""
"73"	"35"	""	"19"	"19"	"52"	""	"126"	""	"226"	""	"7"	""	"4"	""	"3"	""	"5"	""	"2"	""	"10"	""	"473"	""	""	"0"	""	""	"473"	""	""	"0"	""	""	""	""
"74"	"36"	""	"7"	"6"	"10"	""	"123"	""	"263"	""	"8"	""	"3"	""	"3"	""	"4"	""	"5"	""	"4"	""	"436"	""	""	"0"	""	""	"436"	""	""	"0"	""	""	""	""
"75"	"37"	""	"8"	"16"	"15"	""	"111"	""	"199"	""	"7"	""	"4"	""	"5"	""	"3"	""	"3"	""	"5"	""	"376"	""	""	"0"	""	""	"376"	""	""	"0"	""	""	""	""
"76"	"37"	""	"5"	"5"	"5"	""	"194"	""	"119"	""	"4"	""	"1"	""	"0"	""	"4"	""	"5"	""	"11"	""	"353"	""	""	"0"	""	""	"353"	""	""	"0"	""	""	""	""
"77"	"38"	""	"23"	"28"	"71"	""	"117"	""	"185"	""	"14"	""	"5"	""	"5"	""	"13"	""	"1"	""	"10"	""	"472"	""	""	"0"	""	""	"472"	""	""	"0"	""	""	""	""
"78"	"39"	""	"21"	"75"	"11"	""	"119"	""	"167"	""	"8"	""	"5"	""	"5"	""	"3"	""	"5"	""	"6"	""	"425"	""	""	"0"	""	""	"425"	""	""	"0"	""	""	""	""
"79"	"40"	""	"53"	"4"	"33"	""	"187"	""	"254"	""	"12"	""	"6"	""	"11"	""	"5"	""	"8"	""	"11"	""	"584"	""	""	"0"	""	""	"584"	""	""	"0"	""	""	""	""
"80"	"Total"	""	"204"	"360"	"416"	""	"1325"	""	"3367"	""	"96"	""	"48"	""	"51"	""	"51"	""	"46"	""	"109"	""	"6073"	""	""	"0"	""	""	"6073"	""	""	"0"	""	""	""	""
"81"	"Till last Round"	""	"521"	"2800"	"681"	""	"2232"	""	"3858"	""	"210"	""	"149"	""	"106"	""	"109"	""	"145"	""	"249"	""	"11060"	""	""	"0"	""	""	"11060"	""	""	"0"	""	""	""	""
"82"	"Grand Total"	""	"725"	"3160"	"1097"	""	"3557"	""	"7225"	""	"306"	""	"197"	""	"157"	""	"160"	""	"191"	""	"358"	""	"17133"	""	""	"0"	""	""	"17133"	""	""	"0"	""	""	""	""
"83"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"[ FORM 20 ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"[ See rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 186 FATWA ASSEMBLY CONSTITUNECY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 186-FATWA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"ROUND - 4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of rejected votes"	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""
"96"	""	"Tllkeshwar Choudhary"	""	"Nageshwar Paswan"	""	"Punit Rai"	""	"Sanjeev Prasad Tony"	""	"Saryug Paswan"	""	"Ashok Prabhakar"	""	"Bhagwan Das"	""	"Yogendra Paswan"	""	"Ramesh Paswan"	""	"Suresh Choudhary"	""	"Sudarshan Ram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"41"	"3"	""	"6"	""	"7"	""	"60"	""	"193"	""	"3"	""	"6"	""	"3"	""	"3"	""	"8"	""	"24"	""	"316"	""	""	"0"	""	""	"316"	""	""	"0"	""	""	""
"98"	"42"	"51"	""	"59"	""	"72"	""	"67"	""	"223"	""	"26"	""	"11"	""	"13"	""	"20"	""	"15"	""	"29"	""	"586"	""	""	"0"	""	""	"586"	""	""	"0"	""	""	""
"99"	"43"	"3"	""	"4"	""	"26"	""	"73"	""	"220"	""	"8"	""	"6"	""	"2"	""	"1"	""	"2"	""	"4"	""	"349"	""	""	"0"	""	""	"349"	""	""	"0"	""	""	""
"100"	"44"	"7"	""	"4"	""	"74"	""	"231"	""	"148"	""	"12"	""	"9"	""	"9"	""	"14"	""	"6"	""	"31"	""	"545"	""	""	"0"	""	""	"545"	""	""	"0"	""	""	""
"101"	"45"	"31"	""	"16"	""	"20"	""	"253"	""	"47"	""	"11"	""	"16"	""	"10"	""	"6"	""	"3"	""	"16"	""	"429"	""	""	"0"	""	""	"429"	""	""	"0"	""	""	""
"102"	"46"	"2"	""	"4"	""	"16"	""	"227"	""	"123"	""	"4"	""	"2"	""	"3"	""	"4"	""	"2"	""	"2"	""	"389"	""	""	"0"	""	""	"389"	""	""	"0"	""	""	""
"103"	"46A"	"0"	""	"1"	""	"23"	""	"108"	""	"182"	""	"4"	""	"2"	""	"8"	""	"3"	""	"5"	""	"7"	""	"343"	""	""	"0"	""	""	"343"	""	""	"0"	""	""	""
"104"	"47"	"11"	""	"27"	""	"80"	""	"38"	""	"315"	""	"11"	""	"5"	""	"2"	""	"11"	""	"3"	""	"13"	""	"516"	""	""	"0"	""	""	"516"	""	""	"0"	""	""	""
"105"	"48"	"1"	""	"5"	""	"2"	""	"81"	""	"275"	""	"8"	""	"2"	""	"1"	""	"2"	""	"1"	""	"4"	""	"382"	""	""	"0"	""	""	"382"	""	""	"0"	""	""	""
"106"	"49"	"6"	""	"38"	""	"19"	""	"154"	""	"419"	""	"18"	""	"0"	""	"2"	""	"3"	""	"4"	""	"9"	""	"672"	""	""	"0"	""	""	"672"	""	""	"0"	""	""	""
"107"	"50"	"1"	""	"17"	""	"6"	""	"119"	""	"65"	""	"4"	""	"3"	""	"0"	""	"3"	""	"3"	""	"6"	""	"227"	""	""	"0"	""	""	"227"	""	""	"0"	""	""	""
"108"	"51"	"29"	""	"92"	""	"7"	""	"22"	""	"196"	""	"20"	""	"5"	""	"5"	""	"5"	""	"7"	""	"27"	""	"415"	""	""	"0"	""	""	"415"	""	""	"0"	""	""	""
"109"	"52"	"4"	""	"3"	""	"6"	""	"75"	""	"288"	""	"2"	""	"5"	""	"2"	""	"2"	""	"0"	""	"4"	""	"391"	""	""	"0"	""	""	"391"	""	""	"0"	""	""	""
"110"	"53"	"2"	""	"53"	""	"33"	""	"101"	""	"131"	""	"11"	""	"1"	""	"2"	""	"4"	""	"2"	""	"4"	""	"344"	""	""	"0"	""	""	"344"	""	""	"0"	""	""	""
"111"	"Total"	"151"	""	"329"	""	"391"	""	"1609"	""	"2825"	""	"142"	""	"73"	""	"62"	""	"81"	""	"61"	""	"180"	""	"5904"	""	""	"0"	""	""	"5904"	""	""	"0"	""	""	""
"112"	"Till last Round"	"725"	""	"3160"	""	"1097"	""	"3557"	""	"7225"	""	"306"	""	"197"	""	"157"	""	"160"	""	"191"	""	"358"	""	"17133"	""	""	"0"	""	""	"17133"	""	""	"0"	""	""	""
"113"	"Grand Total"	"876"	""	"3489"	""	"1488"	""	"5166"	""	"10050"	""	"448"	""	"270"	""	"219"	""	"241"	""	"252"	""	"538"	""	"23037"	""	""	"0"	""	""	"23037"	""	""	"0"	""	""	""
"114"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"[ FORM 20 ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"[ See rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 186 FATWA ASSEMBLY CONSTITUNECY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 186-FATWA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"ROUND - 5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"Serial no. of polling station"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of rejected votes"	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"127"	""	""	"Tllkeshwar Choudhary"	"Nageshwar Paswan"	"Punit Rai"	""	"Sanjeev Prasad Tony"	""	"Saryug Paswan"	""	"Ashok Prabhakar"	""	"Bhagwan Das"	""	"Yogendra Paswan"	""	"Ramesh Paswan"	""	"Suresh Choudhary"	""	"Sudarshan Ram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"54"	""	"6"	"16"	"0"	""	"232"	""	"15"	""	"1"	""	"1"	""	"9"	""	"1"	""	"4"	""	"3"	""	"288"	""	""	"0"	""	""	"288"	""	""	"0"	""	""	""	""
