"Sl.No..of.Polling.Station"	"Name.of.Polling.Station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"65"	"35"	"mPp fo|ky; ekyng ¼i0 Hkkx½"	"37"	"9"	"71"	"67"	"1"	"3"	"188"	""	"188"	""
"66"	"35d"	"e/; fo|ky; ekyng gkWy esa"	"13"	"9"	"51"	"118"	"4"	"5"	"200"	""	"200"	""
"67"	"36"	"izkFkfed fo|ky; ukxMhg ¼iw0 Hkkx½"	"18"	"32"	"49"	"69"	"7"	"9"	"184"	""	"184"	""
"68"	"36d"	"izkFkfed fo|ky; ukxMhg ¼i0 Hkkx½"	"22"	"5"	"119"	"131"	"7"	"11"	"295"	""	"295"	""
"69"	"37"	"izkFkfed fo|ky; bLekbZyiqj ¼m0 Hkkx½"	"7"	"4"	"55"	"115"	"9"	"10"	"200"	""	"200"	""
"70"	"37d"	"izkFkfed fo|ky; blekbZyiqj ¼n0 Hkkx½"	"43"	"3"	"13"	"122"	"0"	"5"	"186"	""	"186"	""
"71"	"38"	"izkFkfed fo|ky; dksYgkM+kch?kk ¼m0 Hkkx½"	"8"	"3"	"39"	"98"	"2"	"3"	"153"	""	"153"	""
"72"	"38d"	"izkFkfed fo|ky; dksYgkM+kch?kk ¼n0 Hkkx½"	"35"	"3"	"91"	"130"	"4"	"10"	"273"	""	"273"	""
"73"	"39"	"izkFkfed fo|ky; [kkstkxkNh"	"65"	"16"	"136"	"307"	"17"	"17"	"558"	""	"558"	""
"74"	"40"	"egkRek xk¡/kh mPp fo|ky; cHkuch?kk ¼iw0 Hkkx½"	"28"	"22"	"292"	"48"	"5"	"20"	"415"	""	"415"	""
"75"	"40d"	"egkRek xk¡/kh mPp fo|ky; cHkuch?kk ¼i0 Hkkx½"	"6"	"2"	"111"	"116"	"4"	"4"	"243"	""	"243"	""
"76"	"41"	"izkFkfed fo|ky; [kyhy pd"	"7"	"3"	"61"	"181"	"9"	"4"	"265"	""	"265"	""
"77"	"Total No. of votes recorded at Polling Stations"	""	"314"	"130"	"1400"	"1786"	"90"	"118"	"3838"	""	"3838"	""
"78"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"79"	"Total votes polled"	""	"314"	"130"	"1400"	"1786"	"90"	"118"	"3838"	""	"3838"	""
"80"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"81"	""	""	"Umesh Kumar Suman"	"Usha Kumari"	"Mahavir Choudhary"	"Ramsundar Ram Kanaujia"	"Ajay Kumar"	"Alanandan Paswan"	""	""	""	""
"82"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"83"	"42"	"izkFkfed fo|ky; nfj;kpd"	"22"	"2"	"20"	"196"	"16"	"8"	"264"	""	"264"	""
"84"	"43"	"iapk;r Hkou lkelcqtqxZ"	"2"	"4"	"137"	"107"	"3"	"7"	"260"	""	"260"	""
"85"	"43d"	"iapk;r Hkou lkelcqtqxZ & pyUr ernku dsUnz"	"47"	"14"	"142"	"75"	"4"	"12"	"294"	""	"294"	""
"86"	"44"	"izkFkfed fo|ky; jetkuiqj ¼m0 Hkkx½"	"92"	"11"	"178"	"38"	"7"	"27"	"353"	""	"353"	""
"87"	"45"	"izkFkfed fo|ky; jetkuiqj ¼n0 Hkkx½"	"40"	"5"	"96"	"26"	"6"	"16"	"189"	""	"189"	""
"88"	"46"	"izkFkfed fo|ky; dqrqcpd ¼m0 Hkkx½"	"11"	"1"	"10"	"88"	"1"	"1"	"112"	""	"112"	""
"89"	"46d"	"izkFkfed fo|ky; dqrqcpd ¼n0 Hkkx½"	"9"	"4"	"64"	"179"	"6"	"2"	"264"	""	"264"	""
"90"	"47"	"xkS'kkyk cjch?kk iwohZ Hkkx"	"21"	"5"	"156"	"211"	"8"	"14"	"415"	""	"415"	""
"91"	"48"	"xkS'kkyk cjch?kk if'pe Hkkx"	"20"	"6"	"116"	"28"	"6"	"11"	"187"	""	"187"	""
"92"	"49"	"pyUr  ernku  dsUnz  ¼[kkrk  255  [ksljk  2303  jdok  0-
3 Mh0½"	"35"	"10"	"251"	"271"	"11"	"18"	"596"	""	"596"	""
"93"	"50"	"pyUr  ernku  dsUnz  ¼[kkrk  255  [ksljk  2434  jdok  0-
22 Mh0½"	"4"	"2"	"132"	"290"	"5"	"4"	"437"	""	"437"	""
"94"	"51"	"izk0 fo0 'ksjij"	"5"	"4"	"68"	"341"	"10"	"7"	"435"	""	"435"	""
"95"	"52"	"iapk;r Hkou egknso xat"	"23"	"8"	"162"	"122"	"7"	"17"	"339"	""	"339"	""
"96"	"53"	"pyUr ernku dsUnz pUnqdqvk¡ iwohZ Hkkx"	"8"	"3"	"172"	"151"	"6"	"5"	"345"	""	"345"	""
"97"	"Total No. of votes recorded at Polling Stations"	""	"339"	"79"	"1704"	"2123"	"96"	"149"	"4490"	""	"4490"	""
"98"	"No. of votes recorded on postal ballot papers (to be filled in the
case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"99"	"Total votes polled"	""	"339"	"79"	"1704"	"2123"	"96"	"149"	"4490"	""	"4490"	""
"100"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"101"	""	""	"Umesh Kumar Suman"	"Usha Kumari"	"Mahavir Choudhary"	"Ramsundar Ram Kanaujia"	"Ajay Kumar"	"Alanandan Paswan"	""	""	""	""
"102"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"103"	"54"	"izkFkfed fo|ky; ijlksch?kk"	"3"	"3"	"190"	"321"	"6"	"9"	"532"	""	"532"	""
"104"	"55"	"pyUr   ernku   dsUnz   ekStk   ukjk;.kiqj   [kkrk   285]
[ksljk 638] jdok 10 Mh0] iqjkuh 'kgj & 1"	"12"	"6"	"205"	"162"	"4"	"9"	"398"	""	"398"	""
"105"	"55d"	"pyUr  ernku  dsUnz  ekStk  ukjk;.kiqj  [kkrk  285]  [ksljk  638]
jdok 10 Mh0] iqjkuh 'kgj & 2"	"13"	"7"	"198"	"187"	"10"	"12"	"427"	""	"427"	""
"106"	"56"	"dU;k e0 fo0 cjch?kk"	"11"	"5"	"224"	"269"	"5"	"5"	"519"	""	"519"	""
"107"	"57"	"rSfyd ckfydk mPp fo|ky; cjch?kk"	"11"	"12"	"260"	"262"	"10"	"9"	"564"	""	"564"	""
"108"	"58"	"pyUr ernku dsUnz] ekStk jkeiqj  flaMk;] [kkr  91] [ksljk
1571] xatij & 1"	"8"	"3"	"243"	"79"	"3"	"8"	"344"	""	"344"	""
"109"	"58d"	"pyUr  ernku  dsUnz]  ekStk  jkeiqj  flaMk;]  [kkr  91]  [ksljk
1571] xatij & 2"	"5"	"2"	"139"	"121"	"8"	"5"	"280"	""	"280"	""
"110"	"59"	"izkFkfed fo|ky; ulhcpd"	"28"	"24"	"143"	"192"	"15"	"24"	"426"	""	"426"	""
"111"	"60"	"izkFkfed fo|ky; jkeiqj flaMk;"	"66"	"12"	"271"	"255"	"7"	"18"	"629"	""	"629"	""
"112"	"61"	"enjlk QSTtqYykiqj"	"30"	"9"	"284"	"93"	"8"	"12"	"436"	""	"436"	""
"113"	"62"	"pyUr ernku dsUnz QSTtqYykiqj if'peh"	"53"	"10"	"184"	"62"	"6"	"12"	"327"	""	"327"	""
"114"	"63"	"mPp fo|ky; cjch?kk ¼m0 Hkkx½"	"2"	"2"	"49"	"193"	"3"	"5"	"254"	""	"254"	""
"115"	"63d"	"mPp fo|ky; cjch?kk ¼n0 Hkkx½"	"16"	"9"	"122"	"190"	"9"	"10"	"356"	""	"356"	""
"116"	"64"	"izkFkfed fo|ky; ukjk;.kiqj"	"41"	"11"	"234"	"143"	"7"	"9"	"445"	""	"445"	""
"117"	"Total No. of votes recorded at Polling Stations"	""	"299"	"115"	"2746"	"2529"	"101"	"147"	"5937"	""	"5937"	""
"118"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"119"	"Total votes polled"	""	"299"	"115"	"2746"	"2529"	"101"	"147"	"5937"	""	"5937"	""
"120"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"121"	""	""	"Umesh Kumar Suman"	"Usha Kumari"	"Mahavir Choudhary"	"Ramsundar Ram Kanaujia"	"Ajay Kumar"	"Alanandan Paswan"	""	""	""	""
"122"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"123"	"65"	"izkFkfed fo|ky; xaxVh mÙkjh Hkkx"	"14"	"6"	"75"	"400"	"9"	"11"	"515"	""	"515"	""
"124"	"66"	"izkFkfed fo|ky; xaxVh nf{k.kh Hkkx"	"32"	"4"	"71"	"154"	"4"	"28"	"293"	""	"293"	""
"125"	"67"	"izkFkfed fo|ky; dksbjhch?kk"	"105"	"12"	"108"	"309"	"11"	"14"	"559"	""	"559"	""
"126"	"68"	"lkewnkf;d Hkou ekmj"	"34"	"7"	"169"	"101"	"5"	"12"	"328"	""	"328"	""
"127"	"69"	"e/; fo|ky; ekmj"	"52"	"14"	"250"	"238"	"7"	"20"	"581"	""	"581"	""
"128"	"70"	"izkFkfed fo|ky; uljriqj"	"72"	"30"	"144"	"148"	"15"	"14"	"423"	""	"423"	""
"129"	"71"	"e/; fo|ky;] vksukek ¼mÙkjh Hkkx½"	"48"	"4"	"40"	"333"	"4"	"7"	"436"	""	"436"	""
"130"	"72"	"e/; fo|ky;] vksukek ¼nf{k.k Hkkx½"	"10"	"5"	"136"	"182"	"4"	"11"	"348"	""	"348"	""
"131"	"73"	"izkFkfed fo|ky;] MksokMhg"	"23"	"10"	"112"	"243"	"11"	"18"	"417"	""	"417"	""
"132"	"74"	"izkFkfed fo|ky;] vLFkkuk"	"109"	"8"	"34"	"67"	"2"	"16"	"236"	""	"236"	""
"133"	"74d"	"izkFkfed fo|ky;] vLFkkuk & pyUr ernku dsUnz"	"20"	"3"	"31"	"174"	"8"	"8"	"244"	""	"244"	""
"134"	"75"	"izkFkfed fo|ky;] csyko ¼iw0 Hkkx½"	"13"	"8"	"96"	"143"	"4"	"12"	"276"	""	"276"	""
"135"	"75d"	"izkFkfed fo|ky;] csyko ¼i0 Hkkx½"	"6"	"2"	"87"	"128"	"8"	"17"	"248"	""	"248"	""
"136"	"76"	"mPp fo|ky;] csyko"	"27"	"6"	"96"	"182"	"6"	"19"	"336"	""	"336"	""
"137"	"Total No. of votes recorded at Polling Stations"	""	"565"	"119"	"1449"	"2802"	"98"	"207"	"5240"	""	"5240"	""
"138"	"No. of votes recorded on postal ballot papers (to be filled in the
case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"139"	"Total votes polled"	""	"565"	"119"	"1449"	"2802"	"98"	"207"	"5240"	""	"5240"	""
"140"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"141"	""	""	"Umesh Kumar Suman"	"Usha Kumari"	"Mahavir Choudhary"	"Ramsundar Ram Kanaujia"	"Ajay Kumar"	"Alanandan Paswan"	""	""	""	""
"142"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"143"	"77"	"izkFkfed fo|ky;] fdluiqj"	"16"	"9"	"112"	"226"	"6"	"1"	"370"	""	"370"	""
"144"	"78"	"izkFkfed fo|ky;] NohykBhdk"	"20"	"7"	"129"	"99"	"5"	"10"	"270"	""	"270"	""
"145"	"79"	"izkFkfed fo|ky;] e/ksiqjk"	"10"	"8"	"62"	"106"	"7"	"9"	"202"	""	"202"	""
"146"	"80"	"izkFkfed fo|ky;] ohjiqj ¼iwohZ Hkkx½"	"51"	"1"	"236"	"132"	"7"	"3"	"430"	""	"430"	""
"147"	"81"	"izkFkfesd fo|ky;] ohjiqj ¼if'pe Hkkx½"	"20"	"9"	"150"	"95"	"9"	"15"	"298"	""	"298"	""
"148"	"82"	"e/; fo|ky;] Nsek"	"13"	"3"	"75"	"226"	"5"	"2"	"324"	""	"324"	""
"149"	"82d"	"e/; fo|ky;] Nsek & pyUr ernku dsUnz"	"20"	"7"	"33"	"213"	"9"	"12"	"294"	""	"294"	""
"150"	"83"	"izkFkfed fo|ky;] ;ks/kuch?kk"	"30"	"11"	"102"	"281"	"15"	"18"	"457"	""	"457"	""
"151"	"84"	"e/; fo|ky;] vEckjh ¼nf{k.k Hkkx½"	"35"	"14"	"109"	"234"	"23"	"36"	"451"	""	"451"	""
"152"	"84d"	"e/; fo|ky;] vEckjh ¼mÙkj Hkkx½"	"11"	"2"	"43"	"99"	"6"	"15"	"176"	""	"176"	""
"153"	"85"	"e/; fo|ky;] vEckjh ¼if'pe Hkkx½"	"62"	"20"	"138"	"379"	"25"	"23"	"647"	""	"647"	""
"154"	"86"	"e/; fo|ky;] lkfndiqj"	"79"	"9"	"63"	"236"	"8"	"18"	"413"	""	"413"	""
"155"	"87"	"iqLrdky; Hkou] p:vkok¡"	"9"	"5"	"79"	"7"	"6"	"4"	"110"	""	"110"	""
"156"	"87 d"	"e/; fo|ky;] p:vkok¡ ¼m0 Hkkx½"	"6"	"3"	"66"	"9"	"2"	"8"	"94"	""	"94"	""
"157"	"Total No. of votes recorded at Polling Stations"	""	"382"	"108"	"1397"	"2342"	"133"	"174"	"4536"	""	"4536"	""
"158"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"159"	"Total votes polled"	""	"382"	"108"	"1397"	"2342"	"133"	"174"	"4536"	""	"4536"	""
"160"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"161"	""	""	"Umesh Kumar Suman"	"Usha Kumari"	"Mahavir Choudhary"	"Ramsundar Ram Kanaujia"	"Ajay Kumar"	"Alanandan Paswan"	""	""	""	""
"162"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"163"	"87 [k"	"iqLrdky; Hkou] p:vkok¡ & pyUr ernku dsUnz"	"4"	""	"28"	"10"	"2"	"2"	"46"	""	"46"	""
"164"	"88"	"e/; fo|ky;] p:vkok¡ ¼iwohZ Hkkx½"	"18"	"11"	"111"	"14"	"5"	"2"	"161"	""	"161"	""
"165"	"88d"	"e/; fo|ky;] p:vkok¡ ¼m0 Hkkx½"	"20"	"6"	"100"	"34"	"8"	"14"	"182"	""	"182"	""
"166"	"89"	"e/; fo|ky;] p:vkok¡ ¼if'peh Hkkx½"	"72"	"11"	"59"	"91"	"5"	"11"	"249"	""	"249"	""
"167"	"90"	"izkFkfed fo|ky;] 'ks[kksiqjMhg ¼iwohZ Hkkx½"	"14"	"3"	"98"	"275"	"9"	"10"	"409"	""	"409"	""
"168"	"91"	"izkFkfed fo|ky;] 'ks[kksiqjMhg ¼if'peh Hkkx½"	"35"	"13"	"218"	"186"	"10"	"21"	"483"	""	"483"	""
"169"	"92"	"izkFkfed fo|ky;] lqfx;k"	"75"	"23"	"90"	"156"	"4"	"12"	"360"	""	"360"	""
"170"	"93"	"izkFkfed fo|ky;] jfgapk"	"15"	"5"	"78"	"141"	"6"	"6"	"251"	""	"251"	""
"171"	"94"	"izkFkfed fo|ky;] dchjiqj"	"7"	"2"	"101"	"114"	"5"	"2"	"231"	""	"231"	""
"172"	"95"	"e/; fo|ky;] ik¡ph ¼iwohZ Hkkx½"	"49"	"6"	"63"	"225"	"8"	"26"	"377"	""	"377"	""
"173"	"96"	"e/; fo|ky;] ik¡ph ¼if'peh Hkkx½"	"43"	"5"	"55"	"82"	"8"	"26"	"219"	""	"219"	""
"174"	"97"	"izkFkfed fo|ky;] egkuUniqj"	"11"	"2"	"78"	"130"	"8"	"12"	"241"	""	"241"	""
"175"	"97d"	"izkFkfed fo|ky;] egkuUniqj ¼u;k Hkou½"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"176"	"98"	"e/; fo|ky;] eksgCcriqj ¼iwohZ Hkkx½"	"27"	"17"	"58"	"240"	"12"	"16"	"370"	""	"370"	""
"177"	"Total No. of votes recorded at Polling Stations"	""	"390"	"104"	"1137"	"1698"	"90"	"160"	"3579"	""	"3579"	""
"178"	"No. of votes recorded on postal ballot papers (to be filled in the
case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"179"	"Total votes polled"	""	"390"	"104"	"1137"	"1698"	"90"	"160"	"3579"	""	"3579"	""
"180"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"181"	""	""	"Umesh Kumar Suman"	"Usha Kumari"	"Mahavir Choudhary"	"Ramsundar Ram Kanaujia"	"Ajay Kumar"	"Alanandan Paswan"	""	""	""	""
"182"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"183"	"99"	"e/; fo|ky;] eksgCcriqj ¼if'peh Hkkx½"	"41"	"4"	"55"	"297"	"4"	"11"	"412"	""	"412"	""
"184"	"100"	"e/; fo|ky;] eksfleiqj"	"5"	"2"	"71"	"332"	"3"	"2"	"415"	""	"415"	""
"185"	"101"	"e/; fo|ky;] iUgslk"	"40"	"3"	"143"	"170"	"10"	"27"	"393"	""	"393"	""
"186"	"102"	"e/; fo|ky;] uheh ¼nf{k.kh Hkkx½"	"76"	"9"	"151"	"266"	"24"	"19"	"545"	""	"545"	""
"187"	"103"	"e/; fo|ky;] uheh ¼mÙkjh Hkkx½"	"27"	"4"	"98"	"335"	"12"	"15"	"491"	""	"491"	""
