"Total.No..of.Electors.in.Assembly.Constituency...188104"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election for 6-Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling    Station No."	"Pradeep Singh"	"Ram       Prasad Yadav"	"Shambhu Tiwari"	"Harendra Prasad Kushwaha"	"Binay Vihari"	"Kishkindha Devi"	"Vijay Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"26"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"27"	"Polling    Station No."	"Pradeep Singh"	"Ram       Prasad Yadav"	"Shambhu Tiwari"	"Harendra Prasad Kushwaha"	"Binay Vihari"	"Kishkindha Devi"	"Vijay Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"28"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"29"	"15"	"48"	"23"	"134"	"4"	"192"	"7"	"11"	"419"	"0"	"419"	"0"	""
"30"	"16"	"17"	"11"	"518"	"3"	"7"	"5"	"3"	"564"	"0"	"564"	"0"	""
"31"	"17"	"50"	"20"	"578"	"10"	"10"	"12"	"11"	"691"	"0"	"691"	"0"	""
"32"	"18"	"188"	"31"	"362"	"6"	"10"	"12"	"15"	"624"	"0"	"624"	"0"	""
"33"	"19"	"257"	"15"	"229"	"23"	"9"	"12"	"14"	"559"	"0"	"559"	"0"	""
"34"	"20"	"120"	"52"	"442"	"15"	"24"	"1"	"3"	"657"	"0"	"657"	"0"	""
"35"	"21"	"27"	"22"	"76"	"3"	"141"	"1"	"1"	"271"	"0"	"271"	"0"	""
"36"	"22"	"19"	"54"	"356"	"21"	"94"	"7"	"15"	"566"	"0"	"566"	"0"	""
"37"	"23"	"14"	"54"	"273"	"10"	"32"	"4"	"2"	"389"	"0"	"389"	"0"	""
"38"	"23A"	"50"	"41"	"247"	"14"	"8"	"16"	"3"	"379"	"0"	"379"	"0"	""
"39"	"24"	"43"	"33"	"262"	"15"	"11"	"20"	"6"	"390"	"0"	"390"	"0"	""
"40"	"25"	"193"	"39"	"289"	"15"	"28"	"15"	"16"	"595"	"0"	"595"	"0"	""
"41"	"26"	"145"	"99"	"286"	"7"	"10"	"13"	"7"	"567"	"0"	"567"	"0"	""
"42"	"27"	"165"	"50"	"140"	"22"	"13"	"3"	"5"	"398"	"0"	"398"	"0"	""
"43"	"Total"	"1336"	"544"	"4192"	"168"	"589"	"128"	"112"	"7069"	"0"	"7069"	"0"	""
"44"	"Total No. of Electors in Assembly Constituency - 188104"	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"Election for 6-Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"48"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"49"	"Polling    Station No."	"Pradeep Singh"	"Ram       Prasad Yadav"	"Shambhu Tiwari"	"Harendra Prasad Kushwaha"	"Binay Vihari"	"Kishkindha Devi"	"Vijay Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"50"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"51"	"27A"	"146"	"3"	"203"	"7"	"16"	"6"	"9"	"390"	"0"	"390"	"0"	""
"52"	"28"	"190"	"33"	"298"	"22"	"44"	"13"	"20"	"620"	"0"	"620"	"0"	""
"53"	"29"	"127"	"90"	"249"	"15"	"108"	"7"	"15"	"611"	"0"	"611"	"0"	""
"54"	"30"	"234"	"23"	"286"	"18"	"17"	"8"	"2"	"588"	"0"	"588"	"0"	""
"55"	"31"	"126"	"18"	"50"	"129"	"80"	"17"	"7"	"427"	"0"	"427"	"0"	""
"56"	"32"	"159"	"183"	"40"	"23"	"8"	"3"	"5"	"421"	"0"	"421"	"0"	""
"57"	"33"	"95"	"23"	"178"	"42"	"28"	"5"	"11"	"382"	"0"	"382"	"0"	""
"58"	"34"	"121"	"94"	"199"	"53"	"19"	"11"	"4"	"501"	"0"	"501"	"0"	""
"59"	"35"	"141"	"107"	"123"	"146"	"162"	"9"	"5"	"693"	"0"	"693"	"0"	""
"60"	"36"	"152"	"30"	"113"	"14"	"217"	"2"	"6"	"534"	"0"	"534"	"0"	""
"61"	"37"	"67"	"22"	"274"	"11"	"2"	"11"	"6"	"393"	"0"	"393"	"0"	""
"62"	"37A"	"69"	"147"	"65"	"13"	"30"	"3"	"5"	"332"	"0"	"332"	"0"	""
"63"	"38"	"44"	"103"	"323"	"13"	"29"	"4"	"3"	"519"	"0"	"519"	"0"	""
"64"	"39"	"116"	"71"	"130"	"19"	"104"	"5"	"8"	"453"	"0"	"453"	"0"	""
"65"	"Total"	"1787"	"947"	"2531"	"525"	"864"	"104"	"106"	"6864"	"0"	"6864"	"0"	""
"66"	"Total No. of Electors in Assembly Constituency - 188104"	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"Election for 6-Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"70"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"71"	"Polling    Station No."	"Pradeep Singh"	"Ram       Prasad Yadav"	"Shambhu Tiwari"	"Harendra Prasad Kushwaha"	"Binay Vihari"	"Kishkindha Devi"	"Vijay Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"72"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"73"	"40"	"109"	"51"	"310"	"22"	"18"	"9"	"15"	"534"	"0"	"534"	"0"	""
"74"	"41"	"107"	"25"	"70"	"1"	"2"	"0"	"1"	"206"	"0"	"206"	"0"	""
"75"	"42"	"76"	"152"	"167"	"6"	"11"	"4"	"2"	"418"	"0"	"418"	"0"	""
"76"	"43"	"233"	"85"	"132"	"20"	"26"	"10"	"15"	"521"	"0"	"521"	"0"	""
"77"	"44"	"170"	"82"	"85"	"14"	"19"	"4"	"8"	"382"	"0"	"382"	"0"	""
"78"	"45"	"118"	"47"	"280"	"79"	"21"	"13"	"6"	"564"	"0"	"564"	"0"	""
"79"	"46"	"305"	"6"	"124"	"4"	"29"	"3"	"15"	"486"	"0"	"486"	"0"	""
"80"	"47"	"269"	"16"	"321"	"26"	"15"	"14"	"27"	"688"	"0"	"688"	"0"	""
"81"	"48"	"202"	"18"	"392"	"7"	"17"	"11"	"8"	"655"	"0"	"655"	"0"	""
"82"	"49"	"200"	"11"	"160"	"55"	"12"	"4"	"1"	"443"	"0"	"443"	"0"	""
"83"	"49A"	"97"	"28"	"152"	"57"	"45"	"2"	"8"	"389"	"0"	"389"	"0"	""
"84"	"50"	"319"	"74"	"66"	"12"	"13"	"3"	"19"	"506"	"0"	"506"	"0"	""
"85"	"50A"	"263"	"14"	"86"	"18"	"16"	"7"	"11"	"415"	"0"	"415"	"0"	""
"86"	"51"	"271"	"31"	"178"	"20"	"29"	"9"	"20"	"558"	"0"	"558"	"0"	""
"87"	"Total"	"2739"	"640"	"2523"	"341"	"273"	"93"	"156"	"6765"	"0"	"6765"	"0"	""
"88"	"Total No. of Electors in Assembly Constituency - 188104"	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"Election for 6-Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"92"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"93"	"Polling    Station No."	"Pradeep Singh"	"Ram       Prasad Yadav"	"Shambhu Tiwari"	"Harendra Prasad Kushwaha"	"Binay Vihari"	"Kishkindha Devi"	"Vijay Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"94"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"95"	"51A"	"180"	"14"	"182"	"18"	"10"	"6"	"12"	"422"	"0"	"422"	"0"	""
"96"	"52"	"473"	"15"	"215"	"4"	"8"	"6"	"14"	"735"	"0"	"735"	"0"	""
"97"	"53"	"241"	"11"	"148"	"11"	"10"	"5"	"16"	"442"	"0"	"442"	"0"	""
"98"	"54"	"378"	"22"	"213"	"13"	"5"	"6"	"15"	"652"	"0"	"652"	"0"	""
"99"	"55"	"188"	"17"	"120"	"3"	"2"	"2"	"6"	"338"	"0"	"338"	"0"	""
"100"	"56"	"21"	"127"	"211"	"2"	"39"	"3"	"4"	"407"	"0"	"407"	"0"	""
"101"	"57"	"196"	"33"	"179"	"12"	"101"	"7"	"14"	"542"	"0"	"542"	"0"	""
"102"	"58"	"314"	"117"	"121"	"21"	"11"	"3"	"14"	"601"	"0"	"601"	"0"	""
"103"	"59"	"390"	"24"	"136"	"4"	"0"	"1"	"12"	"567"	"0"	"567"	"0"	""
"104"	"60"	"517"	"54"	"107"	"2"	"6"	"2"	"4"	"692"	"0"	"692"	"0"	""
"105"	"61"	"158"	"13"	"171"	"2"	"55"	"3"	"2"	"404"	"0"	"404"	"0"	""
"106"	"61A"	"198"	"20"	"95"	"8"	"22"	"1"	"4"	"348"	"0"	"348"	"0"	""
"107"	"62"	"435"	"50"	"170"	"13"	"9"	"4"	"10"	"691"	"0"	"691"	"0"	""
"108"	"63"	"45"	"30"	"252"	"14"	"19"	"7"	"8"	"375"	"0"	"375"	"0"	""
"109"	"Total"	"3734"	"547"	"2320"	"127"	"297"	"56"	"135"	"7216"	"0"	"7216"	"0"	""
"110"	"Total No. of Electors in Assembly Constituency - 188104"	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"Election for 6-Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"114"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"115"	"Polling    Station No."	"Pradeep Singh"	"Ram       Prasad Yadav"	"Shambhu Tiwari"	"Harendra Prasad Kushwaha"	"Binay Vihari"	"Kishkindha Devi"	"Vijay Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"116"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"117"	"64"	"164"	"16"	"198"	"9"	"6"	"3"	"5"	"401"	"0"	"401"	"0"	""
"118"	"64A"	"161"	"7"	"170"	"9"	"26"	"13"	"15"	"401"	"0"	"401"	"0"	""
"119"	"65"	"99"	"53"	"52"	"8"	"17"	"2"	"5"	"236"	"0"	"236"	"0"	""
"120"	"65A"	"211"	"35"	"41"	"8"	"8"	"0"	"6"	"309"	"0"	"309"	"0"	""
"121"	"66"	"66"	"53"	"134"	"13"	"82"	"7"	"38"	"393"	"0"	"393"	"0"	""
"122"	"67"	"219"	"107"	"55"	"64"	"22"	"18"	"27"	"512"	"0"	"512"	"0"	""
"123"	"68"	"212"	"52"	"223"	"18"	"19"	"3"	"13"	"540"	"0"	"540"	"0"	""
"124"	"69"	"145"	"33"	"129"	"12"	"22"	"8"	"33"	"382"	"0"	"382"	"0"	""
"125"	"69A"	"199"	"52"	"93"	"33"	"9"	"6"	"14"	"406"	"0"	"406"	"0"	""
"126"	"70"	"188"	"41"	"257"	"21"	"46"	"9"	"33"	"595"	"0"	"595"	"0"	""
"127"	"71"	"498"	"11"	"79"	"5"	"30"	"4"	"30"	"657"	"0"	"657"	"0"	""
"128"	"72"	"330"	"77"	"199"	"14"	"21"	"20"	"48"	"709"	"0"	"709"	"0"	""
"129"	"73"	"122"	"34"	"426"	"33"	"35"	"15"	"13"	"678"	"0"	"678"	"0"	""
"130"	"74"	"288"	"10"	"172"	"51"	"7"	"3"	"12"	"543"	"0"	"543"	"0"	""
"131"	"Total"	"2902"	"581"	"2228"	"298"	"350"	"111"	"292"	"6762"	"0"	"6762"	"0"	""
"132"	"Total No. of Electors in Assembly Constituency - 188104"	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"Election for 6-Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"136"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"137"	"Polling    Station No."	"Pradeep Singh"	"Ram       Prasad Yadav"	"Shambhu Tiwari"	"Harendra Prasad Kushwaha"	"Binay Vihari"	"Kishkindha Devi"	"Vijay Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"138"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"139"	"75"	"205"	"8"	"85"	"12"	"12"	"5"	"16"	"343"	"0"	"343"	"0"	""
"140"	"76"	"143"	"15"	"188"	"29"	"46"	"5"	"8"	"434"	"0"	"434"	"0"	""
"141"	"77"	"166"	"65"	"184"	"9"	"8"	"7"	"19"	"458"	"0"	"458"	"0"	""
"142"	"77A"	"49"	"155"	"51"	"0"	"16"	"3"	"8"	"282"	"0"	"282"	"0"	""
"143"	"78"	"188"	"23"	"220"	"21"	"13"	"3"	"11"	"479"	"0"	"479"	"0"	""
"144"	"79"	"231"	"121"	"179"	"49"	"46"	"9"	"9"	"644"	"0"	"644"	"0"	""
"145"	"80"	"189"	"98"	"77"	"12"	"26"	"12"	"17"	"431"	"0"	"431"	"0"	""
"146"	"80A"	"70"	"5"	"189"	"5"	"8"	"4"	"2"	"283"	"0"	"283"	"0"	""
"147"	"81"	"149"	"17"	"89"	"6"	"31"	"8"	"8"	"308"	"0"	"308"	"0"	""
"148"	"82"	"354"	"105"	"41"	"12"	"11"	"7"	"21"	"551"	"0"	"551"	"0"	""
"149"	"83"	"285"	"10"	"48"	"4"	"20"	"3"	"4"	"374"	"0"	"374"	"0"	""
"150"	"83A"	"141"	"22"	"161"	"7"	"94"	"5"	"8"	"438"	"0"	"438"	"0"	""
"151"	"84"	"182"	"68"	"160"	"18"	"67"	"13"	"20"	"528"	"0"	"528"	"0"	""
"152"	"85"	"218"	"166"	"99"	"67"	"47"	"13"	"20"	"630"	"0"	"630"	"0"	""
"153"	"Total"	"2570"	"878"	"1771"	"251"	"445"	"97"	"171"	"6183"	"0"	"6183"	"0"	""
"154"	"Total No. of Electors in Assembly Constituency - 188104"	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"Election for 6-Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"158"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"159"	"Polling    Station No."	"Pradeep Singh"	"Ram       Prasad Yadav"	"Shambhu Tiwari"	"Harendra Prasad Kushwaha"	"Binay Vihari"	"Kishkindha Devi"	"Vijay Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"160"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"161"	"86"	"106"	"41"	"35"	"42"	"101"	"4"	"8"	"337"	"0"	"337"	"0"	""
"162"	"87"	"237"	"16"	"101"	"13"	"71"	"5"	"8"	"451"	"0"	"451"	"0"	""
"163"	"88"	"175"	"42"	"139"	"8"	"30"	"11"	"15"	"420"	"0"	"420"	"0"	""
"164"	"89"	"75"	"18"	"270"	"9"	"294"	"5"	"10"	"681"	"0"	"681"	"0"	""
"165"	"90"	"123"	"17"	"181"	"17"	"283"	"16"	"23"	"660"	"0"	"660"	"0"	""
"166"	"91"	"187"	"32"	"199"	"9"	"56"	"3"	"14"	"500"	"0"	"500"	"0"	""
"167"	"92"	"44"	"16"	"176"	"9"	"197"	"7"	"9"	"458"	"0"	"458"	"0"	""
"168"	"93"	"22"	"19"	"39"	"5"	"203"	"3"	"4"	"295"	"0"	"295"	"0"	""
"169"	"94"	"86"	"6"	"23"	"8"	"382"	"10"	"8"	"523"	"0"	"523"	"0"	""
"170"	"95"	"123"	"5"	"20"	"19"	"288"	"15"	"10"	"480"	"0"	"480"	"0"	""
"171"	"96"	"133"	"24"	"13"	"36"	"102"	"5"	"3"	"316"	"0"	"316"	"0"	""
"172"	"96A"	"28"	"136"	"180"	"8"	"54"	"13"	"15"	"434"	"0"	"434"	"0"	""
"173"	"97"	"33"	"48"	"62"	"11"	"260"	"12"	"3"	"429"	"0"	"429"	"0"	""
"174"	"98"	"39"	"27"	"80"	"1"	"136"	"2"	"7"	"292"	"0"	"292"	"0"	""
"175"	"Total"	"1411"	"447"	"1518"	"195"	"2457"	"111"	"137"	"6276"	"0"	"6276"	"0"	""
"176"	"Total No. of Electors in Assembly Constituency - 188104"	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"Election for 6-Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"180"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"181"	"Polling    Station No."	"Pradeep Singh"	"Ram       Prasad Yadav"	"Shambhu Tiwari"	"Harendra Prasad Kushwaha"	"Binay Vihari"	"Kishkindha Devi"	"Vijay Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"182"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"183"	"99"	"33"	"13"	"114"	"16"	"353"	"7"	"7"	"543"	"0"	"543"	"0"	""
"184"	"100"	"59"	"19"	"24"	"4"	"395"	"11"	"15"	"527"	"0"	"527"	"0"	""
"185"	"100A"	"11"	"1"	"4"	"4"	"461"	"6"	"12"	"499"	"0"	"499"	"0"	""
"186"	"101"	"62"	"16"	"18"	"6"	"403"	"13"	"9"	"527"	"0"	"527"	"0"	""
"187"	"101A"	"51"	"3"	"46"	"6"	"318"	"6"	"4"	"434"	"0"	"434"	"0"	""
"188"	"102"	"18"	"5"	"64"	"12"	"392"	"12"	"15"	"518"	"0"	"518"	"0"	""
"189"	"103"	"50"	"58"	"94"	"17"	"448"	"15"	"17"	"699"	"0"	"699"	"0"	""
"190"	"104"	"59"	"1"	"65"	"5"	"431"	"11"	"9"	"581"	"0"	"581"	"0"	""
"191"	"105"	"22"	"3"	"84"	"7"	"469"	"11"	"4"	"600"	"0"	"600"	"0"	""
"192"	"106"	"24"	"17"	"165"	"9"	"284"	"5"	"7"	"511"	"0"	"511"	"0"	""
"193"	"107"	"13"	"136"	"103"	"21"	"212"	"7"	"12"	"504"	"0"	"504"	"0"	""
"194"	"108"	"46"	"15"	"171"	"15"	"408"	"6"	"3"	"664"	"0"	"664"	"0"	""
"195"	"109"	"46"	"34"	"64"	"10"	"361"	"7"	"9"	"531"	"0"	"531"	"0"	""
"196"	"110"	"149"	"12"	"54"	"11"	"351"	"14"	"14"	"605"	"0"	"605"	"0"	""
"197"	"Total"	"643"	"333"	"1070"	"143"	"5286"	"131"	"137"	"7743"	"0"	"7743"	"0"	""
"198"	"Total No. of Electors in Assembly Constituency - 188104"	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"Election for 6-Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"202"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"203"	"Polling    Station No."	"Pradeep Singh"	"Ram       Prasad Yadav"	"Shambhu Tiwari"	"Harendra Prasad Kushwaha"	"Binay Vihari"	"Kishkindha Devi"	"Vijay Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"204"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"205"	"111"	"174"	"13"	"143"	"11"	"89"	"6"	"14"	"450"	"0"	"450"	"0"	""
"206"	"111A"	"49"	"62"	"69"	"7"	"106"	"7"	"13"	"313"	"0"	"313"	"0"	""
"207"	"112"	"102"	"12"	"118"	"7"	"169"	"2"	"3"	"413"	"0"	"413"	"0"	""
"208"	"112A"	"200"	"7"	"61"	"16"	"138"	"6"	"6"	"434"	"0"	"434"	"0"	""
"209"	"113"	"36"	"23"	"224"	"25"	"254"	"7"	"29"	"598"	"0"	"598"	"0"	""
"210"	"114"	"188"	"22"	"202"	"14"	"73"	"10"	"24"	"533"	"0"	"533"	"0"	""
"211"	"115"	"182"	"46"	"181"	"10"	"24"	"5"	"6"	"454"	"0"	"454"	"0"	""
"212"	"116"	"367"	"29"	"67"	"18"	"119"	"9"	"16"	"625"	"0"	"625"	"0"	""
"213"	"117"	"388"	"17"	"207"	"21"	"41"	"9"	"19"	"702"	"0"	"702"	"0"	""
"214"	"118"	"217"	"155"	"70"	"13"	"35"	"8"	"28"	"526"	"0"	"526"	"0"	""
"215"	"119"	"56"	"15"	"37"	"17"	"288"	"11"	"20"	"444"	"0"	"444"	"0"	""
"216"	"120"	"303"	"66"	"133"	"6"	"57"	"4"	"10"	"579"	"0"	"579"	"0"	""
"217"	"121"	"275"	"79"	"143"	"15"	"81"	"6"	"10"	"609"	"0"	"609"	"0"	""
"218"	"122"	"225"	"30"	"92"	"28"	"119"	"8"	"14"	"516"	"0"	"516"	"0"	""
"219"	"Total"	"2762"	"576"	"1747"	"208"	"1593"	"98"	"212"	"7196"	"0"	"7196"	"0"	""
"220"	"Total No. of Electors in Assembly Constituency - 188104"	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"Election for 6-Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"224"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"225"	"Polling    Station No."	"Pradeep Singh"	"Ram       Prasad Yadav"	"Shambhu Tiwari"	"Harendra Prasad Kushwaha"	"Binay Vihari"	"Kishkindha Devi"	"Vijay Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"226"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"227"	"123"	"79"	"114"	"77"	"12"	"227"	"10"	"7"	"526"	"0"	"526"	"0"	""
"228"	"124"	"72"	"81"	"82"	"13"	"166"	"16"	"22"	"452"	"0"	"452"	"0"	""
"229"	"125"	"86"	"2"	"97"	"7"	"171"	"3"	"6"	"372"	"0"	"372"	"0"	""
"230"	"126"	"66"	"235"	"161"	"18"	"80"	"4"	"8"	"572"	"0"	"572"	"0"	""
"231"	"127"	"83"	"241"	"113"	"20"	"60"	"9"	"16"	"542"	"0"	"542"	"0"	""
"232"	"128"	"86"	"276"	"168"	"12"	"42"	"13"	"10"	"607"	"0"	"607"	"0"	""
"233"	"129"	"119"	"75"	"60"	"13"	"244"	"15"	"19"	"545"	"0"	"545"	"0"	""
"234"	"130"	"172"	"69"	"19"	"5"	"274"	"14"	"28"	"581"	"0"	"581"	"0"	""
"235"	"131"	"139"	"106"	"96"	"10"	"205"	"14"	"27"	"597"	"0"	"597"	"0"	""
"236"	"132"	"290"	"59"	"19"	"11"	"62"	"10"	"36"	"487"	"0"	"487"	"0"	""
"237"	"133"	"57"	"74"	"10"	"12"	"320"	"4"	"15"	"492"	"0"	"492"	"0"	""
