"Total.No..of.Electors.in.Assembly.Constituency...200284"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"63"	"35"	"7"	"90"	"95"	"201"	"12"	"1"	"1"	"4"	"6"	"9"	"2"	"6"	"15"	"449"	"0"	"449"	"0"	""
"64"	"35A"	"18"	"67"	"58"	"119"	"5"	"7"	"4"	"3"	"3"	"1"	"0"	"3"	"3"	"291"	"0"	"291"	"0"	""
"65"	"Total"	"258"	"1505"	"747"	"2394"	"82"	"49"	"68"	"65"	"52"	"57"	"24"	"55"	"213"	"5569"	"0"	"5569"	"0"	""
"66"	"Total No. of Electors in Assembly Constituency - 200284"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"Election for 3-Ramnagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"Polling Station No."	"Kameshwar Pandey"	"Chandra Mohan Rai"	"Prabhat Ranjan Singh"	"Fakroodin Khan"	"Anita Devi"	"Puroosotam Ram"	"Bechchoo Yadav"	"Majister Yadav"	"Sudama Ram"	"Nand Lal Ram"	"Najamudin"	"Muneendra Pandit"	"Mohammad Salauddin"	"Total    No. of     actual Votes"	"Total    No. of rejected Votes"	"Total"	"No.        of Tendered Votes"	""
"72"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	""
"73"	"36"	"5"	"127"	"190"	"55"	"7"	"3"	"0"	"1"	"3"	"4"	"6"	"3"	"8"	"412"	"0"	"412"	"0"	""
"74"	"37"	"4"	"59"	"55"	"68"	"2"	"2"	"4"	"1"	"5"	"1"	"3"	"2"	"4"	"210"	"0"	"210"	"0"	""
"75"	"38"	"8"	"709"	"36"	"20"	"4"	"3"	"2"	"9"	"3"	"1"	"6"	"9"	"9"	"819"	"0"	"819"	"0"	""
"76"	"39"	"25"	"104"	"98"	"45"	"5"	"7"	"3"	"2"	"6"	"5"	"2"	"4"	"7"	"313"	"0"	"313"	"0"	""
"77"	"40"	"19"	"205"	"74"	"191"	"8"	"11"	"8"	"9"	"2"	"5"	"5"	"5"	"19"	"561"	"0"	"561"	"0"	""
"78"	"41"	"20"	"305"	"82"	"79"	"5"	"2"	"2"	"4"	"4"	"2"	"5"	"8"	"16"	"534"	"0"	"534"	"0"	""
"79"	"42"	"62"	"201"	"96"	"168"	"12"	"9"	"3"	"5"	"4"	"3"	"6"	"6"	"8"	"583"	"0"	"583"	"0"	""
"80"	"43"	"38"	"294"	"38"	"143"	"8"	"5"	"3"	"5"	"1"	"1"	"1"	"5"	"8"	"550"	"0"	"550"	"0"	""
"81"	"44"	"43"	"133"	"62"	"215"	"9"	"6"	"6"	"3"	"3"	"0"	"2"	"0"	"9"	"491"	"0"	"491"	"0"	""
"82"	"44A"	"42"	"114"	"36"	"174"	"6"	"3"	"2"	"1"	"2"	"1"	"0"	"2"	"7"	"390"	"0"	"390"	"0"	""
"83"	"45"	"11"	"18"	"11"	"315"	"9"	"2"	"5"	"0"	"11"	"3"	"1"	"3"	"13"	"402"	"0"	"402"	"0"	""
"84"	"46"	"14"	"57"	"159"	"64"	"4"	"0"	"1"	"3"	"3"	"3"	"2"	"1"	"2"	"313"	"0"	"313"	"0"	""
"85"	"46A"	"11"	"17"	"6"	"411"	"5"	"1"	"0"	"4"	"3"	"6"	"1"	"0"	"8"	"473"	"0"	"473"	"0"	""
"86"	"47"	"9"	"282"	"4"	"33"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"1"	"36"	"370"	"0"	"370"	"0"	""
"87"	"Total"	"311"	"2625"	"947"	"1981"	"84"	"54"	"39"	"48"	"51"	"36"	"42"	"49"	"154"	"6421"	"0"	"6421"	"0"	""
"88"	"Total No. of Electors in Assembly Constituency - 200284"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"Election for 3-Ramnagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"Polling Station No."	"Kameshwar Pandey"	"Chandra Mohan Rai"	"Prabhat Ranjan Singh"	"Fakroodin Khan"	"Anita Devi"	"Puroosotam Ram"	"Bechchoo Yadav"	"Majister Yadav"	"Sudama Ram"	"Nand Lal Ram"	"Najamudin"	"Muneendra Pandit"	"Mohammad Salauddin"	"Total    No. of     actual Votes"	"Total    No. of rejected Votes"	"Total"	"No.        of Tendered Votes"	""
"94"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	""
"95"	"48"	"19"	"202"	"4"	"92"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"319"	"0"	"319"	"0"	""
"96"	"49"	"26"	"367"	"18"	"201"	"6"	"3"	"4"	"3"	"4"	"3"	"4"	"7"	"19"	"665"	"0"	"665"	"0"	""
"97"	"50"	"4"	"407"	"12"	"111"	"11"	"1"	"0"	"5"	"2"	"4"	"2"	"7"	"46"	"612"	"0"	"612"	"0"	""
"98"	"51"	"20"	"272"	"16"	"340"	"7"	"2"	"3"	"6"	"2"	"3"	"5"	"2"	"65"	"743"	"0"	"743"	"0"	""
"99"	"52"	"19"	"247"	"6"	"366"	"12"	"0"	"7"	"4"	"2"	"3"	"0"	"3"	"13"	"682"	"0"	"682"	"0"	""
"100"	"53"	"18"	"208"	"23"	"378"	"4"	"1"	"4"	"5"	"2"	"2"	"4"	"3"	"39"	"691"	"0"	"691"	"0"	""
"101"	"54"	"22"	"359"	"20"	"139"	"6"	"0"	"1"	"3"	"2"	"2"	"1"	"6"	"11"	"572"	"0"	"572"	"0"	""
"102"	"55"	"11"	"179"	"32"	"308"	"13"	"2"	"6"	"7"	"5"	"6"	"4"	"4"	"24"	"601"	"0"	"601"	"0"	""
"103"	"56"	"1"	"257"	"0"	"86"	"7"	"1"	"0"	"0"	"2"	"0"	"0"	"2"	"2"	"358"	"0"	"358"	"0"	""
"104"	"56A"	"8"	"92"	"7"	"144"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"265"	"0"	"265"	"0"	""
"105"	"57"	"16"	"453"	"8"	"143"	"5"	"0"	"3"	"6"	"7"	"1"	"7"	"7"	"7"	"663"	"0"	"663"	"0"	""
"106"	"58"	"11"	"201"	"10"	"218"	"12"	"5"	"4"	"3"	"4"	"4"	"5"	"3"	"15"	"495"	"0"	"495"	"0"	""
"107"	"59"	"24"	"271"	"13"	"240"	"5"	"10"	"2"	"7"	"9"	"4"	"8"	"4"	"17"	"614"	"0"	"614"	"0"	""
"108"	"60"	"9"	"196"	"9"	"484"	"16"	"4"	"5"	"3"	"9"	"3"	"1"	"6"	"5"	"750"	"0"	"750"	"0"	""
"109"	"Total"	"208"	"3711"	"178"	"3250"	"114"	"31"	"39"	"52"	"50"	"36"	"41"	"56"	"264"	"8030"	"0"	"8030"	"0"	""
"110"	"Total No. of Electors in Assembly Constituency - 200284"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"Election for 3-Ramnagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"Polling Station No."	"Kameshwar Pandey"	"Chandra Mohan Rai"	"Prabhat Ranjan Singh"	"Fakroodin Khan"	"Anita Devi"	"Puroosotam Ram"	"Bechchoo Yadav"	"Majister Yadav"	"Sudama Ram"	"Nand Lal Ram"	"Najamudin"	"Muneendra Pandit"	"Mohammad Salauddin"	"Total    No. of     actual Votes"	"Total    No. of rejected Votes"	"Total"	"No.        of Tendered Votes"	""
"116"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	""
"117"	"61"	"11"	"129"	"8"	"455"	"11"	"4"	"2"	"2"	"2"	"4"	"5"	"4"	"20"	"657"	"0"	"657"	"0"	""
"118"	"62"	"12"	"381"	"62"	"121"	"2"	"2"	"1"	"2"	"2"	"3"	"1"	"5"	"9"	"603"	"0"	"603"	"0"	""
"119"	"62A"	"10"	"237"	"4"	"51"	"1"	"0"	"0"	"1"	"0"	"3"	"0"	"0"	"3"	"310"	"0"	"310"	"0"	""
"120"	"63"	"31"	"266"	"39"	"200"	"9"	"7"	"2"	"3"	"3"	"2"	"0"	"5"	"36"	"603"	"0"	"603"	"0"	""
"121"	"64"	"11"	"160"	"13"	"402"	"7"	"22"	"6"	"7"	"4"	"2"	"3"	"4"	"26"	"667"	"0"	"667"	"0"	""
"122"	"65"	"11"	"222"	"43"	"170"	"7"	"19"	"2"	"2"	"4"	"8"	"3"	"7"	"9"	"507"	"0"	"507"	"0"	""
"123"	"66"	"36"	"612"	"46"	"25"	"0"	"2"	"0"	"2"	"3"	"3"	"1"	"11"	"8"	"749"	"0"	"749"	"0"	""
"124"	"67"	"5"	"452"	"4"	"39"	"2"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"2"	"510"	"0"	"510"	"0"	""
"125"	"68"	"21"	"405"	"16"	"159"	"3"	"4"	"4"	"7"	"2"	"3"	"11"	"15"	"19"	"669"	"0"	"669"	"0"	""
"126"	"69"	"15"	"273"	"47"	"142"	"7"	"4"	"6"	"3"	"1"	"2"	"6"	"3"	"9"	"518"	"0"	"518"	"0"	""
"127"	"70"	"13"	"263"	"88"	"54"	"0"	"2"	"2"	"3"	"3"	"2"	"3"	"10"	"13"	"456"	"0"	"456"	"0"	""
"128"	"71"	"20"	"19"	"34"	"695"	"10"	"7"	"9"	"1"	"11"	"8"	"1"	"3"	"5"	"823"	"0"	"823"	"0"	""
"129"	"72"	"16"	"161"	"11"	"510"	"14"	"6"	"8"	"1"	"3"	"4"	"5"	"6"	"9"	"754"	"0"	"754"	"0"	""
"130"	"73"	"45"	"338"	"44"	"55"	"10"	"3"	"0"	"0"	"3"	"0"	"1"	"0"	"2"	"501"	"0"	"501"	"0"	""
"131"	"Total"	"257"	"3918"	"459"	"3078"	"83"	"83"	"42"	"35"	"42"	"45"	"41"	"74"	"170"	"8327"	"0"	"8327"	"0"	""
"132"	"Total No. of Electors in Assembly Constituency - 200284"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"Election for 3-Ramnagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"Polling Station No."	"Kameshwar Pandey"	"Chandra Mohan Rai"	"Prabhat Ranjan Singh"	"Fakroodin Khan"	"Anita Devi"	"Puroosotam Ram"	"Bechchoo Yadav"	"Majister Yadav"	"Sudama Ram"	"Nand Lal Ram"	"Najamudin"	"Muneendra Pandit"	"Mohammad Salauddin"	"Total    No. of     actual Votes"	"Total    No. of rejected Votes"	"Total"	"No.        of Tendered Votes"	""
"138"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	""
"139"	"74"	"122"	"229"	"9"	"180"	"4"	"0"	"0"	"0"	"2"	"2"	"0"	"4"	"2"	"554"	"0"	"554"	"0"	""
"140"	"75"	"30"	"181"	"21"	"305"	"4"	"2"	"1"	"2"	"4"	"2"	"4"	"4"	"7"	"567"	"0"	"567"	"0"	""
"141"	"76"	"15"	"280"	"30"	"122"	"5"	"2"	"2"	"6"	"7"	"5"	"0"	"2"	"9"	"485"	"0"	"485"	"0"	""
"142"	"77"	"37"	"87"	"10"	"416"	"11"	"6"	"6"	"2"	"0"	"2"	"2"	"7"	"21"	"607"	"0"	"607"	"0"	""
"143"	"78"	"33"	"134"	"14"	"270"	"3"	"2"	"6"	"2"	"1"	"1"	"3"	"2"	"8"	"479"	"0"	"479"	"0"	""
"144"	"79"	"3"	"7"	"1"	"303"	"5"	"3"	"3"	"3"	"1"	"5"	"1"	"1"	"4"	"340"	"0"	"340"	"0"	""
"145"	"80"	"17"	"111"	"78"	"158"	"6"	"2"	"2"	"3"	"1"	"3"	"4"	"6"	"12"	"403"	"0"	"403"	"0"	""
"146"	"81"	"81"	"149"	"96"	"50"	"8"	"6"	"3"	"0"	"1"	"2"	"0"	"6"	"11"	"413"	"0"	"413"	"0"	""
"147"	"82"	"25"	"157"	"13"	"341"	"11"	"3"	"6"	"4"	"4"	"3"	"3"	"2"	"7"	"579"	"0"	"579"	"0"	""
"148"	"83"	"10"	"48"	"9"	"387"	"8"	"0"	"4"	"4"	"8"	"1"	"0"	"4"	"5"	"488"	"0"	"488"	"0"	""
"149"	"84"	"17"	"192"	"68"	"189"	"3"	"2"	"5"	"8"	"16"	"5"	"5"	"13"	"21"	"544"	"0"	"544"	"0"	""
"150"	"85"	"44"	"127"	"71"	"309"	"5"	"4"	"5"	"2"	"11"	"4"	"3"	"7"	"41"	"633"	"0"	"633"	"0"	""
"151"	"86"	"8"	"277"	"54"	"25"	"2"	"1"	"0"	"2"	"0"	"2"	"1"	"4"	"7"	"383"	"0"	"383"	"0"	""
"152"	"87"	"21"	"153"	"8"	"137"	"4"	"2"	"1"	"0"	"2"	"2"	"3"	"6"	"27"	"366"	"0"	"366"	"0"	""
"153"	"Total"	"463"	"2132"	"482"	"3192"	"79"	"35"	"44"	"38"	"58"	"39"	"29"	"68"	"182"	"6841"	"0"	"6841"	"0"	""
"154"	"Total No. of Electors in Assembly Constituency - 200284"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"Election for 3-Ramnagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"Polling Station No."	"Kameshwar Pandey"	"Chandra Mohan Rai"	"Prabhat Ranjan Singh"	"Fakroodin Khan"	"Anita Devi"	"Puroosotam Ram"	"Bechchoo Yadav"	"Majister Yadav"	"Sudama Ram"	"Nand Lal Ram"	"Najamudin"	"Muneendra Pandit"	"Mohammad Salauddin"	"Total    No. of     actual Votes"	"Total    No. of rejected Votes"	"Total"	"No.        of Tendered Votes"	""
"160"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	""
"161"	"88"	"22"	"22"	"4"	"315"	"7"	"2"	"1"	"0"	"4"	"1"	"1"	"4"	"14"	"397"	"0"	"397"	"0"	""
"162"	"88A"	"15"	"30"	"3"	"305"	"3"	"2"	"1"	"1"	"4"	"3"	"3"	"3"	"15"	"388"	"0"	"388"	"0"	""
"163"	"89"	"16"	"52"	"3"	"540"	"12"	"9"	"7"	"3"	"9"	"6"	"2"	"3"	"16"	"678"	"0"	"678"	"0"	""
"164"	"90"	"54"	"230"	"93"	"227"	"7"	"8"	"6"	"8"	"7"	"9"	"6"	"7"	"16"	"678"	"0"	"678"	"0"	""
"165"	"91"	"21"	"201"	"127"	"252"	"14"	"7"	"5"	"4"	"3"	"8"	"1"	"1"	"7"	"651"	"0"	"651"	"0"	""
"166"	"92"	"179"	"146"	"125"	"176"	"6"	"14"	"2"	"2"	"12"	"9"	"5"	"15"	"31"	"722"	"0"	"722"	"0"	""
"167"	"93"	"22"	"252"	"32"	"383"	"8"	"4"	"4"	"3"	"1"	"0"	"2"	"4"	"12"	"727"	"0"	"727"	"0"	""
"168"	"94"	"10"	"188"	"70"	"247"	"4"	"1"	"2"	"2"	"3"	"3"	"2"	"4"	"14"	"550"	"0"	"550"	"0"	""
"169"	"95"	"5"	"165"	"3"	"241"	"6"	"2"	"1"	"2"	"4"	"4"	"3"	"2"	"6"	"444"	"0"	"444"	"0"	""
"170"	"96"	"31"	"289"	"17"	"329"	"14"	"6"	"9"	"3"	"6"	"6"	"2"	"6"	"4"	"722"	"0"	"722"	"0"	""
"171"	"97"	"12"	"298"	"37"	"285"	"11"	"1"	"5"	"9"	"5"	"3"	"5"	"8"	"9"	"688"	"0"	"688"	"0"	""
"172"	"98"	"15"	"258"	"21"	"492"	"10"	"6"	"5"	"7"	"4"	"7"	"4"	"9"	"19"	"857"	"0"	"857"	"0"	""
