"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"(CHAPTER XIV, PARA 25.9 FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 33-ARRAH PARLIAMENTARY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used both for Parliamentary and Assembly Election"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Total No. of Electors in Assembly Constituency/Segmen   205207"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Name of the Assembly/Segment                                      205-Piro"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"(in the case of election from a Parliamentary Constituency) 275AB"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	""	""	"TRIVENI SINGH"	"DINESHER RAM"	"NARENDRA KUMAR
PANDEY"	"PRAVIN KUMAR
SINGH"	"VRIJENDRA SINGH
YADAV"	"RAGHUPATI GOPE"	"SHATRUJAY PANDEY"	"AJIT RAY"	"CHITRANJAN PASWAN"	"JAWAHAR RAI"	"DASRATH RAM"	"BAIJNATH UPADHAYAY"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"20"	"9"	"PRIMARY SCHOOL NEWARI"	"83"	"30"	"116"	"42"	"2"	"0"	"2"	"2"	"3"	"5"	"10"	"6"	"301"	"0"	"301"	"0"
"21"	"10"	"PRIMARY SCHOOL KHARAHI"	"141"	"42"	"56"	"6"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"247"	"0"	"247"	"0"
"22"	"11"	"MIDDLE SCHOOL TAR (EAST)"	"99"	"46"	"187"	"92"	"7"	"3"	"7"	"5"	"5"	"7"	"8"	"9"	"475"	"0"	"475"	"0"
"23"	"12"	"MIDDLE SCHOOL TAR (WEST)"	"48"	"101"	"64"	"117"	"1"	"1"	"2"	"4"	"3"	"0"	"1"	"1"	"343"	"0"	"343"	"0"
"24"	"13"	"PRIMARY SCHOOL TAR CHAKTOLA"	"121"	"4"	"109"	"6"	"1"	"1"	"2"	"4"	"0"	"2"	"2"	"8"	"260"	"0"	"260"	"0"
"25"	"14"	"PRIMARY SCHOOL SIVPRASAN TOLA TAR"	"331"	"9"	"89"	"2"	"0"	"1"	"1"	"2"	"1"	"3"	"3"	"6"	"448"	"0"	"448"	"0"
"26"	"15"	"PRIMARY SCHOOL DAMRUHAN"	"144"	"193"	"43"	"25"	"1"	"3"	"0"	"1"	"3"	"2"	"9"	"6"	"430"	"0"	"430"	"0"
"27"	"16"	"PRIMARY SCHOOL CHAUBEYPUR"	"117"	"9"	"175"	"0"	"0"	"1"	"0"	"0"	"1"	"2"	"2"	"1"	"308"	"0"	"308"	"0"
"28"	"17"	"PRIMARY SCHOOL BRAHMWAR"	"20"	"8"	"323"	"7"	"3"	"0"	"6"	"2"	"1"	"3"	"1"	"0"	"374"	"0"	"374"	"0"
"29"	"18"	"MIDDLE SCHOOL BRAHMWAR"	"220"	"78"	"247"	"3"	"8"	"1"	"3"	"2"	"4"	"5"	"2"	"5"	"578"	"0"	"578"	"0"
"30"	"19"	"PRIMARY SCHOOL CHAPATAHIN"	"66"	"118"	"300"	"14"	"0"	"3"	"1"	"3"	"3"	"3"	"2"	"9"	"522"	"0"	"522"	"0"
"31"	"20"	"PRIMARY SCHOOL BASAWAN TOLA (SOUTH PART)"	"188"	"28"	"482"	"11"	"1"	"1"	"5"	"3"	"5"	"10"	"4"	"25"	"763"	"0"	"763"	"0"
"32"	"21"	"PANCHAYAT BHAWAN GAHBAR TOLA"	"131"	"111"	"103"	"17"	"0"	"0"	"0"	"2"	"3"	"4"	"4"	"5"	"380"	"0"	"380"	"0"
"33"	"22"	"PRIMARY SCHOOL KESHWAN (WEST PART)"	"130"	"93"	"176"	"7"	"3"	"3"	"1"	"4"	"4"	"5"	"8"	"8"	"442"	"0"	"442"	"0"
"34"	"23"	"PRIMARY SCHOOL KESHWAN (EAST PART)"	"47"	"107"	"164"	"7"	"3"	"0"	"1"	"2"	"3"	"6"	"6"	"9"	"355"	"0"	"355"	"0"
"35"	"24"	"PRIMARY SCHOOL HANSWADIH"	"137"	"109"	"68"	"68"	"31"	"6"	"3"	"5"	"2"	"1"	"4"	"9"	"443"	"0"	"443"	"0"
"36"	"25"	"PRIMARY SCHOOL RAJAPUR"	"198"	"174"	"129"	"18"	"10"	"3"	"2"	"8"	"3"	"5"	"2"	"13"	"565"	"0"	"565"	"0"
"37"	"26"	"MIDDLE SCHOOL AKARUAN(E)"	"12"	"13"	"249"	"16"	"0"	"1"	"2"	"4"	"2"	"5"	"4"	"5"	"313"	"0"	"313"	"0"
"38"	"26A"	"MIDDLE SCHOOL AKARUAN(W)"	"14"	"4"	"276"	"10"	"0"	"1"	"1"	"1"	"2"	"4"	"0"	"5"	"318"	"0"	"318"	"0"
"39"	"27"	"PRIMARY SCHOOL GULAB CHAUDHARY KE TOLA AKARUAN"	"168"	"21"	"66"	"1"	"1"	"2"	"1"	"0"	"1"	"4"	"1"	"5"	"271"	"0"	"271"	"0"
"40"	"28"	"PRIMARY SCHOOL SANEYA"	"391"	"63"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"460"	"0"	"460"	"0"
"41"	"29"	"MIDDLE SCHOOL JAMUAON (EAST PART)"	"7"	"5"	"770"	"8"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"791"	"0"	"791"	"0"
"42"	"30"	"HIGH SCHOOL JAMUAON (EAST PART)"	"9"	"3"	"431"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"445"	"0"	"445"	"0"
"43"	"31"	"MIDDLE SCHOOL JAMUAON (WEST PART)"	"110"	"143"	"227"	"17"	"3"	"3"	"1"	"5"	"12"	"6"	"11"	"13"	"551"	"0"	"551"	"0"
"44"	"32"	"PRIMARY SCHOOL BASEYA"	"279"	"35"	"180"	"1"	"2"	"0"	"1"	"0"	"0"	"3"	"5"	"12"	"518"	"0"	"518"	"0"
"45"	"33"	"PRIMARY SCHOOL DOMANDIHRA"	"58"	"22"	"436"	"5"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"0"	"525"	"0"	"525"	"0"
"46"	"34"	"SAHKARITA GODAM MAHUARY"	"30"	"33"	"201"	"52"	"3"	"3"	"4"	"5"	"3"	"1"	"1"	"3"	"339"	"0"	"339"	"0"
"47"	"35"	"MIDDLE SCHOOL KHANANI KALA (NORTH PART)"	"98"	"10"	"158"	"8"	"0"	"1"	"1"	"2"	"0"	"1"	"3"	"5"	"287"	"0"	"287"	"0"
"48"	"36"	"MIDDLE SCHOOL KHANANI KALA (SOUTH PART)"	"110"	"65"	"98"	"6"	"1"	"4"	"1"	"2"	"2"	"1"	"6"	"5"	"301"	"0"	"301"	"0"
"49"	"37"	"PRIMARY SCHOOL KHANANI KHURD"	"240"	"38"	"91"	"27"	"3"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"402"	"0"	"402"	"0"
"50"	"38"	"PRIMARY SCHOOL ANGARA"	"131"	"54"	"186"	"41"	"4"	"2"	"1"	"1"	"1"	"2"	"2"	"4"	"429"	"0"	"429"	"0"
"51"	"39"	"PRIMARY SCHOOL KOTHUAN (NORTH PART)"	"47"	"25"	"308"	"18"	"5"	"3"	"3"	"2"	"2"	"8"	"3"	"2"	"426"	"0"	"426"	"0"
"52"	""	""	"TRIVENI SINGH"	"DINESHER RAM"	"NARENDRA KUMAR
PANDEY"	"PRAVIN KUMAR
SINGH"	"VRIJENDRA SINGH
YADAV"	"RAGHUPATI GOPE"	"SHATRUJAY PANDEY"	"AJIT RAY"	"CHITRANJAN PASWAN"	"JAWAHAR RAI"	"DASRATH RAM"	"BAIJNATH UPADHAYAY"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"53"	"Serial No. of Polling Station"	""	"RJD"	"CPI(ML)(L)"	"JD(U)"	"LJSP"	"BSP"	"SP"	"SAP"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"54"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"55"	"40"	"PRIMARY SCHOOL KOTHUAN (SOUTH PART)"	"275"	"2"	"51"	"7"	"0"	"6"	"1"	"0"	"0"	"3"	"1"	"4"	"350"	"0"	"350"	"0"
"56"	"41"	"PRIMARY SCHOOL DHANPURA"	"199"	"86"	"95"	"5"	"2"	"1"	"0"	"0"	"0"	"4"	"4"	"21"	"417"	"0"	"417"	"0"
"57"	"42"	"PRIMARY SCHOOL PITATH"	"66"	"4"	"178"	"35"	"4"	"0"	"0"	"2"	"0"	"2"	"1"	"1"	"293"	"0"	"293"	"0"
"58"	"43"	"PRIMARY SCHOOL VIRPURA"	"245"	"43"	"18"	"3"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"311"	"0"	"311"	"0"
"59"	"44"	"PRIMARY SCHOOL KEWATIA"	"43"	"66"	"333"	"39"	"4"	"1"	"4"	"4"	"2"	"0"	"0"	"0"	"496"	"0"	"496"	"0"
"60"	"45"	"PRIMARY SCHOOL MAHUARI"	"154"	"58"	"172"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"385"	"0"	"385"	"0"
"61"	"46"	"PRIMARY SCHOOL AMEHTA (NORTH PART)"	"65"	"90"	"242"	"21"	"13"	"0"	"0"	"4"	"2"	"5"	"1"	"4"	"447"	"0"	"447"	"0"
"62"	"47"	"PRIMARY SCHOOL AMEHTA (SOUTH PART)"	"93"	"16"	"197"	"13"	"1"	"1"	"2"	"2"	"1"	"1"	"1"	"5"	"333"	"0"	"333"	"0"
"63"	"48"	"PRIMARY SCHOOL BASDIHAN"	"93"	"85"	"146"	"3"	"1"	"0"	"1"	"1"	"0"	"0"	"4"	"3"	"337"	"0"	"337"	"0"
"64"	"49"	"MIDDLE SCHOOL PITRO (WEST PART)"	"225"	"169"	"100"	"48"	"4"	"0"	"2"	"1"	"0"	"5"	"4"	"5"	"563"	"0"	"563"	"0"
"65"	"50"	"MIDDLE SCHOOL PITRO (EAST PART)"	"64"	"110"	"212"	"2"	"1"	"1"	"3"	"0"	"3"	"3"	"1"	"2"	"402"	"0"	"402"	"0"
"66"	"51"	"PRIMARY SCHOOL LAHTHAN(E)"	"12"	"104"	"153"	"6"	"1"	"1"	"1"	"1"	"1"	"3"	"3"	"6"	"292"	"0"	"292"	"0"
"67"	"51A"	"PRIMARY SCHOOL LAHTHAN(W)"	"10"	"7"	"184"	"12"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"214"	"0"	"214"	"0"
"68"	"52"	"MIDDLE SCHOOL LAHTHAN"	"44"	"234"	"242"	"18"	"1"	"2"	"2"	"9"	"7"	"1"	"9"	"10"	"579"	"0"	"579"	"0"
"69"	"53"	"HIGH SCHOOL LAHTHAN"	"183"	"31"	"295"	"37"	"1"	"2"	"5"	"5"	"7"	"7"	"3"	"19"	"595"	"0"	"595"	"0"
"70"	"54"	"PRIMARY SCHOOL NADHI"	"420"	"2"	"2"	"4"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"430"	"0"	"430"	"0"
"71"	"55"	"MIDDLE SCHOOL BAGHAUR"	"29"	"88"	"260"	"39"	"3"	"0"	"1"	"1"	"0"	"0"	"2"	"0"	"423"	"0"	"423"	"0"
"72"	"56"	"PRIMARY SCHOOL NARAYANPUR"	"61"	"31"	"330"	"41"	"3"	"1"	"0"	"1"	"1"	"4"	"1"	"2"	"476"	"0"	"476"	"0"
"73"	"57"	"MIDDLE SCHOOL AGIAON BAZAR"	"61"	"154"	"236"	"106"	"13"	"2"	"8"	"10"	"23"	"9"	"18"	"13"	"653"	"0"	"653"	"0"
"74"	"58"	"HIGH SCHOOL AGIAON BAZAR"	"269"	"223"	"85"	"3"	"4"	"5"	"1"	"4"	"3"	"3"	"9"	"11"	"620"	"0"	"620"	"0"
"75"	"59"	"PRIMARY SCHOOL CHAUBEY KI CHHAWANI"	"127"	"17"	"207"	"179"	"10"	"2"	"4"	"9"	"13"	"8"	"11"	"23"	"610"	"0"	"610"	"0"
"76"	"60"	"PRIMARY SCHOOL TELARH (EAST PART)"	"78"	"73"	"208"	"16"	"1"	"3"	"2"	"5"	"1"	"2"	"5"	"10"	"404"	"0"	"404"	"0"
"77"	"61"	"PRIMARY SCHOOL TELARH (WEST PART)"	"12"	"32"	"196"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"245"	"0"	"245"	"0"
"78"	"62"	"PRIMARY SCHOOL GANGSAD"	"130"	"35"	"207"	"34"	"1"	"0"	"1"	"3"	"3"	"4"	"0"	"21"	"439"	"0"	"439"	"0"
"79"	"63"	"MIDDLE SCHOOL KATARIYAN"	"68"	"89"	"434"	"31"	"0"	"3"	"1"	"0"	"1"	"2"	"1"	"2"	"632"	"0"	"632"	"0"
"80"	"64"	"PANCHAYAT BHAWAN KATARIYAN"	"178"	"32"	"487"	"27"	"1"	"1"	"3"	"2"	"2"	"1"	"1"	"1"	"736"	"0"	"736"	"0"
"81"	"65"	"MIDDLE SCHOOL JAMUNIPUR"	"78"	"6"	"207"	"7"	"0"	"0"	"0"	"0"	"1"	"3"	"0"	"0"	"302"	"0"	"302"	"0"
"82"	"66"	"PRIMARY SCHOOL BASMANPUR"	"471"	"1"	"56"	"2"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"535"	"0"	"535"	"0"
"83"	"67"	"PRIMARY SCHOOL TETARDIH"	"10"	"4"	"547"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"564"	"0"	"564"	"0"
"84"	"68"	"PRIMARY SCHOOL AMAI (NORTH)"	"390"	"0"	"42"	"8"	"0"	"4"	"0"	"0"	"1"	"0"	"0"	"1"	"446"	"0"	"446"	"0"
"85"	"69"	"PRIMARY SCHOOL AMAI (SOUTH)"	"280"	"1"	"192"	"2"	"0"	"0"	"1"	"3"	"1"	"2"	"0"	"3"	"485"	"0"	"485"	"0"
"86"	"70"	"HIGH SCHOOL HASANBAZAR KATAR"	"177"	"22"	"284"	"40"	"3"	"0"	"5"	"9"	"16"	"10"	"11"	"23"	"600"	"0"	"600"	"0"
"87"	"71"	"PRIMARY URDU SCHOOL KATAR (WEST PART)"	"192"	"6"	"188"	"55"	"2"	"3"	"5"	"2"	"3"	"4"	"1"	"4"	"465"	"0"	"465"	"0"
"88"	"72"	"PRIMARY URDU SCHOOL KATAR (EAST PART)"	"71"	"93"	"299"	"12"	"0"	"3"	"5"	"0"	"4"	"4"	"4"	"1"	"496"	"0"	"496"	"0"
"89"	"73"	"PRIMARY SCHOOL MAJHIYAON BHAWAN NO. 1 (WEST PART)"	"79"	"7"	"304"	"15"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"414"	"0"	"414"	"0"
"90"	"74"	"PRIMARY SCHOOL HARNAM TOLA"	"148"	"10"	"103"	"4"	"0"	"0"	"1"	"2"	"3"	"2"	"0"	"2"	"275"	"0"	"275"	"0"
"91"	"75"	"MIDDLE SCHOOL HASANBAZAR"	"75"	"7"	"298"	"14"	"2"	"0"	"6"	"6"	"6"	"7"	"3"	"1"	"425"	"0"	"425"	"0"
"92"	"76"	"PRIMARY SCHOOL GARAHATHA"	"163"	"4"	"124"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"0"	"291"	"0"
"93"	"77"	"PRIMARY SCHOOL JAMODHI"	"32"	"32"	"117"	"2"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"186"	"0"	"186"	"0"
"94"	"78"	"HIGH SCHOOL JAMODHI"	"29"	"19"	"392"	"22"	"0"	"4"	"1"	"3"	"133"	"4"	"3"	"4"	"614"	"0"	"614"	"0"
"95"	"79"	"MIDDLE SCHOOL NARAYANPUR"	"98"	"23"	"277"	"49"	"5"	"5"	"9"	"11"	"8"	"9"	"5"	"8"	"507"	"0"	"507"	"0"
"96"	"80"	"PRIMARY SCHOOL NARAYANPUR"	"36"	"13"	"316"	"77"	"6"	"3"	"1"	"3"	"3"	"7"	"3"	"5"	"473"	"0"	"473"	"0"
"97"	"81"	"PRIMARY SCHOOL PACHAMA (EAST PART)"	"12"	"2"	"421"	"5"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"441"	"0"	"441"	"0"
"98"	"82"	"PRIMARY SCHOOL PACHAMA (WEST PART)"	"6"	"2"	"386"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"396"	"0"	"396"	"0"
"99"	"83"	"PRIMARY SCHOOL BAISADIH"	"25"	"114"	"355"	"17"	"2"	"0"	"4"	"0"	"4"	"4"	"3"	"4"	"532"	"0"	"532"	"0"
"100"	"84"	"PRIMARY SCHOOL SAHEJANI (WEST TOLA)"	"15"	"1"	"370"	"3"	"14"	"2"	"0"	"1"	"1"	"2"	"0"	"0"	"409"	"0"	"409"	"0"
"101"	"85"	"PRIMARY SCHOOL SAHEJANI (EAST TOLA)"	"18"	"3"	"409"	"8"	"2"	"0"	"3"	"0"	"2"	"0"	"0"	"0"	"445"	"0"	"445"	"0"
"102"	"86"	"HARIJAN PRIMARY SCHOOL NONAR"	"131"	"23"	"396"	"11"	"0"	"3"	"2"	"3"	"1"	"5"	"2"	"3"	"580"	"0"	"580"	"0"
"103"	"87"	"MIDDLE SCHOOL NONAR (NORTH PATH)"	"92"	"62"	"385"	"3"	"1"	"1"	"5"	"0"	"4"	"1"	"2"	"4"	"560"	"0"	"560"	"0"
"104"	"88"	"MIDDLE SCHOOL NONAR (SOUTH PART)"	"372"	"30"	"153"	"56"	"1"	"1"	"8"	"8"	"1"	"1"	"1"	"9"	"641"	"0"	"641"	"0"
"105"	"89"	"PRIMARY SCHOOL TIWARIDIH"	"101"	"6"	"183"	"19"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"314"	"0"	"314"	"0"
"106"	"90"	"PRIMARY SCHOOL SUKHRAULI"	"489"	"44"	"84"	"10"	"4"	"2"	"3"	"1"	"1"	"6"	"6"	"5"	"655"	"0"	"655"	"0"
"107"	""	""	"TRIVENI SINGH"	"DINESHER RAM"	"NARENDRA KUMAR
PANDEY"	"PRAVIN KUMAR
SINGH"	"VRIJENDRA SINGH
YADAV"	"RAGHUPATI GOPE"	"SHATRUJAY PANDEY"	"AJIT RAY"	"CHITRANJAN PASWAN"	"JAWAHAR RAI"	"DASRATH RAM"	"BAIJNATH UPADHAYAY"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"108"	"Serial No. of Polling Station"	""	"RJD"	"CPI(ML)(L)"	"JD(U)"	"LJSP"	"BSP"	"SP"	"SAP"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"109"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"110"	"91"	"PRIMARY SCHOOL RASAULI (WEST TOLA)"	"233"	"101"	"259"	"7"	"0"	"5"	"2"	"3"	"1"	"1"	"0"	"3"	"615"	"0"	"615"	"0"
"111"	"92"	"SANSKRIT COLLEGE PACHRUKHIYAN (EAST PART)"	"134"	"37"	"219"	"6"	"1"	"1"	"2"	"4"	"4"	"5"	"4"	"5"	"422"	"0"	"422"	"0"
"112"	"93"	"SANSKRIT COLLEGE PACHRUKHIYAN (WEST PART)"	"70"	"63"	"108"	"12"	"0"	"0"	"1"	"0"	"2"	"1"	"0"	"1"	"258"	"0"	"258"	"0"
"113"	"94"	"PRIMARY SCHOOL KACHNATH"	"463"	"22"	"216"	"23"	"0"	"1"	"2"	"6"	"2"	"5"	"1"	"5"	"746"	"0"	"746"	"0"
"114"	"95"	"HARIJAN PRIMARY SCHOOL DEOCHANDA"	"132"	"138"	"379"	"37"	"1"	"2"	"7"	"7"	"7"	"26"	"18"	"13"	"767"	"0"	"767"	"0"
"115"	"96"	"PRIMARY SCHOOL PARWATPUR(E)"	"59"	"94"	"215"	"30"	"1"	"0"	"4"	"1"	"6"	"3"	"3"	"14"	"430"	"0"	"430"	"0"
"116"	"96A"	"PRIMARY SCHOOL PARWATPUR(W)"	"104"	"9"	"84"	"27"	"0"	"4"	"1"	"3"	"1"	"1"	"2"	"4"	"240"	"0"	"240"	"0"
"117"	"97"	"PRIMARY SCHOOL BARAULI (EAST TOLA)"	"127"	"99"	"152"	"3"	"0"	"1"	"0"	"1"	"0"	"6"	"6"	"2"	"397"	"0"	"397"	"0"
"118"	"98"	"PRIMARY SCHOOL BARAULI (WEST TOLA)"	"1"	"13"	"318"	"28"	"1"	"0"	"0"	"1"	"0"	"2"	"1"	"1"	"366"	"0"	"366"	"0"
"119"	"99"	"MIDDLE SCHOOL LAHRABAD"	"467"	"19"	"14"	"13"	"0"	"2"	"0"	"3"	"4"	"1"	"4"	"27"	"554"	"0"	"554"	"0"
"120"	"100"	"BASIC SCHOOL RAJIYA (EAST PART)"	"2"	"6"	"437"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"468"	"0"	"468"	"0"
"121"	"101"	"BASIC SCHOOL RAJIYA (WEST PART)"	"4"	"65"	"418"	"3"	"0"	"0"	"1"	"0"	"1"	"0"	"3"	"0"	"495"	"0"	"495"	"0"
"122"	"102"	"PANCHAYAT BHAWAN MOTHI"	"149"	"38"	"272"	"5"	"2"	"1"	"3"	"0"	"2"	"1"	"3"	"5"	"481"	"0"	"481"	"0"
"123"	"103"	"PRIMARY SCHOOL PURAINI KALA"	"34"	"26"	"375"	"10"	"0"	"0"	"1"	"2"	"1"	"0"	"1"	"1"	"451"	"0"	"451"	"0"
"124"	"104"	"PRIMARY SCHOOL JAGDISHPUR PATHAK"	"266"	"48"	"50"	"11"	"0"	"1"	"0"	"0"	"0"	"2"	"1"	"10"	"389"	"0"	"389"	"0"
"125"	"105"	"PRIMARY SCHOOL VIJANTOLA"	"15"	"207"	"99"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"324"	"0"	"324"	"0"
"126"	"106"	"PRIMARY SCHOOL RAKTUTOLA"	"295"	"46"	"82"	"13"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"440"	"0"	"440"	"0"
"127"	"107"	"PRIMARY SCHOOL JITAURA"	"346"	"73"	"88"	"1"	"2"	"3"	"4"	"6"	"3"	"3"	"4"	"11"	"544"	"0"	"544"	"0"
"128"	"108"	"HIGH SCHOOL JITAURA (SOUTH PART)"	"67"	"37"	"348"	"25"	"2"	"4"	"3"	"3"	"2"	"5"	"4"	"7"	"507"	"0"	"507"	"0"
"129"	"109"	"PRIMARY SCHOOL HATPOKHAR"	"109"	"41"	"161"	"9"	"2"	"1"	"7"	"3"	"5"	"2"	"5"	"6"	"351"	"0"	"351"	"0"
"130"	"110"	"PRIMARY SCHOOL HARITOLA"	"250"	"17"	"57"	"15"	"2"	"10"	"2"	"3"	"4"	"0"	"3"	"8"	"371"	"0"	"371"	"0"
"131"	"111"	"HIGH SCHOOL JITAURA (NORTH PART)"	"125"	"69"	"238"	"6"	"3"	"0"	"6"	"3"	"5"	"8"	"2"	"4"	"469"	"0"	"469"	"0"
"132"	"112"	"PRIMARY SCHOOL SUNDARTOLA"	"6"	"95"	"153"	"1"	"1"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"260"	"0"	"260"	"0"
"133"	"113"	"GIRLS SCHOOL BARAWN"	"156"	"24"	"357"	"5"	"1"	"0"	"3"	"3"	"1"	"6"	"0"	"4"	"560"	"0"	"560"	"0"
