"Total.No..of.Electors.in.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"109"	"93"	"77"	"145"	"29"	"56"	"14"	"31"	"275"	"-"	"275"	""
"110"	"94"	"78"	"95"	"63"	"222"	"12"	"12"	"404"	"-"	"404"	""
"111"	"95"	"79"	"58"	"55"	"67"	"4"	"4"	"188"	"-"	"188"	""
"112"	"96"	"79A"	"119"	"52"	"81"	"7"	"16"	"275"	"-"	"275"	""
"113"	"97"	"80"	"94"	"51"	"155"	"20"	"22"	"342"	"-"	"342"	""
"114"	"98"	"81"	"59"	"49"	"137"	"11"	"42"	"298"	"-"	"298"	""
"115"	"99"	"81A"	"65"	"165"	"62"	"10"	"24"	"326"	"-"	"326"	""
"116"	"100"	"82"	"149"	"90"	"156"	"25"	"58"	"478"	"-"	"478"	""
"117"	"101"	"83"	"90"	"134"	"122"	"16"	"42"	"404"	"-"	"404"	""
"118"	"102"	"84"	"135"	"86"	"132"	"28"	"30"	"411"	"-"	"411"	""
"119"	"103"	"85"	"163"	"106"	"220"	"36"	"45"	"570"	"-"	"570"	""
"120"	"104"	"86"	"63"	"85"	"88"	"18"	"14"	"268"	"-"	"268"	""
"121"	"105"	"87"	"192"	"84"	"47"	"17"	"22"	"362"	"-"	"362"	""
"122"	"106"	"88"	"64"	"81"	"158"	"27"	"27"	"357"	"-"	"357"	""
"123"	"107"	"89"	"96"	"136"	"86"	"31"	"31"	"380"	"-"	"380"	""
"124"	"108"	"90"	"155"	"51"	"138"	"16"	"21"	"381"	"-"	"381"	""
"125"	"109"	"91"	"138"	"138"	"78"	"17"	"23"	"394"	"-"	"394"	""
"126"	"110"	"91A"	"44"	"77"	"54"	"4"	"9"	"188"	"-"	"188"	""
"127"	"111"	"92"	"63"	"98"	"75"	"10"	"14"	"260"	"-"	"260"	""
"128"	"112"	"92A"	"83"	"145"	"58"	"9"	"9"	"304"	"-"	"304"	""
"129"	"113"	"93"	"60"	"53"	"114"	"16"	"9"	"252"	"-"	"252"	""
"130"	"114"	"93A"	"57"	"57"	"105"	"20"	"10"	"249"	"-"	"249"	""
"131"	"115"	"94"	"101"	"102"	"34"	"2"	"14"	"253"	"-"	"253"	""
"132"	"116"	"95"	"54"	"168"	"153"	"20"	"32"	"427"	"-"	"427"	""
"133"	"117"	"96"	"147"	"168"	"217"	"31"	"32"	"595"	"-"	"595"	""
"134"	"118"	"97"	"66"	"95"	"242"	"32"	"42"	"477"	"-"	"477"	""
"135"	"119"	"98"	"160"	"122"	"60"	"19"	"21"	"382"	"-"	"382"	""
"136"	"120"	"99"	"215"	"42"	"47"	"14"	"43"	"361"	"-"	"361"	""
"137"	"121"	"100"	"135"	"56"	"126"	"84"	"27"	"428"	"-"	"428"	""
"138"	"122"	"101"	"13"	"21"	"91"	"7"	"9"	"141"	"-"	"141"	""
"139"	"123"	"101A"	"106"	"107"	"74"	"13"	"22"	"322"	"-"	"322"	""
"140"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	"Total  valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"141"	""	""	"Dr. Ashok Kumar"	"Jai Prakash Narayan Paswan"	"Ram Sewak Hazari"	"Binod Bharti"	"Ram Bahadur Bharti"	""	""	""	""
"142"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"9"	"10"	"11"	"12"
"143"	"124"	"102"	"45"	"89"	"53"	"8"	"18"	"213"	"-"	"213"	""
"144"	"125"	"102A"	"31"	"102"	"58"	"15"	"24"	"230"	"-"	"230"	""
"145"	"126"	"103"	"151"	"97"	"108"	"14"	"15"	"385"	"-"	"385"	""
"146"	"127"	"104"	"94"	"83"	"203"	"16"	"17"	"413"	"-"	"413"	""
"147"	"128"	"105"	"225"	"146"	"60"	"13"	"8"	"452"	"-"	"452"	""
"148"	"129"	"106"	"163"	"48"	"295"	"23"	"43"	"572"	"-"	"572"	""
"149"	"130"	"107"	"17"	"92"	"14"	"6"	"4"	"133"	"-"	"133"	""
"150"	"131"	"108"	"189"	"163"	"75"	"17"	"20"	"464"	"-"	"464"	""
"151"	"132"	"109"	"149"	"170"	"96"	"11"	"27"	"453"	"-"	"453"	""
"152"	"133"	"110"	"253"	"43"	"40"	"15"	"36"	"387"	"-"	"387"	""
"153"	"134"	"111"	"256"	"87"	"89"	"14"	"23"	"469"	"-"	"469"	""
"154"	"135"	"112"	"211"	"40"	"167"	"28"	"44"	"490"	"-"	"490"	""
"155"	"136"	"113"	"211"	"44"	"24"	"25"	"8"	"312"	"-"	"312"	""
"156"	"137"	"114"	"146"	"58"	"80"	"14"	"18"	"316"	"-"	"316"	""
"157"	"138"	"115"	"256"	"159"	"56"	"29"	"24"	"524"	"-"	"524"	""
"158"	"139"	"116"	"142"	"22"	"46"	"4"	"12"	"226"	"-"	"226"	""
"159"	"140"	"116A"	"101"	"47"	"24"	"6"	"17"	"195"	"-"	"195"	""
"160"	"141"	"117"	"206"	"34"	"131"	"35"	"26"	"432"	"-"	"432"	""
"161"	"142"	"118"	"260"	"70"	"156"	"52"	"35"	"573"	"-"	"573"	""
"162"	"143"	"119"	"89"	"6"	"11"	"0"	"6"	"112"	"-"	"112"	""
"163"	"144"	"119A"	"112"	"9"	"68"	"3"	"7"	"199"	"-"	"199"	""
"164"	"145"	"120"	"172"	"14"	"26"	"5"	"19"	"236"	"-"	"236"	""
"165"	"146"	"121"	"367"	"42"	"10"	"2"	"16"	"437"	"-"	"437"	""
"166"	"147"	"122"	"176"	"15"	"16"	"16"	"14"	"237"	"-"	"237"	""
"167"	"148"	"122A"	"203"	"21"	"17"	"12"	"31"	"284"	"-"	"284"	""
"168"	"149"	"123"	"105"	"87"	"151"	"29"	"28"	"400"	"-"	"400"	""
"169"	"150"	"124"	"218"	"142"	"84"	"27"	"34"	"505"	"-"	"505"	""
"170"	"151"	"125"	"230"	"37"	"90"	"10"	"14"	"381"	"-"	"381"	""
"171"	"152"	"126"	"189"	"93"	"155"	"62"	"31"	"530"	"-"	"530"	""
"172"	"153"	"127"	"324"	"22"	"114"	"58"	"21"	"539"	"-"	"539"	""
"173"	"154"	"128"	"137"	"74"	"125"	"91"	"16"	"443"	"-"	"443"	""
"174"	"155"	"129"	"242"	"14"	"55"	"10"	"12"	"333"	"-"	"333"	""
"175"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	"Total  valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"176"	""	""	"Dr. Ashok Kumar"	"Jai Prakash Narayan Paswan"	"Ram Sewak Hazari"	"Binod Bharti"	"Ram Bahadur Bharti"	""	""	""	""
"177"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"9"	"10"	"11"	"12"
"178"	"156"	"130"	"224"	"13"	"71"	"7"	"9"	"324"	"-"	"324"	""
"179"	"157"	"131"	"175"	"41"	"252"	"36"	"25"	"529"	"-"	"529"	""
"180"	"158"	"132"	"104"	"6"	"73"	"18"	"14"	"215"	"-"	"215"	""
"181"	"159"	"133"	"212"	"19"	"54"	"7"	"21"	"313"	"-"	"313"	""
"182"	"160"	"134"	"139"	"11"	"53"	"25"	"7"	"235"	"-"	"235"	""
"183"	"161"	"135"	"141"	"109"	"33"	"7"	"8"	"298"	"-"	"298"	""
"184"	"162"	"135A"	"96"	"61"	"9"	"7"	"4"	"177"	"-"	"177"	""
"185"	"163"	"136"	"184"	"58"	"85"	"14"	"12"	"353"	"-"	"353"	""
"186"	"164"	"137"	"134"	"95"	"23"	"8"	"9"	"269"	"-"	"269"	""
"187"	"165"	"138"	"74"	"113"	"7"	"7"	"7"	"208"	"-"	"208"	""
"188"	"166"	"139"	"179"	"69"	"72"	"14"	"21"	"355"	"-"	"355"	""
"189"	"167"	"140"	"182"	"42"	"96"	"11"	"11"	"342"	"-"	"342"	""
"190"	"168"	"141"	"131"	"113"	"47"	"12"	"25"	"328"	"-"	"328"	""
"191"	"169"	"142"	"31"	"43"	"84"	"19"	"23"	"200"	"-"	"200"	""
"192"	"170"	"143"	"104"	"38"	"144"	"15"	"20"	"321"	"-"	"321"	""
"193"	"171"	"144"	"100"	"70"	"140"	"16"	"20"	"346"	"-"	"346"	""
"194"	"172"	"145"	"293"	"23"	"32"	"11"	"27"	"386"	"-"	"386"	""
"195"	"173"	"146"	"314"	"31"	"41"	"11"	"17"	"414"	"-"	"414"	""
"196"	"174"	"147"	"298"	"46"	"92"	"26"	"34"	"496"	"-"	"496"	""
"197"	"175"	"148"	"230"	"65"	"23"	"26"	"35"	"379"	"-"	"379"	""
"198"	"176"	"149"	"77"	"29"	"136"	"22"	"26"	"290"	"-"	"290"	""
"199"	"177"	"150"	"81"	"99"	"171"	"16"	"31"	"398"	"-"	"398"	""
"200"	"178"	"151"	"42"	"178"	"59"	"13"	"18"	"310"	"-"	"310"	""
"201"	"179"	"152"	"51"	"191"	"132"	"13"	"17"	"404"	"-"	"404"	""
"202"	"180"	"153"	"94"	"312"	"31"	"14"	"38"	"489"	"-"	"489"	""
"203"	"181"	"154"	"90"	"149"	"35"	"11"	"11"	"296"	"-"	"296"	""
"204"	"182"	"155"	"205"	"84"	"145"	"14"	"15"	"463"	"-"	"463"	""
"205"	"183"	"155A"	"67"	"39"	"30"	"0"	"3"	"139"	"-"	"139"	""
"206"	"184"	"156"	"104"	"225"	"63"	"2"	"5"	"399"	"-"	"399"	""
"207"	"185"	"156A"	"54"	"144"	"25"	"3"	"3"	"229"	"-"	"229"	""
"208"	"186"	"157"	"23"	"111"	"307"	"21"	"30"	"492"	"-"	"492"	""
"209"	"187"	"158"	"136"	"157"	"167"	"20"	"32"	"512"	"-"	"512"	""
"210"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	"Total  valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"211"	""	""	"Dr. Ashok Kumar"	"Jai Prakash Narayan Paswan"	"Ram Sewak Hazari"	"Binod Bharti"	"Ram Bahadur Bharti"	""	""	""	""
"212"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"9"	"10"	"11"	"12"
"213"	"188"	"159"	"133"	"94"	"81"	"15"	"43"	"366"	"-"	"366"	""
"214"	"189"	"160"	"193"	"80"	"72"	"14"	"39"	"398"	"-"	"398"	""
"215"	"190"	"160A"	"100"	"92"	"9"	"4"	"11"	"216"	"-"	"216"	""
"216"	"191"	"161"	"200"	"51"	"90"	"5"	"3"	"349"	"-"	"349"	""
"217"	"192"	"162"	"117"	"44"	"142"	"12"	"14"	"329"	"-"	"329"	""
"218"	"193"	"163"	"120"	"203"	"22"	"14"	"12"	"371"	"-"	"371"	""
"219"	"194"	"164"	"88"	"85"	"14"	"6"	"19"	"212"	"-"	"212"	""
"220"	"195"	"165"	"107"	"171"	"84"	"34"	"18"	"414"	"-"	"414"	""
"221"	"196"	"166"	"114"	"150"	"34"	"53"	"29"	"380"	"-"	"380"	""
"222"	"197"	"166A"	"82"	"110"	"16"	"28"	"13"	"249"	"-"	"249"	""
"223"	"198"	"167"	"57"	"275"	"57"	"13"	"21"	"423"	"-"	"423"	""
"224"	"199"	"168"	"237"	"96"	"65"	"60"	"62"	"520"	"-"	"520"	""
"225"	"200"	"169"	"72"	"217"	"12"	"17"	"22"	"340"	"-"	"340"	""
"226"	"201"	"170"	"114"	"136"	"31"	"11"	"20"	"312"	"-"	"312"	""
"227"	"202"	"171"	"160"	"148"	"77"	"27"	"25"	"437"	"-"	"437"	""
"228"	"203"	"171A"	"43"	"87"	"11"	"16"	"24"	"181"	"-"	"181"	""
"229"	"204"	"172"	"196"	"103"	"21"	"19"	"43"	"382"	"-"	"382"	""
"230"	"205"	"172A"	"42"	"136"	"7"	"8"	"3"	"196"	"-"	"196"	""
"231"	"206"	"173"	"138"	"160"	"37"	"11"	"16"	"362"	"-"	"362"	""
"232"	"207"	"173A"	"94"	"63"	"10"	"3"	"9"	"179"	"-"	"179"	""
"233"	"208"	"174"	"77"	"121"	"60"	"11"	"53"	"322"	"-"	"322"	""
"234"	"209"	"175"	"104"	"73"	"72"	"25"	"27"	"301"	"-"	"301"	""
"235"	"210"	"176"	"277"	"116"	"34"	"19"	"49"	"495"	"-"	"495"	""
"236"	"211"	"176A"	"44"	"152"	"12"	"4"	"6"	"218"	"-"	"218"	""
"237"	"212"	"177"	"290"	"89"	"10"	"12"	"16"	"417"	"-"	"417"	""
"238"	"213"	"177A"	"76"	"45"	"6"	"4"	"8"	"139"	"-"	"139"	""
"239"	"214"	"178"	"293"	"62"	"17"	"6"	"69"	"447"	"-"	"447"	""
"240"	"215"	"178A"	"119"	"21"	"35"	"11"	"14"	"200"	"-"	"200"	""
"241"	"216"	"179"	"186"	"118"	"8"	"3"	"13"	"328"	"-"	"328"	""
"242"	"217"	"179A"	"24"	"101"	"4"	"1"	"3"	"133"	"-"	"133"	""
"243"	"218"	"180"	"199"	"284"	"13"	"9"	"13"	"518"	"-"	"518"	""
"244"	"219"	"181"	"173"	"237"	"17"	"10"	"15"	"452"	"-"	"452"	""
"245"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	"Total  valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"246"	""	""	"Dr. Ashok Kumar"	"Jai Prakash Narayan Paswan"	"Ram Sewak Hazari"	"Binod Bharti"	"Ram Bahadur Bharti"	""	""	""	""
"247"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"9"	"10"	"11"	"12"
"248"	"220"	"182"	"83"	"45"	"34"	"6"	"39"	"207"	"-"	"207"	""
"249"	"221"	"183"	"252"	"145"	"127"	"36"	"61"	"621"	"-"	"621"	""
"250"	"222"	"184"	"229"	"81"	"109"	"24"	"89"	"532"	"-"	"532"	""
"251"	"223"	"185"	"145"	"323"	"90"	"20"	"85"	"663"	"-"	"663"	""
"252"	"224"	"186"	"92"	"121"	"27"	"12"	"51"	"303"	"-"	"303"	""
"253"	"225"	"186A"	"60"	"64"	"15"	"5"	"27"	"171"	"-"	"171"	""
"254"	"226"	"187"	"205"	"88"	"17"	"4"	"7"	"321"	"-"	"321"	""
"255"	"227"	"188"	"168"	"134"	"43"	"34"	"136"	"515"	"-"	"515"	""
"256"	"228"	"189"	"225"	"19"	"14"	"21"	"56"	"335"	"-"	"335"	""
"257"	"229"	"190"	"63"	"83"	"26"	"22"	"198"	"392"	"-"	"392"	""
"258"	"230"	"191"	"80"	"138"	"45"	"14"	"133"	"410"	"-"	"410"	""
"259"	"231"	"192"	"109"	"65"	"142"	"20"	"132"	"468"	"-"	"468"	""
"260"	"232"	"193"	"115"	"23"	"54"	"21"	"23"	"236"	"-"	"236"	""
"261"	"233"	"194"	"160"	"62"	"47"	"25"	"77"	"371"	"-"	"371"	""
"262"	"234"	"194A"	"39"	"4"	"56"	"6"	"12"	"117"	"-"	"117"	""
"263"	"235"	"195"	"39"	"33"	"11"	"3"	"244"	"330"	"-"	"330"	""
"264"	"236"	"196"	"33"	"138"	"24"	"15"	"159"	"369"	"-"	"369"	""
"265"	"Total No. of votes recording at polling Stations"	""	"32764"	"20744"	"21323"	"3932"	"6313"	"85076"	"-"	"85076"	""
"266"	"No. of votes recorded"	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	""
"267"	"Total Votes polled"	""	"32764"	"20744"	"21323"	"3932"	"6313"	"85076"	"-"	"85076"	""
"268"	"Place :   DARBHANGA                                                                                                                                        Returning Officer"	""	""	""	""	""	""	""	""	""	""
"269"	"Date  :   22.11.2005                                                                                                                                           101-Singhia (SC)"	""	""	""	""	""	""	""	""	""	""
