"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""
"2"	"ELECTION TO THE LEGISLATIVE ASSEMBLY FROM 166-ALLAULI (S.C.) ASSEMBLY CONSTITUENCY PART-1"	""	""	""	""	""	""	""
"3"	"(To be used both for parliamentary and assembly Election)"	""	""	""	""	""	""	""
"4"	"Total No. of Elector in Assembly Constituency/Segment: 191306"	""	""	""	""	""	""	""
"5"	"No. and Name of the Assembly/segment- 166-ALLAULI (S.C.) ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""
"6"	"(in the Case of Election from a Parliamentary Constituency)                                                                           Round No.- 1"	""	""	""	""	""	""	""
"7"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"64"	"Cumm.
Total"	"9496"	"1926"	"6086"	"17508"	"0"	"17508"	"0"
"65"	"Serial No. of Polling
Station"	"No. of Valid voter casts in favour of"	""	""	"Total No. of Valid Votes"	"No. of rejected
votes"	"Total"	"No. of Tendered
Votes"
"66"	""	"PASHUPATI KUMAR PARAS (LJP)"	"RAJ KUMARI (JD(U))"	"RAMBRIKSHA SADA (RJD)"	""	""	""	""
"67"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"68"	"B/F"	"9496"	"1926"	"6086"	"17508"	"0"	"17508"	"0"
"69"	"35"	"93"	"60"	"298"	"451"	""	"451"	""
"70"	"36"	"218"	"51"	"102"	"371"	""	"371"	""
"71"	"37"	"218"	"67"	"21"	"306"	""	"306"	""
"72"	"38"	"98"	"62"	"223"	"383"	""	"383"	""
"73"	"39"	"65"	"45"	"180"	"290"	""	"290"	""
"74"	"40"	"192"	"41"	"197"	"430"	""	"430"	""
"75"	"41"	"247"	"68"	"340"	"655"	""	"655"	""
"76"	"42"	"214"	"34"	"356"	"604"	""	"604"	""
"77"	"43"	"230"	"38"	"310"	"578"	""	"578"	""
"78"	"44"	"245"	"48"	"333"	"626"	""	"626"	""
"79"	"45"	"398"	"121"	"186"	"705"	""	"705"	""
"80"	"46"	"329"	"84"	"164"	"577"	""	"577"	""
"81"	"47"	"233"	"15"	"281"	"529"	""	"529"	""
"82"	"48"	"122"	"19"	"118"	"259"	""	"259"	""
"83"	"Round-4
Total"	"2902"	"753"	"3109"	"6764"	"0"	"6764"	"0"
"84"	"Cumm.
Total"	"12398"	"2679"	"9195"	"24272"	"0"	"24272"	"0"
"85"	"Serial No. of Polling
Station"	"No. of Valid voter casts in favour of"	""	""	"Total No. of Valid Votes"	"No. of rejected
votes"	"Total"	"No. of Tendered
Votes"
"86"	""	"PASHUPATI KUMAR PARAS (LJP)"	"RAJ KUMARI (JD(U))"	"RAMBRIKSHA SADA (RJD)"	""	""	""	""
"87"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"88"	"B/F"	"12398"	"2679"	"9195"	"24272"	"0"	"24272"	"0"
"89"	"48A"	"217"	"33"	"32"	"282"	""	"282"	""
"90"	"49"	"265"	"54"	"348"	"667"	""	"667"	""
"91"	"50"	"135"	"23"	"90"	"248"	""	"248"	""
"92"	"51"	"68"	"24"	"214"	"306"	""	"306"	""
"93"	"52"	"234"	"105"	"187"	"526"	""	"526"	""
"94"	"53"	"210"	"42"	"302"	"554"	""	"554"	""
"95"	"54"	"322"	"50"	"199"	"571"	""	"571"	""
"96"	"55"	"231"	"70"	"368"	"669"	""	"669"	""
"97"	"56"	"44"	"12"	"335"	"391"	""	"391"	""
"98"	"57"	"133"	"70"	"203"	"406"	""	"406"	""
"99"	"58"	"173"	"40"	"265"	"478"	""	"478"	""
"100"	"59"	"156"	"182"	"82"	"420"	""	"420"	""
"101"	"59A"	"29"	"34"	"143"	"206"	""	"206"	""
"102"	"60"	"116"	"17"	"297"	"430"	""	"430"	""
"103"	"Round-5
Total"	"2333"	"756"	"3065"	"6154"	"0"	"6154"	"0"
"104"	"Cumm.
Total"	"14731"	"3435"	"12260"	"30426"	"0"	"30426"	"0"
"105"	"Serial No. of Polling
Station"	"No. of Valid voter casts in favour of"	""	""	"Total No. of Valid Votes"	"No. of rejected
votes"	"Total"	"No. of Tendered
Votes"
"106"	""	"PASHUPATI KUMAR PARAS (LJP)"	"RAJ KUMARI (JD(U))"	"RAMBRIKSHA SADA (RJD)"	""	""	""	""
"107"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"108"	"B/F"	"14731"	"3435"	"12260"	"30426"	"0"	"30426"	"0"
"109"	"61"	"302"	"8"	"135"	"445"	""	"445"	""
"110"	"62"	"171"	"21"	"161"	"353"	""	"353"	""
"111"	"63"	"90"	"10"	"293"	"393"	""	"393"	""
"112"	"64"	"287"	"49"	"167"	"503"	""	"503"	""
"113"	"65"	"358"	"43"	"86"	"487"	""	"487"	""
"114"	"66"	"392"	"167"	"130"	"689"	""	"689"	""
"115"	"67"	"310"	"266"	"98"	"674"	""	"674"	""
"116"	"68"	"180"	"233"	"83"	"496"	""	"496"	""
"117"	"69"	"77"	"207"	"86"	"370"	""	"370"	""
"118"	"70"	"390"	"57"	"130"	"577"	""	"577"	""
"119"	"71"	"169"	"77"	"388"	"634"	""	"634"	""
"120"	"72"	"160"	"209"	"49"	"418"	""	"418"	""
"121"	"72A"	"136"	"185"	"51"	"372"	""	"372"	""
"122"	"73"	"271"	"131"	"301"	"703"	""	"703"	""
"123"	"Round-6
Total"	"3293"	"1663"	"2158"	"7114"	"0"	"7114"	"0"
"124"	"Cumm.
Total"	"18024"	"5098"	"14418"	"37540"	"0"	"37540"	"0"
"125"	"Serial No. of Polling
Station"	"No. of Valid voter casts in favour of"	""	""	"Total No. of Valid Votes"	"No. of rejected
votes"	"Total"	"No. of Tendered
Votes"
"126"	""	"PASHUPATI KUMAR PARAS (LJP)"	"RAJ KUMARI (JD(U))"	"RAMBRIKSHA SADA (RJD)"	""	""	""	""
"127"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"128"	"B/F"	"18024"	"5098"	"14418"	"37540"	"0"	"37540"	"0"
"129"	"74"	"156"	"95"	"130"	"381"	""	"381"	""
"130"	"75"	"171"	"40"	"337"	"548"	""	"548"	""
"131"	"76"	"80"	"152"	"125"	"357"	""	"357"	""
"132"	"77"	"216"	"30"	"192"	"438"	""	"438"	""
"133"	"78"	"188"	"47"	"331"	"566"	""	"566"	""
"134"	"79"	"427"	"65"	"103"	"595"	""	"595"	""
"135"	"80"	"290"	"65"	"358"	"713"	""	"713"	""
"136"	"81"	"109"	"83"	"72"	"264"	""	"264"	""
"137"	"81A"	"228"	"74"	"84"	"386"	""	"386"	""
"138"	"82"	"327"	"36"	"192"	"555"	""	"555"	""
"139"	"82A"	"66"	"30"	"116"	"212"	""	"212"	""
"140"	"83"	"74"	"243"	"15"	"332"	""	"332"	""
"141"	"83A"	"102"	"176"	"90"	"368"	""	"368"	""
"142"	"84"	"68"	"349"	"143"	"560"	""	"560"	""
"143"	"Round-7
Total"	"2502"	"1485"	"2288"	"6275"	"0"	"6275"	"0"
"144"	"Cumm.
Total"	"20526"	"6583"	"16706"	"43815"	"0"	"43815"	"0"
"145"	"Serial No. of Polling
Station"	"No. of Valid voter casts in favour of"	""	""	"Total No. of Valid Votes"	"No. of rejected
votes"	"Total"	"No. of Tendered
Votes"
"146"	""	"PASHUPATI KUMAR PARAS (LJP)"	"RAJ KUMARI (JD(U))"	"RAMBRIKSHA SADA (RJD)"	""	""	""	""
"147"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"148"	"B/F"	"20526"	"6583"	"16706"	"43815"	"0"	"43815"	"0"
"149"	"85"	"136"	"68"	"43"	"247"	""	"247"	""
"150"	"86"	"136"	"30"	"224"	"390"	""	"390"	""
"151"	"87"	"364"	"85"	"210"	"659"	""	"659"	""
"152"	"88"	"180"	"31"	"241"	"452"	""	"452"	""
"153"	"89"	"99"	"9"	"216"	"324"	""	"324"	""
"154"	"90"	"121"	"21"	"186"	"328"	""	"328"	""
"155"	"91"	"260"	"94"	"175"	"529"	""	"529"	""
"156"	"92"	"203"	"57"	"245"	"505"	""	"505"	""
"157"	"93"	"207"	"25"	"298"	"530"	""	"530"	""
"158"	"94"	"237"	"86"	"112"	"435"	""	"435"	""
"159"	"95"	"142"	"103"	"216"	"461"	""	"461"	""
"160"	"96"	"88"	"77"	"330"	"495"	""	"495"	""
"161"	"97"	"27"	"22"	"117"	"166"	""	"166"	""
"162"	"97A"	"192"	"33"	"320"	"545"	""	"545"	""
"163"	"Round-8
Total"	"2392"	"741"	"2933"	"6066"	"0"	"6066"	"0"
"164"	"Cumm.
Total"	"22918"	"7324"	"19639"	"49881"	"0"	"49881"	"0"
"165"	"Serial No. of
Polling Station"	"No. of Valid voter casts in favour of"	""	""	"Total No. of Valid Votes"	"No. of
rejected votes"	"Total"	"No. of
Tendered Votes"
"166"	""	"PASHUPATI KUMAR PARAS (LJP)"	"RAJ KUMARI (JD(U))"	"RAMBRIKSHA SADA (RJD)"	""	""	""	""
"167"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"168"	"B/F"	"22918"	"7324"	"19639"	"49881"	"0"	"49881"	"0"
"169"	"98"	"252"	"158"	"201"	"611"	""	"611"	""
"170"	"99"	"395"	"26"	"35"	"456"	""	"456"	""
"171"	"100"	"237"	"74"	"141"	"452"	""	"452"	""
"172"	"101"	"324"	"132"	"149"	"605"	""	"605"	""
"173"	"102"	"171"	"249"	"57"	"477"	""	"477"	""
"174"	"103"	"259"	"112"	"76"	"447"	""	"447"	""
"175"	"104"	"108"	"368"	"32"	"508"	""	"508"	""
"176"	"104A"	"204"	"27"	"5"	"236"	""	"236"	""
"177"	"105"	"415"	"173"	"96"	"684"	""	"684"	""
"178"	"106"	"73"	"13"	"62"	"148"	""	"148"	""
"179"	"107"	"248"	"35"	"117"	"400"	""	"400"	""
"180"	"108"	"156"	"223"	"75"	"454"	""	"454"	""
"181"	"109"	"171"	"288"	"109"	"568"	""	"568"	""
"182"	"110"	"116"	"23"	"304"	"443"	""	"443"	""
"183"	"Round-9
Total"	"3129"	"1901"	"1459"	"6489"	"0"	"6489"	"0"
"184"	"Cumm.
Total"	"26047"	"9225"	"21098"	"56370"	"0"	"56370"	"0"
"185"	"Serial No. of
Polling Station"	"No. of Valid voter casts in favour of"	""	""	"Total No. of Valid Votes"	"No. of
rejected votes"	"Total"	"No. of
Tendered Votes"
"186"	""	"PASHUPATI KUMAR PARAS (LJP)"	"RAJ KUMARI (JD(U))"	"RAMBRIKSHA SADA (RJD)"	""	""	""	""
"187"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"188"	"B/F"	"26047"	"9225"	"21098"	"56370"	"0"	"56370"	"0"
"189"	"111"	"61"	"32"	"153"	"246"	""	"246"	""
"190"	"112"	"41"	"18"	"194"	"253"	""	"253"	""
"191"	"113"	"174"	"34"	"221"	"429"	""	"429"	""
"192"	"114"	"143"	"204"	"86"	"433"	""	"433"	""
"193"	"115"	"314"	"85"	"279"	"678"	""	"678"	""
"194"	"116"	"300"	"110"	"278"	"688"	""	"688"	""
"195"	"117"	"146"	"188"	"112"	"446"	""	"446"	""
"196"	"118"	"339"	"56"	"173"	"568"	""	"568"	""
"197"	"119"	"63"	"42"	"392"	"497"	""	"497"	""
"198"	"120"	"92"	"71"	"167"	"330"	""	"330"	""
"199"	"121"	"171"	"160"	"186"	"517"	""	"517"	""
"200"	"122"	"223"	"324"	"91"	"638"	""	"638"	""
"201"	"123"	"234"	"102"	"152"	"488"	""	"488"	""
"202"	"124"	"384"	"116"	"127"	"627"	""	"627"	""
"203"	"Round-10
Total"	"2685"	"1542"	"2611"	"6838"	"0"	"6838"	"0"
"204"	"Cumm.
Total"	"28732"	"10767"	"23709"	"63208"	"0"	"63208"	"0"
"205"	"Serial No. of
Polling Station"	"No. of Valid voter casts in favour of"	""	""	"Total No. of Valid Votes"	"No. of
rejected votes"	"Total"	"No. of
Tendered Votes"
"206"	""	"PASHUPATI KUMAR PARAS (LJP)"	"RAJ KUMARI (JD(U))"	"RAMBRIKSHA SADA (RJD)"	""	""	""	""
"207"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"208"	"B/F"	"28732"	"10767"	"23709"	"63208"	"0"	"63208"	"0"
"209"	"125"	"265"	"75"	"227"	"567"	""	"567"	""
"210"	"126"	"209"	"54"	"250"	"513"	""	"513"	""
"211"	"127"	"278"	"106"	"102"	"486"	""	"486"	""
"212"	"128"	"305"	"93"	"166"	"564"	""	"564"	""
"213"	"129"	"363"	"34"	"91"	"488"	""	"488"	""
"214"	"130"	"316"	"119"	"139"	"574"	""	"574"	""
"215"	"131"	"98"	"80"	"285"	"463"	""	"463"	""
"216"	"132"	"189"	"43"	"285"	"517"	""	"517"	""
"217"	"133"	"244"	"217"	"85"	"546"	""	"546"	""
"218"	"134"	"124"	"111"	"29"	"264"	""	"264"	""
"219"	"135"	"76"	"218"	"181"	"475"	""	"475"	""
"220"	"136"	"164"	"57"	"256"	"477"	""	"477"	""
"221"	"137"	"277"	"41"	"251"	"569"	""	"569"	""
"222"	"138"	"100"	"19"	"352"	"471"	""	"471"	""
"223"	"Round-11
Total"	"3008"	"1267"	"2699"	"6974"	"0"	"6974"	"0"
"224"	"Cumm.
Total"	"31740"	"12034"	"26408"	"70182"	"0"	"70182"	"0"
"225"	"Serial No. of
Polling Station"	"No. of Valid voter casts in favour of"	""	""	"Total No. of Valid Votes"	"No. of
rejected votes"	"Total"	"No. of
Tendered Votes"
"226"	""	"PASHUPATI KUMAR PARAS (LJP)"	"RAJ KUMARI (JD(U))"	"RAMBRIKSHA SADA (RJD)"	""	""	""	""
"227"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"228"	"B/F"	"31740"	"12034"	"26408"	"70182"	"0"	"70182"	"0"
"229"	"139"	"314"	"55"	"105"	"474"	""	"474"	""
"230"	"140"	"295"	"81"	"107"	"483"	""	"483"	""
"231"	"141"	"181"	"103"	"26"	"310"	""	"310"	""
"232"	"141A"	"176"	"60"	"22"	"258"	""	"258"	""
"233"	"142"	"239"	"73"	"97"	"409"	""	"409"	""
"234"	"143"	"212"	"30"	"270"	"512"	""	"512"	""
"235"	"144"	"250"	"72"	"216"	"538"	""	"538"	""
"236"	"145"	"114"	"15"	"251"	"380"	""	"380"	""
"237"	"146"	"391"	"75"	"108"	"574"	""	"574"	""
"238"	"147"	"258"	"54"	"79"	"391"	""	"391"	""
"239"	"147A"	"200"	"23"	"119"	"342"	""	"342"	""
"240"	"148"	"345"	"47"	"107"	"499"	""	"499"	""
"241"	"149"	"83"	"46"	"186"	"315"	""	"315"	""
"242"	"150"	"356"	"50"	"100"	"506"	""	"506"	""
"243"	"Round-12
Total"	"3414"	"784"	"1793"	"5991"	"0"	"5991"	"0"
"244"	"Cumm.
Total"	"35154"	"12818"	"28201"	"76173"	"0"	"76173"	"0"
"245"	"Serial No. of
Polling Station"	"No. of Valid voter casts in favour of"	""	""	"Total No. of Valid Votes"	"No. of
rejected votes"	"Total"	"No. of
Tendered Votes"
"246"	""	"PASHUPATI KUMAR PARAS (LJP)"	"RAJ KUMARI (JD(U))"	"RAMBRIKSHA SADA (RJD)"	""	""	""	""
"247"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"248"	"B/F"	"35154"	"12818"	"28201"	"76173"	"0"	"76173"	"0"
"249"	"151"	"256"	"42"	"193"	"491"	""	"491"	""
"250"	"152"	"529"	"45"	"109"	"683"	""	"683"	""
"251"	"153"	"163"	"49"	"198"	"410"	""	"410"	""
"252"	"154"	"225"	"24"	"156"	"405"	""	"405"	""
"253"	"155"	"118"	"8"	"154"	"280"	""	"280"	""
"254"	"155A"	"48"	"13"	"197"	"258"	""	"258"	""
"255"	"156"	"155"	"9"	"129"	"293"	""	"293"	""
"256"	"156A"	"121"	"6"	"58"	"185"	""	"185"	""
"257"	"157"	"295"	"106"	"198"	"599"	""	"599"	""
"258"	"158"	"287"	"18"	"45"	"350"	""	"350"	""
"259"	"159"	"129"	"37"	"411"	"577"	""	"577"	""
"260"	"160"	"206"	"99"	"212"	"517"	""	"517"	""
"261"	"161"	"209"	"152"	"152"	"513"	""	"513"	""
"262"	"162"	"162"	"90"	"198"	"450"	""	"450"	""
"263"	"Round-13
Total"	"2903"	"698"	"2410"	"6011"	"0"	"6011"	"0"
"264"	"Cumm.
Total"	"38057"	"13516"	"30611"	"82184"	"0"	"82184"	"0"
"265"	"Serial No. of
Polling Station"	"No. of Valid voter casts in favour of"	""	""	"Total No. of Valid Votes"	"No. of
rejected votes"	"Total"	"No. of
Tendered Votes"
"266"	""	"PASHUPATI KUMAR PARAS (LJP)"	"RAJ KUMARI (JD(U))"	"RAMBRIKSHA SADA (RJD)"	""	""	""	""
"267"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"268"	"B/F"	"38057"	"13516"	"30611"	"82184"	"0"	"82184"	"0"
"269"	"163"	"211"	"38"	"253"	"502"	""	"502"	""
"270"	"164"	"230"	"151"	"127"	"508"	""	"508"	""
"271"	"165"	"256"	"69"	"284"	"609"	""	"609"	""
"272"	"166"	"175"	"85"	"57"	"317"	""	"317"	""
"273"	"167"	"93"	"89"	"218"	"400"	""	"400"	""
"274"	"168"	"37"	"10"	"262"	"309"	""	"309"	""
"275"	"168A"	"190"	"21"	"69"	"280"	""	"280"	""
"276"	"169"	"269"	"53"	"49"	"371"	""	"371"	""
"277"	"169A"	"239"	"40"	"85"	"364"	""	"364"	""
"278"	"170"	"329"	"39"	"57"	"425"	""	"425"	""
"279"	"170A"	"118"	"36"	"62"	"216"	""	"216"	""
"280"	"171"	"211"	"87"	"58"	"356"	""	"356"	""
"281"	"171A"	"315"	"20"	"45"	"380"	""	"380"	""
"282"	"172"	"140"	"6"	"56"	"202"	""	"202"	""
"283"	"Round-14
Total"	"2813"	"744"	"1682"	"5239"	"0"	"5239"	"0"
"284"	"Grand Total"	"40870"	"14260"	"32293"	"87423"	"0"	"87423"	"0"
