"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE FROM 62-AURAI  ASSEMBLY CONSTITUENCY PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"TOTAL NO OF ELECTORS IN 62-AURAI ASSEMBLY CONSTITUENCY                        180075"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"NAME OF THE ASSEMBLY /SEGMENT……………………………………………………….."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PS NO."	"ARJUN RAY"	"UGAN TARA DEVI"	"MOH. LAL BABU"	"SANJAY SHAHI"	"ABHAY KUMAR"	"TARIQUE IMAM"	"NAND KISHORE YADAV"	"BHIKHARI SAHANI"	"MD. SAGHIR AHMAD"	"SURENDRA KUMAR"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"TOTAL NO OF
TENDERED VOTES"	""
"59"	"50A"	"115"	"9"	"2"	"142"	"5"	"1"	"4"	"2"	"2"	"5"	"287"	""	"287"	""	""
"60"	"51"	"117"	"15"	"20"	"29"	"68"	"19"	"7"	"7"	"11"	"31"	"324"	""	"324"	""	""
"61"	"51A"	"84"	"10"	"19"	"19"	"37"	"6"	"5"	"1"	"9"	"15"	"205"	""	"205"	""	""
"62"	"52"	"227"	"4"	"0"	"35"	"70"	"1"	"3"	"3"	"1"	"5"	"349"	""	"349"	""	""
"63"	"53"	"146"	"2"	"5"	"3"	"286"	"15"	"1"	"2"	"1"	"6"	"467"	""	"467"	""	""
"64"	"54"	"95"	"11"	"2"	"4"	"202"	"30"	"9"	"0"	"7"	"16"	"376"	""	"376"	""	""
"65"	"55"	"424"	"0"	"2"	"2"	"4"	"2"	"0"	"0"	"1"	"15"	"450"	""	"450"	""	""
"66"	"55A"	"449"	"1"	"1"	"0"	"3"	"2"	"3"	"2"	"0"	"6"	"467"	""	"467"	""	""
"67"	"56"	"443"	"11"	"4"	"3"	"24"	"2"	"0"	"0"	"1"	"1"	"489"	""	"489"	""	""
"68"	"57"	"363"	"8"	"5"	"7"	"54"	"8"	"2"	"4"	"9"	"25"	"485"	""	"485"	""	""
"69"	"58"	"231"	"190"	"46"	"3"	"37"	"17"	"4"	"3"	"4"	"3"	"538"	""	"538"	""	""
"70"	"59"	"240"	"8"	"3"	"1"	"138"	"5"	"4"	"2"	"0"	"4"	"405"	""	"405"	""	""
"71"	"60"	"174"	"12"	"5"	"1"	"121"	"7"	"3"	"2"	"7"	"11"	"343"	""	"343"	""	""
"72"	"61"	"198"	"21"	"41"	"9"	"72"	"9"	"8"	"3"	"4"	"11"	"376"	""	"376"	""	""
"73"	"62"	"207"	"33"	"10"	"5"	"33"	"22"	"0"	"1"	"3"	"4"	"318"	""	"318"	""	""
"74"	"63"	"139"	"6"	"22"	"7"	"131"	"13"	"4"	"2"	"7"	"7"	"338"	""	"338"	""	""
"75"	"63A"	"173"	"5"	"18"	"8"	"67"	"7"	"3"	"0"	"5"	"3"	"289"	""	"289"	""	""
"76"	"64"	"233"	"19"	"9"	"2"	"24"	"97"	"2"	"3"	"6"	"9"	"404"	""	"404"	""	""
"77"	"65"	"234"	"18"	"2"	"5"	"43"	"37"	"1"	"3"	"4"	"8"	"355"	""	"355"	""	""
"78"	"66"	"342"	"21"	"11"	"6"	"173"	"17"	"5"	"2"	"4"	"18"	"599"	""	"599"	""	""
"79"	"67"	"101"	"48"	"16"	"6"	"142"	"13"	"2"	"3"	"2"	"8"	"341"	""	"341"	""	""
"80"	"68"	"230"	"95"	"1"	"16"	"12"	"0"	"2"	"1"	"2"	"10"	"369"	""	"369"	""	""
"81"	"PS NO."	"ARJUN RAY"	"UGAN TARA DEVI"	"MOH. LAL BABU"	"SANJAY SHAHI"	"ABHAY KUMAR"	"TARIQUE IMAM"	"NAND KISHORE YADAV"	"BHIKHARI SAHANI"	"MD. SAGHIR AHMAD"	"SURENDRA KUMAR"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"TOTAL NO OF
TENDERED VOTES"	""
"82"	"69"	"381"	"116"	"15"	"8"	"31"	"5"	"5"	"7"	"3"	"19"	"590"	""	"590"	""	""
"83"	"70"	"206"	"4"	"5"	"9"	"23"	"2"	"4"	"1"	"0"	"11"	"265"	""	"265"	""	""
"84"	"71"	"132"	"104"	"29"	"7"	"46"	"19"	"1"	"4"	"5"	"9"	"356"	""	"356"	""	""
"85"	"72"	"184"	"41"	"12"	"7"	"288"	"14"	"5"	"2"	"11"	"7"	"571"	""	"571"	""	""
"86"	"73"	"278"	"65"	"17"	"15"	"128"	"15"	"7"	"6"	"5"	"11"	"547"	""	"547"	""	""
"87"	"74"	"253"	"33"	"7"	"43"	"127"	"13"	"6"	"8"	"3"	"23"	"516"	""	"516"	""	""
"88"	"75"	"181"	"47"	"3"	"20"	"102"	"5"	"11"	"9"	"9"	"13"	"400"	""	"400"	""	""
"89"	"76"	"311"	"71"	"1"	"5"	"12"	"1"	"0"	"1"	"3"	"4"	"409"	""	"409"	""	""
"90"	"77"	"385"	"41"	"8"	"6"	"14"	"1"	"0"	"2"	"0"	"6"	"463"	""	"463"	""	""
"91"	"78"	"325"	"52"	"11"	"6"	"34"	"0"	"0"	"0"	"3"	"9"	"440"	""	"440"	""	""
"92"	"79"	"303"	"13"	"8"	"6"	"75"	"9"	"3"	"7"	"6"	"17"	"447"	""	"447"	""	""
"93"	"80"	"371"	"46"	"0"	"16"	"22"	"9"	"2"	"9"	"1"	"44"	"520"	""	"520"	""	""
"94"	"81"	"195"	"16"	"7"	"5"	"11"	"4"	"7"	"4"	"4"	"23"	"276"	""	"276"	""	""
"95"	"81A"	"89"	"81"	"2"	"8"	"13"	"2"	"1"	"0"	"0"	"5"	"201"	""	"201"	""	""
"96"	"82"	"339"	"33"	"4"	"12"	"182"	"14"	"3"	"3"	"6"	"14"	"610"	""	"610"	""	""
"97"	"83"	"213"	"28"	"11"	"26"	"64"	"7"	"3"	"4"	"6"	"18"	"380"	""	"380"	""	""
"98"	"84"	"193"	"67"	"8"	"68"	"45"	"2"	"0"	"2"	"3"	"8"	"396"	""	"396"	""	""
"99"	"85"	"258"	"23"	"9"	"21"	"67"	"8"	"8"	"69"	"10"	"10"	"483"	""	"483"	""	""
"100"	"86"	"303"	"72"	"69"	"17"	"39"	"11"	"8"	"1"	"7"	"14"	"541"	""	"541"	""	""
"101"	"87"	"222"	"97"	"6"	"17"	"19"	"0"	"0"	"1"	"8"	"12"	"382"	""	"382"	""	""
"102"	"88"	"294"	"4"	"15"	"3"	"78"	"7"	"6"	"4"	"3"	"4"	"418"	""	"418"	""	""
"103"	"89"	"215"	"6"	"14"	"6"	"16"	"8"	"2"	"1"	"4"	"9"	"281"	""	"281"	""	""
"104"	"90"	"298"	"41"	"3"	"40"	"7"	"3"	"1"	"4"	"2"	"9"	"408"	""	"408"	""	""
"105"	"91"	"349"	"15"	"9"	"65"	"44"	"8"	"3"	"4"	"1"	"19"	"517"	""	"517"	""	""
"106"	"92"	"165"	"106"	"9"	"19"	"11"	"7"	"2"	"1"	"5"	"15"	"340"	""	"340"	""	""
"107"	"92A"	"196"	"55"	"5"	"46"	"9"	"3"	"2"	"1"	"1"	"11"	"329"	""	"329"	""	""
"108"	"93"	"182"	"78"	"70"	"17"	"8"	"8"	"8"	"4"	"9"	"9"	"393"	""	"393"	""	""
"109"	"94"	"164"	"170"	"8"	"16"	"19"	"3"	"1"	"2"	"3"	"19"	"405"	""	"405"	""	""
"110"	"95"	"252"	"72"	"13"	"26"	"45"	"1"	"0"	"5"	"5"	"8"	"427"	""	"427"	""	""
"111"	"96"	"267"	"39"	"2"	"7"	"2"	"2"	"1"	"3"	"5"	"18"	"346"	""	"346"	""	""
"112"	"97"	"86"	"81"	"11"	"7"	"4"	"1"	"3"	"2"	"5"	"9"	"209"	""	"209"	""	""
"113"	"98"	"297"	"107"	"20"	"13"	"21"	"2"	"3"	"1"	"5"	"17"	"486"	""	"486"	""	""
"114"	"99"	"225"	"184"	"9"	"13"	"13"	"8"	"4"	"12"	"15"	"28"	"511"	""	"511"	""	""
"115"	"100"	"286"	"87"	"5"	"6"	"12"	"4"	"2"	"49"	"9"	"9"	"469"	""	"469"	""	""
"116"	"101"	"229"	"104"	"11"	"5"	"35"	"6"	"1"	"1"	"2"	"8"	"402"	""	"402"	""	""
"117"	"102"	"317"	"25"	"11"	"1"	"40"	"3"	"3"	"1"	"3"	"10"	"414"	""	"414"	""	""
"118"	"103"	"215"	"120"	"15"	"3"	"32"	"5"	"6"	"4"	"7"	"25"	"432"	""	"432"	""	""
"119"	"104"	"223"	"74"	"11"	"3"	"28"	"4"	"5"	"4"	"2"	"5"	"359"	""	"359"	""	""
"120"	"105"	"48"	"143"	"22"	"3"	"7"	"4"	"4"	"8"	"6"	"15"	"260"	""	"260"	""	""
"121"	"PS NO."	"ARJUN RAY"	"UGAN TARA DEVI"	"MOH. LAL BABU"	"SANJAY SHAHI"	"ABHAY KUMAR"	"TARIQUE IMAM"	"NAND KISHORE YADAV"	"BHIKHARI SAHANI"	"MD. SAGHIR AHMAD"	"SURENDRA KUMAR"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"TOTAL NO OF
TENDERED VOTES"	""
"122"	"106"	"312"	"151"	"18"	"12"	"14"	"8"	"3"	"21"	"9"	"17"	"565"	""	"565"	""	""
"123"	"107"	"323"	"23"	"12"	"9"	"75"	"23"	"11"	"16"	"12"	"40"	"544"	""	"544"	""	""
"124"	"108"	"231"	"34"	"16"	"7"	"65"	"10"	"6"	"1"	"2"	"21"	"393"	""	"393"	""	""
"125"	"109"	"49"	"143"	"1"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"197"	""	"197"	""	""
"126"	"110"	"239"	"104"	"52"	"14"	"57"	"9"	"13"	"13"	"24"	"10"	"535"	""	"535"	""	""
"127"	"111"	"277"	"20"	"11"	"7"	"163"	"14"	"6"	"27"	"13"	"10"	"548"	""	"548"	""	""
"128"	"112"	"161"	"84"	"10"	"7"	"108"	"11"	"1"	"5"	"10"	"12"	"409"	""	"409"	""	""
"129"	"113"	"189"	"88"	"15"	"8"	"22"	"2"	"4"	"27"	"3"	"4"	"362"	""	"362"	""	""
"130"	"113A"	"145"	"56"	"43"	"10"	"8"	"3"	"5"	"2"	"2"	"13"	"287"	""	"287"	""	""
"131"	"114"	"275"	"15"	"4"	"34"	"17"	"4"	"0"	"3"	"3"	"16"	"371"	""	"371"	""	""
"132"	"114A"	"264"	"12"	"5"	"33"	"29"	"1"	"5"	"5"	"9"	"21"	"384"	""	"384"	""	""
"133"	"115"	"135"	"57"	"22"	"7"	"3"	"3"	"1"	"1"	"1"	"1"	"231"	""	"231"	""	""
"134"	"116"	"222"	"61"	"38"	"13"	"18"	"8"	"8"	"5"	"4"	"8"	"385"	""	"385"	""	""
"135"	"117"	"87"	"7"	"12"	"11"	"89"	"11"	"4"	"1"	"5"	"18"	"245"	""	"245"	""	""
"136"	"118"	"238"	"30"	"3"	"3"	"151"	"3"	"1"	"0"	"4"	"3"	"436"	""	"436"	""	""
"137"	"119"	"212"	"15"	"22"	"6"	"110"	"11"	"5"	"7"	"11"	"16"	"415"	""	"415"	""	""
"138"	"120"	"261"	"16"	"26"	"13"	"174"	"13"	"5"	"5"	"5"	"14"	"532"	""	"532"	""	""
"139"	"121"	"244"	"14"	"5"	"12"	"42"	"6"	"2"	"4"	"7"	"8"	"344"	""	"344"	""	""
"140"	"122"	"353"	"22"	"54"	"11"	"30"	"16"	"10"	"13"	"8"	"29"	"546"	""	"546"	""	""
"141"	"123"	"283"	"56"	"13"	"14"	"31"	"8"	"6"	"3"	"1"	"15"	"430"	""	"430"	""	""
"142"	"124"	"172"	"149"	"7"	"13"	"12"	"4"	"0"	"5"	"1"	"6"	"369"	""	"369"	""	""
"143"	"125"	"137"	"106"	"11"	"17"	"39"	"2"	"2"	"2"	"7"	"6"	"329"	""	"329"	""	""
"144"	"126"	"262"	"40"	"11"	"9"	"120"	"11"	"6"	"5"	"5"	"10"	"479"	""	"479"	""	""
"145"	"127"	"225"	"56"	"14"	"11"	"60"	"18"	"4"	"5"	"10"	"19"	"422"	""	"422"	""	""
"146"	"128"	"284"	"89"	"22"	"5"	"28"	"9"	"4"	"4"	"6"	"23"	"474"	""	"474"	""	""
"147"	"129"	"183"	"54"	"1"	"2"	"13"	"1"	"0"	"2"	"1"	"14"	"271"	""	"271"	""	""
"148"	"130"	"268"	"32"	"2"	"9"	"19"	"1"	"4"	"12"	"5"	"22"	"374"	""	"374"	""	""
"149"	"131"	"201"	"50"	"2"	"3"	"21"	"5"	"1"	"1"	"2"	"8"	"294"	""	"294"	""	""
"150"	"132"	"296"	"85"	"10"	"38"	"58"	"9"	"5"	"2"	"5"	"11"	"519"	""	"519"	""	""
"151"	"133"	"64"	"31"	"0"	"2"	"32"	"6"	"2"	"1"	"3"	"1"	"142"	""	"142"	""	""
"152"	"134"	"358"	"42"	"10"	"4"	"75"	"11"	"8"	"3"	"6"	"13"	"530"	""	"530"	""	""
"153"	"135"	"209"	"5"	"3"	"3"	"215"	"5"	"1"	"0"	"0"	"1"	"442"	""	"442"	""	""
"154"	"136"	"208"	"12"	"5"	"1"	"113"	"9"	"2"	"2"	"5"	"11"	"368"	""	"368"	""	""
"155"	"137"	"188"	"8"	"1"	"7"	"57"	"6"	"5"	"8"	"11"	"19"	"310"	""	"310"	""	""
"156"	"138"	"119"	"46"	"17"	"27"	"69"	"10"	"0"	"3"	"5"	"7"	"303"	""	"303"	""	""
"157"	"139"	"189"	"81"	"27"	"18"	"172"	"10"	"11"	"4"	"10"	"16"	"538"	""	"538"	""	""
"158"	"140"	"406"	"10"	"1"	"7"	"27"	"0"	"2"	"0"	"5"	"4"	"462"	""	"462"	""	""
"159"	"141"	"194"	"43"	"7"	"5"	"13"	"26"	"5"	"5"	"7"	"7"	"312"	""	"312"	""	""
"160"	"141A"	"193"	"23"	"5"	"3"	"28"	"2"	"1"	"1"	"6"	"13"	"275"	""	"275"	""	""
"161"	"PS NO."	"ARJUN RAY"	"UGAN TARA DEVI"	"MOH. LAL BABU"	"SANJAY SHAHI"	"ABHAY KUMAR"	"TARIQUE IMAM"	"NAND KISHORE YADAV"	"BHIKHARI SAHANI"	"MD. SAGHIR AHMAD"	"SURENDRA KUMAR"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"TOTAL NO OF
TENDERED VOTES"	""
"162"	"142"	"187"	"85"	"15"	"9"	"24"	"5"	"6"	"2"	"6"	"11"	"350"	""	"350"	""	""
"163"	"142A"	"185"	"44"	"5"	"3"	"24"	"4"	"4"	"6"	"7"	"12"	"294"	""	"294"	""	""
"164"	"143"	"289"	"103"	"16"	"7"	"30"	"6"	"5"	"7"	"13"	"32"	"508"	""	"508"	""	""
"165"	"144"	"233"	"69"	"8"	"2"	"9"	"1"	"3"	"2"	"8"	"17"	"352"	""	"352"	""	""
"166"	"145"	"364"	"100"	"9"	"6"	"3"	"7"	"1"	"3"	"10"	"37"	"540"	""	"540"	""	""
"167"	"146"	"226"	"72"	"12"	"18"	"28"	"7"	"6"	"6"	"7"	"22"	"404"	""	"404"	""	""
"168"	"147"	"156"	"20"	"5"	"7"	"6"	"6"	"0"	"2"	"4"	"6"	"212"	""	"212"	""	""
"169"	"148"	"138"	"10"	"32"	"1"	"69"	"8"	"3"	"3"	"1"	"6"	"271"	""	"271"	""	""
"170"	"148A"	"103"	"55"	"9"	"7"	"104"	"5"	"2"	"5"	"4"	"8"	"302"	""	"302"	""	""
"171"	"149"	"270"	"25"	"13"	"8"	"115"	"14"	"8"	"7"	"5"	"14"	"479"	""	"479"	""	""
"172"	"150"	"140"	"63"	"5"	"11"	"32"	"1"	"2"	"4"	"6"	"5"	"269"	""	"269"	""	""
"173"	"151"	"191"	"41"	"2"	"0"	"7"	"2"	"0"	"1"	"2"	"0"	"246"	""	"246"	""	""
"174"	"152"	"219"	"59"	"19"	"7"	"41"	"10"	"5"	"3"	"8"	"13"	"384"	""	"384"	""	""
"175"	"153"	"151"	"21"	"1"	"2"	"1"	"0"	"0"	"0"	"2"	"4"	"182"	""	"182"	""	""
"176"	"154"	"307"	"59"	"10"	"11"	"18"	"2"	"4"	"1"	"7"	"20"	"439"	""	"439"	""	""
"177"	"155"	"171"	"26"	"11"	"5"	"32"	"7"	"2"	"0"	"5"	"10"	"269"	""	"269"	""	""
"178"	"156"	"248"	"15"	"1"	"3"	"7"	"0"	"0"	"1"	"4"	"6"	"285"	""	"285"	""	""
"179"	"157"	"166"	"37"	"0"	"13"	"9"	"0"	"0"	"1"	"1"	"4"	"231"	""	"231"	""	""
"180"	"157A"	"217"	"32"	"4"	"5"	"5"	"3"	"2"	"4"	"3"	"12"	"287"	""	"287"	""	""
"181"	"158"	"247"	"21"	"4"	"2"	"47"	"5"	"6"	"3"	"10"	"30"	"375"	""	"375"	""	""
"182"	"159"	"96"	"40"	"9"	"5"	"132"	"15"	"3"	"2"	"3"	"19"	"324"	""	"324"	""	""
"183"	"160"	"203"	"29"	"23"	"7"	"150"	"16"	"2"	"1"	"6"	"15"	"452"	""	"452"	""	""
"184"	"161"	"142"	"120"	"11"	"1"	"20"	"5"	"0"	"2"	"2"	"11"	"314"	""	"314"	""	""
"185"	"162"	"367"	"39"	"37"	"12"	"41"	"9"	"10"	"7"	"11"	"38"	"571"	""	"571"	""	""
"186"	"163"	"230"	"46"	"49"	"14"	"12"	"2"	"4"	"4"	"3"	"20"	"384"	""	"384"	""	""
"187"	"164"	"96"	"109"	"30"	"6"	"42"	"13"	"10"	"5"	"12"	"22"	"345"	""	"345"	""	""
"188"	"165"	"310"	"40"	"4"	"17"	"6"	"3"	"1"	"3"	"8"	"17"	"409"	""	"409"	""	""
"189"	"166"	"282"	"34"	"12"	"16"	"3"	"1"	"5"	"1"	"7"	"21"	"382"	""	"382"	""	""
"190"	"167"	"370"	"52"	"19"	"2"	"16"	"3"	"9"	"0"	"5"	"18"	"494"	""	"494"	""	""
"191"	"168"	"397"	"37"	"8"	"4"	"8"	"2"	"2"	"1"	"5"	"19"	"483"	""	"483"	""	""
"192"	"169"	"394"	"138"	"16"	"4"	"28"	"5"	"1"	"3"	"10"	"16"	"615"	""	"615"	""	""
"193"	"170"	"342"	"137"	"16"	"3"	"12"	"0"	"2"	"1"	"4"	"13"	"530"	""	"530"	""	""
"194"	"171"	"328"	"134"	"16"	"4"	"13"	"12"	"6"	"5"	"14"	"15"	"547"	""	"547"	""	""
"195"	"172"	"202"	"98"	"3"	"5"	"2"	"2"	"1"	"3"	"2"	"6"	"324"	""	"324"	""	""
"196"	"173"	"245"	"48"	"6"	"6"	"17"	"6"	"4"	"5"	"7"	"24"	"368"	""	"368"	""	""
"197"	"174"	"174"	"146"	"13"	"4"	"8"	"5"	"3"	"2"	"8"	"9"	"372"	""	"372"	""	""
"198"	"175"	"292"	"37"	"19"	"7"	"102"	"5"	"5"	"3"	"4"	"7"	"481"	""	"481"	""	""
"199"	"176"	"184"	"138"	"5"	"1"	"9"	"2"	"3"	"4"	"7"	"8"	"361"	""	"361"	""	""
"200"	"177"	"181"	"358"	"20"	"5"	"5"	"3"	"6"	"2"	"7"	"16"	"603"	""	"603"	""	""
