"ernku.dsUnz.dh.dz0.la0"	"fuEufyf.kr.ds.i.k.esa.fn..x..fof.k.ekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"dqy.fof.k.ekU..er"	"izfr.ksfir.erksa.dh.la..k"	"X.ksx"	"fufonRr.erksa.dh.la..k"
"14"	"12"	"346"	"10"	"10"	"4"	"85"	"5"	"0"	"1"	"1"	"20"	"2"	"1"	"1"	"1"	"5"	"11"	"503"	"0"	"503"	"0"
"15"	"13"	"342"	"2"	"14"	"2"	"168"	"6"	"1"	"1"	"5"	"69"	"0"	"2"	"4"	"3"	"2"	"3"	"624"	"0"	"624"	"0"
"16"	"14"	"473"	"9"	"10"	"4"	"41"	"8"	"0"	"4"	"1"	"11"	"5"	"5"	"5"	"2"	"7"	"27"	"612"	"0"	"612"	"0"
"17"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"18"	""	"vCnqy tyhy"	"[oktk cgkmn~nhu vgen"	"fouksnkuan lkg"	"'kaHkq dqekj eaMy"	"fgejkt flag"	"tkfdj glsu"	"ekxu ikloku"	"vyhjtk"	"dSyk'k jtd"	"fnus'k dq0 bUlku"	"fursUnz jk;"	"izeksn dq0 flag"	"Hkksyk jk;"	"ealqj vkye"	"eks0 etg:y gd 'ksj"	"'kEHkw jk;"	""	""	""	""
"19"	"15"	"194"	"8"	"34"	"6"	"219"	"2"	"1"	"3"	"6"	"55"	"0"	"3"	"1"	"0"	"3"	"11"	"546"	"0"	"546"	"0"
"20"	"16"	"316"	"8"	"13"	"3"	"85"	"8"	"1"	"3"	"1"	"3"	"3"	"3"	"2"	"2"	"4"	"7"	"462"	"0"	"462"	"0"
"21"	"17"	"304"	"7"	"20"	"3"	"138"	"6"	"4"	"1"	"5"	"13"	"1"	"6"	"6"	"6"	"6"	"22"	"548"	"0"	"548"	"0"
"22"	"18"	"97"	"3"	"16"	"7"	"181"	"8"	"2"	"1"	"3"	"5"	"1"	"2"	"1"	"2"	"2"	"9"	"340"	"0"	"340"	"0"
"23"	"19"	"189"	"24"	"13"	"2"	"81"	"2"	"3"	"1"	"1"	"5"	"2"	"2"	"0"	"1"	"1"	"3"	"330"	"0"	"330"	"0"
"24"	"19A"	"250"	"9"	"7"	"0"	"9"	"1"	"2"	"0"	"1"	"6"	"0"	"2"	"1"	"0"	"0"	"7"	"295"	"0"	"295"	"0"
"25"	"20"	"132"	"6"	"8"	"3"	"156"	"3"	"0"	"1"	"3"	"4"	"2"	"1"	"3"	"3"	"1"	"6"	"332"	"0"	"332"	"0"
"26"	"20A"	"56"	"3"	"24"	"10"	"252"	"4"	"8"	"0"	"0"	"3"	"3"	"10"	"3"	"1"	"1"	"1"	"379"	"0"	"379"	"0"
"27"	"21"	"60"	"3"	"68"	"11"	"299"	"11"	"6"	"3"	"3"	"6"	"2"	"1"	"2"	"1"	"1"	"3"	"480"	"0"	"480"	"0"
"28"	"22"	"130"	"6"	"65"	"6"	"371"	"7"	"1"	"3"	"1"	"19"	"9"	"4"	"8"	"6"	"10"	"2"	"648"	"0"	"648"	"0"
"29"	"23"	"103"	"4"	"66"	"6"	"231"	"9"	"3"	"2"	"2"	"4"	"3"	"15"	"2"	"3"	"3"	"7"	"463"	"0"	"463"	"0"
"30"	"23A"	"241"	"10"	"23"	"5"	"97"	"1"	"1"	"3"	"2"	"19"	"3"	"6"	"2"	"3"	"1"	"12"	"429"	"0"	"429"	"0"
"31"	"24"	"318"	"5"	"70"	"7"	"126"	"4"	"1"	"0"	"2"	"8"	"2"	"3"	"3"	"4"	"5"	"19"	"577"	"0"	"577"	"0"
"32"	"25"	"355"	"3"	"16"	"2"	"163"	"4"	"1"	"0"	"1"	"4"	"1"	"2"	"0"	"1"	"2"	"10"	"565"	"0"	"565"	"0"
"33"	"26"	"253"	"3"	"11"	"3"	"329"	"8"	"2"	"2"	"0"	"56"	"4"	"6"	"0"	"2"	"1"	"7"	"687"	"0"	"687"	"0"
"34"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"35"	""	"vCnqy tyhy"	"[oktk cgkmn~nhu vgen"	"fouksnkuan lkg"	"'kaHkq dqekj eaMy"	"fgejkt flag"	"tkfdj glsu"	"ekxu ikloku"	"vyhjtk"	"dSyk'k jtd"	"fnus'k dq0 bUlku"	"fursUnz jk;"	"izeksn dq0 flag"	"Hkksyk jk;"	"ealqj vkye"	"eks0 etg:y gd 'ksj"	"'kEHkw jk;"	""	""	""	""
"36"	"27"	"400"	"6"	"19"	"3"	"280"	"10"	"1"	"2"	"2"	"3"	"3"	"6"	"3"	"2"	"3"	"7"	"750"	"0"	"750"	"0"
"37"	"28"	"117"	"4"	"25"	"5"	"392"	"16"	"3"	"3"	"1"	"57"	"2"	"6"	"1"	"1"	"2"	"9"	"644"	"0"	"644"	"0"
"38"	"29"	"47"	"0"	"12"	"5"	"264"	"3"	"3"	"3"	"3"	"110"	"4"	"10"	"2"	"0"	"5"	"5"	"476"	"0"	"476"	"0"
"39"	"29A"	"26"	"1"	"15"	"3"	"381"	"7"	"3"	"1"	"1"	"8"	"3"	"4"	"0"	"1"	"1"	"9"	"464"	"0"	"464"	"0"
"40"	"30"	"50"	"2"	"34"	"2"	"395"	"7"	"3"	"5"	"4"	"126"	"2"	"14"	"3"	"2"	"0"	"2"	"651"	"0"	"651"	"0"
"41"	"31"	"128"	"7"	"28"	"24"	"476"	"17"	"12"	"5"	"5"	"95"	"6"	"25"	"2"	"3"	"4"	"20"	"857"	"0"	"857"	"0"
"42"	"32"	"29"	"2"	"34"	"9"	"560"	"8"	"3"	"4"	"2"	"19"	"4"	"10"	"2"	"2"	"2"	"4"	"694"	"0"	"694"	"0"
"43"	"33"	"99"	"10"	"35"	"13"	"350"	"15"	"4"	"5"	"3"	"9"	"6"	"8"	"3"	"3"	"5"	"9"	"577"	"0"	"577"	"0"
"44"	"34"	"359"	"6"	"124"	"10"	"147"	"12"	"2"	"4"	"2"	"14"	"2"	"5"	"3"	"3"	"6"	"7"	"706"	"0"	"706"	"0"
"45"	"35"	"64"	"3"	"66"	"7"	"361"	"2"	"4"	"2"	"7"	"84"	"7"	"7"	"7"	"1"	"4"	"1"	"627"	"0"	"627"	"0"
"46"	"36"	"67"	"6"	"37"	"10"	"510"	"14"	"10"	"9"	"12"	"13"	"11"	"32"	"5"	"6"	"1"	"11"	"754"	"0"	"754"	"0"
"47"	"37"	"16"	"5"	"57"	"12"	"733"	"22"	"6"	"7"	"7"	"15"	"10"	"14"	"5"	"5"	"1"	"10"	"925"	"0"	"925"	"0"
"48"	"38"	"125"	"7"	"44"	"14"	"483"	"16"	"8"	"2"	"10"	"141"	"7"	"12"	"4"	"3"	"2"	"1"	"879"	"0"	"879"	"0"
"49"	"39"	"115"	"5"	"16"	"7"	"361"	"8"	"2"	"2"	"4"	"104"	"1"	"6"	"1"	"2"	"0"	"6"	"640"	"0"	"640"	"0"
"50"	"40"	"106"	"4"	"28"	"13"	"350"	"9"	"2"	"1"	"19"	"145"	"6"	"6"	"2"	"2"	"2"	"6"	"701"	"0"	"701"	"0"
"51"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"52"	""	"vCnqy tyhy"	"[oktk cgkmn~nhu vgen"	"fouksnkuan lkg"	"'kaHkq dqekj eaMy"	"fgejkt flag"	"tkfdj glsu"	"ekxu ikloku"	"vyhjtk"	"dSyk'k jtd"	"fnus'k dq0 bUlku"	"fursUnz jk;"	"izeksn dq0 flag"	"Hkksyk jk;"	"ealqj vkye"	"eks0 etg:y gd 'ksj"	"'kEHkw jk;"	""	""	""	""
"53"	"41"	"413"	"8"	"23"	"1"	"178"	"2"	"3"	"4"	"2"	"99"	"7"	"11"	"5"	"3"	"42"	"19"	"820"	"0"	"820"	"0"
"54"	"42"	"33"	"4"	"66"	"13"	"126"	"4"	"7"	"10"	"10"	"93"	"5"	"200"	"9"	"5"	"8"	"7"	"600"	"0"	"600"	"0"
"55"	"43"	"6"	"4"	"100"	"4"	"194"	"6"	"2"	"7"	"8"	"76"	"6"	"26"	"6"	"7"	"2"	"2"	"456"	"0"	"456"	"0"
"56"	"44"	"182"	"7"	"77"	"7"	"265"	"12"	"4"	"3"	"1"	"4"	"1"	"3"	"0"	"2"	"1"	"2"	"571"	"0"	"571"	"0"
"57"	"45"	"2"	"1"	"91"	"7"	"223"	"12"	"6"	"5"	"5"	"7"	"3"	"19"	"4"	"9"	"2"	"4"	"400"	"0"	"400"	"0"
"58"	"46"	"117"	"7"	"259"	"6"	"185"	"11"	"4"	"4"	"1"	"3"	"6"	"12"	"18"	"23"	"5"	"17"	"678"	"0"	"678"	"0"
"59"	"47"	"64"	"8"	"358"	"10"	"171"	"9"	"3"	"2"	"4"	"6"	"7"	"9"	"11"	"28"	"9"	"12"	"711"	"0"	"711"	"0"
"60"	"48"	"197"	"6"	"125"	"7"	"44"	"3"	"2"	"2"	"1"	"14"	"0"	"3"	"5"	"14"	"1"	"11"	"435"	"0"	"435"	"0"
"61"	"48A"	"156"	"4"	"25"	"1"	"104"	"2"	"0"	"1"	"0"	"12"	"0"	"3"	"1"	"0"	"0"	"6"	"315"	"0"	"315"	"0"
"62"	"49"	"342"	"8"	"21"	"8"	"215"	"7"	"3"	"0"	"5"	"4"	"3"	"4"	"5"	"5"	"5"	"15"	"650"	"0"	"650"	"0"
"63"	"50"	"31"	"5"	"71"	"9"	"420"	"14"	"4"	"8"	"4"	"28"	"2"	"8"	"2"	"4"	"2"	"10"	"622"	"0"	"622"	"0"
"64"	"51"	"33"	"6"	"29"	"3"	"197"	"4"	"4"	"5"	"10"	"218"	"8"	"4"	"5"	"1"	"1"	"3"	"531"	"0"	"531"	"0"
"65"	"52"	"360"	"15"	"3"	"0"	"5"	"3"	"0"	"0"	"1"	"4"	"4"	"1"	"4"	"2"	"4"	"17"	"423"	"0"	"423"	"0"
"66"	"52A"	"93"	"2"	"8"	"2"	"41"	"6"	"2"	"4"	"5"	"95"	"11"	"9"	"6"	"6"	"10"	"17"	"317"	"0"	"317"	"0"
"67"	"53"	"199"	"5"	"10"	"1"	"49"	"3"	"0"	"1"	"0"	"26"	"1"	"2"	"0"	"0"	"0"	"0"	"297"	"0"	"297"	"0"
"68"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"69"	""	"vCnqy tyhy"	"[oktk cgkmn~nhu vgen"	"fouksnkuan lkg"	"'kaHkq dqekj eaMy"	"fgejkt flag"	"tkfdj glsu"	"ekxu ikloku"	"vyhjtk"	"dSyk'k jtd"	"fnus'k dq0 bUlku"	"fursUnz jk;"	"izeksn dq0 flag"	"Hkksyk jk;"	"ealqj vkye"	"eks0 etg:y gd 'ksj"	"'kEHkw jk;"	""	""	""	""
"70"	"54"	"291"	"89"	"3"	"1"	"17"	"12"	"0"	"1"	"2"	"14"	"2"	"1"	"2"	"3"	"2"	"15"	"455"	"0"	"455"	"0"
"71"	"55"	"393"	"28"	"19"	"7"	"268"	"12"	"4"	"5"	"5"	"57"	"2"	"7"	"5"	"2"	"3"	"11"	"828"	"0"	"828"	"0"
"72"	"56"	"396"	"4"	"0"	"1"	"5"	"0"	"0"	"0"	"1"	"32"	"1"	"0"	"0"	"1"	"2"	"7"	"450"	"0"	"450"	"0"
"73"	"57"	"357"	"32"	"5"	"1"	"6"	"26"	"3"	"0"	"0"	"5"	"3"	"0"	"3"	"3"	"11"	"31"	"486"	"0"	"486"	"0"
"74"	"58"	"258"	"13"	"15"	"2"	"111"	"3"	"2"	"3"	"5"	"21"	"1"	"10"	"1"	"0"	"1"	"6"	"452"	"0"	"452"	"0"
"75"	"58A"	"285"	"18"	"0"	"0"	"14"	"2"	"0"	"0"	"0"	"7"	"0"	"0"	"0"	"0"	"3"	"4"	"333"	"0"	"333"	"0"
"76"	"59"	"323"	"9"	"4"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"1"	"0"	"4"	"347"	"0"	"347"	"0"
"77"	"59A"	"384"	"8"	"2"	"0"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"405"	"0"	"405"	"0"
"78"	"60"	"332"	"8"	"4"	"1"	"0"	"8"	"2"	"0"	"2"	"2"	"0"	"1"	"1"	"1"	"2"	"7"	"371"	"0"	"371"	"0"
"79"	"61"	"304"	"4"	"25"	"8"	"384"	"7"	"3"	"2"	"1"	"17"	"1"	"5"	"5"	"5"	"2"	"12"	"785"	"0"	"785"	"0"
"80"	"62"	"257"	"53"	"4"	"1"	"46"	"51"	"2"	"3"	"2"	"2"	"3"	"2"	"0"	"1"	"7"	"5"	"439"	"0"	"439"	"0"
"81"	"63"	"422"	"24"	"10"	"3"	"72"	"4"	"1"	"7"	"1"	"6"	"6"	"5"	"3"	"3"	"4"	"19"	"590"	"0"	"590"	"0"
"82"	"64"	"598"	"14"	"9"	"4"	"48"	"12"	"2"	"0"	"4"	"14"	"1"	"3"	"3"	"1"	"4"	"15"	"732"	"0"	"732"	"0"
"83"	"65"	"388"	"5"	"4"	"0"	"28"	"3"	"1"	"0"	"1"	"13"	"2"	"5"	"2"	"1"	"4"	"5"	"462"	"0"	"462"	"0"
"84"	"66"	"324"	"11"	"9"	"4"	"71"	"12"	"2"	"0"	"1"	"22"	"2"	"3"	"1"	"2"	"1"	"4"	"469"	"0"	"469"	"0"
"85"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"86"	""	"vCnqy tyhy"	"[oktk cgkmn~nhu vgen"	"fouksnkuan lkg"	"'kaHkq dqekj eaMy"	"fgejkt flag"	"tkfdj glsu"	"ekxu ikloku"	"vyhjtk"	"dSyk'k jtd"	"fnus'k dq0 bUlku"	"fursUnz jk;"	"izeksn dq0 flag"	"Hkksyk jk;"	"ealqj vkye"	"eks0 etg:y gd 'ksj"	"'kEHkw jk;"	""	""	""	""
"87"	"67"	"320"	"10"	"14"	"1"	"84"	"9"	"2"	"0"	"4"	"26"	"3"	"7"	"4"	"3"	"7"	"18"	"512"	"0"	"512"	"0"
"88"	"68"	"249"	"7"	"8"	"1"	"50"	"7"	"2"	"2"	"3"	"19"	"2"	"5"	"5"	"1"	"3"	"20"	"384"	"0"	"384"	"0"
"89"	"69"	"459"	"15"	"24"	"8"	"71"	"6"	"5"	"3"	"3"	"7"	"1"	"5"	"5"	"3"	"0"	"12"	"627"	"0"	"627"	"0"
"90"	"70"	"390"	"6"	"6"	"1"	"35"	"8"	"6"	"2"	"1"	"28"	"5"	"3"	"1"	"3"	"5"	"12"	"512"	"0"	"512"	"0"
"91"	"71"	"28"	"8"	"15"	"1"	"347"	"10"	"2"	"2"	"7"	"6"	"4"	"6"	"2"	"1"	"3"	"6"	"448"	"0"	"448"	"0"
"92"	"71A"	"90"	"8"	"12"	"5"	"254"	"7"	"2"	"0"	"2"	"11"	"3"	"8"	"2"	"3"	"1"	"16"	"424"	"0"	"424"	"0"
"93"	"72"	"192"	"39"	"9"	"3"	"40"	"0"	"2"	"1"	"1"	"3"	"5"	"2"	"1"	"2"	"4"	"11"	"315"	"0"	"315"	"0"
"94"	"72A"	"287"	"40"	"5"	"0"	"6"	"3"	"1"	"1"	"0"	"4"	"2"	"1"	"5"	"1"	"8"	"9"	"373"	"0"	"373"	"0"
"95"	"73"	"463"	"17"	"2"	"0"	"7"	"25"	"1"	"5"	"3"	"8"	"3"	"1"	"2"	"0"	"1"	"10"	"548"	"0"	"548"	"0"
"96"	"74"	"124"	"7"	"15"	"9"	"283"	"15"	"3"	"1"	"8"	"21"	"6"	"243"	"4"	"3"	"3"	"10"	"755"	"0"	"755"	"0"
"97"	"75"	"387"	"13"	"6"	"3"	"6"	"9"	"0"	"2"	"0"	"5"	"3"	"1"	"0"	"0"	"4"	"9"	"448"	"0"	"448"	"0"
"98"	"75A"	"231"	"1"	"0"	"3"	"5"	"7"	"0"	"1"	"0"	"2"	"0"	"0"	"1"	"0"	"2"	"12"	"265"	"0"	"265"	"0"
"99"	"76"	"267"	"6"	"5"	"3"	"56"	"10"	"0"	"0"	"1"	"7"	"0"	"1"	"1"	"0"	"0"	"4"	"361"	"0"	"361"	"0"
"100"	"77"	"434"	"28"	"20"	"4"	"130"	"3"	"1"	"1"	"2"	"20"	"4"	"8"	"2"	"2"	"1"	"14"	"674"	"0"	"674"	"0"
"101"	"78"	"159"	"5"	"19"	"6"	"289"	"0"	"1"	"4"	"5"	"58"	"7"	"36"	"1"	"3"	"1"	"9"	"603"	"0"	"603"	"0"
"102"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"103"	""	"vCnqy tyhy"	"[oktk cgkmn~nhu vgen"	"fouksnkuan lkg"	"'kaHkq dqekj eaMy"	"fgejkt flag"	"tkfdj glsu"	"ekxu ikloku"	"vyhjtk"	"dSyk'k jtd"	"fnus'k dq0 bUlku"	"fursUnz jk;"	"izeksn dq0 flag"	"Hkksyk jk;"	"ealqj vkye"	"eks0 etg:y gd 'ksj"	"'kEHkw jk;"	""	""	""	""
"104"	"79"	"16"	"1"	"40"	"16"	"506"	"15"	"11"	"8"	"8"	"136"	"9"	"17"	"10"	"4"	"6"	"20"	"823"	"0"	"823"	"0"
"105"	"80"	"150"	"11"	"18"	"12"	"271"	"14"	"7"	"5"	"7"	"113"	"4"	"14"	"7"	"2"	"5"	"15"	"655"	"0"	"655"	"0"
"106"	"81"	"253"	"25"	"14"	"2"	"59"	"4"	"2"	"0"	"8"	"76"	"4"	"0"	"1"	"1"	"4"	"15"	"468"	"0"	"468"	"0"
"107"	"81A"	"310"	"14"	"1"	"1"	"10"	"1"	"1"	"2"	"5"	"22"	"0"	"0"	"0"	"0"	"1"	"10"	"378"	"0"	"378"	"0"
"108"	"82"	"438"	"15"	"1"	"1"	"4"	"3"	"2"	"0"	"2"	"4"	"0"	"1"	"4"	"2"	"2"	"7"	"486"	"0"	"486"	"0"
"109"	"83"	"342"	"7"	"5"	"3"	"71"	"10"	"1"	"1"	"1"	"3"	"1"	"2"	"2"	"2"	"1"	"9"	"461"	"0"	"461"	"0"
"110"	"84"	"121"	"5"	"35"	"4"	"201"	"7"	"6"	"1"	"3"	"47"	"1"	"0"	"0"	"0"	"0"	"3"	"434"	"0"	"434"	"0"
"111"	"85"	"430"	"28"	"4"	"1"	"24"	"7"	"2"	"3"	"7"	"57"	"1"	"3"	"5"	"4"	"3"	"17"	"596"	"0"	"596"	"0"
"112"	"86"	"186"	"14"	"25"	"3"	"333"	"8"	"4"	"3"	"8"	"14"	"5"	"25"	"7"	"2"	"2"	"16"	"655"	"0"	"655"	"0"
"113"	"87"	"405"	"38"	"12"	"4"	"45"	"4"	"4"	"2"	"5"	"66"	"4"	"3"	"4"	"6"	"4"	"7"	"613"	"0"	"613"	"0"
"114"	"88"	"287"	"5"	"13"	"1"	"54"	"5"	"1"	"1"	"1"	"46"	"3"	"8"	"4"	"3"	"6"	"21"	"459"	"0"	"459"	"0"
"115"	"89"	"95"	"2"	"4"	"3"	"22"	"1"	"4"	"3"	"16"	"264"	"8"	"137"	"7"	"1"	"3"	"14"	"584"	"0"	"584"	"0"
"116"	"90"	"97"	"13"	"5"	"4"	"43"	"3"	"1"	"2"	"15"	"99"	"3"	"197"	"3"	"0"	"1"	"1"	"487"	"0"	"487"	"0"
"117"	"91"	"371"	"14"	"5"	"1"	"9"	"4"	"3"	"1"	"4"	"76"	"1"	"50"	"2"	"0"	"0"	"2"	"543"	"0"	"543"	"0"
"118"	"92"	"383"	"14"	"7"	"10"	"14"	"16"	"5"	"7"	"5"	"159"	"3"	"43"	"0"	"3"	"3"	"2"	"674"	"0"	"674"	"0"
"119"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"120"	""	"vCnqy tyhy"	"[oktk cgkmn~nhu vgen"	"fouksnkuan lkg"	"'kaHkq dqekj eaMy"	"fgejkt flag"	"tkfdj glsu"	"ekxu ikloku"	"vyhjtk"	"dSyk'k jtd"	"fnus'k dq0 bUlku"	"fursUnz jk;"	"izeksn dq0 flag"	"Hkksyk jk;"	"ealqj vkye"	"eks0 etg:y gd 'ksj"	"'kEHkw jk;"	""	""	""	""
"121"	"93"	"536"	"11"	"0"	"1"	"9"	"12"	"1"	"0"	"5"	"29"	"6"	"3"	"3"	"2"	"3"	"8"	"629"	"0"	"629"	"0"
"122"	"94"	"355"	"8"	"6"	"8"	"113"	"9"	"2"	"3"	"8"	"9"	"4"	"172"	"3"	"2"	"3"	"3"	"708"	"0"	"708"	"0"
"123"	"95"	"329"	"8"	"8"	"0"	"35"	"13"	"3"	"3"	"6"	"83"	"1"	"52"	"5"	"3"	"3"	"6"	"558"	"0"	"558"	"0"
"124"	"96"	"47"	"3"	"67"	"11"	"540"	"9"	"5"	"1"	"3"	"11"	"6"	"8"	"5"	"0"	"5"	"8"	"729"	"0"	"729"	"0"
"125"	"97"	"75"	"4"	"32"	"15"	"518"	"11"	"3"	"3"	"3"	"10"	"5"	"11"	"6"	"3"	"3"	"12"	"714"	"0"	"714"	"0"
"126"	"98"	"104"	"2"	"78"	"25"	"410"	"9"	"7"	"9"	"5"	"74"	"7"	"18"	"4"	"7"	"6"	"11"	"776"	"0"	"776"	"0"
"127"	"99"	"56"	"5"	"11"	"86"	"173"	"6"	"9"	"5"	"8"	"74"	"2"	"3"	"2"	"1"	"2"	"3"	"446"	"0"	"446"	"0"
"128"	"100"	"147"	"9"	"12"	"50"	"96"	"9"	"10"	"3"	"13"	"143"	"4"	"14"	"4"	"5"	"15"	"19"	"553"	"0"	"553"	"0"
"129"	"101"	"38"	"0"	"6"	"3"	"224"	"3"	"4"	"4"	"13"	"184"	"5"	"4"	"0"	"0"	"6"	"4"	"498"	"0"	"498"	"0"
"130"	"101A"	"220"	"8"	"9"	"5"	"132"	"2"	"0"	"0"	"0"	"9"	"1"	"5"	"0"	"0"	"39"	"15"	"445"	"0"	"445"	"0"
"131"	"102"	"52"	"1"	"12"	"6"	"378"	"9"	"2"	"3"	"4"	"16"	"2"	"5"	"1"	"0"	"1"	"5"	"497"	"0"	"497"	"0"
"132"	"102A"	"83"	"1"	"6"	"5"	"288"	"4"	"1"	"3"	"1"	"33"	"1"	"13"	"3"	"1"	"0"	"3"	"446"	"0"	"446"	"0"
"133"	"103"	"32"	"2"	"19"	"20"	"311"	"9"	"6"	"5"	"6"	"65"	"8"	"9"	"3"	"3"	"0"	"9"	"507"	"0"	"507"	"0"
"134"	"103A"	"25"	"1"	"19"	"7"	"351"	"15"	"6"	"0"	"4"	"52"	"4"	"7"	"5"	"1"	"1"	"10"	"508"	"0"	"508"	"0"
"135"	"104"	"17"	"0"	"24"	"7"	"442"	"16"	"2"	"1"	"5"	"95"	"2"	"4"	"3"	"2"	"3"	"12"	"635"	"0"	"635"	"0"
"136"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
