"PART...I"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 187731"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"102"	"56"	"20"	"143"	"275"	"86"	"5"	"3"	"1"	"2"	"2"	"2"	"10"	"549"	"0"	"549"	"0"
"103"	"57"	"32"	"204"	"261"	"57"	"5"	"3"	"0"	"11"	"5"	"5"	"11"	"594"	"0"	"594"	"0"
"104"	"58"	"28"	"153"	"178"	"110"	"2"	"1"	"0"	"0"	"0"	"5"	"3"	"480"	"0"	"480"	"0"
"105"	"59"	"14"	"871"	"57"	"57"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"1004"	"0"	"1004"	"0"
"106"	"60"	"15"	"192"	"232"	"127"	"6"	"5"	"0"	"4"	"3"	"7"	"9"	"600"	"0"	"600"	"0"
"107"	"61"	"33"	"138"	"171"	"27"	"2"	"1"	"1"	"1"	"13"	"4"	"8"	"399"	"0"	"399"	"0"
"108"	"62"	"15"	"401"	"168"	"76"	"6"	"2"	"0"	"3"	"3"	"9"	"4"	"687"	"0"	"687"	"0"
"109"	"TOTAL"	"2194"	"11444"	"12245"	"7908"	"812"	"197"	"149"	"135"	"219"	"359"	"412"	"36074"	"0"	"36074"	"0"
"110"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 187731"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"113"	""	"1
DR. AJAY"	"2
BRIJ KISHOR"	"3
MAHABALI"	"4
MOHAMMAD"	"5
MUSAFIR RAI"	"6
RAMPRAKAS"	"7
SHIVMURAT"	"8
NEERAJ"	"9
FAGU RAM"	"10
RAM"	"11
SHYAM"	""	""	""	""
"114"	""	"ALOK"	"BIND"	"SINGH"	"ZAMA KHAN"	""	"H RAM"	"BIND"	"KUMAR"	""	"CHANDRA"	"BIHARI AHIR"	""	""	""	""
"115"	""	""	""	""	""	""	""	""	""	""	"PANDEY"	""	""	""	""	""
"116"	"BF"	"2194"	"11444"	"12245"	"7908"	"812"	"197"	"149"	"135"	"219"	"359"	"412"	"36074"	"0"	"36074"	"0"
"117"	"63"	"35"	"88"	"127"	"45"	"1"	"4"	"0"	"0"	"1"	"1"	"2"	"304"	"0"	"304"	"0"
"118"	"64"	"29"	"171"	"323"	"255"	"10"	"2"	"4"	"5"	"6"	"6"	"7"	"818"	"0"	"818"	"0"
"119"	"65"	"74"	"62"	"236"	"152"	"8"	"6"	"1"	"2"	"5"	"4"	"7"	"557"	"0"	"557"	"0"
"120"	"66"	"34"	"71"	"262"	"135"	"4"	"3"	"2"	"2"	"1"	"1"	"3"	"518"	"0"	"518"	"0"
"121"	"67"	"37"	"173"	"159"	"66"	"1"	"0"	"0"	"2"	"3"	"2"	"2"	"445"	"0"	"445"	"0"
"122"	"68"	"7"	"162"	"55"	"132"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"358"	"0"	"358"	"0"
"123"	"69"	"27"	"83"	"145"	"355"	"12"	"1"	"4"	"2"	"7"	"5"	"11"	"652"	"0"	"652"	"0"
"124"	"70"	"36"	"75"	"233"	"345"	"6"	"2"	"0"	"2"	"4"	"7"	"20"	"730"	"0"	"730"	"0"
"125"	"71"	"3"	"142"	"246"	"81"	"44"	"3"	"0"	"2"	"1"	"1"	"6"	"529"	"0"	"529"	"0"
"126"	"72"	"43"	"115"	"95"	"216"	"10"	"4"	"2"	"8"	"2"	"1"	"4"	"500"	"0"	"500"	"0"
"127"	"73"	"27"	"168"	"306"	"23"	"3"	"3"	"0"	"2"	"3"	"0"	"13"	"548"	"0"	"548"	"0"
"128"	"73 A"	"73"	"156"	"81"	"14"	"0"	"5"	"0"	"1"	"5"	"4"	"8"	"347"	"0"	"347"	"0"
"129"	"74"	"59"	"204"	"160"	"241"	"8"	"5"	"7"	"0"	"7"	"3"	"6"	"700"	"0"	"700"	"0"
"130"	"75"	"23"	"121"	"148"	"138"	"7"	"2"	"2"	"3"	"1"	"1"	"3"	"449"	"0"	"449"	"0"
"131"	"TOTAL"	"2701"	"13235"	"14821"	"10106"	"928"	"237"	"171"	"166"	"265"	"395"	"504"	"43529"	"0"	"43529"	"0"
"132"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 187731"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"135"	""	"1
DR. AJAY"	"2
BRIJ KISHOR"	"3
MAHABALI"	"4
MOHAMMAD"	"5
MUSAFIR RAI"	"6
RAMPRAKAS"	"7
SHIVMURAT"	"8
NEERAJ"	"9
FAGU RAM"	"10
RAM"	"11
SHYAM"	""	""	""	""
"136"	""	"ALOK"	"BIND"	"SINGH"	"ZAMA KHAN"	""	"H RAM"	"BIND"	"KUMAR"	""	"CHANDRA"	"BIHARI AHIR"	""	""	""	""
"137"	""	""	""	""	""	""	""	""	""	""	"PANDEY"	""	""	""	""	""
"138"	"BF"	"2701"	"13235"	"14821"	"10106"	"928"	"237"	"171"	"166"	"265"	"395"	"504"	"43529"	"0"	"43529"	"0"
"139"	"76"	"24"	"177"	"41"	"64"	"2"	"1"	"1"	"1"	"0"	"2"	"1"	"314"	"0"	"314"	"0"
"140"	"77"	"0"	"5"	"209"	"314"	"8"	"1"	"2"	"0"	"2"	"2"	"4"	"547"	"0"	"547"	"0"
"141"	"77 A"	"56"	"75"	"57"	"99"	"5"	"2"	"0"	"0"	"1"	"0"	"2"	"297"	"0"	"297"	"0"
"142"	"78"	"19"	"79"	"140"	"177"	"9"	"3"	"1"	"0"	"3"	"3"	"7"	"441"	"0"	"441"	"0"
"143"	"78 A"	"13"	"73"	"106"	"262"	"1"	"1"	"0"	"2"	"2"	"1"	"5"	"466"	"0"	"466"	"0"
"144"	"79"	"16"	"93"	"412"	"331"	"1"	"4"	"3"	"3"	"4"	"3"	"6"	"876"	"0"	"876"	"0"
"145"	"80"	"9"	"123"	"350"	"162"	"3"	"0"	"1"	"0"	"4"	"0"	"1"	"653"	"0"	"653"	"0"
"146"	"81"	"82"	"25"	"113"	"153"	"13"	"5"	"2"	"7"	"5"	"2"	"5"	"412"	"0"	"412"	"0"
"147"	"81 A"	"110"	"30"	"201"	"80"	"43"	"13"	"5"	"1"	"7"	"8"	"11"	"509"	"0"	"509"	"0"
"148"	"82"	"37"	"36"	"230"	"236"	"68"	"4"	"3"	"4"	"10"	"6"	"4"	"638"	"0"	"638"	"0"
"149"	"83"	"119"	"147"	"42"	"139"	"25"	"0"	"1"	"0"	"1"	"1"	"0"	"475"	"0"	"475"	"0"
"150"	"84"	"50"	"189"	"56"	"167"	"49"	"1"	"0"	"1"	"3"	"1"	"0"	"517"	"0"	"517"	"0"
"151"	"85"	"53"	"39"	"297"	"151"	"8"	"2"	"4"	"2"	"8"	"8"	"11"	"583"	"0"	"583"	"0"
"152"	"86"	"72"	"148"	"158"	"176"	"43"	"4"	"0"	"1"	"3"	"4"	"1"	"610"	"0"	"610"	"0"
"153"	"TOTAL"	"3361"	"14474"	"17233"	"12617"	"1206"	"278"	"194"	"188"	"318"	"436"	"562"	"50867"	"0"	"50867"	"0"
"154"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 187731"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"157"	""	"1
DR. AJAY"	"2
BRIJ KISHOR"	"3
MAHABALI"	"4
MOHAMMAD"	"5
MUSAFIR RAI"	"6
RAMPRAKAS"	"7
SHIVMURAT"	"8
NEERAJ"	"9
FAGU RAM"	"10
RAM"	"11
SHYAM"	""	""	""	""
"158"	""	"ALOK"	"BIND"	"SINGH"	"ZAMA KHAN"	""	"H RAM"	"BIND"	"KUMAR"	""	"CHANDRA"	"BIHARI AHIR"	""	""	""	""
"159"	""	""	""	""	""	""	""	""	""	""	"PANDEY"	""	""	""	""	""
"160"	"BF"	"3361"	"14474"	"17233"	"12617"	"1206"	"278"	"194"	"188"	"318"	"436"	"562"	"50867"	"0"	"50867"	"0"
"161"	"87"	"52"	"135"	"269"	"119"	"8"	"1"	"1"	"4"	"1"	"4"	"4"	"598"	"0"	"598"	"0"
"162"	"88"	"81"	"29"	"178"	"185"	"1"	"1"	"1"	"3"	"2"	"1"	"1"	"483"	"0"	"483"	"0"
"163"	"89"	"352"	"26"	"9"	"123"	"4"	"12"	"1"	"3"	"12"	"1"	"22"	"565"	"0"	"565"	"0"
"164"	"90"	"109"	"170"	"250"	"147"	"4"	"1"	"1"	"1"	"3"	"1"	"2"	"689"	"0"	"689"	"0"
"165"	"91"	"317"	"14"	"9"	"47"	"3"	"4"	"0"	"1"	"3"	"2"	"8"	"408"	"0"	"408"	"0"
"166"	"92"	"89"	"228"	"209"	"145"	"26"	"5"	"1"	"1"	"2"	"2"	"7"	"715"	"0"	"715"	"0"
"167"	"93"	"252"	"139"	"145"	"109"	"55"	"5"	"3"	"3"	"6"	"8"	"20"	"745"	"0"	"745"	"0"
"168"	"94"	"8"	"203"	"330"	"89"	"2"	"3"	"3"	"3"	"8"	"8"	"8"	"665"	"0"	"665"	"0"
"169"	"94 A"	"9"	"11"	"134"	"90"	"4"	"2"	"1"	"2"	"3"	"1"	"2"	"259"	"0"	"259"	"0"
"170"	"95"	"22"	"120"	"103"	"116"	"3"	"2"	"1"	"1"	"3"	"1"	"2"	"374"	"0"	"374"	"0"
"171"	"96"	"23"	"250"	"182"	"63"	"0"	"2"	"0"	"1"	"1"	"1"	"3"	"526"	"0"	"526"	"0"
"172"	"97"	"5"	"351"	"106"	"149"	"5"	"2"	"3"	"1"	"5"	"5"	"4"	"636"	"0"	"636"	"0"
"173"	"98"	"5"	"141"	"256"	"76"	"3"	"1"	"0"	"0"	"0"	"6"	"0"	"488"	"0"	"488"	"0"
"174"	"98 A"	"18"	"53"	"215"	"218"	"8"	"1"	"1"	"2"	"3"	"3"	"1"	"523"	"0"	"523"	"0"
"175"	"TOTAL"	"4703"	"16344"	"19628"	"14293"	"1332"	"320"	"211"	"214"	"370"	"480"	"646"	"58541"	"0"	"58541"	"0"
"176"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 187731"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"179"	""	"1
DR. AJAY"	"2
BRIJ KISHOR"	"3
MAHABALI"	"4
MOHAMMAD"	"5
MUSAFIR RAI"	"6
RAMPRAKAS"	"7
SHIVMURAT"	"8
NEERAJ"	"9
FAGU RAM"	"10
RAM"	"11
SHYAM"	""	""	""	""
"180"	""	"ALOK"	"BIND"	"SINGH"	"ZAMA KHAN"	""	"H RAM"	"BIND"	"KUMAR"	""	"CHANDRA"	"BIHARI AHIR"	""	""	""	""
"181"	""	""	""	""	""	""	""	""	""	""	"PANDEY"	""	""	""	""	""
