"SI.No.of.Polling.Station"	"X."	"NO..OF.VALID.VOTES.CAST.IN.FAVOUR.OF"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"TOTAL.NO..OF.VALID.VOTES"	"X..25"	"X..26"	"No.fo.Rejected.Votes"	"X..27"	"X..28"	"Total"	"X..29"	"X..30"	"X..31"	"No..of.Tendered.Votes"	"X..32"	"X..33"	"X..34"
"11"	"9"	""	"33"	""	"37"	""	"62"	""	"166"	""	"2"	""	"2"	""	"3"	""	"6"	""	"5"	""	""	"6"	""	""	"18"	""	""	"340"	""	""	"0"	""	""	"340"	""	""	""	"0"	""	""	""
"12"	"10"	""	"46"	""	"56"	""	"4"	""	"91"	""	"7"	""	"2"	""	"0"	""	"0"	""	"2"	""	""	"0"	""	""	"5"	""	""	"213"	""	""	"0"	""	""	"213"	""	""	""	"0"	""	""	""
"13"	"11"	""	"184"	""	"131"	""	"34"	""	"195"	""	"4"	""	"5"	""	"4"	""	"13"	""	"1"	""	""	"1"	""	""	"7"	""	""	"579"	""	""	"0"	""	""	"579"	""	""	""	"0"	""	""	""
"14"	"12"	""	"128"	""	"58"	""	"13"	""	"143"	""	"4"	""	"4"	""	"4"	""	"4"	""	"3"	""	""	"2"	""	""	"3"	""	""	"366"	""	""	"0"	""	""	"366"	""	""	""	"0"	""	""	""
"15"	"13"	""	"64"	""	"94"	""	"9"	""	"155"	""	"5"	""	"3"	""	"6"	""	"6"	""	"2"	""	""	"6"	""	""	"10"	""	""	"360"	""	""	"0"	""	""	"360"	""	""	""	"0"	""	""	""
"16"	"13 A"	""	"136"	""	"116"	""	"4"	""	"7"	""	"2"	""	"4"	""	"2"	""	"2"	""	"1"	""	""	"2"	""	""	"2"	""	""	"278"	""	""	"0"	""	""	"278"	""	""	""	"0"	""	""	""
"17"	"TOTAL"	""	"1804"	""	"969"	""	"399"	""	"1902"	""	"78"	""	"39"	""	"28"	""	"64"	""	"50"	""	""	"46"	""	""	"123"	""	""	"5502"	""	""	"0"	""	""	"5502"	""	""	""	"0"	""	""	""
"18"	"RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"19"	"221 RAFIGANJ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"[ See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"Election to the Bihar Legislative Assembly Election - 2005 PART -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"No. & Name of the Assembly Constituency 221 Rafiganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"ROUND NO. 02"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"SI.No.of Polling Station"	""	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	""	""	"No fo Rejected Votes"	""	""	"Total"	""	""	""	"No. of Tendered Votes"	""	""	""	""
"27"	""	""	"MD.NEHA L UDDIN"	""	"RAM CHANDR A  SINGH"	""	"LALLU PRASAD SINGH"	""	"SUNIL KUMAR SINGH"	""	"ASHOK KUMAR SINGH"	""	"INDRDEO PASWAN"	""	"UPENDRA PASWAN"	""	"NURAL HODA KHAN"	""	"BIRBAL PASWAN"	""	"MAHEND RA   RAM"	""	""	"MD. NAZIR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	""	"15"	""	""	""	""
"29"	"14"	""	"128"	""	"15"	""	"32"	""	"151"	""	"52"	""	"5"	""	"7"	""	"8"	""	"1"	""	"2"	""	""	"3"	""	""	"404"	""	""	"0"	""	""	"404"	""	""	""	"0"	""	""	""	""
"30"	"15"	""	"213"	""	"48"	""	"7"	""	"61"	""	"4"	""	"1"	""	"1"	""	"2"	""	"2"	""	"0"	""	""	"2"	""	""	"341"	""	""	"0"	""	""	"341"	""	""	""	"0"	""	""	""	""
"31"	"16"	""	"58"	""	"18"	""	"20"	""	"152"	""	"7"	""	"4"	""	"2"	""	"6"	""	"1"	""	"1"	""	""	"2"	""	""	"271"	""	""	"0"	""	""	"271"	""	""	""	"0"	""	""	""	""
"32"	"16A"	""	"92"	""	"6"	""	"48"	""	"133"	""	"11"	""	"2"	""	"0"	""	"4"	""	"1"	""	"1"	""	""	"2"	""	""	"300"	""	""	"0"	""	""	"300"	""	""	""	"0"	""	""	""	""
"33"	"17"	""	"244"	""	"110"	""	"5"	""	"82"	""	"2"	""	"1"	""	"1"	""	"7"	""	"7"	""	"5"	""	""	"8"	""	""	"472"	""	""	"0"	""	""	"472"	""	""	""	"0"	""	""	""	""
"34"	"18"	""	"226"	""	"51"	""	"9"	""	"28"	""	"0"	""	"0"	""	"2"	""	"2"	""	"4"	""	"5"	""	""	"30"	""	""	"357"	""	""	"0"	""	""	"357"	""	""	""	"0"	""	""	""	""
"35"	"19"	""	"161"	""	"13"	""	"9"	""	"112"	""	"4"	""	"2"	""	"1"	""	"11"	""	"2"	""	"3"	""	""	"13"	""	""	"331"	""	""	"0"	""	""	"331"	""	""	""	"0"	""	""	""	""
"36"	"20"	""	"129"	""	"315"	""	"7"	""	"112"	""	"6"	""	"0"	""	"1"	""	"7"	""	"1"	""	"10"	""	""	"14"	""	""	"602"	""	""	"0"	""	""	"602"	""	""	""	"0"	""	""	""	""
"37"	"21"	""	"165"	""	"18"	""	"10"	""	"120"	""	"2"	""	"0"	""	"1"	""	"5"	""	"70"	""	"1"	""	""	"6"	""	""	"398"	""	""	"0"	""	""	"398"	""	""	""	"0"	""	""	""	""
"38"	"21 A"	""	"85"	""	"111"	""	"3"	""	"1"	""	"2"	""	"0"	""	"2"	""	"4"	""	"44"	""	"11"	""	""	"19"	""	""	"282"	""	""	"0"	""	""	"282"	""	""	""	"0"	""	""	""	""
"39"	"22"	""	"35"	""	"223"	""	"74"	""	"26"	""	"0"	""	"2"	""	"0"	""	"2"	""	"2"	""	"0"	""	""	"4"	""	""	"368"	""	""	"0"	""	""	"368"	""	""	""	"0"	""	""	""	""
"40"	"23"	""	"49"	""	"98"	""	"14"	""	"202"	""	"5"	""	"2"	""	"0"	""	"4"	""	"4"	""	"1"	""	""	"5"	""	""	"384"	""	""	"0"	""	""	"384"	""	""	""	"0"	""	""	""	""
"41"	"24"	""	"117"	""	"11"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	"87"	""	"1"	""	""	"0"	""	""	"217"	""	""	"0"	""	""	"217"	""	""	""	"0"	""	""	""	""
"42"	"25"	""	"170"	""	"98"	""	"161"	""	"68"	""	"6"	""	"2"	""	"1"	""	"5"	""	"39"	""	"6"	""	""	"9"	""	""	"565"	""	""	"0"	""	""	"565"	""	""	""	"0"	""	""	""	""
"43"	"TOTAL"	""	"1872"	""	"1135"	""	"399"	""	"1248"	""	"101"	""	"21"	""	"19"	""	"68"	""	"265"	""	"47"	""	""	"117"	""	""	"5292"	""	""	"0"	""	""	"5292"	""	""	""	"0"	""	""	""	""
"44"	"RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"221 RAFIGANJ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"SI.No.of Polling Station"	""	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	""	""	"No fo Rejected Votes"	""	""	""	"Total"	""	""	"No. of Tendered Votes"	""	""	""
"47"	""	""	"MD.NEHA L UDDIN"	""	"RAM CHANDR A  SINGH"	""	"LALLU PRASAD SINGH"	""	"SUNIL KUMAR SINGH"	""	"ASHOK KUMAR SINGH"	""	"INDRDEO PASWAN"	""	"UPENDRA PASWAN"	""	"NURAL HODA KHAN"	""	"BIRBAL PASWAN"	""	"MAHEND RA   RAM"	""	""	"MD. NAZIR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	""	"11"	""	""	""	"12"	""	""	"13"	""	""	""	"14"	""	""	"15"	""	""	""
"49"	"26"	""	"81"	""	"258"	""	"38"	""	"107"	""	"8"	""	"7"	""	"5"	""	"9"	""	"3"	""	"8"	""	""	"23"	""	""	""	"547"	""	""	"0"	""	""	""	"547"	""	""	"0"	""	""	""
"50"	"27"	""	"66"	""	"113"	""	"47"	""	"112"	""	"1"	""	"3"	""	"3"	""	"7"	""	"1"	""	"3"	""	""	"9"	""	""	""	"365"	""	""	"0"	""	""	""	"365"	""	""	"0"	""	""	""
"51"	"28"	""	"1"	""	"1"	""	"416"	""	"5"	""	"0"	""	"0"	""	"0"	""	"2"	""	"5"	""	"0"	""	""	"0"	""	""	""	"430"	""	""	"0"	""	""	""	"430"	""	""	"0"	""	""	""
"52"	"29"	""	"22"	""	"64"	""	"191"	""	"83"	""	"6"	""	"1"	""	"1"	""	"1"	""	"2"	""	"3"	""	""	"1"	""	""	""	"375"	""	""	"0"	""	""	""	"375"	""	""	"0"	""	""	""
"53"	"30"	""	"126"	""	"93"	""	"222"	""	"86"	""	"1"	""	"0"	""	"2"	""	"2"	""	"4"	""	"0"	""	""	"1"	""	""	""	"537"	""	""	"0"	""	""	""	"537"	""	""	"0"	""	""	""
"54"	"31"	""	"47"	""	"19"	""	"50"	""	"129"	""	"4"	""	"8"	""	"0"	""	"5"	""	"2"	""	"4"	""	""	"0"	""	""	""	"268"	""	""	"0"	""	""	""	"268"	""	""	"0"	""	""	""
"55"	"32"	""	"64"	""	"5"	""	"76"	""	"135"	""	"1"	""	"0"	""	"1"	""	"0"	""	"0"	""	"2"	""	""	"2"	""	""	""	"286"	""	""	"0"	""	""	""	"286"	""	""	"0"	""	""	""
"56"	"33"	""	"135"	""	"19"	""	"27"	""	"373"	""	"53"	""	"0"	""	"1"	""	"3"	""	"0"	""	"0"	""	""	"4"	""	""	""	"615"	""	""	"0"	""	""	""	"615"	""	""	"0"	""	""	""
"57"	"34"	""	"216"	""	"89"	""	"8"	""	"261"	""	"6"	""	"0"	""	"1"	""	"1"	""	"5"	""	"7"	""	""	"8"	""	""	""	"602"	""	""	"0"	""	""	""	"602"	""	""	"0"	""	""	""
"58"	"35"	""	"32"	""	"20"	""	"16"	""	"166"	""	"0"	""	"0"	""	"0"	""	"1"	""	"1"	""	"2"	""	""	"12"	""	""	""	"250"	""	""	"0"	""	""	""	"250"	""	""	"0"	""	""	""
"59"	"36"	""	"74"	""	"27"	""	"89"	""	"235"	""	"3"	""	"6"	""	"2"	""	"7"	""	"3"	""	"5"	""	""	"12"	""	""	""	"463"	""	""	"0"	""	""	""	"463"	""	""	"0"	""	""	""
"60"	"37"	""	"349"	""	"12"	""	"13"	""	"8"	""	"2"	""	"0"	""	"0"	""	"1"	""	"0"	""	"1"	""	""	"5"	""	""	""	"391"	""	""	"0"	""	""	""	"391"	""	""	"0"	""	""	""
"61"	"38"	""	"355"	""	"29"	""	"12"	""	"30"	""	"1"	""	"2"	""	"2"	""	"0"	""	"3"	""	"2"	""	""	"6"	""	""	""	"442"	""	""	"0"	""	""	""	"442"	""	""	"0"	""	""	""
"62"	"39"	""	"165"	""	"120"	""	"16"	""	"76"	""	"3"	""	"2"	""	"3"	""	"7"	""	"29"	""	"6"	""	""	"11"	""	""	""	"438"	""	""	"0"	""	""	""	"438"	""	""	"0"	""	""	""
"63"	"TOTAL"	""	"1733"	""	"869"	""	"1221"	""	"1806"	""	"89"	""	"29"	""	"21"	""	"46"	""	"58"	""	"43"	""	""	"94"	""	""	""	"6009"	""	""	"0"	""	""	""	"6009"	""	""	"0"	""	""	""
"64"	"SI.No.of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	""	""	"No fo Rejected Votes"	""	""	"Total"	""	""	""	"No. of Tendere d Votes"	""	""	""	""	""
"65"	""	"MD.NEHAL UDDIN"	""	"RAM CHANDRA SINGH"	""	"LALLU PRASAD SINGH"	""	"SUNIL KUMAR SINGH"	""	"ASHOK KUMAR SINGH"	""	"INDRDEO PASWAN"	""	"UPENDRA PASWAN"	""	"NURAL HODA KHAN"	""	"BIRBAL PASWAN"	""	"MAHENDRA RAM"	""	""	"MD. NAZIR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	""	"15"	""	""	""	""	""
"67"	"40"	"305"	""	"80"	""	"14"	""	"18"	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	"1"	""	""	"2"	""	""	"421"	""	""	"0"	""	""	"421"	""	""	""	"0"	""	""	""	""	""
"68"	"41"	"184"	""	"43"	""	"13"	""	"17"	""	"1"	""	"1"	""	"1"	""	"4"	""	"3"	""	"4"	""	""	"5"	""	""	"276"	""	""	"0"	""	""	"276"	""	""	""	"0"	""	""	""	""	""
"69"	"42"	"143"	""	"62"	""	"63"	""	"184"	""	"3"	""	"9"	""	"1"	""	"8"	""	"6"	""	"8"	""	""	"21"	""	""	"508"	""	""	"0"	""	""	"508"	""	""	""	"0"	""	""	""	""	""
"70"	"43"	"65"	""	"19"	""	"2"	""	"213"	""	"3"	""	"1"	""	"3"	""	"7"	""	"0"	""	"0"	""	""	"7"	""	""	"320"	""	""	"0"	""	""	"320"	""	""	""	"0"	""	""	""	""	""
"71"	"44"	"42"	""	"51"	""	"65"	""	"81"	""	"7"	""	"0"	""	"1"	""	"5"	""	"3"	""	"0"	""	""	"4"	""	""	"259"	""	""	"0"	""	""	"259"	""	""	""	"0"	""	""	""	""	""
"72"	"45"	"80"	""	"76"	""	"122"	""	"223"	""	"3"	""	"2"	""	"2"	""	"11"	""	"6"	""	"5"	""	""	"8"	""	""	"538"	""	""	"0"	""	""	"538"	""	""	""	"0"	""	""	""	""	""
"73"	"46"	"225"	""	"40"	""	"2"	""	"34"	""	"1"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"2"	""	""	"304"	""	""	"0"	""	""	"304"	""	""	""	"0"	""	""	""	""	""
"74"	"47"	"181"	""	"35"	""	"3"	""	"149"	""	"36"	""	"0"	""	"1"	""	"3"	""	"3"	""	"3"	""	""	"6"	""	""	"420"	""	""	"0"	""	""	"420"	""	""	""	"0"	""	""	""	""	""
"75"	"48"	"76"	""	"66"	""	"13"	""	"168"	""	"27"	""	"2"	""	"0"	""	"1"	""	"0"	""	"0"	""	""	"10"	""	""	"363"	""	""	"0"	""	""	"363"	""	""	""	"0"	""	""	""	""	""
"76"	"49"	"65"	""	"34"	""	"58"	""	"145"	""	"4"	""	"4"	""	"2"	""	"6"	""	"2"	""	"1"	""	""	"6"	""	""	"327"	""	""	"0"	""	""	"327"	""	""	""	"0"	""	""	""	""	""
"77"	"50"	"208"	""	"132"	""	"9"	""	"61"	""	"1"	""	"0"	""	"0"	""	"1"	""	"1"	""	"1"	""	""	"3"	""	""	"417"	""	""	"0"	""	""	"417"	""	""	""	"0"	""	""	""	""	""
"78"	"51"	"265"	""	"30"	""	"6"	""	"25"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"1"	""	""	"327"	""	""	"0"	""	""	"327"	""	""	""	"0"	""	""	""	""	""
"79"	"52"	"104"	""	"13"	""	"73"	""	"159"	""	"7"	""	"5"	""	"2"	""	"7"	""	"5"	""	"5"	""	""	"8"	""	""	"388"	""	""	"0"	""	""	"388"	""	""	""	"0"	""	""	""	""	""
"80"	"53"	"78"	""	"95"	""	"73"	""	"307"	""	"27"	""	"2"	""	"3"	""	"6"	""	"5"	""	"2"	""	""	"6"	""	""	"604"	""	""	"0"	""	""	"604"	""	""	""	"0"	""	""	""	""	""
"81"	"TOTAL"	"2021"	""	"776"	""	"516"	""	"1784"	""	"120"	""	"26"	""	"16"	""	"59"	""	"35"	""	"30"	""	""	"89"	""	""	"5472"	""	""	"0"	""	""	"5472"	""	""	""	"0"	""	""	""	""	""
"82"	"SI.No.of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	""	""	"No fo Rejected Votes"	""	""	"Total"	""	""	""	"No. of Tendere d Votes"	""	""	""	""	""
"83"	""	"MD.NEHAL UDDIN"	""	"RAM CHANDRA SINGH"	""	"LALLU PRASAD SINGH"	""	"SUNIL KUMAR SINGH"	""	"ASHOK KUMAR SINGH"	""	"INDRDEO PASWAN"	""	"UPENDRA PASWAN"	""	"NURAL HODA KHAN"	""	"BIRBAL PASWAN"	""	"MAHENDRA RAM"	""	""	"MD. NAZIR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	""	"15"	""	""	""	""	""
"85"	"54"	"152"	""	"75"	""	"18"	""	"62"	""	"9"	""	"3"	""	"1"	""	"2"	""	"0"	""	"6"	""	""	"15"	""	""	"343"	""	""	"0"	""	""	"343"	""	""	""	"0"	""	""	""	""	""
"86"	"55"	"23"	""	"6"	""	"30"	""	"81"	""	"31"	""	"4"	""	"1"	""	"4"	""	"0"	""	"0"	""	""	"1"	""	""	"181"	""	""	"0"	""	""	"181"	""	""	""	"0"	""	""	""	""	""
"87"	"56"	"143"	""	"57"	""	"39"	""	"200"	""	"42"	""	"1"	""	"4"	""	"3"	""	"1"	""	"3"	""	""	"9"	""	""	"502"	""	""	"0"	""	""	"502"	""	""	""	"0"	""	""	""	""	""
"88"	"57"	"65"	""	"17"	""	"42"	""	"80"	""	"1"	""	"0"	""	"1"	""	"1"	""	"0"	""	"4"	""	""	"8"	""	""	"219"	""	""	"0"	""	""	"219"	""	""	""	"0"	""	""	""	""	""
"89"	"58"	"79"	""	"19"	""	"36"	""	"56"	""	"29"	""	"2"	""	"1"	""	"5"	""	"1"	""	"1"	""	""	"7"	""	""	"236"	""	""	"0"	""	""	"236"	""	""	""	"0"	""	""	""	""	""
"90"	"59"	"186"	""	"6"	""	"4"	""	"3"	""	"3"	""	"3"	""	"0"	""	"1"	""	"2"	""	"1"	""	""	"7"	""	""	"216"	""	""	"0"	""	""	"216"	""	""	""	"0"	""	""	""	""	""
"91"	"60"	"61"	""	"20"	""	"7"	""	"53"	""	"189"	""	"2"	""	"3"	""	"2"	""	"0"	""	"0"	""	""	"1"	""	""	"338"	""	""	"0"	""	""	"338"	""	""	""	"0"	""	""	""	""	""
"92"	"61"	"43"	""	"44"	""	"19"	""	"178"	""	"4"	""	"1"	""	"1"	""	"0"	""	"0"	""	"1"	""	""	"1"	""	""	"292"	""	""	"0"	""	""	"292"	""	""	""	"0"	""	""	""	""	""
"93"	"62"	"211"	""	"49"	""	"15"	""	"16"	""	"1"	""	"4"	""	"3"	""	"6"	""	"3"	""	"7"	""	""	"21"	""	""	"336"	""	""	"0"	""	""	"336"	""	""	""	"0"	""	""	""	""	""
"94"	"63"	"47"	""	"13"	""	"18"	""	"82"	""	"18"	""	"3"	""	"3"	""	"5"	""	"3"	""	"2"	""	""	"4"	""	""	"198"	""	""	"0"	""	""	"198"	""	""	""	"0"	""	""	""	""	""
"95"	"64"	"30"	""	"76"	""	"33"	""	"32"	""	"2"	""	"0"	""	"0"	""	"3"	""	"0"	""	"1"	""	""	"1"	""	""	"178"	""	""	"0"	""	""	"178"	""	""	""	"0"	""	""	""	""	""
"96"	"64 A"	"10"	""	"51"	""	"61"	""	"144"	""	"8"	""	"2"	""	"2"	""	"8"	""	"3"	""	"3"	""	""	"11"	""	""	"303"	""	""	"0"	""	""	"303"	""	""	""	"0"	""	""	""	""	""
"97"	"65"	"46"	""	"144"	""	"6"	""	"70"	""	"22"	""	"5"	""	"4"	""	"11"	""	"4"	""	"9"	""	""	"13"	""	""	"334"	""	""	"0"	""	""	"334"	""	""	""	"0"	""	""	""	""	""
"98"	"65 A"	"55"	""	"101"	""	"14"	""	"95"	""	"32"	""	"6"	""	"5"	""	"5"	""	"7"	""	"5"	""	""	"32"	""	""	"357"	""	""	"0"	""	""	"357"	""	""	""	"0"	""	""	""	""	""
"99"	"TOTAL"	"1151"	""	"678"	""	"342"	""	"1152"	""	"391"	""	"36"	""	"29"	""	"56"	""	"24"	""	"43"	""	""	"131"	""	""	"4033"	""	""	"0"	""	""	"4033"	""	""	""	"0"	""	""	""	""	""
"100"	"SI.No.of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	""	""	"No fo Rejected Votes"	""	""	"Total"	""	""	""	"No. of Tendere d Votes"	""	""	""	""	""
"101"	""	"MD.NEHAL UDDIN"	""	"RAM CHANDRA SINGH"	""	"LALLU PRASAD SINGH"	""	"SUNIL KUMAR SINGH"	""	"ASHOK KUMAR SINGH"	""	"INDRDEO PASWAN"	""	"UPENDRA PASWAN"	""	"NURAL HODA KHAN"	""	"BIRBAL PASWAN"	""	"MAHENDRA RAM"	""	""	"MD. NAZIR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	""	"15"	""	""	""	""	""
"103"	"66"	"147"	""	"32"	""	"51"	""	"35"	""	"1"	""	"1"	""	"1"	""	"4"	""	"1"	""	"1"	""	""	"7"	""	""	"281"	""	""	"0"	""	""	"281"	""	""	""	"0"	""	""	""	""	""
"104"	"67"	"142"	""	"44"	""	"18"	""	"95"	""	"7"	""	"1"	""	"1"	""	"3"	""	"2"	""	"2"	""	""	"8"	""	""	"323"	""	""	"0"	""	""	"323"	""	""	""	"0"	""	""	""	""	""
"105"	"68"	"168"	""	"13"	""	"23"	""	"58"	""	"19"	""	"3"	""	"4"	""	"5"	""	"3"	""	"5"	""	""	"15"	""	""	"316"	""	""	"0"	""	""	"316"	""	""	""	"0"	""	""	""	""	""
"106"	"69"	"147"	""	"136"	""	"10"	""	"51"	""	"7"	""	"3"	""	"3"	""	"8"	""	"5"	""	"4"	""	""	"16"	""	""	"390"	""	""	"0"	""	""	"390"	""	""	""	"0"	""	""	""	""	""
