"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"(SEE RUSELT 56 (6) FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"(To be used for recording the result of voting at polling station other than notified polling stations) Election to the Bihar Legistative assembly from the 160-JHAJHA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total no of electors in assembly constituency-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"SL. No. of
Polling Station."	"DAMODAR RAWAT"	"RAJU YADAV"	"RASHID AHMAD"	"VINOD PD. YADAV"	""	"DINESH KUMAR SINGH"	"KAPIL DEO MANDAL"	"PUNAM DEVI"	"PRADEEP YADAV"	"BASUDEO MANDAL"	"Total of valid votes"	"No. of rejected votes"	""	"Total"	"No. of tendered votes"
"58"	"48"	"222"	"1"	"44"	"6"	""	"30"	"1"	"2"	"3"	"3"	"-312"	"&"	""	"-312"	"&"
"59"	"49"	"73"	"4"	"142"	"12"	""	"15"	"3"	"5"	"8"	"18"	"-280"	"&"	""	"-280"	"&"
"60"	"50"	"187"	"4"	"109"	"16"	""	"4"	"4"	"7"	"4"	"15"	"-350"	"&"	""	"-350"	"&"
"61"	"51"	"273"	"9"	"58"	"7"	""	"4"	"4"	"8"	"12"	"30"	"-405"	"&"	""	"-405"	"&"
"62"	"52"	"316"	"9"	"131"	"20"	""	"18"	"2"	"4"	"5"	"7"	"-512"	"&"	""	"-512"	"&"
"63"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"SL. No. of
Polling Station."	"DAMODAR RAWAT"	"RAJU YADAV"	"RASHID AHMAD"	"VINOD PD. YADAV"	""	"DINESH KUMAR SINGH"	"KAPIL DEO MANDAL"	"PUNAM DEVI"	"PRADEEP YADAV"	"BASUDEO MANDAL"	"Total of valid votes"	"No. of rejected votes"	""	"Total"	"No. of tendered votes"
"65"	""	"1"	"2"	"3"	"4"	""	"5"	"6"	"7"	"8"	"9"	"-10"	"11"	""	"12"	"13"
"66"	"53"	"96"	"6"	"86"	"27"	""	"5"	"7"	"17"	"3"	"7"	"-254"	"&"	""	"-254"	"&"
"67"	"54"	"263"	"8"	"65"	"23"	""	"7"	"2"	"0"	"4"	"9"	"-381"	"&"	""	"-381"	"&"
"68"	"55"	"356"	"4"	"45"	"4"	""	"6"	"1"	"12"	"6"	"13"	"-447"	"&"	""	"-447"	"&"
"69"	"56"	"251"	"3"	"37"	"5"	""	"6"	"6"	"2"	"6"	"22"	"-338"	"&"	""	"-338"	"&"
"70"	"57"	"235"	"3"	"8"	"5"	""	"60"	"7"	"7"	"8"	"12"	"-345"	"&"	""	"-345"	"&"
"71"	"58"	"328"	"4"	"11"	"3"	""	"16"	"2"	"4"	"2"	"10"	"-380"	"&"	""	"-380"	"&"
"72"	"59"	"292"	"9"	"57"	"4"	""	"12"	"3"	"5"	"10"	"18"	"-410"	"&"	""	"-410"	"&"
"73"	"59A"	"279"	"3"	"82"	"6"	""	"3"	"1"	"3"	"11"	"13"	"-401"	"&"	""	"-401"	""
"74"	"60"	"367"	"3"	"130"	"24"	""	"14"	"4"	"7"	"3"	"11"	"-563"	"&"	""	"-563"	"&"
"75"	"61"	"46"	"3"	"257"	"9"	""	"5"	"0"	"9"	"8"	"7"	"-344"	"&"	""	"-344"	"&"
"76"	"62"	"258"	"1"	"83"	"15"	""	"28"	"2"	"7"	"3"	"3"	"-400"	"&"	""	"-400"	"&"
"77"	"63"	"162"	"19"	"111"	"11"	""	"2"	"3"	"13"	"14"	"24"	"-359"	"&"	""	"-359"	"&"
"78"	"64"	"478"	"3"	"2"	"1"	""	"25"	"0"	"0"	"2"	"1"	"-512"	"&"	""	"-512"	"&"
"79"	"65"	"381"	"4"	"4"	"9"	""	"6"	"1"	"3"	"10"	"13"	"-431"	"&"	""	"-431"	"&"
"80"	"66"	"356"	"10"	"146"	"14"	""	"8"	"2"	"21"	"10"	"15"	"-582"	"&"	""	"-582"	"&"
"81"	"67"	"138"	"7"	"220"	"27"	""	"5"	"8"	"93"	"11"	"6"	"-515"	"&"	""	"-515"	"&"
"82"	"68"	"91"	"5"	"182"	"29"	""	"4"	"3"	"21"	"15"	"25"	"-375"	"&"	""	"-375"	"&"
"83"	"69"	"281"	"1"	"22"	"12"	""	"17"	"1"	"3"	"6"	"8"	"-351"	"&"	""	"-351"	"&"
"84"	"70"	"224"	"9"	"71"	"72"	""	"17"	"5"	"28"	"12"	"3"	"-441"	"&"	""	"-441"	"&"
"85"	"71"	"323"	"5"	"29"	"4"	""	"43"	"1"	"25"	"6"	"5"	"-441"	"&"	""	"-441"	"&"
"86"	"72"	"269"	"12"	"90"	"23"	""	"9"	"9"	"54"	"5"	"6"	"-477"	"&"	""	"-477"	"&"
"87"	"73"	"206"	"7"	"94"	"58"	""	"11"	"4"	"52"	"1"	"6"	"-439"	"&"	""	"-439"	"&"
"88"	"74"	"204"	"3"	"3"	"4"	""	"0"	"3"	"51"	"3"	"1"	"-272"	"&"	""	"-272"	"&"
"89"	"75"	"112"	"9"	"307"	"31"	""	"19"	"6"	"13"	"11"	"18"	"-526"	"&"	""	"-526"	"&"
"90"	"76"	"68"	"7"	"214"	"46"	""	"5"	"2"	"8"	"2"	"22"	"-374"	"&"	""	"-374"	"&"
"91"	"77"	"325"	"8"	"71"	"4"	""	"11"	"4"	"8"	"5"	"9"	"-445"	"&"	""	"-445"	"&"
"92"	"78"	"277"	"6"	"52"	"20"	""	"4"	"7"	"18"	"11"	"17"	"-412"	"&"	""	"-412"	"&"
"93"	"79"	"157"	"6"	"29"	"48"	""	"5"	"2"	"13"	"7"	"12"	"-279"	"&"	""	"-279"	"&"
"94"	"80"	"101"	"18"	"121"	"92"	""	"14"	"13"	"57"	"12"	"11"	"-439"	"&"	""	"-439"	"&"
"95"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"SL. No. of
Polling Station."	"DAMODAR RAWAT"	"RAJU YADAV"	"RASHID AHMAD"	"VINOD PD. YADAV"	""	"DINESH KUMAR SINGH"	"KAPIL DEO MANDAL"	"PUNAM DEVI"	"PRADEEP YADAV"	"BASUDEO MANDAL"	"Total of valid votes"	"No. of rejected votes"	""	"Total"	"No. of tendered votes"
"97"	""	"1"	"2"	"3"	"4"	""	"5"	"6"	"7"	"8"	"9"	"-10"	"11"	""	"12"	"13"
"98"	"80A"	"46"	"9"	"47"	"53"	""	"5"	"1"	"30"	"7"	"14"	"-212"	"&"	""	"-212"	""
"99"	"81"	"65"	"8"	"131"	"107"	""	"6"	"6"	"16"	"10"	"14"	"-363"	"&"	""	"-363"	"&"
"100"	"82"	"65"	"10"	"118"	"99"	""	"6"	"8"	"21"	"8"	"16"	"-351"	"&"	""	"-351"	"&"
"101"	"82A"	"44"	"5"	"106"	"27"	""	"3"	"0"	"35"	"2"	"5"	"-227"	"&"	""	"-227"	""
"102"	"83"	"210"	"9"	"71"	"5"	""	"5"	"2"	"11"	"4"	"10"	"-327"	"&"	""	"-327"	"&"
"103"	"84"	"83"	"6"	"124"	"28"	""	"4"	"7"	"21"	"5"	"6"	"-284"	"&"	""	"-284"	"&"
"104"	"85"	"364"	"15"	"87"	"88"	""	"6"	"10"	"34"	"12"	"26"	"-642"	"&"	""	"-642"	"&"
"105"	"86"	"322"	"8"	"78"	"39"	""	"4"	"12"	"51"	"17"	"75"	"-606"	"&"	""	"-606"	"&"
"106"	"87"	"84"	"5"	"65"	"87"	""	"9"	"8"	"66"	"8"	"9"	"-341"	"&"	""	"-341"	"&"
"107"	"88"	"240"	"6"	"34"	"56"	""	"7"	"7"	"72"	"23"	"27"	"-472"	"&"	""	"-472"	"&"
"108"	"89"	"49"	"7"	"78"	"117"	""	"7"	"10"	"106"	"4"	"6"	"-384"	"&"	""	"-384"	"&"
"109"	"90"	"356"	"7"	"18"	"13"	""	"1"	"1"	"3"	"0"	"6"	"-405"	"&"	""	"-405"	"&"
"110"	"91"	"236"	"7"	"22"	"33"	""	"9"	"4"	"30"	"13"	"18"	"-372"	"&"	""	"-372"	"&"
"111"	"92"	"383"	"9"	"43"	"61"	""	"8"	"4"	"21"	"11"	"28"	"-568"	"&"	""	"-568"	"&"
"112"	"93"	"193"	"13"	"105"	"129"	""	"9"	"5"	"74"	"13"	"15"	"-556"	"&"	""	"-556"	"&"
"113"	"94"	"152"	"4"	"154"	"61"	""	"0"	"0"	"61"	"1"	"1"	"-434"	"&"	""	"-434"	"&"
"114"	"95"	"151"	"46"	"149"	"63"	""	"9"	"2"	"38"	"5"	"15"	"-478"	"&"	""	"-478"	"&"
"115"	"96"	"33"	"6"	"382"	"25"	""	"3"	"5"	"10"	"3"	"2"	"-469"	"&"	""	"-469"	"&"
"116"	"97"	"199"	"108"	"31"	"38"	""	"11"	"9"	"7"	"8"	"6"	"-417"	"&"	""	"-417"	"&"
"117"	"98"	"215"	"6"	"59"	"71"	""	"10"	"9"	"25"	"13"	"26"	"-434"	"&"	""	"-434"	"&"
"118"	"98A"	"167"	"6"	"78"	"47"	""	"7"	"7"	"17"	"6"	"15"	"-350"	"&"	""	"-350"	""
"119"	"99"	"169"	"3"	"131"	"27"	""	"3"	"1"	"16"	"7"	"12"	"-369"	"&"	""	"-369"	"&"
"120"	"99A"	"81"	"7"	"106"	"50"	""	"4"	"4"	"20"	"8"	"22"	"-302"	"&"	""	"-302"	""
"121"	"100"	"23"	"28"	"340"	"90"	""	"4"	"6"	"22"	"6"	"11"	"-530"	"&"	""	"-530"	"&"
"122"	"101"	"410"	"4"	"13"	"68"	""	"2"	"6"	"6"	"32"	"23"	"-564"	"&"	""	"-564"	"&"
"123"	"102"	"428"	"5"	"68"	"76"	""	"6"	"1"	"11"	"13"	"15"	"-623"	"&"	""	"-623"	"&"
"124"	"103"	"349"	"2"	"67"	"3"	""	"3"	"1"	"11"	"8"	"4"	"-448"	"&"	""	"-448"	"&"
"125"	"103A"	"147"	"4"	"104"	"4"	""	"0"	"1"	"9"	"1"	"3"	"-273"	"&"	""	"-273"	""
"126"	"104"	"201"	"4"	"132"	"3"	""	"1"	"1"	"17"	"5"	"1"	"-365"	"&"	""	"-365"	"&"
"127"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"SL. No. of
Polling Station."	"DAMODAR RAWAT"	"RAJU YADAV"	"RASHID AHMAD"	"VINOD PD. YADAV"	""	"DINESH KUMAR SINGH"	"KAPIL DEO MANDAL"	"PUNAM DEVI"	"PRADEEP YADAV"	"BASUDEO MANDAL"	"Total of valid votes"	"No. of rejected votes"	""	"Total"	"No. of tendered votes"
"129"	""	"1"	"2"	"3"	"4"	""	"5"	"6"	"7"	"8"	"9"	"-10"	"11"	""	"12"	"13"
"130"	"104A"	"85"	"0"	"203"	"9"	""	"0"	"1"	"2"	"5"	"2"	"-307"	"&"	""	"-307"	""
"131"	"105"	"332"	"1"	"13"	"5"	""	"0"	"4"	"10"	"3"	"6"	"-374"	"&"	""	"-374"	"&"
"132"	"106"	"506"	"4"	"10"	"43"	""	"1"	"1"	"27"	"7"	"2"	"-601"	"&"	""	"-601"	"&"
"133"	"107"	"419"	"1"	"76"	"5"	""	"0"	"2"	"25"	"9"	"3"	"-540"	"&"	""	"-540"	"&"
"134"	"108"	"250"	"3"	"56"	"8"	""	"0"	"1"	"17"	"4"	"4"	"-343"	"&"	""	"-343"	"&"
"135"	"109"	"267"	"5"	"13"	"35"	""	"5"	"3"	"33"	"7"	"8"	"-376"	"&"	""	"-376"	"&"
"136"	"110"	"296"	"4"	"54"	"53"	""	"5"	"4"	"69"	"9"	"15"	"-509"	"&"	""	"-509"	"&"
"137"	"111"	"256"	"19"	"33"	"20"	""	"0"	"1"	"18"	"8"	"13"	"-368"	"&"	""	"-368"	"&"
"138"	"112"	"158"	"9"	"286"	"16"	""	"2"	"1"	"28"	"8"	"4"	"-512"	"&"	""	"-512"	"&"
"139"	"113"	"353"	"4"	"24"	"53"	""	"3"	"1"	"10"	"6"	"4"	"-458"	"&"	""	"-458"	"&"
"140"	"114"	"206"	"1"	"71"	"3"	""	"0"	"2"	"9"	"3"	"4"	"-299"	"&"	""	"-299"	"&"
"141"	"115"	"303"	"9"	"35"	"39"	""	"5"	"0"	"20"	"5"	"5"	"-421"	"&"	""	"-421"	"&"
"142"	"116"	"115"	"0"	"37"	"16"	""	"1"	"2"	"6"	"1"	"3"	"-181"	"&"	""	"-181"	"&"
"143"	"117"	"110"	"7"	"392"	"54"	""	"3"	"3"	"7"	"5"	"10"	"-591"	"&"	""	"-591"	"&"
"144"	"118"	"98"	"3"	"139"	"26"	""	"0"	"2"	"5"	"4"	"0"	"-277"	"&"	""	"-277"	"&"
"145"	"119"	"313"	"8"	"90"	"7"	""	"2"	"4"	"18"	"4"	"12"	"-458"	"&"	""	"-458"	"&"
"146"	"120"	"80"	"4"	"297"	"10"	""	"1"	"1"	"43"	"5"	"6"	"-447"	"&"	""	"-447"	"&"
"147"	"121"	"175"	"12"	"197"	"21"	""	"13"	"11"	"175"	"18"	"10"	"-632"	"&"	""	"-632"	"&"
"148"	"122"	"300"	"5"	"121"	"29"	""	"5"	"0"	"7"	"3"	"13"	"-483"	"&"	""	"-483"	"&"
"149"	"122A"	"116"	"25"	"113"	"8"	""	"0"	"0"	"6"	"6"	"5"	"-279"	"&"	""	"-279"	""
"150"	"123"	"60"	"6"	"272"	"24"	""	"2"	"3"	"7"	"0"	"5"	"-379"	"&"	""	"-379"	"&"
"151"	"124"	"305"	"16"	"31"	"23"	""	"2"	"2"	"44"	"14"	"21"	"-458"	"&"	""	"-458"	"&"
"152"	"125"	"193"	"13"	"155"	"106"	""	"14"	"6"	"47"	"4"	"7"	"-545"	"&"	""	"-545"	"&"
"153"	"126"	"42"	"8"	"388"	"20"	""	"6"	"6"	"9"	"2"	"9"	"-490"	"&"	""	"-490"	"&"
"154"	"126A"	"17"	"3"	"294"	"5"	""	"2"	"2"	"3"	"4"	"3"	"-333"	"&"	""	"-333"	""
"155"	"127"	"140"	"12"	"202"	"31"	""	"4"	"4"	"34"	"5"	"13"	"-445"	"&"	""	"-445"	"&"
"156"	"128"	"107"	"7"	"307"	"12"	""	"8"	"9"	"52"	"2"	"7"	"-511"	"&"	""	"-511"	"&"
"157"	"129"	"64"	"3"	"111"	"11"	""	"4"	"7"	"116"	"11"	"27"	"-354"	"&"	""	"-354"	"&"
"158"	"129A"	"39"	"4"	"52"	"22"	""	"2"	"3"	"50"	"8"	"20"	"-200"	"&"	""	"-200"	""
"159"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"SL. No. of
Polling Station."	"DAMODAR RAWAT"	"RAJU YADAV"	"RASHID AHMAD"	"VINOD PD. YADAV"	""	"DINESH KUMAR SINGH"	"KAPIL DEO MANDAL"	"PUNAM DEVI"	"PRADEEP YADAV"	"BASUDEO MANDAL"	"Total of valid votes"	"No. of rejected votes"	""	"Total"	"No. of tendered votes"
"161"	""	"1"	"2"	"3"	"4"	""	"5"	"6"	"7"	"8"	"9"	"-10"	"11"	""	"12"	"13"
"162"	"130"	"90"	"15"	"44"	"50"	""	"17"	"5"	"135"	"5"	"10"	"-371"	"&"	""	"-371"	"&"
"163"	"131"	"273"	"3"	"3"	"5"	""	"1"	"2"	"26"	"21"	"18"	"-352"	"&"	""	"-352"	"&"
"164"	"131A"	"166"	"1"	"33"	"11"	""	"3"	"4"	"68"	"13"	"10"	"-309"	"&"	""	"-309"	""
"165"	"132"	"37"	"7"	"43"	"26"	""	"6"	"8"	"104"	"4"	"7"	"-242"	"&"	""	"-242"	"&"
"166"	"133"	"162"	"8"	"68"	"18"	""	"6"	"11"	"70"	"12"	"14"	"-369"	"&"	""	"-369"	"&"
"167"	"134"	"42"	"10"	"67"	"16"	""	"4"	"9"	"111"	"16"	"18"	"-293"	"&"	""	"-293"	"&"
"168"	"135"	"44"	"4"	"21"	"3"	""	"6"	"3"	"99"	"10"	"15"	"-205"	"&"	""	"-205"	"&"
"169"	"136"	"71"	"11"	"23"	"2"	""	"7"	"8"	"242"	"15"	"10"	"-389"	"&"	""	"-389"	"&"
"170"	"136A"	"58"	"3"	"9"	"18"	""	"5"	"10"	"155"	"25"	"35"	"-318"	"&"	""	"-318"	""
"171"	"137"	"51"	"4"	"103"	"17"	""	"3"	"7"	"54"	"3"	"6"	"-248"	"&"	""	"-248"	"&"
"172"	"138"	"112"	"12"	"130"	"31"	""	"15"	"6"	"39"	"7"	"14"	"-366"	"&"	""	"-366"	"&"
"173"	"139"	"290"	"16"	"92"	"20"	""	"4"	"9"	"79"	"7"	"3"	"-520"	"&"	""	"-520"	"&"
"174"	"140"	"266"	"7"	"124"	"17"	""	"5"	"7"	"41"	"5"	"16"	"-488"	"&"	""	"-488"	"&"
"175"	"141"	"97"	"5"	"119"	"14"	""	"2"	"1"	"9"	"1"	"15"	"-263"	"&"	""	"-263"	"&"
"176"	"142"	"54"	"11"	"133"	"9"	""	"3"	"8"	"31"	"4"	"7"	"-260"	"&"	""	"-260"	"&"
"177"	"143"	"91"	"8"	"44"	"36"	""	"8"	"16"	"55"	"36"	"25"	"-319"	"&"	""	"-319"	"&"
"178"	"144"	"90"	"3"	"20"	"9"	""	"11"	"5"	"73"	"12"	"10"	"-233"	"&"	""	"-233"	"&"
"179"	"145"	"6"	"0"	"10"	"0"	""	"0"	"0"	"2"	"0"	"0"	"-18"	"&"	""	"-18"	"&"
"180"	"146"	"11"	"3"	"53"	"4"	""	"5"	"3"	"23"	"9"	"34"	"-145"	"&"	""	"-145"	"&"
"181"	"147"	"90"	"12"	"178"	"9"	""	"3"	"6"	"20"	"16"	"15"	"-349"	"&"	""	"-349"	"&"
"182"	"148"	"130"	"19"	"26"	"2"	""	"3"	"2"	"48"	"11"	"15"	"-256"	"&"	""	"-256"	"&"
"183"	"149"	"106"	"3"	"281"	"18"	""	"6"	"3"	"9"	"2"	"7"	"-435"	"&"	""	"-435"	"&"
"184"	"149A"	"23"	"3"	"56"	"5"	""	"0"	"3"	"3"	"4"	"13"	"-110"	"&"	""	"-110"	""
"185"	"150"	"13"	"2"	"442"	"11"	""	"3"	"3"	"1"	"1"	"3"	"-479"	"&"	""	"-479"	"&"
"186"	"151"	"262"	"4"	"88"	"40"	""	"8"	"1"	"6"	"13"	"22"	"-444"	"&"	""	"-444"	"&"
"187"	"152"	"105"	"5"	"75"	"12"	""	"3"	"1"	"43"	"5"	"1"	"-250"	"&"	""	"-250"	"&"
"188"	"153"	"241"	"13"	"147"	"12"	""	"3"	"1"	"2"	"10"	"6"	"-435"	"&"	""	"-435"	"&"
"189"	"154"	"142"	"3"	"139"	"6"	""	"3"	"1"	"4"	"2"	"3"	"-303"	"&"	""	"-303"	"&"
"190"	"155"	"69"	"4"	"66"	"17"	""	"8"	"3"	"65"	"12"	"21"	"-265"	"&"	""	"-265"	"&"
"191"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"SL. No. of
Polling Station."	"DAMODAR RAWAT"	"RAJU YADAV"	"RASHID AHMAD"	"VINOD PD. YADAV"	""	"DINESH KUMAR SINGH"	"KAPIL DEO MANDAL"	"PUNAM DEVI"	"PRADEEP YADAV"	"BASUDEO MANDAL"	"Total of valid votes"	"No. of rejected votes"	""	"Total"	"No. of tendered votes"
