"X115.....dqekj.kaM..v0tk0."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"98"	"74 A"	""	""	""	"88"	"113"	""	"26"	"4"	"231"	"0"	"231"	"0"
"99"	"75"	""	""	""	"46"	"291"	""	"18"	"10"	"365"	"0"	"365"	"0"
"100"	"76"	""	""	""	"55"	"372"	""	"25"	"18"	"470"	"0"	"470"	"0"
"101"	"77"	""	""	""	"118"	"352"	""	"23"	"7"	"500"	"0"	"500"	"0"
"102"	"78"	""	""	""	"303"	"225"	""	"31"	"21"	"580"	"0"	"580"	"0"
"103"	"79"	""	""	""	"132"	"343"	""	"19"	"13"	"507"	"0"	"507"	"0"
"104"	"80"	""	""	""	"133"	"144"	""	"25"	"5"	"307"	"0"	"307"	"0"
"105"	"80 A"	""	""	""	"78"	"157"	""	"34"	"18"	"287"	"0"	"287"	"0"
"106"	"81"	""	""	""	"103"	"464"	""	"24"	"23"	"614"	"0"	"614"	"0"
"107"	"115  &  dqekj[kaM ¼v0tk0½"	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"ernku dsUnz la[;k"	""	""	""	"vfer dqekj Hkkjrh"	"jes'k _f\"knos"	""	"gfjoYyHk ikloku"	"f'koukjk;.k lnk"	"dqy fof/kekU; er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk  erksa dh  la[;k"
"109"	"82"	""	""	""	"56"	"229"	""	"216"	"26"	"527"	"0"	"527"	"0"
"110"	"83"	""	""	""	"63"	"389"	""	"18"	"22"	"492"	"0"	"492"	"0"
"111"	"ROUND 7"	""	""	""	"1498"	"3618"	""	"520"	"220"	"5856"	"0"	"5856"	"0"
"112"	"84"	""	""	""	"72"	"167"	""	"44"	"38"	"321"	"0"	"321"	"0"
"113"	"85"	""	""	""	"108"	"269"	""	"41"	"29"	"447"	"0"	"447"	"0"
"114"	"86"	""	""	""	"26"	"152"	""	"25"	"9"	"212"	"0"	"212"	"0"
"115"	"86 A"	""	""	""	"187"	"174"	""	"20"	"25"	"406"	"0"	"406"	"0"
"116"	"87"	""	""	""	"215"	"118"	""	"36"	"17"	"386"	"0"	"386"	"0"
"117"	"87 A"	""	""	""	"103"	"107"	""	"16"	"15"	"241"	"0"	"241"	"0"
"118"	"88"	""	""	""	"315"	"92"	""	"11"	"20"	"438"	"0"	"438"	"0"
"119"	"89"	""	""	""	"234"	"38"	""	"3"	"3"	"278"	"0"	"278"	"0"
"120"	"90"	""	""	""	"166"	"104"	""	"20"	"10"	"300"	"0"	"300"	"0"
"121"	"91"	""	""	""	"262"	"44"	""	"3"	"5"	"314"	"0"	"314"	"0"
"122"	"92"	""	""	""	"135"	"41"	""	"8"	"7"	"191"	"0"	"191"	"0"
"123"	"92 A"	""	""	""	"62"	"153"	""	"30"	"25"	"270"	"0"	"270"	"0"
"124"	"93"	""	""	""	"372"	"101"	""	"15"	"13"	"501"	"0"	"501"	"0"
"125"	"94"	""	""	""	"285"	"51"	""	"6"	"13"	"355"	"0"	"355"	"0"
"126"	"ROUND 8"	""	""	""	"2542"	"1611"	""	"278"	"229"	"4660"	"0"	"4660"	"0"
"127"	"94 A"	""	""	""	"224"	"48"	""	"7"	"13"	"292"	"0"	"292"	"0"
"128"	"95"	""	""	""	"380"	"107"	""	"15"	"22"	"524"	"0"	"524"	"0"
"129"	"96"	""	""	""	"205"	"269"	""	"18"	"22"	"514"	"0"	"514"	"0"
"130"	"97"	""	""	""	"184"	"154"	""	"15"	"13"	"366"	"0"	"366"	"0"
"131"	"98"	""	""	""	"248"	"92"	""	"12"	"14"	"366"	"0"	"366"	"0"
"132"	"99"	""	""	""	"310"	"52"	""	"17"	"16"	"395"	"0"	"395"	"0"
"133"	"100"	""	""	""	"284"	"43"	""	"21"	"12"	"360"	"0"	"360"	"0"
"134"	"101"	""	""	""	"201"	"72"	""	"4"	"19"	"296"	"0"	"296"	"0"
"135"	"102"	""	""	""	"248"	"163"	""	"13"	"18"	"442"	"0"	"442"	"0"
"136"	"103"	""	""	""	"244"	"103"	""	"23"	"21"	"391"	"0"	"391"	"0"
"137"	"104"	""	""	""	"128"	"97"	""	"8"	"23"	"256"	"0"	"256"	"0"
"138"	"104 A"	""	""	""	"133"	"133"	""	"9"	"5"	"280"	"0"	"280"	"0"
"139"	"105"	""	""	""	"223"	"144"	""	"0"	"8"	"375"	"0"	"375"	"0"
"140"	"106"	""	""	""	"81"	"132"	""	"12"	"128"	"353"	"0"	"353"	"0"
"141"	"ROUND 9"	""	""	""	"3093"	"1609"	""	"174"	"334"	"5210"	"0"	"5210"	"0"
"142"	"107"	""	""	""	"259"	"93"	""	"7"	"7"	"366"	"0"	"366"	"0"
"143"	"108"	""	""	""	"55"	"215"	""	"36"	"23"	"329"	"0"	"329"	"0"
"144"	"109"	""	""	""	"262"	"57"	""	"8"	"4"	"331"	"0"	"331"	"0"
"145"	"110"	""	""	""	"174"	"110"	""	"13"	"14"	"311"	"0"	"311"	"0"
"146"	"111"	""	""	""	"310"	"168"	""	"49"	"36"	"563"	"0"	"563"	"0"
"147"	"112"	""	""	""	"107"	"146"	""	"15"	"14"	"282"	"0"	"282"	"0"
"148"	"113"	""	""	""	"253"	"65"	""	"17"	"10"	"345"	"0"	"345"	"0"
"149"	"114"	""	""	""	"167"	"75"	""	"17"	"4"	"263"	"0"	"263"	"0"
"150"	"115"	""	""	""	"97"	"61"	""	"8"	"13"	"179"	"0"	"179"	"0"
"151"	"115 A"	""	""	""	"177"	"103"	""	"32"	"11"	"323"	"0"	"323"	"0"
"152"	"116"	""	""	""	"255"	"239"	""	"32"	"18"	"544"	"0"	"544"	"0"
"153"	"117"	""	""	""	"348"	"104"	""	"12"	"4"	"468"	"0"	"468"	"0"
"154"	"118"	""	""	""	"57"	"328"	""	"21"	"20"	"426"	"0"	"426"	"0"
"155"	"119"	""	""	""	"55"	"358"	""	"19"	"27"	"459"	"0"	"459"	"0"
"156"	"ROUND 10"	""	""	""	"2576"	"2122"	""	"286"	"205"	"5189"	"0"	"5189"	"0"
"157"	"120"	""	""	""	"227"	"49"	""	"108"	"11"	"395"	"0"	"395"	"0"
"158"	"121"	""	""	""	"321"	"111"	""	"21"	"17"	"470"	"0"	"470"	"0"
"159"	"122"	""	""	""	"175"	"152"	""	"26"	"11"	"364"	"0"	"364"	"0"
"160"	"122 A"	""	""	""	"259"	"27"	""	"7"	"2"	"295"	"0"	"295"	"0"
"161"	"115  &  dqekj[kaM ¼v0tk0½"	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"ernku dsUnz la[;k"	""	""	""	"vfer dqekj Hkkjrh"	"jes'k _f\"knos"	""	"gfjoYyHk ikloku"	"f'koukjk;.k lnk"	"dqy fof/kekU; er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk  erksa dh  la[;k"
"163"	"123"	""	""	""	"250"	"117"	""	"185"	"45"	"597"	"0"	"597"	"0"
"164"	"124"	""	""	""	"352"	"121"	""	"32"	"10"	"515"	"0"	"515"	"0"
"165"	"125"	""	""	""	"229"	"175"	""	"17"	"25"	"446"	"0"	"446"	"0"
"166"	"126"	""	""	""	"158"	"182"	""	"24"	"9"	"373"	"0"	"373"	"0"
"167"	"127"	""	""	""	"158"	"260"	""	"46"	"10"	"474"	"0"	"474"	"0"
"168"	"128"	""	""	""	"71"	"180"	""	"92"	"42"	"385"	"0"	"385"	"0"
"169"	"129"	""	""	""	"152"	"123"	""	"60"	"15"	"350"	"0"	"350"	"0"
"170"	"130"	""	""	""	"259"	"42"	""	"15"	"8"	"324"	"0"	"324"	"0"
"171"	"131"	""	""	""	"271"	"64"	""	"36"	"2"	"373"	"0"	"373"	"0"
"172"	"132"	""	""	""	"254"	"174"	""	"18"	"19"	"465"	"0"	"465"	"0"
"173"	"ROUND 11"	""	""	""	"3136"	"1777"	""	"687"	"226"	"5826"	"0"	"5826"	"0"
"174"	"133"	""	""	""	"186"	"165"	""	"37"	"13"	"401"	"0"	"401"	"0"
"175"	"134"	""	""	""	"75"	"328"	""	"23"	"9"	"435"	"0"	"435"	"0"
"176"	"135"	""	""	""	"162"	"95"	""	"4"	"9"	"270"	"0"	"270"	"0"
"177"	"136"	""	""	""	"182"	"125"	""	"6"	"8"	"321"	"0"	"321"	"0"
"178"	"137"	""	""	""	"68"	"200"	""	"17"	"5"	"290"	"0"	"290"	"0"
"179"	"137 A"	""	""	""	"32"	"50"	""	"11"	"5"	"98"	"0"	"98"	"0"
"180"	"138"	""	""	""	"82"	"210"	""	"19"	"19"	"330"	"0"	"330"	"0"
"181"	"138 A"	""	""	""	"28"	"136"	""	"20"	"9"	"193"	"0"	"193"	"0"
"182"	"139"	""	""	""	"14"	"258"	""	"25"	"9"	"306"	"0"	"306"	"0"
"183"	"140"	""	""	""	"50"	"146"	""	"100"	"25"	"321"	"0"	"321"	"0"
"184"	"141"	""	""	""	"80"	"202"	""	"26"	"16"	"324"	"0"	"324"	"0"
"185"	"142"	""	""	""	"183"	"69"	""	"8"	"15"	"275"	"0"	"275"	"0"
"186"	"143"	""	""	""	"90"	"290"	""	"33"	"19"	"432"	"0"	"432"	"0"
"187"	"144"	""	""	""	"398"	"103"	""	"64"	"23"	"588"	"0"	"588"	"0"
"188"	"ROUND 12"	""	""	""	"1630"	"2377"	""	"393"	"184"	"4584"	"0"	"4584"	"0"
"189"	"145"	""	""	""	"102"	"149"	""	"22"	"19"	"292"	"0"	"292"	"0"
"190"	"146"	""	""	""	"166"	"173"	""	"17"	"12"	"368"	"0"	"368"	"0"
"191"	"147"	""	""	""	"281"	"157"	""	"84"	"23"	"545"	"0"	"545"	"0"
"192"	"148"	""	""	""	"47"	"146"	""	"15"	"7"	"215"	"0"	"215"	"0"
"193"	"149"	""	""	""	"290"	"94"	""	"21"	"14"	"419"	"0"	"419"	"0"
"194"	"150"	""	""	""	"189"	"79"	""	"8"	"27"	"303"	"0"	"303"	"0"
"195"	"151"	""	""	""	"352"	"117"	""	"13"	"25"	"507"	"0"	"507"	"0"
"196"	"152"	""	""	""	"195"	"130"	""	"25"	"21"	"371"	"0"	"371"	"0"
"197"	"153"	""	""	""	"54"	"235"	""	"23"	"26"	"338"	"0"	"338"	"0"
"198"	"154"	""	""	""	"62"	"72"	""	"31"	"8"	"173"	"0"	"173"	"0"
"199"	"154 A"	""	""	""	"119"	"113"	""	"54"	"14"	"300"	"0"	"300"	"0"
"200"	"155"	""	""	""	"23"	"311"	""	"12"	"13"	"359"	"0"	"359"	"0"
"201"	"156"	""	""	""	"133"	"253"	""	"16"	"26"	"428"	"0"	"428"	"0"
"202"	"157"	""	""	""	"172"	"138"	""	"10"	"13"	"333"	"0"	"333"	"0"
"203"	"ROUND 13"	""	""	""	"2185"	"2167"	""	"351"	"248"	"4951"	"0"	"4951"	"0"
"204"	"158"	""	""	""	"202"	"139"	""	"24"	"5"	"370"	"0"	"370"	"0"
"205"	"159"	""	""	""	"80"	"52"	""	"4"	"5"	"141"	"0"	"141"	"0"
"206"	"159 A"	""	""	""	"140"	"97"	""	"24"	"10"	"271"	"0"	"271"	"0"
"207"	"160"	""	""	""	"365"	"117"	""	"15"	"29"	"526"	"0"	"526"	"0"
"208"	"161"	""	""	""	"187"	"169"	""	"51"	"9"	"416"	"0"	"416"	"0"
"209"	"162"	""	""	""	"272"	"127"	""	"11"	"14"	"424"	"0"	"424"	"0"
"210"	"163"	""	""	""	"45"	"215"	""	"42"	"11"	"313"	"0"	"313"	"0"
"211"	"164"	""	""	""	"101"	"342"	""	"97"	"57"	"597"	"0"	"597"	"0"
"212"	"165"	""	""	""	"19"	"261"	""	"23"	"26"	"329"	"0"	"329"	"0"
"213"	"165 A"	""	""	""	"25"	"275"	""	"34"	"16"	"350"	"0"	"350"	"0"
"214"	"166"	""	""	""	"251"	"116"	""	"38"	"38"	"443"	"0"	"443"	"0"
"215"	"ROUND 14"	"168"	"167"	"ernku dsUnz la[;k"	""	""	"115  &  dqekj[kaM ¼v0tk0½"	""	""	""	""	""	""
"216"	"1804"	"42"	"75"	"vfer dqekj Hkkjrh"	""	""	""	""	""	""	""	""	""
"217"	"2676"	"389"	"377"	"jes'k _f\"knos"	""	""	""	""	""	""	""	""	""
"218"	"427"	"53"	"11"	"gfjoYyHk ikloku"	""	""	""	""	""	""	""	""	""
"219"	"260"	"25"	"15"	"f'koukjk;.k lnk"	""	""	""	""	""	""	""	""	""
"220"	"5167"	"509"	"478"	"dqy fof/kekU; er"	""	""	""	""	""	""	""	""	""
"221"	"0"	"0"	"0"	"izfr{ksfir erksa  dh la[;k"	""	""	""	""	""	""	""	""	""
"222"	"5167"	"509"	"478"	";ksx"	""	""	""	""	""	""	""	""	""
"223"	"0"	"0"	"0"	"fufonÙk  erksa dh  la[;k"	""	""	""	""	""	""	""	""	""
