"No..and.Name.of.Assembly.Constituency...........45..Hajipur"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"42"	"21"	"220"	"1"	"57"	"73"	"82"	"2"	"3"	"1"	"1"	"220"	"0"	"220"	"0"
"43"	"21K"	"236"	"3"	"138"	"44"	"35"	"8"	"1"	"0"	"7"	"236"	"0"	"236"	"0"
"44"	"22"	"394"	"3"	"208"	"127"	"41"	"2"	"4"	"4"	"5"	"394"	"0"	"394"	"0"
"45"	"Grand Total"	"4334"	"35"	"2508"	"747"	"928"	"37"	"24"	"16"	"39"	"4334"	"0"	"4334"	"0"
"46"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"47"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"48"	"No. and Name of Assembly Constituency  :-       45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"Total No. of Electors in the Assembly Constituency :-  231556"	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"Round No.  :-    3"	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"52"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"53"	""	""	"BSP"	"BJP"	"LJP"	"RJD"	"CPI (ML)(L)"	"SP"	"IND"	"IND"	""	""	""	""
"54"	""	""	"AVTAR"	"NITYANAND ROY"	"MANOJ SHUKLA"	"RAJENDRA RAY"	"SURENDRA PRASAD SINGH"	"JAGANNATH PRASAD YADAV"	"VINOD RAY"	"SURESH PRASAD YADAV"	""	""	""	""
"55"	"23"	"381"	"1"	"235"	"67"	"62"	"3"	"3"	"3"	"7"	"381"	"0"	"381"	"0"
"56"	"24"	"286"	"5"	"210"	"17"	"44"	"3"	"1"	"1"	"5"	"286"	"0"	"286"	"0"
"57"	"25"	"393"	"4"	"198"	"85"	"89"	"1"	"3"	"5"	"8"	"393"	"0"	"393"	"0"
"58"	"26"	"547"	"4"	"307"	"80"	"130"	"4"	"7"	"4"	"11"	"547"	"0"	"547"	"0"
"59"	"27"	"374"	"5"	"301"	"18"	"50"	"0"	"0"	"0"	"0"	"374"	"0"	"374"	"0"
"60"	"27K"	"212"	"2"	"180"	"4"	"22"	"0"	"0"	"3"	"1"	"212"	"0"	"212"	"0"
"61"	"28"	"318"	"3"	"192"	"38"	"84"	"1"	"0"	"0"	"0"	"318"	"0"	"318"	"0"
"62"	"28K"	"241"	"4"	"166"	"20"	"46"	"3"	"0"	"0"	"2"	"241"	"0"	"241"	"0"
"63"	"29"	"467"	"5"	"351"	"28"	"74"	"1"	"3"	"3"	"2"	"467"	"0"	"467"	"0"
"64"	"30"	"493"	"1"	"124"	"108"	"244"	"7"	"6"	"0"	"3"	"493"	"0"	"493"	"0"
"65"	"31"	"424"	"3"	"158"	"84"	"173"	"0"	"3"	"0"	"3"	"424"	"0"	"424"	"0"
"66"	"32"	"401"	"3"	"290"	"19"	"78"	"5"	"4"	"1"	"1"	"401"	"0"	"401"	"0"
"67"	"33"	"393"	"8"	"247"	"28"	"95"	"6"	"2"	"4"	"3"	"393"	"0"	"393"	"0"
"68"	"34"	"394"	"8"	"261"	"47"	"69"	"2"	"1"	"1"	"5"	"394"	"0"	"394"	"0"
"69"	"Grand Total"	"5324"	"56"	"3220"	"643"	"1260"	"36"	"33"	"25"	"51"	"5324"	"0"	"5324"	"0"
"70"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"71"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"72"	"No. and Name of Assembly Constituency  :-       45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"Total No. of Electors in the Assembly Constituency :-  231556"	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"Round No.  :-    4"	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"76"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"77"	""	""	"BSP"	"BJP"	"LJP"	"RJD"	"CPI (ML)(L)"	"SP"	"IND"	"IND"	""	""	""	""
"78"	""	""	"AVTAR"	"NITYANAND ROY"	"MANOJ SHUKLA"	"RAJENDRA RAY"	"SURENDRA PRASAD SINGH"	"JAGANNATH PRASAD YADAV"	"VINOD RAY"	"SURESH PRASAD YADAV"	""	""	""	""
"79"	"35"	"431"	"5"	"298"	"42"	"77"	"1"	"3"	"3"	"2"	"431"	"0"	"431"	"0"
"80"	"36"	"462"	"6"	"242"	"125"	"76"	"4"	"1"	"1"	"7"	"462"	"0"	"462"	"0"
"81"	"37"	"454"	"8"	"209"	"187"	"30"	"5"	"3"	"3"	"9"	"454"	"0"	"454"	"0"
"82"	"38"	"550"	"11"	"311"	"182"	"25"	"7"	"2"	"1"	"11"	"550"	"0"	"550"	"0"
"83"	"39"	"496"	"5"	"284"	"104"	"84"	"4"	"3"	"4"	"8"	"496"	"0"	"496"	"0"
"84"	"40"	"470"	"3"	"245"	"46"	"162"	"4"	"2"	"6"	"2"	"470"	"0"	"470"	"0"
"85"	"41"	"493"	"7"	"284"	"74"	"69"	"30"	"8"	"9"	"12"	"493"	"0"	"493"	"0"
"86"	"42"	"394"	"6"	"206"	"41"	"125"	"3"	"5"	"2"	"6"	"394"	"0"	"394"	"0"
"87"	"42K"	"253"	"18"	"102"	"21"	"102"	"6"	"2"	"0"	"2"	"253"	"0"	"253"	"0"
"88"	"43"	"564"	"20"	"258"	"68"	"198"	"4"	"6"	"4"	"6"	"564"	"0"	"564"	"0"
"89"	"44"	"639"	"5"	"397"	"107"	"113"	"1"	"5"	"5"	"6"	"639"	"0"	"639"	"0"
"90"	"45"	"448"	"7"	"343"	"33"	"44"	"6"	"9"	"1"	"5"	"448"	"0"	"448"	"0"
"91"	"46"	"362"	"7"	"219"	"63"	"58"	"3"	"5"	"4"	"3"	"362"	"0"	"362"	"0"
"92"	"46K"	"204"	"8"	"78"	"99"	"16"	"2"	"1"	"0"	"0"	"204"	"0"	"204"	"0"
"93"	"Grand Total"	"6220"	"116"	"3476"	"1192"	"1179"	"80"	"55"	"43"	"79"	"6220"	"0"	"6220"	"0"
"94"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"95"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"96"	"No. and Name of Assembly Constituency  :-       45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"Total No. of Electors in the Assembly Constituency :-  231556"	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"Round No.  :-    5"	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"100"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"101"	""	""	"BSP"	"BJP"	"LJP"	"RJD"	"CPI (ML)(L)"	"SP"	"IND"	"IND"	""	""	""	""
"102"	""	""	"AVTAR"	"NITYANAND ROY"	"MANOJ SHUKLA"	"RAJENDRA RAY"	"SURENDRA PRASAD SINGH"	"JAGANNATH PRASAD YADAV"	"VINOD RAY"	"SURESH PRASAD YADAV"	""	""	""	""
"103"	"47"	"387"	"4"	"205"	"115"	"49"	"3"	"1"	"1"	"9"	"387"	"0"	"387"	"0"
"104"	"47K"	"244"	"2"	"142"	"41"	"53"	"1"	"2"	"1"	"2"	"244"	"0"	"244"	"0"
"105"	"48"	"385"	"9"	"200"	"149"	"18"	"2"	"0"	"2"	"5"	"385"	"0"	"385"	"0"
"106"	"48K"	"418"	"13"	"60"	"304"	"16"	"4"	"7"	"1"	"13"	"418"	"0"	"418"	"0"
"107"	"49"	"414"	"10"	"120"	"229"	"26"	"7"	"8"	"4"	"10"	"414"	"0"	"414"	"0"
"108"	"50"	"345"	"9"	"217"	"91"	"18"	"0"	"1"	"3"	"6"	"345"	"0"	"345"	"0"
"109"	"50K"	"252"	"2"	"210"	"17"	"21"	"1"	"0"	"0"	"1"	"252"	"0"	"252"	"0"
"110"	"51"	"331"	"3"	"170"	"35"	"113"	"3"	"2"	"2"	"3"	"331"	"0"	"331"	"0"
"111"	"51K"	"250"	"5"	"107"	"38"	"91"	"2"	"3"	"2"	"2"	"250"	"0"	"250"	"0"
"112"	"52"	"441"	"5"	"323"	"8"	"95"	"2"	"2"	"6"	"0"	"441"	"0"	"441"	"0"
"113"	"52K"	"344"	"3"	"264"	"18"	"51"	"0"	"2"	"3"	"3"	"344"	"0"	"344"	"0"
"114"	"53"	"580"	"13"	"445"	"28"	"78"	"2"	"3"	"3"	"8"	"580"	"0"	"580"	"0"
"115"	"54"	"631"	"13"	"204"	"326"	"32"	"18"	"9"	"11"	"18"	"631"	"0"	"631"	"0"
"116"	"55"	"618"	"17"	"186"	"43"	"346"	"6"	"5"	"2"	"13"	"618"	"0"	"618"	"0"
"117"	"Grand Total"	"5640"	"108"	"2853"	"1442"	"1007"	"51"	"45"	"41"	"93"	"5640"	"0"	"5640"	"0"
"118"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"119"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"120"	"No. and Name of Assembly Constituency  :-       45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"Total No. of Electors in the Assembly Constituency :-  231556"	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"Round No.  :-    6"	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"124"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"125"	""	""	"BSP"	"BJP"	"LJP"	"RJD"	"CPI (ML)(L)"	"SP"	"IND"	"IND"	""	""	""	""
"126"	""	""	"AVTAR"	"NITYANAND ROY"	"MANOJ SHUKLA"	"RAJENDRA RAY"	"SURENDRA PRASAD SINGH"	"JAGANNATH PRASAD YADAV"	"VINOD RAY"	"SURESH PRASAD YADAV"	""	""	""	""
"127"	"56"	"425"	"7"	"181"	"70"	"142"	"11"	"4"	"5"	"5"	"425"	"0"	"425"	"0"
"128"	"57"	"429"	"4"	"253"	"23"	"130"	"5"	"6"	"6"	"2"	"429"	"0"	"429"	"0"
"129"	"58"	"554"	"41"	"361"	"27"	"96"	"4"	"3"	"9"	"13"	"554"	"0"	"554"	"0"
"130"	"59"	"382"	"8"	"201"	"17"	"131"	"7"	"7"	"3"	"8"	"382"	"0"	"382"	"0"
"131"	"60"	"507"	"13"	"250"	"13"	"217"	"1"	"7"	"1"	"5"	"507"	"0"	"507"	"0"
"132"	"60K"	"228"	"2"	"130"	"16"	"73"	"2"	"2"	"2"	"1"	"228"	"0"	"228"	"0"
"133"	"61"	"543"	"2"	"229"	"39"	"257"	"6"	"0"	"5"	"5"	"543"	"0"	"543"	"0"
"134"	"62"	"398"	"9"	"188"	"42"	"131"	"6"	"4"	"5"	"13"	"398"	"0"	"398"	"0"
"135"	"63"	"355"	"1"	"98"	"85"	"163"	"3"	"0"	"2"	"3"	"355"	"0"	"355"	"0"
"136"	"63K"	"278"	"4"	"144"	"62"	"59"	"2"	"1"	"4"	"2"	"278"	"0"	"278"	"0"
"137"	"64"	"404"	"9"	"208"	"81"	"93"	"6"	"1"	"2"	"4"	"404"	"0"	"404"	"0"
"138"	"65"	"249"	"2"	"214"	"10"	"19"	"0"	"0"	"0"	"4"	"249"	"0"	"249"	"0"
"139"	"66"	"632"	"8"	"305"	"79"	"205"	"8"	"8"	"7"	"12"	"632"	"0"	"632"	"0"
"140"	"67"	"514"	"14"	"201"	"159"	"97"	"11"	"9"	"8"	"15"	"514"	"0"	"514"	"0"
"141"	"Grand Total"	"5898"	"124"	"2963"	"723"	"1813"	"72"	"52"	"59"	"92"	"5898"	"0"	"5898"	"0"
"142"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"143"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"144"	"No. and Name of Assembly Constituency  :-       45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"Total No. of Electors in the Assembly Constituency :-  231556"	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"Round No.  :-    7"	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"148"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"149"	""	""	"BSP"	"BJP"	"LJP"	"RJD"	"CPI (ML)(L)"	"SP"	"IND"	"IND"	""	""	""	""
"150"	""	""	"AVTAR"	"NITYANAND ROY"	"MANOJ SHUKLA"	"RAJENDRA RAY"	"SURENDRA PRASAD SINGH"	"JAGANNATH PRASAD YADAV"	"VINOD RAY"	"SURESH PRASAD YADAV"	""	""	""	""
"151"	"68"	"554"	"22"	"55"	"51"	"382"	"15"	"3"	"10"	"16"	"554"	"0"	"554"	"0"
"152"	"69"	"281"	"16"	"68"	"24"	"145"	"9"	"4"	"6"	"9"	"281"	"0"	"281"	"0"
"153"	"70"	"425"	"16"	"325"	"52"	"8"	"2"	"9"	"3"	"10"	"425"	"0"	"425"	"0"
"154"	"71"	"243"	"3"	"59"	"24"	"145"	"1"	"1"	"5"	"5"	"243"	"0"	"243"	"0"
"155"	"72"	"353"	"10"	"136"	"88"	"104"	"6"	"3"	"1"	"5"	"353"	"0"	"353"	"0"
"156"	"72K"	"415"	"6"	"290"	"28"	"59"	"5"	"5"	"9"	"13"	"415"	"0"	"415"	"0"
"157"	"73"	"519"	"26"	"98"	"70"	"268"	"14"	"10"	"10"	"23"	"519"	"0"	"519"	"0"
"158"	"74"	"293"	"13"	"149"	"65"	"44"	"6"	"3"	"5"	"8"	"293"	"0"	"293"	"0"
"159"	"75"	"421"	"23"	"168"	"33"	"168"	"7"	"7"	"13"	"2"	"421"	"0"	"421"	"0"
"160"	"76"	"520"	"7"	"144"	"32"	"287"	"17"	"18"	"6"	"9"	"520"	"0"	"520"	"0"
"161"	"77"	"385"	"6"	"176"	"43"	"138"	"10"	"1"	"7"	"4"	"385"	"0"	"385"	"0"
"162"	"78"	"438"	"13"	"298"	"23"	"81"	"1"	"6"	"7"	"9"	"438"	"0"	"438"	"0"
"163"	"79"	"413"	"8"	"150"	"122"	"115"	"5"	"5"	"5"	"3"	"413"	"0"	"413"	"0"
"164"	"80"	"492"	"29"	"303"	"36"	"81"	"3"	"5"	"18"	"17"	"492"	"0"	"492"	"0"
"165"	"Grand Total"	"5752"	"198"	"2419"	"691"	"2025"	"101"	"80"	"105"	"133"	"5752"	"0"	"5752"	"0"
"166"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"167"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"168"	"No. and Name of Assembly Constituency  :-       45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"Total No. of Electors in the Assembly Constituency :-  231556"	""	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"Round No.  :-    8"	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"172"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"173"	""	""	"BSP"	"BJP"	"LJP"	"RJD"	"CPI (ML)(L)"	"SP"	"IND"	"IND"	""	""	""	""
"174"	""	""	"AVTAR"	"NITYANAND ROY"	"MANOJ SHUKLA"	"RAJENDRA RAY"	"SURENDRA PRASAD SINGH"	"JAGANNATH PRASAD YADAV"	"VINOD RAY"	"SURESH PRASAD YADAV"	""	""	""	""
"175"	"81"	"518"	"1"	"331"	"78"	"92"	"2"	"4"	"5"	"5"	"518"	"0"	"518"	"0"
"176"	"82"	"412"	"10"	"110"	"108"	"153"	"7"	"1"	"8"	"15"	"412"	"0"	"412"	"0"
"177"	"83"	"458"	"5"	"209"	"52"	"144"	"14"	"8"	"6"	"20"	"458"	"0"	"458"	"0"
"178"	"84"	"488"	"16"	"152"	"22"	"265"	"13"	"7"	"5"	"8"	"488"	"0"	"488"	"0"
"179"	"85"	"514"	"13"	"172"	"28"	"278"	"9"	"3"	"5"	"6"	"514"	"0"	"514"	"0"
"180"	"86"	"422"	"5"	"191"	"21"	"169"	"11"	"5"	"6"	"14"	"422"	"0"	"422"	"0"
"181"	"87"	"289"	"8"	"32"	"96"	"131"	"6"	"7"	"1"	"8"	"289"	"0"	"289"	"0"
"182"	"88"	"484"	"12"	"68"	"113"	"226"	"21"	"11"	"8"	"25"	"484"	"0"	"484"	"0"
"183"	"89"	"409"	"22"	"145"	"30"	"178"	"5"	"12"	"9"	"8"	"409"	"0"	"409"	"0"
"184"	"89K"	"360"	"9"	"234"	"48"	"47"	"5"	"4"	"4"	"9"	"360"	"0"	"360"	"0"
"185"	"90"	"345"	"19"	"136"	"36"	"126"	"7"	"8"	"7"	"6"	"345"	"0"	"345"	"0"
"186"	"91"	"306"	"1"	"200"	"16"	"67"	"4"	"3"	"3"	"12"	"306"	"0"	"306"	"0"
"187"	"92"	"508"	"19"	"189"	"18"	"248"	"13"	"5"	"6"	"10"	"508"	"0"	"508"	"0"
"188"	"93"	"587"	"13"	"99"	"19"	"404"	"21"	"12"	"10"	"9"	"587"	"0"	"587"	"0"
"189"	"Grand Total"	"6100"	"153"	"2268"	"685"	"2528"	"138"	"90"	"83"	"155"	"6100"	"0"	"6100"	"0"
"190"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"191"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"192"	"No. and Name of Assembly Constituency  :-       45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"Total No. of Electors in the Assembly Constituency :-  231556"	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"Round No.  :-    9"	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"196"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"197"	""	""	"BSP"	"BJP"	"LJP"	"RJD"	"CPI (ML)(L)"	"SP"	"IND"	"IND"	""	""	""	""
"198"	""	""	"AVTAR"	"NITYANAND ROY"	"MANOJ SHUKLA"	"RAJENDRA RAY"	"SURENDRA PRASAD SINGH"	"JAGANNATH PRASAD YADAV"	"VINOD RAY"	"SURESH PRASAD YADAV"	""	""	""	""
"199"	"94"	"421"	"9"	"117"	"30"	"236"	"10"	"6"	"4"	"9"	"421"	"0"	"421"	"0"
"200"	"95"	"575"	"17"	"140"	"207"	"149"	"10"	"21"	"15"	"16"	"575"	"0"	"575"	"0"
"201"	"96"	"374"	"6"	"101"	"142"	"91"	"6"	"5"	"6"	"17"	"374"	"0"	"374"	"0"
"202"	"97"	"486"	"13"	"131"	"64"	"213"	"18"	"13"	"15"	"19"	"486"	"0"	"486"	"0"
"203"	"98"	"536"	"51"	"304"	"99"	"48"	"6"	"9"	"5"	"14"	"536"	"0"	"536"	"0"
"204"	"99"	"448"	"18"	"341"	"55"	"14"	"5"	"1"	"4"	"10"	"448"	"0"	"448"	"0"
"205"	"100"	"687"	"27"	"276"	"137"	"214"	"11"	"2"	"11"	"9"	"687"	"0"	"687"	"0"
"206"	"101"	"473"	"15"	"176"	"128"	"103"	"8"	"8"	"3"	"32"	"473"	"0"	"473"	"0"
