"X010.RAXAUL"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"71"	"51"	""	"P.S. KAURIHAR"	"969"	"D87272"	"6"	"214"	"295"	"87"	"4"	"7"	"15"	"622"
"72"	"51"	"A"	"IN PREMISES OF P.S. KAURIHAR RIGHT SIDEDD"	"508"	"F04471"	"7"	"104"	"66"	"50"	"2"	"2"	"6"	"230"
"73"	"52"	""	"PANCHAYAT BHAWAN LAXMIPUR (E.PART)"	"1036"	"F20890"	"7"	"213"	"82"	"198"	"4"	"6"	"11"	"514"
"74"	"52"	"A"	"IN PREMISES OF PANCHAYAT BHAWAN LAXMIPUR (E"	"439"	"F20249"	"7"	"21"	"23"	"108"	"0"	"1"	"2"	"155"
"75"	"53"	""	"PANCHAYAT BHAWAN LAXMIPUR (W.PART)"	"979"	"F16599"	"7"	"233"	"223"	"68"	"18"	"4"	"6"	"552"
"76"	"53"	"A"	"IN PREMISES OF PANCHAYAT BHAWAN LAXMIPUR (W"	"446"	"F20292"	"7"	"111"	"45"	"80"	"1"	"2"	"2"	"241"
"77"	"54"	""	"P.S. DHANGARHWA"	"843"	"F00732"	"7"	"198"	"160"	"51"	"9"	"7"	"7"	"432"
"78"	"55"	""	"P.S. SENWARIA"	"600"	"F24735"	"7"	"305"	"111"	"8"	"4"	"2"	"6"	"436"
"79"	"56"	""	"PANCHAYAT BHAWAN KANANA L.S"	"1020"	"F26557"	"7"	"331"	"184"	"58"	"6"	"4"	"5"	"588"
"80"	"56"	"A"	"IN PREMISES OF PANCHAYAT BHAWAN KANANA R.S"	"D    439"	"F26767"	"7"	"43"	"158"	"17"	"2"	"2"	"5"	"227"
"81"	"57"	""	"P.S. KANANA DUMARIYA"	"1336"	"F76549"	"7"	"226"	"138"	"210"	"8"	"7"	"8"	"597"
"82"	"58"	""	"M.S. GONAHA (E.PART)"	"920"	"F25964"	"8"	"210"	"121"	"10"	"1"	"0"	"4"	"346"
"83"	"59"	""	"M.S. GONAHA (W.PART)"	"791"	"D87020"	"8"	"177"	"54"	"44"	"1"	"3"	"0"	"279"
"84"	"60"	""	"P.S. CHAINPUR"	"1307"	"F26999"	"8"	"411"	"153"	"117"	"15"	"12"	"28"	"736"
"85"	"61"	""	"IN PREMISES OF M.S. GAMHARIYA R.SDD"	"439"	"F23304"	"8"	"465"	"45"	"5"	"5"	"1"	"1"	"522"
"86"	"61"	"A"	"M.S. GAMHARIYA R.S"	"989"	"F27304o6f 9"	"8"	"185"	"139"	"19"	"1"	"3"	"6"	"353"
"87"	"010-RAXAUL"	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"Booth"	""	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""
"89"	""	""	""	""	""	""	"DR. AJAY KUMAR SINGH"	"RAJ NANDAN RAI"	"SAGIR AHMAD"	"RAJ KUMARI SAHANI"	"KAMOD RAM"	"MIR HASAN"	"TOTAL"
"90"	"No"	"Ext"	"Name"	"Voters"	"CU"	"Round"	"1"	"2"	"3"	"4"	"5"	"6"	"7"
"91"	"62"	""	"P.S. HARDIYA NAYA TOLA (E.PART)"	"886"	"F28628"	"8"	"38"	"18"	"446"	"22"	"6"	"6"	"536"
"92"	"63"	""	"P.S. HARDIYA NAYA TOLA (W.PART)"	"1166"	"F28054"	"8"	"152"	"51"	"510"	"11"	"7"	"1"	"732"
"93"	"64"	""	"IN PREMISES OF P.S. HARDIYA R.SDD"	"357"	"F02844"	"8"	"248"	"137"	"223"	"31"	"6"	"7"	"652"
"94"	"64"	"A"	"P.S. HARDIYA R.S"	"1060"	"F16738"	"8"	"38"	"35"	"112"	"1"	"1"	"1"	"188"
"95"	"65"	""	"P.S. RATANPUR"	"1222"	"F27678"	"8"	"276"	"295"	"63"	"11"	"6"	"12"	"663"
"96"	"66"	""	"P.S. AHIRWA TOLA"	"496"	"F25599"	"9"	"109"	"74"	"163"	"7"	"4"	"7"	"364"
"97"	"67"	""	"P.S. SAHDEWA"	"1236"	"F26288"	"9"	"405"	"142"	"153"	"0"	"7"	"22"	"729"
"98"	"68"	""	"M.S. MAHDEWA"	"1146"	"F05088"	"9"	"190"	"194"	"127"	"18"	"15"	"37"	"581"
"99"	"69"	""	"P.S. NONEYA DIH"	"758"	"F24588"	"9"	"156"	"175"	"97"	"12"	"7"	"13"	"460"
"100"	"70"	""	"P.S. KHEKHARIA"	"635"	"F26760"	"9"	"206"	"66"	"28"	"5"	"3"	"13"	"321"
"101"	"71"	""	"P.S. SRIRAMPUR"	"1335"	"F03974"	"9"	"366"	"297"	"39"	"7"	"5"	"16"	"730"
"102"	"72"	""	"M.S. TUMARIA TOLA (E.PART)"	"1028"	"F29689"	"9"	"263"	"53"	"66"	"5"	"2"	"10"	"399"
"103"	"72"	"A"	"IN PREMISES OF M.S. TUMARIA TOLA (E.PART)DD"	"599"	"F23319"	"9"	"115"	"30"	"55"	"5"	"0"	"4"	"209"
"104"	"73"	""	"IN PREMISES OF M.S. TUMARIA TOLA (W.PART)DD"	"465"	"F27880"	"9"	"215"	"39"	"93"	"24"	"5"	"3"	"379"
"105"	"73"	"A"	"M.S. TUMARIA TOLA (W.PART)"	"1073"	"F21761"	"9"	"58"	"54"	"26"	"1"	"1"	"3"	"143"
"106"	"74"	""	"SALE TAX OFFICE TUMARIA TOLA L.S"	"1020"	"F25659"	"10"	"351"	"53"	"111"	"18"	"4"	"4"	"541"
"107"	"74"	"A"	"R.SD"	"611"	"A10317"	"10"	"141"	"18"	"37"	"4"	"2"	"5"	"207"
"108"	"75"	""	"IN PREMISES OF P.S. PAREUWA HINDIDD"	"693"	"F20735"	"10"	"195"	"208"	"175"	"15"	"3"	"17"	"613"
"109"	"75"	"A"	"P.S. PAREUWA HINDI"	"1115"	"F25757"	"10"	"112"	"55"	"126"	"5"	"3"	"4"	"305"
"110"	"76"	""	"URDU MADARSA BARA PAREUWA (S.PART)"	"1116"	"F73053"	"10"	"234"	"69"	"121"	"7"	"5"	"6"	"442"
"111"	"77"	""	"URDU MADARSA BARA PAREUWA (N.PART)"	"1277"	"F23118"	"10"	"181"	"70"	"282"	"3"	"1"	"6"	"543"
"112"	"78"	""	"BYAPAR MANDAL RAXAUL"	"737"	"F73435"	"10"	"240"	"83"	"35"	"4"	"5"	"5"	"372"
"113"	"79"	""	"M.S. RAILWAY RAXAUL"	"1270"	"F20722"	"10"	"265"	"324"	"47"	"11"	"8"	"11"	"666"
"114"	"80"	""	"BHARTIYA DUTAWAS RAXAUL"	"1006"	"F18334"	"10"	"69"	"156"	"202"	"28"	"11"	"15"	"481"
"115"	"4 of 9"	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"010-RAXAUL"	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"Booth"	""	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""
"118"	""	""	""	""	""	""	"DR. AJAY KUMAR SINGH"	"RAJ NANDAN RAI"	"SAGIR AHMAD"	"RAJ KUMARI SAHANI"	"KAMOD RAM"	"MIR HASAN"	"TOTAL"
"119"	"No"	"Ext"	"Name"	"Voters"	"CU"	"Round"	"1"	"2"	"3"	"4"	"5"	"6"	"7"
"120"	"81"	""	"CHHOTA PHOOL M.S. SUNDARPUR"	"513"	"F14001"	"10"	"68"	"15"	"256"	"26"	"5"	"6"	"376"
"121"	"82"	""	"M.S. RAXAUL"	"1370"	"F25760"	"11"	"268"	"36"	"177"	"9"	"1"	"3"	"494"
"122"	"83"	""	"IN PREMISES OF RAJ. GANDHI P.S. RAXAUL R.SDD"	"426"	"F21423"	"11"	"337"	"48"	"70"	"2"	"0"	"5"	"462"
"123"	"83"	"A"	"RAJ. GANDHI P.S. RAXAUL"	"1015"	"F25947"	"11"	"120"	"26"	"44"	"3"	"1"	"2"	"196"
"124"	"84"	""	"IN PREMISES OF KASTURBA GIRLS H.S. RAXAUL S.P"	"D     356"	"F24715"	"11"	"387"	"35"	"91"	"2"	"2"	"6"	"523"
"125"	"84"	"A"	"KASTURBA GIRLS H.S. RAXAUL"	"1054"	"F36454"	"11"	"113"	"31"	"17"	"1"	"1"	"0"	"163"
"126"	"85"	""	"ARYA GIRLS M.S. RAXAUL (E.PART)"	"1367"	"F21765"	"11"	"425"	"51"	"126"	"6"	"4"	"9"	"621"
"127"	"86"	""	"ARYA GIRLS M.S. RAXAUL (W.PART)"	"1389"	"F02882"	"11"	"512"	"71"	"42"	"2"	"0"	"7"	"634"
"128"	"87"	""	"P.S. ISLAMPUR RAXAUL"	"1062"	"F21685"	"11"	"54"	"78"	"408"	"16"	"4"	"7"	"567"
"129"	"88"	""	"HAJARIMAL  H.S. RAXAUL (E.PART)"	"1316"	"F03761"	"11"	"478"	"134"	"32"	"7"	"7"	"21"	"679"
"130"	"89"	""	"HAJARIMAL H.S. RAXAUL (W.PART) S.P"	"1043"	"F26052"	"11"	"375"	"63"	"35"	"0"	"2"	"7"	"482"
"131"	"89"	"A"	"IN PREMISES OF HAJARIMAL H.S. RAXAUL (W.PART)"	"619"	"F01829"	"12"	"178"	"23"	"10"	"0"	"0"	"0"	"211"
"132"	"90"	""	"HAJARIMAL H.S. RAXAUL (N.PART)"	"1155"	"F21766"	"12"	"345"	"38"	"13"	"1"	"0"	"7"	"404"
"133"	"90"	"A"	"IN PREMISES OF HAJARIMAL H.S. RAXAUL (N.PART) S"	"615"	"F26966"	"12"	"325"	"46"	"21"	"3"	"4"	"4"	"403"
"134"	"91"	""	"P.H.E.D. OFFICE RAXAUL (E.PART)"	"955"	"F04358"	"12"	"259"	"92"	"61"	"3"	"6"	"4"	"425"
"135"	"91"	"A"	"IN PREMISES OF P.H.E.D. OFFICE RAXAUL (E.PART) 2"	"616"	"F27264"	"12"	"130"	"37"	"24"	"1"	"2"	"4"	"198"
"136"	"92"	""	"P.H.E.D. OFFICE RAXAUL (W.PART)"	"1286"	"F20653"	"12"	"250"	"190"	"82"	"9"	"3"	"15"	"549"
"137"	"93"	""	"M.S. JAITAPUR (E.PART)"	"1157"	"F03480"	"12"	"249"	"76"	"37"	"7"	"4"	"19"	"392"
"138"	"94"	""	"M.S. JAITAPUR (W.PART)"	"1210"	"F26567"	"12"	"405"	"61"	"33"	"7"	"5"	"13"	"524"
"139"	"95"	""	"P.S. SISWANIYA"	"1280"	"F21354"	"12"	"68"	"122"	"427"	"17"	"7"	"24"	"665"
"140"	"96"	""	"P.S. BINWA TOLA"	"1391"	"F03851"	"12"	"87"	"317"	"186"	"16"	"12"	"27"	"645"
"141"	"97"	""	"P.S. SUKHI SEMRA L.S"	"1003"	"F21420"	"13"	"155"	"177"	"51"	"5"	"5"	"8"	"401"
"142"	"97"	"A"	"IN PREMISES FO P.S. SUKHI SEMRA R.SDD"	"532"	"F25440"	"13"	"82"	"50"	"27"	"2"	"0"	"1"	"162"
"143"	"98"	""	"P.S. HINDI PAKHNAHIYA (E.PART)"	"904"	"F35564"	"13"	"203"	"160"	"27"	"4"	"6"	"15"	"415"
"144"	"98"	"A"	"IN PREMISES OF P.S. HINDI PAKHNAHIYA (E.PART)DD"	"597"	"F37506o0f 9"	"13"	"117"	"62"	"0"	"3"	"2"	"6"	"190"
"145"	"010-RAXAUL"	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"Booth"	""	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""
"147"	""	""	""	""	""	""	"DR. AJAY KUMAR SINGH"	"RAJ NANDAN RAI"	"SAGIR AHMAD"	"RAJ KUMARI SAHANI"	"KAMOD RAM"	"MIR HASAN"	"TOTAL"
"148"	"No"	"Ext"	"Name"	"Voters"	"CU"	"Round"	"1"	"2"	"3"	"4"	"5"	"6"	"7"
"149"	"99"	""	"P.S. HINDI PAKHNAHIYA (W.PART)"	"1375"	"F23698"	"13"	"75"	"162"	"226"	"17"	"8"	"15"	"503"
"150"	"100"	""	"P.S. KOHBARWA"	"1200"	"F27670"	"13"	"173"	"155"	"44"	"7"	"9"	"12"	"400"
"151"	"101"	""	"P.S. MURHWA"	"1317"	"F21917"	"13"	"124"	"273"	"183"	"7"	"6"	"25"	"618"
"152"	"102"	""	"P.S. KHORHWA"	"1020"	"F24675"	"13"	"168"	"218"	"91"	"12"	"7"	"22"	"518"
"153"	"103"	""	"P.S. FULWARIYA"	"1389"	"F27332"	"13"	"358"	"67"	"178"	"8"	"8"	"13"	"632"
"154"	"104"	""	"M.S. ADHKAPARIA L.S"	"1042"	"F25999"	"13"	"30"	"105"	"377"	"13"	"4"	"10"	"539"
"155"	"104"	"A"	"IN PREMISES OF M.S. ADHKAPARIA R.SDD"	"708"	"D87810"	"14"	"25"	"44"	"172"	"4"	"3"	"4"	"252"
"156"	"105"	""	"IN PREMISES OF H.S. ADHKAPARIA R.SDD"	"600"	"F03327"	"14"	"15"	"40"	"371"	"5"	"3"	"7"	"441"
"157"	"105"	"A"	"H.S. ADHKAPARIA L.S"	"986"	"F24408"	"14"	"8"	"9"	"218"	"6"	"1"	"1"	"243"
"158"	"106"	""	"URDU P.S. GIRLS ADHKAPARIA"	"1167"	"F16293"	"14"	"54"	"184"	"229"	"13"	"9"	"15"	"504"
"159"	"107"	""	"M.S. DUBAULIYA R.S"	"1047"	"F03048"	"14"	"201"	"240"	"62"	"6"	"2"	"3"	"514"
"160"	"107"	"A"	"IN PREMISES OF M.S. DUBAULIYA R.SDD"	"550"	"F05078"	"14"	"62"	"61"	"18"	"1"	"1"	"2"	"145"
"161"	"108"	""	"P.S. SIHORWA L.S"	"1033"	"F25813"	"14"	"246"	"179"	"111"	"3"	"1"	"7"	"547"
"162"	"108"	"A"	"IN PREMISES OF P.S. SIHORWA R.SDD"	"427"	"F02184"	"14"	"32"	"87"	"34"	"2"	"2"	"6"	"163"
"163"	"109"	""	"P.S. CHIUTAHA"	"1142"	"F26822"	"14"	"162"	"229"	"19"	"4"	"6"	"8"	"428"
"164"	"110"	""	"P.S. LACHHUMANWA"	"1332"	"F25998"	"14"	"148"	"289"	"85"	"15"	"7"	"17"	"561"
"165"	"111"	""	"M.S. AHIRAULIYA"	"1233"	"F26305"	"15"	"89"	"152"	"136"	"18"	"6"	"11"	"412"
"166"	"112"	""	"M.S. SINGASANI (E.PART)"	"1000"	"F25175"	"15"	"178"	"244"	"38"	"9"	"12"	"22"	"503"
"167"	"112"	"A"	"IN PREMISES OF M.S. SINGASANI (E.PART)DD"	"538"	"F26437"	"15"	"82"	"94"	"34"	"12"	"3"	"5"	"230"
"168"	"113"	""	"IN PREMISES OF M.S. SINGASANI (W.PART)DD"	"430"	"F35479"	"15"	"326"	"74"	"67"	"9"	"6"	"15"	"497"
"169"	"113"	"A"	"M.S. SINGASANI (W.PART)"	"1050"	"F20137"	"15"	"112"	"30"	"8"	"2"	"3"	"7"	"162"
"170"	"114"	""	"P.S. TRIWENI"	"892"	"F21767"	"15"	"45"	"263"	"81"	"10"	"7"	"11"	"417"
"171"	"115"	""	"PANCHAYAT BHAWAN (E.PART) BHERHIHARI"	"694"	"D99091"	"15"	"101"	"132"	"114"	"16"	"7"	"13"	"383"
"172"	"116"	""	"PANCHAYAT BHAWAN BHERHIHARI (W.PART)"	"1329"	"F21633"	"15"	"188"	"152"	"178"	"18"	"8"	"14"	"558"
"173"	"117"	""	"M.S. SAKRAR"	"1292"	"F25648o1f 9"	"15"	"281"	"151"	"159"	"4"	"3"	"4"	"602"
"174"	"010-RAXAUL"	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"Booth"	""	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""
"176"	""	""	""	""	""	""	"DR. AJAY KUMAR SINGH"	"RAJ NANDAN RAI"	"SAGIR AHMAD"	"RAJ KUMARI SAHANI"	"KAMOD RAM"	"MIR HASAN"	"TOTAL"
"177"	"No"	"Ext"	"Name"	"Voters"	"CU"	"Round"	"1"	"2"	"3"	"4"	"5"	"6"	"7"
"178"	"118"	""	"P.S. URDU HASANPUR"	"1303"	"F20454"	"15"	"132"	"209"	"248"	"6"	"4"	"5"	"604"
"179"	"119"	""	"P.S. BAHUARI R.S"	"1073"	"F27468"	"16"	"138"	"81"	"309"	"13"	"4"	"11"	"556"
"180"	"119"	"A"	"IN PREMISES OF P.S. BAHUARI L.SDD"	"386"	"F21120"	"16"	"39"	"41"	"119"	"3"	"2"	"4"	"208"
"181"	"120"	""	"IN PREMISES OF P.S. BANDHU BARWADD"	"529"	"F27975"	"16"	"224"	"111"	"33"	"2"	"1"	"4"	"375"
"182"	"120"	"A"	"P.S. BANDHU BARWA R.S"	"938"	"F27651"	"16"	"56"	"142"	"11"	"1"	"6"	"1"	"217"
"183"	"121"	""	"P.S. UCHCHI DIH"	"1247"	"F25277"	"16"	"313"	"230"	"35"	"10"	"12"	"37"	"637"
"184"	"122"	""	"P.S. KHARKATWA"	"1313"	"F04490"	"16"	"366"	"246"	"34"	"20"	"10"	"25"	"701"
"185"	"123"	""	"M.S. DHANAHAR DIHULI R.S"	"1028"	"F22585"	"16"	"453"	"41"	"11"	"7"	"5"	"7"	"524"
"186"	"123"	"A"	"IN PREMISES OF M.S. DHANAHAR DIHULI 1DD"	"589"	"F10772"	"16"	"215"	"39"	"9"	"6"	"2"	"9"	"280"
"187"	"124"	""	"IN PREMISES OF P.S. GURHANWA R.SDD"	"577"	"F29091"	"16"	"303"	"207"	"9"	"4"	"3"	"9"	"535"
"188"	"124"	"A"	"P.S. GURHANWA L.S"	"951"	"F04832"	"16"	"188"	"48"	"27"	"1"	"2"	"2"	"268"
