"X."	"X..1"	"X..2"	"X012.MOTIHARI"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"26"	"19"	""	"1167"	"3"	"192"	"11"	"239"	"10"	"55"	"3"	"2"	"1"	"3"	"3"	"12"	"15"	"24"	"570"
"27"	"20"	""	"1171"	"3"	"89"	"9"	"232"	"6"	"80"	"4"	"0"	"1"	"6"	"4"	"2"	"6"	"16"	"455"
"28"	"21"	""	"740"	"3"	"142"	"5"	"100"	"3"	"26"	"2"	"0"	"0"	"1"	"6"	"0"	"1"	"20"	"306"
"29"	"22"	"A"	"717"	"3"	"176"	"12"	"116"	"7"	"45"	"1"	"1"	"2"	"3"	"2"	"2"	"3"	"5"	"375"
"30"	""	""	""	"012-MOTIHARI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"Booth"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""	""
"32"	""	""	""	""	"PRAMOD   KUMAR"	"MAHENDRA   PD.   SINGH"	"RAMA   DEVI"	"SAMBHU  RAI"	"SURESH  SAHANI (Sarotar)"	"RAJU  BAITHA"	"SUMIT  KUMAR  MITRA"	"ARVIND  KUMAR  SINHA"	"UDAY SHANKAR PASWAN"	"KISUN PASWAN"	"YOGENDRA BAITHA"	"VIJAY KUMAR GUPTA"	"SURESH SAHANI(Hathiyahi)"	"Total"
"33"	"No"	"Ext"	"Voters"	"Round"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"34"	"22"	""	"845"	"3"	"38"	"5"	"181"	"10"	"38"	"4"	"2"	"0"	"2"	"3"	"2"	"4"	"8"	"297"
"35"	"23"	""	"622"	"3"	"229"	"2"	"47"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"17"	"302"
"36"	"24"	""	"1335"	"3"	"193"	"9"	"265"	"5"	"37"	"3"	"1"	"0"	"2"	"0"	"2"	"4"	"6"	"527"
"37"	"25"	""	"1238"	"3"	"355"	"9"	"129"	"4"	"22"	"7"	"5"	"2"	"6"	"5"	"6"	"4"	"14"	"568"
"38"	"26"	""	"1220"	"4"	"112"	"10"	"284"	"44"	"50"	"3"	"4"	"4"	"8"	"5"	"8"	"7"	"12"	"551"
"39"	"27"	""	"852"	"4"	"82"	"8"	"33"	"10"	"263"	"13"	"2"	"3"	"22"	"3"	"4"	"14"	"18"	"475"
"40"	"27"	"A"	"832"	"4"	"167"	"7"	"70"	"8"	"97"	"6"	"5"	"1"	"6"	"2"	"0"	"7"	"19"	"395"
"41"	"28"	""	"1231"	"4"	"318"	"7"	"81"	"6"	"172"	"11"	"4"	"0"	"8"	"4"	"4"	"6"	"14"	"635"
"42"	"29"	""	"1155"	"4"	"183"	"11"	"212"	"5"	"74"	"6"	"2"	"1"	"5"	"2"	"3"	"6"	"13"	"523"
"43"	"30"	""	"1030"	"4"	"35"	"1"	"246"	"11"	"54"	"2"	"3"	"1"	"2"	"2"	"4"	"3"	"7"	"371"
"44"	"31"	""	"1076"	"4"	"226"	"4"	"160"	"8"	"21"	"0"	"1"	"0"	"4"	"5"	"1"	"3"	"13"	"446"
"45"	"32"	""	"984"	"4"	"218"	"7"	"162"	"4"	"59"	"4"	"0"	"0"	"5"	"2"	"2"	"4"	"8"	"475"
"46"	"33"	""	"1023"	"4"	"236"	"15"	"153"	"4"	"39"	"4"	"1"	"1"	"2"	"5"	"2"	"5"	"26"	"493"
"47"	"34"	""	"1133"	"4"	"243"	"1"	"202"	"12"	"36"	"3"	"1"	"1"	"2"	"3"	"3"	"4"	"10"	"521"
"48"	"35"	""	"476"	"5"	"84"	"1"	"96"	"1"	"8"	"1"	"7"	"0"	"3"	"1"	"3"	"3"	"11"	"219"
"49"	"36"	""	"769"	"5"	"252"	"5"	"59"	"2"	"9"	"3"	"0"	"0"	"3"	"2"	"1"	"2"	"5"	"343"
"50"	"37"	""	"938"	"5"	"152"	"3"	"104"	"9"	"130"	"11"	"3"	"6"	"12"	"2"	"12"	"9"	"28"	"481"
"51"	"37"	"A"	"754"	"5"	"63"	"10"	"193"	"5"	"58"	"1"	"0"	"0"	"4"	"2"	"7"	"6"	"7"	"356"
"52"	"38"	""	"1000"	"5"	"198"	"8"	"148"	"3"	"13"	"0"	"4"	"0"	"0"	"0"	"1"	"2"	"12"	"389"
"53"	"38"	"A"	"616"	"5"	"162"	"7"	"189"	"3"	"34"	"2"	"3"	"4"	"4"	"3"	"10"	"0"	"5"	"426"
"54"	"39"	""	"1120"	"5"	"364"	"5"	"149"	"1"	"38"	"3"	"1"	"1"	"1"	"1"	"1"	"5"	"4"	"574"
"55"	"40"	""	"922"	"5"	"323"	"2"	"151"	"5"	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"4"	"490"
"56"	"41"	""	"1182"	"5"	"454"	"2"	"216"	"3"	"8"	"1"	"5"	"0"	"1"	"0"	"4"	"3"	"7"	"704"
"57"	"42"	""	"937"	"5"	"229"	"7"	"78"	"0"	"4"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"324"
"58"	"43"	"A"	"506"	"6"	"63"	"0"	"142"	"3"	"18"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"4"	"232"
"59"	"43"	""	"989"	"6"	"46"	"4"	"320"	"5"	"40"	"1"	"0"	"2"	"2"	"1"	"4"	"1"	"7"	"433"
"60"	""	""	""	"012-MOTIHARI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"Booth"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""	""
"62"	""	""	""	""	"PRAMOD   KUMAR"	"MAHENDRA   PD.   SINGH"	"RAMA   DEVI"	"SAMBHU  RAI"	"SURESH  SAHANI (Sarotar)"	"RAJU  BAITHA"	"SUMIT  KUMAR  MITRA"	"ARVIND  KUMAR  SINHA"	"UDAY SHANKAR PASWAN"	"KISUN PASWAN"	"YOGENDRA BAITHA"	"VIJAY KUMAR GUPTA"	"SURESH SAHANI(Hathiyahi)"	"Total"
"63"	"No"	"Ext"	"Voters"	"Round"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"64"	"44"	"A"	"457"	"6"	"137"	"0"	"86"	"0"	"11"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"5"	"242"
"65"	"44"	""	"1059"	"6"	"195"	"3"	"320"	"13"	"9"	"1"	"3"	"0"	"1"	"1"	"4"	"2"	"14"	"566"
"66"	"45"	""	"756"	"6"	"321"	"0"	"107"	"2"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"0"	"1"	"435"
"67"	"46"	""	"852"	"6"	"396"	"6"	"88"	"3"	"1"	"0"	"2"	"1"	"0"	"0"	"0"	"1"	"5"	"503"
"68"	"47"	"A"	"680"	"6"	"237"	"1"	"114"	"3"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"359"
"69"	"47"	""	"776"	"6"	"398"	"0"	"89"	"0"	"2"	"1"	"4"	"0"	"0"	"1"	"0"	"0"	"2"	"497"
"70"	"48"	""	"929"	"6"	"205"	"1"	"226"	"14"	"7"	"1"	"2"	"2"	"0"	"3"	"5"	"3"	"14"	"483"
"71"	"49"	""	"1077"	"6"	"217"	"3"	"208"	"5"	"13"	"2"	"18"	"0"	"0"	"0"	"3"	"1"	"6"	"476"
"72"	"50"	""	"627"	"7"	"168"	"6"	"139"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"318"
"73"	"51"	""	"1015"	"7"	"254"	"1"	"212"	"4"	"2"	"0"	"1"	"3"	"0"	"1"	"0"	"1"	"5"	"484"
"74"	"52"	""	"1188"	"7"	"145"	"7"	"393"	"3"	"13"	"3"	"4"	"0"	"1"	"1"	"2"	"2"	"8"	"582"
"75"	"53"	""	"744"	"7"	"228"	"4"	"166"	"2"	"5"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"407"
"76"	"54"	""	"1266"	"7"	"252"	"2"	"259"	"2"	"16"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"535"
"77"	"55"	""	"1139"	"7"	"496"	"1"	"188"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"4"	"5"	"698"
"78"	"56"	""	"741"	"7"	"295"	"5"	"137"	"4"	"2"	"0"	"2"	"1"	"2"	"0"	"1"	"5"	"10"	"464"
"79"	"57"	""	"1259"	"7"	"310"	"6"	"180"	"5"	"26"	"0"	"1"	"1"	"0"	"0"	"2"	"1"	"13"	"545"
"80"	"58"	""	"1193"	"7"	"253"	"0"	"84"	"1"	"19"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"5"	"365"
"81"	"59"	""	"793"	"7"	"289"	"0"	"56"	"0"	"12"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"3"	"362"
"82"	"60"	""	"1276"	"8"	"381"	"13"	"131"	"4"	"34"	"1"	"7"	"2"	"4"	"5"	"1"	"6"	"18"	"607"
"83"	"61"	""	"902"	"8"	"265"	"10"	"102"	"5"	"53"	"2"	"1"	"1"	"0"	"3"	"3"	"1"	"9"	"455"
"84"	"61"	"A"	"536"	"8"	"114"	"1"	"29"	"0"	"4"	"1"	"0"	"0"	"0"	"1"	"0"	"3"	"3"	"156"
"85"	"62"	""	"1218"	"8"	"368"	"5"	"250"	"6"	"12"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"7"	"652"
"86"	"63"	""	"1115"	"8"	"334"	"5"	"111"	"0"	"20"	"1"	"2"	"0"	"2"	"4"	"6"	"3"	"11"	"499"
"87"	"64"	""	"1232"	"8"	"420"	"8"	"184"	"5"	"19"	"3"	"14"	"3"	"2"	"4"	"3"	"2"	"13"	"680"
"88"	"65"	""	"1309"	"8"	"249"	"1"	"149"	"3"	"28"	"0"	"2"	"1"	"2"	"1"	"0"	"0"	"1"	"437"
"89"	"66"	""	"1382"	"8"	"498"	"1"	"179"	"2"	"6"	"0"	"1"	"2"	"1"	"1"	"0"	"1"	"6"	"698"
"90"	""	""	""	"012-MOTIHARI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"Booth"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""	""
"92"	""	""	""	""	"PRAMOD   KUMAR"	"MAHENDRA   PD.   SINGH"	"RAMA   DEVI"	"SAMBHU  RAI"	"SURESH  SAHANI (Sarotar)"	"RAJU  BAITHA"	"SUMIT  KUMAR  MITRA"	"ARVIND  KUMAR  SINHA"	"UDAY SHANKAR PASWAN"	"KISUN PASWAN"	"YOGENDRA BAITHA"	"VIJAY KUMAR GUPTA"	"SURESH SAHANI(Hathiyahi)"	"Total"
"93"	"No"	"Ext"	"Voters"	"Round"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"94"	"67"	""	"1056"	"8"	"257"	"1"	"151"	"1"	"20"	"1"	"2"	"1"	"0"	"2"	"1"	"1"	"6"	"444"
"95"	"68"	""	"1355"	"8"	"92"	"1"	"435"	"4"	"38"	"2"	"2"	"0"	"0"	"0"	"5"	"0"	"14"	"593"
"96"	"69"	""	"995"	"9"	"210"	"2"	"75"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"299"
"97"	"70"	""	"1356"	"9"	"66"	"2"	"527"	"8"	"34"	"0"	"0"	"1"	"1"	"1"	"6"	"1"	"14"	"661"
"98"	"71"	""	"1296"	"9"	"225"	"1"	"190"	"3"	"30"	"11"	"0"	"1"	"2"	"1"	"4"	"3"	"12"	"483"
"99"	"72"	""	"1235"	"9"	"406"	"3"	"97"	"3"	"15"	"1"	"7"	"0"	"1"	"1"	"1"	"0"	"3"	"538"
"100"	"73"	""	"1144"	"9"	"256"	"4"	"145"	"5"	"76"	"8"	"1"	"1"	"2"	"2"	"5"	"5"	"6"	"516"
"101"	"74"	""	"358"	"9"	"79"	"0"	"57"	"0"	"5"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"144"
"102"	"75"	""	"1190"	"9"	"399"	"2"	"46"	"5"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"456"
"103"	"76"	""	"1037"	"9"	"365"	"2"	"35"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"415"
"104"	"77"	""	"1050"	"9"	"394"	"0"	"22"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"420"
"105"	"78"	""	"1164"	"9"	"410"	"0"	"37"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"455"
"106"	"79"	""	"1320"	"10"	"367"	"9"	"66"	"4"	"40"	"1"	"0"	"0"	"1"	"3"	"1"	"5"	"8"	"505"
"107"	"80"	""	"1393"	"10"	"452"	"4"	"40"	"1"	"38"	"4"	"2"	"0"	"1"	"3"	"0"	"1"	"8"	"554"
"108"	"81"	""	"741"	"10"	"225"	"1"	"31"	"1"	"20"	"1"	"6"	"2"	"0"	"0"	"1"	"0"	"0"	"288"
"109"	"82"	""	"826"	"10"	"261"	"3"	"103"	"3"	"16"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"6"	"394"
"110"	"83"	""	"1125"	"10"	"243"	"3"	"150"	"8"	"13"	"1"	"0"	"0"	"2"	"1"	"2"	"2"	"6"	"431"
"111"	"84"	""	"1269"	"10"	"421"	"1"	"62"	"0"	"8"	"1"	"5"	"0"	"0"	"1"	"2"	"1"	"1"	"503"
"112"	"85"	""	"1084"	"10"	"355"	"8"	"102"	"1"	"11"	"1"	"1"	"0"	"0"	"0"	"1"	"4"	"7"	"491"
"113"	"85"	"A"	"520"	"10"	"139"	"3"	"64"	"0"	"5"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"1"	"215"
"114"	"86"	"A"	"641"	"10"	"239"	"1"	"7"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"252"
"115"	"86"	""	"841"	"10"	"240"	"4"	"75"	"0"	"16"	"1"	"3"	"1"	"2"	"1"	"0"	"3"	"6"	"352"
"116"	"87"	""	"1389"	"11"	"322"	"2"	"98"	"3"	"16"	"0"	"2"	"1"	"0"	"0"	"6"	"1"	"11"	"462"
"117"	"88"	"A"	"484"	"11"	"118"	"0"	"8"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"128"
"118"	"88"	""	"962"	"11"	"345"	"1"	"25"	"1"	"7"	"0"	"2"	"1"	"0"	"0"	"2"	"1"	"4"	"389"
"119"	"89"	""	"1307"	"11"	"388"	"1"	"35"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"4"	"434"
"120"	""	""	""	"012-MOTIHARI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"Booth"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""	""
"122"	""	""	""	""	"PRAMOD   KUMAR"	"MAHENDRA   PD.   SINGH"	"RAMA   DEVI"	"SAMBHU  RAI"	"SURESH  SAHANI (Sarotar)"	"RAJU  BAITHA"	"SUMIT  KUMAR  MITRA"	"ARVIND  KUMAR  SINHA"	"UDAY SHANKAR PASWAN"	"KISUN PASWAN"	"YOGENDRA BAITHA"	"VIJAY KUMAR GUPTA"	"SURESH SAHANI(Hathiyahi)"	"Total"
"123"	"No"	"Ext"	"Voters"	"Round"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"124"	"90"	""	"856"	"11"	"246"	"1"	"15"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"268"
"125"	"91"	""	"1276"	"11"	"275"	"0"	"23"	"0"	"19"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"319"
"126"	"91"	"A"	"398"	"11"	"126"	"1"	"48"	"7"	"87"	"4"	"1"	"0"	"2"	"3"	"1"	"1"	"0"	"281"
"127"	"92"	""	"927"	"11"	"232"	"1"	"15"	"0"	"13"	"1"	"1"	"0"	"2"	"0"	"5"	"1"	"3"	"274"
"128"	"92"	"A"	"802"	"11"	"182"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"
"129"	"93"	""	"1244"	"11"	"187"	"2"	"253"	"2"	"46"	"2"	"2"	"1"	"3"	"1"	"7"	"7"	"11"	"524"
"130"	"94"	""	"918"	"12"	"231"	"1"	"70"	"0"	"28"	"1"	"0"	"0"	"3"	"1"	"2"	"1"	"3"	"341"
"131"	"95"	""	"1266"	"12"	"355"	"4"	"159"	"4"	"15"	"2"	"3"	"1"	"3"	"2"	"3"	"2"	"3"	"556"
"132"	"96"	""	"897"	"12"	"268"	"3"	"94"	"1"	"56"	"2"	"1"	"0"	"3"	"1"	"4"	"2"	"6"	"441"
"133"	"97"	""	"961"	"12"	"280"	"5"	"145"	"2"	"56"	"3"	"4"	"0"	"6"	"3"	"7"	"5"	"14"	"530"
"134"	"98"	""	"1195"	"12"	"240"	"8"	"99"	"4"	"122"	"6"	"0"	"3"	"7"	"7"	"3"	"6"	"4"	"509"
"135"	"99"	""	"823"	"12"	"243"	"2"	"33"	"1"	"47"	"3"	"2"	"1"	"10"	"0"	"2"	"1"	"7"	"352"
"136"	"100"	""	"1080"	"12"	"359"	"3"	"68"	"5"	"14"	"2"	"0"	"1"	"1"	"2"	"2"	"1"	"3"	"461"
"137"	"101"	""	"1019"	"12"	"234"	"2"	"52"	"4"	"62"	"4"	"2"	"1"	"2"	"2"	"1"	"1"	"4"	"371"
"138"	"102"	""	"1234"	"12"	"38"	"2"	"264"	"4"	"183"	"12"	"5"	"6"	"16"	"8"	"5"	"11"	"9"	"563"
"139"	"103"	""	"1078"	"12"	"213"	"23"	"57"	"6"	"157"	"17"	"2"	"5"	"9"	"3"	"0"	"7"	"4"	"503"
"140"	"104"	""	"672"	"13"	"99"	"2"	"25"	"4"	"194"	"10"	"4"	"5"	"10"	"4"	"3"	"16"	"10"	"386"
"141"	"105"	""	"959"	"13"	"103"	"6"	"19"	"5"	"298"	"20"	"2"	"3"	"33"	"8"	"1"	"7"	"9"	"514"
"142"	"106"	""	"1013"	"13"	"174"	"5"	"162"	"30"	"127"	"8"	"5"	"3"	"20"	"6"	"4"	"20"	"34"	"598"
"143"	"107"	""	"749"	"13"	"50"	"7"	"238"	"17"	"61"	"4"	"2"	"1"	"10"	"12"	"12"	"11"	"12"	"437"
"144"	"108"	""	"900"	"13"	"367"	"5"	"17"	"27"	"42"	"4"	"2"	"0"	"8"	"6"	"2"	"6"	"15"	"501"
"145"	"109"	""	"1086"	"13"	"454"	"4"	"125"	"6"	"44"	"3"	"2"	"2"	"2"	"1"	"0"	"4"	"9"	"656"
"146"	"110"	"A"	"502"	"13"	"90"	"5"	"27"	"62"	"55"	"3"	"4"	"3"	"3"	"5"	"3"	"9"	"16"	"285"
"147"	"110"	""	"951"	"13"	"64"	"2"	"305"	"29"	"45"	"6"	"4"	"3"	"8"	"3"	"1"	"3"	"8"	"481"
"148"	"111"	""	"1400"	"13"	"228"	"8"	"145"	"0"	"330"	"9"	"9"	"4"	"13"	"2"	"3"	"10"	"10"	"771"
"149"	"112"	""	"1123"	"13"	"250"	"7"	"222"	"7"	"33"	"5"	"1"	"0"	"3"	"1"	"4"	"6"	"9"	"548"
"150"	""	""	""	"012-MOTIHARI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"Booth"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""	""
"152"	""	""	""	""	"PRAMOD   KUMAR"	"MAHENDRA   PD.   SINGH"	"RAMA   DEVI"	"SAMBHU  RAI"	"SURESH  SAHANI (Sarotar)"	"RAJU  BAITHA"	"SUMIT  KUMAR  MITRA"	"ARVIND  KUMAR  SINHA"	"UDAY SHANKAR PASWAN"	"KISUN PASWAN"	"YOGENDRA BAITHA"	"VIJAY KUMAR GUPTA"	"SURESH SAHANI(Hathiyahi)"	"Total"
"153"	"No"	"Ext"	"Voters"	"Round"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"154"	"113"	""	"996"	"14"	"24"	"1"	"57"	"7"	"447"	"17"	"5"	"3"	"25"	"7"	"9"	"14"	"11"	"627"
"155"	"114"	""	"1348"	"14"	"600"	"5"	"105"	"4"	"95"	"3"	"1"	"3"	"1"	"1"	"2"	"2"	"7"	"829"
"156"	"115"	""	"315"	"14"	"25"	"4"	"31"	"4"	"90"	"6"	"3"	"3"	"7"	"2"	"2"	"3"	"13"	"193"
"157"	"116"	""	"1278"	"14"	"202"	"3"	"73"	"11"	"374"	"11"	"2"	"3"	"17"	"2"	"1"	"5"	"5"	"709"
"158"	"117"	""	"1028"	"14"	"332"	"7"	"64"	"6"	"103"	"5"	"2"	"6"	"6"	"4"	"4"	"11"	"16"	"566"
"159"	"118"	""	"1159"	"14"	"205"	"8"	"204"	"86"	"93"	"5"	"4"	"4"	"4"	"3"	"5"	"3"	"11"	"635"
"160"	"119"	""	"1172"	"14"	"71"	"10"	"428"	"16"	"16"	"4"	"5"	"1"	"2"	"3"	"8"	"3"	"18"	"585"
"161"	"120"	""	"1216"	"14"	"63"	"11"	"21"	"401"	"91"	"12"	"13"	"3"	"13"	"12"	"4"	"10"	"7"	"661"
"162"	"121"	""	"359"	"14"	"32"	"1"	"28"	"29"	"77"	"5"	"3"	"0"	"2"	"4"	"2"	"7"	"5"	"195"
"163"	"122"	""	"1014"	"14"	"225"	"6"	"200"	"5"	"144"	"9"	"5"	"2"	"14"	"1"	"5"	"11"	"20"	"647"
"164"	"123"	""	"1184"	"15"	"213"	"9"	"283"	"9"	"97"	"11"	"9"	"3"	"8"	"7"	"5"	"19"	"36"	"709"
"165"	"124"	""	"876"	"15"	"266"	"10"	"100"	"1"	"107"	"4"	"5"	"0"	"5"	"3"	"1"	"10"	"7"	"519"
"166"	"125"	""	"927"	"15"	"46"	"9"	"263"	"19"	"60"	"10"	"4"	"4"	"8"	"7"	"5"	"12"	"23"	"470"
"167"	"125"	"A"	"527"	"15"	"26"	"4"	"214"	"7"	"74"	"3"	"6"	"2"	"5"	"1"	"3"	"4"	"8"	"357"
"168"	"126"	""	"344"	"15"	"21"	"3"	"100"	"3"	"21"	"5"	"6"	"2"	"1"	"1"	"8"	"6"	"4"	"181"
"169"	"127"	""	"419"	"15"	"20"	"2"	"204"	"6"	"20"	"1"	"0"	"0"	"2"	"2"	"2"	"2"	"5"	"266"
"170"	"128"	""	"433"	"15"	"64"	"5"	"90"	"2"	"78"	"6"	"1"	"1"	"6"	"3"	"2"	"4"	"5"	"267"
"171"	"129"	""	"679"	"15"	"215"	"11"	"66"	"6"	"97"	"6"	"3"	"3"	"7"	"2"	"2"	"2"	"6"	"426"
"172"	"130"	""	"1143"	"15"	"455"	"9"	"111"	"6"	"33"	"1"	"0"	"0"	"2"	"2"	"3"	"2"	"13"	"637"
"173"	"131"	""	"975"	"15"	"392"	"7"	"147"	"5"	"6"	"0"	"3"	"0"	"2"	"0"	"4"	"4"	"19"	"589"
"174"	"132"	""	"540"	"16"	"267"	"2"	"66"	"2"	"8"	"1"	"1"	"1"	"1"	"2"	"5"	"4"	"9"	"369"
